ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence
2020-27,2020-07-07,2020-07-07,Ordinance 2020-27 amending Provo City Code to add Bicycle Parking Ratios to Residential Developments that seek off-street parking reductions. Citywide Application. (PLOTA20200142) (0:42:23),provo_city_council/meeting_minutes/minutes/2020/2020-07-06/2020-07-07_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-07-07,4,within_source
2020-28,2020-07-07,2020-07-07,Ordinance 2020-28 amending Provo City Code regarding landscape buffers. Citywide application. (PLOTA20200143) (0:46:19),provo_city_council/meeting_minutes/minutes/2020/2020-07-06/2020-07-07_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-07-07,5,within_source
2020-29,2020-07-07,2020-07-07,"Ordinance 2020-29 amending the Zone Map Classification of approximately 137.45 acres of real property across Provo from R2.5, R3, and R4 to Low Density Residential, Medium Density Residential, and High Density Residential, respectively. (PLRZ20190427) (0:54:24)",provo_city_council/meeting_minutes/minutes/2020/2020-07-06/2020-07-07_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-07-07,6,within_source
2020-30,2020-07-07,2020-07-07,"Ordinance 2020-30 amending Provo City Code to remove the Low Multiple Residential Medium Multiple Residential (Res), Medium Multiple Res, High Multiple Res, Very High Multiple Res, and Campus High Density Res Zones. Citywide application. (PLOTA20190428) (0:54:24)",provo_city_council/meeting_minutes/minutes/2020/2020-07-06/2020-07-07_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-07-07,7,within_source
2020-31,2020-07-21,2020-07-21,Ordinance 2020-31 amending the zone map classification of approx 1.92 ac of property generally located at 442 and 490 S State St from General Commercial to High Density Residential and authorizing a related development agreement. Maeser Neighb. (17-0010R) (0:31:01),provo_city_council/meeting_minutes/minutes/2020/2020-07-20/2020-07-21_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-07-21,2,within_source
2020-32,2020-08-04,2020-08-04,"Ordinance 2020-32 granting Cellco Partnership d/b/a Verizon Wireless a nonexclusive franchise to operate a telecommunications network in Provo City, Utah. (20-107) (0:18:42)",provo_city_council/meeting_minutes/minutes/2020/2020-08-03/2020-08-04_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-08-04,1,within_source
2020-33,2020-08-18,2020-08-18,Ordinance 2020-33 amending Provo City Code to correct an inconsistency and clarify accessory living spaces as a permitted accessory use in the PRO-R-9 Limited Density Residential (LDR) Zone. Citywide Application. (PLOTA20200162) (0:32:22),provo_city_council/meeting_minutes/minutes/2020/2020-08-17/2020-08-18_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-08-18,4,within_source
2020-34,2020-08-18,2020-08-18,Ordinance 2020-34 amending Provo City Code to reduce the minimum lot depth in the Low Density Residential (LDR) and Very Low Density Residential (VLDR) Zones. Citywide Application. (PLOTA20200208) (0:36:39),provo_city_council/meeting_minutes/minutes/2020/2020-08-17/2020-08-18_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-08-18,5,within_source
2020-35,2020-08-18,2020-08-18,"Ordinance 2020-35 amending the zone map classification of approximately 14 acres of real property, generally located at 1164 South 1600 West, from Agricultural (A1.5) to Residential (R1.7). Sunset Neighborhood. (PLRZ20180029) (0:49:21)",provo_city_council/meeting_minutes/minutes/2020/2020-08-17/2020-08-18_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-08-18,6,within_source
2020-37,2020-09-01,2020-09-01,"Ordinance 2020-37 amending the Zone Map classification of approximately 3.75 acres of real property, generally located at 1487 W 990 S, from Agricultural (A1) to One-Family (R1.10). Sunset Neighborhood. (PLRZ20200209) (0:51:45)",provo_city_council/meeting_minutes/minutes/2020/2020-08-31/2020-09-01_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-09-01,4,within_source
2020-38,2020-09-15,2020-09-15,Ordinance 2020-38 amending Provo City Code to clarify amenity space requirements for developments with 20 or more residential units in the Interim Transit Oriented Development (ITOD) zone. Citywide Application. (PLOTA20200283) (1:02:08),provo_city_council/meeting_minutes/minutes/2020/2020-09-14/2020-09-15_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-09-15,3,within_source
2020-39,2020-09-15,2020-09-15,Ordinance 2020-39 amending Chapter 9.25 and related Sections of Provo City Code. (20-128) (1:32:34),provo_city_council/meeting_minutes/minutes/2020/2020-09-14/2020-09-15_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-09-15,4,within_source
2020-41,2020-10-06,2020-10-06,Ordinance 2020-41 amending the zone map classification of approximately 2.31 acres at 4100 N Canyon Road and 3.42 acres at 3956 N Canyon Road from Residential Agriculture (RA) to Residential (R1.10). North Timpview Neighborhood. (PLRZ20200217) (1:19:08),provo_city_council/meeting_minutes/minutes/2020/2020-10-05/2020-10-06_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-10-06,7,within_source
2020-42,2020-10-06,2020-10-06,Ordinance 2020-42 amending Provo City Code relating to condominiums. Citywide Application. (PLOTA20200228) (2:08:27),provo_city_council/meeting_minutes/minutes/2020/2020-10-05/2020-10-06_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-10-06,8,within_source
2020-43,2020-10-06,2020-10-06,"Ordinance 2020-43 amending the Zone Map classification of approximately 0.5 acres Of real property, generally located at 2022 W Center Street, from Residential Agricultural (RA) To General Commercial (CG). Fort Utah Neighborhood. (PLRZ20200275) (2:13:03)",provo_city_council/meeting_minutes/minutes/2020/2020-10-05/2020-10-06_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-10-06,9,within_source
2020-44,2020-10-06,2020-10-06,Ordinance 2020-44 amending the Low Density Residential (LDR) and Very Low Density Residential (VLDR) Zones. Citywide Application. (PLOTA20200274) (2:28:13),provo_city_council/meeting_minutes/minutes/2020/2020-10-05/2020-10-06_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-10-06,10,within_source
2020-45,2020-10-20,2020-10-20,Ordinance 2020-45 amending Provo City Code regarding swimming pool fencing and covering. Citywide application. (PLOTA20200286) (0:39:19),provo_city_council/meeting_minutes/minutes/2020/2020-10-19/2020-10-20_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-10-20,5,within_source
2020-46,2020-10-20,2020-10-20,Ordinance 2020-46 amending Provo City Code 6.20 Special Events and Expressive Activities. (20-223) (0:44:10),provo_city_council/meeting_minutes/minutes/2020/2020-10-19/2020-10-20_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-10-20,6,within_source
2020-47,2020-10-20,2020-10-20,Ordinance 2020-47 amending Provo City Code regarding Civil Infractions and Repealing Requirements Related to the COVID-19 Pandemic. (20-118),provo_city_council/meeting_minutes/minutes/2020/2020-10-19/2020-10-20_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-10-20,7,within_source
2020-48,2020-11-10,2020-11-10,"Ordinance 2020-48 amending the zone map classification of approximately 18 acres of real property, generally located at 1920 South 500 West, from Agricultural (A1.20) to Low Density Residential (LDR). Lakewood Neighborhood. (PLRZ20190182) (0:24:18)",provo_city_council/meeting_minutes/minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-11-10,3,within_source
2020-49,2020-11-10,2020-11-10,Ordinance 2020-49 amending Provo City Code to increase the permissible lot coverage in the Del Coronado PRO Zone. Maeser Neighborhood. (PLOTA20200318) (1:30:39),provo_city_council/meeting_minutes/minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-11-10,5,within_source
2020-50,2020-11-10,2020-11-10,"Ordinance 2020-50 amending the zone map classification of approx. 1.7 acres of real property, generally located at 1320 South 1080 East, from Residential (R1.10) to Low Density Residential (LDR). Spring Creek Neighborhood. (PLRZ20200319) (1:34:54)",provo_city_council/meeting_minutes/minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-11-10,6,within_source
2020-51,2020-11-10,2020-11-10,"Ordinance 2020-51 amending the Zone Map classification of approximately 0.25 acres of real property, generally located at 189 South 500 West, from Residential Conservation (RC) to Low Density Residential (LDR). Franklin Neighborhood. (PLRZ20200124) (2:59:53)",provo_city_council/meeting_minutes/minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-11-10,8,within_source
2020-52,2020-11-10,2020-11-10,Ordinance 2020-52 amending Provo City Code to update Engineering Design Standards for 2021. Citywide Application. (PLOTA20201348) (3:08:41),provo_city_council/meeting_minutes/minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-11-10,10,within_source
2020-53,2020-12-01,2020-12-01,"Ordinance 2020-53 amending Provo City Code regarding permitted uses in the Neighborhood Shopping Center (SC1), Community Shopping Center (SC2), And Regional Shopping Center (SC3) Zones and related provision. Citywide Application. (PLOTA20190429) (0:27:48)",provo_city_council/meeting_minutes/minutes/2020/2020-11-30/2020-12-01_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-12-01,2,within_source
2020-54,2020-12-01,2020-12-01,"Ordinance 2020-54 Amending Provo City Code to enact The Open Space, Preservation, and Recreation (OSPR) Zone. Citywide Application. (PLOTA20200140) (0:34:11)",provo_city_council/meeting_minutes/minutes/2020/2020-11-30/2020-12-01_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-12-01,3,within_source
2020-55,2020-12-01,2020-12-01,"Ordinance 2020-55 amending the Zone Map classification of approx. 1,291 acres of real property located within the boundaries of Provo City, from various zone classifications to Open Space, Preservation and Recreation (OSPR). Citywide Impact. (PLRZ20200304) (0:34:11)",provo_city_council/meeting_minutes/minutes/2020/2020-11-30/2020-12-01_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-12-01,4,within_source
2020-56,2020-12-01,2020-12-01,Ordinance 2020-56 amending Provo General Plan Sections 1.2.9 And 1.2.10 Related to the Key Land Use Policies (North Area Guiding Principles) And Urban Growth and Land Use Annexation. Citywide Application. (PLGPA20200357) (0:46:17),provo_city_council/meeting_minutes/minutes/2020/2020-11-30/2020-12-01_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-12-01,5,within_source
2020-57,2020-12-01,2020-12-01,Ordinance 2020-57 amending Provo City Code to remove references to “Community Development Director.” Citywide Application. (PLOTA20200310) (1:09:54),provo_city_council/meeting_minutes/minutes/2020/2020-11-30/2020-12-01_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-12-01,7,within_source
2020-58,2020-12-01,2020-12-01,Ordinance 2020-58 amending Provo City Code to clarify spacing requirements for accessory structures in the Residential Conservation (RC) Zone. Citywide Application. (PLOTA20200291) (1:06:00),provo_city_council/meeting_minutes/minutes/2020/2020-11-30/2020-12-01_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-12-01,6,within_source
2020-59,2020-12-01,2020-12-01,"Ordinance 2020-59 amending the Zone Map Classification of approximately 0.34 acres of real property, generally located at 590 West 300 South, from Residential Conservation (RC) to Very Low Density Residential (VLDR). Franklin Neighborhood. (PLRZ20200287) (1:11:15)",provo_city_council/meeting_minutes/minutes/2020/2020-11-30/2020-12-01_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-12-01,8,within_source
2020-60,2020-12-01,2020-12-01,"Ordinance 2020-60 amending the Zone Map Classification of approximately 4.6 acres of real property, generally located at 34 S 2530 W, from Agricultural (A1) to Residential (R1.8). Provo Bay Neighborhood. (PLRZ20200156) (1:18:34)",provo_city_council/meeting_minutes/minutes/2020/2020-11-30/2020-12-01_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-12-01,9,within_source
2020-61,2020-12-01,2020-12-01,Ordinance 2020-61 amending the General Plan Map Designation of real property located at 1555 N Canyon Road from Commercial to Residential. Carterville Neighborhood. (PLGPA20200062) (1:26:00),provo_city_council/meeting_minutes/minutes/2020/2020-11-30/2020-12-01_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-12-01,10,within_source
2020-62,2020-12-01,2020-12-01,"Ordinance 2020-62 amending the Zone Map Classification of approximately 1.91 acres of real property, generally located at 1555 North Canyon Road, from General Commercial (CG) to Campus Mixed Use (CMU). Carterville Neighborhood. (PLRZ20200085) (1:26:00)",provo_city_council/meeting_minutes/minutes/2020/2020-11-30/2020-12-01_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-12-01,11,within_source
2020-63,2020-12-15,2020-12-15,Ordinance 2020-63 amending Provo City Code to allow more options for conducting Neighborhood Chair elections. (20-253) (1:28:32),provo_city_council/meeting_minutes/minutes/2020/2020-12-14/2020-12-15_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-12-15,3,within_source
2021-2,2021-01-19,2021-01-19,"Ordinance 2021-02 approving an amended and restated license agreement with Google Fiber Utah, LLC. (21-008) (1:12:40)",provo_city_council/meeting_minutes/minutes/2021/2021-01-18/2021-01-19_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-01-19,2,within_source
2021-3,2021-01-19,2021-01-19,"Ordinance 2021-03 amending the zone map classification of approximately 1.8 acres of real property, generally located at 950 West 1020 South, from Residential Agricultural (RA) to Residential (R1.7). Sunset Neighborhood. (PLRZ20200352) (1:52:19)",provo_city_council/meeting_minutes/minutes/2021/2021-01-18/2021-01-19_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-01-19,4,within_source
2021-4,2021-02-02,2021-02-02,Ordinance 2021-04 amending Provo City Code Chapter 6.32. Citywide Application. (21-025) (1:04:00),provo_city_council/meeting_minutes/minutes/2021/2021-02-01/2021-02-02_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-02-02,4,within_source
2021-5,2021-02-02,2021-02-02,"Ordinance 2021-05 amending Provo City Code Titles 9, 14, and 15 to make various technical updates and corrections. Citywide Application. (PLOTA2021003) (1:11:21)",provo_city_council/meeting_minutes/minutes/2021/2021-02-01/2021-02-02_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-02-02,5,within_source
2021-6,2021-02-02,2021-02-02,"Ordinance 2021-06 amending the Zone Map Classification of approx. 11acres of real property, located at 1920 W Center St., from Community Shopping (SC2) to Neigh. Shopping Center (SC1) and Medium Density Residential (MDR). Fort Utah Neigh. (PLRZ20200282)",provo_city_council/meeting_minutes/minutes/2021/2021-02-01/2021-02-02_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-02-02,7,within_source
2021-7,2021-02-16,2021-02-16,"Ordinance 2021-07 amending the zone map classification of approximately 13.07 acres of real property, generally located at approximately 1400 West 890 South from Agricultural (A1.1) to Residential Agricultural (RA). Sunset Neighborhood. (PLRZ20200413) (1:53:58) 162",provo_city_council/meeting_minutes/minutes/2021/2021-02-15/2021-02-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-02-16,5,within_source
2021-8,2021-02-16,2021-02-16,Ordinance 2021-08 amending Provo City Code to remove the Design Review Committee requirement for the Critical Hillside (CH) Overlay Zone. Citywide application. (PLOTA20210014) (2:07:18) 187,provo_city_council/meeting_minutes/minutes/2021/2021-02-15/2021-02-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-02-16,6,within_source
2021-9,2021-03-02,2021-03-02,"Ordinance 2021-09 amending the zone map classification of approximately .30 acres of real property, generally located at 619 N. 500 West, from Residential Conservation (RR) to Professional Office (PO) Zone. North Park Neighborhood. (PLRZ20210022) (0:22:33)",provo_city_council/meeting_minutes/minutes/2021/2021-03-01/2021-03-02_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-03-02,2,within_source
2021-10,2021-03-02,2021-03-02,"Ordinance 2021-10 amending the Zone Map classification of approximately 8.5 acres, generally located at 1724 South State Street, from CM, RA, R1.6, R1.10, and A1.5 to the MDR Zone. Spring Creek Neighborhood. (PLRZ20190356) (0:30:55)",provo_city_council/meeting_minutes/minutes/2021/2021-03-01/2021-03-02_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-03-02,3,within_source
2021-11,2021-03-16,2021-03-16,"Ordinance 2021-11 amending the Provo City Consolidated Fee Schedule to set electric service rates for small cell installations in Provo City, Utah. (21-034) (0:50:00)",provo_city_council/meeting_minutes/minutes/2021/2021-03-15/2021-03-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-03-16,5,within_source
2021-12,2021-03-30,2021-03-30,Ordinance 2021-12 amending Provo City Code regarding the hold times for electronic signs and sign size limits. Citywide Application. (PLOTA20210046) (1:03:52),provo_city_council/meeting_minutes/minutes/2021/2021-03-29/2021-03-30_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-03-30,2,within_source
2021-13,2021-03-30,2021-03-30,"Ordinance 2021-13 approving the petition to annex approximately 9.5 acres of property generally located at the intersection of Colorado Avenue, Bullock Lane, and 1860 South. East Bay Neighborhood. (PLANEX20210019) (1:45:30)",provo_city_council/meeting_minutes/minutes/2021/2021-03-29/2021-03-30_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-03-30,3,within_source
2021-14,2021-03-30,2021-03-30,Ordinance 2021-14 amending Provo City Code regarding legislative staffing. (21-049)(3:00:40),provo_city_council/meeting_minutes/minutes/2021/2021-03-29/2021-03-30_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-03-30,5,within_source
2021-16,2021-04-20,2021-04-20,"Ordinance 2021-16 amending the Zone Map classification of approximately 54 acres of real property, generally located at 3450 W Center Street, from (A1.10) to (M1), (R1.8PD), and (RA). Provo Bay and Fort Utah Neighborhoods. (PLRZ20180197) (1:15:17)",provo_city_council/meeting_minutes/minutes/2021/2021-04-19/2021-04-20_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-04-20,1,within_source
2021-17,2021-04-20,2021-04-20,Ordinance 2021-17 enacting Provo City Code Chapter 9.81 (Carterville Parking Area). Carterville Neighborhood. (19-108) (2:42:36),provo_city_council/meeting_minutes/minutes/2021/2021-04-19/2021-04-20_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-04-20,5,within_source
2021-18,2021-05-04,2021-05-04,"Ordinance 2021-18 amending the General Plan Southwest Area Future Land Use Map designation for approximately 10 acres of real property, generally located approximately at 1850 South 500 West, from LDR to Commercial. Lakeview Neighborhood. (PLGPA20210058) (1:31:23)",provo_city_council/meeting_minutes/minutes/2021/2021-05-03/2021-05-04_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-05-04,2,within_source
2021-19,2021-05-04,2021-05-04,"Ordinance 2021-19 amending the Zone Map classification of approximately 0.23 acres of real property, generally located at 734 West 300 South, from Residential (R1.6A) to Low Density Residential (LDR). Franklin Neighborhood. (PLRZ20210059) (1:52:46)",provo_city_council/meeting_minutes/minutes/2021/2021-05-03/2021-05-04_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-05-04,3,within_source
