video_id,title,upload_date,duration_sec,category,captions_available,video_url
LlNWTNVyRJM,Taylorsville Landscape Transformation,2025-07-03,85,promotional,unverified,https://www.youtube.com/watch?v=LlNWTNVyRJM
xBclRPUNvqQ,Get Healthy Taylorsville livestream,2025-05-13,215,event_livestream,unverified,https://www.youtube.com/watch?v=xBclRPUNvqQ
i_N8bq92I0E,Get Healthy Taylorsville,2025-05-13,155,promotional,unverified,https://www.youtube.com/watch?v=i_N8bq92I0E
jZMktYDE3QU,TVPD is hiring!,2025-04-04,140,promotional,unverified,https://www.youtube.com/watch?v=jZMktYDE3QU
Uf2R_cIvelk,2024 Year in Review,2025-03-11,2456,promotional,unverified,https://www.youtube.com/watch?v=Uf2R_cIvelk
rM_sQBPbQSI,See What's New at Carriage Square!,2024-12-13,307,promotional,unverified,https://www.youtube.com/watch?v=rM_sQBPbQSI
Tth9idB4810,CDBG Application Workshop,2024-11-19,1754,promotional,unverified,https://www.youtube.com/watch?v=Tth9idB4810
r1DLnsxBrVk,Plaza +ART 2024-25 Season,2024-11-19,568,promotional,unverified,https://www.youtube.com/watch?v=r1DLnsxBrVk
zCUoyYbn57c,Softball Team Honored,2024-06-20,450,promotional,unverified,https://www.youtube.com/watch?v=zCUoyYbn57c
0ui3x38KRRo,Planning Commission Livestream,2024-05-15,8569,meeting_planning_commission,asr,https://www.youtube.com/watch?v=0ui3x38KRRo
Ym6swYkYOHA,Kenpo Karate,,,promotional,unverified,https://www.youtube.com/watch?v=Ym6swYkYOHA
fDSoQgKX60Q,2023 Year in Review,,,promotional,unverified,https://www.youtube.com/watch?v=fDSoQgKX60Q
QMzObCDV7H0,CDBG Application Workshop,2023-11-14,579,promotional,unverified,https://www.youtube.com/watch?v=QMzObCDV7H0
5_HfSVCqatA,Plaza +ART 2023-24 Season,2023-10-03,358,promotional,unverified,https://www.youtube.com/watch?v=5_HfSVCqatA
OyysO3XNDj4,Softball Teams Honored Livestream,2023-08-20,843,event_livestream,unverified,https://www.youtube.com/watch?v=OyysO3XNDj4
OcgMODPF4qc,Wreaths Across America Livestream,,,event_livestream,unverified,https://www.youtube.com/watch?v=OcgMODPF4qc
4RN1dVyxNCE,2022 Year In Review,2023-01-12,2404,promotional,unverified,https://www.youtube.com/watch?v=4RN1dVyxNCE
dMdvIy5staY,Wreaths Across America Day,2022-12-20,164,promotional,unverified,https://www.youtube.com/watch?v=dMdvIy5staY
fEFg55LILUI,Plaza +ART - 2022-23 Season,2022-10-31,338,promotional,unverified,https://www.youtube.com/watch?v=fEFg55LILUI
MPVybd24ujY,Tombstone Tales-Trailer,,,promotional,unverified,https://www.youtube.com/watch?v=MPVybd24ujY
p7W02APp0p0,Tombstone Tales-Sexton,,,promotional,unverified,https://www.youtube.com/watch?v=p7W02APp0p0
oER4Xbs-Ui4,Tombstone Tales-Jim Taney,,,promotional,unverified,https://www.youtube.com/watch?v=oER4Xbs-Ui4
jaL91I2X2rg,Tombstone Tales-The Bennions,,,promotional,unverified,https://www.youtube.com/watch?v=jaL91I2X2rg
up2rs_RjoAQ,Tombstone Tales-The Versteegs,,,promotional,unverified,https://www.youtube.com/watch?v=up2rs_RjoAQ
GyyMceXJnag,Tombstone Tales-Eliza Spencer Harker,,,promotional,unverified,https://www.youtube.com/watch?v=GyyMceXJnag
fyUFhojdzqA,Tombstone Tales-Frankie Montoya & Potter's Field,,,promotional,unverified,https://www.youtube.com/watch?v=fyUFhojdzqA
T1KJjfCr-D0,Tombstone Tales-Raymond B. Spencer,,,promotional,unverified,https://www.youtube.com/watch?v=T1KJjfCr-D0
tJ98zAKXs_s,Tombstone Tales-John Taylor,,,promotional,unverified,https://www.youtube.com/watch?v=tJ98zAKXs_s
sIB5K65jOac,Night Out Against Crime,,,promotional,unverified,https://www.youtube.com/watch?v=sIB5K65jOac
dTocx-dQy5k,Crosswalk Musical,,,promotional,unverified,https://www.youtube.com/watch?v=dTocx-dQy5k
H36ryXfIlNM,Taylorsville Dayzz 2022,,,promotional,unverified,https://www.youtube.com/watch?v=H36ryXfIlNM
1E53XmrSb4o,TVPD K-9 Trials,,,promotional,unverified,https://www.youtube.com/watch?v=1E53XmrSb4o
9D3S6Fv9Sxo,2021 Year in Review,,,promotional,unverified,https://www.youtube.com/watch?v=9D3S6Fv9Sxo
o2N3upXTL2M,Show Up For Service,,,promotional,unverified,https://www.youtube.com/watch?v=o2N3upXTL2M
1pGHbJjBvJc,Centennial Plaza,,,promotional,unverified,https://www.youtube.com/watch?v=1pGHbJjBvJc
XNrmrrYCA60,Taylorsville Dayzz 2021,,,promotional,unverified,https://www.youtube.com/watch?v=XNrmrrYCA60
LJYnZBJkqqI,TVPD Launch,,,promotional,unverified,https://www.youtube.com/watch?v=LJYnZBJkqqI
K3-hjQ8SlNo,Taylorsville Dayzz,,,promotional,unverified,https://www.youtube.com/watch?v=K3-hjQ8SlNo
cem2CAaz3Ag,Reflections Winner,,,promotional,unverified,https://www.youtube.com/watch?v=cem2CAaz3Ag
g2s1K8LxRiQ,ADAGIO Installation,,,promotional,unverified,https://www.youtube.com/watch?v=g2s1K8LxRiQ
_kriTyiPR08,Museum Tour-Welcome,,,promotional,unverified,https://www.youtube.com/watch?v=_kriTyiPR08
aa4LP-YUh3c,Museum Tour-Blacksmith Shop,,,promotional,unverified,https://www.youtube.com/watch?v=aa4LP-YUh3c
AMMsL6wMdYg,Museum Tour-Kitchen,,,promotional,unverified,https://www.youtube.com/watch?v=AMMsL6wMdYg
4bg0a6hBIUk,Museum Tour-Playhouse,,,promotional,unverified,https://www.youtube.com/watch?v=4bg0a6hBIUk
u6dh6fWldtA,Museum Tour-Bathrooms,,,promotional,unverified,https://www.youtube.com/watch?v=u6dh6fWldtA
BtlVueapLgI,Museum Tour-Music Room,,,promotional,unverified,https://www.youtube.com/watch?v=BtlVueapLgI
HOPx4ov73Fc,Museum Tour-Animals,,,promotional,unverified,https://www.youtube.com/watch?v=HOPx4ov73Fc
LQ3jzaddn2c,Museum Tour-Schoolhouse,,,promotional,unverified,https://www.youtube.com/watch?v=LQ3jzaddn2c
i4Pm2mWoAYo,Museum Tour-Upstairs,,,promotional,unverified,https://www.youtube.com/watch?v=i4Pm2mWoAYo
tjjzIRvXRPY,Museum Tour-Bonus Story,,,promotional,unverified,https://www.youtube.com/watch?v=tjjzIRvXRPY
FTikOML33_c,Google Fiber announcement,2021-04-22,174,promotional,unverified,https://www.youtube.com/watch?v=FTikOML33_c
-uA-xbJNdt4,TVPD-Police Recruitment Video,2021-03-04,205,promotional,unverified,https://www.youtube.com/watch?v=-uA-xbJNdt4
R0KFEla3pTw,Taylorsville 2020 Year in Review,,,promotional,unverified,https://www.youtube.com/watch?v=R0KFEla3pTw
GVZO-5wA-0I,Taylorsville PY21 CDBG Technical Assistance Workshop,2020-11-10,1250,promotional,unverified,https://www.youtube.com/watch?v=GVZO-5wA-0I
j-A5780B_F0,COVID-19 Song senior winner,,,promotional,unverified,https://www.youtube.com/watch?v=j-A5780B_F0
CSFPTzOUelE,COVID-19 Song adult winner,,,promotional,unverified,https://www.youtube.com/watch?v=CSFPTzOUelE
SHUj7Sduuq0,COVID-19 Song youth winner,,,promotional,unverified,https://www.youtube.com/watch?v=SHUj7Sduuq0
Yrlgs7RBDI0,Animal Services Project,,,promotional,unverified,https://www.youtube.com/watch?v=Yrlgs7RBDI0
ZgUzdQMNt6M,Taylorsville City Glass Recycling Tour,2020-02-20,115,promotional,unverified,https://www.youtube.com/watch?v=ZgUzdQMNt6M
pUYpXl8FQbk,Taylorsville CERT - Deploying and Staging Area Training,2016-02-10,407,promotional,unverified,https://www.youtube.com/watch?v=pUYpXl8FQbk
Jm-w3OpZNOA,2015 City of Taylorsville Veterans Day Program,2015-11-18,20,promotional,unverified,https://www.youtube.com/watch?v=Jm-w3OpZNOA
BjeIRifEmhU,City of Taylorsville 2015 Veterans Day Program,2015-11-18,20,promotional,unverified,https://www.youtube.com/watch?v=BjeIRifEmhU
CI8XpDM3d4k,Overstock.com   Veteran gets new Wheelchair,2015-05-22,196,promotional,unverified,https://www.youtube.com/watch?v=CI8XpDM3d4k
kUQs2IfaBaM,Vista Elementary American Heroes Concert for First Responders,2015-05-22,160,promotional,unverified,https://www.youtube.com/watch?v=kUQs2IfaBaM
5A9wN2Q__kM,Bennion Elementary Leadership Day,2015-01-22,116,promotional,unverified,https://www.youtube.com/watch?v=5A9wN2Q__kM
ql6a0suav2o,Bennion Elementary Leadership Day,2015-01-22,126,promotional,unverified,https://www.youtube.com/watch?v=ql6a0suav2o
q85MRVFJiu4,Vista Elementary,2014-06-02,100,promotional,unverified,https://www.youtube.com/watch?v=q85MRVFJiu4
uhrsyMdr7Ug,Taylorsville Recreation Center,2013-12-20,149,promotional,unverified,https://www.youtube.com/watch?v=uhrsyMdr7Ug
allgTrktPpw,Taylorsville Veterans Day 2013,2013-11-13,599,promotional,unverified,https://www.youtube.com/watch?v=allgTrktPpw
tnAJHKaqDgU,Rechtenbach Discusses Redevelopment on Fox 13,2013-10-30,156,promotional,unverified,https://www.youtube.com/watch?v=tnAJHKaqDgU
qwDh84BxLeE,Hartvigsen School,2013-10-13,322,promotional,unverified,https://www.youtube.com/watch?v=qwDh84BxLeE
lIm6qUJdwn8,Mayoral Candidate Debate 2013,2013-10-12,5918,promotional,unverified,https://www.youtube.com/watch?v=lIm6qUJdwn8
WO_S2EuZnuo,KUTV 2 at Freebirds World Burrito,2013-10-11,1140,promotional,unverified,https://www.youtube.com/watch?v=WO_S2EuZnuo
NZmGx25hGDo,Taylorsville Open Streets 2013,2013-10-07,119,promotional,unverified,https://www.youtube.com/watch?v=NZmGx25hGDo
IHRtuxJrfSA,Judge Thomas Visits BJH,2013-09-20,51,promotional,unverified,https://www.youtube.com/watch?v=IHRtuxJrfSA
PSNJw9tA9qU,Taylorsville's Got Talent 2013,2013-09-17,337,promotional,unverified,https://www.youtube.com/watch?v=PSNJw9tA9qU
1t3suvWL24g,"King of Taylorsville Baseball, Edo Rottini, Dies at 81",2013-08-27,148,promotional,unverified,https://www.youtube.com/watch?v=1t3suvWL24g
LoSnVsWaYRA,Night Out Against Crime 2013,2013-08-09,213,promotional,unverified,https://www.youtube.com/watch?v=LoSnVsWaYRA
DFbjxT-lWjY,Taylorsville Sprint Triathlon,2013-08-04,67,promotional,unverified,https://www.youtube.com/watch?v=DFbjxT-lWjY
uquKl5xnQlE,Azure Meadows Park,2013-08-02,152,promotional,unverified,https://www.youtube.com/watch?v=uquKl5xnQlE
_gnQWkXhnNI,Police Cite Scavengers during Clean-up,2013-08-01,138,promotional,unverified,https://www.youtube.com/watch?v=_gnQWkXhnNI
73OokY_P3Ys,"Freebirds Chose Taylorsville...Why You Should, Too!",2013-08-01,170,promotional,unverified,https://www.youtube.com/watch?v=73OokY_P3Ys
Tjaanye-qbs,Fire Rescue Recognition,2013-07-18,27,promotional,unverified,https://www.youtube.com/watch?v=Tjaanye-qbs
yxvXnoIs4SM,Bennion Park on KSL-TV,2013-07-05,52,promotional,unverified,https://www.youtube.com/watch?v=yxvXnoIs4SM
Pr_caURPjOQ,Mayor Gets Bit by K9,2013-07-04,166,promotional,unverified,https://www.youtube.com/watch?v=Pr_caURPjOQ
5DhYpNxY_To,Taylorsville Corporate Economic Development,2013-04-25,217,promotional,unverified,https://www.youtube.com/watch?v=5DhYpNxY_To
ZxCWCVwscKI,Taylorsville Restaurant Economic Development,2013-04-23,257,promotional,unverified,https://www.youtube.com/watch?v=ZxCWCVwscKI
fjZzWGEGt1E,Taylorsville Retail Economic Development,2013-04-23,259,promotional,unverified,https://www.youtube.com/watch?v=fjZzWGEGt1E
XYVPw1bggIQ,Girl Scout Cookie Media Coverage,2013-03-28,128,promotional,unverified,https://www.youtube.com/watch?v=XYVPw1bggIQ
hnymD9Vs7lE,Nunsense on ABC 4,2013-03-21,307,promotional,unverified,https://www.youtube.com/watch?v=hnymD9Vs7lE
2wrsqACsL1M,Mayor Rechtenbach Delivers Meals on Wheels,2013-03-21,109,promotional,unverified,https://www.youtube.com/watch?v=2wrsqACsL1M
qRVEaYHAF5E,Taylorsville Urban Iditarod 2013 News Clips,2013-03-04,200,promotional,unverified,https://www.youtube.com/watch?v=qRVEaYHAF5E
53qyXU7l8Kw,Mayor's State of the City Address 2013,2013-02-21,1521,promotional,unverified,https://www.youtube.com/watch?v=53qyXU7l8Kw
i3ybD-kJaZw,Christopherson Appointment to City Council,2013-02-01,195,promotional,unverified,https://www.youtube.com/watch?v=i3ybD-kJaZw
HDQ1Nn_-7y8,Newly Appointed Mayor Jerry Rechtenbach,2013-01-15,218,promotional,unverified,https://www.youtube.com/watch?v=HDQ1Nn_-7y8
216xIqcMlEk,Mayor's Message on Code Enforcement,2013-01-09,243,promotional,unverified,https://www.youtube.com/watch?v=216xIqcMlEk
XvWZSajv5HI,Mayor's Message on Crime,2012-10-19,102,promotional,unverified,https://www.youtube.com/watch?v=XvWZSajv5HI
zo5Wbar5npM,Taylorsville Strategic Plan,2012-10-12,758,promotional,unverified,https://www.youtube.com/watch?v=zo5Wbar5npM
cupk67I24t0,"""Taylorsville's Got Talent"" 2012",2012-09-10,474,promotional,unverified,https://www.youtube.com/watch?v=cupk67I24t0
0mvBHu47DiQ,Taylorsville Dayzz 2012,2012-08-27,722,promotional,unverified,https://www.youtube.com/watch?v=0mvBHu47DiQ
BiCXXR4mirA,"""Annie"" on ABC 4",2012-08-02,565,promotional,unverified,https://www.youtube.com/watch?v=BiCXXR4mirA
S0TbpEbxfOk,Taylorsville Float Wins Governor Award in Days of '47 Parade,2012-07-25,47,promotional,unverified,https://www.youtube.com/watch?v=S0TbpEbxfOk
-hIp2zVqrKM,Taylorsville PD K-9's on ABC 4,2012-07-17,376,promotional,unverified,https://www.youtube.com/watch?v=-hIp2zVqrKM
hpy2S2eqh-4,K-9 clip KUTV2,2012-07-12,152,promotional,unverified,https://www.youtube.com/watch?v=hpy2S2eqh-4
22J4pG5TZ4E,Taylorsville Stripes New Bike Lanes,2012-07-11,96,promotional,unverified,https://www.youtube.com/watch?v=22J4pG5TZ4E
sjLTRE0s65M,Veterans Memorial Unveiling,2012-07-03,60,promotional,unverified,https://www.youtube.com/watch?v=sjLTRE0s65M
2pdm480pfIo,Taylorsville Joins Unified Police Department,2012-07-03,50,promotional,unverified,https://www.youtube.com/watch?v=2pdm480pfIo
QVeYLqwi6QA,Fire School News Coverage,2012-05-18,132,promotional,unverified,https://www.youtube.com/watch?v=QVeYLqwi6QA
VQHWxaVcbo4,Taylorsville City Awards Banquet 2012,2012-05-15,900,promotional,unverified,https://www.youtube.com/watch?v=VQHWxaVcbo4
5nnJTsox1A8,Taylorsville Exchange Club Pinwheels for Prevention,2012-05-04,42,promotional,unverified,https://www.youtube.com/watch?v=5nnJTsox1A8
lq1gM9vjZbA,"Arbor Day ""Go Green"" Event",2012-05-03,78,promotional,unverified,https://www.youtube.com/watch?v=lq1gM9vjZbA
UWKOyC9MUoE,Taylorsville Dayzz 2011,2012-04-18,561,promotional,unverified,https://www.youtube.com/watch?v=UWKOyC9MUoE
6Rwyz70R2Q4,Mayor Wall and Councilmember Rechtenbach do the Chicken Dance,2012-03-29,136,promotional,unverified,https://www.youtube.com/watch?v=6Rwyz70R2Q4
Ncw6pYavl9w,SLCC Community Roundtable on Economic Development - Part 3,2012-03-15,552,promotional,unverified,https://www.youtube.com/watch?v=Ncw6pYavl9w
bsc92IoY5MM,SLCC Community Roundtable on Economic Development - Part 2,2012-03-15,541,promotional,unverified,https://www.youtube.com/watch?v=bsc92IoY5MM
Q92CFBZra7Q,SLCC Community Roundtable on Economic Development - Part 1,2012-03-12,518,promotional,unverified,https://www.youtube.com/watch?v=Q92CFBZra7Q
fI297LEUZTU,Taylorsville Urban Iditarod 2012,2012-03-09,312,promotional,unverified,https://www.youtube.com/watch?v=fI297LEUZTU
0_uUiZSGmN8,2012 State of the City address,2012-02-17,1270,promotional,unverified,https://www.youtube.com/watch?v=0_uUiZSGmN8
tXZri5bVss0,Mayor Russ Wall on ABC 4,2012-02-17,609,promotional,unverified,https://www.youtube.com/watch?v=tXZri5bVss0
RLDEBtn2X7o,Taking Care of Business,2012-02-06,294,promotional,unverified,https://www.youtube.com/watch?v=RLDEBtn2X7o
A-ZW-qphPDY,Fox 13 Coverage of Jared Day,2012-01-31,158,promotional,unverified,https://www.youtube.com/watch?v=A-ZW-qphPDY
4sFlkChZfgo,Stop and Remember - 9/11/11 in Taylorsville,2012-01-31,41,promotional,unverified,https://www.youtube.com/watch?v=4sFlkChZfgo
MW5iaokgwX4,Police Chief Gets Tased,2012-01-27,31,promotional,unverified,https://www.youtube.com/watch?v=MW5iaokgwX4
XTXS8Vv4z4o,Taylorsville Youth Council Freeze Mob for Pedestrian Safety,2012-01-27,77,promotional,unverified,https://www.youtube.com/watch?v=XTXS8Vv4z4o
xUsHYm5o2pU,"City Council Swearing-In Ceremony Jan. 4, 2012",2012-01-06,216,promotional,unverified,https://www.youtube.com/watch?v=xUsHYm5o2pU
