clip_id,date,body,meeting_type,source_file,minutes_status
278,2023-10-18,County Council,County Council,minutes/2023/2023-10-18_council_278.md,final
280,2023-10-25,County Council,County Council - CANCELLED,minutes/2023/2023-10-25_council_280.md,final
281,2023-10-30,County Council,County Council,minutes/2023/2023-10-30_council_281.md,final
282,2023-10-31,County Council,County Council,minutes/2023/2023-10-31_council_282.md,final
284,2023-11-01,County Council,County Council,minutes/2023/2023-11-01_council_284.md,final
291,2023-11-08,County Council,County Council,minutes/2023/2023-11-08_council_291.md,final
292,2023-11-13,County Council,County Council,minutes/2023/2023-11-13_council_292.md,final
293,2023-11-14,County Council,County Council/Park City Council Joint Meeting,minutes/2023/2023-11-14_council_293.md,final
301,2023-11-27,County Council,County Council,minutes/2023/2023-11-27_council_301.md,final
303,2023-11-29,County Council,County Council,minutes/2023/2023-11-29_council_303.md,final
304,2023-12-04,County Council,County Council,minutes/2023/2023-12-04_council_304.md,final
311,2023-12-06,County Council,County Council,minutes/2023/2023-12-06_council_311.md,final
328,2023-12-13,County Council,County Council,minutes/2023/2023-12-13_council_328.md,final
336,2023-12-27,County Council,County Council,minutes/2023/2023-12-27_council_336.md,final
339,2024-01-03,County Council,County Council,minutes/2024/2024-01-03_council_339.md,final
341,2024-01-05,County Council,County Council,minutes/2024/2024-01-05_council_341.md,final
345,2024-01-08,County Council,County Council,minutes/2024/2024-01-08_council_345.md,final
347,2024-01-10,County Council,County Council,minutes/2024/2024-01-10_council_347.md,final
349,2024-01-12,County Council,County Council,minutes/2024/2024-01-12_council_349.md,final
351,2024-01-17,County Council,County Council,minutes/2024/2024-01-17_council_351.md,final
353,2024-01-23,County Council,County Council Special Meeting,minutes/2024/2024-01-23_council_353.md,final
356,2024-01-25,County Council,County Council,minutes/2024/2024-01-25_council_356.md,final
359,2024-01-31,County Council,County Council,minutes/2024/2024-01-31_council_359.md,final
360,2024-02-01,County Council,County Council,minutes/2024/2024-02-01_council_360.md,final
362,2024-02-07,County Council,County Council,minutes/2024/2024-02-07_council_362.md,final
363,2024-02-08,County Council,County Council Special Meeting,minutes/2024/2024-02-08_council_363.md,final
372,2024-02-13,County Council,County Council,minutes/2024/2024-02-13_council_372.md,final
374,2024-02-14,County Council,County Council,minutes/2024/2024-02-14_council_374.md,final
378,2024-02-21,County Council,County Council,minutes/2024/2024-02-21_council_378.md,final
380,2024-02-22,County Council,County Council,minutes/2024/2024-02-22_council_380.md,final
387,2024-02-28,County Council,County Council,minutes/2024/2024-02-28_council_387.md,final
465,2024-03-04,County Council,County Council,minutes/2024/2024-03-04_council_465.md,final
395,2024-03-06,County Council,County Council,minutes/2024/2024-03-06_council_395.md,final
439,2024-03-13,County Council,County Council,minutes/2024/2024-03-13_council_439.md,final
446,2024-03-19,County Council,County Council Special Session,minutes/2024/2024-03-19_council_446.md,final
447,2024-03-20,County Council,County Council,minutes/2024/2024-03-20_council_447.md,final
449,2024-03-21,County Council,County Council Special Session,minutes/2024/2024-03-21_council_449.md,final
450,2024-03-22,County Council,County Council/Park City Council Joint Meeting,minutes/2024/2024-03-22_council_450.md,final
452,2024-03-27,County Council,County Council,minutes/2024/2024-03-27_council_452.md,final
470,2024-03-29,County Council,County Council,minutes/2024/2024-03-29_council_470.md,final
477,2024-04-01,County Council,County Council,minutes/2024/2024-04-01_council_477.md,final
461,2024-04-03,County Council,County Council,minutes/2024/2024-04-03_council_461.md,final
464,2024-04-04,County Council,County Council,minutes/2024/2024-04-04_council_464.md,final
478,2024-04-24,County Council,County Council,minutes/2024/2024-04-24_council_478.md,final
479,2024-05-01,County Council,County Council,minutes/2024/2024-05-01_council_479.md,final
489,2024-05-09,County Council,County Council,minutes/2024/2024-05-09_council_489.md,final
508,2024-05-15,County Council,County Council,minutes/2024/2024-05-15_council_508.md,final
523,2024-05-22,County Council,County Council,minutes/2024/2024-05-22_council_523.md,final
538,2024-06-05,County Council,County Council,minutes/2024/2024-06-05_council_538.md,final
546,2024-06-12,County Council,County Council,minutes/2024/2024-06-12_council_546.md,final
551,2024-06-26,County Council,County Council,minutes/2024/2024-06-26_council_551.md,final
558,2024-07-09,County Council,County Council,minutes/2024/2024-07-09_council_558.md,final
561,2024-07-10,County Council,County Council,minutes/2024/2024-07-10_council_561.md,final
568,2024-07-17,County Council,County Council,minutes/2024/2024-07-17_council_568.md,final
600,2024-07-19,County Council,County Council,minutes/2024/2024-07-19_council_600.md,final
596,2024-07-31,County Council,County Council,minutes/2024/2024-07-31_council_596.md,final
598,2024-08-05,County Council,County Council Joint Meeting with Park City Council,minutes/2024/2024-08-05_council_598.md,final
605,2024-08-07,County Council,County Council,minutes/2024/2024-08-07_council_605.md,final
611,2024-08-14,County Council,County Council,minutes/2024/2024-08-14_council_611.md,final
620,2024-08-21,County Council,County Council,minutes/2024/2024-08-21_council_620.md,final
643,2024-08-28,County Council,County Council,minutes/2024/2024-08-28_council_643.md,final
664,2024-08-30,County Council,County Council,minutes/2024/2024-08-30_council_664.md,final
648,2024-09-04,County Council,County Council,minutes/2024/2024-09-04_council_648.md,final
678,2024-09-16,County Council,County Council,minutes/2024/2024-09-16_council_678.md,final
654,2024-09-18,County Council,County Council,minutes/2024/2024-09-18_council_654.md,final
666,2024-09-25,County Council,County Council,minutes/2024/2024-09-25_council_666.md,final
672,2024-10-02,County Council,County Council,minutes/2024/2024-10-02_council_672.md,final
674,2024-10-03,County Council,County Council,minutes/2024/2024-10-03_council_674.md,final
676,2024-10-04,County Council,County Council,minutes/2024/2024-10-04_council_676.md,final
681,2024-10-09,County Council,County Council,minutes/2024/2024-10-09_council_681.md,final
684,2024-10-23,County Council,County Council,minutes/2024/2024-10-23_council_684.md,final
1280,2024-10-28,County Council,County Council - Special Meeting,minutes/2024/2024-10-28_council_1280.md,final
685,2024-10-30,County Council,County Council,minutes/2024/2024-10-30_council_685.md,final
686,2024-11-06,County Council,County Council,minutes/2024/2024-11-06_council_686.md,final
694,2024-11-07,County Council,County Council Special Meeting,minutes/2024/2024-11-07_council_694.md,final
697,2024-11-13,County Council,County Council,minutes/2024/2024-11-13_council_697.md,final
701,2024-11-19,County Council,County Council,minutes/2024/2024-11-19_council_701.md,final
703,2024-11-20,County Council,County Council,minutes/2024/2024-11-20_council_703.md,final
706,2024-11-22,County Council,County Council,minutes/2024/2024-11-22_council_706.md,final
722,2024-12-04,County Council,County Council,minutes/2024/2024-12-04_council_722.md,final
725,2024-12-06,County Council,County Council,minutes/2024/2024-12-06_council_725.md,final
757,2024-12-10,County Council,County Council,minutes/2024/2024-12-10_council_757.md,final
745,2024-12-11,County Council,County Council,minutes/2024/2024-12-11_council_745.md,final
752,2024-12-18,County Council,County Council,minutes/2024/2024-12-18_council_752.md,final
758,2024-12-27,County Council,County Council,minutes/2024/2024-12-27_council_758.md,final
765,2025-01-08,County Council,County Council,minutes/2025/2025-01-08_council_765.md,final
770,2025-01-15,County Council,County Council,minutes/2025/2025-01-15_council_770.md,final
797,2025-01-22,County Council,County Council,minutes/2025/2025-01-22_council_797.md,final
803,2025-01-29,County Council,County Council,minutes/2025/2025-01-29_council_803.md,final
812,2025-02-05,County Council,County Council,minutes/2025/2025-02-05_council_812.md,final
821,2025-02-12,County Council,County Council,minutes/2025/2025-02-12_council_821.md,final
825,2025-02-19,County Council,County Council,minutes/2025/2025-02-19_council_825.md,final
831,2025-02-26,County Council,County Council,minutes/2025/2025-02-26_council_831.md,final
842,2025-03-12,County Council,County Council,minutes/2025/2025-03-12_council_842.md,final
843,2025-03-14,County Council,County Council Joint Meeting with Park City Council,minutes/2025/2025-03-14_council_843.md,final
844,2025-03-19,County Council,County Council,minutes/2025/2025-03-19_council_844.md,final
860,2025-03-26,County Council,County Council,minutes/2025/2025-03-26_council_860.md,final
865,2025-04-02,County Council,County Council,minutes/2025/2025-04-02_council_865.md,final
873,2025-04-09,County Council,County Council,minutes/2025/2025-04-09_council_873.md,final
888,2025-04-23,County Council,County Council,minutes/2025/2025-04-23_council_888.md,final
889,2025-04-30,County Council,County Council,minutes/2025/2025-04-30_council_889.md,final
898,2025-05-07,County Council,County Council,minutes/2025/2025-05-07_council_898.md,final
901,2025-05-14,County Council,County Council,minutes/2025/2025-05-14_council_901.md,final
920,2025-05-19,County Council,County Council,minutes/2025/2025-05-19_council_920.md,final
915,2025-05-21,County Council,County Council,minutes/2025/2025-05-21_council_915.md,final
927,2025-06-04,County Council,County Council,minutes/2025/2025-06-04_council_927.md,final
941,2025-06-11,County Council,County Council,minutes/2025/2025-06-11_council_941.md,final
951,2025-06-25,County Council,County Council,minutes/2025/2025-06-25_council_951.md,final
959,2025-07-09,County Council,County Council,minutes/2025/2025-07-09_council_959.md,final
967,2025-07-16,County Council,County Council,minutes/2025/2025-07-16_council_967.md,final
976,2025-07-30,County Council,County Council,minutes/2025/2025-07-30_council_976.md,final
982,2025-08-06,County Council,County Council,minutes/2025/2025-08-06_council_982.md,final
989,2025-08-13,County Council,County Council,minutes/2025/2025-08-13_council_989.md,final
993,2025-08-20,County Council,County Council,minutes/2025/2025-08-20_council_993.md,final
1008,2025-09-03,County Council,County Council,minutes/2025/2025-09-03_council_1008.md,final
1066,2025-09-17,County Council,County Council,minutes/2025/2025-09-17_council_1066.md,final
1090,2025-09-24,County Council,County Council,minutes/2025/2025-09-24_council_1090.md,final
1099,2025-10-01,County Council,County Council,minutes/2025/2025-10-01_council_1099.md,final
1100,2025-10-02,County Council,County Council,minutes/2025/2025-10-02_council_1100.md,draft
1104,2025-10-08,County Council,County Council,minutes/2025/2025-10-08_council_1104.md,final
1107,2025-10-15,County Council,County Council,minutes/2025/2025-10-15_council_1107.md,final
1115,2025-10-22,County Council,County Council,minutes/2025/2025-10-22_council_1115.md,final
1119,2025-11-03,County Council,County Council,minutes/2025/2025-11-03_council_1119.md,final
1124,2025-11-12,County Council,County Council,minutes/2025/2025-11-12_council_1124.md,final
1126,2025-11-14,County Council,County Council,minutes/2025/2025-11-14_council_1126.md,final
1131,2025-11-19,County Council,County Council,minutes/2025/2025-11-19_council_1131.md,final
1137,2025-12-03,County Council,County Council A,minutes/2025/2025-12-03_council_1137.md,final
1138,2025-12-03,County Council,County Council B,minutes/2025/2025-12-03_council_1138.md,final
1140,2025-12-10,County Council,County Council A,minutes/2025/2025-12-10_council_1140.md,final
1141,2025-12-10,County Council,County Council B,minutes/2025/2025-12-10_council_1141.md,final
1185,2025-12-17,County Council,County Council,minutes/2025/2025-12-17_council_1185.md,final
1190,2026-01-07,County Council,County Council,minutes/2026/2026-01-07_council_1190.md,final
1193,2026-01-14,County Council,County Council,minutes/2026/2026-01-14_council_1193.md,final
1209,2026-01-28,County Council,County Council,minutes/2026/2026-01-28_council_1209.md,final
1218,2026-02-04,County Council,County Council,minutes/2026/2026-02-04_council_1218.md,final
1246,2026-02-25,County Council,County Council,minutes/2026/2026-02-25_council_1246.md,final
1250,2026-03-04,County Council,County Council,minutes/2026/2026-03-04_council_1250.md,final
1266,2026-03-06,County Council,Joint City Council and County Council Meeting,minutes/2026/2026-03-06_council_1266.md,final
1264,2026-03-11,County Council,County Council,minutes/2026/2026-03-11_council_1264.md,final
1269,2026-03-18,County Council,County Council,minutes/2026/2026-03-18_council_1269.md,final
1273,2026-03-25,County Council,County Council,minutes/2026/2026-03-25_council_1273.md,final
1274,2026-04-01,County Council,County Council,minutes/2026/2026-04-01_council_1274.md,final
1286,2026-04-08,County Council,County Council,minutes/2026/2026-04-08_council_1286.md,final
1297,2026-04-15,County Council,County Council,minutes/2026/2026-04-15_council_1297.md,final
1329,2026-04-22,County Council,County Council,minutes/2026/2026-04-22_council_1329.md,final
1342,2026-05-06,County Council,County Council,minutes/2026/2026-05-06_council_1342.md,final
1347,2026-05-13,County Council,County Council,minutes/2026/2026-05-13_council_1347.md,draft
1350,2026-05-20,County Council,County Council,minutes/2026/2026-05-20_council_1350.md,final
1351,2026-05-20,County Council,County Council - CDBG Public Hearing,minutes/2026/2026-05-20_council_1351.md,final
1370,2026-06-03,County Council,County Council,minutes/2026/2026-06-03_council_1370.md,draft
1376,2026-06-10,County Council,County Council,minutes/2026/2026-06-10_council_1376.md,draft
1394,2026-07-07,County Council,County Council,minutes/2026/2026-07-07_council_1394.md,draft
