ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,instrument_type,canonical_no,dup_raw,source_last_modified,linkage_note
2019-12-03,2019-12-05,2019-12-05,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPROVING AND ADOPTING AN INTERLOCAL COOPERATION AGREEMENT BY AND BETWEEN THE | WHITE CITY WATER IMPROVEMENT DISTRICT AND THE WHITE CITY METRO | TOWNSHIP COUNCIL FOR THE USE OF THE “CodeRED” EMERGENCY COMMUNICATIONS PLATFORM,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1579649054_Resolution%2019-12-03.pdf,2026-07-13,scanned,ocr_tesseract,raw/1579649054_Resolution_19-12-03.pdf,no,Pass (unanimous),2019-12-05,8,high,resolution,2019-12-03,,2020-01-21,number cited in recorded motion
2019-12-04,2019-12-05,2019-12-05,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPROVING AND ADOPTING THE REVISED AND RESTATED INTERLOCAL COOPERATION AGREEMENT BETWEEN PUBLIC ENTITIES TO CREATE AND GOVERN THE UNIFIED FIRE AUTHORITY,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1579647303_Resolution%2019-12-04.pdf,2026-07-13,scanned,ocr_tesseract,raw/1579647303_Resolution_19-12-04.pdf,no,Pass (unanimous),2019-12-05,9,high,resolution,2019-12-04,,2020-01-21,number cited in recorded motion
2020-01-01,2020-01-02,2020-01-02,"A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPOINTING MAYOR _/., Jin. F. F/j.+ TO SERVE AS WHITE CITY’S MEMBER ON THE BOARD OF TRUSTEES OF THE GREATER SALT LAKE MUNICIPAL SERVICES DISTRICT, AND MAYOR PRO-TEMPORE A ax Deckerse ~ _TOSERVE AS THE TRUSTEE-ALTERNATE",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1579637702_Resolution%2020-01-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/1579637702_Resolution_20-01-01.pdf,no,Pass (unanimous),2020-01-02,1,high,resolution,2020-01-01,,2020-01-21,number cited in recorded motion
2020-01-02,2020-01-02,2020-01-02,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPOINTING ALLAN PERRY TO SERVE AS WHITE CITY’S MEMBER ON THE BOARDS OF TRUSTEES OF THE UNIFIED FIRE AUTHORITY AND UNIFIED FIRE SERVICE AREA,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1579636985_Resolution%2020-01-02.pdf,2026-07-13,scanned,ocr_tesseract,raw/1579636985_Resolution_20-01-02.pdf,no,Pass (unanimous),2020-01-02,2,high,resolution,2020-01-02,,2020-01-21,number cited in recorded motion
2020-01-03,2020-01-02,2020-01-02,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPOINTING D. SCOTT LITTLE TO SERVE AS WHITE CITY’S MEMBER ON THE BOARDS OF TRUSTEES OF THE UNIFIED POLICE DEPARTMENT AND SALT LAKE VALLEY LAW ENFORCEMENT SERVICE AREA,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1579636796_Resolution%2020-01-03.pdf,2026-07-13,scanned,ocr_tesseract,raw/1579636796_Resolution_20-01-03.pdf,no,Pass (unanimous),2020-01-02,3,high,resolution,2020-01-03,,2020-01-21,number cited in recorded motion
2020-01-04,2020-01-02,2020-01-02,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPOINTING KAY DICKERSON TO SERVE AS WHITE CITY’S MEMBER ON THE BOARD OF TRUSTEES OF THE WASATCH FRONT WASTE AND RECYCLING DISTRICT,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1579636493_Resolution%2020-01-04.pdf,2026-07-13,scanned,ocr_tesseract,raw/1579636493_Resolution_20-01-04.pdf,no,Pass (unanimous),2020-01-02,4,high,resolution,2020-01-04,,2020-01-21,number cited in recorded motion
2020-01-05,2020-01-02,2020-01-02,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPOINTING LINDA PRICE TO SERVE AS WHITE CITY’S MEMBER ON THE BOARD OF TRUSTEES OF THE SOUTH SALT LAKE VALLEY MOSQUITO ABATEMENT DISTRICT,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1579635794_Resolution%2020-01-05.pdf,2026-07-13,scanned,ocr_tesseract,raw/1579635794_Resolution_20-01-05.pdf,no,Pass (unanimous),2020-01-02,5,high,resolution,2020-01-05,,2020-01-21,number cited in recorded motion
2020-01-06,2020-01-02,2020-01-02,"A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPOINTING MAYOR : F. J7,00 SERVE AS WHITE CITY’S MEMBER ON THE BOARD OF THE SALT LAKE COUNTY COUNCIL OF GOVERNMENTS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1579635355_Resolution%2020-01-06.pdf,2026-07-13,scanned,ocr_tesseract,raw/1579635355_Resolution_20-01-06.pdf,no,Pass (unanimous),2020-01-02,6,high,resolution,2020-01-06,,2020-01-21,number cited in recorded motion
2020-01-07,2020-01-02,2020-01-02,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL ACCEPTING AND APPROVING THE BID FOR INSURANCE FROM THE UTAH LOCAL GOVERNMENTS TRUST AND AUTHORIZING PAYMENT OF THE PREMIUM UPON RECEIPT OF THE BILLING INVOICE,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1579634840_Resolution%2020-01-07.pdf,2026-07-13,scanned,ocr_tesseract,raw/1579634840_Resolution_20-01-07.pdf,no,Pass (unanimous),2020-01-02,7,high,resolution,2020-01-07,,2020-01-21,number cited in recorded motion
2020-02-01,2020-02-06,2020-02-06,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL RATIFYING THE APPOINTMENT OF PAULINA F. FLINT AS WHITE CITY’S MEMBER ON THE BOARDS OF TRUSTEES OF THE UNIFIED POLICE DEPARTMENT AND SALT LAKE VALLEY LAW ENFORCEMENT SERVICE AREA,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1597246929_Resolution%2020-02-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/1597246929_Resolution_20-02-01.pdf,no,Pass (unanimous),2020-02-06,2,high,resolution,2020-02-01,,2020-08-12,number cited in recorded motion
2020-02-01,2020-03-05,2020-03-05,"AN ORDINANCE AMENDING TITLE 5, ENTITLED “BUSINESS LICENSES AND REGULATIONS,” OF THE WHITE CITY METRO TOWNSHIP CODE OF ORDINANCES, BY ADDING PUBLIC NUISANCE, CRIME-MAGNET, AND GENERAL WELFARE JUSTIFICATIONS FOR REVOKING A BUSINESS LICENSE AND PROVIDING GREATER DUE PROCESS FOR BUSINESS LICENSE SUPENSI",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/ordinances/documents/1597246645_Ordinance%2020-02-01.pdf,2026-07-13,text,pdftotext_layout,raw/1597246645_Ordinance_20-02-01.pdf,no,Pass (unanimous),2020-03-05,9,high,ordinance,2020-02-01,,2020-08-12,number cited in recorded motion
2020-03-02,2020-03-05,2020-03-05,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPROVING BYLAWS FOR THE WHITE CITY GENERAL PLAN STEERING COMMISSION,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1597246888_Resolution%2020-03-02.pdf,2026-07-13,text,pdftotext_layout,raw/1597246888_Resolution_20-03-02.pdf,yes,3-1 Pass,2020-03-05,17,high,resolution,2020-03-02,,2020-08-12,number cited in recorded motion
2020-04-01,2020-05-07,2020-05-07,"A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL IDENTIFYING THE INTENT TO AMEND AND ESTABLISH SPECIAL LAND USE RULES, REGULATIONS, AND MANAGEMENT FOR FEMA-IDENTIFIED FLOOD ZONES LOCATED IN WHITE CITY TO APPLY FOR INCLUSION IN THE NATIONAL FLOOD INSURANCE PROGRAM",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1597246742_Resolution%2020-04-01.pdf,2026-07-13,text,pdftotext_layout,raw/1597246742_Resolution_20-04-01.pdf,yes,,,,none,resolution,2020-04-01,1597246859_Resolution_20-04-01.pdf,2020-08-12,
2020-06-01,2020-06-04,2020-06-04,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPROVING A LICENCE FOR PIPELINE AGREEMENT FOR A NONEXCLUSIVE WIRELESS TELECOMMUNICATIONS INFRASTRUCTURE FRANCHISE BETWEEN TELEPORT COMMUNICATIONS AMERICA LLC AND WHITE CITY,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1597246703_Resolution%2020-06-01.pdf,2026-07-13,text,pdftotext_layout,raw/1597246703_Resolution_20-06-01.pdf,no,4-1 Pass,2020-06-04,4,high,resolution,2020-06-01,,2020-08-12,number cited in recorded motion
2020-06-01,2020-07-02,2020-07-02,"AN ORDINANCE OF THE WHITE CITY METRO TOWNSHIP COUNCIL REPEALING CHAPTER 3.52, ENTITLED ""SUBDIVISION AND ZONING FEES,"" AND REPLACING IT WITH A NEW CHAPTER 3.52 THAT REFERENCES THE PLANNING AND DEVELOPMENT SERVICES FEE SCHEDULE APPROVED BY THE COUNCIL PURSUANT TO THE WHITE CITY MUNICIPAL CODE OF ORDIN",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/ordinances/documents/1595530996_Ordinance%2020-06-01.pdf,2026-07-13,text,pdftotext_layout,raw/1595530996_Ordinance_20-06-01.pdf,yes,4-1 Pass,2020-07-02,5,high,ordinance,2020-06-01,,2020-07-23,number cited in recorded motion
2020-07-01,2020-07-02,2020-07-02,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL ADOPTING THE GREATER SALT LAKE MUNICIPAL SERVICES DISTRICT EMERGENCY OPERATIONS PLAN (EOP) AS WHITE CITY’S EMERGENCY OPERATIONS PLAN,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1595530726_Resolution%2020-07-01.pdf,2026-07-13,text,pdftotext_layout,raw/1595530726_Resolution_20-07-01.pdf,no,4-1 Pass,2020-07-02,9,high,resolution,2020-07-01,,2020-07-23,number cited in recorded motion
