date,video_id,video_url,title,body,minutes_match,caption_sampled
2021-09-21,8i1J2Nps85c,https://www.youtube.com/watch?v=8i1J2Nps85c,"Logan Municipal Council Meeting Sept. 21, 2021, Part 2",Council,yes,no
2021-09-21,tAMHZHxaa-A,https://www.youtube.com/watch?v=tAMHZHxaa-A,"Logan Municipal Council Meeting Sept. 21, 2021",Council,yes,no
2021-09-08,gKpuMZLwBQQ,https://www.youtube.com/watch?v=gKpuMZLwBQQ,"Logan Candidate Forum September 8, 2021",CandidateForum,no,no
2021-09-07,0ZHzxSa79F8,https://www.youtube.com/watch?v=0ZHzxSa79F8,"LOGAN MUNICIPAL COUNCIL MEETING September 7, 2021",Council,yes,no
2021-08-17,KpZq2XpgheQ,https://www.youtube.com/watch?v=KpZq2XpgheQ,"LOGAN MUNICIPAL COUNCIL MEETING August 17, 2021",Council,yes,no
2021-08-03,gDPmpL2Wb-0,https://www.youtube.com/watch?v=gDPmpL2Wb-0,"LOGAN MUNICIPAL COUNCIL MEETING August 3, 2021",Council,yes,no
2021-07-20,WqTUvZBAzuQ,https://www.youtube.com/watch?v=WqTUvZBAzuQ,"LOGAN MUNICIPAL COUNCIL MEETING  July 20, 2021",Council,yes,no
2021-06-15,VZc3xQzI_KY,https://www.youtube.com/watch?v=VZc3xQzI_KY,"LOGAN MUNICIPAL COUNCIL MEETING  June 15, 2021",Council,yes,no
2021-06-01,EFhnc3ErQfM,https://www.youtube.com/watch?v=EFhnc3ErQfM,"LOGAN MUNICIPAL COUNCIL MEETING  June 1, 2021",Council,yes,no
2021-05-25,OrHhheXB8_4,https://www.youtube.com/watch?v=OrHhheXB8_4,"LOGAN MUNICIPAL COUNCIL MEETING – BUDGET WORKSHOP  May 25, 2021",BudgetWorkshop,no,no
2021-05-18,RjSbwBqbInk,https://www.youtube.com/watch?v=RjSbwBqbInk,"Logan Municipal Council Meeting May 18, 2021",Council,yes,no
2021-05-11,IGBPy2flxes,https://www.youtube.com/watch?v=IGBPy2flxes,"LOGAN MUNICIPAL COUNCIL MEETING – BUDGET WORKSHOP  May 11, 2021",BudgetWorkshop,no,no
2021-05-04,gNgZjBSEKWw,https://www.youtube.com/watch?v=gNgZjBSEKWw,"Logan Municipal Council Meeting May 4, 2021",Council,yes,no
2021-04-20,zstbn-9JKYc,https://www.youtube.com/watch?v=zstbn-9JKYc,"Logan Municipal Council Meeting April 20, 2021",Council,yes,no
2021-04-06,rsuDhGW0rL4,https://www.youtube.com/watch?v=rsuDhGW0rL4,"Logan Municipal Council Meeting April 6, 2021",Council,yes,no
2021-03-16,T8qkT_2lJQs,https://www.youtube.com/watch?v=T8qkT_2lJQs,"City of Logan Utah Municipal Council Live Stream March 16, 2021",Council,yes,no
2021-03-03,CLY3bi21oQo,https://www.youtube.com/watch?v=CLY3bi21oQo,"City of Logan Utah Municipal Council Live Stream March 3, 2021",Council,no,no
2021-02-16,0HVHTD6YGd4,https://www.youtube.com/watch?v=0HVHTD6YGd4,"City of Logan Utah Municipal Council Live Stream Feb. 16, 2021",Council,yes,no
2021-02-16,glk1NP7HJiA,https://www.youtube.com/watch?v=glk1NP7HJiA,"City of Logan Utah Municipal Council Live Stream Feb. 16, 2021",Council,yes,no
2021-02-02,8gvV91ACnHU,https://www.youtube.com/watch?v=8gvV91ACnHU,"City of Logan Utah Municipal Council Live Stream Feb. 2, 2021",Council,yes,no
2021-01-19,DkxEZKe39Cs,https://www.youtube.com/watch?v=DkxEZKe39Cs,"City of Logan Utah Municipal Council Live Stream Jan. 19, 2021",Council,yes,no
2021-01-05,PBrAl3IOTNw,https://www.youtube.com/watch?v=PBrAl3IOTNw,"City of Logan Utah Municipal Council Live Stream Jan. 5, 2021",Council,yes,no
