date,body,meeting_type,pmn_url,pmn_file_id,matches_repo_file,match_confidence
2020-05-19,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/640380.pdf,640380,meeting_minutes/minutes/2020/2020-05-18/2020-05-19_formal-meeting.txt,high
2020-05-19,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/645583.pdf,645583,meeting_minutes/minutes/2020/2020-05-18/2020-05-19_work-session.txt,high
2020-05-26,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/698773.pdf,698773,meeting_minutes/minutes/2020/2020-05-25/2020-05-26_work-session.txt,high
2020-05-28,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/698775.pdf,698775,meeting_minutes/minutes/2020/2020-05-25/2020-05-28_work-session.txt,high
2020-06-02,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/640388.pdf,640388,meeting_minutes/minutes/2020/2020-06-01/2020-06-02_formal-meeting.txt,high
2020-06-02,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/709721.pdf,709721,meeting_minutes/minutes/2020/2020-06-01/2020-06-02_work-session.txt,high
2020-06-04,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/640382.pdf,640382,meeting_minutes/minutes/2020/2020-06-01/2020-06-04_formal-meeting.txt,high
2020-06-09,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/689007.pdf,689007,meeting_minutes/minutes/2020/2020-06-08/2020-06-09_work-session.txt,high
2020-06-11,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/678511.pdf,678511,meeting_minutes/minutes/2020/2020-06-08/2020-06-11_work-session.txt,high
2020-06-16,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/709729.pdf,709729,meeting_minutes/minutes/2020/2020-06-15/2020-06-16_work-session.txt,high
2020-07-02,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/640378.pdf,640378,meeting_minutes/minutes/2020/2020-06-29/2020-07-02_formal-meeting.txt,high
2020-07-02,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/640372.pdf,640372,meeting_minutes/minutes/2020/2020-06-29/2020-07-02_work-session.txt,high
2020-07-07,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/645597.pdf,645597,meeting_minutes/minutes/2020/2020-07-06/2020-07-07_formal-meeting.txt,high
2020-07-07,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/678533.pdf,678533,meeting_minutes/minutes/2020/2020-07-06/2020-07-07_work-session.txt,high
2020-07-14,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/650207.pdf,650207,meeting_minutes/minutes/2020/2020-07-13/2020-07-14_formal-meeting.txt,high
2020-07-14,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/659697.pdf,659697,meeting_minutes/minutes/2020/2020-07-13/2020-07-14_work-session.txt,high
2020-08-11,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/645619.pdf,645619,meeting_minutes/minutes/2020/2020-08-10/2020-08-11_formal-meeting.txt,high
2020-08-11,Salt Lake City Council,Formal Meeting 2,https://www.utah.gov/pmn/files/645613.pdf,645613,meeting_minutes/minutes/2020/2020-08-10/2020-08-11_formal-meeting-2.txt,high
2020-08-11,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/678543.pdf,678543,meeting_minutes/minutes/2020/2020-08-10/2020-08-11_work-session.txt,high
2020-08-18,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/640392.pdf,640392,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_formal-meeting.txt,high
2020-08-18,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/659699.pdf,659699,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_work-session.txt,high
2020-09-01,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/645617.pdf,645617,meeting_minutes/minutes/2020/2020-08-31/2020-09-01_formal-meeting.txt,high
2020-09-01,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/715343.pdf,715343,meeting_minutes/minutes/2020/2020-08-31/2020-09-01_work-session.txt,high
2020-09-15,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/650211.pdf,650211,meeting_minutes/minutes/2020/2020-09-14/2020-09-15_formal-meeting.txt,high
2020-09-15,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/657545.pdf,657545,meeting_minutes/minutes/2020/2020-09-14/2020-09-15_work-session.txt,high
2020-09-29,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/730389.pdf,730389,meeting_minutes/minutes/2020/2020-09-28/2020-09-29_work-session.txt,high
2020-10-06,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/659703.pdf,659703,meeting_minutes/minutes/2020/2020-10-05/2020-10-06_formal-meeting.txt,high
2020-10-06,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/715347.pdf,715347,meeting_minutes/minutes/2020/2020-10-05/2020-10-06_work-session.txt,high
2020-10-13,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/729086.pdf,729086,meeting_minutes/minutes/2020/2020-10-12/2020-10-13_work-session.txt,high
2020-10-20,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/664855.pdf,664855,meeting_minutes/minutes/2020/2020-10-19/2020-10-20_formal-meeting.txt,high
2020-10-20,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/729088.pdf,729088,meeting_minutes/minutes/2020/2020-10-19/2020-10-20_work-session.txt,high
2020-10-28,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/657547.pdf,657547,meeting_minutes/minutes/2020/2020-10-26/2020-10-28_formal-meeting.txt,high
2020-11-10,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/677133.pdf,677133,meeting_minutes/minutes/2020/2020-11-09/2020-11-10_formal-meeting.txt,high
2020-11-10,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/751023.pdf,751023,meeting_minutes/minutes/2020/2020-11-09/2020-11-10_work-session.txt,high
2020-11-17,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/677135.pdf,677135,meeting_minutes/minutes/2020/2020-11-16/2020-11-17_formal-meeting.txt,high
2020-11-17,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/741513.pdf,741513,meeting_minutes/minutes/2020/2020-11-16/2020-11-17_work-session.txt,high
2020-12-01,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/677137.pdf,677137,meeting_minutes/minutes/2020/2020-11-30/2020-12-01_formal-meeting.txt,high
2020-12-01,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/692497.pdf,692497,meeting_minutes/minutes/2020/2020-11-30/2020-12-01_work-session.txt,high
2020-12-08,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/678561.pdf,678561,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_formal-meeting.txt,high
2020-12-08,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/741537.pdf,741537,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_work-session.txt,high
2020-12-11,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/678571.pdf,678571,meeting_minutes/minutes/2020/2020-12-07/2020-12-11_formal-meeting.txt,high
