ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,land_use_category,n_motion_events,has_signed_pdf,linkage_note,minutes_source
2020-22,2020-05-14,2020-05-14,"approving the 1209 Park Avenue Plat Amendment, located at 1209 Park Avenue, Park City, Utah",minutes/2020/2020-05-11/2020-05-14_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-05-14,7,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-05-11/2020-05-14_city-council-meeting.md
2020-23,2020-06-11,2020-06-11,"approving the Snow Park Residences Condominium Plat at 2290 Deer Valley Drive East, Park City, Utah",minutes/2020/2020-06-08/2020-06-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-06-11,8,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-06-08/2020-06-11_city-council-meeting.md
2020-24,2020-06-11,2020-06-11,"approving the 1121 Norfolk Avenue Plat Amendment, located at 1121 Norfolk Avenue, Park City, Utah",minutes/2020/2020-06-08/2020-06-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-06-11,9,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-06-08/2020-06-11_city-council-meeting.md
2020-25,2020-06-11,2020-06-11,"AN ORDINANCE AMENDING PARK CITY MUNICIPAL CODE TITLE 2, CHAPTER 4, SECTION 9 – BONDING OF CITY OFFICIALS, TO REFLECT CHANGES IN STATE LAW",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1592935139_2020-25_Employee_Bonding.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1592935139_2020-25_Employee_Bonding.pdf,no,5-0 Pass,2020-06-11,10,high,,1,yes,,minutes/2020/2020-06-08/2020-06-11_city-council-meeting.md
2020-26,2020-06-18,2020-06-18,adopting a revised budget for FY2020 and a final provisional budget for FY2021 for seconded the motion,minutes/2020/2020-06-15/2020-06-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2020-06-18,1,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-06-15/2020-06-18_city-council-meeting.md
2020-27,2020-06-18,2020-06-18,"establishing compensation for the Mayor, City Council, and statutory officers for Fiscal Year 2020-2021 in Park City, Utah",minutes/2020/2020-06-15/2020-06-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2020-06-18,2,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-06-15/2020-06-18_city-council-meeting.md
2020-28,2020-06-18,2020-06-18,approving the 1162 Woodside Plat Amendment Located at 1162 Woodside Avenue,minutes/2020/2020-06-15/2020-06-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-06-18,5,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-06-15/2020-06-18_city-council-meeting.md
2020-29,2020-06-18,2020-06-18,"approving the 1064 Park Avenue Condominium Plat, located at 1064 Park Avenue, a condition to include a plat note that prohibits nightly rentals in the accessory structure, and in a form approved by the City Attorney",minutes/2020/2020-06-15/2020-06-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-06-18,6,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-06-15/2020-06-18_city-council-meeting.md
2020-30,2020-06-25,2020-06-25,AN ORDINANCE AMENDING LAND MANAGEMENT CODE § 15-10-5 TO ALLOW THE ALTERNATE BOARD OF ADJUSTMENT MEMBER TO COUNT TOWARD A QUORUM,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1593614179_2020-30_Code_Amendment_-_BOA.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1593614179_2020-30_Code_Amendment_-_BOA.pdf,yes,4-0 Pass,2020-06-25,6,high,lmc_text_amendment,1,yes,,minutes/2020/2020-06-22/2020-06-25_city-council-meeting.md
2020-31,2020-07-09,2020-07-09,"approving the Huntsman Estates Subdivision Plat located at 5000 Royal Street, Park City, Utah, with the amendment to waive the preliminary plat requirement",minutes/2020/2020-07-06/2020-07-09_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-1 Pass,2020-07-09,6,within_source,subdivision_plat,3,no,"number cited on 2 dates: 2020-06-25, 2020-07-09; last passing motion chosen; number known only from council motion text (no independent signed PDF)",minutes/2020/2020-07-06/2020-07-09_city-council-meeting.md
2020-32,2020-07-09,2020-07-09,"approving the 802 Empire Avenue Subdivision, located at 802 Empire Avenue, Park City, Utah",minutes/2020/2020-07-06/2020-07-09_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-07-09,8,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-07-06/2020-07-09_city-council-meeting.md
2020-33,2020-07-09,2020-07-09,"approving the Alpine Retreat @ Park City Unit 1, Amended Condominium Plat, located at 1274 Park Avenue, Park City, Utah",minutes/2020/2020-07-06/2020-07-09_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-07-09,9,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-07-06/2020-07-09_city-council-meeting.md
2020-34,2020-07-09,2020-07-09,"AN ORDINANCE AMENDING LAND MANAGEMENT CODE § 15-1-12(C), NOTICE, AND 15-1-18(F), FORM OF APPEALS, TO REPLACE THE REQUIREMENT THAT APPLICANTS SUBMIT STAMPED, PRE-ADDRESSED ENVELOPES WITH A REQUIREMENT THAT APPLICANTS SUBMIT AN ELECTRONIC LIST OF CERTAIN PROPERTY OWNERS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1595360393_2020-34_LMC_15-1-12.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1595360393_2020-34_LMC_15-1-12.pdf,yes,5-0 Pass,2020-07-09,10,high,lmc_text_amendment,1,yes,,minutes/2020/2020-07-06/2020-07-09_city-council-meeting.md
2020-35,2020-07-09,2020-07-09,Wildland Urban Interface.docx,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1595360427_2020-35_Wildland_Urban_Interface.docx.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1595360427_2020-35_Wildland_Urban_Interface.docx.pdf,yes,5-0 Pass,2020-07-09,11,high,overlay_sensitive_lands,1,yes,,minutes/2020/2020-07-06/2020-07-09_city-council-meeting.md
2020-36,2020-07-30,2020-07-30,Special Event Code w Redlines.docx,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1597172093_2020-36_Special_Event_Code_w_Redlines.docx.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1597172093_2020-36_Special_Event_Code_w_Redlines.docx.pdf,no,3-0 Pass,2020-07-30,7,high,,1,yes,,minutes/2020/2020-07-27/2020-07-30_city-council-meeting.md
2020-37,2020-07-30,2020-07-30,AN ORDINANCE AMENDING FOOTNOTE 2 OF LAND MANAGEMENT CODE § 15-2.1-2(B)(1) TO ESTABLISH ADDITIONAL CONDITIONAL USE PERMIT CRITERIA AND A CAP OF TWELVE NIGHTLY RENTALS IN THE WESTERN HISTORIC RESIDENTIAL – LOW DENSITY ZONING DISTRICT,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1597172118_2020-37_Nighlty_Rental_Code_Redlines.docx.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1597172118_2020-37_Nighlty_Rental_Code_Redlines.docx.pdf,yes,3-0 Pass,2020-07-30,8,high,lmc_text_amendment,1,yes,,minutes/2020/2020-07-27/2020-07-30_city-council-meeting.md
2020-38,2020-07-30,2020-07-30,AN ORDINANCE AMENDING THE LAND MANAGEMENT CODE OF PARK CITY § 15-2.13-2 TO PROHIBIT NIGHTLY RENTALS IN THE MEADOWS ESTATES SUBDIVISION PHASES #1A AND #1B,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1597172138_2020-38_Nightly_Rentals_Meadows_Estates.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1597172138_2020-38_Nightly_Rentals_Meadows_Estates.pdf,yes,3-0 Pass,2020-07-30,9,high,subdivision_plat,1,yes,,minutes/2020/2020-07-27/2020-07-30_city-council-meeting.md
2020-39,2020-11-19,2020-11-19,"AN ORDINANCE APPROVING A NEW ZONING DISTRICT TO BE KNOWN AS LAND MANAGEMENT CODE CHAPTER 15-2.26, URBAN PARK DISTRICT, AND A ZONING MAP AMENDMENT TO REZONE ROTARY PARK, CREEKSIDE PARK, PROSPECTOR PARK, CITY PARK, AND THE NORTH MUNICIPAL GOLF COURSE FROM RECREATION AND OPEN SPACE TO URBAN PARK DISTRICT ZONING",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1606326941_2020-39_Urban_Park_Zoning.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1606326941_2020-39_Urban_Park_Zoning.pdf,yes,5-0 Pass,2020-11-19,5,high,zone_change,3,yes,"number cited on 3 dates: 2020-08-04, 2020-09-17, 2020-11-19; last passing motion chosen",minutes/2020/2020-11-16/2020-11-19_city-council-meeting.md
2020-40,2020-08-04,2020-08-04,"AN ORDINANCE ENACTING MUNICIPAL CODE OF PARK CITY SECTION 9-3-5, ELECTRIC VEHICLE CHARGING STALLS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1597172160_2020-40_EV_Charging_Stall_Ordinance_and_Redlines_(1).docx.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1597172160_2020-40_EV_Charging_Stall_Ordinance_and_Redlines_(1).docx.pdf,no,4-0 Pass,2020-08-04,10,high,,1,yes,,minutes/2020/2020-08-03/2020-08-04_city-council-meeting.md
2020-41,2020-09-17,2020-09-17,"approving the Aspen Springs Ranch Phase I Lot 18 Amended Plat Amendment, located at 2524 Aspen Springs Drive, Park City, Utah",minutes/2020/2020-09-14/2020-09-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-09-17,10,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-09-14/2020-09-17_city-council-meeting.md
2020-42,2020-09-17,2020-09-17,LMC Ordinance and Attachment,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1603128991_2020-42_LMC_Ordinance_and_Attachment.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1603128991_2020-42_LMC_Ordinance_and_Attachment.pdf,yes,5-0 Pass,2020-09-17,11,high,lmc_text_amendment,1,yes,,minutes/2020/2020-09-14/2020-09-17_city-council-meeting.md
2020-43,2020-09-17,2020-09-17,"approving the Prospector Square Supplemental Amendment to Lot G Amended and Restated, located at 1775 Prospector Avenue, Park City, Utah",minutes/2020/2020-09-14/2020-09-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2020-09-17,12,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-09-14/2020-09-17_city-council-meeting.md
2020-44,2020-09-17,2020-09-17,"AN ORDINANCE AMENDING THE MUNICIPAL CODE OF PARK CITY, UTAH, CHAPTER 13 WATER AND STORMWATER CODE BY ADDING SECTION 13-4 REGULATION AND ENFORCEMENT OF STORMWATER DISCHARGES ASSOCIATED WITH CONSTRUCTION ACTIVITIES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1603129031_2020-44_Title_13_Water_and_Stormwater_Code.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1603129031_2020-44_Title_13_Water_and_Stormwater_Code.pdf,no,5-0 Pass,2020-09-17,13,high,,1,yes,,minutes/2020/2020-09-14/2020-09-17_city-council-meeting.md
2020-45,2020-10-01,2020-10-01,and Land Management Code Redlines,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1603121985_2020-45_and_Land_Management_Code_Redlines.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1603121985_2020-45_and_Land_Management_Code_Redlines.pdf,yes,5-0 Pass,2020-10-01,5,high,lmc_text_amendment,1,yes,,minutes/2020/2020-09-28/2020-10-01_city-council-meeting.md
2020-46,2020-10-13,2020-10-13,adopting an adjusted budget for FY 2021 for Park City Municipal Corporation,minutes/2020/2020-10-12/2020-10-13_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2020-10-13,6,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-10-12/2020-10-13_city-council-meeting.md
2020-47,2020-11-12,2020-11-12,adopting an adjusted budget for FY 2021 for Park City Municipal Corporation,minutes/2020/2020-11-09/2020-11-12_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2020-11-12,5,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-11-09/2020-11-12_city-council-meeting.md
2020-48,2020-11-19,2020-11-19,EV Charging Stations,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1606326966_2020-48_EV_Charging_Stations.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1606326966_2020-48_EV_Charging_Stations.pdf,no,5-0 Pass,2020-11-19,8,high,,1,yes,,minutes/2020/2020-11-16/2020-11-19_city-council-meeting.md
2020-49,2020-11-19,2020-11-19,"approving the 1117 Park Avenue Plat Amendment located at 1117 Park Avenue, Park City, Utah",minutes/2020/2020-11-16/2020-11-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-11-19,9,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-11-16/2020-11-19_city-council-meeting.md
2020-50,2020-11-19,2020-11-19,"approving the 331 McHenry Avenue Subdivision - First Amended Located at 327 McHenry Avenue, Park City, Utah",minutes/2020/2020-11-16/2020-11-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-11-19,10,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-11-16/2020-11-19_city-council-meeting.md
