date,title,doc_type,source_url,retrieved_date,format,extraction_method,path,pages,repository,notes
1980-10,"Sandy City General Plan (pre-2025) Chapter 3 - Growth, Land Use, and Community Identity",general_plan,https://content.civicplus.com/api/assets/42df6c83-8e97-4367-bf13-ed6cbd61dc55?cache=1800,2026-07-16,text,pdftotext-layout+cmap-shift-decode,raw/chapter-03-growth-land-use-community-identity.pdf,40,city,"In-body 'Adopted October 1980'. PDF has a broken Identity-H toUnicode cmap (every glyph maps 29 code points low, the known Sandy garble family); sidecar text is the verified +29 decode (0 PUA/cid artifacts on screen_corpus, dict-clean). Sidecar text/chapter-03-growth-land-use-community-identity.txt."
1979-08,Sandy City General Plan (pre-2025) Chapter 4 - Commercial and Industrial,general_plan,https://content.civicplus.com/api/assets/68262838-92e6-40c0-ae2a-fa0f31ecd1ba?cache=1800,2026-07-16,text,pdftotext-layout,raw/chapter-04-commercial-and-industrial.pdf,59,city,In-body 'Adopted August 1979'. Sidecar text/chapter-04-commercial-and-industrial.txt.
2009-07,"Sandy City General Plan (pre-2025) Chapter 5 - Transportation (Master Transportation Plan Update, July 2009)",general_plan,https://content.civicplus.com/api/assets/e515fe6d-43b7-44f9-8ec1-65a8a805f977?cache=1800,2026-07-16,text,pdftotext-layout,raw/chapter-05-transportation.pdf,62,city,Chapter delivered as the July 2009 Master Transportation Plan Update. Sidecar text/chapter-05-transportation.txt.
1980-08,Sandy City General Plan (pre-2025) Chapter 6 - Community Facilities,general_plan,https://content.civicplus.com/api/assets/e1fdcceb-22d8-414f-969d-6c5e55ebd31a?cache=1800,2026-07-16,text,pdftotext-layout+cmap-shift-decode,raw/chapter-06-community-facilities.pdf,39,city,In-body 'Adopted August 1980'. Same broken-cmap family as Chapter 3; sidecar is the verified +29 decode. Sidecar text/chapter-06-community-facilities.txt.
2022-09,"Sandy City General Plan (pre-2025) Chapter 7 - Housing Element (adopted 2013-01-08, revised September 2022)",general_plan,https://content.civicplus.com/api/assets/393fc9ce-6909-457d-b508-71c3aed09431?cache=1800,2026-07-16,text,pdftotext-layout,raw/chapter-07-housing.pdf,16,city,"In-body 'Adopted January 8, 2013 / Revised September XX, 2022' (the Ord 22-10 revision; see also the fuller council-exhibit form ord-22-10-exhibit-a row). Sidecar text/chapter-07-housing.txt."
2005-03,"Sandy City General Plan (pre-2025) Chapter 8 - Parks, Recreation, and Trails Master Plan Update",general_plan,https://content.civicplus.com/api/assets/04e8e535-c38c-41cf-a145-f8b6ac1a9372?cache=1800,2026-07-16,text,pdftotext-layout,raw/chapter-08-parks-recreation-trails.pdf,109,city,"2004-05 update of the 1996 plan; in-body drafts dated March 8, 2005. Superseded for parks by the 2024 Parks/Trails/Rec Master Plan (in packets index) but this was the GP chapter of record pre-2025. Sidecar text/chapter-08-parks-recreation-trails.txt."
1992-11,Sandy City General Plan (pre-2025) Chapter 9 - Environmental Hazards,general_plan,https://content.civicplus.com/api/assets/840be5b0-6168-4746-9f0a-a4f029d92793?cache=1800,2026-07-16,text,pdftotext-layout+cmap-shift-decode,raw/chapter-09-environmental-hazards.pdf,6,city,In-body 'Adopted November 1992'. Same broken-cmap family as Chapter 3; sidecar is the verified +29 decode. Sidecar text/chapter-09-environmental-hazards.txt.
2024,Sandy City General Plan (pre-2025) Index of Appendices,general_plan,https://content.civicplus.com/api/assets/46d3e3ce-8089-4714-8cb8-c67dc83bd9d4?cache=1800,2026-07-16,text,pdftotext-layout,raw/index-of-appendices.pdf,1,city,UNDATED one-page list of GP appendices A-N ('Individual appendices are available upon request' per the GP page -- the appendices themselves were never posted). date = as-posted state (Wayback 2024-04-20). Sidecar text/index-of-appendices.txt.
2022-09-06,Ordinance #22-10 Exhibit A - General Plan Housing Element (revised) as presented for adoption,general_plan,https://sandyutah.legistar1.com/sandyutah/attachments/819c645d-9ec0-436c-977d-bd9121640290.pdf,2026-07-16,text,pdftotext-layout,raw/ord-22-10-exhibit-a-housing-element-revised.pdf,26,city,"Council-exhibit form of the 2022 Housing Element revision (Legistar matter 5058, adopted 2022-09-06 with Ord 22-10). 26 pp vs the 16-pp city-posted Chapter 7 asset; both retained. Sidecar text/ord-22-10-exhibit-a-housing-element-revised.txt."
2023-01-31,Moderate Income Housing Element - amended 1.31.23 (post-Ord 23-01 element text),mih_element,https://content.civicplus.com/api/assets/9203f5b7-186f-4339-a69e-7ca5af16a8b6,2026-07-16,text,pdftotext-layout,raw/mih-element-amended-2023-01-31.pdf,14,city,The MIH Element AS AMENDED by Ord 23-01 (the 'Link to Plan' in Sandy's 2023 state MIH filing; source filename 'Moderat Income Housing Element-amended (1.31.23).pdf'). Complements the Sept-2022 Chapter 10 original + the Ord 23-01 adopting ordinance already in this dataset. Sidecar text/mih-element-amended-2023-01-31.txt.
2024-08-29,"Pace of Progress GP 2050 - Section 1 Overview (8-29-2024 draft, pre-PC amendments)",general_plan,https://sandyutah.legistar1.com/sandyutah/attachments/78e09e7f-f890-4ba5-b37e-83bdcf4b62a7.pdf,2026-07-16,text,pdftotext-layout,raw/gp2050-section-1-draft.pdf,40,city,Draft-of-record family: Ord 25-01 adopts 'the draft dated 10/21/2024' as amended by its Exhibit B; this Section 1 copy is the 8-29-2024 'Pre-Planning Commission Amendments' version distributed for the 2024-10-22 council review (Legistar matter 6055). Sidecar text/gp2050-section-1-draft.txt.
2024-08-29,"Pace of Progress GP 2050 - Section 2 Livability (8-29-2024 draft, pre-PC amendments; incl. Neighborhoods & Housing + Moderate-Income Housing chapters)",general_plan,https://sandyutah.legistar1.com/sandyutah/attachments/85c4549b-1f87-4b37-94b9-aa8100de9db6.pdf,2026-07-16,text,pdftotext-layout,raw/gp2050-section-2-draft.pdf,32,city,Pre-PC-amendment draft of the Livability section (contains the NEW MIH element chapters). Council review 2024-10-22 (matter 6055); later amended by the Stroud Section 2 amendment (2024-12-10). See the adopted-form row (gp2050-section-2-livability-current). Sidecar text/gp2050-section-2-draft.txt.
2024-12-10,Pace of Progress GP 2050 - Section 3 Community (as distributed for council review),general_plan,https://sandyutah.legistar1.com/sandyutah/attachments/c3ccc65c-6af0-4489-8ad3-3113240c83c7.pdf,2026-07-16,text,pdftotext-layout,raw/gp2050-section-3-community.pdf,33,city,No in-body version date/draft banner; copy distributed for the 2024-12-10 council review (matter 6098). Sidecar text/gp2050-section-3-community.txt.
2024-12-10,Pace of Progress GP 2050 - Section 4 Mobility (as distributed for council review),general_plan,https://sandyutah.legistar1.com/sandyutah/attachments/a7c67855-7749-4374-920e-97ef002a16c7.pdf,2026-07-16,text,pdftotext-layout,raw/gp2050-section-4-mobility.pdf,17,city,No in-body version date/draft banner; council review 2024-12-10 (matter 6098); later amended by the Dekeyzer Sections 4+8 amendment (2024-12-17). Sidecar text/gp2050-section-4-mobility.txt.
2024-12-10,Pace of Progress GP 2050 - Section 5 Economic Development (as distributed for council review),general_plan,https://sandyutah.legistar1.com/sandyutah/attachments/8eba423c-315d-49b7-8b4f-be19b8e0b145.pdf,2026-07-16,text,pdftotext-layout,raw/gp2050-section-5-economic-development.pdf,12,city,No in-body version date/draft banner; council review 2024-12-10 (matter 6098); later amended by the Houseman Section 5 amendment. Sidecar text/gp2050-section-5-economic-development.txt.
2024-12-10,Pace of Progress GP 2050 - Section 6 Environmental Stewardship (as distributed for council review),general_plan,https://sandyutah.legistar1.com/sandyutah/attachments/d5bee37f-5722-4ff8-a468-f5f2681927c6.pdf,2026-07-16,text,pdftotext-layout,raw/gp2050-section-6-environmental-stewardship.pdf,28,city,No in-body version date/draft banner; council review 2024-12-10 (matter 6098). Sidecar text/gp2050-section-6-environmental-stewardship.txt.
2024-10-21,Pace of Progress GP 2050 - Section 7 Targeted Growth Plan (10/21/24 draft; land-use designation tables pp. T19-T41),general_plan,https://sandyutah.legistar1.com/sandyutah/attachments/57e174b6-651b-4cdb-9410-b1afc241de67.pdf,2026-07-16,text,pdftotext-layout,raw/gp2050-section-7-targeted-growth-plan-draft.pdf,85,city,"THE 10/21/24 draft the adopting ordinance cites (title from Legistar: 'Section 7-Targeted Growth Plan (10/21/24 draft)'; matter 6080, council 2024-11-12). Pages T19-T41 are the land-use mix / designation dashboard tables (RLN through Cairns Center and the station-area plan mixes); T42+ are goals/objectives. Amended by the Sharkey Section 7 + D'Sousa Sections 7-8 amendments (2024-12-17, Ord 25-01 Exhibit B). Sidecar text/gp2050-section-7-targeted-growth-plan-draft.txt."
2024-11-19,Pace of Progress GP 2050 - Appendix A: Station Area Plans (the five SAPs),general_plan,https://sandyutah.legistar1.com/sandyutah/attachments/26a61009-ba6c-495f-86b7-486a57fb7b29.pdf,2026-07-16,text,pdftotext-layout,raw/gp2050-appendix-a-station-area-plans.pdf,172,city,"All five station area plans adopted with the GP 2025-01-07: Historic Sandy, Expo Center, Sandy Civic Center, Crescent View, South Jordan FrontRunner (Sandy portion). Distributed for the 2024-11-19 council review (matter 6088). The web plan publishes these only inside the ArcGIS product; this council PDF is the only standalone document form found. Sidecar text/gp2050-appendix-a-station-area-plans.txt."
2024-11-19,Pace of Progress GP 2050 - Appendix B: Neighborhood Activity Center (NAC) Plans,general_plan,https://sandyutah.legistar1.com/sandyutah/attachments/5831519c-ef47-4916-890d-d6204d43f800.pdf,2026-07-16,text,pdftotext-layout,raw/gp2050-appendix-b-neighborhood-activity-centers.pdf,87,city,"Area plans for six commercial Neighborhood Activity Centers, adopted with the GP. Council review 2024-11-19 (matter 6088). Sidecar text/gp2050-appendix-b-neighborhood-activity-centers.txt."
2025-01-07,"Pace of Progress GP 2050 - Section 2 Livability, adopted/current form (the current Moderate Income Housing Element)",general_plan,https://content.civicplus.com/api/assets/2ecdf740-21a1-430c-b55c-0dbdbe47a206?cache=1800,2026-07-16,text,pdftotext-layout,raw/gp2050-section-2-livability-current.pdf,32,city,"City-published PDF of Section 2 | Livability (source filename 'Section 2 | Livability.pdf'), no draft banner; this asset is the 'Link to general plan, moderate income housing element' in Sandy's 2025 state MIH filing -- i.e. the city's own document-of-record for the CURRENT MIH element. date = GP adoption date; the asset itself is undated in body. Sidecar text/gp2050-section-2-livability-current.txt."
2024-10-03,Accessing the General Plan draft documents (staff memo on where the GP 2050 drafts were published),general_plan,https://sandyutah.legistar1.com/sandyutah/attachments/e187c754-a3e3-4e8a-a24f-58855ec82758.pdf,2026-07-16,text,pdftotext-layout,raw/access-to-general-plan-draft-documents.pdf,1,city,"PC staff memo (matter 6018): confirms the draft plan = EIGHT sections + TWO appendices, hosted at sandypaceofprogress.org (domain now dead, NXDOMAIN 2026-07-16 -- the basis of the Section 8 honest gap; see AVAILABILITY.md). Sidecar text/access-to-general-plan-draft-documents.txt."
2019-06-25,"Stadium Village Master Plan (small area plan, adopted 2019-06-25)",small_area_plan,https://content.civicplus.com/api/assets/e90f8015-33f4-470b-8936-d7066e83e4e9,2026-07-16,text,pdftotext-layout,raw/stadium-village-master-plan-2019.pdf,177,city,"Standalone small-area master plan for the Stadium Village area (9400 S/TRAX), posted on the city's Long Range Planning page (/long-range-planning). Precursor to the GP 2050 station-area planning; NOT one of the five 2025 SAPs. Sidecar text/stadium-village-master-plan-2019.txt."
2025-09-10,ArcGIS item metadata: 'Sandy Future Land Use Map' instant app (the GP page's Open Map target),general_plan,https://sandycity.maps.arcgis.com/sharing/rest/content/items/975e67ed4298468b8a698d49e8ec2e1c?f=json,2026-07-16,json,arcgis-rest-api,raw/arcgis-app-975e67ed-item.json,,city,"REDUCED-FIDELITY ARCGIS CAPTURE. Public item JSON for the app the /798 GP page links (created 2025-09-10, modified 2025-10-29). The app is an Instant App (sidebar) wrapping the Future Land Use web map -- it exposes NO plan narrative text. See AVAILABILITY.md ArcGIS section."
2025-09-10,ArcGIS app configuration JSON: 'Sandy Future Land Use Map' (instant app config),general_plan,https://sandycity.maps.arcgis.com/sharing/rest/content/items/975e67ed4298468b8a698d49e8ec2e1c/data?f=json,2026-07-16,json,arcgis-rest-api,raw/arcgis-app-975e67ed-config.json,,city,REDUCED-FIDELITY ARCGIS CAPTURE. App config (2.8 KB): sidebar template + webmap pointer + geocoder. Confirms no narrative content is served by the app itself.
2025-02-19,ArcGIS web map JSON: Sandy Future Land Use Map (operational layers incl. Future Land Use + Station Areas),general_plan,https://sandycity.maps.arcgis.com/sharing/rest/content/items/828d8e3e483943c58d7f599cf16d54fe/data?f=json,2026-07-16,json,arcgis-rest-api,raw/arcgis-webmap-828d8e3e-data.json,,city,"REDUCED-FIDELITY ARCGIS CAPTURE. Web map definition (created 2025-02-19, post-adoption): layers = Current Zoning, Sandy Road Network, Neighborhood Transition Corridors, Sandy Station Areas, Municipal Boundary, Sandy_Future_Land_Use (designations: Rural/Very Light-Light-Medium-High Neighborhood, Light/Heavy/Regional Commerce, Institutional, Neighborhood Activity Center, Open Space, TBD). Geometry + designation labels only -- the FLU MAP itself and interactive layers are NOT capturable as text (honest fidelity limit; see AVAILABILITY.md)."
2025-02-19,ArcGIS web map item metadata: Sandy Future Land Use Map,general_plan,https://sandycity.maps.arcgis.com/sharing/rest/content/items/828d8e3e483943c58d7f599cf16d54fe?f=json,2026-07-16,json,arcgis-rest-api,raw/arcgis-webmap-828d8e3e-item.json,,city,REDUCED-FIDELITY ARCGIS CAPTURE. Item metadata (title/dates/ownership) for the web map row above.
