source,year,week_start,meeting_date,title,slug,chars,ref_id,source_url,file
primegov,2021,2021-02-08,2021-02-09,Council Work Session ,council-work-session,30545,2358,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2358,minutes/2021/2021-02-08/2021-02-09_council-work-session.md
primegov,2021,2021-02-08,2021-02-09,Redevelopment Agency (RDA) Meeting,redevelopment-agency-rda-meeting,18723,2295,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2295,minutes/2021/2021-02-08/2021-02-09_redevelopment-agency-rda-meeting.md
primegov,2021,2021-02-15,2021-02-16,Council Formal Meeting,council-formal-meeting,42766,2314,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2314,minutes/2021/2021-02-15/2021-02-16_council-formal-meeting.md
primegov,2021,2021-02-15,2021-02-16,Council Work Session ,council-work-session,29327,2300,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2300,minutes/2021/2021-02-15/2021-02-16_council-work-session.md
primegov,2021,2021-03-01,2021-03-02,Council Formal Meeting ,council-formal-meeting,32999,2311,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2311,minutes/2021/2021-03-01/2021-03-02_council-formal-meeting.md
primegov,2021,2021-03-01,2021-03-02,Council Work Session ,council-work-session,26189,2307,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2307,minutes/2021/2021-03-01/2021-03-02_council-work-session.md
primegov,2021,2021-03-15,2021-03-16,Council Formal Meeting,council-formal-meeting,43740,2330,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2330,minutes/2021/2021-03-15/2021-03-16_council-formal-meeting.md
primegov,2021,2021-03-15,2021-03-16,Council Work Session,council-work-session,34563,2326,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2326,minutes/2021/2021-03-15/2021-03-16_council-work-session.md
primegov,2021,2021-03-22,2021-03-23,Council Work Session,council-work-session,30152,2359,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2359,minutes/2021/2021-03-22/2021-03-23_council-work-session.md
primegov,2021,2021-03-22,2021-03-23,Redevelopment Agency (RDA) Meeting,redevelopment-agency-rda-meeting,21452,2323,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2323,minutes/2021/2021-03-22/2021-03-23_redevelopment-agency-rda-meeting.md
primegov,2021,2021-04-05,2021-04-06,Council Formal Meeting,council-formal-meeting,28174,2339,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2339,minutes/2021/2021-04-05/2021-04-06_council-formal-meeting.md
primegov,2021,2021-04-05,2021-04-06,Council Work Session ,council-work-session,31571,2335,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2335,minutes/2021/2021-04-05/2021-04-06_council-work-session.md
primegov,2021,2021-04-12,2021-04-13,Revised - Council Work Session ,revised-council-work-session,27494,2346,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2346,minutes/2021/2021-04-12/2021-04-13_revised-council-work-session.md
primegov,2021,2021-04-12,2021-04-13,Revised - Redevelopment Agency (RDA) Meeting,revised-redevelopment-agency-rda-meeting,16871,2342,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2342,minutes/2021/2021-04-12/2021-04-13_revised-redevelopment-agency-rda-meeting.md
primegov,2021,2021-04-19,2021-04-20,Council Formal Meeting,council-formal-meeting,46111,2352,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2352,minutes/2021/2021-04-19/2021-04-20_council-formal-meeting.md
primegov,2021,2021-04-19,2021-04-20,Revised - Council Work Session ,revised-council-work-session,35252,2348,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2348,minutes/2021/2021-04-19/2021-04-20_revised-council-work-session.md
primegov,2021,2021-05-03,2021-05-04,Council Work Session ,council-work-session,26121,2361,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2361,minutes/2021/2021-05-03/2021-05-04_council-work-session.md
primegov,2021,2021-05-03,2021-05-04,Redevelopment Agency (RDA) Meeting,redevelopment-agency-rda-meeting,21500,2368,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2368,minutes/2021/2021-05-03/2021-05-04_redevelopment-agency-rda-meeting.md
primegov,2021,2021-05-10,2021-05-11,Council Work Session ,council-work-session,42913,2371,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2371,minutes/2021/2021-05-10/2021-05-11_council-work-session.md
primegov,2021,2021-05-17,2021-05-18,Council Work Session ,council-work-session,32663,2375,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2375,minutes/2021/2021-05-17/2021-05-18_council-work-session.md
primegov,2021,2021-05-17,2021-05-18,"LBA, RDA and Council Formal Meeting",lba-rda-and-council-formal-meeting,54884,2382,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2382,minutes/2021/2021-05-17/2021-05-18_lba-rda-and-council-formal-meeting.md
primegov,2021,2021-05-17,2021-05-18,Redevelopment Agency (RDA) Meeting,redevelopment-agency-rda-meeting,16286,2395,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2395,minutes/2021/2021-05-17/2021-05-18_redevelopment-agency-rda-meeting.md
primegov,2021,2021-05-24,2021-05-25,Council Work Session ,council-work-session,53614,2385,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2385,minutes/2021/2021-05-24/2021-05-25_council-work-session.md
primegov,2021,2021-05-31,2021-06-01,Council Work Session ,council-work-session,25176,2398,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2398,minutes/2021/2021-05-31/2021-06-01_council-work-session.md
primegov,2021,2021-05-31,2021-06-01,"LBA, RDA and Council Formal Meeting",lba-rda-and-council-formal-meeting,51572,2439,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2439,minutes/2021/2021-05-31/2021-06-01_lba-rda-and-council-formal-meeting.md
primegov,2021,2021-05-31,2021-06-01,Special Limited Redevelopment Agency (RDA) Meeting,special-limited-redevelopment-agency-rda-meeting,10752,2405,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2405,minutes/2021/2021-05-31/2021-06-01_special-limited-redevelopment-agency-rda-meeting.md
primegov,2021,2021-05-31,2021-06-03,Council Work Session ,council-work-session,18429,2435,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2435,minutes/2021/2021-05-31/2021-06-03_council-work-session.md
primegov,2021,2021-06-07,2021-06-08,Council Work Session ,council-work-session,25040,2408,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2408,minutes/2021/2021-06-07/2021-06-08_council-work-session.md
primegov,2021,2021-06-07,2021-06-08,Limited Council Formal Meeting,limited-council-formal-meeting,14668,2442,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2442,minutes/2021/2021-06-07/2021-06-08_limited-council-formal-meeting.md
primegov,2021,2021-06-07,2021-06-08,Redevelopment Agency (RDA) Meeting,redevelopment-agency-rda-meeting,13781,2448,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2448,minutes/2021/2021-06-07/2021-06-08_redevelopment-agency-rda-meeting.md
primegov,2021,2021-06-14,2021-06-15,Council Work Session ,council-work-session,28062,2458,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2458,minutes/2021/2021-06-14/2021-06-15_council-work-session.md
primegov,2021,2021-06-14,2021-06-15,"LBA, RDA and Council Formal Meeting",lba-rda-and-council-formal-meeting,69613,2462,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2462,minutes/2021/2021-06-14/2021-06-15_lba-rda-and-council-formal-meeting.md
primegov,2021,2021-06-21,2021-06-21,Special Council Work Session,special-council-work-session,7174,2499,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2499,minutes/2021/2021-06-21/2021-06-21_special-council-work-session.md
primegov,2021,2021-07-12,2021-07-13,Council Formal Meeting,council-formal-meeting,35404,2469,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2469,minutes/2021/2021-07-12/2021-07-13_council-formal-meeting.md
primegov,2021,2021-07-12,2021-07-13,Council Work Session ,council-work-session,34292,2465,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2465,minutes/2021/2021-07-12/2021-07-13_council-work-session.md
primegov,2021,2021-07-19,2021-07-20,Council Formal Meeting,council-formal-meeting,46685,2476,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2476,minutes/2021/2021-07-19/2021-07-20_council-formal-meeting.md
primegov,2021,2021-07-19,2021-07-20,Council Work Session ,council-work-session,30532,2472,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2472,minutes/2021/2021-07-19/2021-07-20_council-work-session.md
primegov,2021,2021-07-19,2021-07-20,Redevelopment Agency (RDA) Meeting,redevelopment-agency-rda-meeting,17156,2479,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2479,minutes/2021/2021-07-19/2021-07-20_redevelopment-agency-rda-meeting.md
primegov,2021,2021-08-16,2021-08-17,Council Work Session ,council-work-session,33294,2482,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2482,minutes/2021/2021-08-16/2021-08-17_council-work-session.md
primegov,2021,2021-08-16,2021-08-17,Local Building Authority and Council Formal Meeting,local-building-authority-and-council-formal-meeting,48091,2486,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2486,minutes/2021/2021-08-16/2021-08-17_local-building-authority-and-council-formal-meeting.md
primegov,2021,2021-08-23,2021-08-24,Council Formal Meeting,council-formal-meeting,34860,2496,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2496,minutes/2021/2021-08-23/2021-08-24_council-formal-meeting.md
primegov,2021,2021-08-23,2021-08-24,Council Work Session ,council-work-session,29113,2492,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2492,minutes/2021/2021-08-23/2021-08-24_council-work-session.md
primegov,2021,2021-08-23,2021-08-24,Redevelopment Agency (RDA) Meeting,redevelopment-agency-rda-meeting,18432,2489,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2489,minutes/2021/2021-08-23/2021-08-24_redevelopment-agency-rda-meeting.md
primegov,2021,2021-09-06,2021-09-07,Council Formal Meeting,council-formal-meeting,50354,2513,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2513,minutes/2021/2021-09-06/2021-09-07_council-formal-meeting.md
primegov,2021,2021-09-06,2021-09-07,Council Work Session ,council-work-session,36900,2509,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2509,minutes/2021/2021-09-06/2021-09-07_council-work-session.md
primegov,2021,2021-09-20,2021-09-21,Council Work Session ,council-work-session,31548,2523,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2523,minutes/2021/2021-09-20/2021-09-21_council-work-session.md
primegov,2021,2021-09-20,2021-09-21,Revised Council Formal Meeting,revised-council-formal-meeting,40817,2527,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2527,minutes/2021/2021-09-20/2021-09-21_revised-council-formal-meeting.md
primegov,2021,2021-10-04,2021-10-05,Council Work Session ,council-work-session,26990,2534,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2534,minutes/2021/2021-10-04/2021-10-05_council-work-session.md
primegov,2021,2021-10-11,2021-10-12,Council Work Session ,council-work-session,22449,2550,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2550,minutes/2021/2021-10-11/2021-10-12_council-work-session.md
primegov,2021,2021-10-11,2021-10-12,Redevelopment Agency (RDA) Meeting,redevelopment-agency-rda-meeting,19360,2547,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2547,minutes/2021/2021-10-11/2021-10-12_redevelopment-agency-rda-meeting.md
primegov,2021,2021-10-18,2021-10-19,Revised Council Formal Meeting,revised-council-formal-meeting,31505,2558,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2558,minutes/2021/2021-10-18/2021-10-19_revised-council-formal-meeting.md
primegov,2021,2021-10-18,2021-10-19,Revised Council Work Session ,revised-council-work-session,26483,2554,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2554,minutes/2021/2021-10-18/2021-10-19_revised-council-work-session.md
primegov,2021,2021-11-08,2021-11-09,Council Work Session Meeting,council-work-session-meeting,26826,2564,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2564,minutes/2021/2021-11-08/2021-11-09_council-work-session-meeting.md
primegov,2021,2021-11-08,2021-11-09,LBA and Council Formal Meeting,lba-and-council-formal-meeting,32048,2568,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2568,minutes/2021/2021-11-08/2021-11-09_lba-and-council-formal-meeting.md
primegov,2021,2021-11-15,2021-11-16,Revised Council Work Session Meeting,revised-council-work-session-meeting,35751,2571,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2571,minutes/2021/2021-11-15/2021-11-16_revised-council-work-session-meeting.md
primegov,2021,2021-11-15,2021-11-16,Revised LBA and Council Formal Meeting,revised-lba-and-council-formal-meeting,47984,2575,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2575,minutes/2021/2021-11-15/2021-11-16_revised-lba-and-council-formal-meeting.md
primegov,2021,2021-12-06,2021-12-07,Council Work Session Meeting,council-work-session-meeting,26756,2601,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2601,minutes/2021/2021-12-06/2021-12-07_council-work-session-meeting.md
primegov,2021,2021-12-06,2021-12-07,LBA and Council Formal Meeting ,lba-and-council-formal-meeting,54487,2605,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2605,minutes/2021/2021-12-06/2021-12-07_lba-and-council-formal-meeting.md
primegov,2021,2021-12-13,2021-12-14,Council Work Session Meeting,council-work-session-meeting,17331,2614,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2614,minutes/2021/2021-12-13/2021-12-14_council-work-session-meeting.md
primegov,2021,2021-12-13,2021-12-14,Redevelopment Agency (RDA) Meeting,redevelopment-agency-rda-meeting,20640,2561,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2561,minutes/2021/2021-12-13/2021-12-14_redevelopment-agency-rda-meeting.md
primegov,2021,2021-12-13,2021-12-14,Revised Council Formal Meeting ,revised-council-formal-meeting,30417,2618,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2618,minutes/2021/2021-12-13/2021-12-14_revised-council-formal-meeting.md
primegov,2022,2022-01-03,2022-01-04,Council Formal Meeting ,council-formal-meeting,12104,2628,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2628,minutes/2022/2022-01-03/2022-01-04_council-formal-meeting.md
primegov,2022,2022-01-03,2022-01-04,Council Work Session Meeting,council-work-session-meeting,27611,2621,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2621,minutes/2022/2022-01-03/2022-01-04_council-work-session-meeting.md
primegov,2022,2022-01-10,2022-01-11,Council Work Session Meeting,council-work-session-meeting,26742,2635,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2635,minutes/2022/2022-01-10/2022-01-11_council-work-session-meeting.md
primegov,2022,2022-01-17,2022-01-18,Council Formal Meeting ,council-formal-meeting,20875,2639,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2639,minutes/2022/2022-01-17/2022-01-18_council-formal-meeting.md
primegov,2022,2022-01-17,2022-01-18,Council Work Session Meeting,council-work-session-meeting,14483,2642,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2642,minutes/2022/2022-01-17/2022-01-18_council-work-session-meeting.md
primegov,2022,2022-01-17,2022-01-18,Redevelopment Agency (RDA) Meeting,redevelopment-agency-rda-meeting,20439,2646,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2646,minutes/2022/2022-01-17/2022-01-18_redevelopment-agency-rda-meeting.md
primegov,2022,2022-01-24,2022-01-25,City Council Retreat ,city-council-retreat,15307,2673,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2673,minutes/2022/2022-01-24/2022-01-25_city-council-retreat.md
primegov,2022,2022-01-31,2022-02-01,Council Formal Meeting,council-formal-meeting,23145,2653,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2653,minutes/2022/2022-01-31/2022-02-01_council-formal-meeting.md
primegov,2022,2022-01-31,2022-02-01,Council Work Session Meeting,council-work-session-meeting,38574,2649,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2649,minutes/2022/2022-01-31/2022-02-01_council-work-session-meeting.md
primegov,2022,2022-02-07,2022-02-08,Council Work Session Meeting,council-work-session-meeting,35695,2659,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2659,minutes/2022/2022-02-07/2022-02-08_council-work-session-meeting.md
primegov,2022,2022-02-07,2022-02-08,Redevelopment Agency (RDA) Meeting,redevelopment-agency-rda-meeting,16235,2656,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2656,minutes/2022/2022-02-07/2022-02-08_redevelopment-agency-rda-meeting.md
primegov,2022,2022-02-14,2022-02-15,Council Formal Meeting,council-formal-meeting,30690,2670,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2670,minutes/2022/2022-02-14/2022-02-15_council-formal-meeting.md
