primary_app_key,related_app_key,action,note
Council|s|meeting_minutes/minutes/2023/2023-10-02/2023-10-05_city-council-regular-meeting.md|9,PlanningCommission|s|planning_commission/minutes/2020/2020-01-13/2020-01-14_planning-commission-meeting.md|2,suppress,Stone Cliff Ph17 plat vs PC Stone Cliff landscape-facility PD amendment — different matter
Council|s|meeting_minutes/minutes/2023/2023-12-04/2023-12-07_city-council-regular-meeting.md|3,PlanningCommission|s|planning_commission/minutes/2020/2020-09-21/2020-09-22_planning-commission-meeting.md|5,suppress,Auburn Hills cross-phase — Council Ph6 plat vs PC Ph7B
Council|s|meeting_minutes/minutes/2023/2023-12-04/2023-12-07_city-council-regular-meeting.md|5,PlanningCommission|s|planning_commission/minutes/2020/2020-09-21/2020-09-22_planning-commission-meeting.md|4,suppress,Auburn Hills cross-phase — Council Ph17 plat vs PC Ph6
Council|s|meeting_minutes/minutes/2023/2023-12-04/2023-12-07_city-council-regular-meeting.md|5,PlanningCommission|s|planning_commission/minutes/2020/2020-09-21/2020-09-22_planning-commission-meeting.md|5,suppress,Auburn Hills cross-phase — Council Ph17 plat vs PC Ph7B
Council|s|meeting_minutes/minutes/2023/2023-12-04/2023-12-07_city-council-regular-meeting.md|6,PlanningCommission|s|planning_commission/minutes/2020/2020-09-21/2020-09-22_planning-commission-meeting.md|4,suppress,Auburn Hills Ph18 plat has no PC counterpart — vs PC Ph6
Council|s|meeting_minutes/minutes/2023/2023-12-04/2023-12-07_city-council-regular-meeting.md|6,PlanningCommission|s|planning_commission/minutes/2020/2020-09-21/2020-09-22_planning-commission-meeting.md|5,suppress,Auburn Hills Ph18 plat has no PC counterpart — vs PC Ph7B
Council|s|meeting_minutes/minutes/2023/2023-12-04/2023-12-07_city-council-regular-meeting.md|6,PlanningCommission|s|planning_commission/minutes/2020/2020-10-12/2020-10-13_planning-commission-meeting.md|1,suppress,Auburn Hills Ph18 plat has no PC counterpart — vs PC Ph17
Council|s|meeting_minutes/minutes/2023/2023-12-04/2023-12-07_city-council-regular-meeting.md|6,PlanningCommission|item 2h a zone change from r 1 10 to r 1 7,suppress,Auburn Hills Ph18 plat has no PC counterpart — vs PC Ph8
Council|s|meeting_minutes/minutes/2024/2024-07-29/2024-08-01_city-council-regular-meeting.md|4,PlanningCommission|s|planning_commission/minutes/2020/2020-09-21/2020-09-22_planning-commission-meeting.md|4,suppress,Auburn Hills Ph21 plat has no PC counterpart — vs PC Ph6
Council|s|meeting_minutes/minutes/2024/2024-07-29/2024-08-01_city-council-regular-meeting.md|4,PlanningCommission|s|planning_commission/minutes/2020/2020-09-21/2020-09-22_planning-commission-meeting.md|5,suppress,Auburn Hills Ph21 plat has no PC counterpart — vs PC Ph7B
Council|s|meeting_minutes/minutes/2024/2024-07-29/2024-08-01_city-council-regular-meeting.md|4,PlanningCommission|s|planning_commission/minutes/2020/2020-10-12/2020-10-13_planning-commission-meeting.md|1,suppress,Auburn Hills Ph21 plat has no PC counterpart — vs PC Ph17
Council|s|meeting_minutes/minutes/2024/2024-07-29/2024-08-01_city-council-regular-meeting.md|4,PlanningCommission|item 2h a zone change from r 1 10 to r 1 7,suppress,Auburn Hills Ph21 plat has no PC counterpart — vs PC Ph8
Council|s|meeting_minutes/minutes/2024/2024-07-29/2024-08-01_city-council-regular-meeting.md|5,PlanningCommission|s|planning_commission/minutes/2020/2020-01-27/2020-01-28_planning-commission-meeting.md|5,suppress,STR landmark CUP boilerplate — JJ Milne home vs 163 South Main
Council|s|meeting_minutes/minutes/2024/2024-07-29/2024-08-01_city-council-regular-meeting.md|5,PlanningCommission|s|planning_commission/minutes/2020/2020-04-13/2020-04-14_planning-commission-meeting.md|9,suppress,STR landmark CUP boilerplate — JJ Milne home vs Whitehead home
Council|kachina cliffs phase 1 lot 24,PlanningCommission|s|planning_commission/minutes/2021/2021-05-10/2021-05-11_planning-commission-meeting.md|2,suppress,Riverbend Estates at Sunbrook vs PC White Hills (garbled rec) — different subdivisions
Council|s|meeting_minutes/minutes/2025/2025-07-14/2025-07-17_city-council-regular-meeting.md|12,PlanningCommission|item 1g to the city council,suppress,Desert Canyons PD-R elevations vs PC Desert Reserve Ph3 — co-located intersection only
Council|s|meeting_minutes/minutes/2025/2025-10-13/2025-10-16_city-council-regular-meeting.md|5,PlanningCommission|s|planning_commission/minutes/2021/2021-06-21/2021-06-22_planning-commission-meeting.md|7,suppress,Tuscan Hills Townhomes easement vacation vs PC Southern View 123-lot — different matter
Council|s|meeting_minutes/minutes/2025/2025-12-01/2025-12-04_city-council-regular-meeting.md|12,PlanningCommission|item 1g to the city council,suppress,Desert Providence plat vs PC Desert Reserve Ph3 — co-located intersection only
Council|s|meeting_minutes/minutes/2023/2023-11-13/2023-11-16_city-council-regular-meeting.md|10,PlanningCommission|item 1d a zone change from r 1 10 to r 1 7,suppress,OS to R-1-10 rezone vs PC R-1-10 to R-1-7 — different parcels
Council|s|meeting_minutes/minutes/2024/2024-01-01/2024-01-04_city-council-regular-meeting.md|7,PlanningCommission|item 1d a zone change from r 1 10 to r 1 7,suppress,A-20 to R-1-10 rezone vs PC R-1-10 to R-1-7 — different parcels
Council|s|meeting_minutes/minutes/2023/2023-12-04/2023-12-07_city-council-regular-meeting.md|3,PlanningCommission|s|planning_commission/minutes/2020/2020-09-21/2020-09-22_planning-commission-meeting.md|4,link,Auburn Hills Phase 6 — Council plat to PC Phase 6 plat recommendation
Council|s|meeting_minutes/minutes/2023/2023-12-04/2023-12-07_city-council-regular-meeting.md|5,PlanningCommission|s|planning_commission/minutes/2020/2020-10-12/2020-10-13_planning-commission-meeting.md|1,link,Auburn Hills Phase 17 — Council plat to PC Phase 17 plat recommendation
Council|s|meeting_minutes/minutes/2023/2023-05-01/2023-05-04_city-council-regular-meeting.md|19,PlanningCommission|s|planning_commission/minutes/2020/2020-02-17/2020-02-23_planning-commission-meeting.md|4,link,Desert Cliffs — Council hillside permit to PC Desert Cliffs at Desert Canyons
