ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,pmn_notice_type
20-12,2020-04-01,2020-04-01,Consent for Zoning Text Amendments,https://www.utah.gov/pmn/files/592185.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-12__592185.pdf,yes,,2020-04-01,6,high,meeting_material
20-13,2020-05-06,2020-05-06,CUP appeals text amendment [CC 5-6-20],https://www.utah.gov/pmn/files/596861.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-13__596861.pdf,no,,2020-05-06,3,high,meeting_material
20-14,2020-06-17,2020-06-17,Approving Zoning Map Amendment for 4645 S. 1175 W,https://www.utah.gov/pmn/files/611235.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-14__611235.pdf,yes,,2020-06-17,5,high,meeting_material
20-15,2020-07-01,2020-07-01,Municipal Code Amendments - Permitted Land Use,https://www.utah.gov/pmn/files/615759.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-15__615759.pdf,yes,,2020-07-01,6,high,meeting_material
20-16,2020-08-05,2020-08-05,Approving a Zoning Map Amendment,https://www.utah.gov/pmn/files/624997.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-16__624997.pdf,yes,,2020-08-05,3,high,meeting_material
20-17,2020-09-30,2020-09-30,Appointing an Individual for District 3 City Council Vacancy,https://www.utah.gov/pmn/files/642189.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-17__642189.pdf,no,,2020-09-30,1,high,meeting_material
20-18,2020-09-16,2020-09-16,Text Amendments to the Taylorsville Municipal Code Section 13.20.020 R-1 and R-2,https://www.utah.gov/pmn/files/637931.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-18__637931.pdf,no,,2020-09-16,2,high,meeting_material
20-19,2020-09-16,2020-09-16,Text Amendments to the Taylorsville Municipal Code Section 13.21.070,https://www.utah.gov/pmn/files/637933.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-19__637933.pdf,no,,2020-09-16,3,high,meeting_material
20-20,2020-12-02,2020-12-02,Authorizing the Creation of the Taylorsville City Police Department,https://www.utah.gov/pmn/files/662951.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-20__662951.pdf,no,,2020-12-02,3,high,meeting_material
21-01,2021-01-06,2021-01-06,Text Amendment for Storm Drainage and Flood Control,https://www.utah.gov/pmn/files/672173.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-01__672173.pdf,yes,,2021-01-06,4,high,meeting_material
21-03,2021-04-21,2021-04-21,General Plan Map Amendment,https://www.utah.gov/pmn/files/708471.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-03__708471.pdf,yes,,2021-04-21,4,high,meeting_material
21-04,2021-04-21,2021-04-21,Zoning Map Amendment,https://www.utah.gov/pmn/files/708473.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-04__708473.pdf,yes,,2021-04-21,5,high,meeting_material
21-05,2021-05-05,2021-05-05,Amending the General Plan Proposed Land Use Map for property located at 3815-3879 West 5400 South from RC to HDMU with the conditions that t,https://www.utah.gov/pmn/files/787917.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-05__787917.pdf,yes,,2021-05-05,2,high,adopted
21-06,2021-05-05,2021-05-05,Adopting Chapter 13,https://www.utah.gov/pmn/files/787921.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-06__787921.pdf,yes,,2021-05-05,3,high,adopted
21-07,2021-05-05,2021-05-05,Amending the Taylorsville Zoning Map for property located at 3815-3879 West 5400 South from RC to SSD-X-West Point with the conditions that ,https://www.utah.gov/pmn/files/787923.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-07__787923.pdf,yes,,2021-05-05,4,high,adopted
21-08,2021-05-19,2021-05-19,Approving a Zoning Map Amendment from Single- Family Residential ( R-1- 10) to Professional Office( PO) for 0. 66 Acres of Property located ,https://www.utah.gov/pmn/files/725791.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-08__725791.pdf,yes,,2021-05-19,3,high,adopted
21-09,2021-05-19,2021-05-19,Approving Text Amendments,https://www.utah.gov/pmn/files/719061.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-09__719061.pdf,no,,2021-05-19,4,high,meeting_material
21-10,2021-05-19,2021-05-19,Approving A Zoning Text Amendment To Section 13,https://www.utah.gov/pmn/files/725783.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-10__725783.pdf,yes,,2021-05-19,5,high,adopted
21-11,2021-06-02,2021-06-02,Approving a General Plan Map Amendment,https://www.utah.gov/pmn/files/724165.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-11__724165.pdf,yes,,2021-06-02,2,high,meeting_material
21-12,2021-07-07,2021-07-07,Zoning Map Amendment; Turnberry Way,https://www.utah.gov/pmn/files/736711.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-12__736711.pdf,yes,,2021-07-07,2,high,meeting_material
21-13,2021-09-15,2021-09-15,Approving Text Amendments Related to Accessory Dwelling Units,https://www.utah.gov/pmn/files/758566.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-13__758566.pdf,yes,,2021-09-15,2,high,meeting_material
21-14,2021-10-06,2021-10-06,Text Amendments to Public Noticing Standards,https://www.utah.gov/pmn/files/765561.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-14__765561.pdf,no,,2021-10-06,2,high,meeting_material
21-15,2021-10-20,2021-10-20,Amending Taylorsville Municipal Code Chapter 5.76: Rental Dwelling Units to include Section 5.76.130: Accessory Dwelling Units,https://www.utah.gov/pmn/files/773495.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-15__773495.pdf,yes,,2021-10-20,3,high,adopted
21-16,2021-10-20,2021-10-20,Amending Taylorsville Municipal Code Chapter Section 9,https://www.utah.gov/pmn/files/773493.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-16__773493.pdf,no,,2021-10-20,4,high,adopted
21-17,2021-11-17,2021-11-17,Authorizing The Creation Of A Community Advisory Board For The Taylorsville Police Department,https://www.utah.gov/pmn/files/784561.pdf,2026-07-06,text,pdftotext-layout,raw/ord_21-17__784561.pdf,no,,2021-11-17,2,high,adopted
22-01,2022-01-19,2022-01-19,Approving Text Amendments Related to Private Lanes and Shared Driveways,https://www.utah.gov/pmn/files/802887.pdf,2026-07-06,text,pdftotext-layout,raw/ord_22-01__802887.pdf,no,,2022-01-19,2,high,meeting_material
22-02,2022-04-06,2022-04-06,Approving a Text Amentment to the Minimum Land Area,https://www.utah.gov/pmn/files/830855.pdf,2026-07-06,text,pdftotext-layout,raw/ord_22-02__830855.pdf,yes,,2022-04-06,2,high,meeting_material
22-03,2022-04-06,2022-04-06,Approving a General Plan Map Amendment,https://www.utah.gov/pmn/files/830857.pdf,2026-07-06,text,pdftotext-layout,raw/ord_22-03__830857.pdf,yes,,2022-04-06,3,high,meeting_material
22-04,2022-04-06,2022-04-06,Approving a Zoning Map Amendment,https://www.utah.gov/pmn/files/830859.pdf,2026-07-06,text,pdftotext-layout,raw/ord_22-04__830859.pdf,yes,,2022-04-06,4,high,meeting_material
22-05,2022-03-16,2022-03-16,Amending Taylorsville Municipal Code Chapter 2,https://www.utah.gov/pmn/files/827523.pdf,2026-07-06,text,pdftotext-layout,raw/ord_22-05__827523.pdf,no,,2022-03-16,5,high,meeting_material
22-06,2022-03-16,2022-03-16,Amending Taylorsville Municipal Code Chapter 2,https://www.utah.gov/pmn/files/827525.pdf,2026-07-06,text,pdftotext-layout,raw/ord_22-06__827525.pdf,no,,2022-03-16,6,high,meeting_material
22-07,2022-06-15,2022-06-15,Zoning Map Amendment,https://www.utah.gov/pmn/files/858681.pdf,2026-07-06,text,pdftotext-layout,raw/ord_22-07__858681.pdf,yes,,2022-06-15,3,high,meeting_material
22-08,2022-08-17,2022-08-17,Text Amendment - General Landscaping Standards for Park Strips (TMC 13.25.010),https://www.utah.gov/pmn/files/883939.pdf,2026-07-06,text,pdftotext-layout,raw/ord_22-08__883939.pdf,yes,,2022-08-17,,medium,adopted
22-09,2022-09-21,2022-09-21,Amending Taylorsville Municipal Code Section 2,https://www.utah.gov/pmn/files/893927.pdf,2026-07-06,text,pdftotext-layout,raw/ord_22-09__893927.pdf,no,,2022-09-21,3,high,adopted
22-10,2022-11-02,2022-11-02,"Approving a Zoning Map Amendment for the properties located at 5465, 5433, and 5439 South 1300 West",https://www.utah.gov/pmn/files/909433.pdf,2026-07-06,text,pdftotext-layout,raw/ord_22-10__909433.pdf,yes,,2022-11-02,2,high,adopted
22-11,2022-11-16,2022-11-16,Approving the Vacation of Certain Portions of Hidden Place (1250 West/Old 1300 West) Taylorsville City Right-of-Way and to Convey the Right-,https://www.utah.gov/pmn/files/913833.pdf,2026-07-06,text,pdftotext-layout,raw/ord_22-11__913833.pdf,yes,,2022-11-16,3,high,adopted
22-27,2022-09-07,2022-09-07,Amending the Taylorsville Municipal Code Section 2.12.033 regarding Electronic Meetings,https://www.taylorsvilleut.gov/home/showpublisheddocument/7887/637994452912830000,2026-07-06,na,derived-from-minutes,,no,,2022-09-07,2,within_source,none
22-28,2022-08-17,2022-08-17,Approving text amendments to Taylorsville Municipal Code Section 13.25.010 related to the General Landscaping Standards for Park Strips,https://www.taylorsvilleut.gov/home/showpublisheddocument/7885/637994435509270000,2026-07-06,na,derived-from-minutes,,no,,2022-08-17,4,within_source,none
23-01,2023-02-01,2023-02-01,Amending Taylorsville Municipal Code Chapter 5,https://www.utah.gov/pmn/files/940079.pdf,2026-07-06,text,pdftotext-layout,raw/ord_23-01__940079.pdf,yes,,2023-02-01,4,high,adopted
23-02,2023-02-15,2023-02-15,Approving A Text Amendment To Taylorsville Municipal Code Sections 05,https://www.utah.gov/pmn/files/944997.pdf,2026-07-06,text,pdftotext-layout,raw/ord_23-02__944997.pdf,yes,,2023-02-15,1,high,adopted
23-03,2023-02-01,2023-02-01,Approving An Amendment To Taylorsville General Plan Chapter 8— Moderate Income Housing,https://www.utah.gov/pmn/files/940091.pdf,2026-07-06,text,pdftotext-layout,raw/ord_23-03__940091.pdf,yes,,2023-02-01,3,high,adopted
23-04,2023-03-15,2023-03-15,Approving A Text Amendment To Taylorsville Municipal Code Sections 13,https://www.utah.gov/pmn/files/955863.pdf,2026-07-06,text,pdftotext-layout,raw/ord_23-04__955863.pdf,yes,,2023-03-15,4,high,adopted
23-05,2023-03-15,2023-03-15,Approving A Zoning Map Amendment For The Properties Located At 4892- 4894 S,https://www.utah.gov/pmn/files/955867.pdf,2026-07-06,text,pdftotext-layout,raw/ord_23-05__955867.pdf,yes,,2023-03-15,5,high,adopted
23-06,2023-06-07,2023-06-07,Approving A Zoning Map Amendment For The Property Located At 5758 S,https://www.utah.gov/pmn/files/989621.pdf,2026-07-06,text,pdftotext-layout,raw/ord_23-06__989621.pdf,yes,,2023-06-07,2,high,adopted
23-07,2023-06-07,2023-06-07,Approving A Text Amendment To Taylorsville Municipal Code Section 8,https://www.utah.gov/pmn/files/988393.pdf,2026-07-06,text,pdftotext-layout,raw/ord_23-07__988393.pdf,yes,,2023-06-07,3,high,adopted
23-08,2023-06-21,2023-06-21,Approving A Text Amendment To Taylorsville Municipal Code Chapter 13,https://www.utah.gov/pmn/files/992737.pdf,2026-07-06,text,pdftotext-layout,raw/ord_23-08__992737.pdf,yes,,2023-06-21,6,high,adopted
24-01,2024-01-03,2024-01-03,City Council Meeting 2024 Schedule,https://www.utah.gov/pmn/files/1064377.pdf,2026-07-06,scanned,tesseract-ocr,raw/ord_24-01__1064377.pdf,no,,2024-01-03,4,high,meeting_material
24-02,2024-01-03,2024-01-03,Approving a Zoning Text Amendment - Subdivision Review Processes,https://www.utah.gov/pmn/files/1064379.pdf,2026-07-06,scanned,tesseract-ocr,raw/ord_24-02__1064379.pdf,yes,,2024-01-03,3,high,meeting_material
24-03,2024-02-07,2024-02-07,Vactaing Certain Portions of a Right-of-Way,https://www.utah.gov/pmn/files/1081179.pdf,2026-07-06,text,pdftotext-layout,raw/ord_24-03__1081179.pdf,yes,,2024-02-07,2,high,meeting_material
24-04,2024-05-01,2024-05-01,"Approving a Zoning Text Amendment for Setbacks, Building Heights, Off Street Parking",https://www.utah.gov/pmn/files/1115223.pdf,2026-07-06,scanned,tesseract-ocr,raw/ord_24-04__1115223.pdf,yes,,2024-05-01,2,high,meeting_material
24-05,2024-08-21,2024-08-21,"Approving A Zoning Text Amendment To Several Sections Of The Taylorsville Municipal Code, To Align City Standards With Utah Senate Bill 13 Related To Charter Schools, Home-Based Microschools, And Micro-Education Entities And Corresponding Definitions",https://www.utah.gov/pmn/files/1161085.pdf,2026-07-06,text,pdftotext-layout,raw/ord_24-05__1161085.pdf,yes,,2024-08-21,,medium,adopted
24-06,2024-08-07,2024-08-07,Amending Taylorsville Municipal Code - Employee Appeal Board,https://www.utah.gov/pmn/files/1152873.pdf,2026-07-06,text,pdftotext-layout,raw/ord_24-06__1152873.pdf,no,,2024-08-07,4,high,meeting_material
24-07,2024-08-21,2024-08-21,"Adding The Name Constitution Boulevard"" To 2700 West From 4700 South To Longmeadow Drive",https://www.utah.gov/pmn/files/1165959.pdf,2026-07-06,text,pdftotext-layout,raw/ord_24-07__1165959.pdf,no,,2024-08-21,,medium,adopted
24-08,2024-08-07,2024-08-07,Approving a Zoning Text Amendment Related to Regulations to a Home Occupation,https://www.utah.gov/pmn/files/1154337.pdf,2026-07-06,text,pdftotext-layout,raw/ord_24-08__1154337.pdf,yes,,2024-08-07,2,high,meeting_material
24-09,2024-10-02,2024-10-02,Approving a Zoning Map Amendment from Community Commercial to Boulevard Commercial,https://www.utah.gov/pmn/files/1176623.pdf,2026-07-06,text,pdftotext-layout,raw/ord_24-09__1176623.pdf,yes,,2024-10-02,2,high,meeting_material
24-10,2024-10-02,2024-10-02,Approving A Zoning Text Amendment To Taylorsville Municipal Code Chapter 13.38 Ssd-X Bennion Point Zoning District,https://www.utah.gov/pmn/files/1178285.pdf,2026-07-06,text,pdftotext-layout,raw/ord_24-10__1178285.pdf,yes,,2024-10-02,3,high,adopted
24-12,2024-12-04,2024-12-04,Zoning Text Amendment Related to Reception Centers,https://www.utah.gov/pmn/files/1202835.pdf,2026-07-06,text,pdftotext-layout,raw/ord_24-12__1202835.pdf,yes,,2024-12-04,2,high,meeting_material
25-01,2025-01-22,2025-01-22,Amending the General Plan Map at Taylor Villas,https://www.utah.gov/pmn/files/1221729.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-01__1221729.pdf,yes,,2025-01-22,,medium,meeting_material
25-02,2025-01-22,2025-01-22,"Approving A Zoning Text Amendment To The Taylorsville Municipal Code, Chapter",https://www.utah.gov/pmn/files/1223819.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-02__1223819.pdf,yes,,2025-01-22,,medium,adopted
25-03,2025-01-22,2025-01-22,Amending The Zoning Map For Approximately 5,https://www.utah.gov/pmn/files/1223821.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-03__1223821.pdf,yes,,2025-01-22,,medium,adopted
25-04,2025-03-19,2025-03-19,Zoning Text Amendment Non-Conforming Signs,https://www.utah.gov/pmn/files/1246687.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-04__1246687.pdf,yes,,2025-03-19,2,high,meeting_material
25-05,2025-05-07,2025-05-07,Approving a General Plan Amendment BRT Station Area Plans,https://www.utah.gov/pmn/files/1266933.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-05__1266933.pdf,yes,,2025-05-07,1,high,meeting_material
25-06,2025-06-18,2025-06-18,Adopting a Comprehensive Revision of the Taylorsville General Plan,https://www.utah.gov/pmn/files/1287093.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-06__1287093.pdf,yes,,2025-06-18,2,high,meeting_material
25-07,2025-06-04,2025-06-04,Amending the Taylorsville Municipal Code to Remove References to Specific Fees,https://www.utah.gov/pmn/files/1279135.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-07__1279135.pdf,no,,2025-06-04,,medium,meeting_material
25-08,2025-10-01,2025-10-01,"Approving A Zoning Text Amendment To The Taylorsville Municipal Code, Title 8 Related To Standards For Animals",https://www.utah.gov/pmn/files/1332737.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-08__1332737.pdf,yes,,2025-10-01,,medium,adopted
25-09,2025-09-17,2025-09-17,Amending Taylorsville Municipal Code Chapter 2,https://www.utah.gov/pmn/files/1327599.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-09__1327599.pdf,no,,2025-09-17,3,high,adopted
25-10,2025-09-17,2025-09-17,An Ordinance Amending the City of Taylorsville Municipal Code Chapter 2. 13 JUDICIAL CODE,https://www.utah.gov/pmn/files/1327601.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-10__1327601.pdf,no,,2025-09-17,4,high,adopted
25-11,2025-11-19,2025-11-19,"Approving a Zoning Text Amendment to the Taylorsville Municipal Code, Section 13.26.090(A)(3), Amending Standards Related to On-Premises Dir",https://www.utah.gov/pmn/files/1350173.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-11__1350173.pdf,yes,,2025-11-19,2,high,meeting_material
25-12,2025-12-17,2025-12-17,"Amending The General Plan Map For Approximately 13 Acres Of Property At 4271, 4225, & 4273 S",https://www.utah.gov/pmn/files/1366051.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-12__1366051.pdf,yes,,2025-12-17,2,high,meeting_material
25-13,2025-12-17,2025-12-17,"Approving A Zoning Text Amendment To The Taylorsville Municipal Code, Chapter 13.45, Adopting Standards For The “Ssd-R Motion Zoning District.”",https://www.utah.gov/pmn/files/1366053.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-13__1366053.pdf,yes,,2025-12-17,3,high,meeting_material
25-14,2025-12-17,2025-12-17,"Amending The Zoning Map For Approximately 13 Acres Of Property At 4271, 4225, & 4273 S",https://www.utah.gov/pmn/files/1366055.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-14__1366055.pdf,yes,,2025-12-17,4,high,meeting_material
25-15,2025-12-17,2025-12-17,Title 15 (Wildfire Risk Mitigation),https://www.utah.gov/pmn/files/1368799.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-15__1368799.pdf,yes,,2025-12-17,,medium,adopted
25-16,2025-12-17,2025-12-17,2026 CC Meeting Schedule,https://www.utah.gov/pmn/files/1368801.pdf,2026-07-06,text,pdftotext-layout,raw/ord_25-16__1368801.pdf,no,,2025-12-17,8,high,adopted
25-25,2025-12-17,2025-12-17,"Amending Title 15, Chapter 15.08 of the Taylorsville Municipal Code to adopt the Utah Wildland Urba",https://www.taylorsvilleut.gov/home/showpublisheddocument/11468/639038305448770000,2026-07-06,na,derived-from-minutes,,yes,,2025-12-17,7,within_source,none
26-01,2026-01-07,2026-01-07,(ZMA 5418 S 1900 W),https://www.utah.gov/pmn/files/1375577.pdf,2026-07-06,text,pdftotext-layout,raw/ord_26-01__1375577.pdf,yes,,2026-01-07,3,high,adopted
26-02,2026-01-07,2026-01-07,(Bar Establishments),https://www.utah.gov/pmn/files/1375579.pdf,2026-07-06,text,pdftotext-layout,raw/ord_26-02__1375579.pdf,yes,,2026-01-07,4,high,adopted
26-03,2026-03-04,2026-03-04,(Renumbering of Title 13),https://www.utah.gov/pmn/files/1400777.pdf,2026-07-06,text,pdftotext-layout,raw/ord_26-03__1400777.pdf,yes,,2026-03-04,3,high,adopted
26-04,2026-04-15,2026-04-15,(Flood Prevention Regulations),https://www.utah.gov/pmn/files/1431033.pdf,2026-07-06,text,pdftotext-layout,raw/ord_26-04__1431033.pdf,yes,,2026-04-15,3,high,adopted
26-05,2026-04-15,2026-04-15,(Title 11 Vehicles Traffic),https://www.utah.gov/pmn/files/1431037.pdf,2026-07-06,text,pdftotext-layout,raw/ord_26-05__1431037.pdf,no,,2026-04-15,4,high,adopted
26-06,2026-05-06,2026-05-06,(Title 13 Height Measurement),https://www.utah.gov/pmn/files/1430923.pdf,2026-07-06,text,pdftotext-layout,raw/ord_26-06__1430923.pdf,yes,,2026-05-06,2,high,adopted
