urlpath	candidate	office	election_year	label	source
2025/10/McCandless-7-days.pdf	Karen McCandless	Mayor	2025	7 days before Election	orem.gov/elections
2025/12/McCancdless-Final.pdf	Karen McCandless	Mayor	2025	Final Report	orem.gov/elections
2025/08/Steven-White-Primary.pdf	Steven White	Council At-Large	2025	Primary Report	orem.gov/elections
2025/09/White-Final-Campaign-Finance-Report-1.pdf	Steven White	Council At-Large	2025	Final Report	orem.gov/elections
2025/08/Archie-Williams-Primary-Declaration.pdf	Archie Williams	Council At-Large	2025	Primary Report	orem.gov/elections
2025/09/Archie-Williams-final-disclosure.pdf	Archie Williams	Council At-Large	2025	Final Report	orem.gov/elections
2025/08/Tommy-Williams-Primary-scaled.jpg	Tommy Williams	Council At-Large	2025	Primary Report	orem.gov/elections
2025/09/Tommy-Williams-final-disclosure.pdf	Tommy Williams	Council At-Large	2025	Final Report	orem.gov/elections
2025/08/Quinn-Mecham-primary.pdf	Quinn Mecham	Council At-Large	2025	Primary Report	orem.gov/elections
2025/10/Mecham-28-days.pdf	Quinn Mecham	Council At-Large	2025	28 days before Election	orem.gov/elections
2025/10/Mecham-7-days.pdf	Quinn Mecham	Council At-Large	2025	7 days before Election	orem.gov/elections
2025/12/Mecham-Final.pdf	Quinn Mecham	Council At-Large	2025	Final Report	orem.gov/elections
2025/08/Crystal-Muhlestein-Primary.xlsx-Sheet1-1.pdf	Crystal Muhlestein	Council At-Large	2025	Primary Report	orem.gov/elections
2025/10/Muhlestein-28-days.pdf	Crystal Muhlestein	Council At-Large	2025	28 days before Election	orem.gov/elections
2025/10/Muhlestein-7-days.pdf	Crystal Muhlestein	Council At-Large	2025	7 days before Election	orem.gov/elections
2025/12/Muhlestein-updated-Final.pdf	Crystal Muhlestein	Council At-Large	2025	Final Report	orem.gov/elections
2025/08/Doyles-updated-Campaign-Finance-Report-Jul-31.pdf	Doyle Mortimer	Council At-Large	2025	Primary Report	orem.gov/elections
2025/10/Mortimer-28-days.pdf	Doyle Mortimer	Council At-Large	2025	28 days before Election	orem.gov/elections
2025/10/Moritimer-7-days.pdf	Doyle Mortimer	Council At-Large	2025	7 days before Election	orem.gov/elections
2025/12/Mortimer-Final.pdf	Doyle Mortimer	Council At-Large	2025	Final Report	orem.gov/elections
2025/08/Angela-Moulton-Primary.xlsx-Sheet1.pdf	Angela Moulton	Council At-Large	2025	Primary Report	orem.gov/elections
2025/10/Moulton-28-day.pdf	Angela Moulton	Council At-Large	2025	28 days before Election	orem.gov/elections
2025/10/Moulton-7-days-1.pdf	Angela Moulton	Council At-Large	2025	7 days before Election	orem.gov/elections
2025/12/Moulton-Final.pdf	Angela Moulton	Council At-Large	2025	Final Report	orem.gov/elections
2025/08/LaNae-Millett-primary.pdf	LaNae Millett	Council At-Large	2025	Primary Report	orem.gov/elections
2025/10/Millett-28-days.pdf	LaNae Millett	Council At-Large	2025	28 days before Election	orem.gov/elections
2025/10/Millett-7-days.pdf	LaNae Millett	Council At-Large	2025	7 days before Election	orem.gov/elections
2025/12/Millett-Final.pdf	LaNae Millett	Council At-Large	2025	Final Report	orem.gov/elections
2025/08/David-Spencer-primary.pdf	David M. Spencer	Council At-Large	2025	Primary Report	orem.gov/elections
2025/10/Spencer-28-days-1.pdf	David M. Spencer	Council At-Large	2025	28 days before Election	orem.gov/elections
2025/10/Spencer-7-day.pdf	David M. Spencer	Council At-Large	2025	7 days before Election	orem.gov/elections
2025/12/Spencer-Final.pdf	David M. Spencer	Council At-Large	2025	Final Report	orem.gov/elections
2025/08/Truman-Van-Cott-Primary.pdf	Truman Van Cott	Council At-Large	2025	Primary Report	orem.gov/elections
2025/08/Van-Cott-Primary-Final.pdf	Truman Van Cott	Council At-Large	2025	Post Primary Report	orem.gov/elections
2025/10/Van-Cott-28-days-1.pdf	Truman Van Cott	Council At-Large	2025	28 days before Election	orem.gov/elections
2025/10/Van-Cott-7-day-1.pdf	Truman Van Cott	Council At-Large	2025	7 days before Election	orem.gov/elections
2025/12/Van-Cott-Final.pdf	Truman Van Cott	Council At-Large	2025	Final Report	orem.gov/elections
2025/01/jeff-digital-expense-Copy.pdf	Jeff Lambson	Council At-Large	2023	Annual 2024	orem.gov/elections
2025/06/Lambson-2025-financial.pdf	Jeff Lambson	Council At-Large	2023	Annual 2025	orem.gov/elections
2026/01/Lambson.pdf	Jeff Lambson	Council At-Large	2023	Annual 2026	orem.gov/elections
2025/01/Jenn-Gale-scaled-1.jpeg	Jenn Gale	Council At-Large	2023	Annual 2024	orem.gov/elections
2025/06/Gale-2025.pdf	Jenn Gale	Council At-Large	2023	Annual 2025	orem.gov/elections
2026/01/Gale.pdf	Jenn Gale	Council At-Large	2023	Annual 2026	orem.gov/elections
2025/01/Chris-Killpack.pdf	Chris Killpack	Council At-Large	2023	Annual 2024	orem.gov/elections
2025/06/Killpack-2025-financial.pdf	Chris Killpack	Council At-Large	2023	Annual 2025	orem.gov/elections
2026/01/Killpack.pdf	Chris Killpack	Council At-Large	2023	Annual 2026	orem.gov/elections
2025/01/LaNae-Millett.pdf	LaNae Millett	Council At-Large	2021	Annual 2024	orem.gov/elections
2025/06/Millett-2025.pdf	LaNae Millett	Council At-Large	2025	Annual 2025	orem.gov/elections
2026/01/Millett.pdf	LaNae Millett	Council At-Large	2025	Annual 2026	orem.gov/elections
2025/01/2023-Tom-Macdonald-disclosure.pdf	Tom Macdonald	Council At-Large	2021	Annual 2023	orem.gov unlinked (Wayback CDX)
2025/06/Macdonald-2025-financial.pdf	Tom Macdonald	Council At-Large	2021	Annual 2025	orem.gov unlinked (Wayback CDX)
2025/01/Dave-Spencer-2023-disclosure.pdf	David M. Spencer	Council At-Large	2021	Annual 2023	orem.gov unlinked (Wayback CDX)
2025/01/Mayor-Young-2023-Financial-Disclosure-2.pdf	Dave Young	Mayor	2021	Annual 2023	orem.gov unlinked (Wayback CDX)
