file,chars,format,extraction_method
pmn_f669715_Ord351.pdf,6593,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f677549_Ord353.pdf,7325,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f677551_Ord354.pdf,6071,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f678045_Ord352.pdf,6578,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f688211_Ord355.pdf,22952,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f731981_Ord357-A.pdf,5620,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f731983_Ord358.pdf,8806,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f731985_Ord359.pdf,18519,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f733119_Ord360.pdf,9991,text,pdftotext -layout (born-digital)
pmn_f737789_Ord361-A.pdf,5694,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f737791_Ord362-A.pdf,5074,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f747321_Ord363-A.pdf,39098,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f747323_Ord364.pdf,21692,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f768243_Ord369.pdf,6247,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f772943_Ord370.pdf,28076,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f783737_Ord371.pdf,99045,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f793555_Ord372.pdf,24980,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f793557_Ord373.pdf,5662,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f803513_Ord374.pdf,7719,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f815063_Ord375.pdf,4769,text,pdftotext -layout (born-digital)
pmn_f821709_Ord376.pdf,25093,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f821711_Ord377.pdf,6214,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f832691_Ord378.pdf,23949,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f838191_Ord379-D.pdf,4957,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f838193_Ord380-D.pdf,4797,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f838195_Ord381.pdf,24138,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f838197_Ord382.pdf,5528,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f849873_Ord383.pdf,2638,text,pdftotext -layout (born-digital)
pmn_f863217_Ord384.pdf,8024,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f867285_Ord385-D.pdf,4905,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f876471_Ord386.pdf,10248,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f882443_Ord387.pdf,15519,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f908513_Ord388.pdf,6248,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f919597_Ord389.pdf,7289,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f922541_Ord390.pdf,4086,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f922543_Ord391.pdf,58719,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f924539_Ord391.pdf,861,text,pdftotext -layout (born-digital)
pmn_f941047_Ord393.pdf,6241,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f947335_Ord394.pdf,8215,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f963385_Ord395.pdf,12969,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f992463_Ord396.pdf,6182,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f992465_Ord397.pdf,8006,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f999137_Ord397.pdf,2693,text,pdftotext -layout (born-digital)
s3_1634228400_Ord365.pdf,5030,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1634228851_Ord368.pdf,16481,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1635367066_Ord370.pdf,28076,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1635368271_Ord355.pdf,43421,text,pdftotext -layout (born-digital)
s3_1635872299_Ord354.pdf,6071,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1638225769_Ord343.pdf,2756,text,pdftotext -layout (born-digital)
s3_1640801137_ZTA20005Fina.pdf,5582,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1640801554_Ord331.pdf,23161,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1642609649_Ord374.pdf,7719,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1649286691_Ord378.pdf,23949,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1650482920_Ord381.pdf,24138,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1650491095_Ord382.pdf,5528,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1664561873_Ord375.pdf,4769,text,pdftotext -layout (born-digital)
s3_1681414048_Ord395.pdf,12969,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1682607568_Ord390.pdf,4086,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1689200917_Ord397.pdf,2693,text,pdftotext -layout (born-digital)
s3_1694545738_Ord402.pdf,5234,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1696948355_Ord403.pdf,255566,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1705947596_Ord407.pdf,7706,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1709050886_Ord409.pdf,4746,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1709928493_Ord411.pdf,6408,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1712686862_Ord412.pdf,4944,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1716323930_Ord413.pdf,15017,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1716566624_Ord416.pdf,18886,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1724684743_Ord420.pdf,45535,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1726243609_Ord421.pdf,36135,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1728333763_Ord422.pdf,2789,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1732118262_Ord424.pdf,6647,text,pdftotext -layout (born-digital)
s3_1734978543_ORDINA1PDF.pdf,4655,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1734986512_ORDINA1PDF.pdf,2671,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1737751489_Ord429.pdf,63170,text,pdftotext -layout (born-digital)
s3_1742222558_Ord433.pdf,8607,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1742224370_Ord434.pdf,5146,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1745015060_Ord432.pdf,4710,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1747862311_Ord438.pdf,3503,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1751386013_Ord444.pdf,14938,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1751484106_Ord445.pdf,3694,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1765824704_Ord454.pdf,9579,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
s3_1765824762_Ord454.pdf,9579,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
