ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,subject,subject_source,minutes_source,linkage_note
2020-11,2020-06-18,2020-06-18,adopt Ordinance 2020-11,https://www.utah.gov/pmn/files/626787.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,,2020-06-18,3,within_source,,motion,https://www.utah.gov/pmn/files/626787.pdf,
2020-12,2020-07-16,2020-07-16,"adopt Ordinance 2020-12,",https://www.utah.gov/pmn/files/638707.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2020-12 was adopted by a unanimous vote.,2020-07-16,2,within_source,,motion,https://www.utah.gov/pmn/files/638707.pdf,
2020-13,2020-10-01,2020-10-01,table Ordinance 2020-13 Amending the City Zoning Ordinance to Create a New Residential Infill (RI) Zone,https://www.utah.gov/pmn/files/665065.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,"the motion to table a vote for a period of up to nine months, after which, in the event Ordinance 2020-13 is not approved, would terminate.",2020-10-01,1,within_source,,motion,https://www.utah.gov/pmn/files/665065.pdf,
2020-14,2020-11-05,2020-11-05,deny the consideration of Ordinance 2020-14,https://www.utah.gov/pmn/files/674231.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2020-14 was DENIED by a unanimous vote.,2020-11-05,2,within_source,,motion,https://www.utah.gov/pmn/files/674231.pdf,
2020-15,2020-11-19,2020-11-19,"adopt Ordinance 2020-15 including the redline additions made by City Attorney, Todd Godfrey",https://www.utah.gov/pmn/files/674237.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2020-15 was adopted by a unanimous vote.,2020-11-19,1,within_source,,motion,https://www.utah.gov/pmn/files/674237.pdf,
2020-16,2020-12-03,2020-12-03,adopt Ordinance 2020-16,https://www.utah.gov/pmn/files/674239.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2020-16 was adopted by a unanimous vote.,2020-12-03,2,within_source,,motion,https://www.utah.gov/pmn/files/674239.pdf,
2020-17,2020-12-03,2020-12-03,adopt Ordinance 2020-17,https://www.utah.gov/pmn/files/674239.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2020-17 was adopted by a unanimous vote.,2020-12-03,3,within_source,,motion,https://www.utah.gov/pmn/files/674239.pdf,
2021-01,2021-02-18,2021-02-18,approve Ordinance 2021-01,https://www.utah.gov/pmn/files/703503.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-01 was denied by a 5-to-1 vote.,2021-02-18,1,within_source,,motion,https://www.utah.gov/pmn/files/703503.pdf,
2021-02,2021-03-04,2021-03-04,adopt Ordinance 2021-02,https://www.utah.gov/pmn/files/703493.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Resolution 2021-04 was approved by a unanimous vote.,2021-03-04,1,within_source,,motion,https://www.utah.gov/pmn/files/703493.pdf,
2021-03,2021-02-18,2021-02-18,adopt Ordinance 2021-03,https://www.utah.gov/pmn/files/703503.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-03 was adopted by a unanimous vote.,2021-02-18,3,within_source,,motion,https://www.utah.gov/pmn/files/703503.pdf,
2021-04,2021-03-04,2021-03-04,adopt Ordinance 2021-04,https://www.utah.gov/pmn/files/703493.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-04 was adopted by a unanimous vote.,2021-03-04,2,within_source,,motion,https://www.utah.gov/pmn/files/703493.pdf,
2021-05,2021-03-04,2021-03-04,adopt Ordinance 2021-05,https://www.utah.gov/pmn/files/703493.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-05 was adopted by a unanimous vote.,2021-03-04,3,within_source,,motion,https://www.utah.gov/pmn/files/703493.pdf,
2021-06,2021-03-04,2021-03-04,adopt Ordinance 2021-06,https://www.utah.gov/pmn/files/703493.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-06 was adopted by a unanimous vote.,2021-03-04,4,within_source,,motion,https://www.utah.gov/pmn/files/703493.pdf,
2021-07,2021-04-08,2021-04-08,adopt Ordinance 2021-07,https://www.utah.gov/pmn/files/716407.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-07 was adopted by unanimous vote.,2021-04-08,1,within_source,,motion,https://www.utah.gov/pmn/files/716407.pdf,
2021-08,2021-04-08,2021-04-08,adopt Ordinance 2021-08,https://www.utah.gov/pmn/files/716407.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-08 was adopted by unanimous vote.,2021-04-08,2,within_source,,motion,https://www.utah.gov/pmn/files/716407.pdf,
2021-09,2021-04-08,2021-04-08,adopt Ordinance 2021-09,https://www.utah.gov/pmn/files/716407.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-09 was adopted by unanimous vote.,2021-04-08,3,within_source,,motion,https://www.utah.gov/pmn/files/716407.pdf,
2021-14,2021-06-17,2021-06-17,adopt Ordinance 2021-14,https://www.utah.gov/pmn/files/747047.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-14 as adopted by a unanimous vote.,2021-06-17,2,within_source,,motion,https://www.utah.gov/pmn/files/747047.pdf,
2021-15,2021-06-17,2021-06-17,adopt Ordinance 2021-15,https://www.utah.gov/pmn/files/747047.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-15 was adopted by a unanimous vote.,2021-06-17,3,within_source,,motion,https://www.utah.gov/pmn/files/747047.pdf,
2021-16,2021-06-17,2021-06-17,adopt Ordinance 2021-16,https://www.utah.gov/pmn/files/747047.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-16 as adopted by a unanimous vote.,2021-06-17,4,within_source,,motion,https://www.utah.gov/pmn/files/747047.pdf,
2021-17,2021-06-17,2021-06-17,adopt Ordinance 2021-17,https://www.utah.gov/pmn/files/747047.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-17 as adopted by a unanimous vote Council Member Durham was excused from the meeting.,2021-06-17,5,within_source,,motion,https://www.utah.gov/pmn/files/747047.pdf,
2021-18,2021-08-05,2021-08-05,"approve Ordinance 2021-18 amending various sections of the City Code regarding Noticing Requirements, as per State of Utah Legislation",https://www.utah.gov/pmn/files/768657.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,The motion passed unanimously.,2021-08-05,1,within_source,,motion,https://www.utah.gov/pmn/files/768657.pdf,
2021-19,2021-08-05,2021-08-05,approve Ordinance 2021-19 amending provisions of the City Code relating to civil penalties and providing for the establishment of certain civil penalties by the Consolidated Fee Sc,https://www.utah.gov/pmn/files/768657.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,The motion passed unanimously.,2021-08-05,3,within_source,,motion,https://www.utah.gov/pmn/files/768657.pdf,
2021-20,2021-08-05,2021-08-05,approve Ordinance 2021-20 Deleting Chapter 3.35 of the City Code relating to a Consolidated Fee Schedule and directing its reestablishment by Resolution,https://www.utah.gov/pmn/files/768657.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,The motion passed unanimously.,2021-08-05,2,within_source,,motion,https://www.utah.gov/pmn/files/768657.pdf,
2021-21,2021-08-17,2021-08-17,approve Ordinance 2021-21 determining the rate of tax for the 2021/2022 tax year and levying taxes upon all real and personal property within the City,https://www.utah.gov/pmn/files/768659.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,The motion passed unanimously.,2021-08-17,1,within_source,,motion,https://www.utah.gov/pmn/files/768659.pdf,
2021-22,2021-08-17,2021-08-17,"approve Ordinance 2021-22 adopting the final budget for fiscal year beginning July 1, 2021, and ending June 30, 2022",https://www.utah.gov/pmn/files/768659.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,The motion passed unanimously.,2021-08-17,2,within_source,,motion,https://www.utah.gov/pmn/files/768659.pdf,
2021-23,2021-08-26,2021-08-26,approve Ordinance 2021-23 amending the Zone Map for property located at 6121 South Highland Drive from C-2 to HCR,https://www.utah.gov/pmn/files/768663.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,The motion passed unanimously.,2021-08-26,1,within_source,,motion,https://www.utah.gov/pmn/files/768663.pdf,
2021-24,2021-09-09,2021-09-09,approve Ordinance 2021-24 Amendments to Title 13 Regarding Accessory Dwelling Units,https://www.utah.gov/pmn/files/779499.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,The motion passed unanimously.,2021-09-09,1,within_source,,motion,https://www.utah.gov/pmn/files/779499.pdf,
2021-25,2021-10-07,2021-10-07,approve Ordinance 2021-25 amending the Zoning Map for property located at 4409 South 2300 East from R-1-10 to R-2-10,https://www.utah.gov/pmn/files/779501.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,The motion passed unanimously.,2021-10-07,1,within_source,,motion,https://www.utah.gov/pmn/files/779501.pdf,
2021-26,2021-10-14,2021-10-14,adopt Ordinance 2021-26,https://www.utah.gov/pmn/files/804899.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-26 was adopted by a unanimous vote.,2021-10-14,1,within_source,,motion,https://www.utah.gov/pmn/files/804899.pdf,
2021-27,2021-10-14,2021-10-14,adopt Ordinance 2021-27,https://www.utah.gov/pmn/files/804899.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-27 was adopted by a unanimous vote.,2021-10-14,2,within_source,,motion,https://www.utah.gov/pmn/files/804899.pdf,
2021-28,2021-11-18,2021-11-18,"adopte Ordinance 2021-28 with the following amendment : removing the portion related to the Bailiff Services, as that decision will be made on December 2, 2021",https://www.utah.gov/pmn/files/798585.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-28 was adopted unanimously.,2021-11-18,2,within_source,,motion,https://www.utah.gov/pmn/files/798585.pdf,
2021-29,2021-12-02,2021-12-02,adopt Ordinance 2021-29,https://www.utah.gov/pmn/files/798589.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-29 was adopted unanimously.,2021-12-02,1,within_source,,motion,https://www.utah.gov/pmn/files/798589.pdf,
2021-30,2021-12-02,2021-12-02,adopt Ordinance 2021-30,https://www.utah.gov/pmn/files/798589.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2021-30 was adopted unanimously.,2021-12-02,2,within_source,,motion,https://www.utah.gov/pmn/files/798589.pdf,
2022-01,2022-01-20,2022-01-20,adopt Ordinance 2022-01,https://www.utah.gov/pmn/files/814055.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2022-01 was adopted by a unanimous vote.,2022-01-20,1,within_source,,motion,https://www.utah.gov/pmn/files/814055.pdf,
2022-02,2022-01-20,2022-01-20,adopt Ordinance 2022-02,https://www.utah.gov/pmn/files/814055.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2022-02 was adopted by a unanimous vote.,2022-01-20,2,within_source,,motion,https://www.utah.gov/pmn/files/814055.pdf,
2022-03,2022-01-20,2022-01-20,adopt Ordinance 2022-03,https://www.utah.gov/pmn/files/814055.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2022-03 was adopted by a unanimous vote.,2022-01-20,3,within_source,,motion,https://www.utah.gov/pmn/files/814055.pdf,
2022-04,2022-01-20,2022-01-20,adopt Ordinance 2022-04,https://www.utah.gov/pmn/files/814055.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2022-04 was adopted by a unanimous vote.,2022-01-20,4,within_source,,motion,https://www.utah.gov/pmn/files/814055.pdf,
2022-06,2022-03-17,2022-03-17,adopt Ordinance 2022-06,https://www.utah.gov/pmn/files/845037.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2022-06 was adopted by a unanimous vote.,2022-03-17,1,within_source,,motion,https://www.utah.gov/pmn/files/845037.pdf,
2022-07,2022-04-21,2022-04-21,adopt Ordinance 2022-07,https://www.utah.gov/pmn/files/861649.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2022-07 was adopted by a unanimous vote.,2022-04-21,1,within_source,,motion,https://www.utah.gov/pmn/files/861649.pdf,
2022-08,2022-04-21,2022-04-21,adopt Ordinance 2022-08,https://www.utah.gov/pmn/files/861649.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2022-08 was adopted by a unanimous vote.,2022-04-21,2,within_source,,motion,https://www.utah.gov/pmn/files/861649.pdf,
2022-09,2022-05-05,2022-05-05,adopt Ordinance 2022-09,https://www.utah.gov/pmn/files/861651.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2022-09 was adopted by a unanimous vote.,2022-05-05,1,within_source,,motion,https://www.utah.gov/pmn/files/861651.pdf,
2022-10,2022-06-02,2022-06-02,adopt Ordinance 2022-10 - Amending Provisions of Chapter 17 of the City Code Relating to Storm Water Management,https://www.utah.gov/pmn/files/894987.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2022-10 was adopted by a unanimous vote.,2022-06-02,1,within_source,,motion,https://www.utah.gov/pmn/files/894987.pdf,
2022-11,2022-06-16,2022-06-16,"ADOPT Ordinance 2022-11 - amending the budget for the Fiscal Year beginning July 1, 2021, and ending June 30, 2022",https://www.utah.gov/pmn/files/894989.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2022-11 was adopted by a unanimous vote.,2022-06-16,1,within_source,,motion,https://www.utah.gov/pmn/files/894989.pdf,
2022-12,2022-06-16,2022-06-16,ADOPT Ordinance 2022-12 - Determining the rate of tax for the 2022 Tax Year and levying taxes upon all real and personal property within the City of Holladay,https://www.utah.gov/pmn/files/894989.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2022-12 was adopted by a unanimous vote.,2022-06-16,2,within_source,,motion,https://www.utah.gov/pmn/files/894989.pdf,
2022-13,2022-06-16,2022-06-16,"ADOPT Ordinance 2022-14 - Adopting a Final Budget for Fiscal Year 2022-2023, with the amendment to Section 2-B, noting the surplus in excess of 35% rather than 25%",https://www.utah.gov/pmn/files/894989.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2022-13 was adopted by a unanimous vote.,2022-06-16,3,within_source,,motion,https://www.utah.gov/pmn/files/894989.pdf,
2022-14,2022-06-16,2022-06-16,ADOPT Ordinance 2022-14 - Amending various Sections of Title 13 relating to Waterwise Landscaping Requirements,https://www.utah.gov/pmn/files/894989.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2022-14 was adopted by a unanimous vote.,2022-06-16,4,within_source,,motion,https://www.utah.gov/pmn/files/894989.pdf,
2022-15,2022-06-16,2022-06-16,ADOPT Ordinance 2022-15 - Amending Title 13.45 and Table 13.100 of the City Code relating to multi-family land uses in the ORD Zone,https://www.utah.gov/pmn/files/894989.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2022-15 was adopted by a unanimous vote.,2022-06-16,5,within_source,,motion,https://www.utah.gov/pmn/files/894989.pdf,
2022-16,2022-06-16,2022-06-16,ADOPT Ordinance 2022-16 - Amending Title 13.05.070 of the City Code relating to eligibility requirements for the Design Review Board,https://www.utah.gov/pmn/files/894989.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2022-16 was adopted by a unanimous vote.,2022-06-16,6,within_source,,motion,https://www.utah.gov/pmn/files/894989.pdf,
2022-17,2022-07-14,2022-07-14,ADOPT Ordinance 2022-17 - Amending the Zoning Map for property located at 4525 South 2300 East from R-M (Residential Multi-Family) to PO (Professional Office),https://www.utah.gov/pmn/files/894991.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2022-17 was adopted by a unanimous vote.,2022-07-14,1,within_source,,motion,https://www.utah.gov/pmn/files/894991.pdf,
2022-18,2022-07-14,2022-07-14,ADOPT Ordinance 2022-18 - Amending the Zoning Map for property located at 5203 South Highland Drive from R-1-21 to R-1-10,https://www.utah.gov/pmn/files/894991.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2022-18 was adopted by a unanimous vote.,2022-07-14,2,within_source,,motion,https://www.utah.gov/pmn/files/894991.pdf,
2022-19,2022-07-14,2022-07-14,ADOPT Ordinance 2022-19 - Vacating a portion of a public right-of-way at the junction of Jennie Lane and Naniloa Dr and giving Holladay City Staff additional authority to take any ,https://www.utah.gov/pmn/files/894991.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2022-19 was adopted by a unanimous vote.,2022-07-14,3,within_source,,motion,https://www.utah.gov/pmn/files/894991.pdf,
2022-20,2022-09-15,2022-09-15,"adopt Ordinance 2022-20, amending the zoning map for property located at 4141 South Highland Drive from RM to PO",https://www.utah.gov/pmn/files/898705.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2022-20 was adopted by a unanimous vote.,2022-09-15,1,within_source,,motion,https://www.utah.gov/pmn/files/898705.pdf,
2022-21,2022-09-15,2022-09-15,"approve Ordinance 2022-21, amending the zoning map for property located at 1660 East Murray Holladay Road from RM to PO",https://www.utah.gov/pmn/files/898705.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2022-21 was adopted by a unanimous vote.,2022-09-15,2,within_source,,motion,https://www.utah.gov/pmn/files/898705.pdf,
2023-01,2023-02-02,2023-02-02,"APPROVE Ordinance 2023-01 - Amending the Budget for the Fiscal Year Beginning July 1, 2022, and Ending June 30, 2023",https://www.utah.gov/pmn/files/957577.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,The motion passed unanimously.,2023-02-02,1,within_source,,motion,https://www.utah.gov/pmn/files/957577.pdf,
2023-02,2023-04-06,2023-04-06,ADOPT Ordinance 2023-02 - Confirming the rezoning of certain property at 5025 South Highland Drive from Neighborhood Commercial (NC) to Commercial (C-2),https://www.utah.gov/pmn/files/999780.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2023-02 was adopted by a unanimous vote.,2023-04-06,5,within_source,,motion,https://www.utah.gov/pmn/files/999780.pdf,
2023-03,2023-04-20,2023-04-20,ADOPT Ordinance 2023-03 - Restricting the Use of Personal Fireworks,https://www.utah.gov/pmn/files/999782.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2023- 03 was approved by a unanimous vote.,2023-04-20,2,within_source,,motion,https://www.utah.gov/pmn/files/999782.pdf,
2023-04,2023-06-01,2023-06-01,ADOPT Ordinance 2023-04 - Vacating a Certain Portion of Right-of-Way,https://www.utah.gov/pmn/files/999796.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2023-04 was adopted by a unanimous vote.,2023-06-01,1,within_source,,motion,https://www.utah.gov/pmn/files/999796.pdf,
2023-05,2023-06-15,2023-06-15,"ADOPT Ordinance 2023-05 - Amending the Budget for the Fiscal Year Beginning July 1, 2022 and Ending June 30, 2023",https://www.utah.gov/pmn/files/1019335.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2023-05 passed unanimously.,2023-06-15,1,within_source,,motion,https://www.utah.gov/pmn/files/1019335.pdf,
2023-06,2023-06-15,2023-06-15,"ADOPT Ordinance 2023-06 - Determining the Rate of Tax for 2023 Tax Year and Levying Taxes Upon All Real and Personal Property within the City of Holladay, with the following amendm",https://www.utah.gov/pmn/files/1019335.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2023-06 passed unanimously.,2023-06-15,2,within_source,,motion,https://www.utah.gov/pmn/files/1019335.pdf,
2023-07,2023-06-15,2023-06-15,"ADOPT Ordinance 2023-07 - Approving a Compensation Schedule for Elected and Statutory Officers, as amended, as shown during the City Council Meeting, and as corrected from the Meet",https://www.utah.gov/pmn/files/1019335.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2023-07 passed unanimously.,2023-06-15,3,within_source,,motion,https://www.utah.gov/pmn/files/1019335.pdf,
2023-08,2023-06-15,2023-06-15,ADOPT Ordinance 2023-08 - A Final Budget for Fiscal Year 2023-2024,https://www.utah.gov/pmn/files/1019335.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2023-08 passed unanimously.,2023-06-15,4,within_source,,motion,https://www.utah.gov/pmn/files/1019335.pdf,
2023-11,2023-09-21,2023-09-21,"ADOPT Ordinance 2023-11 - Amending Title 15.28.060 and Title 17.16.130, 17.29.040, Relating to the Removal of Bonds for Private Improvements Not Essential for Public Safety",https://www.utah.gov/pmn/files/1043195.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2023-11 was adopted by a unanimous vote.,2023-09-21,1,within_source,,motion,https://www.utah.gov/pmn/files/1043195.pdf,
2023-13,2023-10-05,2023-10-05,ADOPT Ordinance 2023-13 - Amending the Holladay Zone Map for Property Located at 4930 South Westmoor Road from P (“Public”) to R-1-10 (“Residential Single-Family”),https://www.utah.gov/pmn/files/1061421.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2023-13 was adopted by a unanimous vote.,2023-10-05,1,within_source,,motion,https://www.utah.gov/pmn/files/1061421.pdf,
2023-14,2023-10-19,2023-10-19,ADOPT Ordinance 2023-14 - Amending the Holladay Zone Map for Property Located at 4980 and 4990 South Holladay Boulevard from the R-1-43 Zone to the R-1-10 Zone,https://www.utah.gov/pmn/files/1061411.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2023-14 was adopted by a unanimous vote.,2023-10-19,1,within_source,,motion,https://www.utah.gov/pmn/files/1061411.pdf,
2023-15,2023-10-19,2023-10-19,"DENY Ordinance -2023-15 - Amending the Holladay Zone Map for Property Located at 4437 Butternut Road, 2475 East 4500 South, and 2485 East 4500 South",https://www.utah.gov/pmn/files/1061411.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2023-15 was DENIED by a unanimous vote.,2023-10-19,2,within_source,,motion,https://www.utah.gov/pmn/files/1061411.pdf,
