city,native_code,canonical_name,description
south_jordan,MBA,Municipal Building Authority,MBA board convenes inside council meetings (in-meeting recess); 1 vote row tagged in meeting_minutes/all_votes.csv
midvale,MBA,Municipal Building Authority,"standalone board meeting docs (""Board Member""/""Chair"" roles; the tie-break-only Mayor presides as Chair, non-voting); 1 PMN-recovered doc promoted 2026-07-16 (provenance=pmn_minutes; 5 motions, 2024-05-07 FY2025 MBA budget) in meeting_minutes/all_votes.csv"
midvale,RDA,Redevelopment Agency,"council sitting as the RDA board — audited in-session captures inside council minutes docs PLUS standalone RDA board docs (""Board Member""/""Chair"" roles) PMN-recovered and promoted 2026-07-16 (provenance=pmn_minutes); 84 motions tagged in meeting_minutes/all_votes.csv"
park_city,HA,Housing Authority,council sitting as the housing authority board (in-meeting recess)
orem,SSLD,Special Service Lighting District,council sitting as the street-lighting district board
st_george,ArtsCommission,St. George Arts Commission,SEPARATE body with different members (not councilmembers) — minutes published in the same stream
st_george,Canvass,Board of Canvassers,the council convened to certify an election (same people as Council)
sandy,City Council,City Council,"Legistar body 138; = body ""Council"" in all_votes.csv"
sandy,Planning Commission,Planning Commission,"Legistar body 140; = body ""PlanningCommission"" in all_votes.csv"
sandy,Board of Adjustment,Board of Adjustment,Legistar body 139 (no vote rows in the standard CSVs)
sandy,Community Development,Community Development,Legistar body 173 (department; no vote rows)
sandy,CDBG Committee,CDBG Committee,Legistar body 186 (no vote rows)
sandy,Historic Preservation Committee,Historic Preservation Committee,Legistar body 187 (no vote rows)
sandy,Public Utilities Advisory Board,Public Utilities Advisory Board,Legistar body 192 (no vote rows)
sandy,Arts Guild,Arts Guild,Legistar body 194 (no vote rows)
sandy,Civic Center Architectural Review Committee,Civic Center Architectural Review Committee,Legistar body 195 (no vote rows)
sandy,Community Development Director,Community Development Director,Legistar body 197 (no vote rows)
sandy,RDA,Redevelopment Agency,RDA board convenes inside council meetings; 1 vote row tagged
taylorsville,RDA,Redevelopment Agency,council sitting as the Taylorsville Redevelopment Agency board (in-meeting recess); 8 motions tagged body=RDA in meeting_minutes/all_votes.csv
logan,RDA,Redevelopment Agency,same-night in-council recess with its own roll calls; split into separate redevelopment-agency-meeting files (31 meetings)
provo,RDA,Redevelopment Agency,council sitting as the RDA board via in-meeting convene/reconvene segments (39 meetings tagged by the body column)
vineyard,RDA,Redevelopment Agency,"council sitting as the RDA board (in-meeting segments, often inside joint work-session documents; 9 meetings)"
herriman,CDRA,Community Development and Renewal Agency,"council sitting as the Community Development and Renewal Agency of Herriman City board (Utah 17C reinvestment agency; the mayor sits as CDRA Chair) — separate CDA/CDRA minutes docs + PMN-recovered standalone minutes (provenance=pmn_minutes, promoted 2026-07-16); 64 motions tagged in meeting_minutes/all_votes.csv"
cottonwood_heights,CDRA,Community Development and Renewal Agency,council sitting as the Cottonwood Heights Community Development and Renewal Agency board (Utah 17C reinvestment agency) via in-meeting recess segments; 128 vote rows tagged in meeting_minutes/all_votes.csv
herriman,HCSEA,Herriman City Safety Enforcement Area,"special safety-enforcement service area board (Board Member/Trustee/Director roles); standalone minutes docs incl. PMN-recovered (provenance=pmn_minutes, promoted 2026-07-16); 39 motions tagged in meeting_minutes/all_votes.csv"
herriman,HCFSA,Herriman City Fire Service Area,"fire-service special-service area board (Board Member/Trustee/Director roles); standalone minutes docs incl. PMN-recovered (provenance=pmn_minutes, promoted 2026-07-16); 31 motions tagged in meeting_minutes/all_votes.csv"
