city,native_label,motion_type_std,land_use_type
provo,Public Hearing Action,Public-Hearing,
provo,Resolution,Resolution,
provo,Rezone,Land-Use,Rezone
provo,Subdivision/Plat,Land-Use,Subdivision-Plat
provo,Vacation,Land-Use,Vacation
provo,Variance,Land-Use,Variance-Exception
sandy,,,
sandy,Appointment,Appointment,
sandy,Budget Amendment,Budget,
sandy,Ceremonial,Ceremonial,
sandy,Contract/Purchase,Contract-Purchase,
sandy,Grant-Funding,Grant-Funding,
sandy,Informational Report,Procedural-Administrative,
sandy,Interlocal,Interlocal,
sandy,Land-Use/Zoning,Land-Use,
sandy,Minutes,Procedural-Administrative,
sandy,Ordinance,Ordinance,
sandy,Other,,
sandy,Planning Item,,
sandy,Procedural/Administrative,Procedural-Administrative,
sandy,Public Hearing Action,Public-Hearing,
sandy,Resolution,Resolution,
slc,Appointment/Advice & Consent,Appointment,
slc,Appointment/Election,Appointment,
slc,Budget Amendment,Budget,
slc,Ceremonial Resolution,Ceremonial,
slc,Conditional Use,Land-Use,Conditional-Use
slc,Consent Agenda,Procedural-Administrative,
slc,Contract/Property,Contract-Purchase,
slc,Design Review,Land-Use,Site-Plan-Design-Review
slc,Grant/Funding,Grant-Funding,
slc,Interlocal/Agreement,Interlocal,
slc,Legislative Intent,Legislative-Intent,
slc,Master Plan Amendment,Land-Use,General-Plan-Amendment
slc,Minutes,Procedural-Administrative,
slc,Ordinance,Ordinance,
slc,Other,,
slc,Planned Development,Land-Use,Other-Land-Use
slc,Procedural/Administrative,Procedural-Administrative,
slc,Public Hearing Action,Public-Hearing,
slc,Resolution,Resolution,
slc,Special Exception,Land-Use,Variance-Exception
slc,Street/Alley Closure,Land-Use,Vacation
slc,Subdivision/Plat,Land-Use,Subdivision-Plat
slc,Zoning Map Amendment,Land-Use,Rezone
slc,Zoning Text Amendment,Land-Use,Text-Amendment
st_george,Appointment,Appointment,
st_george,Budget Amendment,Budget,
st_george,Ceremonial,Ceremonial,
st_george,Contract/Purchase,Contract-Purchase,
st_george,Grant-Funding,Grant-Funding,
st_george,Interlocal,Interlocal,
st_george,Land-Use/Zoning,Land-Use,
st_george,Ordinance,Ordinance,
st_george,Other,,
st_george,Procedural/Administrative,Procedural-Administrative,
st_george,Public Hearing Action,Public-Hearing,
st_george,Resolution,Resolution,
vineyard,Appointment,Appointment,
vineyard,Budget Amendment,Budget,
vineyard,Ceremonial,Ceremonial,
vineyard,Contract/Purchase,Contract-Purchase,
vineyard,Grant-Funding,Grant-Funding,
vineyard,Interlocal,Interlocal,
vineyard,Land-Use/Zoning,Land-Use,
vineyard,Ordinance,Ordinance,
vineyard,Other,,
vineyard,Procedural/Administrative,Procedural-Administrative,
vineyard,Public Hearing Action,Public-Hearing,
vineyard,Resolution,Resolution,
west_jordan,Appointment,Appointment,
west_jordan,Budget Amendment,Budget,
west_jordan,Contract/Purchase,Contract-Purchase,
west_jordan,Grant-Funding,Grant-Funding,
west_jordan,Interlocal,Interlocal,
west_jordan,Land-Use/Zoning,Land-Use,
west_jordan,Ordinance,Ordinance,
west_jordan,Other,,
west_jordan,Procedural/Administrative,Procedural-Administrative,
west_jordan,Public Hearing Action,Public-Hearing,
west_jordan,Resolution,Resolution,
west_valley,Appointment,Appointment,
west_valley,Budget Amendment,Budget,
west_valley,Ceremonial,Ceremonial,
west_valley,Code Exception,Land-Use,Variance-Exception
west_valley,Conditional Use,Land-Use,Conditional-Use
west_valley,Contract/Purchase,Contract-Purchase,
west_valley,General Plan & Rezone,Land-Use,Rezone
west_valley,General Plan Amendment,Land-Use,General-Plan-Amendment
west_valley,Grant-Funding,Grant-Funding,
west_valley,Interlocal,Interlocal,
west_valley,Land-Use/Zoning,Land-Use,
west_valley,Ordinance,Ordinance,
west_valley,Other,,
west_valley,Planned Unit Development,Land-Use,Other-Land-Use
west_valley,Procedural/Administrative,Procedural-Administrative,
west_valley,Resolution,Resolution,
west_valley,Rezone,Land-Use,Rezone
west_valley,Site Plan,Land-Use,Site-Plan-Design-Review
west_valley,Street Vacation,Land-Use,Vacation
west_valley,Subdivision,Land-Use,Subdivision-Plat
west_valley,Subdivision Amendment,Land-Use,Subdivision-Plat
west_valley,Zone Text Amendment,Land-Use,Text-Amendment
south_jordan,Appointment,Appointment,
south_jordan,Budget Amendment,Budget,
south_jordan,Ceremonial,Ceremonial,
south_jordan,Contract/Purchase,Contract-Purchase,
south_jordan,Grant-Funding,Grant-Funding,
south_jordan,Interlocal,Interlocal,
south_jordan,Land-Use/Zoning,Land-Use,
south_jordan,Ordinance,Ordinance,
south_jordan,Other,,
south_jordan,Procedural/Administrative,Procedural-Administrative,
south_jordan,Public Hearing Action,Public-Hearing,
south_jordan,Resolution,Resolution,
millcreek,Appointment,Appointment,
millcreek,Budget Amendment,Budget,
millcreek,Ceremonial,Ceremonial,
millcreek,Conditional Use,Land-Use,Conditional-Use
millcreek,Contract/Purchase,Contract-Purchase,
millcreek,Exception,Land-Use,Variance-Exception
millcreek,General Plan Amendment,Land-Use,General-Plan-Amendment
millcreek,Grant-Funding,Grant-Funding,
millcreek,Interlocal,Interlocal,
millcreek,Land-Use/Zoning,Land-Use,
millcreek,Ordinance,Ordinance,
millcreek,Other,,
millcreek,Other Land-Use,Land-Use,Other-Land-Use
millcreek,Planned Unit Development,Land-Use,Other-Land-Use
millcreek,Procedural/Administrative,Procedural-Administrative,
millcreek,Public Hearing Action,Public-Hearing,
millcreek,Resolution,Resolution,
millcreek,Rezone,Land-Use,Rezone
millcreek,Street Vacation,Land-Use,Vacation
millcreek,Subdivision,Land-Use,Subdivision-Plat
millcreek,Zone Text Amendment,Land-Use,Text-Amendment
taylorsville,Appointment,Appointment,
taylorsville,Budget Amendment,Budget,
taylorsville,Contract/Purchase,Contract-Purchase,
taylorsville,Grant-Funding,Grant-Funding,
taylorsville,Interlocal,Interlocal,
taylorsville,Land-Use/Zoning,Land-Use,
taylorsville,Ordinance,Ordinance,
taylorsville,Other,,
taylorsville,Procedural/Administrative,Procedural-Administrative,
taylorsville,Public Hearing Action,Public-Hearing,
taylorsville,Resolution,Resolution,
murray,Appointment,Appointment,
murray,Budget Amendment,Budget,
murray,Ceremonial,Ceremonial,
murray,Contract/Purchase,Contract-Purchase,
murray,Grant-Funding,Grant-Funding,
murray,Interlocal,Interlocal,
murray,Land-Use/Zoning,Land-Use,
murray,Ordinance,Ordinance,
murray,Other,,
murray,Procedural/Administrative,Procedural-Administrative,
murray,Public Hearing Action,Public-Hearing,
murray,Resolution,Resolution,
herriman,Appointment,Appointment,
herriman,Budget Amendment,Budget,
herriman,Ceremonial,Ceremonial,
herriman,Contract/Purchase,Contract-Purchase,
herriman,Grant-Funding,Grant-Funding,
herriman,Interlocal,Interlocal,
herriman,Land-Use/Zoning,Land-Use,
herriman,Ordinance,Ordinance,
herriman,Other,,
herriman,Procedural/Administrative,Procedural-Administrative,
herriman,Public Hearing Action,Public-Hearing,
herriman,Resolution,Resolution,
draper,Appointment,Appointment,
draper,Budget,Budget,
draper,Ceremonial,Ceremonial,
draper,Contract/Purchase,Contract-Purchase,
draper,Land-Use/Zoning,Land-Use,
draper,Ordinance,Ordinance,
draper,Other,,
draper,Procedural/Administrative,Procedural-Administrative,
draper,Public Hearing Action,Public-Hearing,
draper,Resolution,Resolution,
riverton,Appointment,Appointment,
riverton,Budget Amendment,Budget,
riverton,Contract/Purchase,Contract-Purchase,
riverton,Interlocal,Interlocal,
riverton,Land-Use/Zoning,Land-Use,
riverton,Ordinance,Ordinance,
riverton,Other,,
riverton,Procedural/Administrative,Procedural-Administrative,
riverton,Public Hearing Action,Public-Hearing,
riverton,Resolution,Resolution,
alta,Appointment,Appointment,
alta,Budget/Finance,Budget,
alta,Ceremonial,Ceremonial,
alta,Consent/Minutes,Procedural-Administrative,
alta,Contract/Purchase,Contract-Purchase,
alta,Interlocal,Interlocal,
alta,Land-Use/Zoning,Land-Use,
alta,Ordinance,Ordinance,
alta,Other,,
alta,Procedural/Administrative,Procedural-Administrative,
alta,Public Hearing Action,Public-Hearing,
alta,Resolution,Resolution,
midvale,Appointment,Appointment,
midvale,Budget Amendment,Budget,
midvale,Ceremonial,Ceremonial,
midvale,Contract/Purchase,Contract-Purchase,
midvale,Grant-Funding,Grant-Funding,
midvale,Interlocal,Interlocal,
midvale,Land-Use/Zoning,Land-Use,
midvale,Ordinance,Ordinance,
midvale,Other,,
midvale,Procedural/Administrative,Procedural-Administrative,
midvale,Public Hearing Action,Public-Hearing,
midvale,Resolution,Resolution,
cottonwood_heights,Appointment,Appointment,
cottonwood_heights,Budget Amendment,Budget,
cottonwood_heights,Ceremonial,Ceremonial,
cottonwood_heights,Contract/Purchase,Contract-Purchase,
cottonwood_heights,Grant-Funding,Grant-Funding,
cottonwood_heights,Interlocal,Interlocal,
cottonwood_heights,Land-Use/Zoning,Land-Use,
cottonwood_heights,Ordinance,Ordinance,
cottonwood_heights,Other,,
cottonwood_heights,Procedural/Administrative,Procedural-Administrative,
cottonwood_heights,Public Hearing Action,Public-Hearing,
cottonwood_heights,Resolution,Resolution,
holladay,Appointment,Appointment,
holladay,Contract/Agreement,Contract-Purchase,
holladay,Land-Use/Zoning,Land-Use,
holladay,Ordinance,Ordinance,
holladay,Other,,
holladay,Procedural,Procedural-Administrative,
holladay,Resolution,Resolution,
south_salt_lake,Appointment,Appointment,
south_salt_lake,Budget Amendment,Budget,
south_salt_lake,Contract/Purchase,Contract-Purchase,
south_salt_lake,Interlocal,Interlocal,
south_salt_lake,Land-Use/Zoning,Land-Use,
south_salt_lake,Ordinance,Ordinance,
south_salt_lake,Other,,
south_salt_lake,Procedural/Administrative,Procedural-Administrative,
south_salt_lake,Public Hearing Action,Public-Hearing,
south_salt_lake,Resolution,Resolution,
bluffdale,Appointment,Appointment,
bluffdale,Budget,Budget,
bluffdale,Ceremonial,Ceremonial,
bluffdale,Contract/Purchase,Contract-Purchase,
bluffdale,Interlocal,Interlocal,
bluffdale,Land-Use/Zoning,Land-Use,
bluffdale,Ordinance,Ordinance,
bluffdale,Other,,
bluffdale,Procedural/Administrative,Procedural-Administrative,
bluffdale,Public Hearing Action,Public-Hearing,
bluffdale,Resolution,Resolution,
white_city,Appointment,Appointment,
white_city,Budget Amendment,Budget,
white_city,Ceremonial,Ceremonial,
white_city,Contract/Purchase,Contract-Purchase,
white_city,Grant-Funding,Grant-Funding,
white_city,Interlocal,Interlocal,
white_city,Land-Use/Zoning,Land-Use,
white_city,Ordinance,Ordinance,
white_city,Other,,
white_city,Procedural/Administrative,Procedural-Administrative,
white_city,Public Hearing Action,Public-Hearing,
white_city,Resolution,Resolution,
kearns,Appointment,Appointment,
kearns,Budget Amendment,Budget,
kearns,Ceremonial,Ceremonial,
kearns,Contract/Purchase,Contract-Purchase,
kearns,Grant-Funding,Grant-Funding,
kearns,Interlocal,Interlocal,
kearns,Land-Use/Zoning,Land-Use,
kearns,Ordinance,Ordinance,
kearns,Other,,
kearns,Procedural/Administrative,Procedural-Administrative,
kearns,Public Hearing Action,Public-Hearing,
kearns,Resolution,Resolution,
magna,Appointment,Appointment,
magna,Budget/Finance,Budget,
magna,Ceremonial,Ceremonial,
magna,Contract/Purchase,Contract-Purchase,
magna,Grant-Funding,Grant-Funding,
magna,Interlocal,Interlocal,
magna,Land-Use/Zoning,Land-Use,
magna,Ordinance,Ordinance,
magna,Other,,
magna,Procedural/Administrative,Procedural-Administrative,
magna,Public Hearing Action,Public-Hearing,
magna,Resolution,Resolution,
copperton,Appointment,Appointment,
copperton,Budget/Fiscal,Budget,
copperton,Contract/Purchase,Contract-Purchase,
copperton,Interlocal,Interlocal,
copperton,Land-Use/Zoning,Land-Use,
copperton,Ordinance,Ordinance,
copperton,Other,,
copperton,Procedural/Administrative,Procedural-Administrative,
copperton,Public Hearing Action,Public-Hearing,
copperton,Recommendation,,
copperton,Resolution,Resolution,
emigration_canyon,Appointment,Appointment,
emigration_canyon,Budget Amendment,Budget,
emigration_canyon,Ceremonial,Ceremonial,
emigration_canyon,Contract/Purchase,Contract-Purchase,
emigration_canyon,Grant-Funding,Grant-Funding,
emigration_canyon,Interlocal,Interlocal,
emigration_canyon,Land-Use/Recommendation,Land-Use,
emigration_canyon,Land-Use/Zoning,Land-Use,
emigration_canyon,Ordinance,Ordinance,
emigration_canyon,Other,,
emigration_canyon,Procedural/Administrative,Procedural-Administrative,
emigration_canyon,Public Hearing Action,Public-Hearing,
emigration_canyon,Resolution,Resolution,
