video_id,title,duration,date,date_source,body,meeting_kind,is_meeting
F4q4j2JqbSk,2026 3 11 City Council Regular Meeting,2452.0,2026-03-11,title,CityCouncil,RC,yes
Z2l9hmDX0ag,2026 3 11 City Council Work Meeting,2619.0,2026-03-11,title,CityCouncil,WM,yes
7Ge0_AQPj7E,2026 3 5 Planning Commission Meeting,1137.0,2026-03-05,title,PlanningCommission,PC,yes
htPxmo0z23c,2026 3 2 Civilian Review Board Meeting,2354.0,2026-03-02,title,CivilianReviewBoard,CRB,yes
rAejFNVJ0Fk,2026 2 25 City Council Regular Meeting,2141.0,2026-02-25,title,CityCouncil,RC,yes
vyR7q55-1ws,2026 2 25 City Council Work Meeting,3527.0,2026-02-25,title,CityCouncil,WM,yes
x9EFzjdRkH8,2026 2 19 Planning Commission Meeting,1436.0,2026-02-19,title,PlanningCommission,PC,yes
GOV17UdFqpg,2025 South Salt Lake Events Recap,67.0,,,,,no
eodDhnlmAAU,2026 2 11 City Council Regular Meeting,3244.0,2026-02-11,title,CityCouncil,RC,yes
r2WFj0Adt_A,2026 2 11 City Council Work Meeting,1392.0,2026-02-11,title,CityCouncil,WM,yes
aiWEkwHPX8c,2026 2 5 Planning Commission Meeting,4561.0,2026-02-05,title,PlanningCommission,PC,yes
dN0feFG4b9A,2026 2 2 Civilian Review Board Meeting,2139.0,2026-02-02,title,CivilianReviewBoard,CRB,yes
V--d2fIrYxI,2026 1 28 City Council Regular Meeting,3063.0,2026-01-28,title,CityCouncil,RC,yes
hqf_yXS3ml4,2026 1 28 City Council Work Meeting,3281.0,2026-01-28,title,CityCouncil,WM,yes
Gl-GfiduAoE,2026 1 15 Planning Commission Meeting,5029.0,2026-01-15,title,PlanningCommission,PC,yes
B0AI_aMJ4xs,2026 1 14 City Council Regular Meeting,2356.0,2026-01-14,title,CityCouncil,RC,yes
pxEGwOnODjQ,2026 1 14 City Council Work Meeting,3813.0,2026-01-14,title,CityCouncil,WM,yes
DBvGMqmNZus,2026 1 14 Redevelopment Agency Meeting,273.0,2026-01-14,title,RDA,RDA,yes
betxRh56X3g,2026 1 5 Civilian Review Board Meeting,2545.0,2026-01-05,title,CivilianReviewBoard,CRB,yes
y3Jd5_EV3Ws,2025 12 10 City Council Regular Meeting,2989.0,2025-12-10,title,CityCouncil,RC,yes
iL6_MHCRpYk,2025 12 10 City Council Work Meeting,2477.0,2025-12-10,title,CityCouncil,WM,yes
nUSxOZMThn8,2025 12 10 Redevelopment Agency Meeting,329.0,2025-12-10,title,RDA,RDA,yes
6a2O564_jOQ,2025 12 4 Planning Commission Work Meeting,4903.0,2025-12-04,title,PlanningCommission,PC,yes
MSnHxOkFqo0,2025 12 1 Civilian Review Board Meeting,405.0,2025-12-01,title,CivilianReviewBoard,CRB,yes
N_UtskzTyhQ,Craftoberfest 2025,110.0,,,,,no
Equ3ZgcoTdY,2025 11 18 Board of Canvassers,201.0,2025-11-18,title,CityCouncil,BoC,yes
IUBJKf8HtNA,2025 11 12 City Council Regular Meeting,1991.0,2025-11-12,title,CityCouncil,RC,yes
SUAciiXgh60,2025 11 12 City Council Work Meeting,470.0,2025-11-12,title,CityCouncil,WM,yes
JOwYy5hDdfA,2025 11 12 Redevelopment Agency Meeting,1065.0,2025-11-12,title,RDA,RDA,yes
kaTKWcxPJ4I,South Salt Lake Halloween Events,140.0,,,,,no
1pGBcbOipGQ,2025 11 6 Planning Commission,2079.0,2025-11-06,title,PlanningCommission,PC,yes
y2tTxoyt28Y,2025 11 3 Civilian Review Board Meeting,342.0,2025-11-03,title,CivilianReviewBoard,CRB,yes
kldbdxvd34Y,2025 10 29 City Council Regular Meeting,1959.0,2025-10-29,title,CityCouncil,RC,yes
rzzU_jtBZLM,2025 10 29 City Council Work Meeting,3488.0,2025-10-29,title,CityCouncil,WM,yes
hBHPB8DiJJY,Celebrate South Salt Lake 2025,117.0,,,,,no
sw5RezbFQ1k,2025 10 26 Planning Commission Meeting,3004.0,2025-10-26,title,PlanningCommission,PC,yes
Bx6pAPIyb3g,2025 10 15 Regular City Council Meeting,2597.0,2025-10-15,title,CityCouncil,RC,yes
O2p5jchzTX8,2025 10 15 City Council Work Meeting,560.0,2025-10-15,title,CityCouncil,WM,yes
FMhKOtwEZM4,2025 10 2 Planning Commission Meeting,2249.0,2025-10-02,title,PlanningCommission,PC,yes
AY6mmSOaoUk,2025 10 6 Civilian Review Board Meeting,266.0,2025-10-06,title,CivilianReviewBoard,CRB,yes
cxzncQfBWZI,South Salt Lake MURAL FEST 2025,257.0,,,,,no
yLp7SolbjfE,2025 9 10 Regular City Council Meeting,722.0,2025-09-10,title,CityCouncil,RC,yes
ydRf_cZ4P-U,2025 9 8 Civilian Review Board Meeting,402.0,2025-09-08,title,CivilianReviewBoard,CRB,yes
J83pKhYQsOo,Millcreek and Meadowbrook Station Area Plan Open House,3026.0,,,,,no
R5yY8ieQ_M0,2025 8 27 City Council Regular Meeting,2177.0,2025-08-27,title,CityCouncil,RC,yes
KAkd41T_2k8,2025 8 27 Redevelopment Agency Meeting,2757.0,2025-08-27,title,RDA,RDA,yes
qBFxSvhyaMc,Freedom Fest 4th of July Parade and Celebration,115.0,,,,,no
m73wa3vgde0,2025 8 13 City Council Regular Meeting,2485.0,2025-08-13,title,CityCouncil,RC,yes
GHJSjFt4bMI,2025 8 13 City Council Work Meeting,2606.0,2025-08-13,title,CityCouncil,WM,yes
pHrR9PQRAiU,2025 8 7 Planning Commission Meeting,1105.0,2025-08-07,title,PlanningCommission,PC,yes
WGw_Rkx26Hs,2025 8 4 Civilian Review Board Meeting,441.0,2025-08-04,title,CivilianReviewBoard,CRB,yes
byRZ3TORzfY,2025 7 23 City Council Regular Meeting,2984.0,2025-07-23,title,CityCouncil,RC,yes
emvGsxWvmlE,2025 7 23 City Council Work Meeting,265.0,2025-07-23,title,CityCouncil,WM,yes
azY5QKD8HsM,2025 7 10 Planning Commission Work Meeting,4728.0,2025-07-10,title,PlanningCommission,PC,yes
cZJBYu0p7-E,2025 7 10 Planning Commission Regular Meeting,2591.0,2025-07-10,title,PlanningCommission,PC,yes
j6XOQ9n-vAA,2025 7 9 City Council Regular Meeting,2382.0,2025-07-09,title,CityCouncil,RC,yes
sdDNqTkcgEQ,2025 7 9 City Council Work Meeting,2756.0,2025-07-09,title,CityCouncil,WM,yes
gHrJ-cPT7LQ,2025 7 7 Civilian Review Board Meeting,931.0,2025-07-07,title,CivilianReviewBoard,CRB,yes
VxYyoSZec3o,2025 7 3 Planning Commission Meeting,1039.0,2025-07-03,title,PlanningCommission,PC,yes
cdYqFGFsBKM,Drone Show from South Salt Lake 85th Celebration,231.0,,,,,no
aJBFdJF2V84,2025 6 19 Planning Commission Meeting,7361.0,2025-06-19,title,PlanningCommission,PC,yes
jafsrhXeJ4E,South Salt Lake 2025 Juneteenth Celebration,92.0,,,,,no
l3vhvkCOblQ,2025 6 11 City Council Regular Meeting,4279.0,2025-06-11,title,CityCouncil,RC,yes
r_osOMMxrwE,2025 6 11 Redevelopment Agency Meeting,238.0,2025-06-11,title,RDA,RDA,yes
h71TJEGVQ74,2025 6 11 City Council Work Meeting,911.0,2025-06-11,title,CityCouncil,WM,yes
zZPGs_xmDGs,2025 6 2 Civilian Review Board Meeting,397.0,2025-06-02,title,CivilianReviewBoard,CRB,yes
hQnrgGEc2Vw,2025 5 28 City Council Regular Meeting,1651.0,2025-05-28,title,CityCouncil,RC,yes
uwccOmzVtY4,2025 5 28 City Council Work Meeting,2685.0,2025-05-28,title,CityCouncil,WM,yes
eXOVguKUzsQ,2025 5 28 Redevelopment Agency Meeting,1247.0,2025-05-28,title,RDA,RDA,yes
NnrzDUZIY8c,2025 5 14 City Council Regular Meeting,2463.0,2025-05-14,title,CityCouncil,RC,yes
C3vrO6t_bD4,2025 5 14 City Council Work Meeting,2646.0,2025-05-14,title,CityCouncil,WM,yes
FEsb4QFrETE,2025 5 14 Redevelopment Agency Meeting,756.0,2025-05-14,title,RDA,RDA,yes
DemeFQLKO_I,2025 5 5 Civilian Review Board Meeting,2280.0,2025-05-05,title,CivilianReviewBoard,CRB,yes
t879K8_4SIM,2025 4 23 Regular City Council Meeting,4449.0,2025-04-23,title,CityCouncil,RC,yes
i46zTTYvfpw,2025 4 23 City Council Work Meeting,5906.0,2025-04-23,title,CityCouncil,WM,yes
c4k4Zz--AV4,2025 4 17 Planning Commission Meeting,2591.0,2025-04-17,title,PlanningCommission,PC,yes
ZhA0kVN5gqY,2025 4 7 Civilian Review Board,228.0,2025-04-07,title,CivilianReviewBoard,CRB,yes
zhQs3EBdsms,2025 4 3 Planning Commission Meeting,2758.0,2025-04-03,title,PlanningCommission,PC,yes
fNZuSzAa-F4,2025 4 2 City Council Regular Meeting,1024.0,2025-04-02,title,CityCouncil,RC,yes
kw_8mSbJUoQ,2025 4 2 City Council Work Meeting,1788.0,2025-04-02,title,CityCouncil,WM,yes
D_85hxYUmas,2025 3 26 City Council Work Meeting,1903.0,2025-03-26,title,CityCouncil,WM,yes
BER68nvLA10,2025 3 26 City Council Regular Meeting,1789.0,2025-03-26,title,CityCouncil,RC,yes
BALhYeVpugE,2025 3 24 Civilian Review Board Meeting,214.0,2025-03-24,title,CivilianReviewBoard,CRB,yes
0ANfIarLpaA,South Salt Lake State of the City Address 2025,3004.0,,,,,no
SC9mMAgITo8,2025 3 12 City Council Regular Meeting,4515.0,2025-03-12,title,CityCouncil,RC,yes
AX5bMt1diCg,2025 3 12 City Council Work Meeting,3247.0,2025-03-12,title,CityCouncil,WM,yes
EbiNR3D9kQs,2025 3 6 Planning Commission Meeting,5336.0,2025-03-06,title,PlanningCommission,PC,yes
0iSwm3L3n3c,2025 3 5 Civilian Review Board Meeting,508.0,2025-03-05,title,CivilianReviewBoard,CRB,yes
yXj8Vpig3rM,2025 2 27 City Council Regular Meeting,2307.0,2025-02-27,title,CityCouncil,RC,yes
Rj42T6otTGQ,2025 2 26 City Council Work Meeting,1922.0,2025-02-26,title,CityCouncil,WM,yes
2xXMqCuJo1I,2025 2 20 Planning Commission Meeting,6913.0,2025-02-20,title,PlanningCommission,PC,yes
gIhuBjBXHU8,2025 2 12 City Council Regular Meeting,2476.0,2025-02-12,title,CityCouncil,RC,yes
w_-Qzj9mJu8,2025 2 12 City Council Work Meeting,2709.0,2025-02-12,title,CityCouncil,WM,yes
SMt67uZ_Qyo,2025 2 12 Redevelopment Agency Meeting,391.0,2025-02-12,title,RDA,RDA,yes
5qaKPvb5xIo,2025 2 3 Civilian Review Board,1063.0,2025-02-03,title,CivilianReviewBoard,CRB,yes
O58iXKyOyCc,2025 1 22 City Council Regular Meeting,2236.0,2025-01-22,title,CityCouncil,RC,yes
ErDRFz4G2E4,2025 1 22 City Council Work Meeting,2691.0,2025-01-22,title,CityCouncil,WM,yes
vxHt94XNktc,2025 1 16 Planning Commission,2121.0,2025-01-16,title,PlanningCommission,PC,yes
nTfnCclYiXA,Stories of South Salt Lake: Promise,212.0,,,,,no
RIm4BAV6jAA,Stories of South Salt Lake: Community,141.0,,,,,no
c4HRy-yw4tU,Stories of South Salt Lake: Center of the West,110.0,,,,,no
2XL6dZ8CuGw,Stories of South Salt Lake: Horton the Water Tower,108.0,,,,,no
gFEy5GlPC4Y,Stories of South Salt Lake: History,114.0,,,,,no
I0GiYZh05R4,2025 1 8 City Council Regular Meeting,1700.0,2025-01-08,title,CityCouncil,RC,yes
E5Yq2AEhgGg,2025 1 8 Redevelopment Agency Meeting,190.0,2025-01-08,title,RDA,RDA,yes
8zE37sGOP60,2025 1 8 City Council Work Meeting,516.0,2025-01-08,title,CityCouncil,WM,yes
wydipljm__I,2025 1 6 Civilian Review Board Meeting,565.0,2025-01-06,title,CivilianReviewBoard,CRB,yes
UY4UzWdIb4s,South Salt Lake MURAL FEST 2024,252.0,,,,,no
CDdnS0028mw,South Salt Lake MURAL FEST 2023,277.0,,,,,no
-DpWFoQZXrQ,South Salt Lake MURAL FEST 2022,319.0,,,,,no
ZNafNlcDBHY,South Salt Lake MURAL FEST 2021,235.0,,,,,no
l4SdVCpHUas,2024 12 11 City Council Regular Meeting,2179.0,2024-12-11,title,CityCouncil,RC,yes
UMLze-2T5ek,2024 12 11 Redevelopment Agency Meeting,131.0,2024-12-11,title,RDA,RDA,yes
0jdGjUn-sR0,2024 12 2 Civilian Review Board Meeting,717.0,2024-12-02,title,CivilianReviewBoard,CRB,yes
3PWWwWFGRMI,2024 11 21 Planning Commission Meeting,1563.0,2024-11-21,title,PlanningCommission,PC,yes
me73HxHrjqI,2024 11 13 City Council Regular Meeting,4611.0,2024-11-13,title,CityCouncil,RC,yes
eNJYhfdCLj8,2024 11 13 City Council Work Meeting,2953.0,2024-11-13,title,CityCouncil,WM,yes
d2UcB-sTGQA,2024 11 7 Planning Commission Meeting,7250.0,2024-11-07,title,PlanningCommission,PC,yes
eTdIOvOiRtQ,2024 11 4  Civilian Review Board Meeting,1355.0,2024-11-04,title,CivilianReviewBoard,CRB,yes
icx1yD7U34Q,2024 10 23 City Council Meeting,1090.0,2024-10-23,title,CityCouncil,RC,yes
Q3pAEdbTpQk,2024 10 23 Redevelopment Agency Meeting,1416.0,2024-10-23,title,RDA,RDA,yes
bTRCJpUErRg,2024 10 17 Planning Commission,6623.0,2024-10-17,title,PlanningCommission,PC,yes
XmZsxCELe1o,2024 10 9 City Council Regular Meeting,746.0,2024-10-09,title,CityCouncil,RC,yes
egzFQ6wKYiw,2024 10 9 City Council Work Meeting,3009.0,2024-10-09,title,CityCouncil,WM,yes
UyBoedR7AYw,2024 10 7 Civilian Review Board,295.0,2024-10-07,title,CivilianReviewBoard,CRB,yes
3oEHAaYzMcg,2024 9 25 City Council Regular Meeting,735.0,2024-09-25,title,CityCouncil,RC,yes
4uwt9eu-Bz4,2024 9 25 City Council Work Meeting,1508.0,2024-09-25,title,CityCouncil,WM,yes
wdEgpnKiIrg,2024 9 19 Planning Commission Regular Meeting,1356.0,2024-09-19,title,PlanningCommission,PC,yes
ltDIRkFfI18,2024 9 11 City Council Work Meeting,2702.0,2024-09-11,title,CityCouncil,WM,yes
WfavwlyBGkc,2024 9 9 Civilian Review Board,4364.0,2024-09-09,title,CivilianReviewBoard,CRB,yes
KTuwuWT1_Wc,2024 9 5 Planning Commission Regular Meeting,4824.0,2024-09-05,title,PlanningCommission,PC,yes
JbLDOqoNQ9I,2024 9 5 Planning Commission Work Meeting,4529.0,2024-09-05,title,PlanningCommission,PC,yes
yoPgjLExxQs,2024 8 28 City Council Regular Meeting,1404.0,2024-08-28,title,CityCouncil,RC,yes
sjOwFf9PdGc,2024 8 28 City Council Work Meeting,1985.0,2024-08-28,title,CityCouncil,WM,yes
mQp6y8v6EVg,2024 8 28 Redevelopment Agency Meeting,327.0,2024-08-28,title,RDA,RDA,yes
uLPvZC1xt94,2024 8 21 City Council Special Meeting,5976.0,2024-08-21,title,CityCouncil,RC,yes
wwDtLZ6jxZc,2024 8 7 City Council Truth in Taxation Hearing,5038.0,2024-08-07,title,CityCouncil,RC,yes
jq2xz6ZrS_M,2024 8 5 Civilian Review Board,883.0,2024-08-05,title,CivilianReviewBoard,CRB,yes
9RWLkzyEsTQ,2024 8 1 Planning Commission Regular Meeting,1971.0,2024-08-01,title,PlanningCommission,PC,yes
bubxvJDxvq0,2024 7 11 Planning Commission Regular Meeting,894.0,2024-07-11,title,PlanningCommission,PC,yes
Hl37hak7RCo,2024 7 11 Planning Commission Work Meeting,2052.0,2024-07-11,title,PlanningCommission,PC,yes
TZL6t2TddbM,2024 7 31 City Council Regular Meeting,2118.0,2024-07-31,title,CityCouncil,RC,yes
RMDdp5OLt2w,2024 7 31 City Council Work Meeting,2512.0,2024-07-31,title,CityCouncil,WM,yes
3IAUP6ioCgg,2024 7 10 City Council Regular Meeting,3076.0,2024-07-10,title,CityCouncil,RC,yes
DfHN7G5mSW8,2024 7 10 City Council Work Meeting,878.0,2024-07-10,title,CityCouncil,WM,yes
bw4osA58Ykk,2024 7 1 Civilian Review Board meeting,1209.0,2024-07-01,title,CivilianReviewBoard,CRB,yes
MjuQPfaSylI,2024 6 12 City Council Regular Meeting,2708.0,2024-06-12,title,CityCouncil,RC,yes
Au8AGmYjpBA,2024 6 12 City Council Work Meeting,75.0,2024-06-12,title,CityCouncil,WM,yes
bd_P9xIhqJI,2024 6 5 City Council Work Meeting,2867.0,2024-06-05,title,CityCouncil,WM,yes
3DceU2lP6HY,2024 6 5 City Council Regular Meeting,2334.0,2024-06-05,title,CityCouncil,RC,yes
G6GEZbZX3DU,2024 6 5 Redevelopment Agency Meeting,325.0,2024-06-05,title,RDA,RDA,yes
5NjfYNakh9s,2024 6 3 Civilian Review Board Meeting,1259.0,2024-06-03,title,CivilianReviewBoard,CRB,yes
qsC6BpF6rIY,2024 5 22 City Council Work Meeting,3206.0,2024-05-22,title,CityCouncil,WM,yes
JTTecmgnpv8,2024 5 22 City Council Regular Meeting,2250.0,2024-05-22,title,CityCouncil,RC,yes
hqZOjDdAMak,2024 5 22 RDA Meeting,349.0,2024-05-22,title,RDA,RDA,yes
b-KGDfuogdI,South Salt Lake Signup Video,64.0,,,,,no
uJe9DvkLFmg,2024 5 20 Civilian Review Board Meeting,131.0,2024-05-20,title,CivilianReviewBoard,CRB,yes
0zAeOA-1nG0,2024 5 16 Planning Commission Work Meeting,5391.0,2024-05-16,title,PlanningCommission,PC,yes
9jiSyCMc-qU,2024 5 16 Planning Commission,1354.0,2024-05-16,title,PlanningCommission,PC,yes
MOg2WrfOnd8,2024 5 8 Regular Council Meeting,3879.0,2024-05-08,title,CityCouncil,RC,yes
EjkSenPaDWw,2024 5 8 Redevelopment Agency Meeting,1325.0,2024-05-08,title,RDA,RDA,yes
TfVWPtBrSj8,2024 5 6 Civilian Review Board Meeting,2469.0,2024-05-06,title,CivilianReviewBoard,CRB,yes
7iNh9FRyaKU,2024 5 2 Planning Commission Meeting,2221.0,2024-05-02,title,PlanningCommission,PC,yes
t3SmnkdxM0g,2024 4 24 City Council Regular Meeting,2772.0,2024-04-24,title,CityCouncil,RC,yes
8yi7Dngd1nY,2024 4 24 RDA Meeting,363.0,2024-04-24,title,RDA,RDA,yes
InKDSWzanG8,2024 4 24 City Council Work Meeting,997.0,2024-04-24,title,CityCouncil,WM,yes
d3eS20-TB34,2024 4 18 Planning Commission Meeting,3035.0,2024-04-18,title,PlanningCommission,PC,yes
eBHcvS45UWw,2024 4 10 City Council Regular Meeting,2251.0,2024-04-10,title,CityCouncil,RC,yes
B-_o9rbSKXs,2024 4 10 City Council Work Meeting,2009.0,2024-04-10,title,CityCouncil,WM,yes
Dn5HTVy0waA,2024 4 8 Civilian Review Board Meeting,519.0,2024-04-08,title,CivilianReviewBoard,CRB,yes
QCt3qq-Z-ds,2024 3 27 City Council Regular Meeting,3165.0,2024-03-27,title,CityCouncil,RC,yes
PxAXGWyYcyU,2024 3 27 RDA Meeting,588.0,2024-03-27,title,RDA,RDA,yes
-oL3iZrhNZY,2024 3 27 City Council Work Meeting,1935.0,2024-03-27,title,CityCouncil,WM,yes
T3JfK6V5vEU,2024 3 21 Planning Commission Meeting,1924.0,2024-03-21,title,PlanningCommission,PC,yes
4FEMbm0_bqE,2024 State of the City Address,4112.0,,,,,no
fEtzop33rsA,2024 3 14 City Council Regular Meeting,1177.0,2024-03-14,title,CityCouncil,RC,yes
YzUJpwKX92Q,2024 3 13 City Council Work Meeting,2370.0,2024-03-13,title,CityCouncil,WM,yes
0w8mPhBhBFk,2024 3 13 RDA Meeting,1834.0,2024-03-13,title,RDA,RDA,yes
YxsHVdGCc8c,2024 3 6 City Council Special Meeting,188.0,2024-03-06,title,CityCouncil,RC,yes
Car8vhixlVo,2024 3 4 Civilian Review Board Meeting,5444.0,2024-03-04,title,CivilianReviewBoard,CRB,yes
vqnkQaib_fo,2024 2 28 City Council Regular Meeting,2966.0,2024-02-28,title,CityCouncil,RC,yes
TXMbiz-AKW0,2024 2 28 City Council Work Meeting,998.0,2024-02-28,title,CityCouncil,WM,yes
oSGEsUkkHhA,2024 2 28 RDA Meeting,1790.0,2024-02-28,title,RDA,RDA,yes
VzQvwHTCOR8,2024 2 21 City Council Special Meeting,892.0,2024-02-21,title,CityCouncil,RC,yes
jC1CfAaWaUk,2024 2 15 Planning Commission Work Meeting,2408.0,2024-02-15,title,PlanningCommission,PC,yes
WX_zLpFtk18,2024 2 15 Planning Commission Meeting,1409.0,2024-02-15,title,PlanningCommission,PC,yes
bM4-s0BHZOQ,2024 2 7 City Council Regular Meeting,3293.0,2024-02-07,title,CityCouncil,RC,yes
Hv1D9mlmJ74,2024 2 7 City Council Work Meeting,87.0,2024-02-07,title,CityCouncil,WM,yes
iBg7pjI8cuU,2024 2 5 Civilian Review Board,1513.0,2024-02-05,title,CivilianReviewBoard,CRB,yes
QlQNvV9xt-o,2024 2 1 Planning Commission Meeting,6656.0,2024-02-01,title,PlanningCommission,PC,yes
cqs_bHNUnfc,2024 2 1 Planning Commission Work Meeting,1746.0,2024-02-01,title,PlanningCommission,PC,yes
CwpguYMBZSQ,2024 1 24 City Council Regular Meeting,5627.0,2024-01-24,title,CityCouncil,RC,yes
FfRbH59KD3U,2024 1 24 City Council Work Meeting,2937.0,2024-01-24,title,CityCouncil,WM,yes
SM3C14plI08,2024 1 24 RDA Meeting,1055.0,2024-01-24,title,RDA,RDA,yes
FBWrC488cHE,2024 1 18 Planning Commission Regular Meeting,5645.0,2024-01-18,title,PlanningCommission,PC,yes
ONusgeuGT4U,2024 1 18 Planning Commission Work Meeting,1016.0,2024-01-18,title,PlanningCommission,PC,yes
E5MtJ4sJeFg,2024 1 8 Civilian Review Board,3857.0,2024-01-08,title,CivilianReviewBoard,CRB,yes
uUta5BL4yyU,2024 1 10 City Council Regular Meeting,5570.0,2024-01-10,title,CityCouncil,RC,yes
qpgLijAJij4,2024 1 10 RDA Meeting,176.0,2024-01-10,title,RDA,RDA,yes
9uWE8FSl520,2024 1 10 City Council Work Meeting,1605.0,2024-01-10,title,CityCouncil,WM,yes
9ERuvMITd-k,2023 12 13 Regular City Council Meeting,2114.0,2023-12-13,title,CityCouncil,RC,yes
DDhOFkzznyE,2023 12 13 City Council Work Meeting,3013.0,2023-12-13,title,CityCouncil,WM,yes
PqNUcTOp8iI,2023 12 13 RDA Meeting,138.0,2023-12-13,title,RDA,RDA,yes
-4KqmZTb1oQ,2023 12 7 Planning Commission Work Meeting,6268.0,2023-12-07,title,PlanningCommission,PC,yes
A9DRMUpU0sA,2023 12 7 Planning Commission Meeting,2701.0,2023-12-07,title,PlanningCommission,PC,yes
iUv_P8zpALY,2023 12 6 Board of Canvassers meeting,183.0,2023-12-06,title,CityCouncil,BoC,yes
4q7vcvl3628,2023 12 4 Civilian Review Board Meeting,2263.0,2023-12-04,title,CivilianReviewBoard,CRB,yes
5AXU5KTJsEY,2023 11 16 Planning Commission Meeting,1602.0,2023-11-16,title,PlanningCommission,PC,yes
-g185KZrWmA,2023 11 16 Planning Commission Work Meeting,265.0,2023-11-16,title,PlanningCommission,PC,yes
yZXsuj6-U5g,2023 11 15 City Council Regular Meeting,3333.0,2023-11-15,title,CityCouncil,RC,yes
aLYIBcAJyDE,2023 11 15 City Council Work Meeting,545.0,2023-11-15,title,CityCouncil,WM,yes
Kefw-GXTA0U,2023 11 15 RDA Meeting,2074.0,2023-11-15,title,RDA,RDA,yes
pU2xqWKEr0g,2023 11 6 Civilian Review Board Meeting,444.0,2023-11-06,title,CivilianReviewBoard,CRB,yes
5nYHfWnB4f4,2023 11 2 Planning Commission Regular Meeting,4217.0,2023-11-02,title,PlanningCommission,PC,yes
iL6lLpO9TXY,2023 11 2 Planning Commission Work Meeting,662.0,2023-11-02,title,PlanningCommission,PC,yes
Kl03uoQaOik,2023-10-25 City Council Regular Meeting,3697.0,2023-10-25,title,CityCouncil,RC,yes
NRwltRqOgz0,2023-10-25 RDA Meeting,930.0,2023-10-25,title,RDA,RDA,yes
q7U8pvuR79E,2023-10-25 City Council Work Meeting,1232.0,2023-10-25,title,CityCouncil,WM,yes
FL5U_kDwXPg,2023-10-16 Civilian Review Board Meeting,441.0,2023-10-16,title,CivilianReviewBoard,CRB,yes
7-XJyIWAGK0,2023-10-11 City Council Work Meeting,1651.0,2023-10-11,title,CityCouncil,WM,yes
p1-LYVaP5j0,2023-10-11 City Council Regular Meeting,752.0,2023-10-11,title,CityCouncil,RC,yes
lNcoL4wrZTg,2023-10-5 Planning Commission Regular Meeting,2362.0,2023-10-05,title,PlanningCommission,PC,yes
zl8ooYZqCO4,2023-10-5 Planning Commission Work Meeting,893.0,2023-10-05,title,PlanningCommission,PC,yes
