adid,date,title,filename,url,bytes,sha256,is_pdf
5913,2021-12-07,"December 7, 2021 City Council Meeting Minutes",2021-12-07_december_7_2021_city_council_meeting_minutes_adid5913.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5913,5620427,e0a128e7365f83fe1266d12346e63d8e30ce816dec66ee50ceecb10751ed90f6,True
5895,2021-12-07,"December 7, 2021 City Council Meeting Minutes",2021-12-07_december_7_2021_city_council_meeting_minutes_adid5895.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5895,5620427,e0a128e7365f83fe1266d12346e63d8e30ce816dec66ee50ceecb10751ed90f6,True
5912,2022-01-04,"January 4, 2022 City Council Meeting Minutes",2022-01-04_january_4_2022_city_council_meeting_minutes_adid5912.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5912,915728,78aaa3da8738103dc73f3e02f60716c93a448c5e17cd00d15eae51d8e6cb64a6,True
5947,2022-01-18,"January 18, 2022 City Council Meeting Minutes",2022-01-18_january_18_2022_city_council_meeting_minutes_adid5947.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5947,740404,48d407e0c5a56cf951ff84df3667d58075d7445105855c5655e8eae34d464c73,True
5985,2022-02-01,"February 1, 2022 City Council Meeting Minutes",2022-02-01_february_1_2022_city_council_meeting_minutes_adid5985.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5985,1637463,d73e2b3783095875e57f7991011a861e0a686490620a231ac5e962b0a1e88c68,True
5974,2022-02-01,"February 1, 2022 - District #5 Interviews - Special Meeting Minutes",2022-02-01_february_1_2022_district_5_interviews_special_meeting_minute_adid5974.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5974,153243,ebbfb49b57ab7b6538a74a8ac125ba697ddba9931dcb40cea8a23181834e65da,True
6028,2022-02-15,"February 15, 2022 City Council Meeting Minutes",2022-02-15_february_15_2022_city_council_meeting_minutes_adid6028.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6028,906043,c38183f847cc8c1dd2ed49ee55f84ca83223d163c5bb2fa916264cb36dbec214,True
6029,2022-03-01,"March 1, 2022 City Council Meeting Minutes",2022-03-01_march_1_2022_city_council_meeting_minutes_adid6029.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6029,255381,4a8c89a4880013c5ed92bbb372cc2d605f46cc53a9a7b56f9b8a7000dea36c71,True
6049,2022-03-08,"March 8, 2022 City Council Meeting Minutes",2022-03-08_march_8_2022_city_council_meeting_minutes_adid6049.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6049,2792882,ffc1b8593740e7f8e03050aae833bfe1df6d9c4c6536c6f7c6a9955ab62e6111,True
6062,2022-04-05,"April 5, 2022 City Council Meeting Minutes",2022-04-05_april_5_2022_city_council_meeting_minutes_adid6062.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6062,2574029,23c5ad67101906a3cdf8e49b20b4f36ee73698c95bce8ec4f6af387fc90dc0b6,True
6083,2022-04-19,"April 19, 2022 City Council Meeting Minutes",2022-04-19_april_19_2022_city_council_meeting_minutes_adid6083.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6083,1255864,9122524f61e85566d017da3aac3b2760da03c5db9b566b6053aa98426589a7f0,True
6115,2022-05-03,"May 3, 2022 City Council Meeting Minutes",2022-05-03_may_3_2022_city_council_meeting_minutes_adid6115.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6115,197922,3b21eb68e32ac300b1309574412a406e27d9f8fc80240e74bb5d4442646e57d1,True
6116,2022-05-17,"May 17, 2022 City Council Meeting Minutes",2022-05-17_may_17_2022_city_council_meeting_minutes_adid6116.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6116,980564,1eb583dc550e3d8632f05a43cc3524450628709e8d7c0643ff3b7a0e8f0389b0,True
6134,2022-06-07,"June 7, 2022 City Council Meeting Minutes",2022-06-07_june_7_2022_city_council_meeting_minutes_adid6134.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6134,1717277,45b3abbd47a75458b023c7aa584b6efebe1ca099ffd3f2ef306558241fb800f3,True
6173,2022-06-21,"June 21, 2022 City Council Meeting Minutes",2022-06-21_june_21_2022_city_council_meeting_minutes_adid6173.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6173,527284,c4ac1e173f3c09ad1cbced7306715eaed5fc240cd42166ecdaeee1ef9fbb3f23,True
6184,2022-07-05,"July 5, 2022 City Council Meeting Minutes",2022-07-05_july_5_2022_city_council_meeting_minutes_adid6184.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6184,226118,c27723b3e0912e91f5ab91fa97fa3a31bf34c1a2ac9415fd8d86c2ed372cfd34,True
6204,2022-07-19,"July 19, 2022 City Council Meeting Minutes",2022-07-19_july_19_2022_city_council_meeting_minutes_adid6204.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6204,205290,d119944abae840b6e638a2d519ea2c2423ceee24c6c4ee0fe157eec636c8928a,True
6226,2022-08-02,"August 2, 2022 City Council Meeting Minutes",2022-08-02_august_2_2022_city_council_meeting_minutes_adid6226.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6226,503484,5291fcd78ab209d24fbe3ee81c1fa93dc0b80439a7ba0b7512ffc3dcc60a3766,True
6231,2022-08-09,"August 9, 2022 Truth in Taxation",2022-08-09_august_9_2022_truth_in_taxation_adid6231.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6231,1985292,8e69e740d4bc75424cf8900bec01383de8bab8b573737c9d5e0a9f8daf8fef91,True
6255,2022-08-23,"August 23, 2022 City Council Meeting Minutes",2022-08-23_august_23_2022_city_council_meeting_minutes_adid6255.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6255,238157,dc97a89b0ab34797aa6fe422664180a6e16dbf4b80b289b8800d9c22281d1018,True
6272,2022-09-06,"September 6, 2022 City Council Meeting Minutes",2022-09-06_september_6_2022_city_council_meeting_minutes_adid6272.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6272,1107305,dc77afc1a6047b85b422059254eca56a1ede5b473286e1cee7a3217f37620e23,True
6297,2022-09-20,"September 20, 2022 City Council Meeting Minutes",2022-09-20_september_20_2022_city_council_meeting_minutes_adid6297.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6297,1550475,de97bf0550219f93db1f658a2dcfe0ded309eecaea8c040a9e2787068875bdbe,True
6328,2022-10-04,"October 4, 2022 City Council Meeting Minutes",2022-10-04_october_4_2022_city_council_meeting_minutes_adid6328.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/6328,2363539,e4ff28a7e574dfb7fa953e3a3bb9ae0c4519851213d579a8dd1b8b4f8cc7112b,True
7373,2022-10-18,"October 18, 2022 City Council Meeting Minutes",2022-10-18_october_18_2022_city_council_meeting_minutes_adid7373.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7373,340035,321e5a82d42edf3dd32ee4588e51d3e5f033e56b72022e86a6dc4571c0fe2628,True
7374,2022-11-01,"November 1, 2022 City Council Meeting Minutes",2022-11-01_november_1_2022_city_council_meeting_minutes_adid7374.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7374,230311,6d58c6d34380bb5e79b70dd53ef8180f664b5455f1f6d5b316e34ca348bdf717,True
7420,2022-12-06,"December 6, 2022 City Council Meeting Minutes",2022-12-06_december_6_2022_city_council_meeting_minutes_adid7420.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7420,897850,9f732d992f5a13a0fe5c4b635c774cc21d842618fe95db708b2850fb3b56af51,True
7419,2022-12-12,"December 12, 2022 - District #1 Interviews - Special Meeting Minutes",2022-12-12_december_12_2022_district_1_interviews_special_meeting_minut_adid7419.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7419,153146,d175bd436fb85da20b0e81c8f86aefa4fb41b536ab521c4a2550452fb020eb54,True
7440,2023-01-10,"January 10, 2023 City Council Meeting Minutes",2023-01-10_january_10_2023_city_council_meeting_minutes_adid7440.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7440,144118,08085f5501ad584ad1964b0200df8b7278df4708446dedd9c21dc33fb1d71edb,True
7441,2023-01-17,"January 17, 2023 City Council Meeting Minutes",2023-01-17_january_17_2023_city_council_meeting_minutes_adid7441.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7441,144873,47fc69be386de168b29032404eaf93575b2a18822005c9f3c940a761986b006e,True
7620,2023-08-08,"August 8, 2023 - Special Meeting - District #1 Interviews",2023-08-08_august_8_2023_special_meeting_district_1_interviews_adid7620.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7620,153533,da6753d034b5ce3e61b6041b54557650534062b5a5c9574bd3bc4f030915752d,True
7664,2023-11-14,"November 14, 2023 - Council Meeting Meeting minutes",2023-11-14_november_14_2023_council_meeting_meeting_minutes_adid7664.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7664,110949,3a1bb98b5276c60b0077abe4b5203b91156aa5f6b1a4b7b790449f83c741df01,True
7681,2023-12-06,"December 6, 2023 - Council Meeting minutes",2023-12-06_december_6_2023_council_meeting_minutes_adid7681.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7681,134281,ea76adff8b33a3556127e2195849f2321c2af0f8a9149a092529a560e4714599,True
7700,2024-01-02,"January 2, 2024 - City Council Meeting minutes",2024-01-02_january_2_2024_city_council_meeting_minutes_adid7700.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7700,124818,f3f81a91f051d86f727ef7b8d106864e56584f9a7e5d4efaaecbcd48dd028ea5,True
7708,2024-01-16,"January 16, 2024 - City Council Meeting minutes",2024-01-16_january_16_2024_city_council_meeting_minutes_adid7708.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7708,111963,8b9eaaae1556da14f6e54f273e80c1af1e56428d6fab6bfe48e22f383472109a,True
7709,2024-02-06,February 6 2024 - City Council Meeting minutes,2024-02-06_february_6_2024_city_council_meeting_minutes_adid7709.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7709,104573,46e31fde8bbe5d0a1a422f8b693512067f889b78ccd3bb59af6f4f5fb65c4b43,True
7719,2024-02-13,"February 13, 2024 - Special Meeting minutes",2024-02-13_february_13_2024_special_meeting_minutes_adid7719.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7719,126184,d14b3a298d5f4531ea5d18f6cc5c0a664ef226b81b8ba2e26fe3a179a6d98363,True
7731,2024-02-20,"February 20, 2024 Council Meeting minutes",2024-02-20_february_20_2024_council_meeting_minutes_adid7731.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7731,106693,00bba2767fa996f5585211ea41e0fcbdfd46a4df688bbb119de8d45d9f07e7aa,True
7742,2024-03-05,"March 5, 2024 Council Meeting minutes",2024-03-05_march_5_2024_council_meeting_minutes_adid7742.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7742,181288,1e1cb0f83b7eb29535276d5b5e1f826a5d0e41c87b107b72a458db1c63315568,True
7751,2024-03-19,"March 19, 2024 Council Meeting minutes",2024-03-19_march_19_2024_council_meeting_minutes_adid7751.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7751,127271,96295d0e3fd6d4b45bdea8b0dd09bd54baca1395d9d41d098ba8f1c0bc425052,True
7762,2024-04-02,"April 2, 2024 Council Meeting minutes",2024-04-02_april_2_2024_council_meeting_minutes_adid7762.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7762,152847,c9b131c87a7a5b0c213a48b5f489733ad77f6a7dc097f114c8c88339698ec86a,True
7772,2024-04-16,"April 16, 2024 Council Meeting minutes",2024-04-16_april_16_2024_council_meeting_minutes_adid7772.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7772,134910,58613be16d3e72e586e4c04173eeb2b777ec412cdf46656e94528d2cdfcbbdc3,True
7787,2024-05-07,"May 7, 2024 Council Meeting minutes",2024-05-07_may_7_2024_council_meeting_minutes_adid7787.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7787,159176,562882d17e0fd4f38809b6f963d74538531e2a515818c567c83591d3089400ff,True
7800,2024-05-21,"May 21, 2024 Council Meeting minutes",2024-05-21_may_21_2024_council_meeting_minutes_adid7800.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7800,167668,dded5a626c0161beb3a777644408b8f1790f9e5b19bd414a59f72da619df8e70,True
7814,2024-06-04,"June 4, 2024 Council Meeting minutes",2024-06-04_june_4_2024_council_meeting_minutes_adid7814.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7814,169118,1d0847ea89b3994d25d8aa0b25af1399a3a732a4e3cb4ef1d7a1cd95918b138f,True
7821,2024-06-18,"June 18, 2024 Council Meeting Minutes",2024-06-18_june_18_2024_council_meeting_minutes_adid7821.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7821,148677,1792318d26a9befd1312cbb50a01ccd430e3cda3e969907346cc2f9a46c98015,True
7838,2024-07-09,"July 9, 2024 City Council Meeting minutes",2024-07-09_july_9_2024_city_council_meeting_minutes_adid7838.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7838,93178,b48dbee148de3b26089270e7c5dcbb5325f209ac989a1d0d6d2ad7350e6c54f6,True
7845,2024-07-16,"July 16, 2024 Council Meeting minutes",2024-07-16_july_16_2024_council_meeting_minutes_adid7845.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7845,108487,4f3665baf7bd6e853e59443feac914a7a4c1454c171a8b806383c493d27b15ee,True
7860,2024-07-23,"July 23, 2024 - Council Meeting minutes",2024-07-23_july_23_2024_council_meeting_minutes_adid7860.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7860,181427,d6716a2b09fa51d478564598f5218b16fededb742e53a33c7ee96ba562fb6562,True
7861,2024-08-06,"August 6, 2024 - Council Meeting minutes",2024-08-06_august_6_2024_council_meeting_minutes_adid7861.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7861,133449,8586beb3a6adc240fc18b0503801e58c1c8356e959a8a64cb52754b46a99178e,True
7869,2024-08-13,"August 13, 2024 Council Meeting minutes",2024-08-13_august_13_2024_council_meeting_minutes_adid7869.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7869,116267,8e327ed63063630084dd829da80fe46aaee81e533c39a97ec7efc4d581dc3222,True
7898,2024-09-10,"September 10, 2024 Council Meeting minutes",2024-09-10_september_10_2024_council_meeting_minutes_adid7898.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7898,129956,bc52ee34009fa703ed0db99504a99147ce12f19baa1406bd6135faf6f4c9bcd1,True
7899,2024-09-17,"September 17, 2024 Council Meeting minutes",2024-09-17_september_17_2024_council_meeting_minutes_adid7899.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7899,126107,d96831dab1c2f6f78ecf54b3adae39a4b1fac7377b2e6e580eacbc3172340dd4,True
7913,2024-10-01,"October 1, 2024 Council Meeting minutes",2024-10-01_october_1_2024_council_meeting_minutes_adid7913.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7913,112725,b32d49601254890ab6ccc5d9f12bb9167ede353df5a25575280f801b29401dd7,True
7914,2024-10-15,"October 15, 2024 Council Meeting minutes",2024-10-15_october_15_2024_council_meeting_minutes_adid7914.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7914,138397,dd610d9f0fea2fc581aa126bb54fd3df1002a462d6a371977f473fac6ce99f8f,True
7938,2024-11-12,"November 12, 2024 Council Meeting minutes",2024-11-12_november_12_2024_council_meeting_minutes_adid7938.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7938,121169,34c7f8ddf06433713dfab9ebd352654c1510b49598348f522eaabaa739ff3a44,True
