ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,kind,adoption_date_source,sha256,linkage_note
2012-O-17,,2012-01-01,2012-17,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201217.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-17.pdf,yes,,,,none,ordinance,year-only,3835bb590aee384b733a66591f2e4ccfda6df9d65062cf8f3f4859377b78e959,
2012-O-18,,2012-01-01,2012-18,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201218.pdf?t=202309190901300,2026-07-13,scanned,tesseract 5 OCR @300dpi (5pg),raw/2012-O-18.pdf,yes,,,,none,ordinance,year-only,2cc8003deeb09cf8ba6ee9d48e2ccf6b68f429c3a7fbe860d5916707e4bef587,
2012-O-19,2012-11-27,2012-11-27,2012-19,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201219.pdf?t=202309190901300,2026-07-13,scanned,tesseract 5 OCR @300dpi (4pg),raw/2012-O-19.pdf,no,,,,none,ordinance,pdf,23c21c26124653c95d13a70c289ebb9805219624235095430f51406ec520b302,
2013-O-01,2013-01-02,2013-01-02,2013-O-01,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O01.pdf?t=202309190901280,2026-07-13,scanned,tesseract 5 OCR @300dpi (12pg),raw/2013-O-01.pdf,no,,,,none,ordinance,pdf,70ff3442ab30116c738d6d63d039c05551018a9d763627e58e149e75f18b400e,
2013-O-02,,2013-01-01,2013-O-02,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O02.pdf?t=202309190901280,2026-07-13,scanned,tesseract 5 OCR @300dpi (4pg),raw/2013-O-02.pdf,yes,,,,none,ordinance,year-only,63cf01a545dc4d8d0f9501faef9d5c94355c0a26828c9b4f5ba916db42c0d905,
2013-O-03,2013-04-02,2013-04-02,2013-O-03,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O03.pdf?t=202309190901280,2026-07-13,scanned,tesseract 5 OCR @300dpi (4pg),raw/2013-O-03.pdf,no,,,,none,ordinance,pdf,39202a776250879f82ea2298638088a22f9cec9d7d67170d5f03f2c8c92d0f30,
2013-O-04,2013-05-07,2013-05-07,2013-O-04,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O04.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2013-O-04.pdf,yes,,,,none,ordinance,pdf,73c67f915dad3932057c22b449bfce4684e8ff91e64c3830f1c2e356bdf127a4,
2013-O-05,,2013-01-01,2013-O-05,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O05.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2013-O-05.pdf,yes,,,,none,ordinance,year-only,0eca5504bac8fdef4517cd6f8e1bef7b15004b987830b11ebcb359cdccf521bf,
2013-O-06,,2013-01-01,2013-O-06,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O06.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2013-O-06.pdf,no,,,,none,ordinance,year-only,28329fc0916ec00a7402def8f1f958f9b72b1daf8a4a9624fac735190aab43de,
2013-O-07,,2013-01-01,2013-O-07,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O07.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2013-O-07.pdf,yes,,,,none,ordinance,year-only,03de4398e7f4aed077cd632b3076ccdda861639c54ab9265c3af999361d33171,
2013-O-08,2013-08-20,2013-08-20,2013-O-08,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O08.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2013-O-08.pdf,no,,,,none,ordinance,pdf,d35bd3b7d8cea838c4dacf227828aa24973e777306b08ba189f6dad197e1177a,
2013-O-09,,2013-01-01,2013-O-09,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O09.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2013-O-09.pdf,no,,,,none,ordinance,year-only,537f310c6b92d39a86f93792bf6a9af2ff89f9bb495dff1a4992d20e45f717c8,
2013-O-10,,2013-01-01,2013-O-10,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O10.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2013-O-10.pdf,yes,,,,none,ordinance,year-only,f1ab01a1fa75669c66615ff1858c33d978746e1d3fbe9f7219be06bd31524578,
2013-O-11,2013-10-01,2013-10-01,2013-O-11,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O11.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2013-O-11.pdf,no,,,,none,ordinance,pdf,9a7a4e2b98e2b6583698e83cf37ff30f14048173673f9ade478073a7429f1ead,
2013-O-12,2013-10-22,2013-10-22,2013-O-12,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O12.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2013-O-12.pdf,no,,,,none,ordinance,pdf,3a6e43edda59c5999c4f3407094b1fe39c305ca912d1aaf8724967952271539c,
2013-O-13,,2013-01-01,2013-O-13,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O13.pdf?t=202309190901290,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2013-O-13.pdf,yes,,,,none,ordinance,year-only,b2e873c6d3fa8039a64420133198af00c553a874f2fc983321d24783bad466a0,
2014-O-01,,2014-01-01,2014-O-01,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O01.pdf?t=202309190901280,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2014-O-01.pdf,yes,,,,none,ordinance,year-only,ae8399c8aeff368680075be4eb5dc00b9b3d5b11540ed71d4935328f90af2cdf,
2014-O-02,2014-03-04,2014-03-04,2014-O-02,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O02.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2014-O-02.pdf,no,,,,none,ordinance,pdf,9d68ef379c15db231040b8a3f145b1683b4a740249d230733d4c566586c73412,
2014-O-03,,2014-01-01,2014-O-03,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O03.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2014-O-03.pdf,yes,,,,none,ordinance,year-only,5155be7d186b59114399e85d14e9be619fb0612aa4156c86828338d102f50c88,
2014-O-04,,2014-01-01,2014-O-04,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O04.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2014-O-04.pdf,yes,,,,none,ordinance,year-only,ac1a5e6edf3336f9e94f9c2e53b1eb3ca231f328318f2f3e7669ec2556763c80,
2014-O-05,,2014-01-01,2014-O-05,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O05.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2014-O-05.pdf,yes,,,,none,ordinance,year-only,28e87b23a250cd2c5ef2c226dec00e73cead1d83960083ceca737519a8dde9e5,
2014-O-06,,2014-01-01,2014-O-06,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O06.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2014-O-06.pdf,yes,,,,none,ordinance,year-only,e4e4241c1beea37f75a88312a5392426aef9fa0b0a96719ef9ff9ae557cc90fc,
2014-O-07,,2014-01-01,2014-O-07,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O07.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2014-O-07.pdf,no,,,,none,ordinance,year-only,5b93cd9d55eec1e25dcb4c8c944ece10d13adee4e1b25e49f766885ecf01eb26,
2014-O-08,2014-08-05,2014-08-05,2014-O-08,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O08.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2014-O-08.pdf,no,,,,none,ordinance,pdf,be56eccd4e8d527028948a06f0073fecb1064d3d1a3d245f289aea4724e2c1f1,
2014-O-09,,2014-01-01,2014-O-09,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O09.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2014-O-09.pdf,yes,,,,none,ordinance,year-only,14118493ea73b8773b906e1d916af5a4d9871cccca6282dbc58747fd2322817d,
2014-O-10,2014-11-18,2014-11-18,2014-O-10,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O10.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2014-O-10.pdf,no,,,,none,ordinance,pdf,be60e367f3d6ed0502228c1b2a6542477b4cd5715168aa5351c2da6359b67554,
2015-O-01,,2015-01-01,2015-O-01,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O01.pdf?t=202309190901270,2026-07-13,text,pdftotext -layout,raw/2015-O-01.pdf,yes,,,,none,ordinance,year-only,fed9b64cc8ffa9513df6da7d21afae96654f86157c38c65d4ccd508cbc049da9,
2015-O-02,2015-02-03,2015-02-03,2015-O-02,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O02.pdf?t=202309190901270,2026-07-13,text,pdftotext -layout,raw/2015-O-02.pdf,no,,,,none,ordinance,pdf,48c74d26f9a3365fbce53842191c666aaf3bbd7f1696112da1d50060af623c39,
2015-O-03,,2015-01-01,2015-O-03,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O03.pdf?t=202309190901270,2026-07-13,text,pdftotext -layout,raw/2015-O-03.pdf,yes,,,,none,ordinance,year-only,2d1f0c7d5e3ce0fd0ad0532bfaea194f521ccf331d95557258ae41dce5cd0201,
2015-O-04,,2015-01-01,2015-O-04,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O04.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2015-O-04.pdf,yes,,,,none,ordinance,year-only,47e342578768b8023dfe6e041ebfacd544920851bf8461f0b92c6ba52e0afeb2,
2015-O-05,,2015-01-01,2015-O-05,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O05.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2015-O-05.pdf,yes,,,,none,ordinance,year-only,5c4dab49d12dde26c9ddf531ed6510fadc369e855e4aa851e24e01d31487509f,
2015-O-06,,2015-01-01,2015-O-06,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O06.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2015-O-06.pdf,yes,,,,none,ordinance,year-only,029fe8b111c632857e3c240803d9a6ddfbee9c1cfab20ae273f5b17cfaddb4ec,
2015-O-07,,2015-01-01,2015-O-07,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O07.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2015-O-07.pdf,no,,,,none,ordinance,year-only,91b6507310901822ad952e570efee3db8e563e622313288dd0011b6ddbf83fa4,
2015-O-08,,2015-01-01,2015-O-08,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O08.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2015-O-08.pdf,yes,,,,none,ordinance,year-only,5974176a23d3b1c5bebc3942fced1e38238755ac2c7b0415a1cdbd99dd314706,
2015-O-09,,2015-01-01,2015-O-09,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O09.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2015-O-09.pdf,yes,,,,none,ordinance,year-only,739aca7e3b323ef944edd3a8d49f7db66fb98c90aa122e28d9b2b041b5836e47,
2015-O-10,2015-10-20,2015-10-20,2015-O-10,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O10.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2015-O-10.pdf,no,,,,none,ordinance,pdf,78fa056764930a39db66656503994a0e68436788fb53ca5c857f45217be6b253,
2015-O-11,2015-10-20,2015-10-20,2015-O-11,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O11.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2015-O-11.pdf,no,,,,none,ordinance,pdf,fd6d0dc3b1880ea77f2c3b73afc7851060826641d483b6f4edd65843c6c32765,
2015-O-12,,2015-01-01,2015-O-12,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O12.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2015-O-12.pdf,yes,,,,none,ordinance,year-only,4487c81e98774803874b5ce1087a761db7a64d17c6684329f6bad428cc86ca92,
2015-O-13,,2015-01-01,2015-O-13,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O13.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2015-O-13.pdf,yes,,,,none,ordinance,year-only,5fe5a81b727c19290c7fc5666ddd0f594f0a5d7557afa6909bb7927ac65a6313,
2015-O-14,2015-11-17,2015-11-17,2015-O-14,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O14.pdf?t=202309190901280,2026-07-13,text,pdftotext -layout,raw/2015-O-14.pdf,no,,,,none,ordinance,pdf,c26e0cd5c041f1a241e1e393f7674ce7ba5f5a88105749c7004f089d3372f3d9,
2016-O-01,,2016-01-01,2016-O-01,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O01.pdf?t=202309190901270,2026-07-13,text,pdftotext -layout,raw/2016-O-01.pdf,yes,,,,none,ordinance,year-only,be433597582130346a7ce8263d19078ee0e637fe6fec586061f00c8e8bde6e11,
2016-O-02,2016-03-01,2016-03-01,2016-O-02,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O02.pdf?t=202309190901270,2026-07-13,text,pdftotext -layout,raw/2016-O-02.pdf,no,,,,none,ordinance,pdf,903075d299efc7d1af5a5f0139786fd2abaa8b130a211fe4cb052ea208505df7,
2016-O-03,,2016-01-01,2016-O-03,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O03.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2016-O-03.pdf,yes,,,,none,ordinance,year-only,1af3fe2553ba1acfef9cd9067068fbb85d21d263ce26ab6ce54cb5efb73bf1e9,
2016-O-04,,2016-01-01,2016-O-04,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O04.pdf?t=202309190901270,2026-07-13,text,pdftotext -layout,raw/2016-O-04.pdf,yes,,,,none,ordinance,year-only,b73a14e863107a8871476fc5210a6d2b852899433d072ba1b4810a2ffd124378,
2016-O-05,,2016-01-01,2016-O-05,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O05.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2016-O-05.pdf,yes,,,,none,ordinance,year-only,cd5dd3a2c9ef5893f77204da1c2ea0264ec22c66b804d6c2eab01dcca21b2a32,
2016-O-06,,2016-01-01,2016-O-06,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O06.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2016-O-06.pdf,yes,,,,none,ordinance,year-only,ef32ae33d3a2e4416fd01b217c98e0f273712e0a8cea95d116770ff22600591c,
2016-O-07,,2016-01-01,2016-O-07,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O07.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2016-O-07.pdf,yes,,,,none,ordinance,year-only,663f993671473900c760209c21829a46161aa91cfca1725539ee4f6691ef6d2c,
2016-O-08,,2016-01-01,2016-O-08,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O08.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (6pg),raw/2016-O-08.pdf,yes,,,,none,ordinance,year-only,0665867fb0597a159122ce246f937f86a8c4cfe86528d1aea96ba98c6808967a,
2016-O-09,,2016-01-01,2016-O-09,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O09.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2016-O-09.pdf,yes,,,,none,ordinance,year-only,3e96fb13e5bc43e3bed01cc66067c5e815ea38971104d20ae24484f35b5c4a03,
2016-O-10,,2016-01-01,2016-O-10,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O10.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (5pg),raw/2016-O-10.pdf,yes,,,,none,ordinance,year-only,e16943cb15bce56380453884244dc338585b55226527b82fd4858fb1b8c84a7a,
2016-O-11,,2016-01-01,2016-O-11,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O11.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (8pg),raw/2016-O-11.pdf,yes,,,,none,ordinance,year-only,9e1f142fa8cb8057ec56e6a73e70dba3db827d13eae93d135902f7e9417c6b1d,
2016-O-12,,2016-01-01,2016-O-12,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O12.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (8pg),raw/2016-O-12.pdf,yes,,,,none,ordinance,year-only,169ea3c230b72c25c248155ac582cb6c79fe355f01da06dd7bff9fc7d315f27b,
2016-O-13,,2016-01-01,2016-O-13,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O13.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (2pg),raw/2016-O-13.pdf,yes,,,,none,ordinance,year-only,0decf73e23dd6afde5c8ade56f65a0db70d2acf98629ec957c2d8469f26c21e8,
2016-O-14,,2016-01-01,2016-O-14,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O14.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2016-O-14.pdf,yes,,,,none,ordinance,year-only,1ff9cb441065466a3ae39c82e4b1fe2c2afb38f690a861a1325cbdbda2242252,
2016-O-15,,2016-01-01,2016-O-15,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O15.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2016-O-15.pdf,yes,,,,none,ordinance,year-only,cacbd885d60fc5c0a0c95c0583e791c84b9cb83108ae882bcdea3517bb782961,
2016-O-16,,2016-01-01,2016-O-16,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O16.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (4pg),raw/2016-O-16.pdf,no,,,,none,ordinance,year-only,ae0f3bc8ddd1aec9983820aa784963adfc9a81e69f54994ce8a04a0231bc16c3,
