ord_no,year,kind,fetch,name,label,fname,url
2013-O-09,2013,ordinance,yes,2013-O-09.pdf,2013-O-09,2013O09.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O09.pdf?t=202309190901290
2013-O-10,2013,ordinance,yes,2013-O-10.pdf,2013-O-10,2013O10.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O10.pdf?t=202309190901290
2013-O-11,2013,ordinance,yes,2013-O-11.pdf,2013-O-11,2013O11.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O11.pdf?t=202309190901290
2013-O-12,2013,ordinance,yes,2013-O-12.pdf,2013-O-12,2013O12.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O12.pdf?t=202309190901290
2013-O-13,2013,ordinance,yes,2013-O-13.pdf,2013-O-13,2013O13.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O13.pdf?t=202309190901290
2014-O-01,2014,ordinance,yes,2014-O-01.pdf,2014-O-01,2014O01.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O01.pdf?t=202309190901280
2014-O-02,2014,ordinance,yes,2014-O-02.pdf,2014-O-02,2014O02.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O02.pdf?t=202309190901280
2014-O-03,2014,ordinance,yes,2014-O-03.pdf,2014-O-03,2014O03.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O03.pdf?t=202309190901280
2014-O-04,2014,ordinance,yes,2014-O-04.pdf,2014-O-04,2014O04.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O04.pdf?t=202309190901280
2014-O-05,2014,ordinance,yes,2014-O-05.pdf,2014-O-05,2014O05.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O05.pdf?t=202309190901280
2014-O-06,2014,ordinance,yes,2014-O-06.pdf,2014-O-06,2014O06.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O06.pdf?t=202309190901280
2014-O-07,2014,ordinance,yes,2014-O-07.pdf,2014-O-07,2014O07.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O07.pdf?t=202309190901280
2014-O-08,2014,ordinance,yes,2014-O-08.pdf,2014-O-08,2014O08.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O08.pdf?t=202309190901280
2014-O-09,2014,ordinance,yes,2014-O-09.pdf,2014-O-09,2014O09.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O09.pdf?t=202309190901280
2014-O-10,2014,ordinance,yes,2014-O-10.pdf,2014-O-10,2014O10.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2014/2014O10.pdf?t=202309190901280
2015-O-01,2015,ordinance,yes,2015-O-01.pdf,2015-O-01,2015O01.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O01.pdf?t=202309190901270
2015-O-02,2015,ordinance,yes,2015-O-02.pdf,2015-O-02,2015O02.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O02.pdf?t=202309190901270
2015-O-03,2015,ordinance,yes,2015-O-03.pdf,2015-O-03,2015O03.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O03.pdf?t=202309190901270
2015-O-04,2015,ordinance,yes,2015-O-04.pdf,2015-O-04,2015O04.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O04.pdf?t=202309190901280
2015-O-05,2015,ordinance,yes,2015-O-05.pdf,2015-O-05,2015O05.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O05.pdf?t=202309190901280
2015-O-06,2015,ordinance,yes,2015-O-06.pdf,2015-O-06,2015O06.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O06.pdf?t=202309190901280
2015-O-07,2015,ordinance,yes,2015-O-07.pdf,2015-O-07,2015O07.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O07.pdf?t=202309190901280
2015-O-08,2015,ordinance,yes,2015-O-08.pdf,2015-O-08,2015O08.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O08.pdf?t=202309190901280
2015-O-09,2015,ordinance,yes,2015-O-09.pdf,2015-O-09,2015O09.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O09.pdf?t=202309190901280
2015-O-10,2015,ordinance,yes,2015-O-10.pdf,2015-O-10,2015O10.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O10.pdf?t=202309190901280
2015-O-11,2015,ordinance,yes,2015-O-11.pdf,2015-O-11,2015O11.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O11.pdf?t=202309190901280
2015-O-12,2015,ordinance,yes,2015-O-12.pdf,2015-O-12,2015O12.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O12.pdf?t=202309190901280
2015-O-13,2015,ordinance,yes,2015-O-13.pdf,2015-O-13,2015O13.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O13.pdf?t=202309190901280
2015-O-14,2015,ordinance,yes,2015-O-14.pdf,2015-O-14,2015O14.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2015/2015O14.pdf?t=202309190901280
2016-O-01,2016,ordinance,yes,2016-O-01.pdf,2016-O-01,2016O01.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O01.pdf?t=202309190901270
2016-O-02,2016,ordinance,yes,2016-O-02.pdf,2016-O-02,2016O02.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O02.pdf?t=202309190901270
2016-O-03,2016,ordinance,yes,2016-O-03.pdf,2016-O-03,2016O03.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O03.pdf?t=202309190901270
2016-O-04,2016,ordinance,yes,2016-O-04.pdf,2016-O-04,2016O04.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O04.pdf?t=202309190901270
2016-O-05,2016,ordinance,yes,2016-O-05.pdf,2016-O-05,2016O05.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O05.pdf?t=202309190901270
2016-O-06,2016,ordinance,yes,2016-O-06.pdf,2016-O-06,2016O06.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O06.pdf?t=202309190901270
2016-O-07,2016,ordinance,yes,2016-O-07.pdf,2016-O-07,2016O07.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O07.pdf?t=202309190901270
2016-O-08,2016,ordinance,yes,2016-O-08.pdf,2016-O-08,2016O08.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O08.pdf?t=202309190901270
2016-O-09,2016,ordinance,yes,2016-O-09.pdf,2016-O-09,2016O09.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O09.pdf?t=202309190901270
2016-O-10,2016,ordinance,yes,2016-O-10.pdf,2016-O-10,2016O10.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O10.pdf?t=202309190901270
2016-O-11,2016,ordinance,yes,2016-O-11.pdf,2016-O-11,2016O11.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O11.pdf?t=202309190901270
2016-O-12,2016,ordinance,yes,2016-O-12.pdf,2016-O-12,2016O12.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O12.pdf?t=202309190901270
2016-O-13,2016,ordinance,yes,2016-O-13.pdf,2016-O-13,2016O13.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O13.pdf?t=202309190901270
2016-O-14,2016,ordinance,yes,2016-O-14.pdf,2016-O-14,2016O14.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O14.pdf?t=202309190901270
2016-O-15,2016,ordinance,yes,2016-O-15.pdf,2016-O-15,2016O15.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O15.pdf?t=202309190901270
2016-O-16,2016,ordinance,yes,2016-O-16.pdf,2016-O-16,2016O16.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2016/2016O16.pdf?t=202309190901270
2017-O-01,2017,ordinance,yes,2017-O-01.pdf,2017-O-01,2017O01.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O01.pdf?t=202309190901260
2017-O-02,2017,ordinance,yes,2017-O-02.pdf,2017-O-02,2017O02.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O02.pdf?t=202309190901260
2017-O-03,2017,ordinance,yes,2017-O-03.pdf,2017-O-03,2017O03.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O03.pdf?t=202309190901260
2017-O-04,2017,ordinance,yes,2017-O-04.pdf,2017-O-04,2017O04.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O04.pdf?t=202309190901260
2017-O-05,2017,ordinance,yes,2017-O-05.pdf,2017-O-05,2017O05.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O05.pdf?t=202309190901260
2017-O-06,2017,ordinance,yes,2017-O-06.pdf,2017-O-06 - No Action Taken,2017O06  No Action Taken.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O06%20%20No%20Action%20Taken.pdf?t=202309190901260
2017-O-07,2017,ordinance,yes,2017-O-07.pdf,2017-O-07,2017O07.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O07.pdf?t=202309190901260
2017-O-08,2017,ordinance,yes,2017-O-08.pdf,2017-O-08,2017O08.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O08.pdf?t=202309190901260
2017-O-09,2017,ordinance,yes,2017-O-09.pdf,2017-O-09,2017O09.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O09.pdf?t=202309190901260
2017-O-10,2017,ordinance,yes,2017-O-10.pdf,2017-O-10,2017O10.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O10.pdf?t=202309190901260
2017-O-11,2017,ordinance,yes,2017-O-11.pdf,2017-O-11,2017O11.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O11.pdf?t=202309190901260
2017-O-12,2017,ordinance,yes,2017-O-12.pdf,2017-O-12,2017O12.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O12.pdf?t=202309190901260
2017-O-13,2017,ordinance,yes,2017-O-13.pdf,2017-O-13,2017O13.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O13.pdf?t=202309190901270
2017-O-14,2017,ordinance,yes,2017-O-14.pdf,2017-O-14,2017O14.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O14.pdf?t=202309190901270
2017-O-15,2017,ordinance,yes,2017-O-15.pdf,2017-O-15,2017O15.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O15.pdf?t=202309190901270
2017-O-16,2017,ordinance,yes,2017-O-16.pdf,2017-O-16,2017O16.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O16.pdf?t=202309190901270
2017-O-17,2017,ordinance,yes,2017-O-17.pdf,2017-O-17,2017O17.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O17.pdf?t=202309190901270
2017-O-19,2017,ordinance,yes,2017-O-19.pdf,2017-O-19,2017O19.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O19.pdf?t=202309190901270
2017-O-20,2017,ordinance,yes,2017-O-20.pdf,2017-O-20,2017O20.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O20.pdf?t=202309190901270
2018-O-01,2018,ordinance,yes,2018-O-01.pdf,2018-O-01,2018O01.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O01.pdf?t=202309190901250
2018-O-02,2018,ordinance,yes,2018-O-02.pdf,2018-O-02,2018O02.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O02.pdf?t=202309190901250
2018-O-03,2018,ordinance,yes,2018-O-03.pdf,2018-O-03,2018O03.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O03.pdf?t=202309190901250
2018-O-04,2018,ordinance,yes,2018-O-04.pdf,2018-O-04,2018O04.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O04.pdf?t=202309190901250
2018-O-05,2018,ordinance,yes,2018-O-05.pdf,2018-O-05,2018O05.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O05.pdf?t=202309190901250
2018-O-06,2018,ordinance,yes,2018-O-06.pdf,2018-O-06,2018O06.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O06.pdf?t=202309190901250
2018-O-07,2018,ordinance,yes,2018-O-07.pdf,2018-O-07,2018O07.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O07.pdf?t=202309190901260
2018-O-08,2018,ordinance,yes,2018-O-08.pdf,2018-O-08,2018O08.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O08.pdf?t=202309190901260
2018-O-09,2018,ordinance,yes,2018-O-09.pdf,2018-O-09,2018O09.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O09.pdf?t=202309190901260
2018-O-10,2018,ordinance,yes,2018-O-10.pdf,2018-O-10,2018O10.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O10.pdf?t=202309190901260
2018-O-11,2018,ordinance,yes,2018-O-11.pdf,2018-O-11,2018O11.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O11.pdf?t=202309190901260
2018-O-12,2018,ordinance,yes,2018-O-12.pdf,2018-O-12,2018O12.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O12.pdf?t=202309190901260
2018-O-13,2018,ordinance,yes,2018-O-13.pdf,2018-O-13,2018O13.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O13.pdf?t=202309190901260
2018-O-14,2018,ordinance,yes,2018-O-14.pdf,2018-O-14,2018O14.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O14.pdf?t=202309190901260
2018-O-15,2018,ordinance,yes,2018-O-15.pdf,2018-O-15,2018O15.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O15.pdf?t=202309190901260
2018-O-17,2018,ordinance,yes,2018-O-17.pdf,2018-O-17,2018O17.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O17.pdf?t=202309190901260
2019-O-01,2019,ordinance,yes,2019-O-01.pdf,2019-O-01,2019O01.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O01.pdf?t=202309190901250
2019-O-02,2019,ordinance,yes,2019-O-02.pdf,2019-O-02,2019O02.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O02.pdf?t=202309190901250
2019-O-03,2019,ordinance,yes,2019-O-03.pdf,2019-O-03,2019O03.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O03.pdf?t=202309190901250
2019-O-04,2019,ordinance,yes,2019-O-04.pdf,2019-O-04,2019O04.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O04.pdf?t=202309190901250
2019-O-05,2019,ordinance,yes,2019-O-05.pdf,2019-O-05,2019O05.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O05.pdf?t=202309190901250
2019-O-06,2019,ordinance,yes,2019-O-06.pdf,2019-O-06,2019O06.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O06.pdf?t=202309190901250
2019-O-07,2019,ordinance,yes,2019-O-07.pdf,2019-O-07,2019O07.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O07.pdf?t=202309190901250
2019-O-08,2019,ordinance,yes,2019-O-08.pdf,2019-O-08,2019O08.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O08.pdf?t=202309190901250
2019-O-09,2019,ordinance,yes,2019-O-09.pdf,2019-O-09,2019O09.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O09.pdf?t=202309190901250
2019-O-10,2019,ordinance,yes,2019-O-10.pdf,2019-O-10,2019O10.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O10.pdf?t=202309190901250
2019-O-12,2019,ordinance,yes,2019-O-12.pdf,2019-O-12,2019O12.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O12.pdf?t=202309190901250
2019-O-13,2019,ordinance,yes,2019-O-13.pdf,2019-O-13,2019O13.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O13.pdf?t=202309190901250
