EventItemId,EventItemEventId,EventBodyId,EventItemAgendaSequence,EventItemMinutesSequence,EventItemAgendaNumber,EventItemTitle,EventItemMatterId,EventItemMatterFile,EventItemMatterType,EventItemMatterStatus,EventItemActionName,EventItemMover,EventItemSeconder,EventItemPassedFlag,EventItemPassedFlagName,EventItemRollCallFlag,EventItemConsent
26138,1402,138,2,,,"The Sandy City Council has adopted Rules of Procedure which are available at the rear of the Council Chambers and online at: https://sandy.utah.gov/government/city-council/procedure-guidelines. Public comment will be taken on all voting items. Each speaker is allowed three minutes per voting item. The Citizen Comment sections of the meeting are for issues not listed on the agenda. Each speaker is allowed three minutes to address the Council during Citizen Comments. If a citizen is unable to attend a meeting in person, he or she may provide written comments to the City Council Executive Director by 3:00 PM the day of the Council Meeting to have those comments distributed to the City Council and have them read into the record at the appropriate time.

In compliance with the Americans with Disabilities Act, reasonable accommodations for individuals with disabilities will be provided upon request. For assistance, please call (801) 568-7141.",,,,,,,,,,0,0
26139,1402,138,3,,4:30,Dinner,,,,,,,,,,0,0
26140,1402,138,4,1,5:15,Council Meeting: Work Session,,,,,,,,,,0,0
26144,1402,138,5,3,,Non-voting Items,,,,,,,,,,0,0
26155,1402,138,9,7,6:00,Citizen Comments,,,,,,,,,,0,0
26159,1402,138,6,,1.,Capital projects review and discussion.,3791,20-034,Informational Report,Agenda Ready,,,,,,0,0
26160,1402,138,7,5,2.,Public Utilities Overview.,3792,20-035,Informational Report,Agenda Ready,,,,,,0,0
26161,1402,138,8,6,3.,"February 4, 2020 agenda preview and discussion.",3793,20-036,Informational Report,Agenda Ready,,,,,,0,0
26162,1402,138,10,8,,Adjournment,,,,,,,,,,0,0
26225,1402,138,,2,,Rollcall,,,,,,,,,,1,0
26227,1402,138,,4,1.,Capital projects review and discussion.,3791,20-034,Informational Report,Agenda Ready,,,,,,0,0
26274,1403,138,1,,,Web address to view complete packet: http://sandyutah.legistar.com,,,,,,,,,,0,0
26275,1403,138,2,,,"The Sandy City Council has adopted Rules of Procedure which are available at the rear of the Council Chambers and online at: https://sandy.utah.gov/government/city-council/procedure-guidelines. Public comment will be taken on all voting items. Each speaker is allowed three minutes per voting item. The Citizen Comment sections of the meeting are for issues not listed on the agenda. Each speaker is allowed three minutes to address the Council during Citizen Comments. If a citizen is unable to attend a meeting in person, he or she may provide written comments to the City Council Executive Director by 3:00 PM the day of the Council Meeting to have those comments distributed to the City Council and have them read into the record at the appropriate time.

In compliance with the Americans with Disabilities Act, reasonable accommodations for individuals with disabilities will be provided upon request. For assistance, please call (801) 568-7141.",,,,,,,,,,0,0
26276,1403,138,3,,4:30,Dinner,,,,,,,,,,0,0
26277,1403,138,4,1,5:15,Council Meeting: Business Session,,,,,,,,,,0,0
26280,1403,138,5,3,,Prayer / Pledge of Allegiance,,,,,,,,,,0,0
26281,1403,138,6,4,,Non-voting Items,,,,,,,,,,0,0
26282,1403,138,7,5,,Agenda Planning Calendar Review & Council Office Director's Report,,,,,,,,,,0,0
26283,1403,138,8,6,,Council Member Business,,,,,,,,,,0,0
26284,1403,138,9,7,,Mayor's Report,,,,,,,,,,0,0
26285,1403,138,10,8,,CAO Report,,,,,,,,,,0,0
26286,1403,138,11,9,,Legislative Report,,,,,,,,,,0,0
26288,1403,138,23,24,,Citizen Comments,,,,,,,,,,0,0
26290,1403,138,12,10,,Voting Items,,,,,,,,,,0,0
26291,1403,138,13,11,,Consent Calendar,,,,,,,,,,0,0
26292,1403,138,14,13,1.,"Approval of the January 21, 2020 Minutes.",3803,20-046,Minutes,Consent Agenda,approved,Zach Robinson,Monica Zoltanski,1,Pass,0,1
26293,1403,138,15,14,2.,"Approval of the January 28, 2020 Worksession Minutes.",3805,20-048,Minutes,Consent Agenda,approved,Zach Robinson,Monica Zoltanski,1,Pass,0,1
26294,1403,138,16,15,,Council Items,,,,,,,,,,0,0
26295,1403,138,18,17,4.,Council discussion of changes to the bulk waste clean-up program.,3796,20-039,Resolution,Withdrawn,withdrawn,Brooke Christensen,Monica Zoltanski,,,0,0
26296,1403,138,19,20,5.,Council office recommending that the Council discuss training related to priority based budgeting,3797,20-040,Resolution,Agenda Ready,,,,,,0,0
26297,1403,138,20,21,6.,Council Member Stroud proposing amendments to the maximum number of household dogs allowed in Sandy City,3798,20-041,Resolution,Passed,approved,Kris Nicholl,Alison Stroud,1,Pass,0,0
26298,1403,138,21,22,7.,Reconsideration of prior Council vote with regard to work session meeting.,3809,20-052,Resolution,Passed,approved,Cyndi Sharkey,Kris Nicholl,1,Pass,0,0
26299,1403,138,22,23,6:00,Time Certain Items,,,,,,,,,,0,0
26303,1403,138,17,16,3.,"City Council consideration and vote whether or not to approve Public Works’ request for the use of eminent domain authority, pursuant to Utah Code Ann. § 78B-6-505, to condemn property located at 153 West 9000 South, Sandy, UT 84070 owned by Wagstaff Investments, LLC and operated as Holiday Oil.",3799,20-042,Ordinance,Agenda Ready,adopted,Zach Robinson,Brooke Christensen,1,Pass,0,0
26308,1403,138,24,25,,Adjournment,,,,,,,,,,0,0
26309,1403,138,,2,,Rollcall,,,,,,,,,,1,0
26311,1403,138,,12,,Approval of the Consent Calendar,,,,,approved the Consent Calendar,Zach Robinson,Monica Zoltanski,1,Pass,0,1
26435,1403,138,,18,,Motion on Bulk Waste clean-up program,,,,,denied,Zach Robinson,Brooke Christensen,0,Fail,0,0
26436,1403,138,,19,,Motion on bulk waste clean-up,,,,,denied,Marci Houseman,Cyndi Sharkey,0,Fail,0,0
26312,1404,138,1,,,Web address to view complete packet: http://sandyutah.legistar.com,,,,,,,,,,0,0
26313,1404,138,2,,,"The Sandy City Council has adopted Rules of Procedure which are available at the rear of the Council Chambers and online at: https://sandy.utah.gov/government/city-council/procedure-guidelines. Public comment will be taken on all voting items. Each speaker is allowed three minutes per voting item. The Citizen Comment sections of the meeting are for issues not listed on the agenda. Each speaker is allowed three minutes to address the Council during Citizen Comments. If a citizen is unable to attend a meeting in person, he or she may provide written comments to the City Council Executive Director by 3:00 PM the day of the Council Meeting to have those comments distributed to the City Council and have them read into the record at the appropriate time.

In compliance with the Americans with Disabilities Act, reasonable accommodations for individuals with disabilities will be provided upon request. For assistance, please call (801) 568-7141.",,,,,,,,,,0,0
26314,1404,138,3,,4:30,Dinner,,,,,,,,,,0,0
26315,1404,138,4,1,5:15,Council Meeting: Work Session,,,,,,,,,,0,0
26319,1404,138,5,3,,Non-voting Items,,,,,,,,,,0,0
26332,1404,138,10,8,4.,"Possible Closed Session to discuss pending or reasonably imminent litigation and/or investigative proceedings regarding allegations of criminal misconduct.
(This item is intended to begin at approximately 8:00 PM)",3813,20-056,Resolution,Passed,approved,Brooke Christensen,Alison Stroud,1,Pass,0,0
26333,1404,138,9,7,6:00,Citizen Comments,,,,,,,,,,0,0
26337,1404,138,6,4,1.,Community Events presenting information about the Sandy Amphitheater season ticket program.,3811,20-054,Resolution,Agenda Ready,,,,,,0,0
26338,1404,138,7,5,2.,Administrative Services Department providing an introduction to city budgeting.,3812,20-055,Resolution,Agenda Ready,,,,,,0,0
26340,1404,138,11,9,,Adjournment,,,,,,,,,,0,0
26341,1404,138,8,6,3.,"February 18, 2020 agenda preview.",3814,20-057,Resolution,Agenda Ready,,,,,,0,0
26533,1404,138,,2,,Roll Call,,,,,,,,,,1,0
26471,1405,138,1,,,Web address to view complete packet: http://sandyutah.legistar.com,,,,,,,,,,0,0
26472,1405,138,2,,,"The Sandy City Council has adopted Rules of Procedure which are available at the rear of the Council Chambers and online at: https://sandy.utah.gov/government/city-council/procedure-guidelines. Public comment will be taken on all voting items. Each speaker is allowed three minutes per voting item. The Citizen Comment sections of the meeting are for issues not listed on the agenda. Each speaker is allowed three minutes to address the Council during Citizen Comments. If a citizen is unable to attend a meeting in person, he or she may provide written comments to the City Council Executive Director by 3:00 PM the day of the Council Meeting to have those comments distributed to the City Council and have them read into the record at the appropriate time.

In compliance with the Americans with Disabilities Act, reasonable accommodations for individuals with disabilities will be provided upon request. For assistance, please call (801) 568-7141.",,,,,,,,,,0,0
26473,1405,138,3,,4:30,Dinner,,,,,,,,,,0,0
26474,1405,138,4,1,5:15,Council Meeting: Business Session,,,,,,,,,,1,0
26477,1405,138,5,3,,Prayer / Pledge of Allegiance,,,,,,,,,,0,0
26478,1405,138,6,4,,Non-voting Items,,,,,,,,,,0,0
26479,1405,138,7,5,,Agenda Planning Calendar Review & Council Office Director's Report,,,,,,,,,,0,0
26480,1405,138,8,6,,Council Member Business,,,,,,,,,,0,0
26481,1405,138,9,7,,Mayor's Report,,,,,,,,,,0,0
26482,1405,138,10,8,,CAO Report,,,,,,,,,,0,0
26483,1405,138,11,9,,Legislative Report,,,,,,,,,,0,0
26485,1405,138,17,15,,Citizen Comments,,,,,,,,,,0,0
26486,1405,138,12,10,,Information Items,,,,,,,,,,0,0
26487,1405,138,14,12,,Voting Items,,,,,,,,,,0,0
26490,1405,138,16,14,6:00,Time Certain Items,,,,,,,,,,0,0
26492,1405,138,18,16,3.,Special recognition in honor of the 100th anniversary of the League of Women Voters.,3816,20-059,Special Recognition,Agenda Ready,,,,,,0,0
26497,1405,138,13,,1.,Community  Development Department briefing on Kuwahara Wholesale. (This information item will be heard after 6:00 PM),3827,20-070,Informational Report,Agenda Ready,,,,,,0,0
26498,1405,138,19,17,,Adjournment,,,,,,,,,,0,0
26570,1405,138,,11,1.,Community  Development Department briefing on Kuwahara Wholesale. (This information item will be heard after 6:00 PM),3827,20-070,Informational Report,Agenda Ready,,,,,,0,0
26601,1405,138,,2,,Roll Call,,,,,,,,,,0,0
26537,1466,138,1,1,4:00,Council Meeting,,,,,,,,,,0,0
26563,1466,138,4,4,3.,Capital projects prioritization workshop. (This item may be heard in the Council Chamber Overflow Room),3828,20-071,Informational Report,Agenda Ready,,,,,,0,0
26564,1466,138,2,3,1.,Mayor Bradburn requesting the Council's advice and consent for the appointment of Greg Severson as the Sandy City Police Chief.,3830,20-073,Appointment,Agenda Ready,adopted,Brooke Christensen,Kris Nicholl,1,Pass,0,0
26565,1466,138,5,6,,Adjournment,,,,,,,,,,0,0
26566,1466,138,3,5,2.,"Possible Closed Session: character, professional competence, or physical or mental health of an individual.",3818,20-061,Resolution,Agenda Ready,,,,,,0,0
26571,1466,138,,2,,Rollcall,,,,,,,,,,1,0
26572,1406,138,1,,,Web address to view complete packet: http://sandyutah.legistar.com,,,,,,,,,,0,0
26573,1406,138,2,,,"The Sandy City Council has adopted Rules of Procedure which are available at the rear of the Council Chambers and online at: https://sandy.utah.gov/government/city-council/procedure-guidelines. Public comment will be taken on all voting items. Each speaker is allowed three minutes per voting item. The Citizen Comment sections of the meeting are for issues not listed on the agenda. Each speaker is allowed three minutes to address the Council during Citizen Comments. If a citizen is unable to attend a meeting in person, he or she may provide written comments to the City Council Executive Director by 3:00 PM the day of the Council Meeting to have those comments distributed to the City Council and have them read into the record at the appropriate time.

In compliance with the Americans with Disabilities Act, reasonable accommodations for individuals with disabilities will be provided upon request. For assistance, please call (801) 568-7141.",,,,,,,,,,0,0
26574,1406,138,4,,4:30,Dinner,,,,,,,,,,0,0
26575,1406,138,5,1,5:15,Council Meeting: Work Session,,,,,,,,,,0,0
26585,1406,138,11,8,,Citizen Comments,,,,,,,,,,0,0
26587,1406,138,6,3,,Non-voting Items,,,,,,,,,,0,0
26589,1406,138,7,4,1.,Administrative Services report on audit findings.,3831,20-074,Resolution,Agenda Ready,,,,,,0,0
26590,1406,138,8,,2.,Administrative Services presenting personnel and compensation information.,3832,20-075,Resolution,Agenda Ready,,,,,,0,0
26591,1406,138,9,6,3.,"Possible Closed Session: character, professional competence, or physical or mental health of an individual.",3833,20-076,Resolution,Agenda Ready,adopted,Kris Nicholl,Zach Robinson,1,Pass,0,0
26592,1406,138,10,7,6:00,Time Certain Items,,,,,,,,,,0,0
26599,1406,138,12,9,,Adjournment,,,,,,,,,,0,0
26600,1406,138,3,,4:00,Council Photo,,,,,,,,,,0,0
26603,1406,138,,5,2.,Administrative Services presenting personnel and compensation information.,3832,20-075,Resolution,Agenda Ready,,,,,,0,0
26706,1406,138,,2,,Roll Call,,,,,,,,,,1,0
26644,1407,138,1,,,Web address to view complete packet: http://sandyutah.legistar.com,,,,,,,,,,0,0
26645,1407,138,2,,,"The Sandy City Council has adopted Rules of Procedure which are available at the rear of the Council Chambers and online at: https://sandy.utah.gov/government/city-council/procedure-guidelines. Public comment will be taken on all voting items. Each speaker is allowed three minutes per voting item. The Citizen Comment sections of the meeting are for issues not listed on the agenda. Each speaker is allowed three minutes to address the Council during Citizen Comments. If a citizen is unable to attend a meeting in person, he or she may provide written comments to the City Council Executive Director by 3:00 PM the day of the Council Meeting to have those comments distributed to the City Council and have them read into the record at the appropriate time.

In compliance with the Americans with Disabilities Act, reasonable accommodations for individuals with disabilities will be provided upon request. For assistance, please call (801) 568-7141.",,,,,,,,,,0,0
26646,1407,138,3,,4:30,Dinner,,,,,,,,,,0,0
26647,1407,138,4,1,5:15,Council Meeting,,,,,,,,,,0,0
26649,1407,138,5,3,,Prayer / Pledge of Allegiance,,,,,,,,,,0,0
26650,1407,138,6,4,,Non-voting Items,,,,,,,,,,0,0
26652,1407,138,7,5,,Council Member Business,,,,,,,,,,0,0
26653,1407,138,8,6,,Mayor's Report,,,,,,,,,,0,0
26654,1407,138,9,7,,CAO Report,,,,,,,,,,0,0
26655,1407,138,10,8,,Legislative Report,,,,,,,,,,0,0
26657,1407,138,21,20,,Citizen Comments,,,,,,,,,,0,0
26658,1407,138,11,9,,Information Items,,,,,,,,,,0,0
26659,1407,138,15,13,,Voting Items,,,,,,,,,,0,0
26660,1407,138,16,14,,Consent Calendar,,,,,,,,,,0,0
26661,1407,138,17,16,4.,"Approval of the February 4, 2020 Meeting Minutes.",3846,20-089,Minutes,Consent Agenda,approved,Brooke Christensen,Zach Robinson,1,Pass,0,1
26662,1407,138,18,17,5.,"Approval of the February 11, 2020 Minutes.",3847,20-090,Minutes,Consent Agenda,approved,Brooke Christensen,Zach Robinson,1,Pass,0,1
26663,1407,138,19,18,,Council Items,,,,,,,,,,0,0
26667,1407,138,20,19,6:00 p.m.,Time Certain/ Voting Items,,,,,,,,,,0,0
26668,1407,138,22,21,6.,Chase Hansen presenting on Project Empathy.,3829,20-072,Informational Report,Agenda Ready,,,,,,0,0
26669,1407,138,13,11,2.,Short-Term Rental (STR) Update,3834,20-077,Informational Report,Agenda Ready,,,,,,0,0
26671,1407,138,14,12,3.,Informational Report from Parks and Recreation on City Events.,3841,20-084,Informational Report,Agenda Ready,,,,,,0,0
26672,1407,138,12,10,1.,Fluoride and Sampling Update,3844,20-087,Informational Report,Agenda Ready,,,,,,0,0
26673,1407,138,24,23,,Adjournment,,,,,,,,,,0,0
26674,1407,138,23,22,7.,Reconsideration  Live Streaming of Work Sessions.,3848,20-091,Resolution,Agenda Ready,denied,Monica Zoltanski,Zach Robinson,0,Fail,0,0
26675,1407,138,,2,,Rollcall,,,,,,,,,,1,0
26676,1407,138,,15,,Approval of the Consent Calendar,,,,,approved the Consent Calendar,Brooke Christensen,Zach Robinson,1,Pass,0,1
26707,1408,138,1,,,Web address to view complete packet: http://sandyutah.legistar.com,,,,,,,,,,0,0
26708,1408,138,2,,,"The Sandy City Council has adopted Rules of Procedure which are available at the rear of the Council Chambers and online at: https://sandy.utah.gov/government/city-council/procedure-guidelines. Public comment will be taken on all voting items. Each speaker is allowed three minutes per voting item. The Citizen Comment sections of the meeting are for issues not listed on the agenda. Each speaker is allowed three minutes to address the Council during Citizen Comments. If a citizen is unable to attend a meeting in person, he or she may provide written comments to the City Council Executive Director by 3:00 PM the day of the Council Meeting to have those comments distributed to the City Council and have them read into the record at the appropriate time.

In compliance with the Americans with Disabilities Act, reasonable accommodations for individuals with disabilities will be provided upon request. For assistance, please call (801) 568-7141.",,,,,,,,,,0,0
26709,1408,138,3,,4:30,Dinner,,,,,,,,,,0,0
26710,1408,138,4,1,5:15,Council Meeting: Work Session,,,,,,,,,,0,0
26713,1408,138,5,3,,Non-voting Items,,,,,,,,,,0,0
26720,1408,138,9,7,,Citizen Comments,,,,,,,,,,0,0
26721,1408,138,6,4,,Information Items,,,,,,,,,,0,0
26724,1408,138,8,6,6:00,Time Certain Items,,,,,,,,,,0,0
26728,1408,138,7,5,1.,Parks and Recreation Deaprtment presenting an in depth history of the Alta Canyon Sports Center for Council discussion,3850,20-093,Informational Report,Agenda Ready,,,,,,0,0
26729,1408,138,10,8,,Adjournment,,,,,,,,,,0,0
26730,1408,138,,2,,Roll Call,,,,,,,,,,1,0
26733,1409,138,1,1,,"The March 17, 2020 City Council Meeting has been Cancelled",,,,,,,,,,0,0
26772,1411,138,1,1,,"The March 31, 2020 City Council Meeting has been Cancelled",,,,,,,,,,0,0
26869,1412,138,1,,,Web address to view complete packet: http://sandyutah.legistar.com,,,,,,,,,,0,0
26870,1412,138,2,,,"The April 7, 2020 Sandy City Council Meeting will be conducted via Zoom Webinar. Public comment will occur no sooner than 6:00 PM. Each speaker is allowed three minutes. Citizens wishing to comment must access the meeting via the Zoom Webinar link below. The call-in number is for listening only. If a citizen is unable to attend a meeting via Zoom, he or she may e-mail the City Council Executive Director at mapplegarth@sandy.utah.gov by 3:00 PM the day of the Council Meeting to have those comments distributed to the City Council and have them read into the record at the appropriate time.

Please click the link below to join the webinar: 
https://zoom.us/j/422434754

Or Telephone:
    Dial(for higher quality, dial a number based on your current location):
        US: +1 346 248 7799  or +1 669 900 6833  or +1 312 626 6799  or +1 929 436 2866  or +1 253 215 8782  or +1 301 715 8592 
    Webinar ID: 422 434 754",,,,,,,,,,0,0
26872,1412,138,3,1,5:30,Council Meeting,,,,,,,,,,0,0
26875,1412,138,4,5,,Non-voting Items,,,,,,,,,,0,0
26884,1412,138,6,7,,Voting Items,,,,,,,,,,0,0
26885,1412,138,7,8,,Consent Calendar,,,,,,,,,,0,0
26886,1412,138,9,11,3.,"In the case of the ongoing wetland delineation study, Administration is requesting that the Council authorize the procurement of supplies, equipment and services without complying with the provisions of the purchasing ordinance determining that compliance, in this case, is not in the best interests of the City.",3851,20-094,Resolution,Consent Agenda,adopted,Kris Nicholl,Brooke Christensen,1,Pass,0,1
