date,reason,candidates
2017-09-06,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:09-06-17.pdf:empty/small; pmn:09-06-17.docx:empty/small
2017-09-20,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:09-20-17.pdf:empty/small
2017-10-04,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:10-04-17.pdf:empty/small
2017-10-18,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:10-18-17.pdf:empty/small; pmn:10-18-17.docx:empty/small
2017-11-01,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:11-01-17.pdf:empty/small; pmn:11-01-17.pdf:empty/small
2017-11-15,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:11-15-17.pdf:empty/small; pmn:11-15-17.pdf:empty/small
2017-12-06,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:12-6-17.pdf:empty/small; pmn:12-6-17.docx:empty/small
2017-12-20,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:12-20-17.pdf:empty/small; pmn:12-20-17.pdf:empty/small
2018-01-17,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:01-17-18.pdf:empty/small; pmn:01-17-18.pdf:empty/small
2018-02-21,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:02-21-18.pdf:empty/small; pmn:02-21-18.pdf:empty/small
2018-03-21,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:03-21-18.pdf:empty/small; pmn:03-21-18.pdf:empty/small; pmn:03-21-18.pdf:empty/small
2018-04-18,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:04-18-18.pdf:empty/small
2018-05-08,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:05-08-18.pdf:empty/small
2018-05-16,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:05-16-18.pdf:empty/small
2018-06-06,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:06-06-18.pdf:empty/small
2018-06-12,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:06-12-18.pdf:empty/small; pmn:06-12-18.pdf:empty/small
2018-06-20,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:06-20-18.pdf:empty/small
2018-10-17,"Regular 3rd-Wed council meeting held (PMN 5831 notice 492949; audio 10-17-18.mp3 file 437181 exists) but NO minutes document was ever posted; pre-GoDaddy era (town site coverage starts 2023). Re-verified 2026-07-17 (wave2 agenda-grade lead): minutes absent from PMN (sequence jumps 2018-09-19 -> 2018-11-21) and from the town site.","pmn:notice 492949; pmn:audio 437181.mp3; no minutes doc on any portal"
2018-12-19,"Regular 3rd-Wed council meeting held with a 2019-budget & Bingham-Cemetery-fee public hearing (PMN notice 503179 + audio notice 504911, audio 12-19-18_01.mp3 file 479555); attachments are budget/fee docs only, NO minutes document; pre-GoDaddy era. Re-verified 2026-07-17 (wave2): minutes absent from PMN and town site.","pmn:notice 503179; pmn:audio 479555.mp3; hearing docs only; no minutes doc"
2023-10-03,"Metro Township Council WORK SESSION held (PMN notice 861909, attachment 'Metro Township Council Worksession Agenda 10.3.2023.pdf' file 1027671); worksession agenda only, NO minutes document on PMN or the town site. Re-verified 2026-07-17 (wave2).","pmn:notice 861909; pmn:worksession agenda 1027671.pdf; no minutes doc"
2024-11-20,"Regular 3rd-Wed council meeting held (PMN notice 955113; audio '11-20-24 meeting audio.mp3' file 1199749; agenda 1198137 / packet 1198139; UFSA tax presentation 1199195); GoDaddy town site posts only the 11-20-24 agenda packet, NO minutes. No minutes document on either portal (PMN minutes sequence jumps 2024-10-16 -> 2024-12-18). Re-verified 2026-07-17 (wave2).","pmn:notice 955113; pmn:audio 1199749.mp3; godaddy:agenda packet; no minutes doc"
2024-12-06,"Standalone public hearing noticed (PMN notice 959277, attachment 'Public Hearing Notice.pdf' file 1205895); hearing notice only, no audio, NO standalone minutes on either portal (any action likely folded into the 2024-12-18 regular minutes, which ARE held). Re-verified 2026-07-17 (wave2).","pmn:notice 959277; pmn:hearing notice 1205895.pdf; no minutes doc"
2025-12-09,"Special council meeting held re Rio Tinto Donation Agreement (PMN notice 1043835; agenda file 1362341 + Rio-Tinto donation-agreement handout 1362215; same two docs mirrored on the GoDaddy town site); agenda/handout only, NO minutes document on either portal. Matches the CLAUDE.md 'Dec-2025' minor gap. Re-verified 2026-07-17 (wave2).","pmn:notice 1043835; pmn:agenda 1362341.pdf + handout 1362215.pdf; godaddy:same; no minutes doc"
