date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,candidate_match,date_precision,view_id,page_range,notes
2023-08-15,(unidentified filers),Council,2023,interim,pre-election interim (Jun–Oct 2023 filings),2023 interim campaign financial reports — 3 unidentified filers (compilation),https://www.nephi.utah.gov/DocumentCenter/View/2706,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2706_Campaign-Financial-Reports-2023.pdf,unreadable,inferred,2706,"9-10,15-16,19-20","~3 additional filer forms in the compilation with illegible handwritten candidate names; recorded as present, not attributed. See raw scan."
2023-11-14,J.D. PARADY,Council,2023,summary,post-general final (all forms dated 11/14/2023),2023 final/summary campaign financial report — J.D. PARADY (Council),https://www.nephi.utah.gov/DocumentCenter/View/2803,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2803_11-14-23-Election-Disclosures.pdf,matched,exact,2803,1-2,
2023-11-14,LARRY OSTLER,Council,2023,summary,post-general final (all forms dated 11/14/2023),2023 final/summary campaign financial report — LARRY OSTLER (Council),https://www.nephi.utah.gov/DocumentCenter/View/2803,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2803_11-14-23-Election-Disclosures.pdf,matched,exact,2803,3-4,
2023-11-14,JOHN BRADLEY,Council,2023,summary,post-general final (all forms dated 11/14/2023),2023 final/summary campaign financial report — JOHN BRADLEY (Council),https://www.nephi.utah.gov/DocumentCenter/View/2803,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2803_11-14-23-Election-Disclosures.pdf,matched,exact,2803,5-6,
2023-11-14,SHARI COWAN,Council,2023,summary,post-general final (all forms dated 11/14/2023),2023 final/summary campaign financial report — SHARI COWAN (Council),https://www.nephi.utah.gov/DocumentCenter/View/2803,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2803_11-14-23-Election-Disclosures.pdf,matched,exact,2803,7-8,
2023-11-14,BART STANLEY MILLER,Council,2023,summary,post-general final (all forms dated 11/14/2023),2023 final/summary campaign financial report — BART STANLEY MILLER (Council),https://www.nephi.utah.gov/DocumentCenter/View/2803,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2803_11-14-23-Election-Disclosures.pdf,matched,exact,2803,9-10,
2023-11-14,TRAVIS L WORWOOD,Council,2023,summary,post-general final (all forms dated 11/14/2023),2023 final/summary campaign financial report — TRAVIS L WORWOOD (Council),https://www.nephi.utah.gov/DocumentCenter/View/2803,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2803_11-14-23-Election-Disclosures.pdf,inferred,exact,2803,11,page 11 name illegible; TRAVIS L WORWOOD inferred by elimination (only 2023 general candidate not otherwise present) + leading 'W'.
2025-08-05,JERAMIE L. CALLAWAY,Council,2025,interim,pre-primary interim (~Aug 5 2025),2025 interim campaign financial report — JERAMIE L. CALLAWAY (Council),https://www.nephi.utah.gov/DocumentCenter/View/3746,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_3746_Jeramie-Callaway-Financial-Disclosure-2025.pdf,matched,batch_inferred,3746,,
2025-08-05,SCOTT L. JACKSON,Council,2025,interim,pre-primary interim (~Aug 5 2025),2025 interim campaign financial report — SCOTT L. JACKSON (Council),https://www.nephi.utah.gov/DocumentCenter/View/3748,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_3748_Scott-Jackson-Financial-Disclosure-2025.pdf,matched,batch_inferred,3748,,"only filing on record; lost 2025 primary, did not advance"
2025-08-05,TATE T. DOUGLAS,Council,2025,interim,pre-primary interim (~Aug 5 2025),2025 interim campaign financial report — TATE T. DOUGLAS (Council),https://www.nephi.utah.gov/DocumentCenter/View/3749,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_3749_Tate-Douglas-Financial-Disclosure-2025.pdf,matched,batch_inferred,3749,,
2025-08-05,BART STANLEY MILLER,Council,2025,interim,pre-primary interim,2025 interim campaign financial report — BART STANLEY MILLER (Council),https://www.nephi.utah.gov/DocumentCenter/View/3750,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_3750_Bart-Miller-Financial-Disclosure-2025.pdf,matched,exact,3750,,CreationDate 2025-08-05 (Canon scan)
2025-08-05,SKIP F. WORWOOD,Council,2025,interim,pre-primary interim (~Aug 5 2025),2025 interim campaign financial report — SKIP F. WORWOOD (Council),https://www.nephi.utah.gov/DocumentCenter/View/3751,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_3751_Skip-Worwood-1.pdf,matched,batch_inferred,3751,,
2025-10-07,JUSTIN D. SEELY,Mayor,2025,interim,pre-general interim (early Oct 2025),2025 interim campaign financial report — JUSTIN D. SEELY (Mayor),https://www.nephi.utah.gov/DocumentCenter/View/3804,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_3804_Seely-FD.pdf,matched,batch_inferred,3804,,
2025-10-07,SKIP F. WORWOOD,Council,2025,interim,pre-general interim (early Oct 2025),2025 interim campaign financial report — SKIP F. WORWOOD (Council),https://www.nephi.utah.gov/DocumentCenter/View/3805,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_3805_Worwood-FD.pdf,matched,batch_inferred,3805,,
2025-10-07,TATE T. DOUGLAS,Council,2025,interim,pre-general interim (early Oct 2025),2025 interim campaign financial report — TATE T. DOUGLAS (Council),https://www.nephi.utah.gov/DocumentCenter/View/3808,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_3808_Tate-Douglas.pdf,matched,batch_inferred,3808,,
2025-10-06,JERAMIE L. CALLAWAY,Council,2025,interim,pre-general interim (early Oct 2025),2025 interim campaign financial report — JERAMIE L. CALLAWAY (Council),https://www.nephi.utah.gov/DocumentCenter/View/3809,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_3809_Jeramie-Callaway-Financial-Disclosure-Form-100625-1.pdf,matched,exact,3809,,filename slug '100625' = 2025-10-06
2025-10-07,BART STANLEY MILLER,Council,2025,interim,pre-general interim (early Oct 2025),2025 interim campaign financial report — BART STANLEY MILLER (Council),https://www.nephi.utah.gov/DocumentCenter/View/3810,2026-07-05,scanned,ocr:tesseract --psm 6 @150dpi,raw/cf_3810_Bart-Miller-FINANCIAL-REPORT.pdf,matched,exact,3810,,CreationDate 2025-10-07 (Canon scan)
2025-10-28,JERAMIE L. CALLAWAY,Council,2025,interim,pre-general interim (~Oct 28 2025),2025 interim campaign financial report — JERAMIE L. CALLAWAY (Council),https://www.nephi.utah.gov/DocumentCenter/View/3832,2026-07-05,scanned,ocr:tesseract --psm 6 @150dpi,raw/cf_3832_Jeramie-Callaway-Financial-Disclosure.pdf,matched,batch_inferred,3832,,
2025-10-28,TATE T. DOUGLAS,Council,2025,interim,pre-general interim (~Oct 28 2025),2025 interim campaign financial report — TATE T. DOUGLAS (Council),https://www.nephi.utah.gov/DocumentCenter/View/3833,2026-07-05,scanned,ocr:tesseract --psm 6 @150dpi,raw/cf_3833_Tate-Douglas-Financial-Disclosure.pdf,matched,batch_inferred,3833,,
2025-10-28,BART STANLEY MILLER,Council,2025,interim,pre-general interim (~Oct 28 2025),2025 interim campaign financial report — BART STANLEY MILLER (Council),https://www.nephi.utah.gov/DocumentCenter/View/3834,2026-07-05,scanned,ocr:tesseract --psm 6 @150dpi,raw/cf_3834_Bart-Miller-Financial-Disclosure.pdf,matched,exact,3834,,CreationDate 2025-10-28 (Canon scan)
2025-10-28,JUSTIN D. SEELY,Mayor,2025,interim,pre-general interim (~Oct 28 2025),2025 interim campaign financial report — JUSTIN D. SEELY (Mayor),https://www.nephi.utah.gov/DocumentCenter/View/3835,2026-07-05,scanned,ocr:tesseract --psm 6 @150dpi,raw/cf_3835_Justin-Seely-Financial-Disclosure.pdf,matched,batch_inferred,3835,,
2025-10-28,SKIP F. WORWOOD,Council,2025,interim,pre-general interim (~Oct 28 2025),2025 interim campaign financial report — SKIP F. WORWOOD (Council),https://www.nephi.utah.gov/DocumentCenter/View/3836,2026-07-05,scanned,ocr:tesseract --psm 6 @150dpi,raw/cf_3836_Skip-F-Worwood-Financial-Disclosure.pdf,matched,batch_inferred,3836,,
2025-12-08,TATE T. DOUGLAS,Council,2025,summary,final/year-end summary (~Dec 8 2025),2025 final/summary campaign financial report — TATE T. DOUGLAS (Council),https://www.nephi.utah.gov/DocumentCenter/View/3871,2026-07-05,scanned,ocr:tesseract --psm 6 @150dpi,raw/cf_3871_Tate-Douglas-Financial-Disclosure-2025.pdf,matched,batch_inferred,3871,,
2025-12-08,SKIP F. WORWOOD,Council,2025,summary,final/year-end summary (~Dec 8 2025),2025 final/summary campaign financial report — SKIP F. WORWOOD (Council),https://www.nephi.utah.gov/DocumentCenter/View/3872,2026-07-05,scanned,ocr:tesseract --psm 6 @150dpi,raw/cf_3872_Skip-Worwood-Financial-Disclosure-2025.pdf,matched,batch_inferred,3872,,
2025-12-08,JERAMIE L. CALLAWAY,Council,2025,summary,final/year-end summary (~Dec 8 2025),2025 final/summary campaign financial report — JERAMIE L. CALLAWAY (Council),https://www.nephi.utah.gov/DocumentCenter/View/3873,2026-07-05,scanned,ocr:tesseract --psm 6 @150dpi,raw/cf_3873_Jeremie-Callaway-Financial-Disclosure-2025.pdf,matched,batch_inferred,3873,,
2025-12-08,JUSTIN D. SEELY,Mayor,2025,summary,final/year-end summary (~Dec 8 2025),2025 final/summary campaign financial report — JUSTIN D. SEELY (Mayor),https://www.nephi.utah.gov/DocumentCenter/View/3874,2026-07-05,scanned,ocr:tesseract --psm 6 @150dpi,raw/cf_3874_Justin-Seely-Financial-Disclosures-2025.pdf,matched,batch_inferred,3874,,
2025-12-08,BART STANLEY MILLER,Council,2025,summary,final/year-end summary,2025 final/summary campaign financial report — BART STANLEY MILLER (Council),https://www.nephi.utah.gov/DocumentCenter/View/3879,2026-07-05,scanned,ocr:tesseract --psm 6 @150dpi,raw/cf_3879_Bart-Stanley-Miller-Disclosure.pdf,matched,exact,3879,,CreationDate 2025-12-08 (Canon scan)
