date,body,meeting_type,packet_kind,title,filename,url
2022-01-03,Council,Special,full_packet,Council Meeting Special White City Metro Township Meeting,1-03-2022_wcmtc_packet.pdf,https://whitecity.utah.gov/files/c40d52c45/1-03-2022_wcmtc_packet.pdf
2022-01-06,Council,Regular,full_packet,Council Meeting White City Metro Township Council Meeting,1-06-2022_wcmtc_packet.pdf,https://whitecity.utah.gov/files/062328a7f/1-06-2022_wcmtc_packet.pdf
2022-02-03,Council,Regular,full_packet,Council Meeting White City Metro Township Council Meeting,wcmt_02-03-2022_council_packet.pdf,https://whitecity.utah.gov/files/de445d9af/wcmt_02-03-2022_council_packet.pdf
2022-04-07,Council,Regular,full_packet,Council Meeting White City Metro Township Council Meeting,wcmt_packet_4-7-2022.pdf,https://whitecity.utah.gov/files/460777686/wcmt_packet_4-7-2022.pdf
2022-05-05,Council,Regular,full_packet,Council Meeting White City Metro Township Council Meeting,05-05-22_wcmt_packet.pdf,https://whitecity.utah.gov/files/3f8421459/05-05-22_wcmt_packet.pdf
2022-06-02,Council,Regular,full_packet,Council Meeting White City Metro Township Council Meeting,wcmt_meeting_packet_6-2-2022.pdf,https://whitecity.utah.gov/files/5ae537562/wcmt_meeting_packet_6-2-2022.pdf
2022-06-23,Council,Special,full_packet,Council Meeting White City Metro Township Special Budget Workshop,wcmt_packet_for_june_23_2022.pdf,https://whitecity.utah.gov/files/d18a93964/wcmt_packet_for_june_23_2022.pdf
2022-08-04,Council,Regular,full_packet,Council Meeting White City Metro Township Council Meeting,8-4-2022_white_city_council_packet.pdf,https://whitecity.utah.gov/files/ff7c0cd93/8-4-2022_white_city_council_packet.pdf
2022-09-01,Council,Regular,full_packet,Council Meeting White City Metro Township Council Meeting,cc_packet_9-1-2022_wcmt.pdf,https://whitecity.utah.gov/files/ac2e030cf/cc_packet_9-1-2022_wcmt.pdf
2022-10-06,Council,Regular,full_packet,Council Meeting White City Metro Township Council Meeting,wcmt_council_packet_oct_6_2022.pdf,https://whitecity.utah.gov/files/6f24e193d/wcmt_council_packet_oct_6_2022.pdf
2022-11-10,Council,Regular,full_packet,Council Meeting White City Metro Township Council Meeting,wcmt_council_packet_11-10-2022.pdf,https://whitecity.utah.gov/files/8dee4065a/wcmt_council_packet_11-10-2022.pdf
2022-12-01,Council,Regular,full_packet,Council Meeting White City Metro Township Council Meeting,wcmt_council_packet_12-1-2022.pdf,https://whitecity.utah.gov/files/8ac846e31/wcmt_council_packet_12-1-2022.pdf
2022-12-15,Council,Special,full_packet,Council Meeting Special Workshop Meeting at 6:00 p.m.,12-15-2022_wcmt_special_meeting_packet.pdf,https://whitecity.utah.gov/files/70be1ac8b/12-15-2022_wcmt_special_meeting_packet.pdf
2023-01-05,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,1-05-2023_wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/6bbb32584/1-05-2023_wcmt_meeting_packet.pdf
2023-02-02,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,2-02-2023_wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/0f476e61c/2-02-2023_wcmt_meeting_packet.pdf
2023-03-16,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,3-16-2023_wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/2133d2d9d/3-16-2023_wcmt_meeting_packet.pdf
2023-04-06,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,4-6-2023_wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/4e5735754/4-6-2023_wcmt_meeting_packet.pdf
2023-04-11,Council,Special,full_packet,Council Meeting Special White City Metro Township Meeting - at 5:00 p.m.,4-11-2023_wcmt_special_meeting_packet.pdf,https://whitecity.utah.gov/files/19d3503b1/4-11-2023_wcmt_special_meeting_packet.pdf
2023-04-27,PlanningCommission,Regular,full_packet,Council Meeting Planning Commission Meeting,230427_whitecitypc_packet_1.pdf,https://whitecity.utah.gov/files/5c8d53993/230427_whitecitypc_packet_1.pdf
2023-05-04,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,5-4-2023_wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/1e9e286a5/5-4-2023_wcmt_meeting_packet.pdf
2023-05-25,Council,Special,full_packet,Council Meeting Special White City Metro Township Meeting,5-25-2023_wcmt_special_meeting_packet.pdf,https://whitecity.utah.gov/files/009b55896/5-25-2023_wcmt_special_meeting_packet.pdf
2023-06-01,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,6-1-2023_wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/9c1f9d1c0/6-1-2023_wcmt_meeting_packet.pdf
2023-06-08,Council,Special,full_packet,Council Meeting CANCELED = Special White City Metro Township Meeting,6-8-2023_special_wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/7494de594/6-8-2023_special_wcmt_meeting_packet.pdf
2023-07-06,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,july_6_2023_white_city_metro_township_meeting_packet.pdf,https://whitecity.utah.gov/files/edb6542fc/july_6_2023_white_city_metro_township_meeting_packet.pdf
2023-08-03,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,8-3-2023_wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/e909e37c9/8-3-2023_wcmt_meeting_packet.pdf
2023-09-07,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,9-7-2023_wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/a6d719202/9-7-2023_wcmt_meeting_packet.pdf
2023-10-05,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,10-5-2023_wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/10eab5891/10-5-2023_wcmt_meeting_packet.pdf
2023-11-02,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,11-2-2023_wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/d66659583/11-2-2023_wcmt_meeting_packet.pdf
2023-12-06,Council,Special,full_packet,Council Meeting White City Metro Township Special Meeting,12.6.2023 Packet.pdf,https://whitecity.utah.gov/files/42bd7df16/12.6.2023+Packet.pdf
2023-12-07,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,12-7-2023_wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/93acb16d6/12-7-2023_wcmt_meeting_packet.pdf
2024-01-04,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,1-4-2024_wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/6f6e16ea9/1-4-2024_wcmt_meeting_packet.pdf
2024-02-01,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,2-1-2024_wcmt_meeting_packet_1.pdf,https://whitecity.utah.gov/files/3b6970a1f/2-1-2024_wcmt_meeting_packet_1.pdf
2024-03-07,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,3-7-2024_wcmt_packet.pdf,https://whitecity.utah.gov/files/3f94f983b/3-7-2024_wcmt_packet.pdf
2024-04-04,Council,Regular,full_packet,Council Meeting White City Metro Township Meeting,4-4-2024_wcmt_packet.pdf,https://whitecity.utah.gov/files/55a11034e/4-4-2024_wcmt_packet.pdf
2024-05-02,Council,Regular,full_packet,Council Meeting White City Council Meeting,5-2-2024_wcmt_packet.pdf,https://whitecity.utah.gov/files/60f319d94/5-2-2024_wcmt_packet.pdf
2024-05-16,Council,Special,full_packet,Council Meeting Special White City Council Meeting,5-16-2024_wcmt_packet.pdf,https://whitecity.utah.gov/files/197f3bf08/5-16-2024_wcmt_packet.pdf
2024-06-06,Council,Regular,full_packet,Council Meeting White City Council Meeting,6-6-2024_wcmt_packet.pdf,https://whitecity.utah.gov/files/c538cabcd/6-6-2024_wcmt_packet.pdf
2024-06-17,Council,Special,full_packet,Council Meeting Special White City Council Meeting,6-17-2024_wc_special_meeting_packet.pdf,https://whitecity.utah.gov/files/b06d97c37/6-17-2024_wc_special_meeting_packet.pdf
2024-07-11,Council,Regular,full_packet,Council Meeting White City Council Meeting,7-11-2024_wc_packet.pdf,https://whitecity.utah.gov/files/342669555/7-11-2024_wc_packet.pdf
2024-08-01,Council,Regular,full_packet,Council Meeting White City Council Meeting,8-1-2024_wc_packet.pdf,https://whitecity.utah.gov/files/6014e6e5a/8-1-2024_wc_packet.pdf
2024-09-05,Council,Regular,full_packet,Council Meeting Meeting,9-5-2024_wc_packet.pdf,https://whitecity.utah.gov/files/4a74ef857/9-5-2024_wc_packet.pdf
2024-10-03,Council,Regular,full_packet,Council Meeting Meeting,10-3-2024_wc_packet.pdf,https://whitecity.utah.gov/files/38d0cf3f1/10-3-2024_wc_packet.pdf
2024-11-14,Council,Regular,full_packet,Council Meeting Meeting,11-14-24_wc_packet.pdf,https://whitecity.utah.gov/files/dc38383ab/11-14-24_wc_packet.pdf
2024-12-05,Council,Regular,full_packet,Council Meeting White City Council Meeting,12-5-24_wc_packet.pdf,https://whitecity.utah.gov/files/3c2cecef0/12-5-24_wc_packet.pdf
2025-01-02,Council,Regular,full_packet,Council Meeting Meeting,1-2-25_wc_packet.pdf,https://whitecity.utah.gov/files/623938dd7/1-2-25_wc_packet.pdf
2025-02-06,Council,Regular,full_packet,Council Meeting Meeting,2-6-25_wc_packet.pdf,https://whitecity.utah.gov/files/2f60e5b51/2-6-25_wc_packet.pdf
2025-03-06,Council,Regular,full_packet,Council Meeting Meeting,3-6-25_wc_packet.pdf,https://whitecity.utah.gov/files/e102a0b95/3-6-25_wc_packet.pdf
2025-04-03,Council,Regular,full_packet,Council Meeting Meeting,4-3-25_wc_packet.pdf.pdf,https://whitecity.utah.gov/files/2261f855d/4-3-25_wc_packet.pdf.pdf
2025-04-22,PlanningCommission,Regular,full_packet,Council Meeting  Planning Commission Meeting,042225_WhiteCityPC_PacketReduced.pdf,https://whitecity.utah.gov/files/914ebd37f/042225_WhiteCityPC_PacketReduced.pdf
2025-05-01,Council,Regular,full_packet,Council Meeting Meeting,5-1-25 WC Packet.pdf,https://whitecity.utah.gov/files/0228b7978/5-1-25+WC+Packet.pdf
2025-06-05,Council,Regular,full_packet,Council Meeting Meeting,6-5-25 WC Packet.pdf,https://whitecity.utah.gov/files/115b455f3/6-5-25+WC+Packet.pdf
2025-06-12,Council,Special,full_packet,Council Meeting White City Special Meeting,6-12-25 WC Packet.pdf,https://whitecity.utah.gov/files/9487a2df0/6-12-25+WC+Packet.pdf
2025-06-24,PlanningCommission,Regular,full_packet,Council Meeting Planning Commission Meeting,250624_WhiteCityPC_Packet %281%29.pdf,https://whitecity.utah.gov/files/22f287615/250624_WhiteCityPC_Packet+%281%29.pdf
2025-07-10,Council,Regular,full_packet,Council Meeting Meeting,7-10-25 WC Packet.pdf,https://whitecity.utah.gov/files/b84430d07/7-10-25+WC+Packet.pdf
2025-08-07,Council,Regular,full_packet,Council Meeting Meeting,8-7-25 WC Packet.pdf,https://whitecity.utah.gov/files/78e3dee02/8-7-25+WC+Packet.pdf
2025-09-04,Council,Regular,full_packet,Council Meeting Meeting,WC Packet 9-4-2025.pdf,https://whitecity.utah.gov/files/26e826e9c/WC+Packet+9-4-2025.pdf
2025-10-02,Council,Regular,full_packet,Council Meeting Meeting,10-02-25 WC Packet.pdf,https://whitecity.utah.gov/files/ba7dd0ae4/10-02-25+WC+Packet.pdf
2025-11-13,Council,Regular,full_packet,Council Meeting Meeting,11-13-25 WC Packet.pdf,https://whitecity.utah.gov/files/e08b3b47c/11-13-25+WC+Packet.pdf
2025-11-18,Council,Regular,full_packet,Council Meeting Meeting,11-18-25 WC Packet.pdf,https://whitecity.utah.gov/files/59a9e10ce/11-18-25+WC+Packet.pdf
2025-12-04,Council,Regular,full_packet,Council Meeting Meeting,12-04-25 WC Packet.pdf,https://whitecity.utah.gov/files/bb098e438/12-04-25+WC+Packet.pdf
2026-01-08,Council,Regular,full_packet,Council Meeting Council Meeting,01-08-26 WC Packet.pdf,https://whitecity.utah.gov/files/cd60b8e84/01-08-26+WC+Packet.pdf
2026-02-05,Council,Regular,full_packet,Council Meeting Council Meeting,2-05-26 WC Packet.pdf,https://whitecity.utah.gov/files/92e0d18d5/2-05-26+WC+Packet.pdf
2026-03-05,Council,Regular,full_packet,Council Meeting Council Meeting,3-05-26 WC Packet.pdf,https://whitecity.utah.gov/files/e1b6eccef/3-05-26+WC+Packet.pdf
2026-04-02,Council,Regular,full_packet,Council Meeting Council Meeting,4-02-26 WC Packet.pdf,https://whitecity.utah.gov/files/94cc9840c/4-02-26+WC+Packet.pdf
2026-05-07,Council,Regular,full_packet,Council Meeting Council Meeting,5-07-26 WC Packet.pdf,https://whitecity.utah.gov/files/f162d48b0/5-07-26+WC+Packet.pdf
2026-06-04,Council,Regular,full_packet,Council Meeting Council Meeting,6-4-2026 Packet.pdf,https://whitecity.utah.gov/files/48eda45e2/6-4-2026+Packet.pdf
2026-07-02,Council,Regular,full_packet,Council Meeting Council Meeting,7-2-2026 Packet.pdf,https://whitecity.utah.gov/files/2fc9f01c9/7-2-2026+Packet.pdf
