date,body,content_length,filename
2022-09-01,Council,5681339,cc_packet_9-1-2022_wcmt.pdf
2022-10-06,Council,1297207,wcmt_council_packet_oct_6_2022.pdf
2022-11-10,Council,61007313,wcmt_council_packet_11-10-2022.pdf
2022-12-01,Council,533428,wcmt_council_packet_12-1-2022.pdf
2022-12-15,Council,5795890,12-15-2022_wcmt_special_meeting_packet.pdf
2023-01-05,Council,909074,1-05-2023_wcmt_meeting_packet.pdf
2023-02-02,Council,12787748,2-02-2023_wcmt_meeting_packet.pdf
2023-03-16,Council,5002671,3-16-2023_wcmt_meeting_packet.pdf
2023-04-06,Council,2050964,4-6-2023_wcmt_meeting_packet.pdf
2023-04-11,Council,470193,4-11-2023_wcmt_special_meeting_packet.pdf
2023-04-27,PlanningCommission,4122374,230427_whitecitypc_packet_1.pdf
2023-05-04,Council,983489,5-4-2023_wcmt_meeting_packet.pdf
2023-05-25,Council,4967806,5-25-2023_wcmt_special_meeting_packet.pdf
2023-06-01,Council,6830846,6-1-2023_wcmt_meeting_packet.pdf
2023-06-08,Council,2103422,6-8-2023_special_wcmt_meeting_packet.pdf
2023-07-06,Council,748036,july_6_2023_white_city_metro_township_meeting_packet.pdf
2023-08-03,Council,1565415,8-3-2023_wcmt_meeting_packet.pdf
2023-09-07,Council,3481298,9-7-2023_wcmt_meeting_packet.pdf
2023-10-05,Council,475705,10-5-2023_wcmt_meeting_packet.pdf
2023-11-02,Council,1198354,11-2-2023_wcmt_meeting_packet.pdf
2023-12-06,Council,662350,12.6.2023 Packet.pdf
2023-12-07,Council,1431074,12-7-2023_wcmt_meeting_packet.pdf
2024-01-04,Council,751035,1-4-2024_wcmt_meeting_packet.pdf
2024-02-01,Council,4386995,2-1-2024_wcmt_meeting_packet_1.pdf
2024-03-07,Council,17241965,3-7-2024_wcmt_packet.pdf
2024-04-04,Council,1161987,4-4-2024_wcmt_packet.pdf
2024-05-02,Council,15177307,5-2-2024_wcmt_packet.pdf
2024-05-16,Council,729120,5-16-2024_wcmt_packet.pdf
2024-06-06,Council,1434791,6-6-2024_wcmt_packet.pdf
2024-06-17,Council,13635930,6-17-2024_wc_special_meeting_packet.pdf
2024-07-11,Council,1148010,7-11-2024_wc_packet.pdf
2024-08-01,Council,392529,8-1-2024_wc_packet.pdf
2024-09-05,Council,2150635,9-5-2024_wc_packet.pdf
2024-10-03,Council,3398091,10-3-2024_wc_packet.pdf
2024-11-14,Council,855094,11-14-24_wc_packet.pdf
2024-12-05,Council,12640488,12-5-24_wc_packet.pdf
2025-01-02,Council,3677145,1-2-25_wc_packet.pdf
2025-02-06,Council,2052561,2-6-25_wc_packet.pdf
2025-03-06,Council,6175985,3-6-25_wc_packet.pdf
2025-04-03,Council,7733627,4-3-25_wc_packet.pdf.pdf
2025-04-22,PlanningCommission,2420742,042225_WhiteCityPC_PacketReduced.pdf
2025-05-01,Council,3696759,5-1-25 WC Packet.pdf
2025-06-05,Council,1555118,6-5-25 WC Packet.pdf
2025-06-12,Council,438353,6-12-25 WC Packet.pdf
2025-06-24,PlanningCommission,768091,250624_WhiteCityPC_Packet %281%29.pdf
2025-07-10,Council,2370799,7-10-25 WC Packet.pdf
2025-08-07,Council,720661,8-7-25 WC Packet.pdf
2025-09-04,Council,2320739,WC Packet 9-4-2025.pdf
2025-10-02,Council,5602933,10-02-25 WC Packet.pdf
2025-11-13,Council,2525972,11-13-25 WC Packet.pdf
2025-11-18,Council,309616,11-18-25 WC Packet.pdf
2025-12-04,Council,1097740,12-04-25 WC Packet.pdf
2026-01-08,Council,6521734,01-08-26 WC Packet.pdf
2026-02-05,Council,5440170,2-05-26 WC Packet.pdf
2026-03-05,Council,2914723,3-05-26 WC Packet.pdf
2026-04-02,Council,4808486,4-02-26 WC Packet.pdf
2026-05-07,Council,1366388,5-07-26 WC Packet.pdf
2026-06-04,Council,1803307,6-4-2026 Packet.pdf
2026-07-02,Council,1820077,7-2-2026 Packet.pdf
