year,election_type,office,contest,precinct_code,precinct_name,candidate,votes
2019,municipal general,Council,St George City Council,25,SC74,ED BACA,0
2019,municipal general,Council,St George City Council,25,SC74,GREG ALDRED,0
2019,municipal general,Council,St George City Council,25,SC74,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,25,SC74,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,26,SG01,BETTE O ARIAL,70
2019,municipal general,Council,St George City Council,26,SG01,DANNIELLE LARKIN,90
2019,municipal general,Council,St George City Council,26,SG01,ED BACA,102
2019,municipal general,Council,St George City Council,26,SG01,GREG ALDRED,99
2019,municipal general,Council,St George City Council,26,SG01,GREGG MCARTHUR,94
2019,municipal general,Council,St George City Council,26,SG01,JIMMIE B HUGHES,102
2019,municipal general,Council,St George City Council,27,SG02,BETTE O ARIAL,71
2019,municipal general,Council,St George City Council,27,SG02,DANNIELLE LARKIN,104
2019,municipal general,Council,St George City Council,27,SG02,ED BACA,74
2019,municipal general,Council,St George City Council,27,SG02,GREG ALDRED,82
2019,municipal general,Council,St George City Council,27,SG02,GREGG MCARTHUR,100
2019,municipal general,Council,St George City Council,27,SG02,JIMMIE B HUGHES,107
2019,municipal general,Council,St George City Council,28,SG03,BETTE O ARIAL,64
2019,municipal general,Council,St George City Council,28,SG03,DANNIELLE LARKIN,74
2019,municipal general,Council,St George City Council,28,SG03,ED BACA,73
2019,municipal general,Council,St George City Council,28,SG03,GREG ALDRED,71
2019,municipal general,Council,St George City Council,28,SG03,GREGG MCARTHUR,115
2019,municipal general,Council,St George City Council,28,SG03,JIMMIE B HUGHES,124
2019,municipal general,Council,St George City Council,29,SG04,BETTE O ARIAL,58
2019,municipal general,Council,St George City Council,29,SG04,DANNIELLE LARKIN,84
2019,municipal general,Council,St George City Council,29,SG04,ED BACA,52
2019,municipal general,Council,St George City Council,29,SG04,GREG ALDRED,51
2019,municipal general,Council,St George City Council,29,SG04,GREGG MCARTHUR,69
2019,municipal general,Council,St George City Council,29,SG04,JIMMIE B HUGHES,76
2019,municipal general,Council,St George City Council,3,HU52,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,3,HU52,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,3,HU52,ED BACA,0
2019,municipal general,Council,St George City Council,3,HU52,GREG ALDRED,0
2019,municipal general,Council,St George City Council,3,HU52,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,3,HU52,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,30,SG05,BETTE O ARIAL,59
2019,municipal general,Council,St George City Council,30,SG05,DANNIELLE LARKIN,99
2019,municipal general,Council,St George City Council,30,SG05,ED BACA,73
2019,municipal general,Council,St George City Council,30,SG05,GREG ALDRED,74
2019,municipal general,Council,St George City Council,30,SG05,GREGG MCARTHUR,121
2019,municipal general,Council,St George City Council,30,SG05,JIMMIE B HUGHES,102
2019,municipal general,Council,St George City Council,31,SG06,BETTE O ARIAL,65
2019,municipal general,Council,St George City Council,31,SG06,DANNIELLE LARKIN,84
2019,municipal general,Council,St George City Council,31,SG06,ED BACA,67
2019,municipal general,Council,St George City Council,31,SG06,GREG ALDRED,65
2019,municipal general,Council,St George City Council,31,SG06,GREGG MCARTHUR,96
2019,municipal general,Council,St George City Council,31,SG06,JIMMIE B HUGHES,115
2019,municipal general,Council,St George City Council,32,SG07,BETTE O ARIAL,81
2019,municipal general,Council,St George City Council,32,SG07,DANNIELLE LARKIN,108
2019,municipal general,Council,St George City Council,32,SG07,ED BACA,100
2019,municipal general,Council,St George City Council,32,SG07,GREG ALDRED,88
2019,municipal general,Council,St George City Council,32,SG07,GREGG MCARTHUR,133
2019,municipal general,Council,St George City Council,32,SG07,JIMMIE B HUGHES,120
2019,municipal general,Council,St George City Council,33,SG08,BETTE O ARIAL,93
2019,municipal general,Council,St George City Council,33,SG08,DANNIELLE LARKIN,100
2019,municipal general,Council,St George City Council,33,SG08,ED BACA,94
2019,municipal general,Council,St George City Council,33,SG08,GREG ALDRED,73
2019,municipal general,Council,St George City Council,33,SG08,GREGG MCARTHUR,135
2019,municipal general,Council,St George City Council,33,SG08,JIMMIE B HUGHES,151
2019,municipal general,Council,St George City Council,34,SG09,BETTE O ARIAL,130
2019,municipal general,Council,St George City Council,34,SG09,DANNIELLE LARKIN,158
2019,municipal general,Council,St George City Council,34,SG09,ED BACA,181
2019,municipal general,Council,St George City Council,34,SG09,GREG ALDRED,150
2019,municipal general,Council,St George City Council,34,SG09,GREGG MCARTHUR,149
2019,municipal general,Council,St George City Council,34,SG09,JIMMIE B HUGHES,154
2019,municipal general,Council,St George City Council,35,SG10,BETTE O ARIAL,84
2019,municipal general,Council,St George City Council,35,SG10,DANNIELLE LARKIN,63
2019,municipal general,Council,St George City Council,35,SG10,ED BACA,92
2019,municipal general,Council,St George City Council,35,SG10,GREG ALDRED,55
2019,municipal general,Council,St George City Council,35,SG10,GREGG MCARTHUR,96
2019,municipal general,Council,St George City Council,35,SG10,JIMMIE B HUGHES,108
2019,municipal general,Council,St George City Council,36,SG11,BETTE O ARIAL,128
2019,municipal general,Council,St George City Council,36,SG11,DANNIELLE LARKIN,129
2019,municipal general,Council,St George City Council,36,SG11,ED BACA,94
2019,municipal general,Council,St George City Council,36,SG11,GREG ALDRED,123
2019,municipal general,Council,St George City Council,36,SG11,GREGG MCARTHUR,116
2019,municipal general,Council,St George City Council,36,SG11,JIMMIE B HUGHES,137
2019,municipal general,Council,St George City Council,37,SG12,BETTE O ARIAL,96
2019,municipal general,Council,St George City Council,37,SG12,DANNIELLE LARKIN,97
2019,municipal general,Council,St George City Council,37,SG12,ED BACA,91
2019,municipal general,Council,St George City Council,37,SG12,GREG ALDRED,83
2019,municipal general,Council,St George City Council,37,SG12,GREGG MCARTHUR,100
2019,municipal general,Council,St George City Council,37,SG12,JIMMIE B HUGHES,112
2019,municipal general,Council,St George City Council,38,SG13,BETTE O ARIAL,59
2019,municipal general,Council,St George City Council,38,SG13,DANNIELLE LARKIN,94
2019,municipal general,Council,St George City Council,38,SG13,ED BACA,86
2019,municipal general,Council,St George City Council,38,SG13,GREG ALDRED,94
2019,municipal general,Council,St George City Council,38,SG13,GREGG MCARTHUR,91
2019,municipal general,Council,St George City Council,38,SG13,JIMMIE B HUGHES,88
2019,municipal general,Council,St George City Council,39,SG14,BETTE O ARIAL,78
2019,municipal general,Council,St George City Council,39,SG14,DANNIELLE LARKIN,117
2019,municipal general,Council,St George City Council,39,SG14,ED BACA,74
2019,municipal general,Council,St George City Council,39,SG14,GREG ALDRED,75
2019,municipal general,Council,St George City Council,39,SG14,GREGG MCARTHUR,105
2019,municipal general,Council,St George City Council,39,SG14,JIMMIE B HUGHES,102
2019,municipal general,Council,St George City Council,4,HU53,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,4,HU53,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,4,HU53,ED BACA,0
2019,municipal general,Council,St George City Council,4,HU53,GREG ALDRED,0
2019,municipal general,Council,St George City Council,4,HU53,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,4,HU53,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,40,SG15,BETTE O ARIAL,100
2019,municipal general,Council,St George City Council,40,SG15,DANNIELLE LARKIN,113
2019,municipal general,Council,St George City Council,40,SG15,ED BACA,114
2019,municipal general,Council,St George City Council,40,SG15,GREG ALDRED,118
2019,municipal general,Council,St George City Council,40,SG15,GREGG MCARTHUR,153
2019,municipal general,Council,St George City Council,40,SG15,JIMMIE B HUGHES,129
2019,municipal general,Council,St George City Council,41,SG16,BETTE O ARIAL,74
2019,municipal general,Council,St George City Council,41,SG16,DANNIELLE LARKIN,116
2019,municipal general,Council,St George City Council,41,SG16,ED BACA,129
2019,municipal general,Council,St George City Council,41,SG16,GREG ALDRED,137
2019,municipal general,Council,St George City Council,41,SG16,GREGG MCARTHUR,133
2019,municipal general,Council,St George City Council,41,SG16,JIMMIE B HUGHES,127
2019,municipal general,Council,St George City Council,42,SG17,BETTE O ARIAL,184
2019,municipal general,Council,St George City Council,42,SG17,DANNIELLE LARKIN,236
2019,municipal general,Council,St George City Council,42,SG17,ED BACA,216
2019,municipal general,Council,St George City Council,42,SG17,GREG ALDRED,198
2019,municipal general,Council,St George City Council,42,SG17,GREGG MCARTHUR,249
2019,municipal general,Council,St George City Council,42,SG17,JIMMIE B HUGHES,256
2019,municipal general,Council,St George City Council,43,SG18,BETTE O ARIAL,123
2019,municipal general,Council,St George City Council,43,SG18,DANNIELLE LARKIN,110
2019,municipal general,Council,St George City Council,43,SG18,ED BACA,105
2019,municipal general,Council,St George City Council,43,SG18,GREG ALDRED,107
2019,municipal general,Council,St George City Council,43,SG18,GREGG MCARTHUR,162
2019,municipal general,Council,St George City Council,43,SG18,JIMMIE B HUGHES,159
2019,municipal general,Council,St George City Council,44,SG19,BETTE O ARIAL,99
2019,municipal general,Council,St George City Council,44,SG19,DANNIELLE LARKIN,148
2019,municipal general,Council,St George City Council,44,SG19,ED BACA,116
2019,municipal general,Council,St George City Council,44,SG19,GREG ALDRED,104
2019,municipal general,Council,St George City Council,44,SG19,GREGG MCARTHUR,169
2019,municipal general,Council,St George City Council,44,SG19,JIMMIE B HUGHES,130
2019,municipal general,Council,St George City Council,45,SG20,BETTE O ARIAL,126
2019,municipal general,Council,St George City Council,45,SG20,DANNIELLE LARKIN,158
2019,municipal general,Council,St George City Council,45,SG20,ED BACA,144
2019,municipal general,Council,St George City Council,45,SG20,GREG ALDRED,134
2019,municipal general,Council,St George City Council,45,SG20,GREGG MCARTHUR,164
2019,municipal general,Council,St George City Council,45,SG20,JIMMIE B HUGHES,173
2019,municipal general,Council,St George City Council,46,SG21,BETTE O ARIAL,124
2019,municipal general,Council,St George City Council,46,SG21,DANNIELLE LARKIN,179
2019,municipal general,Council,St George City Council,46,SG21,ED BACA,153
2019,municipal general,Council,St George City Council,46,SG21,GREG ALDRED,141
2019,municipal general,Council,St George City Council,46,SG21,GREGG MCARTHUR,176
2019,municipal general,Council,St George City Council,46,SG21,JIMMIE B HUGHES,156
2019,municipal general,Council,St George City Council,47,SG22,BETTE O ARIAL,100
2019,municipal general,Council,St George City Council,47,SG22,DANNIELLE LARKIN,99
2019,municipal general,Council,St George City Council,47,SG22,ED BACA,137
2019,municipal general,Council,St George City Council,47,SG22,GREG ALDRED,119
2019,municipal general,Council,St George City Council,47,SG22,GREGG MCARTHUR,139
2019,municipal general,Council,St George City Council,47,SG22,JIMMIE B HUGHES,126
2019,municipal general,Council,St George City Council,48,SG23,BETTE O ARIAL,147
2019,municipal general,Council,St George City Council,48,SG23,DANNIELLE LARKIN,131
2019,municipal general,Council,St George City Council,48,SG23,ED BACA,174
2019,municipal general,Council,St George City Council,48,SG23,GREG ALDRED,135
2019,municipal general,Council,St George City Council,48,SG23,GREGG MCARTHUR,149
2019,municipal general,Council,St George City Council,48,SG23,JIMMIE B HUGHES,153
2019,municipal general,Council,St George City Council,49,SG24,BETTE O ARIAL,62
2019,municipal general,Council,St George City Council,49,SG24,DANNIELLE LARKIN,88
2019,municipal general,Council,St George City Council,49,SG24,ED BACA,65
2019,municipal general,Council,St George City Council,49,SG24,GREG ALDRED,66
2019,municipal general,Council,St George City Council,49,SG24,GREGG MCARTHUR,76
2019,municipal general,Council,St George City Council,49,SG24,JIMMIE B HUGHES,96
2019,municipal general,Council,St George City Council,5,HU54,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,5,HU54,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,5,HU54,ED BACA,0
2019,municipal general,Council,St George City Council,5,HU54,GREG ALDRED,0
2019,municipal general,Council,St George City Council,5,HU54,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,5,HU54,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,50,SG25,BETTE O ARIAL,130
2019,municipal general,Council,St George City Council,50,SG25,DANNIELLE LARKIN,94
2019,municipal general,Council,St George City Council,50,SG25,ED BACA,100
2019,municipal general,Council,St George City Council,50,SG25,GREG ALDRED,71
2019,municipal general,Council,St George City Council,50,SG25,GREGG MCARTHUR,133
2019,municipal general,Council,St George City Council,50,SG25,JIMMIE B HUGHES,154
2019,municipal general,Council,St George City Council,51,SG26,BETTE O ARIAL,136
2019,municipal general,Council,St George City Council,51,SG26,DANNIELLE LARKIN,113
2019,municipal general,Council,St George City Council,51,SG26,ED BACA,127
2019,municipal general,Council,St George City Council,51,SG26,GREG ALDRED,104
2019,municipal general,Council,St George City Council,51,SG26,GREGG MCARTHUR,154
2019,municipal general,Council,St George City Council,51,SG26,JIMMIE B HUGHES,154
2019,municipal general,Council,St George City Council,52,SG27,BETTE O ARIAL,71
2019,municipal general,Council,St George City Council,52,SG27,DANNIELLE LARKIN,119
2019,municipal general,Council,St George City Council,52,SG27,ED BACA,88
2019,municipal general,Council,St George City Council,52,SG27,GREG ALDRED,98
2019,municipal general,Council,St George City Council,52,SG27,GREGG MCARTHUR,128
2019,municipal general,Council,St George City Council,52,SG27,JIMMIE B HUGHES,130
2019,municipal general,Council,St George City Council,53,SG28,BETTE O ARIAL,143
2019,municipal general,Council,St George City Council,53,SG28,DANNIELLE LARKIN,140
2019,municipal general,Council,St George City Council,53,SG28,ED BACA,141
2019,municipal general,Council,St George City Council,53,SG28,GREG ALDRED,149
2019,municipal general,Council,St George City Council,53,SG28,GREGG MCARTHUR,203
2019,municipal general,Council,St George City Council,53,SG28,JIMMIE B HUGHES,225
2019,municipal general,Council,St George City Council,54,SG29,BETTE O ARIAL,132
2019,municipal general,Council,St George City Council,54,SG29,DANNIELLE LARKIN,133
2019,municipal general,Council,St George City Council,54,SG29,ED BACA,136
2019,municipal general,Council,St George City Council,54,SG29,GREG ALDRED,138
2019,municipal general,Council,St George City Council,54,SG29,GREGG MCARTHUR,180
2019,municipal general,Council,St George City Council,54,SG29,JIMMIE B HUGHES,185
2019,municipal general,Council,St George City Council,55,SG30,BETTE O ARIAL,167
2019,municipal general,Council,St George City Council,55,SG30,DANNIELLE LARKIN,162
2019,municipal general,Council,St George City Council,55,SG30,ED BACA,182
2019,municipal general,Council,St George City Council,55,SG30,GREG ALDRED,125
2019,municipal general,Council,St George City Council,55,SG30,GREGG MCARTHUR,215
2019,municipal general,Council,St George City Council,55,SG30,JIMMIE B HUGHES,241
2019,municipal general,Council,St George City Council,56,SG31,BETTE O ARIAL,160
2019,municipal general,Council,St George City Council,56,SG31,DANNIELLE LARKIN,153
2019,municipal general,Council,St George City Council,56,SG31,ED BACA,212
2019,municipal general,Council,St George City Council,56,SG31,GREG ALDRED,119
2019,municipal general,Council,St George City Council,56,SG31,GREGG MCARTHUR,196
2019,municipal general,Council,St George City Council,56,SG31,JIMMIE B HUGHES,198
2019,municipal general,Council,St George City Council,57,SG32,BETTE O ARIAL,121
2019,municipal general,Council,St George City Council,57,SG32,DANNIELLE LARKIN,197
2019,municipal general,Council,St George City Council,57,SG32,ED BACA,174
2019,municipal general,Council,St George City Council,57,SG32,GREG ALDRED,108
2019,municipal general,Council,St George City Council,57,SG32,GREGG MCARTHUR,233
2019,municipal general,Council,St George City Council,57,SG32,JIMMIE B HUGHES,168
2019,municipal general,Council,St George City Council,58,SG33,BETTE O ARIAL,102
2019,municipal general,Council,St George City Council,58,SG33,DANNIELLE LARKIN,134
2019,municipal general,Council,St George City Council,58,SG33,ED BACA,151
2019,municipal general,Council,St George City Council,58,SG33,GREG ALDRED,95
2019,municipal general,Council,St George City Council,58,SG33,GREGG MCARTHUR,204
2019,municipal general,Council,St George City Council,58,SG33,JIMMIE B HUGHES,164
2019,municipal general,Council,St George City Council,59,SG34,BETTE O ARIAL,121
2019,municipal general,Council,St George City Council,59,SG34,DANNIELLE LARKIN,149
2019,municipal general,Council,St George City Council,59,SG34,ED BACA,320
2019,municipal general,Council,St George City Council,59,SG34,GREG ALDRED,163
2019,municipal general,Council,St George City Council,59,SG34,GREGG MCARTHUR,192
2019,municipal general,Council,St George City Council,59,SG34,JIMMIE B HUGHES,219
2019,municipal general,Council,St George City Council,6,HU55,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,6,HU55,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,6,HU55,ED BACA,0
2019,municipal general,Council,St George City Council,6,HU55,GREG ALDRED,0
2019,municipal general,Council,St George City Council,6,HU55,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,6,HU55,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,60,SG35,BETTE O ARIAL,76
2019,municipal general,Council,St George City Council,60,SG35,DANNIELLE LARKIN,84
2019,municipal general,Council,St George City Council,60,SG35,ED BACA,99
2019,municipal general,Council,St George City Council,60,SG35,GREG ALDRED,83
2019,municipal general,Council,St George City Council,60,SG35,GREGG MCARTHUR,113
2019,municipal general,Council,St George City Council,60,SG35,JIMMIE B HUGHES,111
2019,municipal general,Council,St George City Council,61,SG36,BETTE O ARIAL,130
2019,municipal general,Council,St George City Council,61,SG36,DANNIELLE LARKIN,159
2019,municipal general,Council,St George City Council,61,SG36,ED BACA,161
2019,municipal general,Council,St George City Council,61,SG36,GREG ALDRED,140
2019,municipal general,Council,St George City Council,61,SG36,GREGG MCARTHUR,185
2019,municipal general,Council,St George City Council,61,SG36,JIMMIE B HUGHES,160
2019,municipal general,Council,St George City Council,62,SG37,BETTE O ARIAL,89
2019,municipal general,Council,St George City Council,62,SG37,DANNIELLE LARKIN,112
2019,municipal general,Council,St George City Council,62,SG37,ED BACA,124
2019,municipal general,Council,St George City Council,62,SG37,GREG ALDRED,109
2019,municipal general,Council,St George City Council,62,SG37,GREGG MCARTHUR,126
2019,municipal general,Council,St George City Council,62,SG37,JIMMIE B HUGHES,128
2019,municipal general,Council,St George City Council,63,SG38,BETTE O ARIAL,83
2019,municipal general,Council,St George City Council,63,SG38,DANNIELLE LARKIN,102
2019,municipal general,Council,St George City Council,63,SG38,ED BACA,103
2019,municipal general,Council,St George City Council,63,SG38,GREG ALDRED,107
2019,municipal general,Council,St George City Council,63,SG38,GREGG MCARTHUR,93
2019,municipal general,Council,St George City Council,63,SG38,JIMMIE B HUGHES,120
2019,municipal general,Council,St George City Council,64,SG39,BETTE O ARIAL,158
2019,municipal general,Council,St George City Council,64,SG39,DANNIELLE LARKIN,196
2019,municipal general,Council,St George City Council,64,SG39,ED BACA,176
2019,municipal general,Council,St George City Council,64,SG39,GREG ALDRED,231
2019,municipal general,Council,St George City Council,64,SG39,GREGG MCARTHUR,211
2019,municipal general,Council,St George City Council,64,SG39,JIMMIE B HUGHES,211
2019,municipal general,Council,St George City Council,65,SG40,BETTE O ARIAL,89
2019,municipal general,Council,St George City Council,65,SG40,DANNIELLE LARKIN,136
2019,municipal general,Council,St George City Council,65,SG40,ED BACA,93
2019,municipal general,Council,St George City Council,65,SG40,GREG ALDRED,76
2019,municipal general,Council,St George City Council,65,SG40,GREGG MCARTHUR,132
2019,municipal general,Council,St George City Council,65,SG40,JIMMIE B HUGHES,145
2019,municipal general,Council,St George City Council,66,SG41,BETTE O ARIAL,135
2019,municipal general,Council,St George City Council,66,SG41,DANNIELLE LARKIN,171
2019,municipal general,Council,St George City Council,66,SG41,ED BACA,169
2019,municipal general,Council,St George City Council,66,SG41,GREG ALDRED,185
2019,municipal general,Council,St George City Council,66,SG41,GREGG MCARTHUR,198
2019,municipal general,Council,St George City Council,66,SG41,JIMMIE B HUGHES,179
2019,municipal general,Council,St George City Council,67,SG42,BETTE O ARIAL,125
2019,municipal general,Council,St George City Council,67,SG42,DANNIELLE LARKIN,164
2019,municipal general,Council,St George City Council,67,SG42,ED BACA,147
2019,municipal general,Council,St George City Council,67,SG42,GREG ALDRED,125
2019,municipal general,Council,St George City Council,67,SG42,GREGG MCARTHUR,171
2019,municipal general,Council,St George City Council,67,SG42,JIMMIE B HUGHES,149
2019,municipal general,Council,St George City Council,68,SG43,BETTE O ARIAL,100
2019,municipal general,Council,St George City Council,68,SG43,DANNIELLE LARKIN,174
2019,municipal general,Council,St George City Council,68,SG43,ED BACA,96
2019,municipal general,Council,St George City Council,68,SG43,GREG ALDRED,110
2019,municipal general,Council,St George City Council,68,SG43,GREGG MCARTHUR,137
2019,municipal general,Council,St George City Council,68,SG43,JIMMIE B HUGHES,234
