date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,source,original_url,docid,date_precision,duplicate_of,matched_election_candidate,join_confidence
2021-08-03,Clint Smith,Mayor,2021,interim,Pre-Primary (due 2021-08-03),2021 Clint Smith (Mayor) — Pre-Primary (due 2021-08-03) campaign finance report,https://web.archive.org/web/20210807175207id_/https://www.herriman.org/uploads/files/2097/Smith-Clint.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2097_Smith-Clint.pdf,,wayback_herriman_org,https://www.herriman.org/uploads/files/2097/Smith-Clint.pdf,2097,est_report_class,,CLINT SMITH,high
2021-12-02,Clint Smith,Mayor,2021,summary,Final — 30 days after general (due 2021-12-02),2021 Clint Smith (Mayor) — Final — 30 days after general (due 2021-12-02) campaign finance report,https://web.archive.org/web/20211211000711id_/https://www.herriman.org/uploads/files/2456/Clint-SmithMayor.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2456_Clint-SmithMayor.pdf,,wayback_herriman_org,https://www.herriman.org/uploads/files/2456/Clint-SmithMayor.pdf,2456,est_report_class,,CLINT SMITH,high
2021-12-02,Lorin Palmer,Mayor,2021,summary,Final — 30 days after general (due 2021-12-02),2021 Lorin Palmer (Mayor) — Final — 30 days after general (due 2021-12-02) campaign finance report,https://web.archive.org/web/20211211000754id_/https://www.herriman.org/uploads/files/2453/Lorin-PalmerMayor.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2453_Lorin-PalmerMayor.pdf,,wayback_herriman_org,https://www.herriman.org/uploads/files/2453/Lorin-PalmerMayor.pdf,2453,est_report_class,,LORIN PALMER,high
2021-12-02,Teddy Hodges,Council,2021,summary,Final — 30 days after general (due 2021-12-02),2021 Teddy Hodges (Council D2) — Final — 30 days after general (due 2021-12-02) campaign finance report,https://web.archive.org/web/20211211000724id_/https://www.herriman.org/uploads/files/2458/TeddyHodgesDistrict-2.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2458_TeddyHodgesDistrict-2.pdf,2,wayback_herriman_org,https://www.herriman.org/uploads/files/2458/TeddyHodgesDistrict-2.pdf,2458,est_report_class,,TEDDY HODGES,high
2023-10-24,Chris Roberts,Council,2023,interim,October 24 report — candidates not in a primary (due 2023-10-24),2023 Chris Roberts (Council D1) — October 24 report — candidates not in a primary (due 2023-10-24) campaign finance report,https://web.archive.org/web/20231211111016id_/https://www.herriman.org/uploads/files/3974/District-1Chris-Roberts.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/3974_District-1Chris-Roberts.pdf,1,wayback_herriman_org,https://www.herriman.org/uploads/files/3974/District-1Chris-Roberts.pdf,3974,est_report_class,,CHRIS ROBERTS,high
2023-10-24,Jared Henderson,Council,2023,interim,October 24 report — candidates not in a primary (due 2023-10-24),2023 Jared Henderson (Council D1) — October 24 report — candidates not in a primary (due 2023-10-24) campaign finance report,https://web.archive.org/web/20231211110944id_/https://www.herriman.org/uploads/files/3973/District-1Jared-Henderson.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/3973_District-1Jared-Henderson.pdf,1,wayback_herriman_org,https://www.herriman.org/uploads/files/3973/District-1Jared-Henderson.pdf,3973,est_report_class,,JARED HENDERSON,high
2023-10-24,Matt Bello,Council,2023,interim,October 24 report — candidates not in a primary (due 2023-10-24),2023 Matt Bello (Council D4) — October 24 report — candidates not in a primary (due 2023-10-24) campaign finance report [amended/revised — original first report not on any capture],https://web.archive.org/web/20231211111031id_/https://www.herriman.org/uploads/files/4017/Amended-Financial-Disclosure.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/4017_Amended-Financial-Disclosure.pdf,4,wayback_herriman_org,https://www.herriman.org/uploads/files/4017/Amended-Financial-Disclosure.pdf,4017,est_report_class,,MATT BELLO,high
2023-10-24,Steven Shields,Council,2023,interim,October 24 report — candidates not in a primary (due 2023-10-24),2023 Steven Shields (Council D4) — October 24 report — candidates not in a primary (due 2023-10-24) campaign finance report,https://web.archive.org/web/20231211111046id_/https://www.herriman.org/uploads/files/3975/District-4Steve-Shields.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/3975_District-4Steve-Shields.pdf,4,wayback_herriman_org,https://www.herriman.org/uploads/files/3975/District-4Steve-Shields.pdf,3975,est_report_class,,STEVEN L. SHIELDS,high
2023-11-14,Chris Roberts,Council,2023,interim,Pre-General 7-day (due 2023-11-14),2023 Chris Roberts (Council D1) — Pre-General 7-day (due 2023-11-14) campaign finance report,https://web.archive.org/web/20231211111024id_/https://www.herriman.org/uploads/files/4025/District-1Chris-Roberts2nd-Report.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/4025_District-1Chris-Roberts2nd-Report.pdf,1,wayback_herriman_org,https://www.herriman.org/uploads/files/4025/District-1Chris-Roberts2nd-Report.pdf,4025,est_report_class,,CHRIS ROBERTS,high
2023-11-14,Jared Henderson,Council,2023,interim,Pre-General 7-day (due 2023-11-14),2023 Jared Henderson (Council D1) — Pre-General 7-day (due 2023-11-14) campaign finance report,https://web.archive.org/web/20231211111001id_/https://www.herriman.org/uploads/files/4024/District-1Jared-Henderson2nd-Report.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/4024_District-1Jared-Henderson2nd-Report.pdf,1,wayback_herriman_org,https://www.herriman.org/uploads/files/4024/District-1Jared-Henderson2nd-Report.pdf,4024,est_report_class,,JARED HENDERSON,high
2023-11-14,Matt Bello,Council,2023,interim,Pre-General 7-day (due 2023-11-14),2023 Matt Bello (Council D4) — Pre-General 7-day (due 2023-11-14) campaign finance report,https://web.archive.org/web/20231211111037id_/https://www.herriman.org/uploads/files/4027/District-4Matt-Bello2nd-Report.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/4027_District-4Matt-Bello2nd-Report.pdf,4,wayback_herriman_org,https://www.herriman.org/uploads/files/4027/District-4Matt-Bello2nd-Report.pdf,4027,est_report_class,,MATT BELLO,high
2023-11-14,Steven Shields,Council,2023,interim,Pre-General 7-day (due 2023-11-14),2023 Steven Shields (Council D4) — Pre-General 7-day (due 2023-11-14) campaign finance report,https://web.archive.org/web/20231211111054id_/https://www.herriman.org/uploads/files/4026/District-4SteveShields2nd-Report.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/4026_District-4SteveShields2nd-Report.pdf,4,wayback_herriman_org,https://www.herriman.org/uploads/files/4026/District-4SteveShields2nd-Report.pdf,4026,est_report_class,,STEVEN L. SHIELDS,high
2023-12-21,Chris Roberts,Council,2023,summary,Final — 30 days after general (due 2023-12-21),2023 Chris Roberts (Council D1) — Final — 30 days after general (due 2023-12-21) campaign finance report,https://web.archive.org/web/20240228102019id_/https://www.herriman.org/uploads/files/4056/Chris-RobertsDistrict-1.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/4056_Chris-RobertsDistrict-1.pdf,1,wayback_herriman_org,https://www.herriman.org/uploads/files/4056/Chris-RobertsDistrict-1.pdf,4056,est_report_class,,CHRIS ROBERTS,high
2023-12-21,Jared Henderson,Council,2023,summary,Final — 30 days after general (due 2023-12-21),2023 Jared Henderson (Council D1) — Final — 30 days after general (due 2023-12-21) campaign finance report,https://web.archive.org/web/20240228101952id_/https://www.herriman.org/uploads/files/4055/Jared-HendersonDistrict-1.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/4055_Jared-HendersonDistrict-1.pdf,1,wayback_herriman_org,https://www.herriman.org/uploads/files/4055/Jared-HendersonDistrict-1.pdf,4055,est_report_class,,JARED HENDERSON,high
2023-12-21,Matt Bello,Council,2023,summary,Final — 30 days after general (due 2023-12-21),2023 Matt Bello (Council D4) — Final — 30 days after general (due 2023-12-21) campaign finance report,https://web.archive.org/web/20240228102040id_/https://www.herriman.org/uploads/files/4058/Matt-BelloDistrict-4.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/4058_Matt-BelloDistrict-4.pdf,4,wayback_herriman_org,https://www.herriman.org/uploads/files/4058/Matt-BelloDistrict-4.pdf,4058,est_report_class,,MATT BELLO,high
2023-12-21,Steven Shields,Council,2023,summary,Final — 30 days after general (due 2023-12-21),2023 Steven Shields (Council D4) — Final — 30 days after general (due 2023-12-21) campaign finance report,https://web.archive.org/web/20240228102049id_/https://www.herriman.org/uploads/files/4057/Steven-ShieldsDistrict-4.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/4057_Steven-ShieldsDistrict-4.pdf,4,wayback_herriman_org,https://www.herriman.org/uploads/files/4057/Steven-ShieldsDistrict-4.pdf,4057,est_report_class,,STEVEN L. SHIELDS,high
2025-08-03,Matt Basham,Council,2025,interim,Pre-Primary (due 2025-08-05),2025 Matt Basham (Council D3) — Pre-Primary (due 2025-08-05) campaign finance report,https://www.herriman.gov/uploads/files/5784/Basham-Matt-District-3-August-5-Report.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/5784_Basham-Matt-District-3-August-5-Report.pdf,3,city_website,,5784,exact_signature,,MATT BASHAM,high
2025-08-05,Heather Garcia,Council,2025,interim,Pre-Primary (due 2025-08-05),2025 Heather Garcia (Council D3) — Pre-Primary (due 2025-08-05) campaign finance report,https://www.herriman.gov/uploads/files/5787/Garcia-Heather-District-3-August-5-Report.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/5787_Garcia-Heather-District-3-August-5-Report.pdf,3,city_website,,5787,est_report_class,,HEATHER GARCIA,high
2025-08-05,Rodman Grimm,Council,2025,interim,Pre-Primary (due 2025-08-05),2025 Rodman Grimm (Council D3) — Pre-Primary (due 2025-08-05) campaign finance report [byte-identical duplicate upload of docid 5785],https://www.herriman.gov/uploads/files/5673/Grimm-Rodman-District-3.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/5673_Grimm-Rodman-District-3.pdf,3,city_website,,5673,est_report_class,5785,RODMAN D. GRIMM,high
2025-08-05,Rodman Grimm,Council,2025,interim,Pre-Primary (due 2025-08-05),2025 Rodman Grimm (Council D3) — Pre-Primary (due 2025-08-05) campaign finance report,https://www.herriman.gov/uploads/files/5785/Grimm-Rodman-District-3-August-5-Report.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/5785_Grimm-Rodman-District-3-August-5-Report.pdf,3,city_website,,5785,est_report_class,,RODMAN D. GRIMM,high
2025-09-11,Rodman Grimm,Council,2025,summary,Final — eliminated at primary (due 2025-09-11),2025 Rodman Grimm (Council D3) — Final — eliminated at primary (due 2025-09-11) campaign finance report [byte-identical duplicate upload of docid 5786 (city filename says 08-2025)],https://www.herriman.gov/uploads/files/5719/Grimm-Rodman-DIstrict-3-08-2025.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/5719_Grimm-Rodman-DIstrict-3-08-2025.pdf,3,city_website,,5719,est_report_class,5786,RODMAN D. GRIMM,high
2025-09-11,Rodman Grimm,Council,2025,summary,Final — eliminated at primary (due 2025-09-11),2025 Rodman Grimm (Council D3) — Final — eliminated at primary (due 2025-09-11) campaign finance report,https://www.herriman.gov/uploads/files/5786/Grimm-Rodman-DIstrict-3-September-11-Report.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/5786_Grimm-Rodman-DIstrict-3-September-11-Report.pdf,3,city_website,,5786,est_report_class,,RODMAN D. GRIMM,high
2025-10-06,Heather Garcia,Council,2025,interim,October 7 report — won/skipped primary (due 2025-10-07),2025 Heather Garcia (Council D3) — October 7 report — won/skipped primary (due 2025-10-07) campaign finance report,https://www.herriman.gov/uploads/files/5771/District-3Heather-Garcia.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/5771_District-3Heather-Garcia.pdf,3,city_website,,5771,exact_signature,,HEATHER GARCIA,high
2025-10-06,Teddy Hodges,Council,2025,interim,October 7 report — won/skipped primary (due 2025-10-07),2025 Teddy Hodges (Council D2) — October 7 report — won/skipped primary (due 2025-10-07) campaign finance report,https://www.herriman.gov/uploads/files/5770/District-2Teddy-Hodges.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/5770_District-2Teddy-Hodges.pdf,2,city_website,,5770,exact_received,,TEDDY M HODGES,high
2025-10-07,Lorin Palmer,Mayor,2025,interim,October 7 report — won/skipped primary (due 2025-10-07),2025 Lorin Palmer (Mayor) — October 7 report — won/skipped primary (due 2025-10-07) campaign finance report [Schedule A/B pages only — no signed cover form in the published PDF],https://www.herriman.gov/uploads/files/5768/MayorLorin-Palmer.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/5768_MayorLorin-Palmer.pdf,,city_website,,5768,est_report_class,,LORIN PALMER,high
2025-10-07,Matt Basham,Council,2025,interim,October 7 report — won/skipped primary (due 2025-10-07),2025 Matt Basham (Council D3) — October 7 report — won/skipped primary (due 2025-10-07) campaign finance report,https://www.herriman.gov/uploads/files/5772/District-3Matt-Basham.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/5772_District-3Matt-Basham.pdf,3,city_website,,5772,exact_received,,MATT BASHAM,high
2025-10-07,Terrah Anderson,Council,2025,interim,October 7 report — won/skipped primary (due 2025-10-07),2025 Terrah Anderson (Council D4) — October 7 report — won/skipped primary (due 2025-10-07) campaign finance report,https://www.herriman.gov/uploads/files/5791/District-4Terrah-Anderson.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/5791_District-4Terrah-Anderson.pdf,4,city_website,,5791,est_report_class,,TERRAH ANDERSON,high
2025-10-07,Ty Brady,Mayor,2025,interim,October 7 report — won/skipped primary (due 2025-10-07),2025 Ty Brady (Mayor) — October 7 report — won/skipped primary (due 2025-10-07) campaign finance report,https://www.herriman.gov/uploads/files/5769/MayorTy-Brady.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/5769_MayorTy-Brady.pdf,,city_website,,5769,est_report_class,,TY R. BRADY,high
2025-10-27,Matt Basham,Council,2025,interim,Pre-General 7-day (due 2025-10-28),2025 Matt Basham (Council D3) — Pre-General 7-day (due 2025-10-28) campaign finance report,https://www.herriman.gov/uploads/files/5802/District-3Matt-Basham.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/5802_District-3Matt-Basham.pdf,3,city_website,,5802,exact_signature,,MATT BASHAM,high
2025-10-28,Heather Garcia,Council,2025,interim,Pre-General 7-day (due 2025-10-28),2025 Heather Garcia (Council D3) — Pre-General 7-day (due 2025-10-28) campaign finance report,https://www.herriman.gov/uploads/files/5803/District-3Heather-Garcia.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/5803_District-3Heather-Garcia.pdf,3,city_website,,5803,exact_signature,,HEATHER GARCIA,high
2025-10-28,Lorin Palmer,Mayor,2025,interim,Pre-General 7-day (due 2025-10-28),2025 Lorin Palmer (Mayor) — Pre-General 7-day (due 2025-10-28) campaign finance report,https://www.herriman.gov/uploads/files/5801/MayorLorin-Palmer.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/5801_MayorLorin-Palmer.pdf,,city_website,,5801,est_report_class,,LORIN PALMER,high
2025-10-28,Teddy Hodges,Council,2025,interim,Pre-General 7-day (due 2025-10-28),2025 Teddy Hodges (Council D2) — Pre-General 7-day (due 2025-10-28) campaign finance report,https://www.herriman.gov/uploads/files/5804/District-2Teddy-Hodges.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/5804_District-2Teddy-Hodges.pdf,2,city_website,,5804,exact_received,,TEDDY M HODGES,high
2025-10-28,Terrah Anderson,Council,2025,interim,Pre-General 7-day (due 2025-10-28),2025 Terrah Anderson (Council D4) — Pre-General 7-day (due 2025-10-28) campaign finance report,https://www.herriman.gov/uploads/files/5800/District-4Terrah-Anderson.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/5800_District-4Terrah-Anderson.pdf,4,city_website,,5800,est_report_class,,TERRAH ANDERSON,high
2025-10-28,Ty Brady,Mayor,2025,interim,Pre-General 7-day (due 2025-10-28),2025 Ty Brady (Mayor) — Pre-General 7-day (due 2025-10-28) campaign finance report,https://www.herriman.gov/uploads/files/5805/MayorTy-Brady.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/5805_MayorTy-Brady.pdf,,city_website,,5805,est_report_class,,TY R. BRADY,high
2025-11-07,Matt Basham,Council,2025,summary,Final — 30 days after general (due 2025-12-04),2025 Matt Basham (Council D3) — Final — 30 days after general (due 2025-12-04) campaign finance report,https://www.herriman.gov/uploads/files/5880/District-3Matt-Basham.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/5880_District-3Matt-Basham.pdf,3,city_website,,5880,exact_received,,MATT BASHAM,high
2025-11-10,Terrah Anderson,Council,2025,summary,Final — 30 days after general (due 2025-12-04),2025 Terrah Anderson (Council D4) — Final — 30 days after general (due 2025-12-04) campaign finance report,https://www.herriman.gov/uploads/files/5879/District-4Terrah-Anderson.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/5879_District-4Terrah-Anderson.pdf,4,city_website,,5879,exact_stamp,,TERRAH ANDERSON,high
2025-12-03,Teddy Hodges,Council,2025,summary,Final — 30 days after general (due 2025-12-04),2025 Teddy Hodges (Council D2) — Final — 30 days after general (due 2025-12-04) campaign finance report,https://www.herriman.gov/uploads/files/5953/TeddyMHodges-Financial-Statement-2025-General-Election-DEC3rd.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/5953_TeddyMHodges-Financial-Statement-2025-General-Election-DEC3rd.pdf,2,city_website,,5953,from_filename,,TEDDY M HODGES,high
2025-12-04,Heather Garcia,Council,2025,summary,Final — 30 days after general (due 2025-12-04),2025 Heather Garcia (Council D3) — Final — 30 days after general (due 2025-12-04) campaign finance report,https://www.herriman.gov/uploads/files/5958/District-3Heather-Garcia.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/5958_District-3Heather-Garcia.pdf,3,city_website,,5958,est_report_class,,HEATHER GARCIA,high
2025-12-04,Lorin Palmer,Mayor,2025,summary,Final — 30 days after general (due 2025-12-04),2025 Lorin Palmer (Mayor) — Final — 30 days after general (due 2025-12-04) campaign finance report,https://www.herriman.gov/uploads/files/5957/MayorLorin-Palmer.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/5957_MayorLorin-Palmer.pdf,,city_website,,5957,est_report_class,,LORIN PALMER,high
2025-12-04,Ty Brady,Mayor,2025,summary,Final — 30 days after general (due 2025-12-04),2025 Ty Brady (Mayor) — Final — 30 days after general (due 2025-12-04) campaign finance report,https://www.herriman.gov/uploads/files/5941/MayorTy-Brady.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/5941_MayorTy-Brady.pdf,,city_website,,5941,est_report_class,,TY R. BRADY,high
