date,body,md_path,source_url,source_file,minutes_status,extraction,text_chars,note
2020-06-02,Ogden Valley Planning Commission,land_use/minutes/2020/2020-06-02_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/JUN_2_2020 ovpc minutes-Approved.docx,JUN_2_2020 ovpc minutes-Approved.docx,Approved,text,4897,
2020-07-07,Ogden Valley Planning Commission,land_use/minutes/2020/2020-07-07_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/JUl_7_2020 ovpc minutes-Approved.pdf,JUl_7_2020 ovpc minutes-Approved.pdf,Approved,text,7582,
2020-07-28,Ogden Valley Planning Commission,land_use/minutes/2020/2020-07-28_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/july_28_2020 ovpc minutes-Approved.pdf,july_28_2020 ovpc minutes-Approved.pdf,Approved,text,6232,
2020-09-22,Ogden Valley Planning Commission,land_use/minutes/2020/2020-09-22_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/Sept_22_2020 ovpc minuteS approved.pdf,Sept_22_2020 ovpc minuteS approved.pdf,Approved,text,9677,
2020-10-27,Ogden Valley Planning Commission,land_use/minutes/2020/2020-10-27_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/October_27_2020 ovpc minute.docx.pdf,October_27_2020 ovpc minute.docx.pdf,Unlabeled,text,3325,
2020-11-17,Ogden Valley Planning Commission,land_use/minutes/2020/2020-11-17_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2020 OVPC  November 17 Minutes  Approved.pdf,2020 OVPC  November 17 Minutes  Approved.pdf,Approved,text,15385,
2020-12-22,Ogden Valley Planning Commission,land_use/minutes/2020/2020-12-22_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/December 22_2020 ovpc minutes-Approved.docx.pdf,December 22_2020 ovpc minutes-Approved.docx.pdf,Approved,text,1752,
2021-02-23,Ogden Valley Planning Commission,land_use/minutes/2021/2021-02-23_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021-OVPC_Feb_23_ minutes.pdf,2021-OVPC_Feb_23_ minutes.pdf,Unlabeled,text,90616,
2021-03-02,Ogden Valley Planning Commission,land_use/minutes/2021/2021-03-02_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021-OVPC_March_2_Final_Minutes.pdf,2021-OVPC_March_2_Final_Minutes.pdf,Unlabeled,text,25535,
2021-03-23,Ogden Valley Planning Commission,land_use/minutes/2021/2021-03-23_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021-OVPC_March_23_Final_Minutes.pdf,2021-OVPC_March_23_Final_Minutes.pdf,Unlabeled,text,62744,
2021-04-06,Ogden Valley Planning Commission,land_use/minutes/2021/2021-04-06_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021_April_6_ OVPC_minutes.pdf,2021_April_6_ OVPC_minutes.pdf,Unlabeled,text,37184,
2021-05-04,Ogden Valley Planning Commission,land_use/minutes/2021/2021-05-04_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021_OVPC_May_4_minutes_Final.pdf,2021_OVPC_May_4_minutes_Final.pdf,Unlabeled,text,3322,
2021-07-27,Ogden Valley Planning Commission,land_use/minutes/2021/2021-07-27_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021_July_27_OVPC_minutes_Final.pdf,2021_July_27_OVPC_minutes_Final.pdf,Unlabeled,text,50639,
2021-08-24,Ogden Valley Planning Commission,land_use/minutes/2021/2021-08-24_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021_August_24_ OVPC_minutes_Final.pdf,2021_August_24_ OVPC_minutes_Final.pdf,Unlabeled,text,47840,
2021-09-28,Ogden Valley Planning Commission,land_use/minutes/2021/2021-09-28_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/09-28-21 minutes APPROVED.docx,09-28-21 minutes APPROVED.docx,Approved,text,17510,
2021-10-05,Ogden Valley Planning Commission,land_use/minutes/2021/2021-10-05_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/10-05-21 minutes APPROVED.docx,10-05-21 minutes APPROVED.docx,Approved,text,6587,
2021-10-20,Ogden Valley Planning Commission,land_use/minutes/2021/2021-10-20_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021_October_20_minutes_Final.pdf,2021_October_20_minutes_Final.pdf,Unlabeled,text,5744,
2021-10-26,Ogden Valley Planning Commission,land_use/minutes/2021/2021-10-26_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/10-26-21 minutes  Approved.pdf,10-26-21 minutes  Approved.pdf,Approved,text,42446,
2021-12-28,Ogden Valley Planning Commission,land_use/minutes/2021/2021-12-28_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/12-28-21 minutes.pdf,12-28-21 minutes.pdf,Unlabeled,text,7844,
2022-01-25,Ogden Valley Planning Commission,land_use/minutes/2022/2022-01-25_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/01-25-22 minutes.pdf,01-25-22 minutes.pdf,Unlabeled,text,35432,
2022-02-01,Ogden Valley Planning Commission,land_use/minutes/2022/2022-02-01_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/02-01-22 minutes.pdf,02-01-22 minutes.pdf,Unlabeled,text,19339,
2022-02-15,Ogden Valley Planning Commission,land_use/minutes/2022/2022-02-15_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/02-15-22 minutes.pdf,02-15-22 minutes.pdf,Unlabeled,text,47023,
2022-04-05,Ogden Valley Planning Commission,land_use/minutes/2022/2022-04-05_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/04-05-22 minutes.pdf,04-05-22 minutes.pdf,Unlabeled,text,9197,
2022-04-26,Ogden Valley Planning Commission,land_use/minutes/2022/2022-04-26_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/04-26-22 minutes-Approved.pdf,04-26-22 minutes-Approved.pdf,Approved,text,41454,
2022-05-24,Ogden Valley Planning Commission,land_use/minutes/2022/2022-05-24_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/05-24-22 minutes_approved.pdf,05-24-22 minutes_approved.pdf,Approved,text,35900,
2022-06-07,Ogden Valley Planning Commission,land_use/minutes/2022/2022-06-07_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/06-07-22 minutes approved.pdf,06-07-22 minutes approved.pdf,Approved,text,22724,
2022-06-21,Ogden Valley Planning Commission,land_use/minutes/2022/2022-06-21_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/06-21-22 minutes approved.pdf,06-21-22 minutes approved.pdf,Approved,text,20731,
2022-08-02,Ogden Valley Planning Commission,land_use/minutes/2022/2022-08-02_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/08-02-22 minutes-Approved.pdf,08-02-22 minutes-Approved.pdf,Approved,text,60615,
2022-08-23,Ogden Valley Planning Commission,land_use/minutes/2022/2022-08-23_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/08-23-22 minutes_Approved.pdf,08-23-22 minutes_Approved.pdf,Approved,text,92818,
2022-09-20,Ogden Valley Planning Commission,land_use/minutes/2022/2022-09-20_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/09-20-22 draft minutes.pdf,09-20-22 draft minutes.pdf,Draft,text,9511,
2022-09-27,Ogden Valley Planning Commission,land_use/minutes/2022/2022-09-27_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/09-27-22 minutes.pdf,09-27-22 minutes.pdf,Unlabeled,text,79022,
2022-10-04,Ogden Valley Planning Commission,land_use/minutes/2022/2022-10-04_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/10-04-22 minutes.pdf,10-04-22 minutes.pdf,Unlabeled,text,11027,
2022-10-25,Ogden Valley Planning Commission,land_use/minutes/2022/2022-10-25_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/10-25-22 minutes.pdf,10-25-22 minutes.pdf,Unlabeled,text,32286,
2022-11-29,Ogden Valley Planning Commission,land_use/minutes/2022/2022-11-29_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/11-29-22 minutes.docx.pdf,11-29-22 minutes.docx.pdf,Unlabeled,text,19184,
2022-12-06,Ogden Valley Planning Commission,land_use/minutes/2022/2022-12-06_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/12-06-22 minutes.pdf,12-06-22 minutes.pdf,Unlabeled,text,42490,
2023-01-24,Ogden Valley Planning Commission,land_use/minutes/2023/2023-01-24_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/01-24-22 minutes.pdf,01-24-22 minutes.pdf,Unlabeled,text,44668,source filename encodes 2022-01-24 (meeting listed 2023-01-24 on portal — filename typo retained)
2023-02-07,Ogden Valley Planning Commission,land_use/minutes/2023/2023-02-07_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/02-07-22 minutes.pdf,02-07-22 minutes.pdf,Unlabeled,text,26892,source filename encodes 2022-02-07 (meeting listed 2023-02-07 on portal — filename typo retained)
2023-02-28,Ogden Valley Planning Commission,land_use/minutes/2023/2023-02-28_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/02-28-23 minutes.pdf,02-28-23 minutes.pdf,Unlabeled,text,13641,
2023-03-28,Ogden Valley Planning Commission,land_use/minutes/2023/2023-03-28_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/03-28-22 minutes.pdf,03-28-22 minutes.pdf,Unlabeled,text,32521,source filename encodes 2022-03-28 (meeting listed 2023-03-28 on portal — filename typo retained)
2023-04-04,Ogden Valley Planning Commission,land_use/minutes/2023/2023-04-04_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/04-04-23 minutes.pdf,04-04-23 minutes.pdf,Unlabeled,text,5689,
2023-04-25,Ogden Valley Planning Commission,land_use/minutes/2023/2023-04-25_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/04-25-23 minutes.pdf,04-25-23 minutes.pdf,Unlabeled,text,68366,
2023-05-02,Ogden Valley Planning Commission,land_use/minutes/2023/2023-05-02_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/05-02-23 minutes.pdf,05-02-23 minutes.pdf,Unlabeled,text,13144,
2023-05-23,Ogden Valley Planning Commission,land_use/minutes/2023/2023-05-23_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/05-23-23 minutes.pdf,05-23-23 minutes.pdf,Unlabeled,text,68206,
2023-06-06,Ogden Valley Planning Commission,land_use/minutes/2023/2023-06-06_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/06-06-23 minutes.pdf,06-06-23 minutes.pdf,Unlabeled,text,28414,
2023-06-27,Ogden Valley Planning Commission,land_use/minutes/2023/2023-06-27_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/06-27-23 minutes.pdf,06-27-23 minutes.pdf,Unlabeled,text,7829,
2023-07-18,Ogden Valley Planning Commission,land_use/minutes/2023/2023-07-18_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/07-18-23 minutes OVPC.docx,07-18-23 minutes OVPC.docx,Unlabeled,text,27677,
2023-08-01,Ogden Valley Planning Commission,land_use/minutes/2023/2023-08-01_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/08-01-23 minutes.pdf,08-01-23 minutes.pdf,Unlabeled,text,8275,
2023-08-22,Ogden Valley Planning Commission,land_use/minutes/2023/2023-08-22_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/08-22-23 minutes_Approved.pdf,08-22-23 minutes_Approved.pdf,Approved,text,26945,
2023-09-26,Ogden Valley Planning Commission,land_use/minutes/2023/2023-09-26_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/09-26-23   Minutes approved.pdf,09-26-23   Minutes approved.pdf,Approved,text,16639,
2023-10-24,Ogden Valley Planning Commission,land_use/minutes/2023/2023-10-24_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/10-24-23 minutes - approved.pdf,10-24-23 minutes - approved.pdf,Approved,text,48231,
2023-11-14,Ogden Valley Planning Commission,land_use/minutes/2023/2023-11-14_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/11-14-23 minutes.docx,11-14-23 minutes.docx,Unlabeled,text,95368,
2023-12-19,Ogden Valley Planning Commission,land_use/minutes/2023/2023-12-19_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/12-19-23 minutes.docx,12-19-23 minutes.docx,Unlabeled,text,17253,
2024-01-11,Ogden Valley Planning Commission,land_use/minutes/2024/2024-01-11_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/01-11-24 minutes.pdf,01-11-24 minutes.pdf,Unlabeled,text,16843,
2024-02-27,Ogden Valley Planning Commission,land_use/minutes/2024/2024-02-27_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/02-27-24 minutes.pdf,02-27-24 minutes.pdf,Unlabeled,text,45858,
2024-03-26,Ogden Valley Planning Commission,land_use/minutes/2024/2024-03-26_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/03-26-24 minutes.pdf,03-26-24 minutes.pdf,Unlabeled,text,13434,
2024-04-23,Ogden Valley Planning Commission,land_use/minutes/2024/2024-04-23_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/04-23-24 minutes - Approved.pdf,04-23-24 minutes - Approved.pdf,Approved,text,11680,
2024-05-21,Ogden Valley Planning Commission,land_use/minutes/2024/2024-05-21_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/05-21-24 minutes_approved.pdf,05-21-24 minutes_approved.pdf,Approved,text,53249,
2024-06-04,Ogden Valley Planning Commission,land_use/minutes/2024/2024-06-04_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/06-04-24 minutes_approved.pdf,06-04-24 minutes_approved.pdf,Approved,text,5838,
2024-06-25,Ogden Valley Planning Commission,land_use/minutes/2024/2024-06-25_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/06-25-24 minutes - Approved.pdf,06-25-24 minutes - Approved.pdf,Approved,text,25093,
2024-07-30,Ogden Valley Planning Commission,land_use/minutes/2024/2024-07-30_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/07-30-24 minutes -approved.pdf,07-30-24 minutes -approved.pdf,Approved,text,12844,
2024-08-06,Ogden Valley Planning Commission,land_use/minutes/2024/2024-08-06_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/08-06-24 minutes - Approved_.pdf,08-06-24 minutes - Approved_.pdf,Approved,text,8245,
2024-08-27,Ogden Valley Planning Commission,land_use/minutes/2024/2024-08-27_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/08-27-24 minutes Approved.pdf,08-27-24 minutes Approved.pdf,Approved,text,19790,
2024-09-24,Ogden Valley Planning Commission,land_use/minutes/2024/2024-09-24_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/09-24-24 minutes_Approved.pdf,09-24-24 minutes_Approved.pdf,Approved,text,29465,
2024-10-22,Ogden Valley Planning Commission,land_use/minutes/2024/2024-10-22_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/10-22-24 minutes_Approved.pdf,10-22-24 minutes_Approved.pdf,Approved,text,22696,
2024-11-19,Ogden Valley Planning Commission,land_use/minutes/2024/2024-11-19_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/11-19-24 minutes-approved.pdf,11-19-24 minutes-approved.pdf,Approved,text,36756,
2024-12-17,Ogden Valley Planning Commission,land_use/minutes/2024/2024-12-17_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/12-17-24 minutes-approved.pdf,12-17-24 minutes-approved.pdf,Approved,text,10622,
2025-01-28,Ogden Valley Planning Commission,land_use/minutes/2025/2025-01-28_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/01-28-25 minutes -Approved.pdf,01-28-25 minutes -Approved.pdf,Approved,text,32675,
2025-02-25,Ogden Valley Planning Commission,land_use/minutes/2025/2025-02-25_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/02-25-25 minutes-Approved.pdf,02-25-25 minutes-Approved.pdf,Approved,text,34885,
2025-04-29,Ogden Valley Planning Commission,land_use/minutes/2025/2025-04-29_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/04-29-25 minutes-Approved.pdf,04-29-25 minutes-Approved.pdf,Approved,text,43398,
2025-05-20,Ogden Valley Planning Commission,land_use/minutes/2025/2025-05-20_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/05-20-25 minutes - Approved.pdf,05-20-25 minutes - Approved.pdf,Approved,text,9892,
2025-06-24,Ogden Valley Planning Commission,land_use/minutes/2025/2025-06-24_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/06-24-25 minutes.pdf,06-24-25 minutes.pdf,Unlabeled,text,11956,
2025-09-23,Ogden Valley Planning Commission,land_use/minutes/2025/2025-09-23_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/09-23-25 minutes_approved.pdf,09-23-25 minutes_approved.pdf,Approved,text,77357,
2025-10-28,Ogden Valley Planning Commission,land_use/minutes/2025/2025-10-28_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/10-28-25 minutes_approved.pdf,10-28-25 minutes_approved.pdf,Approved,text,38616,
2025-12-02,Ogden Valley Planning Commission,land_use/minutes/2025/2025-12-02_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/12-02-25 minutes_Approved.pdf,12-02-25 minutes_Approved.pdf,Approved,text,67399,
2025-12-09,Weber County Planning Commission,land_use/minutes/2025/2025-12-09_weber_county_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/12-09-25 minutes-Approved.pdf,12-09-25 minutes-Approved.pdf,Approved,text,35984,first consolidated PC meeting; identical file was cross-posted on the legacy OVPC & WWPC archive pages (duplicates dropped)
2026-01-06,Weber County Planning Commission,land_use/minutes/2026/2026-01-06_weber_county_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/01-06-26 minutes_approved.pdf,01-06-26 minutes_approved.pdf,Approved,text,13386,
2026-02-03,Weber County Planning Commission,land_use/minutes/2026/2026-02-03_weber_county_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/02-03-26 minutes-Approved.pdf,02-03-26 minutes-Approved.pdf,Approved,text,16757,
2026-02-10,Weber County Planning Commission,land_use/minutes/2026/2026-02-10_weber_county_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2-10-26 minutes_approved.pdf,2-10-26 minutes_approved.pdf,Approved,text,16491,
2026-03-03,Weber County Planning Commission,land_use/minutes/2026/2026-03-03_weber_county_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/03-03-26 minutes_ Approved.pdf,03-03-26 minutes_ Approved.pdf,Approved,text,22285,
2026-04-07,Weber County Planning Commission,land_use/minutes/2026/2026-04-07_weber_county_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/04-07-26 minutes_Approved.pdf,04-07-26 minutes_Approved.pdf,Approved,text,16281,
2026-04-14,Weber County Planning Commission,land_use/minutes/2026/2026-04-14_weber_county_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/04-14-26 minutes_Approved.pdf,04-14-26 minutes_Approved.pdf,Approved,text,11304,
2026-05-05,Weber County Planning Commission,land_use/minutes/2026/2026-05-05_weber_county_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/05-05-26 minutes_Approved.pdf,05-05-26 minutes_Approved.pdf,Approved,text,23216,
2021-02-09,Western Weber Planning Commission,land_use/minutes/2021/2021-02-09_western_weber_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021-WWPC-Feb-9_minutes.pdf,2021-WWPC-Feb-9_minutes.pdf,Unlabeled,text,3522,
2021-03-09,Western Weber Planning Commission,land_use/minutes/2021/2021-03-09_western_weber_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021-WWPC-March-9_2021_minutes_Approved.pdf,2021-WWPC-March-9_2021_minutes_Approved.pdf,Approved,text,7393,
2021-04-13,Western Weber Planning Commission,land_use/minutes/2021/2021-04-13_western_weber_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021-WWPC-April-13_minutes-approved.pdf,2021-WWPC-April-13_minutes-approved.pdf,Approved,text,9672,
2021-05-04,Western Weber Planning Commission,land_use/minutes/2021/2021-05-04_western_weber_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021_May_4_ OVPC_minutes.docx,2021_May_4_ OVPC_minutes.docx,Unlabeled,text,3030,
2021-09-21,Western Weber Planning Commission,land_use/minutes/2021/2021-09-21_western_weber_pc.md,"https://www.webercountyutah.gov/planning/documents/uploads/2021-WWPC_Sept. 21, 2021 minutes approved.pdf","2021-WWPC_Sept. 21, 2021 minutes approved.pdf",Approved,text,25465,
2021-10-12,Western Weber Planning Commission,land_use/minutes/2021/2021-10-12_western_weber_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021 WWPC Oct 12 minutes approved.pdf,2021 WWPC Oct 12 minutes approved.pdf,Approved,text_ocr,32143,"scanned image, recovered via OCR"
2021-11-09,Western Weber Planning Commission,land_use/minutes/2021/2021-11-09_western_weber_pc.md,"https://www.webercountyutah.gov/planning/documents/uploads/2021 WWPC Nov 9, 2021 Minutes APPROVED.rtf","2021 WWPC Nov 9, 2021 Minutes APPROVED.rtf",Approved,text,40962,
2021-11-16,Western Weber Planning Commission,land_use/minutes/2021/2021-11-16_western_weber_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021 WWPC Nov 16 Minutes APPROVED.docx,2021 WWPC Nov 16 Minutes APPROVED.docx,Approved,text,19317,
2021-12-14,Western Weber Planning Commission,land_use/minutes/2021/2021-12-14_western_weber_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2021-WWPC Dec 14 minutes-Approved (1).pdf,2021-WWPC Dec 14 minutes-Approved (1).pdf,Approved,text,22214,
2022-01-04,Western Weber Planning Commission,land_use/minutes/2022/2022-01-04_western_weber_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2022-WWPC  Jan 4 Minutes.docx,2022-WWPC  Jan 4 Minutes.docx,Unlabeled,text,11092,
2022-02-08,Western Weber Planning Commission,land_use/minutes/2022/2022-02-08_western_weber_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2022-WWPC  Feb 8 Minutes.pdf,2022-WWPC  Feb 8 Minutes.pdf,Unlabeled,text,16098,
2022-03-01,Western Weber Planning Commission,land_use/minutes/2022/2022-03-01_western_weber_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2022-WWPC  March 1 Minutes.pdf,2022-WWPC  March 1 Minutes.pdf,Unlabeled,text,14431,
2022-04-06,Western Weber Planning Commission,land_use/minutes/2022/2022-04-06_western_weber_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2022-WWPC  April 6 Minutes.pdf,2022-WWPC  April 6 Minutes.pdf,Unlabeled,text,4425,
2022-04-12,Western Weber Planning Commission,land_use/minutes/2022/2022-04-12_western_weber_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2022-WWPC  April 12 Minutes.pdf,2022-WWPC  April 12 Minutes.pdf,Unlabeled,text,14710,
2022-05-10,Western Weber Planning Commission,land_use/minutes/2022/2022-05-10_western_weber_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/2022-WWPC  May 10 Minutes.pdf,2022-WWPC  May 10 Minutes.pdf,Unlabeled,text,12900,
