slug,url,file,bytes,sha256,retrieved,note
2023-woodland-hills-city-council-1,https://www.rcvis.com/v/2023-woodland-hills-city-council-1,2023-woodland-hills-city-council-1.json,431,59a13a4080ff753f6300a5190b0d0bc3f09f0a0a45e36321fe9352d7fa75d287,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-woodland-hills-city-council-2,https://www.rcvis.com/v/2023-woodland-hills-city-council-2,2023-woodland-hills-city-council-2.json,398,28a96e8cf1f6aad00171753883ddbe587a38e0b66be56c9b7ef1e40aacd710bf,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-woodland-hills-city-council-3,https://www.rcvis.com/v/2023-woodland-hills-city-council-3,2023-woodland-hills-city-council-3.json,881,527af015dd6827c3687ddec2a6bfb10b590f1869e8742de5607a32d68b42707f,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-woodland-hills-city-council,https://www.rcvis.com/v/2023-woodland-hills-city-council,2023-woodland-hills-city-council.json,881,5fe58e283a3795c8a0ae76282c3522416f9b91c64fb2e7f981e5279e23b08ccf,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_er_m_u4,https://www.rcvis.com/v/21g_er_m_u4,21g_er_m_u4.json,733,171977ffff7661ce9c161c2826f45bccb38e79eb9748469dc3cf258587bd1cfd,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_ge_cc_1_u4,https://www.rcvis.com/v/21g_ge_cc_1_u4,21g_ge_cc_1_u4.json,373,55349a23b8eac06e6b8f4fce2055ad131945f8930792bd51e6a87cf27249ca07,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_ge_cc_2_u4,https://www.rcvis.com/v/21g_ge_cc_2_u4,21g_ge_cc_2_u4.json,350,de485e5974d7bc2bc07f9a668bff5370c9a41d4c6646755541e1e90be828503d,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_le_cc_1_u4,https://www.rcvis.com/v/21g_le_cc_1_u4,21g_le_cc_1_u4.json,4094,17f69213ae225ffbe424c65052179d144eb48b6cc70896da80c0d253e18bcf93,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_le_cc_2_u4,https://www.rcvis.com/v/21g_le_cc_2_u4,21g_le_cc_2_u4.json,3413,941cf98b5ffe69aa91f3775a5771f6846dfae683c7b583eb2b84454b700213b4,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_sp_cc2y_u4,https://www.rcvis.com/v/21g_sp_cc2y_u4,21g_sp_cc2y_u4.json,731,8e28409676f401f63c2000a742f0da1d5d160b8b285cff75ad6a2be28c9523f9,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_sp_cc4y_1_u4,https://www.rcvis.com/v/21g_sp_cc4y_1_u4,21g_sp_cc4y_1_u4.json,2810,be8f5ac6ed480c0686f3104280e0b05c67a4a5d67f001193b8507c2723e0148b,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_sp_cc4y_2_u4,https://www.rcvis.com/v/21g_sp_cc4y_2_u4,21g_sp_cc4y_2_u4.json,2179,c4bb621cc2f7bfdc7a94e9f499300076a32e355badd9146cb2fbb227ff0d6612,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_sp_m_u4,https://www.rcvis.com/v/21g_sp_m_u4,21g_sp_m_u4.json,379,2d11759fffaafd33cc0750a6bf719e3e56c01053a564180f6f0a9349695b5e09,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_vi_cc_1_u4,https://www.rcvis.com/v/21g_vi_cc_1_u4,21g_vi_cc_1_u4.json,885,e22d9c7ef325f080b5896b168b459ae1e2c1bbe604259ed198bf855416730163,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_vi_cc_2_u4,https://www.rcvis.com/v/21g_vi_cc_2_u4,21g_vi_cc_2_u4.json,1125,5e07625ff96bd240a1a8f5732d866e198c6f2b398ea6cef3f3d235482eebb1d4,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_vi_m_u4,https://www.rcvis.com/v/21g_vi_m_u4,21g_vi_m_u4.json,376,bfca617c240d21bfdf97832720feedfe191ef8c7ca2e510ca841b75cf0cf450a,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_wh_cc_1_u4,https://www.rcvis.com/v/21g_wh_cc_1_u4,21g_wh_cc_1_u4.json,1142,3442a426306e290c9bcf8799e82dc8178866dfcfc77c6af69715c8ebac764ddb,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_wh_cc_2_u4,https://www.rcvis.com/v/21g_wh_cc_2_u4,21g_wh_cc_2_u4.json,757,e5004e05cf549f9113f22bc3f3891dbec7f11ddb85d458d8b7e0998b641d5821,2026-07-20,embedded rawDataId JSON archived from the rcvis page
21g_wh_m_u4,https://www.rcvis.com/v/21g_wh_m_u4,21g_wh_m_u4.json,737,a4e68be1d46ce1f16cf0dd6c54fcae56fe0d07997c36ae6d34d0e5f77209a008,2026-07-20,embedded rawDataId JSON archived from the rcvis page
