year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2015,municipal general,Council,2,Riverton City Council District 2,RIVERTON CITY COUNCIL DIST 2,1,2,plurality,1644,,TRICIA TINGEY,876,53.28,JASON R BEST,768,108,6.57,4052,,,False,False,,2015-11-03-municipal-general-election-statement-of-votes-cast.zip
2015,municipal general,Council,5,Riverton City Council District 5,RIVERTON CITY COUNCIL DIST 5,1,2,plurality,1627,,WM. BRENT JOHNSON,1026,63.06,PERRY HOWARD NEWMAN,601,425,26.12,3538,,,False,False,,2015-11-03-municipal-general-election-statement-of-votes-cast.zip
2017,municipal general,Council,3,Riverton City Council District 3,RIVERTON CITY CNCL DIST 3,1,2,plurality,1884,,TAWNEE MCCAY,994,52.76,PAUL WAYMAN,890,104,5.52,3823,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal general,Council,4,Riverton City Council District 4,RIVERTON CITY CNCL DIST 4,1,2,plurality,2281,,TISH R. BUROKER,1213,53.18,DARREN J. PARK,1068,145,6.36,4644,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal general,Mayor,,Riverton City Mayor,RIVERTON CITY MAYOR,1,2,plurality,9096,,TRENT STAGGS,5427,59.66,BILL APPLEGARTH,3669,1758,19.33,20353,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2019,municipal general,Council,1,Riverton City Council District 1,RIVERTON CITY COUNCIL DISTRICT 1,1,1,plurality,498,,SHELDON B. STEWART,498,100.0,,0,498,100.0,3845,,,True,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal general,Council,2,Riverton City Council District 2,RIVERTON CITY COUNCIL DISTRICT 2,1,2,plurality,1832,,TROY D MCDOUGAL,1174,64.08,TRACIE HALVORSEN,658,516,28.17,4821,,,False,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal general,Council,5,Riverton City Council District 5,RIVERTON CITY COUNCIL DISTRICT 5,1,2,plurality,1531,,CLAUDE WELLS,846,55.26,STEVEN WINTERS,685,161,10.52,4217,,,False,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal primary,Council,2,Riverton City Council District 2,RIVERTON CITY COUNCIL DISTRICT 2,1,4,plurality,1337,,TROY D MCDOUGAL,591,44.2,TRACIE HALVORSEN,431,160,11.97,4799,,,False,False,,2019-08-13-municipal-primary-sovc.xlsx
2019,municipal primary,Council,5,Riverton City Council District 5,RIVERTON CITY COUNCIL DISTRICT 5,1,3,plurality,1176,,CLAUDE WELLS,589,50.09,STEVEN WINTERS,300,289,24.57,4178,,,False,False,,2019-08-13-municipal-primary-sovc.xlsx
2021,municipal general,Council,3,Riverton City Council District 3,RIVERTON CITY COUNCIL DISTRICT 3,1,1,plurality,863,,TAWNEE MCCAY,863,100.0,,0,863,100.0,5033,1012,20.11,True,False,,november-2-2021-general-election-statement-of-votes-cast.xlsx
2021,municipal general,Council,4,Riverton City Council District 4,RIVERTON CITY COUNCIL DISTRICT 4,1,1,plurality,1160,,TISH BUROKER,1160,100.0,,0,1160,100.0,5604,1389,24.79,True,False,,november-2-2021-general-election-statement-of-votes-cast.xlsx
2021,municipal general,Mayor,,Riverton City Mayor,RIVERTON CITY MAYOR,1,1,plurality,4973,,TRENT STAGGS,4973,100.0,,0,4973,100.0,25475,5148,20.21,True,False,,november-2-2021-general-election-statement-of-votes-cast.xlsx
2023,municipal general,Council,1,Riverton City Council District 1,RIVERTON CITY COUNCIL DISTRICT 1,1,1,plurality,416,,ANDY PIERUCCI,416,100.0,,0,416,100.0,3885,433,11.15,True,False,,statementofvotescastrpt-official-report-12-05-2023-5.22pm.xlsx
2023,municipal general,Council,2,Riverton City Council District 2,RIVERTON CITY COUNCIL DISTRICT 2,1,2,plurality,1847,,TROY MCDOUGAL,945,51.16,DAVID GATTI,902,43,2.33,5133,1849,36.02,False,False,,statementofvotescastrpt-official-report-12-05-2023-5.22pm.xlsx
2023,municipal general,Council,5,Riverton City Council District 5,RIVERTON CITY COUNCIL DISTRICT 5,1,2,plurality,1818,,SPENCER HAYMOND,1142,62.82,STEVEN WINTERS,676,466,25.63,5406,1819,33.65,False,False,,statementofvotescastrpt-official-report-12-05-2023-5.22pm.xlsx
2025,municipal general,Council,3,Riverton City Council District 3,RIVERTON CITY COUNCIL DISTRICT 3,1,2,plurality,2248,,ALEXANDER A. JOHNSON,1546,68.77,RUSTY LANCE,702,844,37.54,5774,2358,40.84,False,False,,2025-general-election-statementofvotescastrpt.xlsx
2025,municipal general,Council,4,Riverton City Council District 4,RIVERTON CITY COUNCIL DISTRICT 4,1,2,plurality,2799,,SHANNON SMITH,1987,70.99,DARREN J. PARK,812,1175,41.98,5705,2811,49.27,False,False,,2025-general-election-statementofvotescastrpt.xlsx
2025,municipal general,Mayor,,Riverton City Mayor,RIVERTON CITY MAYOR,1,2,plurality,10971,,TISH BUROKER,7687,70.07,TAWNEE MCCAY,3284,4403,40.13,26518,11004,41.5,False,False,,2025-general-election-statementofvotescastrpt.xlsx
2025,municipal primary,Mayor,,Riverton City Mayor,RIVERTON CITY MAYOR,1,3,plurality,7444,,TISH BUROKER,4492,60.34,TAWNEE MCCAY,2471,2021,27.15,26773,7463,27.88,False,False,,final_official_statementofvotescastrpt_20250826.xlsx
