ordinance_no,variant,date,motion_no,body,verb,outcome,is_adoption,motion
359,,2021-06-15,4,Council,approve,pass,True,"MOTION: Council Member Mikell moved to approve Ordinance 359. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Mikell-Aye, Coun"
360,,2021-06-21,1,Council,approve,pass,True,MOTION: Council Member Bruce moved to approve Ordinance 360 adopting additional restrictions on the use of all fireworks and to include restrictions in all area
361,A,2021-07-06,4,Council,approve,pass,True,MOTION: Council Member Bruce moved to approve Ordinance 361-A approving a General Plan Amendment for .196 acres of real property at 7432 South 2300 East. The mo
362,A,2021-07-06,5,Council,approve,pass,True,MOTION: Council Member Petersen moved to approve Ordinance 362-A approving the rezone of .916 acres of real property located at 7432 South 2300 East. The motion
363,A,2021-08-03,2,Council,approve,pass,True,MOTION: Council Member Bracken moved to approve Ordinance 363-A. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye
364,,2021-08-03,3,Council,approve,pass,True,MOTION: Council Member Petersen moved to approve Ordinance 364 excluding the Micro Trenching fee. The motion was seconded by Council Member Mikell. Vote on moti
365,,2021-08-17,3,Council,approve,pass,True,"MOTION: Council Member Bruce moved to APPROVE Ordinance 365. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Co"
366,,2021-08-17,4,Council,approve,pass,True,"MOTION: Council Member Bracken moved to APPROVE Ordinance 366. The motion was seconded by Council Member Bruce. Vote on motion: Council Member Petersen-Aye, Cou"
367,,2021-08-17,5,Council,approve,pass,True,"MOTION: Council Member Bracken moved to APPROVE Ordinance 367. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, "
368,,2021-09-21,2,Council,adopt,pass,True,"MOTION: Council Member Bracken moved to adopt Ordinance 368. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Co"
369,,2021-10-05,5,Council,approve,pass,True,MOTION: Council Member Bracken moved to APPROVE Ordinance 369 approving an amendment to the 2021-2022 Budget. The motion was seconded by Council Member Petersen
370,,2021-10-19,3,Council,adopt,pass,True,MOTION: Council Member Petersen moved to ADOPT Ordinance 370 amending Code Chapter 19.89 regarding Short-Term Rentals. The motion was seconded by Council Member
371,,2021-11-16,4,Council,approve,pass,True,MOTION: Council Member Bracken moved to approve Ordinance 371. The motion was seconded by Council Member Petersen
372,,2021-12-14,3,Council,approve,pass,True,"MOTION: Council Member Petersen moved to approve Ordinance 372. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Mikell-Aye, Co"
373,,2021-12-14,4,Council,approve,pass,True,"MOTION: Council Member Mikell moved to approve Ordinance 373. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Cou"
374,,2022-01-18,2,Council,approve,pass,True,"MOTION: Council Member Petersen moved to approve Ordinance 374. The motion was seconded by Council Member Newell. Vote on motion: Council Member Petersen-Aye, C"
375,,2022-02-15,3,Council,approve,pass,True,"MOTION: Council Member Bracken moved to approve Ordinance 375. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, "
376,,2022-03-01,4,Council,approve,pass,True,"MOTION: Council Member Newell moved to APPROVE Ordinance 376. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, C"
377,,2022-03-01,5,Council,approve,pass,True,"MOTION: Council Member Bracken moved to APPROVE Ordinance 377. The motion was seconded by Council Member Newell. Vote on motion: Council Member Petersen-Aye, Co"
378,,2022-04-05,2,Council,approve,pass,True,MOTION: Council Member Petersen moved to APPROVE Ordinance 378 – Amending the City’s Code of Ordinances Concerning Waterwise Landscaping Standards. The motion w
379,D,2022-04-19,2,Council,approve,pass,True,MOTION: Council Member Petersen moved to APPROVE Ordinance 379-D denying a General Plan Amendment for .95 acre of real estate at 3526 East Fort Union Boulevard 
380,D,2022-04-19,3,Council,approve,pass,True,MOTION: Council Member Bracken moved to APPROVE Ordinance 380-D denying the rezone of .95-acre of real property located at 3526 East Fort Union Boulevard from R
381,,2022-04-19,4,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 381 amending Code Chapter 11.22 concerning the Permit Parking Program. The motion was seconded by Counc
382,,2022-04-19,5,Council,approve,pass,True,MOTION: Council Member Birrell moved to APPROVE Ordinance 382 amending Code Chapter 14.12 concerning roadway design. The motion was seconded by Council Member N
383,,2022-05-17,2,Council,approve,pass,True,"MOTION: Council Member Bracken moved to approve Ordinance 383. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, "
384,,2022-06-21,4,Council,approve,pass,True,"MOTION: Council Member Newell moved to APPROVE Ordinance 384. The motion was seconded by Council Member Birrell. Vote on motion: Council Member Bracken-Aye, Cou"
385,D,2022-07-05,3,Council,approve,pass,True,MOTION: Council Member Petersen moved to APPROVE Ordinance 385-D - Denying the Rezone of 0.85 acres of real property located at 3526 East Fort Union Boulevard f
386,,2022-08-02,3,Council,approve,pass,True,"MOTION: Council Member Newell moved to APPROVE Ordinance 386. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, C"
387,,2022-08-16,2,Council,approve,pass,True,MOTION: Council Member Bracken moved to APPROVE Ordinance 387 – Approving the Vacation and Consolidation with Adjoining City-Owned Realty of a Portion of the 30
388,,2022-11-01,2,Council,approve,pass,True,MOTION: Council Member Bracken moved to APPROVE Ordinance 388 – Approving an Amendment to the 2022- 2023 Budget. The motion was seconded by Council Member Birre
393,,2023-02-07,3,Council,approve,pass,True,"MOTION: Council Member Newell moved to APPROVE Ordinance 393, Approving an Amendment to the 2022-2023 Budget. The motion was seconded by Council Member Petersen"
394,,2023-02-21,3,Council,approve,pass,True,"MOTION: Council Member Bracken moved to APPROVE Ordinance 394. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, "
395,,2023-04-04,2,Council,approve,pass,True,"MOTION: Council Member Newell moved to APPROVE Ordinance 395 – Amending Title 17, Cottonwood Heights Code of Ordinances, Concerning Storm Water Management. The "
396,,2023-06-20,2,Council,approve,pass,True,"MOTION: Council Member Newell moved to APPROVE Ordinance 396. The motion was seconded by Council Member Holton. Vote on motion: Council Member Bracken-Aye, Coun"
397,,2023-06-20,3,Council,approve,pass,True,"MOTION: Council Member Bracken moved to APPROVE Ordinance 397. The motion was seconded by Council Member Newell. Vote on motion: Council Member Bracken-Aye, Cou"
398,,2023-07-11,4,Council,approve,pass,True,"MOTION: Council Member Holton moved to APPROVE Ordinance 398. The motion was seconded by Council Member Birrell. Vote on motion: Council Member Bracken-Aye, Cou"
399,,2023-08-01,3,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 399 – Adopting an Amended Budget for Fiscal Year 2023-2024. The motion was seconded by Council Member H
400,A,2023-08-01,4,Council,approve,pass,True,MOTION: Council Member Holton moved to APPROVE Ordinance 400-A – Approving a General Plan Amendment for 3.049 Acres of Realty at 6581 South Big Cottonwood Canyo
401,A,2023-08-01,5,Council,approve,pass,True,MOTION: Council Member Bracken moved to APPROVE Ordinance 401-A – Approving the Rezone of 3.049 Acres of Realty at 6581 South Big Cottonwood Canyon Road from Fo
402,,2023-09-05,3,Council,approve,pass,True,MOTION: Council Member Bracken moved to APPROVE Ordinance 402 – Establishing Temporary Land Use Regulations for Non-Vegetative Outdoor Playing Areas and Commenc
403,,2023-09-19,4,Council,table,pass,False,"MOTION: Council Member Holton moved to TABLE Consideration of Ordinance 403 - Amending Code Chapter 19.72, Sensitive Lands Evaluation and Development Standards "
403,,2023-10-03,7,Council,approve,pass,True,"MOTION: Council Member Bracken moved to APPROVE Ordinance 403. The motion was seconded by Council Member Birrell. Vote on motion: Council Member Bracken-Aye, Co"
404,,2023-10-03,8,Council,approve,pass,True,"MOTION: Council Member Holton moved to APPROVE Ordinance 404. The motion was seconded by Council Member Newell. Vote on motion: Council Member Bracken-Aye, Coun"
405,,2023-11-21,3,Council,approve,pass,True,MOTION: Council Member Bracken moved to APPROVE Ordinance 405. The motion was seconded by Council Member Newell. Council Member Birrell appreciated Staff and th
406,,2023-12-05,4,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 406 – Adopting an Annual Meeting Schedule for 2024. Council Member Birrell seconded the motion. Vote on
407,,2024-01-16,2,Council,approve,pass,True,MOTION: Council Member Hyland moved to APPROVE Consideration of Ordinance 407 Amending Code Section 11.20.060 reducing the number of hours to 12. Council Birrel
407,,2024-01-16,2,Council,approve,pass,True,MOTION: Council Member Hyland moved to APPROVE Consideration of Ordinance 407 Amending Code Section 11.20.060 reducing the number of hours to 12. Council Birrel
408,,2024-02-06,2,Council,approve,pass,True,MOTION: Council Member Hyland moved to APPROVE Ordinance 408 – Adopting an Amended Budget for Fiscal Year 2023-2024. The motion was seconded by Council Member H
409,,2024-02-06,3,Council,approve,pass,True,MOTION: Council Member Holton moved to APPROVE Ordinance 409 – Amending Code Section 11.20.050 Concerning Prohibited Parking of Vehicles. The motion was seconde
410,A,2024-02-20,3,Council,approve,pass,True,MOTION: Council Member Holton moved to APPROVE Adoption of Ordinance 410-A a Re- zone of .45-acre of realty located at 7980 South Danish Oak Drive. Council Memb
411,,2024-03-05,2,Council,approve,pass,True,"MOTION: Council Member Hyland moved to APPROVE Ordinance 411. The motion was seconded by Council Member Birrell. Vote: Council Member Holton – Yes, Council Memb"
412,,2024-04-02,3,Council,approve,pass,True,"MOTION: Council Member Birrell moved to APPROVE Ordinance 412. Council Member Hyland seconded the motion. Vote: Council Member Holton-Yes, Council Member Hyland"
413,,2024-04-16,3,Council,approve,pass,True,"MOTION: Council Member Holton moved to APPROVE Ordinance 413, Amending Code Chapter 2.30. The motion was seconded by Council Member Hyland. Vote on motion: Coun"
414,,2024-04-16,4,Council,approve,pass,True,"MOTION: Council Member Birrell moved to APPROVE Ordinance 414, Adopting and Amended Budget for FY 2023-2024. The motion was seconded by Council Member Hyland. V"
415,,2024-04-16,5,Council,approve,pass,True,"MOTION: Council Member Birrell moved to APPROVE Ordinance 415, Adopting a Comprehensive Emergency Management Plan. The motion was seconded by Council Member Hol"
416,,2024-05-21,5,Council,approve,pass,True,MOTION: Council Member Holton moved to APPROVE Ordinance 416 with the amended Title 15 definition to state that “non-historic structure means any building or st
417,,2024-06-18,3,Council,approve,pass,True,"MOTION: Council Member Holton moved to APPROVE Ordinance 417 – Adopting an Amended Budget for July 1, 2023, through June 30, 2024. The motion was seconded by Co"
418,,2024-06-18,4,Council,approve,pass,True,"MOTION: Council Member Hyland moved to APPROVE Ordinance 418 – Approving a Final Budget for July 1, 2024, through June 30, 2024. The motion was seconded by Coun"
419,,2024-07-16,2,Council,continue,pass,False,MOTION: Council Member Hyland moved to CONTINUE consideration of Ordinance 419 to allow the Council Members to submit comments to Staff for the proposed new Sec
419,,2024-08-06,2,Council,continue,pass,False,MOTION: Council Member Birrell moved to CONTINUE Ordinance 419 to a date uncertain. Council Member Hyland seconded the motion
420,,2024-08-20,2,Council,approve,pass,True,"MOTION: Council Member Hyland moved to APPROVE Ordinance 420. The motion was seconded by Council Member Newell. Vote on motion: Council Member Holton – Yes, Cou"
421,,2024-09-10,5,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 421 – Amending Title 19 of the Cottonwood Heights Code of Ordinances. The motion was seconded by Counci
2024-58,,2024-09-10,6,Council,approve,pass,True,MOTION: Council Member Holton moved to APPROVE Ordinance 2024-58 – Declaring Certain Property Surplus. The motion was seconded by Council Member Hyland. Vote on
422,,2024-10-01,3,Council,approve,pass,True,"MOTION: Council Member Newell moved to APPROVE Ordinance 422 – Amending Chapter 9.05, Cottonwood Heights Code of Ordinances, Regarding Nuisances. The motion was"
423,,2024-11-12,2,Council,approve,pass,True,"MOTION: Council Member Hyland moved to APPROVE Ordinance 423. The motion was seconded by Council Member Holton. Vote on the motion: Council Member Holton – Yes,"
424,,2024-11-12,3,Council,approve,pass,True,"MOTION: Council Member Holton moved to APPROVE Ordinance 424. The motion was seconded by Council Member Hyland. Vote on motion: Council Member Birrell – Yes, Co"
425,,2024-11-19,5,Council,approve,pass,True,MOTION: Council Member Birrell moved to APPROVE Ordinance 425 – Amending the Wasatch Boulevard Master Plan Element of the City’s General Plan. The motion was se
426,,2024-12-03,3,Council,approve,pass,True,"MOTION: Council Member Newell moved to APPROVE Ordinance 426. The motion was seconded by Council Member Hyland. Vote on motion: Council Member Holton – Yes, Cou"
419,,2024-12-17,4,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 419 – Amending Code Chapter 2.140 to Add the “Health in the Heights” Advisory Committee. The motion was
427,,2024-12-17,5,Council,approve,pass,True,MOTION: Council Member Holton moved to APPROVE Ordinance 427 – Approving the Tavaci Annexation. The motion was seconded by Council Member Hyland. Vote on Motion
428,,2024-12-17,6,Council,approve,pass,True,MOTION: Council Member Hyland moved to APPROVE Ordinance 428 – Amending Code Section 19.89.190 Regarding Short-Term Rental Violation Penalties. The motion was s
429,,2025-01-07,4,Council,approve,pass,True,"MOTION: Council Member Holton moved to APPROVE Ordinance 429 Amending Titles 12, 14, and 19 of the Cottonwood Heights Code of Ordinances. The motion was seconde"
430,,2025-02-18,4,Council,approve,pass,True,MOTION: Council Member Birrell moved to APPROVE Ordinance 430 Approving the Third Amended Project Area Plan for the Canyon Centre CDA. The motion was seconded b
431,,2025-02-18,5,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 431 Confirming and Ratifying the “Tavaci” Annexation. The motion was seconded by Council Member Hyland.
432,,2025-02-18,6,Council,approve,pass,True,MOTION: Council Member Birrell moved to APPROVE Ordinance 432 Establishing Temporary Land Use Regulations for Live/Work Spaces and Commencing Proceedings to Ame
433,,2025-03-04,2,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 433 Enacting Chapter 11.34 of the Cottonwood Heights Code Concerning Electric Scooters. The motion was 
434,,2025-03-04,3,Council,approve,pass,True,MOTION: Council Member Hyland moved to APPROVE Ordinance 434 Amending Chapter 8.04 (“Definitions”) of the Cottonwood Heights Code. The motion was seconded by Co
435,,2025-03-18,2,Council,approve,pass,True,MOTION: Council Member Hyland moved to APPROVE Ordinance 435 – Approving the Rezone of 1.46 Acres of Realty located at 8145 South Pinecreek Lane from RR-1-43 (R
436,,2025-04-15,3,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 436 Amending the PDD-2 Zoning Ordinance Enacted Under Ordinance 363-A. The motion was seconded by Counc
363,A,2025-04-15,3,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 436 Amending the PDD-2 Zoning Ordinance Enacted Under Ordinance 363-A. The motion was seconded by Counc
437,,2025-04-15,4,Council,approve,pass,True,MOTION: Council Member Birrell moved to APPROVE Ordinance 437 Adopting an Amended Budget for 1 July 2024 through 30 June 2025. The motion was seconded by Counci
440,,2025-05-20,2,Council,approve,pass,True,MOTION: Council Member Hyland moved to APPROVE Ordinance 440 Approving “Creek Road West” Annexation and Imposing Temporary Zoning Regulations. The motion was se
441,A,2025-06-03,4,Council,table,pass,False,"MOTION: Council Member Holton moved to TABLE Ordinance 441-A and Ordinance 441-B to the July 15, 2025, City Council Meeting to allow time for a Development Agre"
441,B,2025-06-03,4,Council,table,pass,False,"MOTION: Council Member Holton moved to TABLE Ordinance 441-A and Ordinance 441-B to the July 15, 2025, City Council Meeting to allow time for a Development Agre"
442,A,2025-06-03,5,Council,table,pass,False,"MOTION: Council Member Holton moved to TABLE Ordinance 442-A and Ordinance 442-B to the July 15, 2025, City Council Meeting to allow time for a Development Agre"
442,B,2025-06-03,5,Council,table,pass,False,"MOTION: Council Member Holton moved to TABLE Ordinance 442-A and Ordinance 442-B to the July 15, 2025, City Council Meeting to allow time for a Development Agre"
443,,2025-06-17,2,Council,approve,pass,True,MOTION: Council Member Holton moved to APPROVE Ordinance 443 Approving a Final Budget for 1 July 2025 through 30 June 2026. The motion was seconded by Council M
444,,2025-06-17,3,Council,approve,pass,True,"MOTION: Council Member Hyland moved to APPROVE Ordinance 444 Amending Code Chapters 19.04 and 19.37 Regarding Neighborhood Commercial/Mixed Uses, as amended. Th"
445,,2025-07-01,2,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 445 – Amending Code Section 2.20.120 Concerning Campaign Finance Disclosure Requirements. The motion wa
446,,2025-07-01,3,Council,approve,pass,True,MOTION: Council Member Hyland moved to APPROVE Ordinance 446 – Approving the “Water Vista Way” Annexation. The motion was seconded by Council Member Birrell. Vo
441,A,2025-07-15,4,Council,continue,pass,False,"MOTION: Council Member Holton moved to CONTINUE Ordinance 441-A, Ordinance 442-A, and Resolution 2025-54 to the August 5, 2025, City Council Meeting. The motion"
442,A,2025-07-15,4,Council,continue,pass,False,"MOTION: Council Member Holton moved to CONTINUE Ordinance 441-A, Ordinance 442-A, and Resolution 2025-54 to the August 5, 2025, City Council Meeting. The motion"
447,,2025-07-15,5,Council,approve,pass,True,MOTION: Council Member Hyland moved to APPROVE Ordinance 447 – Confirming and Ratifying the “Creek Road West” Annexation. The motion was seconded by Council Mem
441,A,2025-08-05,3,Council,table,pass,False,"MOTION: Council Member Birrell moved to TABLE Ordinance 441-A, Ordinance 772-A, and Resolution 2025-54 to the August 19, 2025, City Council Meeting. The motion "
772,A,2025-08-05,3,Council,table,pass,False,"MOTION: Council Member Birrell moved to TABLE Ordinance 441-A, Ordinance 772-A, and Resolution 2025-54 to the August 19, 2025, City Council Meeting. The motion "
441,A,2025-08-19,2,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 441-A Approving a General Plan Amendment for .95 Acre of Realty at 3526 East Fort Union Boulevard from 
442,A,2025-08-19,3,Council,approve,pass,True,MOTION: Council Member Hyland moved to APPROVE Ordinance 442-A Approving the Rezone of .95 Acre of Real Property Located at 3526 East Fort Union Boulevard from 
448,,2025-09-16,3,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 448 – Adopting an Amended Budget for 1 July 2025 through 30 June 2026. The motion was seconded by Counc
439,,2025-10-21,4,Council,approve,pass,True,MOTION: Council Member Hyland moved to APPROVE Ordinance 439 Amending Title 19 of the City’s Code of Ordinances. The motion was seconded by Council Member Newel
449,,2025-11-18,5,Council,approve,pass,True,MOTION: Council Member Birrell moved to APPROVE Ordinance 449 Confirming and Ratifying the “Creek Road West” Annexation. The motion was seconded by Council Memb
450,,2025-11-18,6,Council,approve,pass,True,MOTION: Council Member Birrell moved to APPROVE Ordinance 450 Amending Chapters 9.65 and 15.08 of the Cottonwood Heights Code of Ordinances and Adopting a Wildl
451,,2025-11-18,7,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 451 Approving a Second Driveway Exception at 3396 East Antler Way. The motion was seconded by Council M
452,,2025-11-18,8,Council,approve,pass,True,MOTION: Council Member Birrell moved to APPROVE Ordinance 452 Approving a General Plan Amendment for .48 Acre of Realty at 3425 East Bengal Boulevard from Neigh
453,,2025-11-18,9,Council,approve,pass,True,MOTION: Council Member Birrell moved to APPROVE Ordinance 453 Approving the Re-zone of .48 Acre of Real Property Located at 3425 East Bengal Boulevard from NC (
454,,2025-12-16,2,Council,approve,pass,True,MOTION: Council Member Holton moved to APPROVE Ordinance 454 Amending Chapter 8.13 (Chickens) of the Cottonwood Heights Code. The motion was seconded by Council
458,,2026-01-06,2,Council,approve,pass,True,"MOTION: Council Member Hyland moved to APPROVE Ordinance 458 – Adopting an Annual Meeting Schedule for 2026, as amended to remove November 3, 2026, from the Cit"
459,,2026-01-06,3,Council,approve,pass,True,MOTION: Council Member Birell moved to APPROVE Ordinance 459 Imposing a Telecommunications Tax. The motion was seconded by Council Member Newell. Vote on Motion
460,,2026-01-06,4,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 460 Granting a Telecommunications Franchise. The motion was seconded by Council Member Birrell. Vote on
461,,2026-01-06,5,Council,approve,pass,True,MOTION: Council Member Hyland moved to APPROVE Ordinance 461 Amending the Cottonwood Heights Code Regarding Bonding of Officers. The motion was seconded by Coun
462,,2026-02-17,2,Council,approve,pass,True,"MOTION: Council Member Newell moved to APPROVE Ordinance 462 , Adopting an Amended Budget for 1 July 2025 through 30 June 2026. The motion was seconded by Counc"
463,,2026-04-21,2,Council,approve,pass,True,MOTION: Council Member Hyland moved to APPROVE Ordinance 463 Approving a Second Driveway Exception at 1720 East 6670 South. The motion was seconded by Council M
464,,2026-05-19,2,Council,table,fail,False,"MOTION: Council Member Birrell moved to TABLE Ordinance 464 Enacting Code Chapter 9.63, Community Clean Energy Program, to the June 2, 2026 City Council Meeting"
464,,2026-05-19,3,Council,approve,fail,False,"MOTION: Council Member Birrell moved to APPROVE Ordinance 464 Enacting Code Chapter 9.63, Community Clean Energy Program. The motion was seconded by Mayor Benni"
465,,2026-05-19,4,Council,approve,pass,True,MOTION: Council Member Newell moved to APPROVE Ordinance 465 Amending Code Sections 19.75.050 and 19.76.030 Regarding Separate Utility Meters. The motion was se
466,,2026-05-19,5,Council,approve,pass,True,MOTION: Council Member Birrell moved to APPROVE Ordinance 466 Adopting a Revised Map provided by UFA showing the hazardous areas in the City being closed to fir
467,,2026-05-19,6,Council,approve,pass,True,"MOTION: Council Member Hyland moved to APPROVE Ordinance 467 Granting a Cable TV System Franchise to Comcast of Utah II, Inc. The motion was seconded by Council"
