ord_num,key,filename,last_modified,size,url
412,cottonwoodheights/ordinances/documents/1712686862_Ordinance 412.pdf,1712686862_Ordinance 412.pdf,2024-04-09T18:21:03.000Z,430920,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1712686862_Ordinance%20412.pdf
413,cottonwoodheights/ordinances/documents/1716323930_Ordinance 413.pdf,1716323930_Ordinance 413.pdf,2024-05-21T20:38:51.000Z,2030999,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1716323930_Ordinance%20413.pdf
416,cottonwoodheights/ordinances/documents/1716566624_Ordinance No. 416 (Enacting and Codifying Chapter 15.15 Demolition of the CWH Code of Ordinances).pdf,1716566624_Ordinance No. 416 (Enacting and Codifying Chapter 15.15 Demolition of the CWH Code of Ordinances).pdf,2024-05-24T16:03:46.000Z,2288433,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1716566624_Ordinance%20No.%20416%20%28Enacting%20and%20Codifying%20Chapter%2015.15%20Demolition%20of%20the%20CWH%20Code%20of%20Ordinances%29.pdf
420,cottonwoodheights/ordinances/documents/1724684743_Ordinance No. 420 (Amending Chapter 9.05 CWH Code of Ordinances Regarding Nuisances).pdf,1724684743_Ordinance No. 420 (Amending Chapter 9.05 CWH Code of Ordinances Regarding Nuisances).pdf,2024-08-26T15:05:44.000Z,6129003,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1724684743_Ordinance%20No.%20420%20%28Amending%20Chapter%209.05%20CWH%20Code%20of%20Ordinances%20Regarding%20Nuisances%29.pdf
421,cottonwoodheights/ordinances/documents/1726243609_Ordinance 421.pdf,1726243609_Ordinance 421.pdf,2024-09-13T16:06:50.000Z,2483990,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1726243609_Ordinance%20421.pdf
422,cottonwoodheights/ordinances/documents/1728333763_Ordinance No. 422 Amending Ch 9.05 CWH Code of Ordinances Regarding Nuisances.pdf,1728333763_Ordinance No. 422 Amending Ch 9.05 CWH Code of Ordinances Regarding Nuisances.pdf,2024-10-07T20:42:44.000Z,436207,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1728333763_Ordinance%20No.%20422%20Amending%20Ch%209.05%20CWH%20Code%20of%20Ordinances%20Regarding%20Nuisances.pdf
424,cottonwoodheights/ordinances/documents/1732118262_Ordinance 424.pdf,1732118262_Ordinance 424.pdf,2024-11-20T15:57:43.000Z,162270,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1732118262_Ordinance%20424.pdf
,cottonwoodheights/ordinances/documents/1734978543_ORDINA~1.PDF,1734978543_ORDINA~1.PDF,2024-12-23T18:29:04.000Z,693597,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1734978543_ORDINA~1.PDF
,cottonwoodheights/ordinances/documents/1734986512_ORDINA~1.PDF,1734986512_ORDINA~1.PDF,2024-12-23T20:41:53.000Z,415815,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1734986512_ORDINA~1.PDF
429,"cottonwoodheights/ordinances/documents/1737751489_WST-Cottonwood Heights-Ordinance 429 Amending Code Titles 12, 14 and 19 (January 2025 Code Maintenance).pdf","1737751489_WST-Cottonwood Heights-Ordinance 429 Amending Code Titles 12, 14 and 19 (January 2025 Code Maintenance).pdf",2025-01-24T20:44:50.000Z,258086,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1737751489_WST-Cottonwood%20Heights-Ordinance%20429%20Amending%20Code%20Titles%2012%2C%2014%20and%2019%20%28January%202025%20Code%20Maintenance%29.pdf
433,cottonwoodheights/ordinances/documents/1742222558_Ordinance No 433.pdf,1742222558_Ordinance No 433.pdf,2025-03-17T14:42:39.000Z,886304,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1742222558_Ordinance%20No%20433.pdf
434,cottonwoodheights/ordinances/documents/1742224370_Ordinance No 434.pdf,1742224370_Ordinance No 434.pdf,2025-03-17T15:12:51.000Z,512932,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1742224370_Ordinance%20No%20434.pdf
432,cottonwoodheights/ordinances/documents/1745015060_Ordinance 432.pdf,1745015060_Ordinance 432.pdf,2025-04-18T22:24:22.000Z,704114,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1745015060_Ordinance%20432.pdf
438,cottonwoodheights/ordinances/documents/1747862311_Ordinance No 438.pdf,1747862311_Ordinance No 438.pdf,2025-05-21T21:18:32.000Z,433508,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1747862311_Ordinance%20No%20438.pdf
444,cottonwoodheights/ordinances/documents/1751386013_Ordinance No 444.pdf,1751386013_Ordinance No 444.pdf,2025-07-01T16:06:55.000Z,1335230,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1751386013_Ordinance%20No%20444.pdf
445,cottonwoodheights/ordinances/documents/1751484106_Ordinance No. 445 (An Ordinance Amending Section 2.20.120 of the Cottonwood Heights Code of Ordinances).pdf,1751484106_Ordinance No. 445 (An Ordinance Amending Section 2.20.120 of the Cottonwood Heights Code of Ordinances).pdf,2025-07-02T19:21:48.000Z,271184,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1751484106_Ordinance%20No.%20445%20%28An%20Ordinance%20Amending%20Section%202.20.120%20of%20the%20Cottonwood%20Heights%20Code%20of%20Ordinances%29.pdf
454,cottonwoodheights/ordinances/documents/1765824704_Ordinance No. 454 (An Ordinance Amending Chapter 8.13 (Chickens) Cottonwood Heights Code of Ordinances).pdf,1765824704_Ordinance No. 454 (An Ordinance Amending Chapter 8.13 (Chickens) Cottonwood Heights Code of Ordinances).pdf,2025-12-15T18:51:46.000Z,525193,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1765824704_Ordinance%20No.%20454%20%28An%20Ordinance%20Amending%20Chapter%208.13%20%28Chickens%29%20Cottonwood%20Heights%20Code%20of%20Ordinances%29.pdf
454,cottonwoodheights/ordinances/documents/1765824762_Ordinance No. 454 (An Ordinance Amending Chapter 8.13 (Chickens) Cottonwood Heights Code of Ordinances).pdf,1765824762_Ordinance No. 454 (An Ordinance Amending Chapter 8.13 (Chickens) Cottonwood Heights Code of Ordinances).pdf,2025-12-15T18:52:44.000Z,525193,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1765824762_Ordinance%20No.%20454%20%28An%20Ordinance%20Amending%20Chapter%208.13%20%28Chickens%29%20Cottonwood%20Heights%20Code%20of%20Ordinances%29.pdf
