ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,doc_source,variant_adopted,pmn_notice_id,pmn_notice_url,adoption_date_source,n_docs,linkage_note
354,2021-01-19,2021-01-19,"MOTION: Council Member Petersen moved to approve Ordinance 354. The motion was seconded by Council Member Mikell. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member ",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1635872299_Ord%20354%20%28Amending%20Sections%2011.22.130%20and%2011.22.140%20of%20the%20CWH%20Code%20of%20Ordinances%20Concerning%20Guest%20Permits%20in%20Permit%20Parking%20Areas%29.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/s3_1635872299_Ord354.pdf,no,Passed unanimously,2021-01-19,4,high,s3,,,,motion,2,"adopted via approve motion 4 on 2021-01-19; 2 PDFs (pmn,s3)"
355,2021-02-16,2021-02-16,"MOTION: Council Member Petersen moved to adopt Ordinance 355, Amending Section 19.51.060 Regarding Affordable Housing in the PDD Zone. The motion was seconded by Council Member Bruce. Vote on motion: ",https://www.utah.gov/pmn/files/688211.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f688211_Ord355.pdf,yes,Passed unanimously,2021-02-16,3,high,pmn,,658249,https://www.utah.gov/pmn/sitemap/notice/658249.html,motion,2,"adopted via adopt motion 3 on 2021-02-16; 2 PDFs (pmn,s3)"
356,2021-06-01,2021-06-01,MOTION: Council Member Mikell moved to APPROVE Ordinance 356 Approving an Amendment to the 2020-2021 Budget. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-A,https://www.utah.gov/pmn/files/731967.pdf,2026-07-13,na,,,no,Passed unanimously,2021-06-01,2,within_source,,,,,motion,0,adopted via approve motion 2 on 2021-06-01
357,2021-06-15,2021-06-15,"MOTION: Council Member Bracken moved to approve Ordinance 357-A. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Memb",https://www.utah.gov/pmn/files/731981.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f731981_Ord357-A.pdf,yes,Passed 4-to-1,2021-06-15,2,high,pmn,A,684098,https://www.utah.gov/pmn/sitemap/notice/684098.html,motion,1,adopted via approve motion 2 on 2021-06-15; variant 357-A
358,2021-06-15,2021-06-15,"MOTION: Council Member Bracken moved to approve Ordinance 358. The motion was seconded by Council Member Mikell. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member B",https://www.utah.gov/pmn/files/731983.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f731983_Ord358.pdf,no,Passed 4-to-1,2021-06-15,3,high,pmn,,684098,https://www.utah.gov/pmn/sitemap/notice/684098.html,motion,1,adopted via approve motion 3 on 2021-06-15
359,2021-06-15,2021-06-15,"MOTION: Council Member Mikell moved to approve Ordinance 359. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member B",https://www.utah.gov/pmn/files/731985.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f731985_Ord359.pdf,no,Passed 4-to-1,2021-06-15,4,high,pmn,,684098,https://www.utah.gov/pmn/sitemap/notice/684098.html,motion,1,adopted via approve motion 4 on 2021-06-15
360,2021-06-21,2021-06-21,MOTION: Council Member Bruce moved to approve Ordinance 360 adopting additional restrictions on the use of all fireworks and to include restrictions in all areas from 1300 East and eastward of Cottonw,https://www.utah.gov/pmn/files/733119.pdf,2026-07-13,text,pdftotext -layout (born-digital),raw/pmn_f733119_Ord360.pdf,no,Passed unanimously,2021-06-21,1,high,pmn,,685765,https://www.utah.gov/pmn/sitemap/notice/685765.html,motion,1,adopted via approve motion 1 on 2021-06-21
361,2021-07-06,2021-07-06,MOTION: Council Member Bruce moved to approve Ordinance 361-A approving a General Plan Amendment for .196 acres of real property at 7432 South 2300 East. The motion was seconded by Council Member Brac,https://www.utah.gov/pmn/files/737789.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f737789_Ord361-A.pdf,yes,Passed unanimously,2021-07-06,4,high,pmn,A,688185,https://www.utah.gov/pmn/sitemap/notice/688185.html,motion,1,adopted via approve motion 4 on 2021-07-06; variant 361-A
362,2021-07-06,2021-07-06,MOTION: Council Member Petersen moved to approve Ordinance 362-A approving the rezone of .916 acres of real property located at 7432 South 2300 East. The motion was seconded by Council Member Bruce. V,https://www.utah.gov/pmn/files/737791.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f737791_Ord362-A.pdf,yes,Passed unanimously,2021-07-06,5,high,pmn,A,688185,https://www.utah.gov/pmn/sitemap/notice/688185.html,motion,1,adopted via approve motion 5 on 2021-07-06; variant 362-A
363,2025-04-15,2025-04-15,MOTION: Council Member Newell moved to APPROVE Ordinance 436 Amending the PDD-2 Zoning Ordinance Enacted Under Ordinance 363-A. The motion was seconded by Council Member Hyland. Vote on Motion: Counci,https://www.utah.gov/pmn/files/747321.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f747321_Ord363-A.pdf,yes,Passed 3-to-1,2025-04-15,3,high,pmn,A,693377,https://www.utah.gov/pmn/sitemap/notice/693377.html,motion,1,adopted via approve motion 3 on 2025-04-15; variant 363-A
364,2021-08-03,2021-08-03,"MOTION: Council Member Petersen moved to approve Ordinance 364 excluding the Micro Trenching fee. The motion was seconded by Council Member Mikell. Vote on motion: Council Member Petersen-Aye, Council",https://www.utah.gov/pmn/files/747323.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f747323_Ord364.pdf,no,Passed unanimously,2021-08-03,3,high,pmn,,693377,https://www.utah.gov/pmn/sitemap/notice/693377.html,motion,1,adopted via approve motion 3 on 2021-08-03
365,2021-08-17,2021-08-17,"MOTION: Council Member Bruce moved to APPROVE Ordinance 365. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Member",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1634228400_Ord365%20-%20R-1-6.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/s3_1634228400_Ord365.pdf,yes,Passed unanimously,2021-08-17,3,high,s3,,,,motion,1,adopted via approve motion 3 on 2021-08-17
366,2021-08-17,2021-08-17,"MOTION: Council Member Bracken moved to APPROVE Ordinance 366. The motion was seconded by Council Member Bruce. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Member ",https://www.utah.gov/pmn/files/759523.pdf,2026-07-13,na,,,no,Passed unanimously,2021-08-17,4,within_source,,,,,motion,0,adopted via approve motion 4 on 2021-08-17
367,2021-08-17,2021-08-17,"MOTION: Council Member Bracken moved to APPROVE Ordinance 367. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Memb",https://www.utah.gov/pmn/files/759523.pdf,2026-07-13,na,,,no,Passed unanimously,2021-08-17,5,within_source,,,,,motion,0,adopted via approve motion 5 on 2021-08-17
368,2021-09-21,2021-09-21,"MOTION: Council Member Bracken moved to adopt Ordinance 368. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Member",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1634228851_Ordinance368%20-%20ADU.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/s3_1634228851_Ord368.pdf,yes,Passed unanimously,2021-09-21,2,high,s3,,,,motion,1,adopted via adopt motion 2 on 2021-09-21
369,2021-10-05,2021-10-05,MOTION: Council Member Bracken moved to APPROVE Ordinance 369 approving an amendment to the 2021-2022 Budget. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Peterse,https://www.utah.gov/pmn/files/768243.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f768243_Ord369.pdf,no,Passed unanimously,2021-10-05,5,high,pmn,,706455,https://www.utah.gov/pmn/sitemap/notice/706455.html,motion,1,adopted via approve motion 5 on 2021-10-05
370,2021-10-19,2021-10-19,MOTION: Council Member Petersen moved to ADOPT Ordinance 370 amending Code Chapter 19.89 regarding Short-Term Rentals. The motion was seconded by Council Member Bruce. Vote on motion: Council Member M,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1635367066_Ord%20370%20%28Amending%20Chapter%2019.89%20of%20the%20CWH%20Code%20of%20Ordinances%20Regarding%20Short-Term%20Rentals%29.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/s3_1635367066_Ord370.pdf,yes,Passed unanimously,2021-10-19,3,high,s3,,,,motion,2,"adopted via adopt motion 3 on 2021-10-19; 2 PDFs (pmn,s3)"
371,2021-11-16,2021-11-16,MOTION: Council Member Bracken moved to approve Ordinance 371. The motion was seconded by Council Member Petersen,https://www.utah.gov/pmn/files/783737.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f783737_Ord371.pdf,yes,Passed (unanimous consent),2021-11-16,4,high,pmn,,715795,https://www.utah.gov/pmn/sitemap/notice/715795.html,motion,1,adopted via approve motion 4 on 2021-11-16
372,2021-12-14,2021-12-14,"MOTION: Council Member Petersen moved to approve Ordinance 372. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member",https://www.utah.gov/pmn/files/793555.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f793555_Ord372.pdf,no,Passed unanimously,2021-12-14,3,high,pmn,,722354,https://www.utah.gov/pmn/sitemap/notice/722354.html,motion,1,adopted via approve motion 3 on 2021-12-14
373,2021-12-14,2021-12-14,"MOTION: Council Member Mikell moved to approve Ordinance 373. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member ",https://www.utah.gov/pmn/files/793557.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f793557_Ord373.pdf,no,Passed unanimously,2021-12-14,4,high,pmn,,722354,https://www.utah.gov/pmn/sitemap/notice/722354.html,motion,1,adopted via approve motion 4 on 2021-12-14
374,2022-01-18,2022-01-18,"MOTION: Council Member Petersen moved to approve Ordinance 374. The motion was seconded by Council Member Newell. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Membe",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1642609649_Ordinance%20374.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/s3_1642609649_Ord374.pdf,no,Passed unanimously,2022-01-18,2,high,s3,,,,motion,2,"adopted via approve motion 2 on 2022-01-18; 2 PDFs (pmn,s3)"
375,2022-02-15,2022-02-15,"MOTION: Council Member Bracken moved to approve Ordinance 375. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Memb",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1664561873_Ord%20375%20%28Amending%20Section%208.32.050%2C%20CWH%20Code%20of%20Ordinances%2C%20Concerning%20Animals%20in%20and%20upon%20Vehicles%29.pdf,2026-07-13,text,pdftotext -layout (born-digital),raw/s3_1664561873_Ord375.pdf,no,Passed unanimously,2022-02-15,3,high,s3,,,,motion,2,"adopted via approve motion 3 on 2022-02-15; 2 PDFs (pmn,s3)"
376,2022-03-01,2022-03-01,"MOTION: Council Member Newell moved to APPROVE Ordinance 376. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Membe",https://www.utah.gov/pmn/files/821709.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f821709_Ord376.pdf,no,Passed unanimously,2022-03-01,4,high,pmn,,738769,https://www.utah.gov/pmn/sitemap/notice/738769.html,motion,1,adopted via approve motion 4 on 2022-03-01
377,2022-03-01,2022-03-01,"MOTION: Council Member Bracken moved to APPROVE Ordinance 377. The motion was seconded by Council Member Newell. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Member",https://www.utah.gov/pmn/files/821711.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f821711_Ord377.pdf,no,Passed unanimously,2022-03-01,5,high,pmn,,738769,https://www.utah.gov/pmn/sitemap/notice/738769.html,motion,1,adopted via approve motion 5 on 2022-03-01
378,2022-04-05,2022-04-05,MOTION: Council Member Petersen moved to APPROVE Ordinance 378 – Amending the City’s Code of Ordinances Concerning Waterwise Landscaping Standards. The motion was seconded by Council Member Newell. Vo,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1649286691_Ordinance%20No.%20378%20-%20Waterwise%20Landscaping%20Ordinance.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/s3_1649286691_Ord378.pdf,no,Passed unanimously,2022-04-05,2,high,s3,,,,motion,2,"adopted via approve motion 2 on 2022-04-05; 2 PDFs (pmn,s3)"
379,2022-04-19,2022-04-19,MOTION: Council Member Petersen moved to APPROVE Ordinance 379-D denying a General Plan Amendment for .95 acre of real estate at 3526 East Fort Union Boulevard from Residential Office to Residential M,https://www.utah.gov/pmn/files/838191.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f838191_Ord379-D.pdf,yes,Passed 4-to-1,2022-04-19,2,high,pmn,D,749083,https://www.utah.gov/pmn/sitemap/notice/749083.html,motion,1,adopted via approve motion 2 on 2022-04-19; variant 379-D
380,2022-04-19,2022-04-19,MOTION: Council Member Bracken moved to APPROVE Ordinance 380-D denying the rezone of .95-acre of real property located at 3526 East Fort Union Boulevard from R-1-8 (Residential Single-Family) to R-2-,https://www.utah.gov/pmn/files/838193.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f838193_Ord380-D.pdf,yes,Passed unanimously,2022-04-19,3,high,pmn,D,749083,https://www.utah.gov/pmn/sitemap/notice/749083.html,motion,1,adopted via approve motion 3 on 2022-04-19; variant 380-D
381,2022-04-19,2022-04-19,MOTION: Council Member Newell moved to APPROVE Ordinance 381 amending Code Chapter 11.22 concerning the Permit Parking Program. The motion was seconded by Council Member Birrell. Vote on motion: Counc,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1650482920_Ordinance%20381.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/s3_1650482920_Ord381.pdf,no,Passed unanimously,2022-04-19,4,high,s3,,,,motion,2,"adopted via approve motion 4 on 2022-04-19; 2 PDFs (pmn,s3)"
382,2022-04-19,2022-04-19,MOTION: Council Member Birrell moved to APPROVE Ordinance 382 amending Code Chapter 14.12 concerning roadway design. The motion was seconded by Council Member Newell. Vote on motion: Council Member Pe,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1650491095_Ordinance%20382.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/s3_1650491095_Ord382.pdf,no,Passed unanimously (with one abstention),2022-04-19,5,high,s3,,,,motion,2,"adopted via approve motion 5 on 2022-04-19; 2 PDFs (pmn,s3)"
383,2022-05-17,2022-05-17,"MOTION: Council Member Bracken moved to approve Ordinance 383. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Memb",https://www.utah.gov/pmn/files/849873.pdf,2026-07-13,text,pdftotext -layout (born-digital),raw/pmn_f849873_Ord383.pdf,no,Passed unanimously,2022-05-17,2,high,pmn,,755725,https://www.utah.gov/pmn/sitemap/notice/755725.html,motion,1,adopted via approve motion 2 on 2022-05-17
384,2022-06-21,2022-06-21,"MOTION: Council Member Newell moved to APPROVE Ordinance 384. The motion was seconded by Council Member Birrell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member B",https://www.utah.gov/pmn/files/863217.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f863217_Ord384.pdf,no,Passed unanimously,2022-06-21,4,high,pmn,,763981,https://www.utah.gov/pmn/sitemap/notice/763981.html,motion,1,adopted via approve motion 4 on 2022-06-21
385,2022-07-05,2022-07-05,MOTION: Council Member Petersen moved to APPROVE Ordinance 385-D - Denying the Rezone of 0.85 acres of real property located at 3526 East Fort Union Boulevard from R-1-8 (Residential Single-Family) to,https://www.utah.gov/pmn/files/867285.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f867285_Ord385-D.pdf,yes,Passed unanimously,2022-07-05,3,high,pmn,D,766627,https://www.utah.gov/pmn/sitemap/notice/766627.html,motion,1,adopted via approve motion 3 on 2022-07-05; variant 385-D
386,2022-08-02,2022-08-02,"MOTION: Council Member Newell moved to APPROVE Ordinance 386. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Membe",https://www.utah.gov/pmn/files/876471.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f876471_Ord386.pdf,no,Passed unanimously,2022-08-02,3,high,pmn,,771977,https://www.utah.gov/pmn/sitemap/notice/771977.html,motion,1,adopted via approve motion 3 on 2022-08-02
