notice_id,notice_title,event_date,file_id,filename,label
1076503,Notice of Potential Quorum,2026/04/30 06:30 PM,1425275,PUBLIC NOTICE of POTENTIAL QUORUM for Town Hall Meeting - 4.30.2026.pdf,Public Information Handout
1073559,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2026/04/21 04:00 PM,1419607,4.21.2026 CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
1070263,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2026/04/07 04:00 PM,1413715,4.07.2026 CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
1067601,MAYOR AND CITY COUNCIL RETREAT AGENDA,2026/03/24 02:00 PM,1407795,Council Retreat Agenda 3.24.pdf,Public Information Handout
1067099,NOTICE OF POTENTIAL QUORUM,2026/03/20 05:30 PM,1406611,PUBLIC NOTICE of POTENTIAL QUORUM for YCC Mayor and Council Dinner - 3.18.2026.pdf,Public Information Handout
1066461,NOTICE OF MEETING CANCELLATION,2026/03/17 04:00 PM,1405543,CH CC Notice of Cancellation of March 17 2026 Meeting.pdf,Public Information Handout
1062473,"CITY COUNCIL WORK SESSION, CDRA AND BUSINESS MEETING AGENDAS",2026/03/03 04:00 PM,1397441,3.03.2026 CC Work Session CDRA and CC Business Meeting Agendas.pdf,Public Information Handout
1060005,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2026/02/17 04:00 PM,1392259,2.17.2026 CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
1056365,Notice of Public Hearing,2026/02/17 04:00 PM,1385113,Notice of Public Hearing on Budget Amendment for Fiscal Year 2025-2026 (February 2026).pdf,Public Information Handout
1053769,NOTICE OF POTENTIAL QUORUM,2026/01/29 09:00 AM,1380049,PUBLIC NOTICE of POTENTIAL QUORUM (Legislative Updates Zoom Calls) - 1.26.2026.pdf,Other
1053689,MAYOR AND CITY COUNCIL RETREAT AGENDA,2026/01/24 08:30 AM,1379851,Notice of Council Retreat and Agenda 1.24.2026.pdf,Other
1053703,NOTICE OF POTENTIAL QUORUM,2026/01/23 11:00 AM,1379875,PUBLIC NOTICE of POTENTIAL QUORUM - 1.21.2026.pdf,Other
1052393,"JOINT PLANNING COMMISSION/CITY COUNCIL WORK SESSION, CDRA. AND BUSINESS MEETING AGENDAS",2026/01/20 04:00 PM,1377503,1.20.2026 Joint PC-CC Work Session CDRA and CC Business Meeting Agendas.pdf,Public Information Handout
1049839,PRE-LEGISLATIVE SESSION BREAKFAST,2026/01/09 07:30 AM,1372545,01-09-2026 CH CC Pre-Legislative Breakfast Agenda.pdf,Public Information Handout
1048715,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2026/01/06 04:00 PM,1371457,1.06.2026 CC Work Session and CC Business Meeting Agendas.pdf,Audio Recording
1048487,City Council Oath of Office,2026/01/05 03:00 PM,1371141,01-05-2026 CH CC Oath of Office Agenda.pdf,Public Information Handout
1045045,"CITY COUNCIL WORK SESSION, CDRA. AND BUSINESS MEETING AGENDAS",2025/12/16 04:00 PM,1364773,12.16. 2025 CC Work Session CDRA and CC Business Meeting Agendas.pdf,Public Information Handout
1041115,JOINT PLANNING COMMISSION/CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2025/12/02 04:00 PM,1357241,12.02.2025 Joint PC-CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
1037639,"CITY COUNCIL WORK SESSION, CDRA. BOARD OF CANVASSERS AND BUSINESS MEETING AGENDAS",2025/11/18 04:00 PM,1350075,11.18. 2025 CC Work Session CDRA Board of Canvassers CC Business Meeting Agendas.pdf,Public Information Handout
1030797,"JOINT PLANNING COMMISSION/CITY COUNCIL WORK SESSION, CDRA AND BUSINESS MEETING AGENDAS",2025/10/21 04:00 PM,1337373,10.21.2025 Joint PC-CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
1026561,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2025/10/07 04:00 PM,1330297,10.7.2025 CC Work Session CDRA and CC Business Meeting Agendas.pdf,Public Information Handout
1023273,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2025/09/16 04:00 PM,1323391,9.16.2025 CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
1006029,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2025/08/19 04:00 PM,1308779,8.19.2025 CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
1008891,"CITY COUNCIL WORK SESSION, CDRA AND BUSINESS MEETING AGENDAS",2025/07/15 04:00 PM,1296851,7.15.2025 CC Work Session CDRA and CC Amended Business Meeting Agendas.pdf,Public Information Handout
1004469,Notice of Adoption given by The Cottonwood Heights Community Development and Renewal Agency of Resolutions and Interlocal Agreements by Various Taxing Entities,2025/06/19 08:00 AM,1288451,Class A Notice for Interlocal Agreements.pdf,Public Information Handout
1001613,Notice of Public Hearing - Proposed Compensation Increasers for Executive Municipal Officers,2025/06/17 07:00 PM,1283259,WST-Cottonwood Heights-Notice of Public Hearing re 2025 Compensation Increases (5.27.2025).pdf,Audio Recording
1001065,2025 COTTONWOOD HEIGHTS MUNICIPAL ELECTION CANDIDATES,2025/06/09 08:00 AM,1282595,Notice - CWH Municipal Election Candidates 2025.pdf,Public Information Handout
1000527,NOTICE OF ADOPTION OF ORDINANCE NO. 430 By the City Council of Cottonwood Heights,2025/06/06 08:00 AM,1281761,Class A Notice for Canyon Centre CDA.pdf,Public Information Handout
995707,"CITY COUNCIL WORK SESSION, CDRA, AND BUSINESS MEETING AGENDAS",2025/06/03 04:00 PM,1278293,6.3.2025 CC Work Session CDRA and CC Business Meeting Agendas.pdf,Public Information Handout
995713,Notice of Intent to Annex and of Public Hearing,2025/05/20 07:00 PM,1273187,WST-Cottonwood Heights-Notice of Intent to Annex and Public Hearing (Water Vista Way).pdf,Other
991633,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2025/05/06 04:00 PM,1265817,5.6.2025 CC Work Session CDRA and CC Business Meeting Agendas.pdf,Public Information Handout
990497,COTTONWOOD HEIGHTS UOCAVA Election Notice,2025/04/28 09:00 AM,1263921,Cottonwood Heights UOCAVA Election Notice 2025.pdf,Public Information Handout
989021,Notice of Intent to Annex and of Public Hearing,2025/04/21 08:00 AM,1261243,WST-Cottonwood Heights-Notice of Intent to Annex and Public Hearing (Water Vista Way) (FINAL 4.18.25).pdf,Other
986813,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2025/04/15 04:00 PM,1257223,4.15.2025 CC Work Session and CC Business Meeting Agendas.pdf,Other
984891,COTTONWOOD HEIGHTS 2025 NOTICE OF MUNICIPAL ELECTION,2025/04/03 09:00 AM,1253845,2025 Notice of Municipal Election - PMN Website.pdf,Public Information Handout
982645,NOTICE OF PUBLIC HEARING,2025/04/01 07:00 PM,1249837,Notice of Public Hearing on Budget Amendment for Fiscal Year 2024-2025 (April 2025).pdf,Public Information Handout
983637,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2025/04/01 05:00 PM,1251587,Cottonwood Heights-4.01.2025 CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
982369,Certification of Annexation Petition - Creek Road West,2025/03/21 08:00 AM,1249277,WST-Cottonwood Heights-Notice of Certification of Annexation Petiton (Creek Road West).pdf,Public Information Handout
980425,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2025/03/18 04:00 PM,1245579,3.18.2025 CC Work Session and CC Business Meeting Agendas.pdf,Other
979691,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2025/03/18 04:00 PM,1243855,3.18.2025 CC Work Session and CC Business Meeting Agendas.pdf,Other
976993,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2025/03/04 04:00 PM,1238937,3.04.2025 CC Work Session and CC Business Meeting Agendas.pdf,Other
975571,NOTICE OF POTENTIAL QUORUM,2025/02/25 06:00 PM,1235697,PUBLIC NOTICE of POTENTIAL QUORUM - Short-Term Rental Town Hall.pdf,Other
976421,REQUEST FOR QUALIFICATIONS - CITY PROJECT 003.25 - CITY WIDE STRIPING PROJECT 2025-2027,2025/02/24 11:00 AM,1237567,RFQ - 003.25 - CITY WIDE STRIPING PROJECT 2025 - 2027.pdf,Other
961417,"City Council Work Session, CDRA Meeting, and City Council Business Meeting Agendas",2025/02/18 04:00 PM,1221935,CH CDRA Notice of Public Hearing for Website Posting- FINAL 1.17.25.pdf,Other
961417,"City Council Work Session, CDRA Meeting, and City Council Business Meeting Agendas",2025/02/18 04:00 PM,1232297,2.18.2025 CC Work Session CDRA and CC Business Meeting Agendas.pdf,Other
970407,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2025/02/04 04:00 PM,1226097,2.04.2025 CC Work Session and CC Business Meeting Agendas.pdf,Other
1055415,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,2025/02/03 04:00 PM,1383671,2.03.2026 CC Work Session and CC Business Meeting Agendas.pdf,Public Information Handout
968189,"CITY COUNCIL WORK SESSION, CDRA, AND BUSINESS MEETING AGENDAS",2025/01/21 04:00 PM,1221943,1.21.2025 CC Work Session CDRA and CC Business Meeting Packet (1.17.25).pdf,Other
968189,"CITY COUNCIL WORK SESSION, CDRA, AND BUSINESS MEETING AGENDAS",2025/01/21 04:00 PM,1221947,1.21.2025 CC Work Session CDRA and CC Business Meeting Agendas (1.17.25).pdf,Other
966031,PUBLIC NOTICE of Council Retreat and Agenda 1.16.2025,2025/01/16 08:30 AM,1217781,Notice of Council Retreat and Agenda 1.16.2025.pdf,Public Information Handout
965991,PUBLIC NOTICE State of the City Address,2025/01/15 06:00 PM,1217703,Public Notice State of the City Cottonwood Heights 1.15.25.pdf,Public Information Handout
964239,"City Council Work Session, CDRA Meeting, and City Council Business Meeting Agendas",2025/01/07 04:00 PM,1214787,1.7.2025 CC Work Session CDRA and CC Business Meeting Agendas (1.2.25).pdf,Public Information Handout
965397,Certification of Annexation Petition - Creek Road West,2025/01/07 08:00 AM,1216321,Creek West 1_7_25 - 17x11 (1).pdf,Public Information Handout
965397,Certification of Annexation Petition - Creek Road West,2025/01/07 08:00 AM,1216323,"Creek Road West Certification of Annexation, and Contact Sponsor Letter..pdf",Public Information Handout
959297,REQUEST FOR PROPOSALS FOR DEVELOPMENT OF COTTONWOOD HEIGHTS TOWN CENTER,2024/12/06 08:00 AM,1205919,Cottonwood Heights CDRA - Town Center Development RFP - 12-6-2024 (2).pdf,Public Information Handout
957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,2024/12/03 04:00 PM,1202463,12.3.2024 CHCC Work Session and Business Meeting Agendas.pdf,Public Information Handout
957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,2024/12/03 04:00 PM,1203827,Dec06 - Danish Speed Study.pdf,Public Information Handout
957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,2024/12/03 04:00 PM,1203829,7425 south creek road.pdf,Public Information Handout
957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,2024/12/03 04:00 PM,1203831,2175 east creek road.pdf,Public Information Handout
957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,2024/12/03 04:00 PM,1203835,CED Memo - UDOT BCC Study Public Comment.pdf,Public Information Handout
957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,2024/12/03 04:00 PM,1203837,CED Slides - MIH Discussion.pdf,Public Information Handout
957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,2024/12/03 04:00 PM,1203839,Final EIS Public Comments - City of Cottonwood Heights.pdf,Public Information Handout
954301,"CH CC Work Session. CDRA. Board of Canvassers, CC Business Meeting Agendas",2024/11/19 04:00 PM,1196787,11.19. 2024 CC Work Session CDRA Board of Canvassers CC Business Meeting Agendas.pdf,Public Information Handout
954301,"CH CC Work Session. CDRA. Board of Canvassers, CC Business Meeting Agendas",2024/11/19 04:00 PM,1198253,STR POLICY OBJECTIVES 11-19-2024 (1).pdf,Public Information Handout
954301,"CH CC Work Session. CDRA. Board of Canvassers, CC Business Meeting Agendas",2024/11/19 04:00 PM,1198255,3500 East & Bengal Blvd_Existing.pdf,Public Information Handout
954301,"CH CC Work Session. CDRA. Board of Canvassers, CC Business Meeting Agendas",2024/11/19 04:00 PM,1198257,3500 East & Bengal Blvd_Striping Plan_11_13_24-alg.pdf,Public Information Handout
954301,"CH CC Work Session. CDRA. Board of Canvassers, CC Business Meeting Agendas",2024/11/19 04:00 PM,1198259,BCC Study - Cottonwood Heights Scoping Presentation 11-19-2024.pdf,Public Information Handout
954301,"CH CC Work Session. CDRA. Board of Canvassers, CC Business Meeting Agendas",2024/11/19 04:00 PM,1198279,CED Slides - 11-19-24.pdf,Public Information Handout
956209,Request for proposals HIGHLAND DRIVE PEDESTRIAN TRAIL PHASE 3,2024/11/15 08:00 AM,1200671,RFP - Highland Drive Pedstrian Trail - Phase 3 .pdf,Public Information Handout
956209,Request for proposals HIGHLAND DRIVE PEDESTRIAN TRAIL PHASE 3,2024/11/15 08:00 AM,1200673,006.24 --RFP Clarification - Highland Drive Pedestrian Trail Phase 3.pdf,Public Information Handout
952035,City Council Amended Work Session and Business Meeting Agendas,2024/11/12 04:00 PM,1226815,111224 CHCC Work Session and Business Meeting Minutes Approved.pdf,Meeting Minutes
952035,City Council Amended Work Session and Business Meeting Agendas,2024/11/12 04:00 PM,1193589,"11.12.2024 CH CC Amended Work Session, and Business Meeting Agendas..pdf",Public Information Handout
948213,City Council Work Session and City Council Business Meeting Cancellation,2024/11/05 04:00 PM,1185453,CH CC Work Session and Business Meeting Notice of Cancellation 11.5.2024.pdf,Public Information Handout
948679,JOINT CITY COUNCIL AND PLANNING COMMISSION WORK SESSION,2024/10/29 05:30 PM,1205421,102924 CHCC PC Meeting Minutes Approved.pdf,Meeting Minutes
948679,JOINT CITY COUNCIL AND PLANNING COMMISSION WORK SESSION,2024/10/29 05:30 PM,1186417,10.29.2024 CC.PC Joint Work Session Agenda.pdf,Public Information Handout
948679,JOINT CITY COUNCIL AND PLANNING COMMISSION WORK SESSION,2024/10/29 05:30 PM,1205423,Joint Work Session Presentation (10.29.24).pdf,Public Information Handout
944537,NOTICE OF PUBLIC HEARING,2024/10/15 07:00 PM,1226779,101524 CHCC Meeting Minutes Approved.pdf,Audio Recording
945917,10/15/2024 Work Session and Business Meetings,2024/10/15 03:00 PM,1180931,10-15-2024 CH CC Work Session and Business Meeting Agendas.pdf,Public Information Handout
945917,10/15/2024 Work Session and Business Meetings,2024/10/15 03:00 PM,1183359,CHPD Statistics Review September 2024 (1).pdf,Public Information Handout
945917,10/15/2024 Work Session and Business Meetings,2024/10/15 03:00 PM,1183361,Laura Briefer.pdf,Public Information Handout
945917,10/15/2024 Work Session and Business Meetings,2024/10/15 03:00 PM,1183363,Laura Garcia Arts.pdf,Public Information Handout
945917,10/15/2024 Work Session and Business Meetings,2024/10/15 03:00 PM,1183365,Matt Shipp Presentation.pdf,Public Information Handout
945917,10/15/2024 Work Session and Business Meetings,2024/10/15 03:00 PM,1183367,Pam Roberts Presentation.pdf,Public Information Handout
945917,10/15/2024 Work Session and Business Meetings,2024/10/15 03:00 PM,1183369,WFWRD 2024 Report for Cottonwood Heights Council 10-15-24.pdf,Public Information Handout
945917,10/15/2024 Work Session and Business Meetings,2024/10/15 03:00 PM,1183371,G-402CWH.pdf,Public Information Handout
943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,2024/10/01 04:00 PM,1184187,100124 CHCC Meeting Minutes Approved.pdf,Meeting Minutes
943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,2024/10/01 04:00 PM,1176371,"10-01-2024 CH CC Work Session, and Business Meeting Agendas..pdf",Public Information Handout
943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,2024/10/01 04:00 PM,1177135,Yeonsu-gu Sister City.pdf,Public Information Handout
943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,2024/10/01 04:00 PM,1177137,Wasatch Blvd. at Ft. Union Intersection Project presentation.pdf,Public Information Handout
943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,2024/10/01 04:00 PM,1177141,2024 Landscape Beautification Awards.pdf,Public Information Handout
943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,2024/10/01 04:00 PM,1177143,CED Presentation - EJCT Study (1).pdf,Public Information Handout
943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,2024/10/01 04:00 PM,1184189,Ordinance No. 422 Amending Ch 9.05 CWH Code of Ordinances Regarding Nuisances.pdf,Public Information Handout
942687,City Council Work Session and Business Meeting Agendas,2024/10/01 04:00 PM,1184183,100124 CHCC Meeting Minutes Approved.pdf,Meeting Minutes
942687,City Council Work Session and Business Meeting Agendas,2024/10/01 04:00 PM,1174977,"10-01-2024 CH CC Work Session, and Business Meeting Agendas.pdf",Public Information Handout
936789,Notice of Public Hearing - Bond Election,2024/09/17 07:00 PM,1164021,Notice of Public Hearing (with Spanish Translation) - Cottonwood Heights GO Election 2024.pdf,Public Information Handout
939321,"City Council Work Session, CDRA Business Meeting, and City Council Business Meeting",2024/09/17 04:00 PM,1184261,091724 CHCC Meeting Minutes Approved.pdf,Meeting Minutes
939321,"City Council Work Session, CDRA Business Meeting, and City Council Business Meeting",2024/09/17 04:00 PM,1168521,"09-17-2024 CH CC Work Session, CDRA Business Meeting, and Business Meeting Agendas.pdf",Public Information Handout
939321,"City Council Work Session, CDRA Business Meeting, and City Council Business Meeting",2024/09/17 04:00 PM,1173235,Resolution 2024-62 A Resolution Approving Performance Contract and Addendum.pdf,Public Information Handout
939321,"City Council Work Session, CDRA Business Meeting, and City Council Business Meeting",2024/09/17 04:00 PM,1173237,Resolution 2024-64 Approving an Agreement with Mountain West Commercial for Real Estate Services.pdf,Public Information Handout
939321,"City Council Work Session, CDRA Business Meeting, and City Council Business Meeting",2024/09/17 04:00 PM,1173239,Resolution 2024-63 Approving and Ratifying entry into an ILA with SLCo. for Bond services.pdf,Public Information Handout
939321,"City Council Work Session, CDRA Business Meeting, and City Council Business Meeting",2024/09/17 04:00 PM,1173241,"RES 2024-64 Approving a Consulting Agreement with H.W. Lochner, Inc. for the 2300 East Fort Union Blvd..pdf",Public Information Handout
937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",2024/09/10 04:00 PM,1184259,091024 CHCC Meeting Minutes Approved.pdf,Meeting Minutes
937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",2024/09/10 04:00 PM,1165755,"09-10-2024 CH CC Work Session, CDRA Business Meeting, and Business Meeting Agendas.pdf",Public Information Handout
937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",2024/09/10 04:00 PM,1166711,"09-10-2024 CH CC Work Session, CDRA Business Meeting, and Business Meeting AMENDED Agendas.pdf",Public Information Handout
937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",2024/09/10 04:00 PM,1168561,Mr. Joel Hochhalter Handout.pdf,Public Information Handout
937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",2024/09/10 04:00 PM,1168563,Utah Recycling Alliance_CHaRM Recap_Cottonwood Heights_09.03.24-3.pdf,Public Information Handout
937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",2024/09/10 04:00 PM,1168565,Ordinance No. 421 (Amending Title 19 of the CWH Code of Ordinances - Sept 2024 Code Maintenance).pdf,Public Information Handout
937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",2024/09/10 04:00 PM,1168567,Resolution 2024-58 (Declaring Certain Property Surplus - PD Firearms).pdf,Public Information Handout
937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",2024/09/10 04:00 PM,1168569,Resolution 2024-59 (Declaring Police K-9 Odie Surplus and Authorizing Sale to Lt. McHugh).pdf,Public Information Handout
937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",2024/09/10 04:00 PM,1168571,Resolution 2024-60 (Approving and Ratifying a Bid and Awarding a Construction Contract to DRD Paving - Banbury Rd Crossing)).pdf,Public Information Handout
937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",2024/09/10 04:00 PM,1168573,Resolution 2024-61 (Approving Entry Into an ILA w SLCounty for Health Coalition Funding).pdf,Public Information Handout
936953,NOTICE OF MAYOR AND CITY COUNCIL ATTENDANCE OF THE UTAH LEAGUE OF CITIES AND TOWNS (ULCT) 2024 ANNUAL CONVENTION,2024/09/04 08:00 AM,1164283,9-4 and 5-2024 CH CC Notice of ULCT 2024 Annual Convention.pdf,Public Information Handout
936651,NOTICE OF MEETING CANCELLATION,2024/08/30 08:55 AM,1163829,CH CC Notice of Cancellation of September 3 Meeting.pdf,Public Information Handout
933669,City Council Work Session and Business Meeting,2024/08/20 04:00 PM,1157609,08-20-2024 CH CC Work Session and Business Meeting Agendas Final.pdf,Public Information Handout
933669,City Council Work Session and Business Meeting,2024/08/20 04:00 PM,1161625,Bond Memo 2024 Aug 20 w-updates.pdf,Public Information Handout
933669,City Council Work Session and Business Meeting,2024/08/20 04:00 PM,1161627,FT Union Bike and Trail.pdf,Public Information Handout
933669,City Council Work Session and Business Meeting,2024/08/20 04:00 PM,1161629,Highland Drive Capacity Expansion.pdf,Public Information Handout
933669,City Council Work Session and Business Meeting,2024/08/20 04:00 PM,1161631,Salt Lake County - Coalition Questions.pdf,Public Information Handout
933669,City Council Work Session and Business Meeting,2024/08/20 04:00 PM,1161633,Sister City .pdf,Public Information Handout
933669,City Council Work Session and Business Meeting,2024/08/20 04:00 PM,1161635,Wasatch Blvd. Trail and Bicycle Path.pdf,Public Information Handout
933669,City Council Work Session and Business Meeting,2024/08/20 04:00 PM,1161637,Ordinance No. 420 (Amending Chapter 9.05 CWH Code of Ordinances Regarding Nuisances).pdf,Public Information Handout
933669,City Council Work Session and Business Meeting,2024/08/20 04:00 PM,1161639,"Resolution 2024-55 (Providing for a Special Bond Election to be held November 5, 2024).pdf",Public Information Handout
933669,City Council Work Session and Business Meeting,2024/08/20 04:00 PM,1161641,Resolution 2024-56 (Approving Entry Into an Interlocal Cooperation Agreement w Canyons School District - School Resource Officers).pdf,Public Information Handout
933669,City Council Work Session and Business Meeting,2024/08/20 04:00 PM,1161643,Resolution 2024-57 (Consenting to an Appointment to the ARC).pdf,Public Information Handout
933669,City Council Work Session and Business Meeting,2024/08/20 04:00 PM,1161679,Salt Lake County - Coalition - Handouts.pdf,Public Information Handout
932353,NOTICE OF POTENTIAL QUORUM CITY COUNCIL Open House for the Heights Town Center at City Hall,2024/08/12 06:00 PM,1155373,CHCC PUBLIC NOTICE Open House For The Heights Town Center at City Hall.pdf,Public Information Handout
930359,City Council Work Session and Business Meeting,2024/08/06 04:00 PM,1168575,08-06-2024 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Meeting Minutes
930359,City Council Work Session and Business Meeting,2024/08/06 04:00 PM,1151999,08-06-2024 CH CC Work Session and Business Meeting Agendas.pdf,Public Information Handout
930359,City Council Work Session and Business Meeting,2024/08/06 04:00 PM,1155725,Resolution 2024-54 (Approving an Agreement w Bowen Collins & Associates for Construction Management Services).pdf,Public Information Handout
930359,City Council Work Session and Business Meeting,2024/08/06 04:00 PM,1155927,GO Bond Outline.pdf,Public Information Handout
930359,City Council Work Session and Business Meeting,2024/08/06 04:00 PM,1155929,CED Slides.pdf,Public Information Handout
931743,Invitation to Bid: City Project 005.24 BANBURY ROAD CROSSING,2024/08/05 11:00 AM,1154109,005.24 - Inv to Bid (1).pdf,Public Information Handout
930643,NOTICE OF POTENTIAL QUORUM CITY COUNCIL,2024/08/03 11:00 AM,1152469,CHCC PUBLIC NOTICE Austism Council BBQ.pdf,Public Information Handout
928837,NOTICE OF POTENTIAL QUORUM CITY COUNCIL Town Center Bond Advisory Committee Training Session,2024/07/22 06:00 PM,1149209,CHCC PUBLIC NOTICE TRAINING.pdf,Public Information Handout
928420,Request for Statements of Qualifications - Real Estate Brokerage Services,2024/07/19 10:15 AM,1148494,WST-Cottonwood Heights-CDRA-Hillside Plaza-Request for Statements of Qualifications (SOQ) for Real Estate Brokerage Services (July 2024).pdf,Public Information Handout
927232,City Council Work Session and Business Meeting,2024/07/16 03:00 PM,1155727,07-16-2024 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Meeting Minutes
927232,City Council Work Session and Business Meeting,2024/07/16 03:00 PM,1146176,07-16-2024 CH CC Work Session and Business Meeting Agendas.pdf,Public Information Handout
927232,City Council Work Session and Business Meeting,2024/07/16 03:00 PM,1146634,07-16-2024 CH CC AMENDED Work Session and Business Meeting Agendas.pdf,Public Information Handout
927232,City Council Work Session and Business Meeting,2024/07/16 03:00 PM,1147580,2024 06 June Council Financial Report.pdf,Public Information Handout
927232,City Council Work Session and Business Meeting,2024/07/16 03:00 PM,1147582,CWH Parks and Recreation Service Area Board Presentation.pdf,Public Information Handout
927232,City Council Work Session and Business Meeting,2024/07/16 03:00 PM,1147584,Old Mill Development Presentation.pdf,Public Information Handout
927232,City Council Work Session and Business Meeting,2024/07/16 03:00 PM,1147586,Petition to City Council and PC by Residents (Old Mill)_Redacted.pdf,Public Information Handout
927232,City Council Work Session and Business Meeting,2024/07/16 03:00 PM,1147588,Speaker Comment Card - Krista Marti_Redacted.pdf,Public Information Handout
