year,election,file,url,bytes,sha256,fetched,parsed_into,notes
2010,general,,https://cachecounty.gov/elections/election-results/2010-general-election-results.html,,,no,gap,the 2010 general page publishes NO result documents (links only to state canvass narrative); honest gap
2010,primary,raw/cache-2010-primary-gems-sovc.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2010/primary/GEMS%20SOVC%20REPORT.pdf,439415,182e2d563d7df7775dfea091c64b438ec45fbaff1892d84d05900d48438ec78c,yes,not parsed,GEMS era; catalogued (2010 general page publishes no SOVC - see gaps)
2011,municipal,,,,,no,gap,NO county publication for 2011 municipal elections (year absent from the county results page in current + archived versions)
2012,general,raw/cache-2012-general-gems-sovc.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2012/general/summary/GEMS%20SOVC%20REPORT.pdf,2763655,1013da3bb5ecf1df08be895b489cecfc107c9dde37ee8301a17a6bf1920e0300,yes,not parsed,catalogued
2012,primary,raw/cache-2012-primary-sovc.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2012/primary/Cache%20County%20SOVC%20REPORT.pdf,803308,aeb2873a1b5d9fe05de95cfa507334eea30c6956fde58b4bfcbad5d8bd9ad89b,yes,not parsed,catalogued
2013,municipal general,,https://cachecounty.gov/elections/election-results/2013-municipal-election-links.html,,,no,collection,"per-precinct files only (AMA1U..WEL4U incl. LOG*); NO countywide SOVC published; catalogued, not parsed"
2014,general,raw/cache-2014-general-sovc.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2014/generalPDF/A-FINAL%20SOVC%20REPORT.pdf,3089912,28c5c4c180cfa4c0342c3910bd30d741c9498b81e904d48ede20c55d2e9614e8,yes,not parsed,catalogued
2014,primary,raw/cache-2014-primary-sovc.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2014/primary/A-FINAL%20SOVC%20REPORT.pdf,369398,7e4c1de6df4bc56a3c2bd6970d726895c8eddc38c1b8281549cf796a58614127,yes,not parsed,catalogued
2015,municipal,,,,,no,gap,NO county publication for 2015 municipal elections (year absent)
2016,general,raw/cache-2016-general-sovc.pdf,https://cachecounty.gov/assets//department/clerk/elections/results/2016/general/PDF/AA%20SOVC%20REPORT.pdf,3061346,bcd362a31f11716c173a8dbfeecd341c4ec74e5b1c9780167cb9262a30ca743f,yes,not parsed,catalogued
2016,primary,raw/cache-2016-primary-sovc.pdf,https://cachecounty.gov/assets//department/clerk/elections/results/2016/primary/PDF/A-FINAL%20SOVC%20REPORT.pdf,243035,f8234f1a958bc8856244b68bd7cc1e55fcdf979cdcad62fe7044aa7f6cfa6efb,yes,not parsed,catalogued
2017,municipal,,,,,no,gap,NO county publication for 2017 municipal elections (year absent)
2018,general,raw/cache-2018-general-results-page.html,https://cachecounty.gov/elections/election-results/2018-general-election-results/,355431,35f376c482884bcf3b12fd71b5dbc1bc1b49eee4ccfdb5c3a62704c24f175043,yes,not parsed,results published as inline HTML page (no SOVC PDF); saved verbatim; catalogued
2018,primary,raw/cache-2018-primary-results-page.html,https://cachecounty.gov/elections/election-results/2018-primary-election-results/,52755,810a4cd6511b1cf7a4dfa6b0f344c55dd1aa0ba88d12bec90c40ac54385abeae,yes,not parsed,results published as inline HTML page; saved verbatim; catalogued
2019,municipal,,,,,no,gap,NO county publication for 2019 municipal elections - verified against the live page AND the 2020-08-13 Wayback snapshot (page jumps 2018->2020); Logan self-administered 2019 (city PDFs held in logan_city_council/election_results/raw/); other towns' 2019 results were never published by the county
2020,general,raw/cache-2020-general-canvass-precinct.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2020/general/2020%20General%20Official%20Canvass%20Precinct.pdf,1212702,21f7c9c0c60941254c841886a57f4fcdbcb648a9e188f384b591ae4ae02dd72f,yes,cache_county_office_results_long.csv,"OFFICIAL canvass; precinct grain, 570 pages; wrapped candidate names re-joined"
2020,general,raw/cache-2020-general-canvass-summary.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2020/general/2020%20General%20Official%20Canvass%20Summary.pdf,130449,62b9f535624e8e260794b30c729daf3789dea77882b35531104f53d17b121357,yes,cache_county_office_results_long.csv,OFFICIAL canvass; electionwide rows + gate1 target
2020,presidential primary,raw/cache-2020-presidential-primary-canvass-precinct.pdf,https://www.cachecounty.gov/assets/department/clerk/Canvass%20Precinct%20Final.pdf,256257,3835f03bd32f399b363efe4d2ccf8bce6f3e985dba8db82b2af8774ab51d268a,yes,cache_county_office_results_long.csv,OFFICIAL canvass; precinct grain; no summary report published (precinct-only source)
2020,primary,raw/cache-2020-primary-official-precinct.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2020/primary/Official%20Precinct%20Summary.pdf,205816,594b3910e7adbf47f70dae7d45c9208194d85a6c13e3a4c3171b7c8c44a2c8ec,yes,cache_county_office_results_long.csv,OFFICIAL; precinct grain
2020,primary,raw/cache-2020-primary-official-summary.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2020/primary/Official%20Election%20Summary.pdf,25180,d0c8c756246c80d75eee8ab548cd900b11c22b3e3050d3c5cf13e91a784d8dc5,yes,cache_county_office_results_long.csv,OFFICIAL; electionwide rows + gate1 target
2021,municipal general,,,,,no,gap,"no precinct-grain 2021 general was ever published (summary only, labeled UNOFFICIAL); Logan self-administered (absent from the county canvass); Nibley ran a self-administered RCV election (absent; see pmn-785553 evidence row); Hyrum/Wellsville/Paradise/Clarkston/Cornish also absent (cancelled or self-run - not determined)"
2021,municipal general,raw/cache-2021-general-summary.pdf,https://www.cachecounty.gov/assets/department/clerk/clerk/Election%20Summary%20Report%2011-9.pdf,43273,991498e95ec35a6514da3458022693cfae09f7714f8677498cfddaf0f3cd1872,yes,cache_municipal_results_long.csv,the county's final posted 2021 general results; header says UNOFFICIAL RESULTS (Election Summary Report 11/09/2021); electionwide grain only - no precinct-level 2021 general was ever published; byte-identical to logan_city_council/election_results/raw/cache-2021-municipal-general-results.pdf
2021,municipal general,raw/pmn-785553-nibley-2021.pdf,https://www.utah.gov/pmn/files/785553.pdf,116122,565983c39acf31e94e8ad7b2680f43b6fe99bea6af8db93980c2eea039ed2601,yes,evidence only,Nibley City Council minutes 2021-11-15 accepting the canvass of NIBLEY'S OWN self-administered 2021 RCV general - evidence that RCV cities are absent from the county canvass
2021,municipal primary,raw/cache-2021-primary-precinct-summary.pdf,https://www.cachecounty.gov/assets/department/clerk/2021%20Municipal%20Precinct%20Summary%20Report.pdf,89461,19252999a1cb44f9323862d407c82425fef63939395c4e1f190b926f33266013,yes,cache_municipal_results_long.csv,"OFFICIAL RESULTS; precinct grain; 4 contests (Lewiston/North Logan/Smithfield council, Trenton mayor); Lewiston prints CANDIDATE DISQUALIFIED x4 verbatim"
2022,general,raw/cache-2022-general-canvass-cert.pdf,https://www.cachecounty.gov/assets/department/clerk/elections/2022G%20Board%20of%20Canvassers%20Certification.pdf,328861,b01fb07f8e0f2f1e97b967f715cf6133a52f4720bf1c9da0f26b2ef346537e98,yes,not parsed,Board of Canvassers certification; image-only scan (signature pages)
2022,general,raw/cache-2022-general-summary.pdf,https://www.cachecounty.gov/assets/department/clerk/2022%20GENERAL%20OFFICIAL%20RESULTS%20-%20ELECTION%20SUMMARY%20REPORT.pdf,67272,0ad9b19f624e48415efef3a7da2b8f5df524e9303b0c18840330495f88bb0ad0,yes,cache_county_office_results_long.csv,OFFICIAL; electionwide grain only (no precinct report published for the 2022 general)
2022,primary,raw/cache-2022-primary-canvass-cert.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2022/2022%20Primary%20Election%20Certification.pdf,338772,aebc607db25b74a2adc9d864c346da4a275aa9baca659d5e8689ce30faad594c,yes,not parsed,certification; image-only scan
2022,primary,raw/cache-2022-primary-precinct.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2022/2022%20Primary%20Official%20Results%20-%20Precinct%20Summary%20Report.pdf,586414,f1905460994afee8722a04a7b14927fca22d3c1648b9882c3e86b17df353e671,yes,cache_county_office_results_long.csv,OFFICIAL; precinct grain; prints Election Day/Absentee method columns (TOTAL column parsed; method split not extracted - recorded ceiling)
2022,primary,raw/cache-2022-primary-summary.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2022/2022%20Primary%20Official%20Results%20-%20Election%20Summary%20Report.pdf,10834,d14a59a4b6f891c3d33d99cebe27d279c6f61af77a116e55d5f64c51d0604665,yes,cache_county_office_results_long.csv,OFFICIAL; electionwide rows + gate1 target
2023,municipal general,raw/cache-2023-general-details.pdf,https://www.cachecounty.gov/assets/department/clerk/elections/results/2023/2023%20General%20Official%20Details.pdf,269446,8a70b6de7c6df2214cc2a009d3692196528be6d6e068adec984145dd2999692e,yes,cache_municipal_results_long.csv,"OFFICIAL certified canvass 12/01/2023 (post-recount era); precinct grain, 161 precinct pages; first county-administered Logan election"
2023,municipal general,raw/cache-2023-general-results.pdf,https://www.cachecounty.gov/assets/department/clerk/elections/results/2023/2023%20General%20Official%20Results.pdf,75759,b7f894e6fe6485a27aef7331ab3ea9a05cbc227cd46d83120006575f14d09a3c,yes,verification only,OFFICIAL certified summary; gate1 reconciliation target for the details file
2023,municipal general,raw/ev/2023-Nov-General__01225663-6186-47c7-a135-11d64eb1704a.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/01225663-6186-47c7-a135-11d64eb1704a,11209,72f9c54e98237d4f95092c649d945c01189d660971e5ef43b6debbd501f864a5,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__02869202-2f97-43c9-807b-ca274e038e2b.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/02869202-2f97-43c9-807b-ca274e038e2b,146738,237f77084e1ba185aa4050845bab331fa49d515171feada045997bb5a2e6a94b,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__29f70afe-4af3-4f31-9615-2788a03d4120.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/29f70afe-4af3-4f31-9615-2788a03d4120,4121,5ad2c7946a659034f790c756a9d1644e747cb372ea676c3835e688b15886ae45,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__2cdb52a2-160f-4aac-b77d-f8e5143b9c4f.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/2cdb52a2-160f-4aac-b77d-f8e5143b9c4f,101298,b5316ed578db908bdc64a394b0face9fc807bdf1724ae2630563e4a3dd853598,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__3ceef77e-0903-4cc8-a748-95725b249d44.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/3ceef77e-0903-4cc8-a748-95725b249d44,24516,560bba7a4a2ac41b519a9f72a00e9d2c543c9c77c2d477b3eee22e2ab4b099b8,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__404099d7-200d-47d0-b5c7-f3b15205111a.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/404099d7-200d-47d0-b5c7-f3b15205111a,4747,a9f3c545dd9d591042f40c10290b6ec8de72de93d32f6ae7fe3fa73416020e4d,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__61196fc0-57f2-4be0-9147-138da4429ae5.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/61196fc0-57f2-4be0-9147-138da4429ae5,7948,79574dd0b066bbae8d6c3867d31dcf9fdb4905f738e37d74f153f499eb16d5f4,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__698228a8-12f5-4f2a-abc9-bc5c813c90f0.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/698228a8-12f5-4f2a-abc9-bc5c813c90f0,19228,91d0227a5bae0731a8fcafbb6c2a5464f9f70921494d077867c4789734dfe8a0,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__8663514c-3b85-42f0-95e9-46a8912b3349.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/8663514c-3b85-42f0-95e9-46a8912b3349,19428,7780dbf3365e53d3e962a7a8c89341358f09683dadc43dc6f4c0b91c45bbe608,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__aa25ada5-a2e8-4076-ab3d-10b343cab7f2.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/aa25ada5-a2e8-4076-ab3d-10b343cab7f2,3946,9ad93e2c2857fb2ab43db0979370ffef6f1c2158e427add96f346b9643ca8a90,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__ab04f943-7035-48a4-b662-58fd30b714e6.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/ab04f943-7035-48a4-b662-58fd30b714e6,2419,f883821508dad66081a89984f3f20b0c43aaa6e2963f0d238fe36cd220bb7c3b,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__b4db7688-f547-4868-9648-5a1959712563.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/b4db7688-f547-4868-9648-5a1959712563,16611,a5261bd085defae4ea095dc9e5e60db3cdee3c4f9965e92cb9b47ec5a90c65bd,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__c9e6868b-0797-4d6d-a5f5-310326e974ea.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/c9e6868b-0797-4d6d-a5f5-310326e974ea,6774,c7274e273b6542e52646d2f1dde39785c8e5728bb581027f0974cb4d8abf35f9,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__cb510ea6-857a-4fea-961d-bfb313cdd467.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/cb510ea6-857a-4fea-961d-bfb313cdd467,2427,4f4589322bb15c45ced5bcd68331ebe23d59a8cfd23738c86e91f3857a976b46,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__d196e40b-2cc0-4c91-a89d-de62e2424971.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/d196e40b-2cc0-4c91-a89d-de62e2424971,14155,f14fe81ba26ff0717d4b886cf0d4d2a667c1e4a3849e71e7d2777d20dfee731e,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/2023-Nov-General__d676b59d-2d1e-494f-856a-d3729543057c.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items/d676b59d-2d1e-494f-856a-d3729543057c,4077,bb17a4889930cc4fd9e57138a20333ad82be538ff340bc01bb82d6f4eeafeeb4,yes,provenance (2023 loads from the certified county PDFs),portal detail w/ precinct breakdown; isOfficialResults:false; retained as corroboration - certified county canvass governs 2023
2023,municipal general,raw/ev/ev-2023-Nov-General-ballot-items.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/2023-Nov-General/ballot-items,40132,a7e463acdc3c3162b7577f0b6d95c9c9a6c4c9dd850fabb2af6900825f7f44f5,yes,provenance (contest enumeration),Enhanced Voting portal contest list (verbatim API response)
2023,municipal primary,,,,,no,gap,no precinct breakdown published for the 2023 primary (contest-grain official summary only); portal does not carry the 2023 primary
2023,municipal primary,raw/cache-2023-primary-results.pdf,https://www.cachecounty.gov/assets/department/clerk/elections/results/2023/2023%20Primary%20Official%20Results.pdf,23596,f962acd7ef1ed2a8508ae3c6b51e546a03b2b544b613d7237ec217b7882cf385,yes,cache_municipal_results_long.csv,OFFICIAL; electionwide grain only (county published no precinct report for the 2023 primary)
2024,general,raw/cache-2024-general-canvass-report.pdf,https://cachecounty.gov/assets/department/clerk/elections/2024-general-election-canvass-report.pdf,6547151,f5dd1c9a4a74d6e37058829a2383f927aac43b44a32bbf1cdd0e2fcd199e6155,yes,not parsed,"2024 General Official Results and Canvass Report - IMAGE-ONLY SCAN (no text layer); parsing needs OCR/vision - honest gap, queued"
2024,primary,raw/cache-2024-primary-canvass-report.pdf,https://www.cachecounty.org/assets/department/clerk/elections/results/2024/2024%20Canvass%20Report.pdf,773095,fec7ebfd2a15fa1d4f7da745e23f12c857d2e253a12d1b7259d9ba82be680511,yes,not parsed,"2024 Primary Canvass/Audit Report - IMAGE-ONLY SCAN; honest gap, queued"
2025,municipal,,,,,no,gap,"the county published NO canvass PDF for 2025 - its own results page linked the Enhanced Voting portal (primary08122025, general11042025) as official; portal flags isOfficialResults:false - recorded ceiling"
2025,municipal general,raw/ev/ev-general11042025-ballot-items.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items,52978,ea16b7b8b0e7f6ed8f07ed20b172a15f4803b5b5c3c0afac6d14e36398a222f9,yes,provenance (contest enumeration),Enhanced Voting portal contest list (verbatim API response)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-5d9d-08de10178bfd.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-5d9d-08de10178bfd,2335,2f8c39f143725f8283821e5680e4682a1ee5ccbb7e8c41f32926daac96284002,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-737d-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-737d-08de10178bfe,3142,178e0ba0c1e46de1ecb09b18d56c5cd158c235c9c95120f121bdfda120228955,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-7483-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-7483-08de10178bfe,3931,3ff39d705897b4fe66d92de48d01df97d5ddb0e08d0e4e0a816d1e923f37019b,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-753c-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-753c-08de10178bfe,6116,8a3675b93125755eafac0370b5b0821c7559e434e663746269309e7b4d0f1569,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-76a5-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-76a5-08de10178bfe,6606,b1bce0ec5f895d8707c449fdc285819e14a38dea4724d25ef7854af43980a518,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-773e-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-773e-08de10178bfe,8963,4c1521f2b02a57de8393f41ea2e523c716104e21325c6a39904d97f91673fdb3,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-7862-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-7862-08de10178bfe,3407,20865693d4651166e48f7172a7eac6b6ea855e5c6f1540e7f5f2aae72aa207f5,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-78c8-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-78c8-08de10178bfe,10526,37bc82b81cab43a46d4673e7d8b1ad6b7972fd043b5a2d8e9ecca218da8577f4,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-79aa-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-79aa-08de10178bfe,39778,c37ef576e79276420d6b7272e100e8652a18de238832451e6377ec495faac01c,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-7da3-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-7da3-08de10178bfe,68860,77f22e67641aed353f7534738cfcec1a4e360057946c9c313ebba9660231250d,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-808f-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-808f-08de10178bfe,3397,2ef98f94d582f2d97f7fd2624751f084707deaab6ff1b1c83e969bbd10fb2329,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-8139-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-8139-08de10178bfe,5804,86624b33a9784fc1c1449a72e20b95d40de49cd693b6761248228d7325d4938d,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-81d2-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-81d2-08de10178bfe,4665,81c04f0610f4a59c7e5a2aaa8318a8d7ad33cfd44ec1b568ddbdfd0459001411,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-8236-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-8236-08de10178bfe,3108,91a2d42923ecccf1e409cd514341d69599ec6430bc6843b1db27055a20f66db6,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
