meeting_date,motion_no,person,vote_value
2015-03-24,8,Bell,Aye
2015-03-24,8,Ebert,Aye
2015-03-24,8,Gibson,Aye
2015-03-24,9,Bell,Aye
2015-03-24,9,Ebert,Aye
2015-03-24,9,Gibson,Aye
2015-03-24,10,Bell,Aye
2015-03-24,10,Ebert,Aye
2015-03-24,10,Gibson,Aye
2015-03-24,11,Bell,Aye
2015-03-24,11,Ebert,Aye
2015-03-24,11,Gibson,Aye
2015-04-07,1,Ebert,Aye
2015-04-07,1,Gibson,Aye
2015-04-07,2,Ebert,Aye
2015-04-07,2,Gibson,Aye
2015-04-07,3,Ebert,Aye
2015-04-07,3,Gibson,Aye
2015-04-07,4,Ebert,Aye
2015-04-07,4,Gibson,Aye
2015-04-07,5,Ebert,Aye
2015-04-07,5,Gibson,Aye
2015-04-07,6,Ebert,Aye
2015-04-07,6,Gibson,Aye
2015-04-07,7,Ebert,Aye
2015-04-07,7,Gibson,Aye
2015-04-07,8,Ebert,Aye
2015-04-07,8,Gibson,Aye
2015-04-07,9,Ebert,Aye
2015-04-07,9,Gibson,Aye
2015-04-07,10,Ebert,Aye
2015-04-07,10,Gibson,Aye
2015-04-07,11,Ebert,Aye
2015-04-07,11,Gibson,Aye
2015-04-07,12,Ebert,Aye
2015-04-07,12,Gibson,Aye
2015-04-14,1,Ebert,Aye
2015-04-14,1,Bell,Aye
2015-04-14,2,Ebert,Aye
2015-04-14,2,Bell,Aye
2015-04-14,3,Ebert,Aye
2015-04-14,3,Bell,Aye
2015-04-14,4,Ebert,Aye
2015-04-14,4,Bell,Aye
2015-04-14,5,Ebert,Aye
2015-04-14,5,Bell,Aye
2015-04-14,6,Ebert,Aye
2015-04-14,6,Bell,Aye
2015-04-14,7,Ebert,Aye
2015-04-14,7,Bell,Aye
2015-04-14,8,Ebert,Aye
2015-04-14,8,Bell,Aye
2015-04-14,9,Ebert,Aye
2015-04-14,9,Bell,Aye
2015-04-21,1,Bell,Aye
2015-04-21,1,Ebert,Aye
2015-04-21,1,Gibson,Aye
2015-04-21,2,Bell,Aye
2015-04-21,2,Ebert,Aye
2015-04-21,2,Gibson,Aye
2015-04-21,3,Bell,Aye
2015-04-21,3,Ebert,Aye
2015-04-21,3,Gibson,Aye
2015-04-21,4,Bell,Aye
2015-04-21,4,Ebert,Aye
2015-04-21,4,Gibson,Aye
2015-04-21,5,Bell,Aye
2015-04-21,5,Ebert,Aye
2015-04-21,5,Gibson,Aye
2015-04-21,6,Bell,Aye
2015-04-21,6,Ebert,Aye
2015-04-21,6,Gibson,Aye
2015-04-21,7,Bell,Aye
2015-04-21,7,Ebert,Aye
2015-04-21,7,Gibson,Aye
2015-04-21,8,Bell,Aye
2015-04-21,8,Ebert,Aye
2015-04-21,8,Gibson,Aye
2015-04-21,9,Bell,Aye
2015-04-21,9,Ebert,Aye
2015-04-21,9,Gibson,Aye
2015-04-21,10,Bell,Aye
2015-04-21,10,Ebert,Aye
2015-04-21,10,Gibson,Aye
2015-04-21,11,Bell,Aye
2015-04-21,11,Ebert,Aye
2015-04-21,11,Gibson,Aye
2015-04-28,1,Bell,Aye
2015-04-28,1,Ebert,Aye
2015-04-28,1,Gibson,Aye
2015-04-28,2,Bell,Aye
2015-04-28,2,Ebert,Aye
2015-04-28,2,Gibson,Aye
2015-04-28,3,Bell,Aye
2015-04-28,3,Ebert,Aye
2015-04-28,3,Gibson,Aye
2015-04-28,4,Bell,Aye
2015-04-28,4,Ebert,Aye
2015-04-28,4,Gibson,Aye
2015-04-28,5,Bell,Aye
2015-04-28,5,Ebert,Aye
2015-04-28,5,Gibson,Aye
2015-04-28,6,Bell,Aye
2015-04-28,6,Ebert,Aye
2015-04-28,6,Gibson,Aye
2015-04-28,7,Bell,Aye
2015-04-28,7,Ebert,Aye
2015-04-28,7,Gibson,Aye
2015-04-28,8,Bell,Aye
2015-04-28,8,Ebert,Aye
2015-04-28,8,Gibson,Aye
2015-04-28,9,Bell,Aye
2015-04-28,9,Ebert,Aye
2015-04-28,9,Gibson,Aye
2015-05-05,1,Bell,Aye
2015-05-05,1,Ebert,Aye
2015-05-05,1,Gibson,Aye
2015-05-05,2,Bell,Aye
2015-05-05,2,Ebert,Aye
2015-05-05,2,Gibson,Aye
2015-05-05,3,Bell,Aye
2015-05-05,3,Ebert,Aye
2015-05-05,3,Gibson,Aye
2015-05-05,4,Bell,Aye
2015-05-05,4,Ebert,Aye
2015-05-05,4,Gibson,Aye
2015-05-05,5,Bell,Aye
2015-05-05,5,Ebert,Aye
2015-05-05,5,Gibson,Aye
2015-05-05,6,Bell,Aye
2015-05-05,6,Ebert,Aye
2015-05-05,6,Gibson,Aye
2015-05-05,7,Bell,Aye
2015-05-05,7,Ebert,Aye
2015-05-05,7,Gibson,Aye
2015-05-05,8,Bell,Aye
2015-05-05,8,Ebert,Aye
2015-05-05,8,Gibson,Aye
2015-05-05,9,Bell,Aye
2015-05-05,9,Ebert,Aye
2015-05-05,9,Gibson,Aye
2015-05-05,10,Bell,Aye
2015-05-05,10,Ebert,Aye
2015-05-05,10,Gibson,Aye
2015-05-05,11,Bell,Aye
2015-05-05,11,Ebert,Aye
2015-05-05,11,Gibson,Aye
2015-05-12,1,Bell,Aye
2015-05-12,1,Ebert,Aye
2015-05-12,1,Gibson,Aye
2015-05-12,2,Bell,Aye
2015-05-12,2,Ebert,Aye
2015-05-12,2,Gibson,Aye
2015-05-12,3,Bell,Aye
2015-05-12,3,Ebert,Aye
2015-05-12,3,Gibson,Aye
2015-05-12,4,Bell,Aye
2015-05-12,4,Ebert,Aye
2015-05-12,4,Gibson,Aye
2015-05-12,5,Bell,Aye
2015-05-12,5,Ebert,Aye
2015-05-12,5,Gibson,Aye
2015-05-12,6,Bell,Aye
2015-05-12,6,Ebert,Aye
2015-05-12,6,Gibson,Aye
2015-05-12,7,Bell,Aye
2015-05-12,7,Ebert,Aye
2015-05-12,7,Gibson,Aye
2015-05-19,1,Bell,Aye
2015-05-19,1,Ebert,Aye
2015-05-19,1,Gibson,Aye
2015-05-19,2,Bell,Aye
2015-05-19,2,Ebert,Aye
2015-05-19,2,Gibson,Aye
2015-05-19,3,Bell,Aye
2015-05-19,3,Ebert,Aye
2015-05-19,3,Gibson,Aye
2015-06-02,1,Bell,Aye
2015-06-02,1,Ebert,Aye
2015-06-02,1,Gibson,Aye
2015-06-02,2,Bell,Aye
2015-06-02,2,Ebert,Aye
2015-06-02,2,Gibson,Aye
2015-06-02,3,Bell,Aye
2015-06-02,3,Ebert,Aye
2015-06-02,3,Gibson,Aye
2015-06-02,4,Bell,Aye
2015-06-02,4,Ebert,Aye
2015-06-02,4,Gibson,Aye
2015-06-02,5,Bell,Aye
2015-06-02,5,Ebert,Aye
2015-06-02,5,Gibson,Aye
2015-06-02,6,Bell,Aye
2015-06-02,6,Ebert,Aye
2015-06-02,6,Gibson,Aye
2015-06-02,7,Bell,Aye
2015-06-02,7,Ebert,Aye
2015-06-02,7,Gibson,Aye
2015-06-02,8,Bell,Aye
2015-06-02,8,Ebert,Aye
2015-06-02,8,Gibson,Aye
2015-06-02,9,Bell,Aye
2015-06-02,9,Ebert,Aye
2015-06-02,9,Gibson,Aye
2015-06-02,10,Bell,Aye
2015-06-02,10,Ebert,Aye
2015-06-02,10,Gibson,Aye
2015-06-09,1,Bell,Aye
2015-06-09,1,Gibson,Aye
2015-06-09,2,Bell,Aye
2015-06-09,2,Gibson,Aye
2015-06-09,3,Bell,Aye
2015-06-09,3,Gibson,Aye
2015-06-16,1,Bell,Aye
2015-06-16,1,Gibson,Aye
2015-06-16,2,Bell,Aye
2015-06-16,2,Gibson,Aye
2015-06-16,3,Bell,Aye
2015-06-16,3,Gibson,Aye
2015-06-16,4,Bell,Aye
2015-06-16,4,Gibson,Aye
2015-06-16,5,Bell,Aye
2015-06-16,5,Gibson,Aye
2015-06-16,6,Bell,Aye
2015-06-16,6,Gibson,Aye
2015-06-23,1,Bell,Aye
2015-06-23,1,Gibson,Aye
2015-06-23,2,Bell,Aye
2015-06-23,2,Gibson,Aye
2015-06-23,3,Bell,Aye
2015-06-23,3,Gibson,Aye
2015-06-23,4,Bell,Aye
2015-06-23,4,Gibson,Aye
2015-06-23,5,Bell,Aye
2015-06-23,5,Gibson,Aye
2015-06-23,6,Bell,Aye
2015-06-23,6,Gibson,Aye
2015-06-23,7,Bell,Aye
2015-06-23,7,Gibson,Aye
2015-06-23,8,Bell,Aye
2015-06-23,8,Gibson,Aye
2015-06-23,9,Bell,Aye
2015-06-23,9,Gibson,Aye
2015-06-23,10,Bell,Aye
2015-06-23,10,Gibson,Aye
2015-06-23,11,Bell,Aye
2015-06-23,11,Gibson,Aye
2015-06-30,1,Bell,Aye
2015-06-30,1,Gibson,Aye
2015-06-30,2,Bell,Aye
2015-06-30,2,Gibson,Aye
2015-06-30,3,Bell,Aye
2015-06-30,3,Gibson,Aye
2015-06-30,4,Bell,Aye
2015-06-30,4,Gibson,Aye
2015-06-30,5,Bell,Aye
2015-06-30,5,Gibson,Aye
2015-06-30,6,Bell,Aye
2015-06-30,6,Gibson,Aye
2015-06-30,7,Bell,Aye
2015-06-30,7,Gibson,Aye
2015-06-30,8,Bell,Aye
2015-06-30,8,Gibson,Aye
2015-07-07,1,Bell,Aye
2015-07-07,1,Gibson,Aye
2015-07-07,2,Bell,Aye
2015-07-07,2,Gibson,Aye
2015-07-07,3,Bell,Aye
2015-07-07,3,Gibson,Aye
2015-07-07,4,Bell,Aye
2015-07-07,4,Gibson,Aye
2015-07-07,5,Bell,Aye
2015-07-07,5,Gibson,Aye
2015-07-07,6,Bell,Aye
2015-07-07,6,Gibson,Aye
2015-07-07,7,Bell,Aye
2015-07-07,7,Gibson,Aye
2015-07-07,8,Bell,Aye
2015-07-07,8,Gibson,Aye
2015-07-07,9,Bell,Aye
2015-07-07,9,Gibson,Aye
2015-07-07,10,Bell,Aye
2015-07-07,10,Gibson,Aye
2015-07-14,7,Ebert,Aye
2015-07-14,7,Gibson,Aye
2015-07-21,3,Bell,Aye
2015-07-21,3,Gibson,Aye
2015-07-21,4,Bell,Aye
2015-07-21,4,Ebert,Aye
2015-07-21,4,Gibson,Aye
2015-07-28,1,Ebert,Aye
2015-07-28,1,Bell,Aye
2015-07-28,2,Ebert,Aye
2015-07-28,2,Bell,Aye
2015-07-28,4,Bell,Aye
2015-07-28,4,Ebert,Aye
2015-08-04,1,Bell,Aye
2015-08-04,1,Ebert,Aye
2015-08-04,1,Gibson,Aye
2015-08-04,2,Bell,Aye
2015-08-04,2,Ebert,Aye
2015-08-04,2,Gibson,Aye
2015-08-04,3,Bell,Aye
2015-08-04,3,Ebert,Aye
2015-08-04,3,Gibson,Aye
2015-08-04,4,Bell,Aye
2015-08-04,4,Ebert,Aye
2015-08-04,4,Gibson,Aye
2015-08-04,5,Bell,Aye
2015-08-04,5,Ebert,Aye
2015-08-04,5,Gibson,Aye
2015-08-04,6,Bell,Aye
2015-08-04,6,Ebert,Aye
2015-08-04,6,Gibson,Aye
2015-08-04,7,Bell,Aye
2015-08-04,7,Ebert,Aye
2015-08-04,7,Gibson,Aye
2015-08-04,8,Bell,Aye
2015-08-04,8,Ebert,Aye
2015-08-04,8,Gibson,Aye
2015-08-04,9,Bell,Aye
2015-08-04,9,Ebert,Aye
2015-08-11,1,Bell,Aye
2015-08-11,1,Gibson,Aye
2015-08-11,2,Bell,Aye
2015-08-11,2,Gibson,Aye
2015-08-11,3,Bell,Aye
2015-08-11,3,Gibson,Aye
2015-08-11,4,Bell,Aye
2015-08-11,4,Gibson,Aye
2015-08-18,1,Bell,Aye
2015-08-18,1,Ebert,Aye
2015-08-18,1,Gibson,Aye
2015-08-18,2,Bell,Aye
2015-08-18,2,Ebert,Aye
2015-08-18,2,Gibson,Aye
2015-08-18,3,Bell,Aye
2015-08-18,3,Ebert,Aye
2015-08-18,3,Gibson,Aye
2015-08-18,4,Bell,Aye
2015-08-18,4,Ebert,Aye
2015-08-18,4,Gibson,Aye
2015-08-18,5,Bell,Aye
2015-08-18,5,Ebert,Aye
2015-08-18,5,Gibson,Aye
2015-08-18,6,Bell,Aye
2015-08-18,6,Ebert,Aye
2015-08-18,6,Gibson,Aye
2015-08-18,7,Bell,Aye
2015-08-18,7,Ebert,Aye
2015-08-18,7,Gibson,Aye
2015-08-25,1,Ebert,Aye
2015-08-25,1,Gibson,Aye
2015-08-25,2,Ebert,Aye
2015-08-25,2,Gibson,Aye
2015-08-25,3,Ebert,Aye
2015-08-25,3,Gibson,Aye
2015-08-25,4,Ebert,Aye
2015-08-25,4,Gibson,Aye
2015-08-25,5,Ebert,Aye
2015-08-25,5,Gibson,Aye
2015-08-25,6,Ebert,Aye
2015-08-25,6,Gibson,Aye
2015-08-25,7,Ebert,Aye
2015-08-25,7,Gibson,Aye
2015-08-25,8,Ebert,Aye
2015-08-25,8,Gibson,Aye
2015-08-25,9,Ebert,Aye
2015-08-25,9,Gibson,Aye
2015-08-25,10,Ebert,Aye
2015-08-25,10,Gibson,Aye
2015-08-25,11,Ebert,Aye
2015-08-25,11,Gibson,Aye
2015-08-25,12,Ebert,Aye
2015-08-25,12,Gibson,Aye
2015-09-01,1,Bell,Aye
2015-09-01,1,Ebert,Aye
2015-09-01,1,Gibson,Aye
2015-09-01,2,Bell,Aye
2015-09-01,2,Ebert,Aye
2015-09-01,2,Gibson,Aye
2015-09-01,3,Bell,Aye
2015-09-01,3,Ebert,Aye
2015-09-01,3,Gibson,Aye
2015-09-01,4,Bell,Aye
2015-09-01,4,Ebert,Aye
2015-09-01,4,Gibson,Aye
2015-09-01,5,Bell,Aye
2015-09-01,5,Ebert,Aye
2015-09-01,5,Gibson,Aye
2015-09-01,6,Bell,Aye
2015-09-01,6,Ebert,Aye
2015-09-01,6,Gibson,Aye
2015-09-01,7,Bell,Aye
2015-09-01,7,Ebert,Aye
2015-09-01,7,Gibson,Aye
2015-09-01,8,Bell,Aye
2015-09-01,8,Ebert,Aye
2015-09-01,8,Gibson,Aye
2015-09-01,9,Bell,Aye
2015-09-01,9,Ebert,Aye
2015-09-01,9,Gibson,Aye
2015-09-01,10,Bell,Aye
2015-09-01,10,Ebert,Aye
2015-09-01,10,Gibson,Aye
2015-09-01,11,Bell,Aye
2015-09-01,11,Ebert,Aye
2015-09-01,11,Gibson,Aye
2015-09-08,1,Bell,Aye
2015-09-08,1,Ebert,Aye
2015-09-08,1,Gibson,Aye
2015-09-08,2,Bell,Aye
2015-09-08,2,Ebert,Aye
2015-09-08,2,Gibson,Aye
2015-09-08,3,Bell,Aye
2015-09-08,3,Ebert,Aye
2015-09-08,3,Gibson,Aye
2015-09-08,4,Bell,Aye
2015-09-08,4,Ebert,Aye
2015-09-08,4,Gibson,Aye
2015-09-08,5,Bell,Aye
2015-09-08,5,Ebert,Aye
2015-09-08,5,Gibson,Aye
2015-09-08,6,Bell,Aye
2015-09-08,6,Ebert,Aye
2015-09-08,6,Gibson,Aye
2015-09-08,7,Bell,Aye
2015-09-08,7,Ebert,Aye
2015-09-08,7,Gibson,Aye
2015-09-15,1,Bell,Aye
2015-09-15,1,Ebert,Aye
2015-09-15,1,Gibson,Aye
2015-09-15,2,Bell,Aye
2015-09-15,2,Ebert,Aye
2015-09-15,2,Gibson,Aye
2015-09-15,3,Bell,Aye
2015-09-15,3,Ebert,Aye
2015-09-15,3,Gibson,Aye
2015-09-15,4,Bell,Aye
2015-09-15,4,Ebert,Aye
2015-09-15,4,Gibson,Aye
2015-09-15,5,Bell,Aye
2015-09-15,5,Ebert,Aye
2015-09-15,5,Gibson,Aye
2015-09-15,6,Bell,Aye
2015-09-15,6,Ebert,Aye
2015-09-15,6,Gibson,Aye
2015-09-29,1,Bell,Aye
2015-09-29,1,Ebert,Aye
2015-09-29,1,Gibson,Aye
2015-09-29,2,Bell,Aye
2015-09-29,2,Ebert,Aye
2015-09-29,2,Gibson,Aye
2015-09-29,3,Bell,Aye
2015-09-29,3,Ebert,Aye
2015-09-29,3,Gibson,Aye
2015-09-29,4,Bell,Aye
2015-09-29,4,Ebert,Aye
2015-09-29,4,Gibson,Aye
2015-09-29,5,Bell,Aye
2015-09-29,5,Ebert,Aye
2015-09-29,5,Gibson,Aye
2015-09-29,6,Bell,Aye
2015-09-29,6,Ebert,Aye
2015-09-29,6,Gibson,Aye
2015-09-29,7,Bell,Aye
2015-09-29,7,Ebert,Aye
2015-09-29,7,Gibson,Aye
2015-09-29,8,Bell,Aye
2015-09-29,8,Ebert,Aye
2015-09-29,8,Gibson,Aye
2015-09-29,9,Bell,Aye
2015-09-29,9,Ebert,Aye
2015-09-29,9,Gibson,Aye
2015-09-29,10,Bell,Aye
2015-09-29,10,Ebert,Aye
2015-09-29,10,Gibson,Aye
2015-10-06,1,Ebert,Aye
2015-10-06,1,Bell,Aye
2015-10-06,2,Ebert,Aye
2015-10-06,2,Bell,Aye
2015-10-06,3,Ebert,Aye
2015-10-06,3,Bell,Aye
2015-10-06,4,Ebert,Aye
2015-10-06,4,Bell,Aye
2015-10-06,5,Ebert,Aye
2015-10-06,5,Bell,Aye
2015-10-06,6,Ebert,Aye
2015-10-06,6,Bell,Aye
2015-10-06,7,Ebert,Aye
2015-10-06,7,Bell,Aye
2015-10-06,8,Ebert,Aye
2015-10-06,8,Bell,Aye
2015-10-13,1,Ebert,Aye
2015-10-13,1,Gibson,Aye
2015-10-13,2,Ebert,Aye
2015-10-13,2,Gibson,Aye
2015-10-13,3,Ebert,Aye
2015-10-13,3,Gibson,Aye
2015-10-13,4,Ebert,Aye
2015-10-13,4,Gibson,Aye
2015-10-13,5,Ebert,Aye
2015-10-13,5,Gibson,Aye
2015-10-13,6,Ebert,Aye
2015-10-13,6,Gibson,Aye
2015-10-13,7,Ebert,Aye
2015-10-13,7,Gibson,Aye
2015-10-20,1,Bell,Aye
2015-10-20,1,Ebert,Aye
2015-10-20,1,Gibson,Aye
2015-10-20,2,Bell,Aye
2015-10-20,2,Ebert,Aye
2015-10-20,2,Gibson,Aye
2015-10-20,3,Bell,Aye
2015-10-20,3,Ebert,Aye
2015-10-20,3,Gibson,Aye
2015-10-20,4,Bell,Aye
2015-10-20,4,Ebert,Aye
2015-10-20,4,Gibson,Aye
2015-10-27,1,Bell,Aye
2015-10-27,1,Ebert,Aye
2015-10-27,1,Gibson,Aye
2015-10-27,2,Bell,Aye
2015-10-27,2,Ebert,Aye
2015-10-27,2,Gibson,Aye
2015-10-27,3,Bell,Aye
2015-10-27,3,Ebert,Aye
2015-10-27,3,Gibson,Aye
2015-10-27,4,Bell,Aye
2015-10-27,4,Ebert,Aye
2015-10-27,4,Gibson,Aye
2015-10-27,5,Bell,Aye
2015-10-27,5,Ebert,Aye
2015-10-27,5,Gibson,Aye
2015-10-27,6,Bell,Aye
2015-10-27,6,Ebert,Aye
2015-10-27,6,Gibson,Aye
2015-10-27,7,Bell,Aye
2015-10-27,7,Ebert,Aye
2015-10-27,7,Gibson,Aye
2015-10-27,8,Bell,Aye
2015-10-27,8,Ebert,Aye
2015-10-27,8,Gibson,Aye
