meeting_date,motion_no,ref_type,ref_number,verbatim
2015-11-03,7,resolution,44-2015,Resolution 44-2015
2015-11-03,8,resolution,44-2015,Resolution 44-2015
2015-11-17,6,resolution,45-2015,Resolution 45-2015
2015-12-01,3,resolution,46-2015,Resolution 46-2015
2015-12-01,5,ordinance,2015-18,Ordinance 2015-18
2015-12-01,6,ordinance,2015-18,Ordinance 2015-18
2015-12-01,9,ordinance,2015-19,Ordinance 2015-19
2015-12-22,2,resolution,47-2015,Resolution 47-2015
2015-12-22,3,ordinance,2015-20,Ordinance 2015-20
2015-12-22,4,ordinance,2015-20,Ordinance 2015-20
2015-12-22,8,ordinance,2015-21,Ordinance 2015-21
2015-12-22,22,resolution,48-2015,Resolution 48-2015
2015-12-22,23,resolution,48-2015,Resolution 48-2015
2015-12-22,25,resolution,49-2015,Resolution 49-2015
2016-01-12,2,resolution,1-2016,Resolution 1-2016
2016-01-12,3,resolution,1-2016,Resolution 1-2016
2016-01-12,3,ordinance,2016-1,Ordinance 2016-1
2016-01-26,2,resolution,2-2016,Resolution 2-2016
2016-01-26,3,resolution,2-2016,Resolution 2-2016
2016-01-26,7,resolution,3-2016,Resolution 3-2016
2016-02-02,13,ordinance,2016-2,Ordinance 2016-2
2016-02-16,4,resolution,4-2016,Resolution 4-2016
2016-02-16,5,resolution,4-2016,Resolution 4-2016
2016-02-16,7,resolution,5-2016,Resolution 5-2016
2016-02-16,8,resolution,5-2016,RESOLUTION 5-2016
2016-03-01,8,resolution,6-2016,Resolution 6-2016
2016-03-01,9,resolution,7-2016,Resolution 7-2016
2016-03-01,10,resolution,7-2016,Resolution 7-2016
2016-03-29,2,resolution,8-2016,Resolution 8-2016
2016-04-19,2,resolution,9-2016,Resolution 9-2016
2016-04-19,3,resolution,9-2016,Resolution 9-2016
2016-04-19,4,resolution,10-2016,Resolution 10-2016
2016-04-19,5,resolution,10-2016,Resolution 10-2016
2016-04-26,10,resolution,11-2016,Resolution 11-2016
2016-04-26,11,resolution,11-2016,Resolution 11-2016
2016-05-03,3,ordinance,2016-3,Ordinance 2016-3
2016-05-10,9,resolution,12-2016,Resolution 12-2016
2016-05-10,10,resolution,12-2016,Resolution 12-2016
2016-05-17,2,resolution,13-2016,Resolution 13-2016
2016-05-17,9,resolution,14-2016,Resolution 14-2016
2016-05-17,10,resolution,14-2016,RESOLUTION 14-2016
2016-06-07,2,resolution,15-2016,Resolution 15-2016
2016-06-07,9,ordinance,2016-5,Ordinance 2016-5
2016-07-05,5,resolution,16-2016,Resolution 16-2016
2016-07-05,6,resolution,16-2016,RESOLUTION 16-2016
2016-07-05,9,resolution,17-2016,Resolution 17-2016
2016-07-05,19,ordinance,2016-6,Ordinance 2016-6
2016-07-05,21,resolution,18-2016,Resolution 18-2016
2016-07-12,3,resolution,19-2016,Resolution 19-2016
2016-07-12,4,resolution,20-2016,Resolution 20-2016
2016-07-12,7,resolution,21-2016,Resolution 21-2016
2016-07-12,9,resolution,22-2016,Resolution 22-2016
2016-07-19,2,ordinance,2016-7,Ordinance 2016-7
2016-07-19,8,resolution,23-2016,Resolution 23-2016
2016-08-02,2,resolution,25-2016,Resolution 25-2016
2016-08-02,3,resolution,25-2016,Resolution 25-2016
2016-08-02,8,ordinance,2016-8,Ordinance 2016-8
2016-08-09,3,resolution,26-2016,Resolution 26-2016
2016-08-09,9,resolution,27-2016,Resolution 27-2016
2016-08-09,10,resolution,27-2016,RESOLUTION 27-2016
2016-08-23,4,ordinance,2016-9,Ordinance 2016-9
2016-08-23,5,ordinance,2016-10,Ordinance 2016-10
2016-08-23,6,ordinance,2016-10,ORDINANCE 2016-10
2016-08-30,8,resolution,28-2016,Resolution 28-2016
2016-09-06,2,ordinance,2016-11,Ordinance 2016-11
2016-09-13,6,resolution,29-2016,Resolution 29-2016
2016-09-13,7,resolution,30-2016,Resolution 30-2016
2016-09-27,8,resolution,31-2016,Resolution 31-2016
2016-09-27,11,ordinance,2016-13,Ordinance 2016-13
2016-10-04,5,resolution,33-2016,Resolution 33-2016
2016-10-11,6,ordinance,2016-14,Ordinance 2016-14
2016-10-11,7,ordinance,2016-14,ORDINANCE 2016-14
2016-10-18,2,ordinance,2016-15,Ordinance 2016-15
2016-11-01,2,ordinance,2016-16,Ordinance 2016-16
2016-11-01,3,ordinance,2016-16,Ordinance 2016-16
2016-11-08,2,ordinance,2016-17,Ordinance 2016-17
2016-11-15,2,resolution,34-2016,Resolution 34-2016
2016-11-29,2,resolution,35-2016,Resolution 35-2016
2016-11-29,3,resolution,35-2016,RESOLUTION 35-2016
2016-11-29,8,resolution,36-2016,Resolution 36-2016
2016-11-29,9,resolution,37-2016,Resolution 37-2016
2016-11-29,10,resolution,37-2016,Resolution 37-2016
2016-12-13,11,resolution,38-2016,Resolution 38-2016
2016-12-13,12,resolution,38-2016,Resolution 38-2016
2016-12-20,4,resolution,39-2016,Resolution 39-2016
2017-01-03,5,ordinance,2017-1,Ordinance 2017-1
2017-01-03,6,ordinance,2017-1,Ordinance 2017-1
2017-01-10,4,resolution,1-2017,Resolution 1-2017
2017-01-10,5,resolution,2-2017,Resolution 2-2017
2017-01-10,6,resolution,2-2017,Resolution 2-2017
2017-01-10,9,resolution,3-2017,Resolution 3-2017
2017-01-17,5,resolution,4-2016,Resolution 4-2016
2017-01-17,6,resolution,4-2016,Resolution 4-2016
2017-01-24,2,resolution,5-2017,Resolution 5-2017
2017-01-24,3,resolution,5-2017,Resolution 5-2017
2017-01-24,5,ordinance,2017-2,Ordinance 2017-2
2017-02-07,2,resolution,6-2017,Resolution 6-2017
2017-02-07,4,resolution,7-2017,Resolution 7-2017
2017-02-14,3,resolution,8-2017,Resolution 8-2017
2017-02-14,4,resolution,8-2017,Resolution 8-2017
2017-02-21,3,ordinance,2017-3,Ordinance 2017-3
2017-02-21,4,ordinance,2017-3,Ordinance 2017-3
2017-02-21,8,ordinance,2017-4,Ordinance 2017-4
2017-02-21,9,ordinance,2017-4,ORDINANCE 2017-4
2017-03-07,5,ordinance,2017-5,Ordinance 2017-5
2017-03-07,6,ordinance,2017-6,Ordinance 2017-6
2017-03-07,7,ordinance,2017-6,Ordinance 2017-6
2017-03-07,13,resolution,9-2017,Resolution 9-2017
2017-03-07,14,resolution,9-2017,RESOLUTION 9-2017
2017-03-14,3,resolution,10-2017,Resolution 10-2017
2017-03-14,4,resolution,11-2017,Resolution 11-2017
2017-03-14,6,resolution,12-2017,Resolution 12-2017
2017-03-28,2,ordinance,2017-9,Ordinance 2017-9
2017-03-28,3,ordinance,2017-9,Ordinance 2017-9
2017-03-28,7,resolution,13-2017,Resolution 13-2017
2017-03-28,8,resolution,13-2017,Resolution 13-2017
2017-03-28,10,ordinance,2017-10,Ordinance 2017-10
2017-03-28,11,ordinance,2017-10,ORDINANCE 2017-10
2017-04-11,5,resolution,14-2017,Resolution 14-2017
2017-04-11,6,resolution,14-2017,Resolution 14-2017
2017-04-18,4,resolution,15-2017,Resolution 15-2017
2017-04-18,5,resolution,15-2017,Resolution 15-2017
2017-04-25,1,resolution,16-2017,Resolution 16-2017
2017-05-09,10,ordinance,2017-11,Ordinance 2017-11
2017-05-09,11,ordinance,2017-12,Ordinance 2017-12
2017-05-09,12,ordinance,2017-13,Ordinance 2017-13
2017-05-09,13,ordinance,2017-14,Ordinance 2017-14
2017-05-09,14,ordinance,2017-15,Ordinance 2017-15
2017-05-09,15,ordinance,2017-16,Ordinance 2017-16
2017-05-09,16,ordinance,2017-17,Ordinance 2017-17
2017-05-09,17,ordinance,2017-18,Ordinance 2017-18
2017-05-09,18,ordinance,2017-18,Ordinance 2017-18
2017-05-30,8,ordinance,2017-19,Ordinance 2017-19
2017-05-30,9,ordinance,2017-20,Ordinance 2017-20
2017-05-30,10,ordinance,2017-20,Ordinance 2017-20
2017-06-13,5,resolution,18-2017,Resolution 18-2017
2017-06-13,8,ordinance,2017-21,Ordinance 2017-21
2017-06-13,9,ordinance,2017-21,Ordinance 2017-21
2017-06-20,3,ordinance,2017-22,Ordinance 2017-22
2017-06-20,6,ordinance,2017-23,Ordinance 2017-23
2017-06-20,7,ordinance,2017-23,Ordinance 2017-23
2017-06-27,1,resolution,19-2017,Resolution 19-2017
2017-06-27,9,resolution,20-2017,Resolution 20-2017
2017-06-27,10,resolution,20-2017,Resolution 20-2017
2017-07-11,4,resolution,21-2017,Resolution 21-2017
2017-07-11,5,resolution,22-2017,Resolution 22-2017
2017-07-11,6,resolution,22-2017,Resolution 22-2017
2017-07-11,7,ordinance,2017-25,Ordinance 2017-25
2017-07-18,3,ordinance,2017-26,Ordinance 2017-26
2017-07-18,4,ordinance,2017-26,Ordinance 2017-26
2017-07-18,12,resolution,27-2017,Resolution 27-2017
2017-07-18,13,resolution,28-2017,Resolution 28-2017
2017-07-18,17,resolution,29-2017,Resolution 29-2017
2017-07-18,18,resolution,29-2017,RESOLUTION 29-2017
2017-08-01,7,resolution,30-2017,Resolution 30-2017
2017-08-08,3,resolution,31-2017,Resolution 31-2017
2017-08-08,4,resolution,32-2017,Resolution 32-2017
2017-08-08,5,resolution,32-2017,Resolution 32-2017
2017-08-15,2,ordinance,2017-28,Ordinance 2017-28
2017-08-22,2,resolution,33-2016,Resolution 33-2016
2017-08-22,3,resolution,33-2016,Resolution 33-2016
2017-09-05,4,resolution,34-2017,Resolution 34-2017
2017-09-05,5,resolution,34-2017,Resolution 34-2017
2017-09-12,7,resolution,35-2017,Resolution 35-2017
2017-09-19,11,ordinance,2017-29,Ordinance 2017-29
2017-09-19,12,ordinance,2017-29,ORDINANCE 2017-29
2017-09-26,4,resolution,38-2017,Resolution 38-2017
2017-09-26,6,resolution,39-2017,Resolution 39-2017
2017-09-26,7,resolution,40-2017,Resolution 40-2017
2017-10-03,6,resolution,41-2017,Resolution 41-2017
2017-10-17,9,resolution,43-2017,Resolution 43-2017
2017-10-31,2,ordinance,2017-31,Ordinance 2017-31
2017-10-31,3,ordinance,2017-32,Ordinance 2017-32
2017-10-31,5,resolution,44-2017,Resolution 44-2017
2017-10-31,6,resolution,45-2017,Resolution 45-2017
2017-10-31,7,resolution,45-2017,RESOLUTION 45-2017
2017-11-14,2,resolution,46-2017,Resolution 46-2017
2017-11-14,3,resolution,47-2017,Resolution 47-2017
2017-11-14,11,resolution,48-2017,Resolution 48-2017
2017-11-28,2,resolution,49-2017,Resolution 49-2017
2017-11-28,3,resolution,49-2017,Resolution 49-2017
2017-11-28,5,ordinance,2017-33,Ordinance 2017-33
2017-11-28,6,ordinance,2017-33,Ordinance 2017-33
2017-12-12,6,resolution,50-2017,Resolution 50-2017
2017-12-12,7,resolution,51-2017,Resolution 51-2017
2017-12-12,8,resolution,52-2017,Resolution 52-2017
2017-12-19,3,resolution,54-2017,Resolution 54-2017
2017-12-19,4,resolution,55-2017,Resolution 55-2017
2017-12-19,5,resolution,55-2017,Resolution 55-2017
2017-12-19,13,ordinance,2017-34,Ordinance 2017-34
2017-12-19,14,resolution,57-2017,Resolution 57-2017
2017-12-19,15,resolution,57-2017,Resolution 57-2017
2017-12-19,17,resolution,58-2017,Resolution 58-2017
2018-01-02,3,resolution,1-2018,Resolution 1-2018
2018-01-02,4,resolution,1-2018,Resolution 1-2018
2018-01-02,5,resolution,2-2018,Resolution 2-2018
2018-01-02,6,resolution,3-2018,Resolution 3-2018
2018-01-02,7,resolution,4-2018,Resolution 4-2018
2018-01-09,2,ordinance,2018-1,Ordinance 2018-1
2018-01-09,3,ordinance,2018-1,Ordinance 2018-1
2018-01-16,4,resolution,5-2018,Resolution 5-2018
2018-01-16,5,resolution,5-2018,Resolution 5-2018
2018-01-23,2,resolution,6-2018,Resolution 6-2018
2018-01-23,3,resolution,6-2018,Resolution 6-2018
2018-01-30,2,resolution,8-2018,Resolution 8-2018
2018-01-30,3,resolution,8-2018,Resolution 8-2018
2018-01-30,5,resolution,9-2018,Resolution 9-2018
2018-01-30,6,resolution,9-2018,Resolution 9-2018
2018-01-30,7,resolution,10-2018,Resolution 10-2018
2018-02-06,3,resolution,11-2018,Resolution 11-2018
2018-02-06,4,resolution,12-2018,Resolution 12-2018
2018-02-06,9,ordinance,2018-2,Ordinance 2018-2
2018-02-13,3,resolution,13-2018,Resolution 13-2018
2018-02-13,4,resolution,14-2018,Resolution 14-2018
2018-03-20,3,ordinance,2018-3,Ordinance 2018-3
2018-03-20,8,resolution,15-2018,Resolution 15-2018
2018-04-10,2,ordinance,2018-4,Ordinance 2018-4
2018-04-24,5,resolution,16-2018,Resolution 16-2018
2018-04-24,9,resolution,17-2018,Resolution 17-2018
2018-04-24,10,resolution,17-2018,RESOLUTION 17-2018
2018-05-01,8,ordinance,2018-5,Ordinance 2018-5
2018-05-08,9,ordinance,2018-6,Ordinance 2018-6
2018-05-22,3,resolution,18-2018,Resolution 18-2018
2018-05-29,2,resolution,19-2018,Resolution 19-2018
2018-05-29,8,resolution,20-2018,Resolution 20-2018
2018-05-29,9,resolution,20-2018,RESOLUTION 20-2018
2018-06-12,1,resolution,21-2018,Resolution 21-2018
2018-06-19,3,ordinance,2018-7,Ordinance 2018-7
2018-06-19,4,ordinance,2018-7,Ordinance 2018-7
2018-06-19,10,resolution,24-2018,Resolution 24-2018
2018-06-19,11,resolution,24-2018,Resolution 24-2018
2018-06-26,9,resolution,25-2018,Resolution 25-2018
2018-07-03,3,resolution,26-2018,Resolution 26-2018
2018-07-03,4,resolution,27-2018,Resolution 27-2018
2018-07-03,5,resolution,28-2018,Resolution 28-2018
2018-07-03,6,resolution,28-2018,Resolution 28-2018
2018-07-03,10,resolution,30-2018,Resolution 30-2018
2018-07-10,4,resolution,31-2018,Resolution 31-2018
2018-07-10,5,ordinance,2018-8,Ordinance 2018-8
2018-07-17,2,resolution,32-2018,Resolution 32-2018
2018-07-31,2,resolution,33-2018,Resolution 33-2018
2018-07-31,3,resolution,34-2018,Resolution 34-2018
2018-07-31,4,resolution,35-2018,Resolution 35-2018
2018-07-31,5,resolution,36-2018,Resolution 36-2018
2018-07-31,7,resolution,37-2018,Resolution 37-2018
2018-07-31,9,ordinance,2018-9,Ordinance 2018-9
2018-07-31,10,ordinance,2018-9,Ordinance 2018-9
2018-08-07,3,resolution,38-2018,Resolution 38-2018
2018-08-14,3,resolution,39-2018,Resolution 39-2018
2018-08-14,7,ordinance,2018-10,Ordinance 2018-10
2018-08-14,8,ordinance,2018-10,ORDINANCE 2018-10
2018-08-21,3,ordinance,2018-11,Ordinance 2018-11
2018-08-21,5,resolution,40-2018,Resolution 40-2018
2018-08-21,6,resolution,40-2018,RESOLUTION 40-2018
2018-08-28,3,resolution,41-2018,Resolution 41-2018
2018-08-28,4,resolution,42-2018,Resolution 42-2018
2018-08-28,12,ordinance,2018-12,Ordinance 2018-12
2018-08-28,13,ordinance,2018-13,Ordinance 2018-13
2018-09-04,4,resolution,44-2018,Resolution 44-2018
2018-09-04,5,resolution,44-2018,Resolution 44-2018
2018-09-11,3,resolution,45-2018,Resolution 45-2018
2018-09-11,4,resolution,45-2018,Resolution 45-2018
2018-09-11,6,ordinance,2018-14,Ordinance 2018-14
2018-09-11,7,ordinance,2018-15,Ordinance 2018-15
2018-09-11,8,resolution,46-2018,Resolution 46-2018
2018-09-11,8,ordinance,2018-15,Ordinance 2018-15
2018-09-18,9,ordinance,2018-16,Ordinance 2018-16
2018-09-18,10,ordinance,2018-16,ORDINANCE 2018-16
2018-10-02,2,resolution,47-2018,Resolution 47-2018
2018-10-02,7,resolution,48-2018,Resolution 48-2018
2018-10-02,8,resolution,48-2018,Resolution 48-2018
2018-10-02,8,ordinance,2018-17,Ordinance 2018-17
2018-10-09,2,resolution,49-2018,Resolution 49-2018
2018-10-16,4,ordinance,2018-18,Ordinance 2018-18
2018-10-30,2,resolution,50-2018,Resolution 50-2018
2018-10-30,3,resolution,51-2018,Resolution 51-2018
2018-10-30,5,ordinance,2018-19,Ordinance 2018-19
2018-10-30,9,resolution,52-2018,Resolution 52-2018
2018-10-30,10,resolution,52-2018,Resolution 52-2018
2018-11-06,3,resolution,53-2018,Resolution 53-2018
2018-11-06,4,resolution,53-2018,Resolution 53-2018
2018-11-13,2,resolution,54-2018,Resolution 54-2018
2018-11-13,3,resolution,54-2018,Resolution 54-2018
2018-11-13,8,ordinance,2018-20,Ordinance 2018-20
2018-11-13,9,ordinance,2018-20,ORDINANCE 2018-20
2018-11-20,3,resolution,55-2018,Resolution 55-2018
2018-11-20,4,resolution,55-2018,Resolution 55-2018
2018-12-04,5,resolution,56-2018,Resolution 56-2018
2018-12-04,6,resolution,56-2018,Resolution 56-2018
2018-12-04,8,resolution,57-2018,Resolution 57-2018
2018-12-04,9,resolution,57-2018,RESOLUTION 57-2018
2018-12-04,11,resolution,58-2018,Resolution 58-2018
2018-12-04,12,resolution,58-2018,RESOLUTION 58-2018
2018-12-04,12,ordinance,2018-21,Ordinance 2018-21
2018-12-11,3,resolution,59-2018,Resolution 59-2018
2018-12-11,4,resolution,60-2018,Resolution 60-2018
2018-12-11,5,resolution,61-2018,Resolution 61-2018
2018-12-11,6,resolution,61-2018,RESOLUTION 61-2018
2018-12-11,7,resolution,62-2018,Resolution 62-2018
2018-12-11,8,resolution,62-2018,Resolution 62-2018
2018-12-11,14,resolution,63-2018,Resolution 63-2018
2018-12-18,2,ordinance,2018-22,Ordinance 2018-22
2018-12-18,3,resolution,64-2018,Resolution 64-2018
2018-12-18,3,ordinance,2018-22,Ordinance 2018-22
2018-12-18,4,resolution,65-2018,Resolution 65-2018
2018-12-18,5,resolution,66-2018,Resolution 66-2018
2018-12-18,6,resolution,66-2018,Resolution 66-2018
2018-12-18,13,ordinance,2018-23,ORDINANCE 2018-23
2018-12-18,14,ordinance,2018-23,Ordinance 2018-23
2019-01-15,3,resolution,1-2019,Resolution 1-2019
2019-01-22,2,resolution,2-2019,Resolution 2-2019
2019-01-22,4,resolution,3-2019,Resolution 3-2019
2019-01-29,2,resolution,4-2019,Resolution 4-2019
2019-01-29,3,ordinance,2019-1,Ordinance 2019-1
2019-02-05,2,resolution,5-2019,Resolution 5-2019
2019-02-05,3,resolution,6-2019,Resolution 6-2019
2019-02-05,4,resolution,7-2019,Resolution 7-2019
2019-02-05,8,ordinance,2019-2,Ordinance 2019-2
2019-02-12,2,resolution,8-2019,Resolution 8-2019
2019-02-12,3,resolution,8-2019,Resolution 8-2019
2019-02-12,7,ordinance,2019-3,Ordinance 2019-3
2019-02-12,8,ordinance,2019-3,ORDINANCE 2019-3
2019-02-19,3,resolution,9-2019,Resolution 9-2019
2019-02-19,4,resolution,10-2019,Resolution 10-2019
2019-02-19,5,resolution,10-2019,RESOLUTION 10-2019
2019-02-19,6,resolution,11-2019,Resolution 11-2019
2019-02-19,7,resolution,12-2019,Resolution 12-2019
2019-02-26,5,resolution,13-2019,Resolution 13-2019
2019-03-12,5,resolution,14-2019,Resolution 14-2019
2019-03-12,6,resolution,15-2019,RESOLUTION 15-2019
2019-03-12,19,ordinance,2019-4,Ordinance 2019-4
2019-03-12,20,ordinance,2019-5,Ordinance 2019-5
2019-03-19,2,ordinance,2019-6,Ordinance 2019-6
2019-03-19,3,resolution,20-2019,Resolution 20-2019
2019-03-19,3,ordinance,2019-6,Ordinance 2019-6
2019-03-19,4,resolution,20-2019,Resolution 20-2019
2019-03-19,7,ordinance,2019-7,Ordinance 2019-7
2019-03-19,8,ordinance,2019-7,ORDINANCE 2019-7
2019-03-26,2,resolution,21-2019,Resolution 21-2019
2019-03-26,4,resolution,22-2019,Resolution 22-2019
2019-03-26,5,resolution,22-2019,RESOLUTION 22-2019
2019-03-26,6,resolution,23-2019,Resolution 23-2019
2019-03-26,7,resolution,23-2019,Resolution 23-2019
2019-03-26,12,resolution,24-2019,Resolution 24-2019
2019-03-26,13,resolution,24-2019,RESOLUTION 24-2019
2019-04-02,2,resolution,25-2019,Resolution 25-2019
2019-04-23,3,resolution,26-2019,Resolution 26-2019
2019-04-23,4,resolution,26-2019,Resolution 26-2019
2019-05-07,2,ordinance,2019-8,Ordinance 2019-8
2019-05-07,3,ordinance,2019-8,Ordinance 2019-8
2019-05-07,4,resolution,27-2019,Resolution 27-2019
2019-05-28,2,resolution,28-2019,Resolution 28-2019
2019-05-28,3,resolution,29-2019,Resolution 29-2019
2019-05-28,4,resolution,29-2019,Resolution 29-2019
2019-05-28,11,resolution,30-2019,Resolution 30-2019
2019-06-04,3,ordinance,2019-9,Ordinance 2019-9
2019-06-04,4,resolution,31-2019,Resolution 31-2019
2019-06-04,4,ordinance,2019-9,Ordinance 2019-9
2019-06-04,5,resolution,31-2019,Resolution 31-2019
2019-06-04,12,resolution,32-2019,Resolution 32-2019
2019-06-11,7,resolution,33-2019,Resolution 33-2019
2019-06-11,8,resolution,34-2019,Resolution 34-2019
2019-06-11,9,ordinance,2019-10,Ordinance 2019-10
2019-06-11,10,ordinance,2019-10,Ordinance 2019-10
2019-06-11,13,ordinance,2019-11,Ordinance 2019-11
2019-06-11,14,resolution,35-2019,Resolution 35-2019
2019-06-11,14,ordinance,2019-11,ORDINANCE 2019-11
2019-06-11,15,resolution,35-2019,RESOLUTION 35-2019
2019-06-11,15,ordinance,2019-12,Ordinance 2019-12
2019-06-18,2,resolution,36-2019,Resolution 36-2019
2019-06-18,6,resolution,37-2019,Resolution 37-2019
2019-06-18,7,resolution,37-2019,Resolution 37-2019
2019-06-18,18,resolution,38-2019,Resolution 38-2019
2019-06-25,2,resolution,39-2019,Resolution 39-2019
2019-06-25,3,resolution,40-2019,Resolution 40-2019
2019-06-25,4,resolution,41-2019,RESOLUTION 41-2019
2019-06-25,5,resolution,42-2019,Resolution 42-2019
2019-06-25,6,resolution,43-2019,Resolution 43-2019
2019-07-02,2,resolution,44-2019,Resolution 44-2019
2019-07-02,3,resolution,45-2019,Resolution 45-2019
2019-07-02,4,resolution,45-2019,Resolution 45-2019
2019-07-02,10,resolution,46-2019,Resolution 46-2019
2019-07-02,11,resolution,46-2019,RESOLUTION 46-2019
2019-07-16,3,resolution,47-2019,Resolution 47-2019
2019-07-16,4,resolution,47-2019,RESOLUTION 47-2019
2019-07-23,6,resolution,48-2019,Resolution 48-2019
2019-07-23,7,resolution,48-2019,Resolution 48-2019
2019-07-30,11,ordinance,2019-13,Ordinance 2019-13
2019-07-30,12,ordinance,2019-13,ORDINANCE 2019-13
2019-07-30,14,ordinance,2019-14,Ordinance 2019-14
2019-07-30,15,ordinance,2019-14,ORDINANCE 2019-14
2019-08-06,4,resolution,49-2019,Resolution 49-2019
2019-08-06,5,resolution,49-2019,RESOLUTION 49-2019
2019-08-06,8,resolution,50-2019,Resolution 50-2019
2019-08-06,9,resolution,50-2019,RESOLUTION 50-2019
2019-08-06,9,ordinance,2019-15,Ordinance 2019-15
2019-08-06,10,ordinance,2019-15,ORDINANCE 2019-15
2019-08-20,2,ordinance,2019-16,Ordinance 2019-16
2019-08-20,3,ordinance,2019-17,Ordinance 2019-17
2019-08-20,4,ordinance,2019-17,Ordinance 2019-17
2019-08-27,3,resolution,51-2019,Resolution 51-2019
2019-08-27,4,resolution,52-2019,Resolution 52-2019
2019-09-10,2,ordinance,2019-18,Ordinance 2019-18
2019-09-10,4,ordinance,2019-19,Ordinance 2019-19
2019-09-10,5,ordinance,2019-19,Ordinance 2019-19
2019-09-17,2,ordinance,2019-20,Ordinance 2019-20
2019-09-17,3,resolution,53-2019,Resolution 53-2019
2019-09-17,4,resolution,54-2019,Resolution 54-2019
2019-09-17,5,resolution,55-2019,Resolution 55-2019
2019-10-08,3,resolution,56-2019,Resolution 56-2019
2019-10-08,4,ordinance,2019-21,Ordinance 2019-21
2019-10-08,5,ordinance,2019-22,Ordinance 2019-22
2019-10-08,6,ordinance,2019-23,Ordinance 2019-23
2019-10-08,7,ordinance,2019-23,Ordinance 2019-23
2019-10-29,3,resolution,57-2019,Resolution 57-2019
2019-11-19,8,resolution,58-2019,Resolution 58-2019
