layer,description,publisher,url,api_endpoint,format,vintage,license,growth_relevance,notes
City Zoning,Zoning within incorporated municipalities (compiled by the county).,Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/City_Zoning/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/City_Zoning/MapServer/0,ArcGIS MapServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,medium,Cross-municipal zoning composition; the county-side compilation of city zoning.
Floodplain,FEMA/county floodplain areas.,Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/Floodplain/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/Floodplain/MapServer/0,ArcGIS MapServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,medium,Development constraint (Title 17 sensitive areas).
Floodplain Study Areas,Floodplain study / special-review areas.,Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/Floodplain_Study_Areas/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/Floodplain_Study_Areas/MapServer/0,ArcGIS MapServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,medium,Development constraint.
Sensitive Area Planning,"Sensitive-lands overlay (steep slope, geologic hazard, etc.).",Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/Sensitive_Area_Planning/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/Sensitive_Area_Planning/MapServer/0,ArcGIS MapServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,medium,Title 17.18 Sensitive Areas as geography - a hard development constraint.
Airport Overlays,Airport limitation / overlay areas.,Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/Airport_Overlays/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/Airport_Overlays/MapServer/0,ArcGIS MapServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,medium,Title 17.17 Airport Limitation Areas - a common contested land-use factor in the county PC minutes.
Sand and Gravel,Sand/gravel and mineral-extraction sites/areas.,Cache County (Planning & Zoning),https://gis.cachecounty.gov/arcgis/rest/services/Planning/Sand_and_Gravel/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/Planning/Sand_and_Gravel/MapServer/0,ArcGIS MapServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,medium,Title 17.13 Mineral Extraction - a recurring PC agenda topic (gravel-pit rezones).
Assessor Parcel Analysis,Parcels joined to current-year assessor value/analysis.,Cache County (Assessor),https://gis.cachecounty.gov/arcgis/rest/services/Assessor/Parcels_Current_Assessor_Parcel_Analysis_Solution/MapServer,,ArcGIS MapServer,live service (current year),Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,medium,County-side parcel+assessor layer; for a queryable parcel attribute layer prefer the UGRC Parcels_Cache_LIR row. Enumerate sublayers via ?f=json.
Cadastral / Parcels,County cadastral / parcel fabric.,Cache County (Recorder/Surveyor),https://gis.cachecounty.gov/arcgis/rest/services/Cadastral/Cadastral/MapServer,https://gis.cachecounty.gov/arcgis/rest/services/Cadastral/Cadastral/MapServer/0,ArcGIS MapServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,medium,County parcel/cadastre geometry.
County Voting / Districts,Voting precincts & county-council district geography.,Cache County (Clerk),https://gis.cachecounty.gov/arcgis/rest/services/Voting/Voting_Information/FeatureServer,https://gis.cachecounty.gov/arcgis/rest/services/Voting/Voting_Information/FeatureServer/0,ArcGIS FeatureServer,live service,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,medium,Representation<->geography; pair with elections + legislative modules.
Cache County Parcels (LIR),"Parcels joined to assessor/tax-roll attributes via the statewide LIR schema (owner, acreage, value, year built, sqft).",UGRC / Utah SGID (with Cache County Assessor),https://gis.utah.gov/products/sgid/cadastre/parcels/,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Parcels_Cache_LIR/FeatureServer/0,ArcGIS FeatureServer,updated periodically,CC BY 4.0 (UGRC/SGID),high,"~73,655 parcels. The authoritative growth/housing base layer with assessor attributes. Do NOT bulk-download; query by bbox/where. Exports: csv,geojson,shp,gpkg."
Cache County Parcels (geometry),Parcel boundary polygons only (no tax-roll attributes).,UGRC / Utah SGID,https://gis.utah.gov/products/sgid/cadastre/parcels/,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Parcels_Cache/FeatureServer/0,ArcGIS FeatureServer,updated periodically,CC BY 4.0 (UGRC/SGID),medium,"~60,227 polygons. Use the LIR variant unless you only need geometry."
Utah Address Points (Cache subset),Authoritative USPS address points statewide; filter to Cache County.,UGRC / Utah SGID,https://gis.utah.gov/products/sgid/location/address-points/,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/UtahAddressPoints/FeatureServer/0,ArcGIS FeatureServer,continuously updated,CC BY 4.0 (UGRC/SGID),medium,1.49M statewide; filter to Cache by the county field or a Cache bbox. Backs address->district lookups.
Utah Municipal Boundaries,Incorporated city/town boundaries statewide (annexation-maintained).,UGRC / Utah SGID,https://gis.utah.gov/products/sgid/boundaries/municipalities/,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/UtahMunicipalBoundaries/FeatureServer/0,ArcGIS FeatureServer,continuously updated,CC BY 4.0 (UGRC/SGID),high,261 statewide; filter to Cache. The frame for city-vs-unincorporated (county-jurisdiction) growth questions.
Cache County GeoHub (open-data portal),"The county's ArcGIS Hub open-data site - browse/download/export county layers (parcels, zoning, planning) as csv/geojson/shp.",Cache County,https://gis-cacheut.opendata.arcgis.com,https://gis-cacheut.opendata.arcgis.com,ArcGIS Hub open-data portal,live,Public county GIS (gis.cachecounty.gov) - verify terms with Cache County; no explicit open license posted,high,"Entry point for exports of the county layers above; also the Parcel & Zoning Viewer at gis.cachecounty.gov. Portal, not a single layer."
