date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,agenda_internal_id,content_length_bytes,size_mb,stored_locally,doc_class,fetch_status,sha256,text_path,text_chars
2020-09-09,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_09092020-809,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,809,9480382,9.48,no,,,,,
2020-09-23,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_09232020-812,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,812,12010864,12.01,no,,,,,
2020-10-07,Planning Commission packet 10/7/2020,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_10072020-816,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,816,1483362,1.48,no,,,,,
2020-10-28,AMENDED City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_10282020-825,2026-07-13,text,pdftotext,,825,5375135,5.38,no,,ok,37b23546de99be57daa8c10e7c335e95565be79e628090daffa16871095ea1db,text/council_2020-10-28_packet_825.txt,528577
2020-11-04,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_11042020-827,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,827,2884606,2.88,no,,,,,
2020-11-18,AMENDED City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_11182020-832,2026-07-13,text,pdftotext,,832,7052110,7.05,no,,ok,0fc9a6f524a5409ca84c829bb3457583f2e00c6ccaa723710533bba8f7198e36,text/council_2020-11-18_packet_832.txt,216454
2020-12-02,Planning Commission 12.2.2020 Packet,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_12022020-838,2026-07-13,text,pdftotext,,838,4645298,4.65,no,,ok,2c7401978e5bc9ef0f6724f5e8bb2609ea2506169e321a669a7fbcc68abde39a,text/pc_2020-12-02_packet_838.txt,99010
2020-12-09,"AMENDED City Council, LBA & RDA Combined Electronic Meeting Agenda and Packet PDF",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_12092020-842,2026-07-13,text,pdftotext,,842,2411375,2.41,no,,ok,9d526e4e4ecd9cd7ed5bae4b401e6c1971fd38849b7ebfa0c6851b4ccee8cad8,text/council_2020-12-09_packet_842.txt,253723
2021-01-06,Planning Commission Electronic Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_01062021-846,2026-07-13,text,pdftotext,,846,3824356,3.82,no,,ok,3576790d16b7ce125e396195c9911c1487a913126c29245bed80dae62053dc9a,text/pc_2021-01-06_packet_846.txt,668094
2021-01-13,"AMENDED City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_01132021-850,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,850,5448498,5.45,no,,,,,
2021-01-20,Planning Commission Electronic Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_01202021-854,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,854,1692343,1.69,no,,,,,
2021-01-27,AMENDED City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_01272021-858,2026-07-13,text,pdftotext,,858,18037691,18.04,no,,ok,2da594ac18e5bb21f37353ece93487aa07bedd22121ddfcffd8ee2be7b3c8a2f,text/council_2021-01-27_packet_858.txt,350915
2021-02-03,Planning Commission Electronic Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_02032021-861,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,861,35230110,35.23,no,,,,,
2021-02-10,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_02102021-867,2026-07-13,text,pdftotext,,867,2492632,2.49,no,,ok,2afffa37a85cb2345b86c5d3195a8e201c8b0c64183b8caeec5c5ca12e9887d5,text/council_2021-02-10_packet_867.txt,169512
2021-02-24,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_02242021-873,2026-07-13,text,pdftotext,,873,1824607,1.82,no,,ok,53a85e2ed27edc065af64549bd2298658932c6c64621705c249bbc2d4cdbc70f,text/council_2021-02-24_packet_873.txt,123768
2021-03-10,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_03102021-878,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,878,7530003,7.53,no,,,,,
2021-03-17,Planning Commission Electronic Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_03172021-881,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,881,6568594,6.57,no,,,,,
2021-03-24,AMENDED City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_03242021-884,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,884,3892634,3.89,no,,,,,
2021-04-07,Planning Commission Electronic Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_04072021-890,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,890,17766165,17.77,no,,,,,
2021-04-14,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_04142021-895,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,895,5286888,5.29,no,,,,,
2021-04-21,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_04212021-898,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,898,2811693,2.81,no,,,,,
2021-04-28,"City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_04282021-900,2026-07-13,text,pdftotext,,900,920008,0.92,no,,ok,eac314f955ea2b1374f1ed34fa2cfa101ac0a47695dedc5601c79aa1656af57b,text/council_2021-04-28_packet_900.txt,384011
2021-05-12,City Council & Local Building Authority Combined Meeting Agenda & Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_05122021-910,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,910,3988394,3.99,no,,,,,
2021-05-19,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_05192021-913,2026-07-13,text,pdftotext,,913,856614,0.86,no,,ok,c1fcd5cdafc8609193429c70de681513daeb581e0fc716dd48c9a4c53b503d6f,text/pc_2021-05-19_packet_913.txt,234557
2021-05-26,AMENDED City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_05262021-916,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,916,8287126,8.29,no,,,,,
2021-06-09,"City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_06092021-921,2026-07-13,text,pdftotext,,921,8861998,8.86,no,,ok,77d2a65781c909615eb6036ba24de321e1b59907892bd8526da783af52fbe302,text/council_2021-06-09_packet_921.txt,602239
2021-06-22,City Council Special Electronic Meeting Agenda and Packet PDF,Council,special,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_06222021-926,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,926,751199,0.75,no,,,,,
2021-06-23,"AMENDED City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_06232021-928,2026-07-13,text,pdftotext,,928,1029242,1.03,no,,ok,a03263c4549e615182737d88b1bc613648cbaa5a408bb0b582f016b1578b8ad7,text/council_2021-06-23_packet_928.txt,167270
2021-07-07,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_07072021-940,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,940,6796981,6.8,no,,,,,
2021-07-08,City Council Special Electronic Meeting Agenda Packet PDF,Council,special,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_07082021-938,2026-07-13,text,pdftotext,,938,164996,0.16,no,,ok,f7c5a5e673fceb66cbf6c3963d398de37a364a72542d591b29b687276ceb298c,text/council_2021-07-08_packet_938.txt,17715
2021-07-14,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_07142021-943,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,943,4353828,4.35,no,,,,,
2021-07-28,AMENDED City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_07282021-947,2026-07-13,text,pdftotext,,947,645198,0.65,no,,ok,3c5d4a3c7245babe999b27abf6354f6baed86ce938422029b31d4d746293953f,text/council_2021-07-28_packet_947.txt,131244
2021-08-04,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_08042021-949,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,949,16798663,16.8,no,,,,,
2021-08-25,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_08252021-953,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,953,68292078,68.29,no,,,,,
2021-09-01,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_09012021-958,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,958,3872304,3.87,no,,,,,
2021-09-15,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_09152021-966,2026-07-13,text,pdftotext,,966,6687311,6.69,no,,ok,de99dee988b5d59f93da07602d012cba58c60ed82b0f89c4d2cadacf458daeca,text/pc_2021-09-15_packet_966.txt,300101
2021-09-22,"City Council, Planning Commission & RDA Combined Meeting Agenda and Packet PDF",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_09222021-969,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,969,29758952,29.76,no,,,,,
2021-09-29,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_09292021-972,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,972,33649748,33.65,no,,,,,
2021-10-06,AMENDED City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_10062021-975,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,975,10107293,10.11,no,,,,,
2021-10-20,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_10202021-983,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,983,7914106,7.91,no,,,,,
2021-11-03,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_11032021-990,2026-07-13,text,pdftotext,,990,936188,0.94,no,,ok,fd1ed6bf0d1f17c0c177cb1d291f2e7aba8fad58a0f46040abec9eb62e746027,text/pc_2021-11-03_packet_990.txt,34065
2021-11-17,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_11172021-998,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,998,77077436,77.08,no,,,,,
2021-12-01,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_12012021-1005,2026-07-13,text,pdftotext,,1005,7185579,7.19,no,,ok,ca6a69d42aa007bdf3cf5a40c28c38652aec3ce0d700f0f58d5df49db876bf2f,text/pc_2021-12-01_packet_1005.txt,111056
2021-12-08,"City Council, LBA & RDA Combined Meeting Agenda Packet PDF",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_12082021-1007,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,1007,1715531,1.72,no,,,,,
2022-01-05,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_01052022-1014,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,1014,965820,0.97,no,,,,,
2022-01-12,"City Council, Planning Commission & RDA Combined Meeting Agenda Packet PDF",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_01122022-1016,2026-07-13,text,pdftotext,,1016,8964429,8.96,no,,ok,5db1d77a5f13b5f1090b3699ac36d8b7590b55ed99110fe7bbebe758cba4ccbf,text/council_2022-01-12_packet_1016.txt,279042
2022-01-26,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_01262022-1019,2026-07-13,text,pdftotext,,1019,3551209,3.55,no,,ok,93f3b613825998006ed1bf4a68feb3363390c7ddb1d1c45db89e0f1e12501e0d,text/council_2022-01-26_packet_1019.txt,165786
2022-02-09,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_02092022-1023,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,1023,5845173,5.85,no,,,,,
2022-02-23,"City Council, LBA & RDA Combined Meeting Agenda Packet PDF",Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_02232022-1027,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,1027,15959819,15.96,no,,,,,
2022-03-09,City Council & RDA Combined Meeting Agenda Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_03092022-1032,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,1032,9324028,9.32,no,,,,,
2022-03-16,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_03162022-1037,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,1037,25453854,25.45,no,,,,,
2022-03-23,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_03232022-1040,2026-07-13,text,pdftotext,,1040,11474112,11.47,no,,ok,f31c045e6d97aef18d0db9ec3f4e8169fee987fbd16cceb0f1dc1918417044f3,text/council_2022-03-23_packet_1040.txt,109911
2022-04-06,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_04062022-1046,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,1046,22873540,22.87,no,,,,,
2022-04-13,City Council Regular Meeting Agenda and Packet PDF,Council,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_04132022-1052,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,1052,24119308,24.12,no,,,,,
2022-04-20,Planning Commission Meeting Agenda Packet PDF,PlanningCommission,regular,full_packet,https://www.bluffdale.gov/AgendaCenter/ViewFile/Agenda/_04202022-1055,2026-07-13,na,"not_retrieved (index-only; fetch source_url on demand — pdftotext for born-digital staff-report text, vision/OCR for map/plat exhibits)",,1055,6163046,6.16,no,,,,,
