ordinance_no,notice_id,notice_url,pmn_file_id,source_url,posted_date,notice_title,filename
25-06,978527,https://www.utah.gov/pmn/sitemap/notice/978527.html,1241899,https://www.utah.gov/pmn/files/1241899.pdf,2025-03-04,NOTICE OF ADOPTION - ORDINANCE NO. 25-06,2025-Ordinance No. 25-06.pdf
25-07,978531,https://www.utah.gov/pmn/sitemap/notice/978531.html,1241897,https://www.utah.gov/pmn/files/1241897.pdf,2025-03-04,NOTICE OF ADOPTION - ORDINANCE NO. 25-07,2025-Ordinance No. 25-07.pdf
25-08,984797,https://www.utah.gov/pmn/sitemap/notice/984797.html,1253673,https://www.utah.gov/pmn/files/1253673.pdf,2025-04-01,NOTICE OF ADOPTION - ORDINANCE NO. 25-08,2025-Ordinance No. 25-08.pdf
25-09,984805,https://www.utah.gov/pmn/sitemap/notice/984805.html,1253675,https://www.utah.gov/pmn/files/1253675.pdf,2025-04-01,NOTICE OF ADOPTION - ORDINANCE NO. 25-09,2025-Ordinance No. 25-09.pdf
25-10,984795,https://www.utah.gov/pmn/sitemap/notice/984795.html,1253669,https://www.utah.gov/pmn/files/1253669.pdf,2025-04-01,NOTICE OF ADOPTION - ORDINANCE NO. 25-10,2025-Ordinance No. 25-10.pdf
25-11,984815,https://www.utah.gov/pmn/sitemap/notice/984815.html,1253681,https://www.utah.gov/pmn/files/1253681.pdf,2025-04-01,NOTICE OF ADOPTION - ORDINANCE NO. 25-11,2025-Ordinance No. 25-11.pdf
25-12,997011,https://www.utah.gov/pmn/sitemap/notice/997011.html,1275641,https://www.utah.gov/pmn/files/1275641.pdf,2025-05-20,NOTICE OF ADOPTION - ORDINANCE NO. 25-12,2025-Ordinance No. 25-12.pdf
25-13,988397,https://www.utah.gov/pmn/sitemap/notice/988397.html,1260085,https://www.utah.gov/pmn/files/1260085.pdf,2025-04-15,NOTICE OF ADOPTION - ORDINANCE NO. 25-13,2025-Ordinance No. 25-13.pdf
25-14,992987,https://www.utah.gov/pmn/sitemap/notice/992987.html,1267955,https://www.utah.gov/pmn/files/1267955.pdf,2025-05-06,NOTICE OF ADOPTION - ORDINANCE NO. 25-14,2025-Ordinance No. 25-14.pdf
25-15,997131,https://www.utah.gov/pmn/sitemap/notice/997131.html,1275873,https://www.utah.gov/pmn/files/1275873.pdf,2025-05-20,NOTICE OF ADOPTION - ORDINANCE NO. 25-15,2025-Ordinance No. 25-15.pdf
25-16,1000003,https://www.utah.gov/pmn/sitemap/notice/1000003.html,1280805,https://www.utah.gov/pmn/files/1280805.pdf,2025-06-03,NOTICE OF ADOPTION - ORDINANCE NO. 25-16,2025-Ordinance No. 25-16.pdf
25-17,999993,https://www.utah.gov/pmn/sitemap/notice/999993.html,1280795,https://www.utah.gov/pmn/files/1280795.pdf,2025-06-03,NOTICE OF ADOPTION - ORDINANCE NO. 25-17,2025-Ordinance No. 25-17.pdf
25-18,999987,https://www.utah.gov/pmn/sitemap/notice/999987.html,1280789,https://www.utah.gov/pmn/files/1280789.pdf,2025-06-03,NOTICE OF ADOPTION - ORDINANCE NO. 25-18,2025-Ordinance No. 25-18.pdf
25-19,999977,https://www.utah.gov/pmn/sitemap/notice/999977.html,1280773,https://www.utah.gov/pmn/files/1280773.pdf,2025-06-03,NOTICE OF ADOPTION - ORDINANCE NO. 25-19,2025-Ordinance No. 25-19.pdf
25-20,1010229,https://www.utah.gov/pmn/sitemap/notice/1010229.html,1299097,https://www.utah.gov/pmn/files/1299097.pdf,2025-07-15,NOTICE OF ADOPTION - ORDINANCE NO. 25-20,2025-Ordinance No. 25-20.pdf
25-21,1023771,https://www.utah.gov/pmn/sitemap/notice/1023771.html,1324507,https://www.utah.gov/pmn/files/1324507.pdf,2025-09-16,NOTICE OF ADOPTION - ORDINANCE NO. 25-21,2025-Ordinance No. 25-21.pdf
25-23,1032371,https://www.utah.gov/pmn/sitemap/notice/1032371.html,1340147,https://www.utah.gov/pmn/files/1340147.pdf,2025-10-21,NOTICE OF ADOPTION - ORDINANCE NO. 25-23,2025-Ordinance No. 25-23.pdf
25-25,1032373,https://www.utah.gov/pmn/sitemap/notice/1032373.html,1340171,https://www.utah.gov/pmn/files/1340171.pdf,2025-10-21,NOTICE OF ADOPTION - ORDINANCE NO. 25-25,2025-Ordinance No. 25-25.pdf
26-01,1053915,https://www.utah.gov/pmn/sitemap/notice/1053915.html,1380291,https://www.utah.gov/pmn/files/1380291.pdf,2026-01-20,NOTICE OF ADOPTION - ORDINANCE NO. 26-01,2026-Ordinance No. 26-01.pdf
26-02,1057229,https://www.utah.gov/pmn/sitemap/notice/1057229.html,1386867,https://www.utah.gov/pmn/files/1386867.pdf,2026-02-03,NOTICE OF ADOPTION - ORDINANCE NO. 26-02,2026-Ordinance No. 26-02.pdf
26-03,1072579,https://www.utah.gov/pmn/sitemap/notice/1072579.html,1417517,https://www.utah.gov/pmn/files/1417517.pdf,2026-04-07,NOTICE OF ADOPTION - ORDINANCE NO. 26-03,2026-Ordinance No. 26-03.pdf
26-04,1063897,https://www.utah.gov/pmn/sitemap/notice/1063897.html,1400309,https://www.utah.gov/pmn/files/1400309.pdf,2026-03-03,NOTICE OF ADOPTION - ORDINANCE NO. 26-04,2026-Ordinance No. 26-04.pdf
26-05,1072581,https://www.utah.gov/pmn/sitemap/notice/1072581.html,1417519,https://www.utah.gov/pmn/files/1417519.pdf,2026-04-07,NOTICE OF ADOPTION - ORDINANCE NO. 26-05,2026-Ordinance No. 26-05.pdf
26-07,1075141,https://www.utah.gov/pmn/sitemap/notice/1075141.html,1422679,https://www.utah.gov/pmn/files/1422679.pdf,2026-04-21,NOTICE OF ADOPTION - ORDINANCE NO. 26-07,Ordinance No. 26-07 - Cover Page.pdf
26-08,1078785,https://www.utah.gov/pmn/sitemap/notice/1078785.html,1429665,https://www.utah.gov/pmn/files/1429665.pdf,2026-05-05,NOTICE OF ADOPTION - ORDINANCE NO. 26-08,2026-Ordinance No. 26-08.pdf
26-10,1086003,https://www.utah.gov/pmn/sitemap/notice/1086003.html,1443293,https://www.utah.gov/pmn/files/1443293.pdf,2026-06-02,NOTICE OF ADOPTION - ORDINANCE NO. 26-10,2026-Ordinance No. 26-10.pdf
26-11,1086001,https://www.utah.gov/pmn/sitemap/notice/1086001.html,1443283,https://www.utah.gov/pmn/files/1443283.pdf,2026-06-02,NOTICE OF ADOPTION - ORDINANCE NO. 26-11,2026-Ordinance No. 26-11.pdf
26-12,1086005,https://www.utah.gov/pmn/sitemap/notice/1086005.html,1443295,https://www.utah.gov/pmn/files/1443295.pdf,2026-06-02,NOTICE OF ADOPTION - ORDINANCE NO. 26-12,2026-Ordinance No. 26-12.pdf
26-13,1086007,https://www.utah.gov/pmn/sitemap/notice/1086007.html,1443297,https://www.utah.gov/pmn/files/1443297.pdf,2026-06-02,NOTICE OF ADOPTION - ORDINANCE NO. 26-13,2026-Resolution No. 26-13.pdf
26-14,1085995,https://www.utah.gov/pmn/sitemap/notice/1085995.html,1443277,https://www.utah.gov/pmn/files/1443277.pdf,2026-06-02,NOTICE OF ADOPTION - ORDINANCE NO. 26-14,2026-Ordinance No. 26-14.pdf
26-15,1085999,https://www.utah.gov/pmn/sitemap/notice/1085999.html,1443279,https://www.utah.gov/pmn/files/1443279.pdf,2026-06-02,NOTICE OF ADOPTION - ORDINANCE NO. 26-15,2026-Ordinance No. 26-15.pdf
