ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,linkage_note,minutes_source,pmn_notice_url,pmn_file_id
20-19,2020-09-15,2020-09-15,"Vacating a portion of undeveloped public right-of-way within the Heritage Farms Phase 5 Subdivision, as shown on Exhibit “A",https://www.utah.gov/pmn/files/652325.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-09-15,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-09-14/2020-09-15_city-council.md,,
20-20,2020-09-15,2020-09-15,"Amending Section 18.65, .70, .75, .80, .85, .95, and .100 setting maximum commercial building heights as shown in Exhibit “A”, with the stipulation that building heights",https://www.utah.gov/pmn/files/652325.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-09-15,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-09-14/2020-09-15_city-council.md,,
20-21,2020-09-15,2020-09-15,"Amending Section 18.225.030 & 040, addressing maximum height and side setbacks for accessory structures, as shown on Exhibit “A” and to explore items discussed. Councilme",https://www.utah.gov/pmn/files/652325.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-09-15,6,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-09-14/2020-09-15_city-council.md,,
20-22,2020-09-15,2020-09-15,"Amending Section 18.145.050, allowing an ADA access aisle to replace a required landscape island along certain commercial building fronts, as shown on Exhibit “A”. Counci",https://www.utah.gov/pmn/files/652325.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-09-15,7,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-09-14/2020-09-15_city-council.md,,
20-25,2020-10-16,2020-10-16,"Amending Section 18.90.010, and 18.85.030(12) Distance Regulations on Gasoline Service Stations, a max of two within 1,000 feet unless separated by a roadway of at least",https://www.utah.gov/pmn/files/659909.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed,2020-10-16,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-10-12/2020-10-16_city-council.md,,
20-26,2020-11-17,2020-11-17,Approving changes to Sections 17.15.030(2) and 18.215.020(10) allowing payment in lieu of dedication of water shares for new development and adding language to the annual,https://www.utah.gov/pmn/files/668797.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-11-17,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-11-16/2020-11-17_city-council.md,,
20-27,2020-11-17,2020-11-17,"Amending Section 18.90.10, Table of Commercial Uses, combining “Auto glass repair and retail” the “Automobile repair and related services line” and adding “tire repair an",https://www.utah.gov/pmn/files/668797.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-11-17,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-11-16/2020-11-17_city-council.md,,
20-28,2020-11-17,2020-11-17,Amending Sections 18.135.090 regarding the required distance supporting agricultural animals from the other land uses an noted by Staff and then just take that section on,https://www.utah.gov/pmn/files/668797.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-11-17,6,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-11-16/2020-11-17_city-council.md,,
20-29,2020-11-17,2020-11-17,"Rezoning the subject properties located near Withers Lane and 1300 West to RM-8-D-SD (RM-8-Downtown-Specific Designation), Applicant Newman Construction",https://www.utah.gov/pmn/files/668797.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-11-17,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-11-16/2020-11-17_city-council.md,,
20-30,2020-12-01,2020-12-01,"Enacting a Riverton City Fire Impact Fee, Fire Facility Plan, and Related Analysis",https://www.utah.gov/pmn/files/668799.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2020-12-01,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-11-30/2020-12-01_city-council.md,,
20-31,2020-12-15,2020-12-15,"Amending Sections 18.225.030 and 18.225.040 of the Accessory Structures Ordinance to Address Square Footage Requirements, as shown on Exhibit “A",https://www.utah.gov/pmn/files/677569.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2020-12-15,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-12-14/2020-12-15_city-council.md,,
20-32,2020-12-15,2020-12-15,"regulating locating and operating Food Trucks in Riverton City and creating Section 18.230, Mobile Food Vendors, as shown in Exhibit “A” and increasing the number of days",https://www.utah.gov/pmn/files/677569.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed,2020-12-15,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2020/2020-12-14/2020-12-15_city-council.md,,
21-01,2021-01-05,2021-01-05,"the Klungervik Rezone, rezoning the subject properties located at 2998 West 12600 South from C-PO (Commercial-Professional Office) to C-G (Commercial Gateway). Councilmem",https://www.utah.gov/pmn/files/677575.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-01-05,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-01-04/2021-01-05_city-council.md,,
21-02,2021-02-16,2021-02-16,an ordinance rezoning 8.32 acres at 12761 South 3600 West from C-PO & M-1 to C- PO/EHOV/SD (Professional Office with Elderly Housing Overlay with specific development des,https://www.utah.gov/pmn/files/692685.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed,2021-02-16,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-02-15/2021-02-16_city-council.md,,
21-03,2021-02-02,2021-02-02,"rezoning approximately 2 acres located at 12814 South Sunday Drive from R-1 to R-2-SD, with Specific Development Designations as follows: 1. Animal rights shall be allowe",https://www.utah.gov/pmn/files/692249.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-02-02,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-02-01/2021-02-02_city-council.md,,
21-04,2021-01-05,2021-01-05,"amending the Transportation Plan Element of the Riverton City General Plan, updating and amending Figure 1, Transportation Master Plan, as shown on Exhibit “A”, noting th",https://www.utah.gov/pmn/files/677575.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-01-05,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-01-04/2021-01-05_city-council.md,,
21-06,2021-02-16,2021-02-16,"amending Section 18.100.040(2) and 18.100.070(3), amending setbacks in the PCC Zone adjacent to non-compatible uses to a consistent 40 feet, as shown on the attached exhi",https://www.utah.gov/pmn/files/692685.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-02-16,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-02-15/2021-02-16_city-council.md,,
21-07,2021-03-02,2021-03-02,approving the new Riverton City Seal,https://www.utah.gov/pmn/files/698123.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2021-03-02,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-03-01/2021-03-02_city-council.md,,
21-08,2021-04-06,2021-04-06,rezoning an existing 4.28 acre City Park located at 1170 West Timp Vista Drive from R-3 to P/OS (Parks and Open Space),https://www.utah.gov/pmn/files/709903.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-04-06,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-04-05/2021-04-06_city-council.md,,
21-09,2021-06-15,2021-06-15,Amending the Stormwater Fees,https://www.utah.gov/pmn/files/741889.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2021-06-15,8,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-06-14/2021-06-15_city-council.md,,
21-10,2021-04-20,2021-04-20,"Text Change, Amendment to 18.225.050, Agricultural Structures, Allowing “Greenhouses” As Qualifying Agricultural Structures, Amendment Proposed by Riverton City. Councilm",https://www.utah.gov/pmn/files/720405.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-04-20,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-04-19/2021-04-20_city-council.md,,
21-12,2021-05-04,2021-05-04,"amending the General Plan designation of the 3.09 acres of land located at 13040 S Redwood from Estate Density Residential to Low Density Residential, and Rezoning the pr",https://www.utah.gov/pmn/files/720407.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed,2021-05-04,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-05-03/2021-05-04_city-council.md,,
21-13,2021-06-01,2021-06-01,"* - Amending Sections 18.(20,25,30,35,&40).070, Lots Located on Private Lanes, as described in Exhibit “A” and remove the 1,500 feet maximum",https://www.utah.gov/pmn/files/730699.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-06-01,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-05-31/2021-06-01_city-council.md,,
21-14,2021-08-17,2021-08-17,"General Plan Amendment and Rezone of 5.91 acres located near 12900 South 1830 West, changing the General Plan Designation to Medium-High Density Residential and Page | 7",https://www.utah.gov/pmn/files/762490.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-08-17,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-08-16/2021-08-17_city-council.md,,
21-15,2021-06-01,2021-06-01,Compensation for Elective and Statutory Officers and all Other Municipal Officers for Fiscal Year 2021-2022,https://www.utah.gov/pmn/files/730699.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2021-06-01,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-05-31/2021-06-01_city-council.md,,
21-17,2021-06-15,2021-06-15,"Amending Master Development Agreement between Riverton City and Suburban Land Reserve, Inc.",https://www.utah.gov/pmn/files/741889.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-06-15,2,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-06-14/2021-06-15_city-council.md,,
21-18,2021-07-20,2021-07-20,Proposed Rezone of .84 Acres Located at 3443 West 12600 South from RR-22 to C-PO (Commercial Professional Office),https://www.utah.gov/pmn/files/745719.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-07-20,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-07-19/2021-07-20_city-council.md,,
21-19,2021-07-20,2021-07-20,Amending and Updating Riverton City’s Ordinance Regulating Noticing of Public Hearings,https://www.utah.gov/pmn/files/745719.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2021-07-20,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-07-19/2021-07-20_city-council.md,,
21-20,2021-07-20,2021-07-20,"Proposed Changes to 18.225 Accessory Structures, Addressing Building Heights and Size, Setback Regulations and Other Amendments. Page | 10 Minutes – City Council Meeting",https://www.utah.gov/pmn/files/745719.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-07-20,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-07-19/2021-07-20_city-council.md,,
21-21,2021-08-03,2021-08-03,removing prohibitions against use of Riverton City Main Park by sports leagues. He would like to have a broader discussion about,https://www.utah.gov/pmn/files/750517.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed,2021-08-03,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-08-02/2021-08-03_city-council.md,,
21-22,2024-09-03,2024-09-03,Vacation of Public Right of Way,https://www.utah.gov/pmn/files/1177623.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2024-09-03,6,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2024/2024-09-02/2024-09-03_city-council.md,,
21-23,2021-09-07,2021-09-07,"Text Amendment, Proposing Changes to Section 18.25.110, Farm Animals, Regarding Residential Chickens in the RR-22 Zone",https://www.utah.gov/pmn/files/762494.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-09-07,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-09-06/2021-09-07_city-council.md,,
21-24,2021-09-07,2021-09-07,"Amending Section 18.155.080, Addressing Standards for Fencing Between Non- Compatible Uses",https://www.utah.gov/pmn/files/762494.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-09-07,7,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-09-06/2021-09-07_city-council.md,,
21-25,2021-09-07,2021-09-07,"First Amendment to the Development Agreement for Mountain View Place at Riverton, Amending Sections 5.4 and 2.2.2 of Exhibit B of that document as shown in Exhibit A. Cou",https://www.utah.gov/pmn/files/762494.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-09-07,8,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-09-06/2021-09-07_city-council.md,,
21-26,2021-10-05,2021-10-05,"denying the requested General Plan Amendment and Rezone to R-4 of 2.0 acres located at 12984 South Sunday Drive, but rezoning the property to R-3 (14,000-sf minimum lots)",https://www.utah.gov/pmn/files/784215.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-10-05,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-10-04/2021-10-05_city-council.md,,
21-27,2021-10-05,2021-10-05,Amending Section 18.150.120(8) allowing signage incorporated into certain types of fencing to qualify as monument signs,https://www.utah.gov/pmn/files/784215.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-10-05,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-10-04/2021-10-05_city-council.md,,
21-28,2021-11-16,2021-11-16,"Amending Section 18.45, RM-6, amending the RM-6 zone to individual lot development only",https://www.utah.gov/pmn/files/794249.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-11-16,7,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-11-15/2021-11-16_city-council.md,,
21-29,2021-11-16,2021-11-16,"General Plan Amendment and Rezone of 5.95-acres Located At Approximately 12261 South 4000 West from ""Low Density Residential"" and Zone R-3 to ""Medium-High Density Residen",https://www.utah.gov/pmn/files/794249.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-11-16,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-11-15/2021-11-16_city-council.md,,
21-30,2021-11-16,2021-11-16,"Amending Title 15, Chapter 45, Riverton City Code, Adopting Updated FEMA Flood Insurance Rate Maps, and Related Matters",https://www.utah.gov/pmn/files/794249.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2021-11-16,8,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-11-15/2021-11-16_city-council.md,,
21-31,2021-11-16,2021-11-16,"Vacating a portion of right-of-way located at approximately 4400 W Sunday Drive consisting of 0.015 acres (663 sf), and accepting dedication of additional right-of-way al",https://www.utah.gov/pmn/files/794249.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-11-16,9,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-11-15/2021-11-16_city-council.md,,
21-32,2021-12-14,2021-12-14,Amendment to the “Standards and Specifications Plan Manual” amending and adopting a standards for Narrow Trench Excavation,https://www.utah.gov/pmn/files/797577.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2021-12-14,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-12-13/2021-12-14_city-council.md,,
21-33,2021-12-14,2021-12-14,"Boyer Rezone, Proposed rezone of approximately 8 acres located at 12761 South 3600 West thus keeping the zoning as C-POVEHOV-SD, Professional Office with an Elderly Housi",https://www.utah.gov/pmn/files/797577.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2021-12-14,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2021/2021-12-13/2021-12-14_city-council.md,,
22-01,2022-01-04,2022-01-04,"Amending Section 10.10, Parking, of the Riverton City Code, relating to unlawful parking in Riverton City",https://www.utah.gov/pmn/files/803811.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2022-01-04,2,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-01-03/2022-01-04_city-council.md,,
22-02,2022-01-04,2022-01-04,"Bergstrom Rezone, General Plan Amendment to Medium Density Residential and rezone Page | 4 Minutes – City Council Meeting January 4, 2022 of 0.50-acres at 1933 West 11800",https://www.utah.gov/pmn/files/803811.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-01-04,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-01-03/2022-01-04_city-council.md,,
22-03,2022-01-04,2022-01-04,"General Plan Amendment and Rezone of Approximately 4.07-Acres at 2356 West 11800 South from RR-22 to R-4 SD Single Family Residential with 10,000 Sf Minimum Lot Size, wit",https://www.utah.gov/pmn/files/803811.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-01-04,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-01-03/2022-01-04_city-council.md,,
22-04,2022-01-18,2022-01-18,"rezoning approximately 1.93 acres of land located at 12317 and 12325 South Redwood Road to RM-6-SD, with the following Specific Development designations: 1) properties al",https://www.utah.gov/pmn/files/808907.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-01-18,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-01-17/2022-01-18_city-council.md,,
22-05,2022-01-18,2022-01-18,Amending Riverton City Code Section 2-10-010 and Creating an Employment Position for an Executive Assistant and Policy Analyst,https://www.utah.gov/pmn/files/808907.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2022-01-18,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-01-17/2022-01-18_city-council.md,,
22-06,2022-02-01,2022-02-01,"Scooters Rezone, Proposed Rezone of 0.51-acres located at 3479 West 12600 South, from C-N to C-G",https://www.utah.gov/pmn/files/819971.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-02-01,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-01-31/2022-02-01_city-council.md,,
22-07,2022-02-15,2022-02-15,Amending the Council District Boundaries of the Riverton City Council,https://www.utah.gov/pmn/files/819973.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2022-02-15,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-02-14/2022-02-15_city-council.md,,
22-08,2022-02-15,2022-02-15,"Vacating a Portion of Right-of-Way Located at Approximately 3600 West 11820 South Consisting of 0.02 Acres (1,032 Sf) to the Adjacent Property Owner",https://www.utah.gov/pmn/files/819973.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-02-15,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-02-14/2022-02-15_city-council.md,,
22-09,2022-03-01,2022-03-01,"Proposed Amendment to Sections 18.225.040(a) & 18.225.080(8)(a), Addressing Accessory Building Height and Size, Amendments",https://www.utah.gov/pmn/files/825527.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-03-01,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-02-28/2022-03-01_city-council.md,,
22-10,2022-03-01,2022-03-01,"Thomas Rezone, Proposed Amendment of the General Plan to Medium Density Residential and Rezone from R-1 to R-4 approximately 1.29-acres at 3444 West 12350 South. Councilm",https://www.utah.gov/pmn/files/825527.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-03-01,2,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-02-28/2022-03-01_city-council.md,,
22-11,2022-04-05,2022-04-05,"adopting an official plan for the Redwood Road Community Reinvestment Project Area, as approved by the Riverton City Redevelopment Agency and directing that notice of the",https://www.utah.gov/pmn/files/838129.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2022-04-05,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-04-04/2022-04-05_city-council.md,,
