date,title,body,tab,duration_s,video_id,video_url
2026-04-14,"Provo City Council Meeting | April 14, 2026",council,streams,608.0,bFM6rp4HZ2Y,https://www.youtube.com/watch?v=bFM6rp4HZ2Y
2026-04-14,"Provo City Council Work Meeting | April 14, 2026",council_work,streams,13239.0,VvqMdHdtr28,https://www.youtube.com/watch?v=VvqMdHdtr28
2026-04-01,North District Meeting 04/01/2026,neighborhood,videos,7019.0,E4NXec55_i8,https://www.youtube.com/watch?v=E4NXec55_i8
2026-03-24,"Provo City Council Meeting | March 24, 2026",council,streams,2160.0,nBE47a7oYso,https://www.youtube.com/watch?v=nBE47a7oYso
2026-03-24,"Provo City Council Work Meeting | March 24, 2026",council_work,streams,11662.0,iWKm47KKgz4,https://www.youtube.com/watch?v=iWKm47KKgz4
2026-03-18,Central District Meeting 03/18/2026,neighborhood,videos,3973.0,-HiBIKFjT-E,https://www.youtube.com/watch?v=-HiBIKFjT-E
2026-03-10,"Provo City Council Meeting | March 10, 2026",council,streams,6062.0,ElDxJtNR7TQ,https://www.youtube.com/watch?v=ElDxJtNR7TQ
2026-03-10,"Provo City Council Work Meeting | March 10, 2026",council_work,streams,11713.0,0KWMM0Uqn60,https://www.youtube.com/watch?v=0KWMM0Uqn60
2026-03-04,Northwest District Meeting 03/04/2026,neighborhood,videos,5650.0,prIvVvoXge8,https://www.youtube.com/watch?v=prIvVvoXge8
2026-02-18,West District Meeting 2/18/2026,neighborhood,videos,5615.0,CJ3de6uQ4cw,https://www.youtube.com/watch?v=CJ3de6uQ4cw
2026-02-10,"Provo City Council Meeting | February 10, 2026",council,streams,5843.0,KstVNdGWf4g,https://www.youtube.com/watch?v=KstVNdGWf4g
2026-02-10,"Provo City Council Work Meeting | February 10, 2026",council_work,streams,3268.0,IJJISF7Iy2Q,https://www.youtube.com/watch?v=IJJISF7Iy2Q
2026-02-04,East District Meeting 02/04/2026,neighborhood,videos,5530.0,mZ8vdgCBxOI,https://www.youtube.com/watch?v=mZ8vdgCBxOI
2026-01-27,"Provo City Council Meeting | January 27, 2026",council,streams,7113.0,GwsjB0F2dHY,https://www.youtube.com/watch?v=GwsjB0F2dHY
2026-01-27,"Provo City Council Work Meeting | January 27, 2026",council_work,streams,5123.0,RzYXnqo5Mi0,https://www.youtube.com/watch?v=RzYXnqo5Mi0
2026-01-21,North District Meeting 01/21/2026,neighborhood,videos,7424.0,z9odqdWWLxU,https://www.youtube.com/watch?v=z9odqdWWLxU
2026-01-13,"Provo City Council Meeting | January 13, 2026",council,streams,6625.0,GoeVTKtZqys,https://www.youtube.com/watch?v=GoeVTKtZqys
2026-01-13,"Provo City Council Work Meeting | January 13, 2026",council_work,streams,13622.0,-wSlzC3DTaA,https://www.youtube.com/watch?v=-wSlzC3DTaA
2026-01-06,"Provo City Inauguration | January 6, 2026",other,streams,1584.0,vyQ5rB7P2pI,https://www.youtube.com/watch?v=vyQ5rB7P2pI
2026-01-06,"Provo City Council Budget Priorities Meeting | January 6, 2026",council,streams,12625.0,duh5TNg0zBo,https://www.youtube.com/watch?v=duh5TNg0zBo
2025-12-16,"Provo City Council Meeting | December 16, 2025",council,streams,12010.0,wMfBXiT4zXM,https://www.youtube.com/watch?v=wMfBXiT4zXM
2025-12-16,"Provo City Council Work Meeting | December 16, 2025",council_work,streams,10301.0,F5UhUdCgDUk,https://www.youtube.com/watch?v=F5UhUdCgDUk
2025-12-03,Neighborhood District 5 Meeting 12/3/2025,neighborhood,videos,6396.0,xXshzvYuAzg,https://www.youtube.com/watch?v=xXshzvYuAzg
2025-12-02,"Provo City Council Meeting | December 2, 2025",council,streams,5522.0,G6y4nNaHe7A,https://www.youtube.com/watch?v=G6y4nNaHe7A
2025-12-02,"Provo City Council Work Meeting | December 2, 2025",council_work,streams,14196.0,55WEMrFuhuw,https://www.youtube.com/watch?v=55WEMrFuhuw
2025-11-19,Neighborhood District 4 Meeting 11/19/2025,neighborhood,videos,5041.0,CFZF2asYWUI,https://www.youtube.com/watch?v=CFZF2asYWUI
2025-11-18,"Provo City Board of Canvassers | November 18, 2025",board,streams,1458.0,7851Elr3nPQ,https://www.youtube.com/watch?v=7851Elr3nPQ
2025-11-11,"Provo City Council Meeting | November 11, 2025",council,streams,2011.0,jiO_3TmhqO4,https://www.youtube.com/watch?v=jiO_3TmhqO4
2025-11-11,"Provo City Council Work Meeting | November 11, 2025",council_work,streams,8981.0,mvU4J7Zr4PA,https://www.youtube.com/watch?v=mvU4J7Zr4PA
2025-11-05,Neighborhood District 3 Meeting 11/05/2025,neighborhood,videos,6176.0,whfiDlAdJ30,https://www.youtube.com/watch?v=whfiDlAdJ30
2025-10-23,"Provo City Council Joint Meeting with Provo School District Board | October 23, 2025",council,streams,4519.0,eKBbWeZHPio,https://www.youtube.com/watch?v=eKBbWeZHPio
2025-10-21,"Provo City Council Meeting | October 21, 2025",council,streams,1746.0,4OO972Q3-Mo,https://www.youtube.com/watch?v=4OO972Q3-Mo
2025-10-21,"Provo City Council Work Meeting | October 21, 2025",council_work,streams,4458.0,fcvu3-MImK0,https://www.youtube.com/watch?v=fcvu3-MImK0
2025-10-15,Neighborhood District 2 Meeting 10/15/2025,neighborhood,videos,5805.0,n2tSBiQcoPE,https://www.youtube.com/watch?v=n2tSBiQcoPE
2025-10-07,"Provo City Council Meeting | October 7, 2025 (2)",council,videos,7566.0,0RKTh-N42QM,https://www.youtube.com/watch?v=0RKTh-N42QM
2025-10-07,"Provo City Council Meeting | October 7, 2025 (1)",council,videos,1249.0,5Os7DpJoIRI,https://www.youtube.com/watch?v=5Os7DpJoIRI
2025-10-07,"Provo City Council Work Meeting | October 7, 2025",council_work,streams,6121.0,Ufm_RnNoH90,https://www.youtube.com/watch?v=Ufm_RnNoH90
2025-10-01,Neighborhood District 1 Meeting 10/01/2025,neighborhood,videos,6322.0,FKn-zOVy8X4,https://www.youtube.com/watch?v=FKn-zOVy8X4
2025-09-23,"Provo City Council Meeting | September 23, 2025",council,streams,11057.0,07cGLb7-sXU,https://www.youtube.com/watch?v=07cGLb7-sXU
2025-09-23,"Provo City Council Work Meeting | September 23, 2025",council_work,streams,14385.0,cPbBXt8O4rk,https://www.youtube.com/watch?v=cPbBXt8O4rk
2025-09-17,Neighborhood District 5 Meeting 09/17/2025,neighborhood,videos,6234.0,-hg_EV__UfE,https://www.youtube.com/watch?v=-hg_EV__UfE
2025-09-09,"Provo City Council Meeting | September 9, 2025",council,streams,4461.0,S739gZ28p7E,https://www.youtube.com/watch?v=S739gZ28p7E
2025-09-09,"Provo City Council Work Meeting | September 9, 2025",council_work,streams,10994.0,3-V0z1oSyhA,https://www.youtube.com/watch?v=3-V0z1oSyhA
2025-09-03,Neighborhood District 4 Meeting 09/03/2025,neighborhood,videos,5639.0,6hQz9Hg2UGY,https://www.youtube.com/watch?v=6hQz9Hg2UGY
2025-08-26,"Provo City Board of Canvassers Meeting | August 26, 2025",board,streams,1398.0,tIVEa4zFJ3k,https://www.youtube.com/watch?v=tIVEa4zFJ3k
2025-08-20,Neighborhood District 3 Meeting 08/20/2025,neighborhood,videos,5874.0,sg8O9YKR948,https://www.youtube.com/watch?v=sg8O9YKR948
2025-08-19,"Provo City Council Meeting | August 19, 2025",council,streams,2184.0,FDHjoeRclD4,https://www.youtube.com/watch?v=FDHjoeRclD4
2025-08-19,"Provo City Council Work Meeting | August 19, 2025",council_work,streams,3631.0,Gf1a7zPY7IM,https://www.youtube.com/watch?v=Gf1a7zPY7IM
2025-08-12,Neighborhood District 2 Meeting 08/12/2025,neighborhood,videos,6257.0,nZjurwXUtd8,https://www.youtube.com/watch?v=nZjurwXUtd8
2025-08-05,"Provo City Council Meeting | August 5, 2025",council,streams,4674.0,mQwFDihgovY,https://www.youtube.com/watch?v=mQwFDihgovY
2025-08-05,"Provo City Council Work Meeting | August 5, 2025",council_work,streams,700.0,BBNnYm-a3j4,https://www.youtube.com/watch?v=BBNnYm-a3j4
2025-07-22,"Provo City Council Meeting | July 22, 2025",council,streams,2344.0,I_wkQG1DoWA,https://www.youtube.com/watch?v=I_wkQG1DoWA
2025-07-22,"Provo City Council Work Meeting | July 22, 2025",council_work,streams,6899.0,KsAxyU20bOA,https://www.youtube.com/watch?v=KsAxyU20bOA
2025-07-16,Neighborhood District 1 Meeting 07/16/2025,neighborhood,videos,7029.0,Pl9pqrZvA9A,https://www.youtube.com/watch?v=Pl9pqrZvA9A
2025-07-15,Council District 2 Candidate Forum 07/15/2025,other,videos,5056.0,Fv_HTqdy1B8,https://www.youtube.com/watch?v=Fv_HTqdy1B8
2025-07-08,"Provo City Council Meeting | July 8, 2025",council,streams,5298.0,ehI-OII1lmc,https://www.youtube.com/watch?v=ehI-OII1lmc
2025-07-08,"Provo City Work Meeting | July 8, 2025",council_work,streams,8090.0,HeD4uxykTNM,https://www.youtube.com/watch?v=HeD4uxykTNM
2025-06-18,Neighborhood District 5 Meeting 06/18/2025,neighborhood,videos,9161.0,YqtMgsoFu-A,https://www.youtube.com/watch?v=YqtMgsoFu-A
2025-06-17,"Provo City Council Meeting | June 17, 2025",council,videos,5293.0,sFLqJN--c5w,https://www.youtube.com/watch?v=sFLqJN--c5w
2025-06-17,"Provo City Work Meeting | June 17, 2025",council_work,streams,10959.0,y9nTI4zRack,https://www.youtube.com/watch?v=y9nTI4zRack
2025-06-04,Neighborhood District 4 Meeting 06/04/2025,neighborhood,videos,4656.0,_K1n9CdRQJc,https://www.youtube.com/watch?v=_K1n9CdRQJc
2025-06-03,"Provo City Council Meeting | June 3, 2025",council,streams,4213.0,VsRhsr_OSPY,https://www.youtube.com/watch?v=VsRhsr_OSPY
2025-06-03,"Provo City Council Work Meeting | June 3, 2025",council_work,streams,11316.0,JW87JMO0ljI,https://www.youtube.com/watch?v=JW87JMO0ljI
2025-05-29,"District 5 Town Hall With Councilor Rachel Whipple (May 29, 2025)",other,videos,7217.0,F0tlkLSdc10,https://www.youtube.com/watch?v=F0tlkLSdc10
2025-05-20,"Provo City Council Meeting | May 20, 2025",council,streams,3078.0,3E5auhZLk_k,https://www.youtube.com/watch?v=3E5auhZLk_k
2025-05-20,"Provo City Council Work Meeting | May 20, 2025",council_work,streams,8790.0,Ip89BtFygIg,https://www.youtube.com/watch?v=Ip89BtFygIg
2025-05-07,Neighborhood District 3 Meeting 5/7/25,neighborhood,videos,6494.0,ljgJkLPS4Ao,https://www.youtube.com/watch?v=ljgJkLPS4Ao
2025-05-06,"Provo City Council Meeting | May 6, 2025",council,streams,6689.0,hgZyrrIVwcg,https://www.youtube.com/watch?v=hgZyrrIVwcg
2025-05-06,"Provo City Council Work Meeting | May 6, 2025",council_work,streams,5942.0,at96DY_MvXg,https://www.youtube.com/watch?v=at96DY_MvXg
2025-04-30,Neighborhood District 2 Meeting 04/30/2025,neighborhood,videos,6248.0,7HGKgby5BdA,https://www.youtube.com/watch?v=7HGKgby5BdA
2025-04-22,"Provo City Council Meeting | April 22, 2025",council,videos,18034.0,sMv1DcjA6MA,https://www.youtube.com/watch?v=sMv1DcjA6MA
2025-04-22,"Provo City Council Meeting | April 22, 2025",council,streams,17685.0,QTv1EMfZSUA,https://www.youtube.com/watch?v=QTv1EMfZSUA
2025-04-22,"Provo City Council Work Meeting | April 22, 2025",council_work,streams,15696.0,AqFAKKSAH5k,https://www.youtube.com/watch?v=AqFAKKSAH5k
2025-04-16,Neighborhood District 1 Meeting 04/16/2025,neighborhood,videos,6154.0,2hhuUIS3yHg,https://www.youtube.com/watch?v=2hhuUIS3yHg
2025-04-08,"Provo City Council Meeting | April 8, 2025",council,streams,15099.0,rEOwdp07K_w,https://www.youtube.com/watch?v=rEOwdp07K_w
2025-04-08,"Provo City Council Work Meeting | April 8, 2025",council_work,streams,19820.0,Ht6Pj27wW1A,https://www.youtube.com/watch?v=Ht6Pj27wW1A
2025-03-25,"Provo City Council Meeting | March 25, 2025",council,streams,5039.0,YNsHmIDLv38,https://www.youtube.com/watch?v=YNsHmIDLv38
2025-03-25,"Provo City Council Work Meeting | March 25, 2025",council_work,streams,19589.0,nRN6XaJKgqM,https://www.youtube.com/watch?v=nRN6XaJKgqM
2025-03-19,Neighborhood District 5 Meeting 03/19/2025,neighborhood,videos,5440.0,SFSL5slMU_w,https://www.youtube.com/watch?v=SFSL5slMU_w
2025-03-18,"Provo City Council Meeting | Planning Commission Joint Meeting | March 18, 2025",council,streams,6008.0,8cY_4763xB8,https://www.youtube.com/watch?v=8cY_4763xB8
2025-03-11,"Provo City Council  Meeting | March 11, 2025",council,streams,7946.0,Hg7NKxCfcA4,https://www.youtube.com/watch?v=Hg7NKxCfcA4
2025-03-11,"Provo City Council Work Meeting | March 11, 2025",council_work,streams,15626.0,53YOM-scZ_k,https://www.youtube.com/watch?v=53YOM-scZ_k
2025-03-05,Neighborhood District 4 Meeting 03/05/2025,neighborhood,videos,4918.0,5vk1WLYz7eQ,https://www.youtube.com/watch?v=5vk1WLYz7eQ
2025-02-25,"Provo City Council Work Meeting | February 25, 2025",council_work,videos,13098.0,NeNYCOU1UZc,https://www.youtube.com/watch?v=NeNYCOU1UZc
2025-02-25,"Provo City Council Meeting | February 25, 2025",council,streams,1541.0,o3KECbs1yqA,https://www.youtube.com/watch?v=o3KECbs1yqA
2025-02-19,Neighborhood District 3 Meeting 02/19/2025,neighborhood,videos,6677.0,6kOkXbDQN5s,https://www.youtube.com/watch?v=6kOkXbDQN5s
2025-02-11,"Provo City Council Work Meeting | February 11, 2025",council_work,videos,18275.0,K1eoPfclTlw,https://www.youtube.com/watch?v=K1eoPfclTlw
2025-02-11,"Provo City Council Meeting | February 11, 2025",council,streams,14758.0,517lwmVnjuA,https://www.youtube.com/watch?v=517lwmVnjuA
2025-02-11,"Provo City Council Work Meeting | February 11, 2025",council_work,streams,14157.0,6bsoGJ1fb-c,https://www.youtube.com/watch?v=6bsoGJ1fb-c
2025-02-04,Neighborhood District 2 Meeting 2/4/2025,neighborhood,videos,5533.0,nwqoMERvzDw,https://www.youtube.com/watch?v=nwqoMERvzDw
2025-01-28,"Provo City Council Meeting | January 28, 2025",council,streams,5871.0,sWje9WsVdvc,https://www.youtube.com/watch?v=sWje9WsVdvc
2025-01-28,"Provo City Council Work Meeting | January 28, 2025",council_work,streams,8716.0,jLFpSG3VbfE,https://www.youtube.com/watch?v=jLFpSG3VbfE
2025-01-15,Neighborhood District 1 Meeting 01/15/2025,neighborhood,videos,6592.0,hyEfYyWK4Fo,https://www.youtube.com/watch?v=hyEfYyWK4Fo
2025-01-14,"Provo City Council Meeting | January 14, 2025",council,streams,7133.0,dRjlSFOIBTE,https://www.youtube.com/watch?v=dRjlSFOIBTE
2025-01-14,"Provo City Council Work Meeting | January 14, 2025",council_work,streams,11047.0,l2flraI47RA,https://www.youtube.com/watch?v=l2flraI47RA
2025-01-07,"Provo City Council Work Meeting | January 7, 2025",council_work,streams,13194.0,ClaFJRgU1Z8,https://www.youtube.com/watch?v=ClaFJRgU1Z8
2024-12-17,"Provo City Council Meeting | December 17, 2024",council,streams,10550.0,Ldoc75UpRJI,https://www.youtube.com/watch?v=Ldoc75UpRJI
2024-12-17,"Provo City Council Work Meeting | December 17, 2024",council_work,streams,12981.0,QeLT14Y03TQ,https://www.youtube.com/watch?v=QeLT14Y03TQ
2024-12-03,"Provo City Council Meeting | December 3, 2024",council,streams,10897.0,JuFjhKBeJok,https://www.youtube.com/watch?v=JuFjhKBeJok
2024-12-03,"Provo City Council Work Meeting | December 3, 2024",council_work,streams,4110.0,a4U_Ip_2esU,https://www.youtube.com/watch?v=a4U_Ip_2esU
2024-11-20,Neighborhood District 5 Meeting 11/20/2024,neighborhood,videos,6962.0,jbX2OcDmKLY,https://www.youtube.com/watch?v=jbX2OcDmKLY
2024-11-19,"Provo City Council Meeting | November 19, 2024",council,streams,13362.0,kV-U91En0UE,https://www.youtube.com/watch?v=kV-U91En0UE
2024-11-19,"Provo City Council Work Meeting | November 19, 2024",council_work,streams,9556.0,dvyy1bNwhtc,https://www.youtube.com/watch?v=dvyy1bNwhtc
2024-11-06,Neighborhood District 4 Meeting 11/06/2024,neighborhood,videos,4768.0,oKjk45BDKNA,https://www.youtube.com/watch?v=oKjk45BDKNA
2024-11-05,"Provo City Council Meeting | November 5, 2024",council,streams,2497.0,x9s3pXY_U6Q,https://www.youtube.com/watch?v=x9s3pXY_U6Q
2024-11-05,"Provo City Council Work Meeting | November 5, 2024",council_work,streams,21171.0,stoSO5cXIQQ,https://www.youtube.com/watch?v=stoSO5cXIQQ
2024-10-30,Neighborhood District 3 Meeting 10/30/2024,neighborhood,videos,7362.0,BOdjFodh5lY,https://www.youtube.com/watch?v=BOdjFodh5lY
2024-10-24,"Provo City Council Joint Meeting with Provo School District Board | October 24, 2024",council,streams,7421.0,lwGlpbR1-0c,https://www.youtube.com/watch?v=lwGlpbR1-0c
2024-10-16,Neighborhood District 2 Meeting 10/16/2024,neighborhood,videos,4559.0,N2XP5bPoSFU,https://www.youtube.com/watch?v=N2XP5bPoSFU
2024-10-15,"Provo City Council Meeting | October 15, 2024",council,streams,3410.0,1ttr-c6WSRU,https://www.youtube.com/watch?v=1ttr-c6WSRU
2024-10-15,"Provo City Council Work Meeting | October 15, 2024",council_work,streams,6121.0,YESVXn0io8w,https://www.youtube.com/watch?v=YESVXn0io8w
2024-10-10,"Provo City Housing Summit | October 10, 2024",other,streams,4296.0,o0TikIGRiuU,https://www.youtube.com/watch?v=o0TikIGRiuU
2024-10-02,Neighborhood District 1 Meeting 10/02/2024,neighborhood,videos,6000.0,TxvitNGEUzM,https://www.youtube.com/watch?v=TxvitNGEUzM
2024-10-01,"Provo City Council Meeting | October 1, 2024",council,streams,2311.0,jPTmDxy2R9I,https://www.youtube.com/watch?v=jPTmDxy2R9I
2024-10-01,"Provo City Council Work Meeting | October 1, 2024",council_work,streams,5318.0,zaHhivWxr_k,https://www.youtube.com/watch?v=zaHhivWxr_k
2024-09-17,"Provo City Council Meeting | September 17, 2024",council,streams,4326.0,qmQleS7E798,https://www.youtube.com/watch?v=qmQleS7E798
2024-09-17,"Provo City Council Work Meeting | September 17, 2024",council_work,streams,7972.0,qVOh0rYxADs,https://www.youtube.com/watch?v=qVOh0rYxADs
2024-09-04,Neighborhood District 5 Meeting 09/04/2024,neighborhood,videos,6030.0,jLJnxT0Rbq8,https://www.youtube.com/watch?v=jLJnxT0Rbq8
2024-09-03,"Provo City Council Meeting | September 3, 2024",council,streams,1090.0,Y93qVFGxT78,https://www.youtube.com/watch?v=Y93qVFGxT78
2024-09-03,"Provo City Council Work Meeting | September 3, 2024",council_work,streams,7190.0,nV_ibatuCoc,https://www.youtube.com/watch?v=nV_ibatuCoc
2024-08-21,Neighborhood District 4 Meeting 08/21/2024,neighborhood,videos,4695.0,Qa38rwn_frQ,https://www.youtube.com/watch?v=Qa38rwn_frQ
2024-08-20,"Provo City Council Meeting | August 20, 2024",council,streams,2261.0,q4DZbGk1MV0,https://www.youtube.com/watch?v=q4DZbGk1MV0
2024-08-20,"Provo City Council Work Meeting | August 20, 2024",council_work,streams,12002.0,SRj5c78fU1g,https://www.youtube.com/watch?v=SRj5c78fU1g
2024-08-13,"Provo City Council Meeting | Truth in Taxation Hearing | August 13, 2024",council,streams,5757.0,mpnVab72PmM,https://www.youtube.com/watch?v=mpnVab72PmM
2024-08-07,Neighborhood District 3 Meeting 08/07/2024,neighborhood,videos,4118.0,vWzr1_rZn4M,https://www.youtube.com/watch?v=vWzr1_rZn4M
2024-08-06,"Provo City Council Meeting | August 6, 2024",council,streams,6746.0,KJcWYkLsAtc,https://www.youtube.com/watch?v=KJcWYkLsAtc
2024-08-06,"Provo City Council Work Meeting | August 6, 2024",council_work,streams,7157.0,BVG6JzvYb58,https://www.youtube.com/watch?v=BVG6JzvYb58
2024-07-31,Neighborhood District 2 Meeting 07/31/2024,neighborhood,videos,6220.0,CC5ooJT8jvM,https://www.youtube.com/watch?v=CC5ooJT8jvM
2024-07-23,"Provo Municipal Council Joint Meeting with Provo Library Board | July 23, 2024",council,streams,7815.0,0IQcPtSnJRw,https://www.youtube.com/watch?v=0IQcPtSnJRw
2024-07-17,Neighborhood District 1 Meeting 07/17/2024,neighborhood,videos,7355.0,y82bwWhj8Ks,https://www.youtube.com/watch?v=y82bwWhj8Ks
2024-07-16,"Provo City Council Meeting | July 16, 2024",council,streams,5021.0,EsyVoSLVtNM,https://www.youtube.com/watch?v=EsyVoSLVtNM
2024-07-16,"Provo City Council Work Meeting | July 16, 2024",council_work,streams,12268.0,rQJHmhgu-jM,https://www.youtube.com/watch?v=rQJHmhgu-jM
2024-06-18,"Provo City Council Meeting | June 18, 2024",council,streams,18395.0,h3zleboYmiA,https://www.youtube.com/watch?v=h3zleboYmiA
2024-06-18,"Provo City Council Work Meeting | June 18, 2024",council_work,streams,10938.0,KGGgWs1Q_Zo,https://www.youtube.com/watch?v=KGGgWs1Q_Zo
2024-06-11,"Provo City Council Meeting | June 11, 2024",council,streams,9685.0,ac7QhOLzBIU,https://www.youtube.com/watch?v=ac7QhOLzBIU
2024-06-05,Neighborhood District 5 Meeting 06/05/2024,neighborhood,videos,7912.0,pEMxlMMObdw,https://www.youtube.com/watch?v=pEMxlMMObdw
2024-06-04,"Provo City Council Meeting | June 4, 2024",council,streams,3991.0,T_6nefrK4GU,https://www.youtube.com/watch?v=T_6nefrK4GU
2024-06-04,"Provo City Council Work Meeting | June 4, 2024",council_work,streams,12724.0,nBtNUwMjekA,https://www.youtube.com/watch?v=nBtNUwMjekA
2024-05-29,Neighborhood District 4 Meeting 05/29/2024,neighborhood,videos,5506.0,bGLZXDFXkyA,https://www.youtube.com/watch?v=bGLZXDFXkyA
2024-05-15,Neighborhood District 3 Meeting 05/15/2024,neighborhood,videos,7455.0,HeOh7QA5qT8,https://www.youtube.com/watch?v=HeOh7QA5qT8
2024-05-14,"Provo City Council Meeting | May 14, 2024",council,streams,7161.0,FIdIRZARmnw,https://www.youtube.com/watch?v=FIdIRZARmnw
2024-05-14,"Provo City Council Work Meeting | May 14, 2024",council_work,streams,15668.0,1H1WOLKTHrY,https://www.youtube.com/watch?v=1H1WOLKTHrY
2024-05-01,Neighborhood District 2 Meeting 05/01/2024 - Part 1,neighborhood,videos,3436.0,PhFnrr6rRA4,https://www.youtube.com/watch?v=PhFnrr6rRA4
2024-05-01,Neighborhood District 2 Meeting 05/01/2024 - Part 2,neighborhood,videos,5067.0,Z3oCeMlxflc,https://www.youtube.com/watch?v=Z3oCeMlxflc
2024-04-30,"Provo City Council Meeting | April 30, 2024",council,streams,8602.0,LLffOG3zMYQ,https://www.youtube.com/watch?v=LLffOG3zMYQ
2024-04-30,"Provo City Council Work Meeting | April 30, 2024",council_work,streams,21924.0,iTfME1ao32c,https://www.youtube.com/watch?v=iTfME1ao32c
2024-04-17,Neighborhood District 1 Meeting 04/17/2024,neighborhood,videos,8497.0,SXbhfq8tyeI,https://www.youtube.com/watch?v=SXbhfq8tyeI
2024-04-16,"Provo City Council Meeting | April 16, 2024",council,streams,8184.0,Z1PdGbmIfDg,https://www.youtube.com/watch?v=Z1PdGbmIfDg
2024-04-16,"Provo City Council Work Meeting | April 16, 2024",council_work,streams,18864.0,ENeCjAVfKHE,https://www.youtube.com/watch?v=ENeCjAVfKHE
2024-03-20,Neighborhood District 5 Meeting 03/20/2024,neighborhood,videos,5681.0,EekmSy82QK0,https://www.youtube.com/watch?v=EekmSy82QK0
2024-03-19,"Provo City Council Meeting | March 19, 2024",council,videos,3091.0,O4o9RjfFHIQ,https://www.youtube.com/watch?v=O4o9RjfFHIQ
2024-03-19,"Provo City Council Work Meeting | March 19, 2024",council_work,streams,17083.0,CUrQj_aYVrk,https://www.youtube.com/watch?v=CUrQj_aYVrk
2024-03-06,Neighborhood District 4 Meeting 03/06/2024,neighborhood,videos,5349.0,SmLH8TxaNF0,https://www.youtube.com/watch?v=SmLH8TxaNF0
2024-03-05,"Provo City Council Meeting | March 5, 2024",council,streams,2504.0,IXLI9myEWgc,https://www.youtube.com/watch?v=IXLI9myEWgc
2024-03-05,"Provo City Council Work Meeting | March 5, 2024",council_work,streams,17868.0,UjajuK6ewJY,https://www.youtube.com/watch?v=UjajuK6ewJY
2024-03-05,"Provo City Council Work Meeting | March 5, 2024",council_work,streams,993.0,CoDhsdm-vq4,https://www.youtube.com/watch?v=CoDhsdm-vq4
2024-02-21,Neighborhood District 3 Meeting 2/21/2024,neighborhood,videos,5620.0,mMFb6tEGqrE,https://www.youtube.com/watch?v=mMFb6tEGqrE
2024-02-20,"Provo City Council Meeting | February 20, 2024",council,streams,2966.0,SWnegIfBV7U,https://www.youtube.com/watch?v=SWnegIfBV7U
2024-02-20,"Provo City Council Work Meeting | February 20, 2024",council_work,streams,8439.0,JV5zOGKSPh0,https://www.youtube.com/watch?v=JV5zOGKSPh0
2024-02-13,"Provo City Council Work Meeting | Council Budget Priorities | February 13, 2024",council_work,streams,14105.0,bqS2r6hSXLA,https://www.youtube.com/watch?v=bqS2r6hSXLA
