stem,format,extraction_method
2021-24,scanned,tesseract OCR @300dpi (no text layer)
2021-25,scanned,tesseract OCR @300dpi (no text layer)
2021-26,scanned,tesseract OCR @300dpi (no text layer)
2021-29,scanned,tesseract OCR @300dpi (no text layer)
2021-30,scanned,tesseract OCR @300dpi (no text layer)
2021-31,scanned,tesseract OCR @300dpi (no text layer)
2022-03,scanned,tesseract OCR @300dpi (no text layer)
2022-06,text,pdftotext -layout
2022-11,scanned,tesseract OCR @300dpi (no text layer)
2022-13,scanned,tesseract OCR @300dpi (no text layer)
2022-14,scanned,tesseract OCR @300dpi (no text layer)
2022-15,scanned,tesseract OCR @300dpi (no text layer)
2022-17,scanned,tesseract OCR @300dpi (no text layer)
2022-18,scanned,tesseract OCR @300dpi (no text layer)
2022-19,scanned,tesseract OCR @300dpi (no text layer)
2022-20,scanned,tesseract OCR @300dpi (no text layer)
2022-22,scanned,tesseract OCR @300dpi (no text layer)
2022-24,scanned,tesseract OCR @300dpi (no text layer)
2022-25,scanned,tesseract OCR @300dpi (no text layer)
2022-31,scanned,tesseract OCR @300dpi (no text layer)
2022-36,scanned,tesseract OCR @300dpi (no text layer)
2022-40,text,pdftotext -layout
2022-44,scanned,tesseract OCR @300dpi (no text layer)
2022-45,scanned,tesseract OCR @300dpi (no text layer)
2022-46,scanned,tesseract OCR @300dpi (no text layer)
2023-03,scanned,tesseract OCR @300dpi (no text layer)
2023-04,scanned,tesseract OCR @300dpi (no text layer)
2023-08,text,pdftotext -layout
2023-09,scanned,tesseract OCR @300dpi (no text layer)
2023-13,scanned,tesseract OCR @300dpi (no text layer)
2023-14,scanned,tesseract OCR @300dpi (no text layer)
2023-17,scanned,tesseract OCR @300dpi (no text layer)
2023-18,scanned,tesseract OCR @300dpi (no text layer)
2024-02,scanned,tesseract OCR @300dpi (no text layer)
2024-03,scanned,tesseract OCR @300dpi (no text layer)
2024-04,scanned,tesseract OCR @300dpi (no text layer)
2024-05,scanned,tesseract OCR @300dpi (no text layer)
2024-08,scanned,tesseract OCR @300dpi (no text layer)
2024-13,scanned,tesseract OCR @300dpi (no text layer)
2024-14,scanned,tesseract OCR @300dpi (no text layer)
2024-17,scanned,tesseract OCR @300dpi (no text layer)
2024-18,scanned,tesseract OCR @300dpi (no text layer)
2024-19,scanned,tesseract OCR @300dpi (no text layer)
2024-20,text,pdftotext -layout
2024-21,scanned,tesseract OCR @300dpi (no text layer)
2024-22,text,pdftotext -layout
2024-24,scanned,tesseract OCR @300dpi (no text layer)
2024-26,scanned,tesseract OCR @300dpi (no text layer)
2024-31,scanned,tesseract OCR @300dpi (no text layer)
2025-01,text,pdftotext -layout
2025-05,scanned,tesseract OCR @300dpi (no text layer)
2025-13,scanned,tesseract OCR @300dpi (no text layer)
2025-17,text,pdftotext -layout
2025-19,scanned,tesseract OCR @300dpi (no text layer)
2025-20,scanned,tesseract OCR @300dpi (no text layer)
2025-21,scanned,tesseract OCR @300dpi (no text layer)
2025-24,scanned,tesseract OCR @300dpi (no text layer)
2025-25,scanned,tesseract OCR @300dpi (no text layer)
2025-27,scanned,tesseract OCR @300dpi (no text layer)
2026-02,scanned,tesseract OCR @300dpi (no text layer)
2026-04,scanned,tesseract OCR @300dpi (no text layer)
2026-08,scanned,tesseract OCR @300dpi (no text layer)
2026-09,scanned,tesseract OCR @300dpi (no text layer)
2026-11,scanned,tesseract OCR @300dpi (no text layer)
notice_1003237,html,html-strip (PMN notice Description/Agenda)
notice_1009057,html,html-strip (PMN notice Description/Agenda)
notice_1022029,html,html-strip (PMN notice Description/Agenda)
notice_1029447,html,html-strip (PMN notice Description/Agenda)
notice_1029449,html,html-strip (PMN notice Description/Agenda)
notice_1032451,html,html-strip (PMN notice Description/Agenda)
notice_1032453,html,html-strip (PMN notice Description/Agenda)
notice_1045607,html,html-strip (PMN notice Description/Agenda)
notice_1059257,html,html-strip (PMN notice Description/Agenda)
notice_1059259,html,html-strip (PMN notice Description/Agenda)
notice_1070085,html,html-strip (PMN notice Description/Agenda)
notice_1070087,html,html-strip (PMN notice Description/Agenda)
notice_1070089,html,html-strip (PMN notice Description/Agenda)
notice_1070091,html,html-strip (PMN notice Description/Agenda)
notice_1080729,html,html-strip (PMN notice Description/Agenda)
notice_1085633,html,html-strip (PMN notice Description/Agenda)
notice_1090481,html,html-strip (PMN notice Description/Agenda)
notice_219699,html,html-strip (PMN notice Description/Agenda)
notice_219701,html,html-strip (PMN notice Description/Agenda)
notice_219703,html,html-strip (PMN notice Description/Agenda)
notice_219705,html,html-strip (PMN notice Description/Agenda)
notice_429213,html,html-strip (PMN notice Description/Agenda)
notice_429215,html,html-strip (PMN notice Description/Agenda)
notice_429217,html,html-strip (PMN notice Description/Agenda)
notice_429219,html,html-strip (PMN notice Description/Agenda)
notice_429221,html,html-strip (PMN notice Description/Agenda)
notice_435731,html,html-strip (PMN notice Description/Agenda)
notice_435735,html,html-strip (PMN notice Description/Agenda)
notice_435737,html,html-strip (PMN notice Description/Agenda)
notice_435739,html,html-strip (PMN notice Description/Agenda)
notice_435741,html,html-strip (PMN notice Description/Agenda)
notice_435743,html,html-strip (PMN notice Description/Agenda)
notice_452941,html,html-strip (PMN notice Description/Agenda)
notice_452943,html,html-strip (PMN notice Description/Agenda)
notice_452945,html,html-strip (PMN notice Description/Agenda)
notice_452947,html,html-strip (PMN notice Description/Agenda)
notice_455237,html,html-strip (PMN notice Description/Agenda)
notice_459375,html,html-strip (PMN notice Description/Agenda)
notice_464315,html,html-strip (PMN notice Description/Agenda)
notice_464317,html,html-strip (PMN notice Description/Agenda)
notice_464319,html,html-strip (PMN notice Description/Agenda)
notice_465277,html,html-strip (PMN notice Description/Agenda)
notice_472151,html,html-strip (PMN notice Description/Agenda)
notice_475795,html,html-strip (PMN notice Description/Agenda)
notice_475797,html,html-strip (PMN notice Description/Agenda)
notice_482905,html,html-strip (PMN notice Description/Agenda)
notice_482907,html,html-strip (PMN notice Description/Agenda)
notice_482909,html,html-strip (PMN notice Description/Agenda)
notice_486503,html,html-strip (PMN notice Description/Agenda)
notice_486505,html,html-strip (PMN notice Description/Agenda)
notice_489135,html,html-strip (PMN notice Description/Agenda)
notice_491991,html,html-strip (PMN notice Description/Agenda)
notice_491993,html,html-strip (PMN notice Description/Agenda)
notice_494649,html,html-strip (PMN notice Description/Agenda)
notice_494651,html,html-strip (PMN notice Description/Agenda)
notice_504117,html,html-strip (PMN notice Description/Agenda)
notice_504119,html,html-strip (PMN notice Description/Agenda)
notice_504123,html,html-strip (PMN notice Description/Agenda)
notice_504131,html,html-strip (PMN notice Description/Agenda)
notice_504135,html,html-strip (PMN notice Description/Agenda)
notice_504137,html,html-strip (PMN notice Description/Agenda)
notice_504141,html,html-strip (PMN notice Description/Agenda)
notice_504143,html,html-strip (PMN notice Description/Agenda)
notice_508785,html,html-strip (PMN notice Description/Agenda)
notice_511573,html,html-strip (PMN notice Description/Agenda)
notice_518393,html,html-strip (PMN notice Description/Agenda)
notice_518395,html,html-strip (PMN notice Description/Agenda)
notice_518397,html,html-strip (PMN notice Description/Agenda)
notice_521483,html,html-strip (PMN notice Description/Agenda)
notice_521485,html,html-strip (PMN notice Description/Agenda)
notice_527813,html,html-strip (PMN notice Description/Agenda)
notice_527815,html,html-strip (PMN notice Description/Agenda)
notice_533303,html,html-strip (PMN notice Description/Agenda)
notice_540397,html,html-strip (PMN notice Description/Agenda)
notice_543917,html,html-strip (PMN notice Description/Agenda)
notice_546307,html,html-strip (PMN notice Description/Agenda)
notice_546309,html,html-strip (PMN notice Description/Agenda)
notice_552335,html,html-strip (PMN notice Description/Agenda)
notice_552337,html,html-strip (PMN notice Description/Agenda)
notice_552339,html,html-strip (PMN notice Description/Agenda)
notice_555265,html,html-strip (PMN notice Description/Agenda)
notice_555267,html,html-strip (PMN notice Description/Agenda)
notice_555269,html,html-strip (PMN notice Description/Agenda)
notice_566191,html,html-strip (PMN notice Description/Agenda)
notice_605157,html,html-strip (PMN notice Description/Agenda)
notice_605159,html,html-strip (PMN notice Description/Agenda)
notice_613995,html,html-strip (PMN notice Description/Agenda)
notice_613997,html,html-strip (PMN notice Description/Agenda)
notice_613999,html,html-strip (PMN notice Description/Agenda)
notice_614001,html,html-strip (PMN notice Description/Agenda)
notice_617281,html,html-strip (PMN notice Description/Agenda)
notice_617283,html,html-strip (PMN notice Description/Agenda)
notice_617285,html,html-strip (PMN notice Description/Agenda)
notice_625711,html,html-strip (PMN notice Description/Agenda)
notice_625713,html,html-strip (PMN notice Description/Agenda)
notice_625715,html,html-strip (PMN notice Description/Agenda)
notice_632547,html,html-strip (PMN notice Description/Agenda)
notice_642296,html,html-strip (PMN notice Description/Agenda)
notice_645717,html,html-strip (PMN notice Description/Agenda)
notice_658197,html,html-strip (PMN notice Description/Agenda)
notice_658199,html,html-strip (PMN notice Description/Agenda)
notice_658205,html,html-strip (PMN notice Description/Agenda)
notice_660689,html,html-strip (PMN notice Description/Agenda)
notice_660693,html,html-strip (PMN notice Description/Agenda)
notice_660695,html,html-strip (PMN notice Description/Agenda)
notice_675239,html,html-strip (PMN notice Description/Agenda)
notice_675241,html,html-strip (PMN notice Description/Agenda)
notice_687749,html,html-strip (PMN notice Description/Agenda)
notice_687751,html,html-strip (PMN notice Description/Agenda)
notice_694401,html,html-strip (PMN notice Description/Agenda)
notice_696459,html,html-strip (PMN notice Description/Agenda)
notice_696461,html,html-strip (PMN notice Description/Agenda)
notice_696463,html,html-strip (PMN notice Description/Agenda)
notice_696465,html,html-strip (PMN notice Description/Agenda)
notice_696467,html,html-strip (PMN notice Description/Agenda)
notice_699833,html,html-strip (PMN notice Description/Agenda)
notice_701709,html,html-strip (PMN notice Description/Agenda)
notice_701711,html,html-strip (PMN notice Description/Agenda)
notice_705549,html,html-strip (PMN notice Description/Agenda)
notice_705553,html,html-strip (PMN notice Description/Agenda)
notice_706067,html,html-strip (PMN notice Description/Agenda)
notice_706069,html,html-strip (PMN notice Description/Agenda)
notice_714293,html,html-strip (PMN notice Description/Agenda)
notice_714295,html,html-strip (PMN notice Description/Agenda)
notice_721787,html,html-strip (PMN notice Description/Agenda)
notice_721791,html,html-strip (PMN notice Description/Agenda)
notice_729717,html,html-strip (PMN notice Description/Agenda)
notice_729719,html,html-strip (PMN notice Description/Agenda)
notice_748757,html,html-strip (PMN notice Description/Agenda)
notice_748759,html,html-strip (PMN notice Description/Agenda)
notice_748761,html,html-strip (PMN notice Description/Agenda)
notice_751891,html,html-strip (PMN notice Description/Agenda)
notice_751893,html,html-strip (PMN notice Description/Agenda)
notice_751899,html,html-strip (PMN notice Description/Agenda)
notice_751903,html,html-strip (PMN notice Description/Agenda)
notice_760493,html,html-strip (PMN notice Description/Agenda)
notice_760495,html,html-strip (PMN notice Description/Agenda)
notice_762575,html,html-strip (PMN notice Description/Agenda)
notice_762579,html,html-strip (PMN notice Description/Agenda)
notice_762581,html,html-strip (PMN notice Description/Agenda)
notice_762583,html,html-strip (PMN notice Description/Agenda)
notice_762585,html,html-strip (PMN notice Description/Agenda)
notice_762591,html,html-strip (PMN notice Description/Agenda)
notice_765193,html,html-strip (PMN notice Description/Agenda)
notice_772573,html,html-strip (PMN notice Description/Agenda)
notice_772577,html,html-strip (PMN notice Description/Agenda)
notice_772581,html,html-strip (PMN notice Description/Agenda)
notice_772583,html,html-strip (PMN notice Description/Agenda)
notice_772585,html,html-strip (PMN notice Description/Agenda)
notice_777481,html,html-strip (PMN notice Description/Agenda)
notice_783031,html,html-strip (PMN notice Description/Agenda)
notice_784483,html,html-strip (PMN notice Description/Agenda)
notice_793075,html,html-strip (PMN notice Description/Agenda)
notice_796083,html,html-strip (PMN notice Description/Agenda)
notice_796087,html,html-strip (PMN notice Description/Agenda)
notice_796107,html,html-strip (PMN notice Description/Agenda)
notice_796111,html,html-strip (PMN notice Description/Agenda)
notice_800775,html,html-strip (PMN notice Description/Agenda)
notice_800783,html,html-strip (PMN notice Description/Agenda)
notice_819153,html,html-strip (PMN notice Description/Agenda)
notice_846044,html,html-strip (PMN notice Description/Agenda)
notice_846052,html,html-strip (PMN notice Description/Agenda)
notice_846056,html,html-strip (PMN notice Description/Agenda)
notice_846064,html,html-strip (PMN notice Description/Agenda)
notice_858359,html,html-strip (PMN notice Description/Agenda)
notice_864733,html,html-strip (PMN notice Description/Agenda)
notice_885291,html,html-strip (PMN notice Description/Agenda)
notice_888809,html,html-strip (PMN notice Description/Agenda)
notice_915855,html,html-strip (PMN notice Description/Agenda)
notice_922033,html,html-strip (PMN notice Description/Agenda)
notice_922041,html,html-strip (PMN notice Description/Agenda)
notice_922043,html,html-strip (PMN notice Description/Agenda)
notice_922045,html,html-strip (PMN notice Description/Agenda)
notice_922047,html,html-strip (PMN notice Description/Agenda)
notice_927256,html,html-strip (PMN notice Description/Agenda)
notice_927258,html,html-strip (PMN notice Description/Agenda)
notice_927260,html,html-strip (PMN notice Description/Agenda)
notice_927262,html,html-strip (PMN notice Description/Agenda)
notice_927266,html,html-strip (PMN notice Description/Agenda)
notice_934729,html,html-strip (PMN notice Description/Agenda)
notice_934731,html,html-strip (PMN notice Description/Agenda)
notice_934741,html,html-strip (PMN notice Description/Agenda)
notice_941395,html,html-strip (PMN notice Description/Agenda)
notice_946077,html,html-strip (PMN notice Description/Agenda)
notice_946079,html,html-strip (PMN notice Description/Agenda)
notice_946081,html,html-strip (PMN notice Description/Agenda)
notice_965791,html,html-strip (PMN notice Description/Agenda)
notice_965793,html,html-strip (PMN notice Description/Agenda)
notice_969153,html,html-strip (PMN notice Description/Agenda)
notice_969155,html,html-strip (PMN notice Description/Agenda)
