meeting_date,body,meeting_type,minutes_md,source_pdf,source_url,source_index,n_chars,provenance
2015-08-25,Board of Commissioners,regular,legislative/minutes/2015/2015-08-25_commission.md,legislative/raw/min_08252015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_08252015.pdf,commission_meetings.php,10240,county_portal
2015-09-01,Board of Commissioners,regular,legislative/minutes/2015/2015-09-01_commission.md,legislative/raw/min_09012015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_09012015.pdf,archive:minute_id=741,30401,county_portal
2015-09-08,Board of Commissioners,regular,legislative/minutes/2015/2015-09-08_commission.md,legislative/raw/min_09082015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_09082015.pdf,commission_meetings.php,6109,county_portal
2015-09-15,Board of Commissioners,regular,legislative/minutes/2015/2015-09-15_commission.md,legislative/raw/min_09152015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_09152015.pdf,commission_meetings.php,6803,county_portal
2015-09-29,Board of Commissioners,regular,legislative/minutes/2015/2015-09-29_commission.md,legislative/raw/min_09292015(1).pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_09292015(1).pdf,archive:minute_id=951,15572,county_portal
2015-10-06,Board of Commissioners,regular,legislative/minutes/2015/2015-10-06_commission.md,legislative/raw/min_10062015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_10062015.pdf,commission_meetings.php,6969,county_portal
2015-10-13,Board of Commissioners,regular,legislative/minutes/2015/2015-10-13_commission.md,legislative/raw/min_10132015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_10132015.pdf,commission_meetings.php,5317,county_portal
2015-10-20,Board of Commissioners,regular,legislative/minutes/2015/2015-10-20_commission.md,legislative/raw/min_10202015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_10202015.pdf,commission_meetings.php,20862,county_portal
2015-10-27,Board of Commissioners,regular,legislative/minutes/2015/2015-10-27_commission.md,legislative/raw/min_10272015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_10272015.pdf,commission_meetings.php,12523,county_portal
2015-11-03,Board of Commissioners,regular,legislative/minutes/2015/2015-11-03_commission.md,legislative/raw/min_11032015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_11032015.pdf,commission_meetings.php,37765,county_portal
2015-11-10,Board of Commissioners,regular,legislative/minutes/2015/2015-11-10_commission.md,legislative/raw/min_11102015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_11102015.pdf,commission_meetings.php,7255,county_portal
2015-11-17,Board of Commissioners,regular,legislative/minutes/2015/2015-11-17_commission.md,legislative/raw/min_11172015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_11172015.pdf,commission_meetings.php,11839,county_portal
2015-11-24,Board of Commissioners,regular,legislative/minutes/2015/2015-11-24_commission.md,legislative/raw/min_11242015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_11242015.pdf,commission_meetings.php,8507,county_portal
2015-12-01,Board of Commissioners,regular,legislative/minutes/2015/2015-12-01_commission.md,legislative/raw/min_12012015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_12012015.pdf,commission_meetings.php,12248,county_portal
2015-12-08,Board of Commissioners,regular,legislative/minutes/2015/2015-12-08_commission.md,legislative/raw/min_12082015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_12082015.pdf,commission_meetings.php,8290,county_portal
2015-12-22,Board of Commissioners,regular,legislative/minutes/2015/2015-12-22_commission.md,legislative/raw/min_12222015.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_12222015.pdf,commission_meetings.php,27552,county_portal
2016-01-05,Board of Commissioners,regular,legislative/minutes/2016/2016-01-05_commission.md,legislative/raw/min_01052016(2).pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_01052016(2).pdf,archive:minute_id=755,6036,county_portal
2016-01-12,Board of Commissioners,regular,legislative/minutes/2016/2016-01-12_commission.md,legislative/raw/min_01122016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_01122016.pdf,commission_meetings.php,10079,county_portal
2016-01-19,Board of Commissioners,regular,legislative/minutes/2016/2016-01-19_commission.md,legislative/raw/min_01192016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_01192016.pdf,commission_meetings.php,7535,county_portal
2016-01-26,Board of Commissioners,regular,legislative/minutes/2016/2016-01-26_commission.md,legislative/raw/min_01262016(1).pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_01262016(1).pdf,archive:minute_id=758,10037,county_portal
2016-02-02,Board of Commissioners,regular,legislative/minutes/2016/2016-02-02_commission.md,legislative/raw/min_02022016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_02022016.pdf,commission_meetings.php,11155,county_portal
2016-02-09,Board of Commissioners,regular,legislative/minutes/2016/2016-02-09_commission.md,legislative/raw/min_02092016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_02092016.pdf,commission_meetings.php,5218,county_portal
2016-02-16,Board of Commissioners,regular,legislative/minutes/2016/2016-02-16_commission.md,legislative/raw/min_02162016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_02162016.pdf,commission_meetings.php,7220,county_portal
2016-02-23,Board of Commissioners,regular,legislative/minutes/2016/2016-02-23_commission.md,legislative/raw/min_02232016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_02232016.pdf,commission_meetings.php,729,county_portal
2016-03-01,Board of Commissioners,regular,legislative/minutes/2016/2016-03-01_commission.md,legislative/raw/min_03012016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_03012016.pdf,commission_meetings.php,8137,county_portal
2016-03-08,Board of Commissioners,regular,legislative/minutes/2016/2016-03-08_commission.md,legislative/raw/min_03082016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_03082016.pdf,commission_meetings.php,7225,county_portal
2016-03-22,Board of Commissioners,regular,legislative/minutes/2016/2016-03-22_commission.md,legislative/raw/min_03222016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_03222016.pdf,commission_meetings.php,22815,county_portal
2016-03-29,Board of Commissioners,regular,legislative/minutes/2016/2016-03-29_commission.md,legislative/raw/min_03292016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_03292016.pdf,commission_meetings.php,16836,county_portal
2016-04-12,Board of Commissioners,regular,legislative/minutes/2016/2016-04-12_commission.md,legislative/raw/min_04122016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_04122016.pdf,commission_meetings.php,8230,county_portal
2016-04-19,Board of Commissioners,regular,legislative/minutes/2016/2016-04-19_commission.md,legislative/raw/min_04192016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_04192016.pdf,commission_meetings.php,14310,county_portal
2016-04-26,Board of Commissioners,regular,legislative/minutes/2016/2016-04-26_commission.md,legislative/raw/min_04262016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_04262016.pdf,commission_meetings.php,34633,county_portal
2016-05-03,Board of Commissioners,regular,legislative/minutes/2016/2016-05-03_commission.md,legislative/raw/min_05032016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_05032016.pdf,commission_meetings.php,6030,county_portal
2016-05-10,Board of Commissioners,regular,legislative/minutes/2016/2016-05-10_commission.md,legislative/raw/min_05102016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_05102016.pdf,commission_meetings.php,17252,county_portal
2016-05-17,Board of Commissioners,regular,legislative/minutes/2016/2016-05-17_commission.md,legislative/raw/min_05172016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_05172016.pdf,commission_meetings.php,11353,county_portal
2016-05-24,Board of Commissioners,regular,legislative/minutes/2016/2016-05-24_commission.md,legislative/raw/min_05242016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_05242016.pdf,commission_meetings.php,10770,county_portal
2016-05-31,Board of Commissioners,regular,legislative/minutes/2016/2016-05-31_commission.md,legislative/raw/min_05312016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_05312016.pdf,commission_meetings.php,720,county_portal
2016-06-07,Board of Commissioners,regular,legislative/minutes/2016/2016-06-07_commission.md,legislative/raw/min_06072016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_06072016.pdf,commission_meetings.php,9322,county_portal
2016-06-14,Board of Commissioners,regular,legislative/minutes/2016/2016-06-14_commission.md,legislative/raw/min_06142016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_06142016.pdf,archive:minute_id=778,20343,county_portal
2016-06-21,Board of Commissioners,regular,legislative/minutes/2016/2016-06-21_commission.md,legislative/raw/min_06212016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_06212016.pdf,commission_meetings.php,608,county_portal
2016-06-28,Board of Commissioners,regular,legislative/minutes/2016/2016-06-28_commission.md,legislative/raw/min_06282016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_06282016.pdf,commission_meetings.php,608,county_portal
2016-07-05,Board of Commissioners,regular,legislative/minutes/2016/2016-07-05_commission.md,legislative/raw/min_07052016(1).pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_07052016(1).pdf,archive:minute_id=781,32376,county_portal
2016-07-06,Board of Commissioners,work_session,legislative/minutes/2016/2016-07-06_commission.md,legislative/raw/min_07062016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_07062016.pdf,archive:minute_id=788,2461,county_portal
2016-07-12,Board of Commissioners,regular,legislative/minutes/2016/2016-07-12_commission.md,legislative/raw/min_07122016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_07122016.pdf,archive:minute_id=785,12997,county_portal
2016-07-13,Board of Commissioners,work_session,legislative/minutes/2016/2016-07-13_commission.md,legislative/raw/min_07132016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_07132016.pdf,archive:minute_id=789,6163,county_portal
2016-07-19,Board of Commissioners,regular,legislative/minutes/2016/2016-07-19_commission.md,legislative/raw/min_07192016(1).pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_07192016(1).pdf,archive:minute_id=783,11014,county_portal
2016-07-26,Board of Commissioners,regular,legislative/minutes/2016/2016-07-26_commission.md,legislative/raw/min_07262016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_07262016.pdf,commission_meetings.php,608,county_portal
2016-08-02,Board of Commissioners,regular,legislative/minutes/2016/2016-08-02_commission.md,legislative/raw/min_08022016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_08022016.pdf,archive:minute_id=784,15350,county_portal
2016-08-09,Board of Commissioners,regular,legislative/minutes/2016/2016-08-09_commission.md,legislative/raw/min_08092016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_08092016.pdf,commission_meetings.php,13109,county_portal
2016-08-15,Board of Commissioners,regular,legislative/minutes/2016/2016-08-15_commission.md,legislative/raw/min_08152016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_08152016.pdf,commission_meetings.php,70231,county_portal
2016-08-23,Board of Commissioners,regular,legislative/minutes/2016/2016-08-23_commission.md,legislative/raw/min_08232016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_08232016.pdf,commission_meetings.php,8668,county_portal
2016-08-30,Board of Commissioners,regular,legislative/minutes/2016/2016-08-30_commission.md,legislative/raw/min_08302016(1).pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_08302016(1).pdf,archive:minute_id=792,37471,county_portal
2016-09-06,Board of Commissioners,regular,legislative/minutes/2016/2016-09-06_commission.md,legislative/raw/min_09062016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_09062016.pdf,commission_meetings.php,18403,county_portal
2016-09-13,Board of Commissioners,regular,legislative/minutes/2016/2016-09-13_commission.md,legislative/raw/min_09132016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_09132016.pdf,commission_meetings.php,5990,county_portal
2016-09-20,Board of Commissioners,regular,legislative/minutes/2016/2016-09-20_commission.md,legislative/raw/min_09202016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_09202016.pdf,commission_meetings.php,618,county_portal
2016-09-27,Board of Commissioners,regular,legislative/minutes/2016/2016-09-27_commission.md,legislative/raw/min_09272016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_09272016.pdf,commission_meetings.php,17488,county_portal
2016-10-04,Board of Commissioners,regular,legislative/minutes/2016/2016-10-04_commission.md,legislative/raw/min_10042016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_10042016.pdf,commission_meetings.php,6982,county_portal
2016-10-11,Board of Commissioners,regular,legislative/minutes/2016/2016-10-11_commission.md,legislative/raw/min_10112016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_10112016.pdf,commission_meetings.php,6567,county_portal
2016-10-18,Board of Commissioners,regular,legislative/minutes/2016/2016-10-18_commission.md,legislative/raw/min_10182016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_10182016.pdf,archive:minute_id=798,3177,county_portal
2016-10-25,Board of Commissioners,regular,legislative/minutes/2016/2016-10-25_commission.md,legislative/raw/min_10252016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_10252016.pdf,commission_meetings.php,621,county_portal
2016-11-01,Board of Commissioners,regular,legislative/minutes/2016/2016-11-01_commission.md,legislative/raw/min_11012016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_11012016.pdf,commission_meetings.php,8639,county_portal
2016-11-08,Board of Commissioners,regular,legislative/minutes/2016/2016-11-08_commission.md,legislative/raw/min_11082016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_11082016.pdf,commission_meetings.php,8885,county_portal
2016-11-15,Board of Commissioners,regular,legislative/minutes/2016/2016-11-15_commission.md,legislative/raw/min_11152016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_11152016.pdf,commission_meetings.php,4012,county_portal
2016-11-22,Board of Commissioners,regular,legislative/minutes/2016/2016-11-22_commission.md,legislative/raw/min_11222016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_11222016.pdf,commission_meetings.php,4053,county_portal
2016-11-29,Board of Commissioners,regular,legislative/minutes/2016/2016-11-29_commission.md,legislative/raw/min_11292016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_11292016.pdf,commission_meetings.php,47977,county_portal
2016-12-13,Board of Commissioners,regular,legislative/minutes/2016/2016-12-13_commission.md,legislative/raw/min_12132016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_12132016.pdf,commission_meetings.php,22151,county_portal
2016-12-20,Board of Commissioners,regular,legislative/minutes/2016/2016-12-20_commission.md,legislative/raw/min_12202016.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_12202016.pdf,commission_meetings.php,11725,county_portal
2017-01-03,Board of Commissioners,regular,legislative/minutes/2017/2017-01-03_commission.md,legislative/raw/min_01032017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_01032017.pdf,commission_meetings.php,5855,county_portal
2017-01-10,Board of Commissioners,regular,legislative/minutes/2017/2017-01-10_commission.md,legislative/raw/min_01102017(4).pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_01102017(4).pdf,archive:minute_id=807,11531,county_portal
2017-01-17,Board of Commissioners,regular,legislative/minutes/2017/2017-01-17_commission.md,legislative/raw/min_01172017(1).pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_01172017(1).pdf,archive:minute_id=808,8358,county_portal
2017-01-24,Board of Commissioners,regular,legislative/minutes/2017/2017-01-24_commission.md,legislative/raw/min_01242017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_01242017.pdf,commission_meetings.php,6788,county_portal
2017-01-31,Board of Commissioners,regular,legislative/minutes/2017/2017-01-31_commission.md,legislative/raw/min_01312017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_01312017.pdf,archive:minute_id=816,4036,county_portal
2017-02-07,Board of Commissioners,regular,legislative/minutes/2017/2017-02-07_commission.md,legislative/raw/min_02072017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_02072017.pdf,commission_meetings.php,11173,county_portal
2017-02-14,Board of Commissioners,regular,legislative/minutes/2017/2017-02-14_commission.md,legislative/raw/min_02142017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_02142017.pdf,commission_meetings.php,16248,county_portal
2017-02-21,Board of Commissioners,regular,legislative/minutes/2017/2017-02-21_commission.md,legislative/raw/min_02212017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_02212017.pdf,commission_meetings.php,6551,county_portal
2017-02-28,Board of Commissioners,regular,legislative/minutes/2017/2017-02-28_commission.md,legislative/raw/min_02282017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_02282017.pdf,commission_meetings.php,614,county_portal
2017-03-07,Board of Commissioners,regular,legislative/minutes/2017/2017-03-07_commission.md,legislative/raw/min_03072017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_03072017.pdf,commission_meetings.php,11365,county_portal
2017-03-14,Board of Commissioners,regular,legislative/minutes/2017/2017-03-14_commission.md,legislative/raw/min_03142017(1).pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_03142017(1).pdf,archive:minute_id=817,11500,county_portal
2017-03-28,Board of Commissioners,regular,legislative/minutes/2017/2017-03-28_commission.md,legislative/raw/min_03282017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_03282017.pdf,commission_meetings.php,19202,county_portal
2017-04-04,Board of Commissioners,regular,legislative/minutes/2017/2017-04-04_commission.md,legislative/raw/min_04042017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_04042017.pdf,commission_meetings.php,606,county_portal
2017-04-11,Board of Commissioners,regular,legislative/minutes/2017/2017-04-11_commission.md,legislative/raw/min_04112017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_04112017.pdf,commission_meetings.php,47903,county_portal
2017-04-18,Board of Commissioners,regular,legislative/minutes/2017/2017-04-18_commission.md,legislative/raw/min_04182017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_04182017.pdf,commission_meetings.php,7377,county_portal
2017-04-25,Board of Commissioners,regular,legislative/minutes/2017/2017-04-25_commission.md,legislative/raw/min_04252017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_04252017.pdf,commission_meetings.php,8913,county_portal
2017-05-02,Board of Commissioners,regular,legislative/minutes/2017/2017-05-02_commission.md,legislative/raw/min_05022017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_05022017.pdf,commission_meetings.php,605,county_portal
2017-05-09,Board of Commissioners,regular,legislative/minutes/2017/2017-05-09_commission.md,legislative/raw/min_05092017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_05092017.pdf,commission_meetings.php,17536,county_portal
2017-05-16,Board of Commissioners,regular,legislative/minutes/2017/2017-05-16_commission.md,legislative/raw/min_05162017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_05162017.pdf,commission_meetings.php,13921,county_portal
2017-05-23,Board of Commissioners,regular,legislative/minutes/2017/2017-05-23_commission.md,legislative/raw/min_05232017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_05232017.pdf,commission_meetings.php,604,county_portal
2017-05-30,Board of Commissioners,regular,legislative/minutes/2017/2017-05-30_commission.md,legislative/raw/min_05302017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_05302017.pdf,commission_meetings.php,34650,county_portal
2017-06-06,Board of Commissioners,regular,legislative/minutes/2017/2017-06-06_commission.md,legislative/raw/min_06062017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_06062017.pdf,archive:minute_id=826,604,county_portal
2017-06-13,Board of Commissioners,regular,legislative/minutes/2017/2017-06-13_commission.md,legislative/raw/min_06132017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_06132017.pdf,commission_meetings.php,49551,county_portal
2017-06-20,Board of Commissioners,regular,legislative/minutes/2017/2017-06-20_commission.md,legislative/raw/min_06202017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_06202017.pdf,commission_meetings.php,7640,county_portal
2017-06-27,Board of Commissioners,regular,legislative/minutes/2017/2017-06-27_commission.md,legislative/raw/min_06272017(1).pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_06272017(1).pdf,archive:minute_id=830,33729,county_portal
2017-07-11,Board of Commissioners,regular,legislative/minutes/2017/2017-07-11_commission.md,legislative/raw/min_07112017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_07112017.pdf,commission_meetings.php,8365,county_portal
2017-07-18,Board of Commissioners,regular,legislative/minutes/2017/2017-07-18_commission.md,legislative/raw/min_07182017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_07182017.pdf,commission_meetings.php,27640,county_portal
2017-07-25,Board of Commissioners,regular,legislative/minutes/2017/2017-07-25_commission.md,legislative/raw/min_07252017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_07252017.pdf,commission_meetings.php,15326,county_portal
2017-08-01,Board of Commissioners,regular,legislative/minutes/2017/2017-08-01_commission.md,legislative/raw/min_08012017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_08012017.pdf,commission_meetings.php,12239,county_portal
2017-08-08,Board of Commissioners,regular,legislative/minutes/2017/2017-08-08_commission.md,legislative/raw/min_08082017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_08082017.pdf,commission_meetings.php,11715,county_portal
2017-08-15,Board of Commissioners,regular,legislative/minutes/2017/2017-08-15_commission.md,legislative/raw/min_08152017.pdf,https://www.webercountyutah.gov/commission/documents/minutes/min_08152017.pdf,commission_meetings.php,11387,county_portal
