date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,apid,eventid,size_mb,stored_locally
2025-03-20,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3146,2026-07-13,text,pdftotext -layout,raw/2025-03-20/Council_e2913_packet.pdf,3146,2913,11.203,yes
2025-04-03,City Council Work Meeting,Council,work,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3150,2026-07-13,text,pdftotext -layout,raw/2025-04-03/Council_e2902_packet.pdf,3150,2902,11.575,yes
2025-04-15,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3151,2026-07-13,text,pdftotext -layout,raw/2025-04-15/PlanningCommission_e2843_packet.pdf,3151,2843,4.735,yes
2025-04-17,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3152,2026-07-13,text,pdftotext -layout,raw/2025-04-17/Council_e2722_packet.pdf,3152,2722,6.839,yes
2025-05-01,City Council Meeting - audio only,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3154,2026-07-13,text,pdftotext -layout,raw/2025-05-01/Council_e2903_packet.pdf,3154,2903,6.629,yes
2025-05-01,RDA Board,RDA,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3153,2026-07-13,text,pdftotext -layout,raw/2025-05-01/RDA_e2970_packet.pdf,3153,2970,0.198,yes
2025-05-06,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3160,2026-07-13,text,pdftotext -layout,raw/2025-05-06/PlanningCommission_e2744_packet.pdf,3160,2744,30.034,yes
2025-05-08,City Council Work Meeting,Council,work,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3157,2026-07-13,text,pdftotext -layout,raw/2025-05-08/Council_e2971_packet.pdf,3157,2971,1.247,yes
2025-05-15,City Council Meeting- audio only,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3158,2026-07-13,text,pdftotext -layout,raw/2025-05-15/Council_e2915_packet.pdf,3158,2915,12.704,yes
2025-06-05,City Council & RDA Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3171,2026-07-13,text,pdftotext -layout,raw/2025-06-05/Council_e2904_packet.pdf,3171,2904,6.858,yes
2025-06-12,City Council & RDA Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3163,2026-07-13,text,pdftotext -layout,raw/2025-06-12/Council_e2828_packet.pdf,3163,2828,27.478,yes
2025-06-24,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3164,2026-07-13,text,pdftotext -layout,raw/2025-06-24/PlanningCommission_e2846_packet.pdf,3164,2846,7.322,yes
2025-07-15,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3165,2026-07-13,text,pdftotext -layout,raw/2025-07-15/PlanningCommission_e3008_packet.pdf,3165,3008,72.734,yes
2025-07-17,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3168,2026-07-13,text,pdftotext -layout,raw/2025-07-17/Council_e2917_packet.pdf,3168,2917,22.809,yes
2025-08-07,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3170,2026-07-13,text,pdftotext -layout,raw/2025-08-07/Council_e2818_packet.pdf,3170,2818,30.908,yes
2025-08-12,Planning Commission Appeal Hearing,PlanningCommission,special,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3172,2026-07-13,text,pdftotext -layout,raw/2025-08-12/PlanningCommission_e2847_packet.pdf,3172,2847,4.555,yes
2025-08-19,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3173,2026-07-13,text,pdftotext -layout,raw/2025-08-19/PlanningCommission_e3045_packet.pdf,3173,3045,37.836,yes
2025-08-28,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3178,2026-07-13,text,pdftotext -layout,raw/2025-08-28/Council_e2830_packet.pdf,3178,2830,44.81,yes
2025-09-02,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3177,2026-07-13,text,pdftotext -layout,raw/2025-09-02/PlanningCommission_e2860_packet.pdf,3177,2860,58.565,yes
2025-09-11,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3179,2026-07-13,text,pdftotext -layout,raw/2025-09-11/Council_e2871_packet.pdf,3179,2871,2.398,yes
2025-09-16,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3180,2026-07-13,text,pdftotext -layout,raw/2025-09-16/PlanningCommission_e2848_packet.pdf,3180,2848,18.25,yes
2025-09-18,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3183,2026-07-13,text,pdftotext -layout,raw/2025-09-18/Council_e2919_packet.pdf,3183,2919,7.906,yes
2025-09-18,Local Building Authority (LBA),LBA,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3181,2026-07-13,text,pdftotext -layout,raw/2025-09-18/LBA_e3095_packet.pdf,3181,3095,2.075,yes
2025-09-30,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3184,2026-07-13,text,pdftotext -layout,raw/2025-09-30/PlanningCommission_e3122_packet.pdf,3184,3122,11.481,yes
2025-10-02,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3188,2026-07-13,text,pdftotext -layout,raw/2025-10-02/Council_e3108_packet.pdf,3188,3108,0.435,yes
2025-10-02,Local Building Authority Mtg,LBA,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3185,2026-07-13,text,pdftotext -layout,raw/2025-10-02/LBA_e3160_packet.pdf,3185,3160,0.269,yes
2025-10-23,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3189,2026-07-13,text,pdftotext -layout,raw/2025-10-23/Council_e3121_packet.pdf,3189,3121,19.047,yes
2025-10-28,Special Planning Commission Mtg,PlanningCommission,special,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3190,2026-07-13,text,pdftotext -layout,raw/2025-10-28/PlanningCommission_e3185_packet.pdf,3190,3185,5.04,yes
2025-11-06,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3203,2026-07-13,text,pdftotext -layout,raw/2025-11-06/Council_e3109_packet.pdf,3203,3109,14.525,yes
2025-11-20,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3199,2026-07-13,text,pdftotext -layout,raw/2025-11-20/Council_e3096_packet.pdf,3199,3096,14.424,yes
2025-11-20,RDA Board,RDA,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3198,2026-07-13,text,pdftotext -layout,raw/2025-11-20/RDA_e3189_packet.pdf,3198,3189,0.248,yes
2025-12-02,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3201,2026-07-13,text,pdftotext -layout,raw/2025-12-02/PlanningCommission_e3124_packet.pdf,3201,3124,8.11,yes
2025-12-04,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3202,2026-07-13,text,pdftotext -layout,raw/2025-12-04/Council_e3110_packet.pdf,3202,3110,14.19,yes
2025-12-11,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3204,2026-07-13,text,pdftotext -layout,raw/2025-12-11/Council_e3190_packet.pdf,3204,3190,3.145,yes
2025-12-11,RDA Board,RDA,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3205,2026-07-13,text,pdftotext -layout,raw/2025-12-11/RDA_e3191_packet.pdf,3205,3191,0.605,yes
2025-12-16,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3206,2026-07-13,text,pdftotext -layout,raw/2025-12-16/PlanningCommission_e3013_packet.pdf,3206,3013,6.032,yes
2026-01-06,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3207,2026-07-13,text,pdftotext -layout,raw/2026-01-06/PlanningCommission_e3125_packet.pdf,3207,3125,3.71,yes
2026-01-08,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3208,2026-07-13,text,pdftotext -layout,raw/2026-01-08/Council_e3098_packet.pdf,3208,3098,2.895,yes
2026-01-20,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3209,2026-07-13,text,pdftotext -layout,raw/2026-01-20/PlanningCommission_e3014_packet.pdf,3209,3014,3.587,yes
2026-01-22,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3213,2026-07-13,text,pdftotext -layout,raw/2026-01-22/Council_e2923_packet.pdf,3213,2923,30.054,yes
2026-01-22,RDA Board Meeting,RDA,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3210,2026-07-13,text,pdftotext -layout,raw/2026-01-22/RDA_e3221_packet.pdf,3210,3221,0.381,yes
2026-02-05,City Council & RDA Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3214,2026-07-13,text,pdftotext -layout,raw/2026-02-05/Council_e3210_packet.pdf,3214,3210,11.219,yes
2026-02-17,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3218,2026-07-13,text,pdftotext -layout,raw/2026-02-17/PlanningCommission_e3164_packet.pdf,3218,3164,7.934,yes
2026-02-19,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3220,2026-07-13,text,pdftotext -layout,raw/2026-02-19/Council_e3197_packet.pdf,3220,3197,0.877,yes
2026-03-03,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3221,2026-07-13,text,pdftotext -layout,raw/2026-03-03/PlanningCommission_e3152_packet.pdf,3221,3152,49.328,yes
2026-03-05,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3223,2026-07-13,text,pdftotext -layout,raw/2026-03-05/Council_e3113_packet.pdf,3223,3113,21.708,yes
2026-03-19,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3224,2026-07-13,text,pdftotext -layout,raw/2026-03-19/Council_e3198_packet.pdf,3224,3198,12.143,yes
2026-03-24,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3225,2026-07-13,text,pdftotext -layout,raw/2026-03-24/PlanningCommission_e3165_packet.pdf,3225,3165,17.909,yes
2026-04-16,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3226,2026-07-13,text,pdftotext -layout,raw/2026-04-16/Council_e3101_packet.pdf,3226,3101,8.702,yes
2026-04-16,Local Building Authority (LBA),LBA,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3227,2026-07-13,text,pdftotext -layout,raw/2026-04-16/LBA_e3260_packet.pdf,3227,3260,0.326,yes
2026-04-21,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3229,2026-07-13,text,pdftotext -layout,raw/2026-04-21/PlanningCommission_e3178_packet.pdf,3229,3178,21.916,yes
2026-04-23,City Council,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3230,2026-07-13,text,pdftotext -layout,raw/2026-04-23/Council_e3262_packet.pdf,3230,3262,7.305,yes
2026-04-28,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3232,2026-07-13,text,pdftotext -layout,raw/2026-04-28/PlanningCommission_e3154_packet.pdf,3232,3154,9.43,yes
2026-05-05,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3233,2026-07-13,text,pdftotext -layout,raw/2026-05-05/PlanningCommission_e3264_packet.pdf,3233,3264,46.227,yes
2026-05-07,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3237,2026-07-13,text,pdftotext -layout,raw/2026-05-07/Council_e3213_packet.pdf,3237,3213,4.475,yes
2026-05-07,Local Building Authority (LBA),LBA,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3234,2026-07-13,text,pdftotext -layout,raw/2026-05-07/LBA_e3274_packet.pdf,3234,3274,0.199,yes
2026-05-07,RDA Board,RDA,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3235,2026-07-13,text,pdftotext -layout,raw/2026-05-07/RDA_e3275_packet.pdf,3235,3275,0.197,yes
2026-05-19,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3238,2026-07-13,text,pdftotext -layout,raw/2026-05-19/PlanningCommission_e3179_packet.pdf,3238,3179,4.352,yes
2026-05-21,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3239,2026-07-13,text,pdftotext -layout,raw/2026-05-21/Council_e3200_packet.pdf,3239,3200,5.673,yes
2026-06-04,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3242,2026-07-13,text,pdftotext -layout,raw/2026-06-04/Council_e3214_packet.pdf,3242,3214,24.09,yes
2026-06-04,Local Building Authority (LBA),LBA,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3241,2026-07-13,text,pdftotext -layout,raw/2026-06-04/LBA_e3278_packet.pdf,3241,3278,1.098,yes
2026-06-04,RDA Board,RDA,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3240,2026-07-13,text,pdftotext -layout,raw/2026-06-04/RDA_e3277_packet.pdf,3240,3277,1.765,yes
2026-06-11,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3243,2026-07-13,text,pdftotext -layout,raw/2026-06-11/Council_e3201_packet.pdf,3243,3201,4.54,yes
2026-06-11,Local Building Authority (LBA),LBA,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3244,2026-07-13,text,pdftotext -layout,raw/2026-06-11/LBA_e3280_packet.pdf,3244,3280,1.105,yes
2026-06-11,RDA Board,RDA,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3245,2026-07-13,text,pdftotext -layout,raw/2026-06-11/RDA_e3281_packet.pdf,3245,3281,1.812,yes
2026-06-16,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3247,2026-07-13,text,pdftotext -layout,raw/2026-06-16/PlanningCommission_e3168_packet.pdf,3247,3168,7.902,yes
2026-07-07,Planning Commission Meeting,PlanningCommission,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3248,2026-07-13,text,pdftotext -layout,raw/2026-07-07/PlanningCommission_e3266_packet.pdf,3248,3266,12.547,yes
2026-07-16,City Council Meeting,Council,regular,full_packet,https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3249,2026-07-13,text,pdftotext -layout,raw/2026-07-16/Council_e3202_packet.pdf,3249,3202,24.121,yes
