date	body	eventid	title	apid	aid	mid	packet_url
2025-06-12	Council	2828	City Council & RDA Meeting	3163	3321	1160	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3163
2025-06-18	Council	2957	Arts Council				
2025-06-24	PlanningCommission	2846	Planning Commission Meeting	3164	3323	1173	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3164
2025-06-25	Council	2958	Arts Council		3322		
2025-07-01	PlanningCommission	2858	Planning Commission Mtg - Cancelled		3324		
2025-07-15	PlanningCommission	3008	Planning Commission Meeting	3165	3327	1170	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3165
2025-07-17	Council	2917	City Council Meeting	3168	3329	1158	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3168
2025-07-23	Council	2996	Arts Council		3330		
2025-08-05	PlanningCommission	2859	Planning Commission Mtg- Canceled		3331		
2025-08-07	Council	2818	City Council Meeting	3170	3332	1162	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3170
2025-08-07	RDA	3032	RDA Board		3335		
2025-08-12	PlanningCommission	2847	Planning Commission Appeal Hearing	3172	3336		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3172
2025-08-19	PlanningCommission	3045	Planning Commission Meeting	3173	3338	1171	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3173
2025-08-27	Council	3057	Arts Council		3339		
2025-08-28	Council	2830	City Council Meeting	3178	3340	1163	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3178
2025-09-02	PlanningCommission	2860	Planning Commission Meeting	3177	3344	1169	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3177
2025-09-11	Council	2871	City Council Meeting	3179	3346	1164	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3179
2025-09-16	PlanningCommission	2848	Planning Commission Meeting	3180	3347	1172	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3180
2025-09-18	Council	2919	City Council Meeting	3183	3352	1165	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3183
2025-09-18	LBA	3095	Local Building Authority (LBA)	3181	3351		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3181
2025-09-24	Council	3058	Arts Council		3353		
2025-09-30	PlanningCommission	3122	Planning Commission Meeting	3184	3355	1193	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3184
2025-10-02	Council	3108	City Council Meeting	3188	3356	1182	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3188
2025-10-02	LBA	3160	Local Building Authority Mtg	3185	3357		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3185
2025-10-07	PlanningCommission	3147	Planning Commission Meeting		3359	1166	
2025-10-21	PlanningCommission	2849	Planning Commission Meeting		3360	1167	
2025-10-22	Council	2999	Arts Council		3361		
2025-10-23	Council	3121	City Council Meeting	3189	3364	1175	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3189
2025-10-28	PlanningCommission	3185	Special Planning Commission Mtg	3190	3365	1168	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3190
2025-11-06	Council	3187	Council Work Mtg - Audio only				
2025-11-06	Council	3109	City Council Meeting	3203	3370	1181	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3203
2025-11-06	LBA	3186	Local Building Authority (LBA)		3368		
2025-11-18	PlanningCommission	3161	Planning Commission Mtg - Canceled		3371		
2025-11-20	Council	3096	City Council Meeting	3199	3375	1183	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3199
2025-11-20	RDA	3189	RDA Board	3198	3374		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3198
2025-11-26	Council	3060	Arts Council				
2025-12-02	PlanningCommission	3124	Planning Commission Meeting	3201	3378	1174	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3201
2025-12-04	Council	3110	City Council Meeting	3202	3380	1179	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3202
2025-12-11	Council	3190	City Council Meeting	3204	3382	1184	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3204
2025-12-11	RDA	3191	RDA Board	3205	3383		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3205
2025-12-16	PlanningCommission	3013	Planning Commission Meeting	3206	3384	1194	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3206
2025-12-18	Council	3195	City Council & RDA Meeting		3385	1177	
2026-01-01	Council	3209	City Council Meeting				
2026-01-06	PlanningCommission	3125	Planning Commission Meeting	3207	3387	1195	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3207
2026-01-08	Council	3098	City Council Meeting	3208	3390	1185	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3208
2026-01-09	Council	3219	2026 Legislative Meeting		3393	1186	
2026-01-20	PlanningCommission	3014	Planning Commission Meeting	3209	3395		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3209
2026-01-22	Council	2923	City Council Meeting	3213	3398	1187	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3213
2026-01-22	RDA	3221	RDA Board Meeting	3210	3396		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3210
2026-01-28	Council	3062	Arts Council		3399		
2026-02-03	PlanningCommission	3126	Planning Commission Meeting - CANCELED		3400		
2026-02-05	Council	3210	City Council & RDA Meeting	3214	3401	1188	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3214
2026-02-12	Council	3230	Council Retreat		3402		
2026-02-17	PlanningCommission	3164	Planning Commission Meeting	3218	3403		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3218
2026-02-19	Council	3197	City Council Meeting	3220	3406	1189	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3220
2026-02-25	Council	3063	Arts Council		3409		
2026-03-03	PlanningCommission	3152	Planning Commission Meeting	3221	3410	1197	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3221
2026-03-05	Council	3113	City Council Meeting	3223	3411	1190	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3223
2026-03-11	Council	3244	Notice of Potential Quorum -  City Council		3413		
2026-03-17	PlanningCommission	3258	Planning Commission Meeting RESCHEDULED		3414		
2026-03-19	Council	3198	City Council Meeting	3224	3416	1191	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3224
2026-03-24	PlanningCommission	3165	Planning Commission Meeting	3225	3417	1198	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3225
2026-03-25	Council	3064	Arts Council		3419		
2026-03-30	Council	3259	Notice of Potential Quorum - City Council		3420		
2026-04-16	Council	3101	City Council Meeting	3226	3422	1192	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3226
2026-04-16	LBA	3260	Local Building Authority (LBA)	3227	3423		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3227
2026-04-21	PlanningCommission	3178	Planning Commission Meeting	3229	3424	1199	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3229
2026-04-22	Council	3065	Arts Council		3427		
2026-04-23	Council	3262	City Council	3230	3425	1200	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3230
2026-04-28	PlanningCommission	3154	Planning Commission Meeting	3232	3428	1196	https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3232
2026-05-05	PlanningCommission	3264	Planning Commission Meeting	3233	3430		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3233
2026-05-07	Council	3213	City Council Meeting	3237	3433		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3237
2026-05-07	LBA	3274	Local Building Authority (LBA)	3234	3431		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3234
2026-05-07	RDA	3275	RDA Board	3235	3432		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3235
2026-05-14	Council	3272	City Council Work Meeting		3436		
2026-05-19	PlanningCommission	3179	Planning Commission Meeting	3238	3437		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3238
2026-05-21	Council	3200	City Council Meeting	3239	3439		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3239
2026-05-27	Council	3066	Arts Council		3442		
2026-06-02	PlanningCommission	3130	Planning Commission Meeting		3443		
2026-06-04	Council	3214	City Council Meeting	3242	3446		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3242
2026-06-04	LBA	3278	Local Building Authority (LBA)	3241	3444		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3241
2026-06-04	RDA	3277	RDA Board	3240	3445		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3240
2026-06-11	Council	3201	City Council Meeting	3243	3450		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3243
2026-06-11	LBA	3280	Local Building Authority (LBA)	3244	3453		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3244
2026-06-11	RDA	3281	RDA Board	3245	3454		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3245
2026-06-16	PlanningCommission	3168	Planning Commission Meeting	3247	3455		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3247
2026-06-24	Council	3067	Arts Council		3457		
2026-07-07	PlanningCommission	3266	Planning Commission Meeting	3248	3458		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3248
2026-07-16	Council	3202	City Council Meeting	3249	3460		https://holladayut.suiteonemedia.com/event/GetAgendaPacketFile/Packet?apid=3249
2026-07-21	PlanningCommission	3181	Planning Commission Meeting				
2026-07-22	Council	3068	Arts Council				
2026-08-04	PlanningCommission	3267	Planning Commission Meeting				
2026-08-06	Council	3216	City Council Meeting				
2026-08-18	PlanningCommission	3170	Planning Commission Meeting				
2026-08-20	Council	3105	City Council Meeting				
2026-09-01	PlanningCommission	3133	Planning Commission Meeting				
