ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,linkage_note
2021-O-10,2021-11-10,2021-11-10,Ordinance 2021-O-10 Rocky Mountain Power Franchise Agreement,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202021-O-10%20Rocky%20Mountain%20Power%20Franchise%20Agreemen.pdf,2026-07-13,text,pdftotext -layout,raw/2021-O-10.pdf,no,APPROVED,2021-11-10,m2,high,number cited in council vote motion (independent PDF + motion citation)
2022-O-1,2022-01-12,2022-01-12,Ordinance 2022-O-1 Quasi Public Roads and Parking Ordinance,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202022-O-1%20Quasi%20Public%20Roads%20and%20Parking%20Ordinance.pdf,2026-07-13,text,pdftotext -layout,raw/2022-O-1.pdf,no,APPROVED,2022-01-12,m3,high,number cited in council vote motion (independent PDF + motion citation)
2022-O-2,2022-03-09,2022-03-09,Ordinance 2022-O-2 an Ordinance Amending Town Code Title 5-2-3 Dog Licensing,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202022-o-2%20an%20Ordinance%20Amending%20Town%20Code%20Title%205-2-3%20Dog%20Licensing.pdf,2026-07-13,text,pdftotext -layout,raw/2022-O-2.pdf,no,APPROVED,2022-03-09,m4,high,number cited in council vote motion (independent PDF + motion citation)
2022-O-3,2022-04-13,2022-04-13,Appointment of Town Officials,https://www.utah.gov/pmn/files/847687.pdf,2026-07-13,na,,,no,FAILED (0-5),2022-04-13,m3,within_source,Did Not Pass (town ordinance list; no PDF); number+date cited in a council vote motion but NO independent adoption PDF on the town list (minutes are the sole witness)
2022-O-4,2022-04-13,2022-04-13,Ordinance 2022-O-4 Fire Restrictions Amendment,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202022-O-4%20Fire%20Restrictions%20Amendment.pdf,2026-07-13,text,pdftotext -layout,raw/2022-O-4.pdf,no,APPROVED (5-0),2022-04-13,m7,high,number cited in council vote motion (independent PDF + motion citation)
2022-O-5,2022-10-12,2022-10-12,Ordinance 2022-O-5 “Disturbing the Peace” Noise Ordinance,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202022-O-5%20%E2%80%9CDisturbing%20the%20Peace%E2%80%9D%20Noise%20Ordinance.pdf,2026-07-13,text,pdftotext -layout,raw/2022-O-5.pdf,no,APPROVED (4-1),2022-10-12,m2,high,number cited in council vote motion (independent PDF + motion citation)
2022-O-6,2022-11-09,2022-11-09,"Ordinance 2022-O-6 Vehicles, Parking, and Traffic Amendment","https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202022-O-6%20Vehicles,%20Parking,%20and%20Traffic%20Amendment.pdf",2026-07-13,text,pdftotext -layout,raw/2022-O-6.pdf,no,,,,none,"independent adopted PDF from town ordinance list; ordinance number not cited by any council vote motion in all_votes.csv (2024-25 minutes reference ordinances by subject, not number) -- LEAD: subject-level match only"
2022-O-7,2022-12-14,2022-12-14,Ordinance 2022-O-7 Planning Commission Appointments and Terms Amendment,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202022-O-7%20Planning%20Commission%20Appointments%20and%20Terms%20Amendment.pdf,2026-07-13,text,pdftotext -layout,raw/2022-O-7.pdf,no,APPROVED (5-0),2022-12-14,m8,high,number cited in council vote motion (independent PDF + motion citation)
2023-O-1,2023-03-08,2023-03-08,Ordinance 2023-O-1 Dog Ordinance Amendment Removing Watershed Tag Requirement,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202023-O-1%20Dog%20Ordinance%20Amendment%20Removing%20Watershed%20Tag%20Requirement.pdf,2026-07-13,text,pdftotext -layout,raw/2023-O-1.pdf,no,APPROVED,2023-03-08,m2,high,number cited in council vote motion (independent PDF + motion citation)
2023-O-2,2023-04-12,2023-04-12,Ordinance 2023-O-2 Creating Position of Town Manager,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202023-O-2%20Creating%20Position%20of%20Town%20Manager.pdf,2026-07-13,text,pdftotext -layout,raw/2023-O-2.pdf,no,APPROVED,2023-04-12,m5,high,number cited in council vote motion (independent PDF + motion citation)
2023-O-3,2023-04-12,2023-04-12,Ordinance 2023-O-3 Delegating Administrative Authority to Town Manager,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202023-O-3%20Delegating%20Administrative%20Authority%20to%20Town%20Manager.pdf,2026-07-13,text,pdftotext -layout,raw/2023-O-3.pdf,no,APPROVED,2023-04-12,m6,high,number cited in council vote motion (independent PDF + motion citation)
2023-O-4,2023-06-21,2023-06-21,Ordinance 2023-O-4 Imposing an additional .1% of the Resort Community Sales Tax,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202023-O-4%20Imposing%20an%20additional%20.1%%20of%20the%20Resort%20Community%20Sales%20Tax.pdf,2026-07-13,text,pdftotext -layout,raw/2023-O-4.pdf,no,APPROVED (4-0),2023-06-21,m8,high,number cited in council vote motion (independent PDF + motion citation)
2023-O-5,2023-06-21,2023-06-21,Transient Room Tax,https://www.utah.gov/pmn/files/999185.pdf,2026-07-13,na,,,no,FAILED,2023-06-21,m7,within_source,Did Not Pass (town ordinance list; no PDF); number+date cited in a council vote motion but NO independent adoption PDF on the town list (minutes are the sole witness)
2023-O-6,2023-08-09,2023-08-09,Ordinance 2023-O-6 Interlodge Travel Amendment,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202023-O-6%20Interlodge%20Travel%20Amendment.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2023-O-6.pdf,no,APPROVED,2023-08-09,m2,high,number cited in council vote motion (independent PDF + motion citation)
2024-O-1,2024-01-10,2024-01-10,Ordinance 2024-O-1 Compensation for Elective and Statutory Officers,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202024-O-1%20Compensation%20for%20Elective%20and%20Statutory%20Officers.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2024-O-1.pdf,no,APPROVED (4-0),2024-01-10,m7,high,number cited in council vote motion (independent PDF + motion citation)
2024-O-2,2024-01-10,2024-01-10,Ordinance 2024-O-2 Town Manager: Fidelity Bond and Crime Insurance,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202024-O-2%20Town%20Manager-%20Fidelity%20Bond%20and%20Crime%20Insurance.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2024-O-2.pdf,no,APPROVED (4-0),2024-01-10,m8,high,number cited in council vote motion (independent PDF + motion citation)
2024-O-3,2024-02-14,2024-02-14,Ordinance 2024-O-3 Council Meetings: Procedure and Conduct,https://storage.googleapis.com/juniper-media-library/130/2024/08/Ordinance%202024-O-3%20Council%20Meetings-%20Procedure%20and%20Conduct.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2024-O-3.pdf,no,APPROVED (5-0),2024-02-14,m4,high,number cited in council vote motion (independent PDF + motion citation)
2024-O-4,2024-02-14,2024-02-14,Ordinance 2024-O-4 Civil Code Enforcement,https://storage.googleapis.com/juniper-media-library/130/2024/08/2024-O-4%20Civil%20Code%20Enforcement.pdf,2026-07-13,text,pdftotext -layout,raw/2024-O-4.pdf,no,APPROVED (5-0),2024-02-14,m6,high,number cited in council vote motion (independent PDF + motion citation)
2024-O-5,2024-06-20,2024-06-20,Ordinance 2024-O-5 Liquor License Amendments,https://storage.googleapis.com/juniper-media-library/130/2024/08/2024-O-5%20Liquor%20License%20Amendments.pdf,2026-07-13,text,pdftotext -layout,raw/2024-O-5.pdf,no,APPROVED (5-0),2024-06-20,m7,high,number cited in council vote motion (independent PDF + motion citation)
2024-O-6,2024-06-20,2024-06-20,Ordinance 2024-O-6 Compensation for Elective and Statutory Officers,https://storage.googleapis.com/juniper-media-library/130/2024/08/2024-O-6%20Compensation%20for%20Elective%20and%20Statutory%20Officers.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2024-O-6.pdf,no,APPROVED (5-0),2024-06-20,m8,high,number cited in council vote motion (independent PDF + motion citation)
2024-O-7,2024-08-14,2024-08-14,Ordinance 2024-O-7 Updating the Town Council Meeting Schedule,https://storage.googleapis.com/juniper-media-library/130/2024/11/2024-O-7%20Ordinance%20Council%20Meeting%20Schedule.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2024-O-7.pdf,no,,,,none,"independent adopted PDF from town ordinance list; ordinance number not cited by any council vote motion in all_votes.csv (2024-25 minutes reference ordinances by subject, not number) -- LEAD: subject-level match only"
2024-O-8,2024-10-09,2024-10-09,Ordinance 2024-O-8 Liquor License Classifications,https://storage.googleapis.com/juniper-media-library/130/2024/11/2024-O-8%20Liquor%20License%20Classifications.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2024-O-8.pdf,no,,,,none,"independent adopted PDF from town ordinance list; ordinance number not cited by any council vote motion in all_votes.csv (2024-25 minutes reference ordinances by subject, not number) -- LEAD: subject-level match only"
2024-O-9,2024-11-13,2024-11-13,Ordinance 2024-O-9 Updating the Subdivision Ordinance,https://storage.googleapis.com/juniper-media-library/130/2024/11/2024-O-9%20Subdivision%20Ordinance%20Update.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2024-O-9.pdf,yes,APPROVED (5-0),2024-11-13,m6,high,number cited in council vote motion (independent PDF + motion citation)
2025-O-1,2025-02-12,2025-02-12,2025-O-1 establishing the regular meeting schedule for FY2026,https://storage.googleapis.com/juniper-media-library/130/2025/02/2025-O-1 Regular Town Council Meeting Schedule.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2025-O-1.pdf,no,APPROVED (5-0),2025-02-12,m2,high,number cited in council vote motion (independent PDF + motion citation)
2025-O-2,2025-06-18,2025-06-18,2025-O-2 Setting Compensation of Elective and Statutory Officers,https://storage.googleapis.com/juniper-media-library/130/2025/06/2025-O-2 Setting Compensation of Elective and Statutory Officers.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2025-O-2.pdf,no,APPROVED (5-0),2025-06-18,m10,high,number cited in council vote motion (independent PDF + motion citation)
2025-O-3,2025-08-13,2025-08-13,2025-O-3 Setting Compensation of Elective and Statutory Officers,https://storage.googleapis.com/juniper-media-library/130/2025/08/2025-O-3%20Compensation%20Elective%20Statutory%20Officers.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2025-O-3.pdf,no,APPROVED (5-0),2025-08-13,m6,high,number cited in council vote motion (independent PDF + motion citation)
2025-O-4,2025-12-10,2025-12-10,2025-O-4 Wildland Urban Interface,https://storage.googleapis.com/juniper-media-library/130/2025/12/2025-O-4 Wildland Urban Interface.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2025-O-4.pdf,no,APPROVED (4-0),2025-12-10,m2,high,number cited in council vote motion (independent PDF + motion citation)
2025-O-5,2025-11-12,2025-11-12,2025-O-5 Amending Title 10 Noticing Requirements,https://storage.googleapis.com/juniper-media-library/130/2025/11/2025-O-5 Amending Title 10 Noticing Requirements.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2025-O-5.pdf,yes,APPROVED (5-0),2025-11-12,m6,high,number cited in council vote motion (independent PDF + motion citation)
2026-O-1,2026-01-14,2026-01-14,Ordinance 2026-O-1 Elective and Statutory Officer Compensation,https://storage.googleapis.com/juniper-media-library/130/2026/01/2026-O-1 Compensation Elective Statutory Officers.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2026-O-1.pdf,no,APPROVED (4-0),2026-01-14,m1,high,number cited in council vote motion (independent PDF + motion citation)
2026-O-2,2026-04-08,2026-04-08,Ordinance 2026 O-2 LUDMA,https://storage.googleapis.com/juniper-media-library/130/2026/04/2026-O-2 LUDMA-2.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2026-O-2.pdf,yes,APPROVED (5-0),2026-04-08,m8,high,number cited in council vote motion (independent PDF + motion citation)
2026-O-3,2026-04-08,2026-04-08,Zoning Map Update,https://www.utah.gov/pmn/files/1433123.pdf,2026-07-13,na,,,yes,APPROVED,2026-04-08,m9,within_source,Continued to June meeting; no PDF posted (superseded by 2026-O-11 Zoning Map); number+date cited in a council vote motion but NO independent adoption PDF on the town list (minutes are the sole witness)
2026-O-4,2026-04-08,2026-04-08,Ordinance 2026-O-4 Petitions to Rezone,https://storage.googleapis.com/juniper-media-library/130/2026/04/2026-O-4 Petitions to Rezone-2.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2026-O-4.pdf,yes,APPROVED (5-0),2026-04-08,m10,high,number cited in council vote motion (independent PDF + motion citation)
2026-O-5,2026-04-08,2026-04-08,Ordinance 2026-O-5 Expiration Subdivision Approval,https://storage.googleapis.com/juniper-media-library/130/2026/04/2026-O-5 Expiration Subdivision Approval.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2026-O-5.pdf,yes,APPROVED (5-0),2026-04-08,m11,high,number cited in council vote motion (independent PDF + motion citation)
2026-O-6,2026-04-08,2026-04-08,Ordinance 2026-O-6 Town Council Meeting Schedule,https://storage.googleapis.com/juniper-media-library/130/2026/04/2026-O-6 Town Council Meeting Schedule.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2026-O-6.pdf,no,APPROVED (5-0),2026-04-08,m12,high,number cited in council vote motion (independent PDF + motion citation)
2026-O-7,2026-05-13,2026-05-13,Ordinance 2026-O-7 Enacting Community Clean Energy Program,https://storage.googleapis.com/juniper-media-library/130/2026/05/2026-O-7%20Enacting%20Community%20Clean%20Energy%20Program.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2026-O-7.pdf,no,APPROVED (5-0),2026-05-13,m2,high,number cited in council vote motion (independent PDF + motion citation)
2026-O-8,2026-06-17,2026-06-17,Ordinance 2026-O-8 Compensation Elective Statutory Officers,https://storage.googleapis.com/juniper-media-library/130/2026/06/2026-O-8 Compensation Elective Statutory Officers.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2026-O-8.pdf,no,APPROVED (4-0),2026-06-17,m7,high,number cited in council vote motion (independent PDF + motion citation)
2026-O-9,2026-06-17,2026-06-17,Ordinance 2026-O-9 Transient Room Tax,https://storage.googleapis.com/juniper-media-library/130/2026/06/2026-O-9 Transient Room Tax.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2026-O-9.pdf,no,APPROVED (4-0),2026-06-17,m8,high,number cited in council vote motion (independent PDF + motion citation)
2026-O-10,2026-06-17,2026-06-17,Ordinance 2026-O-10 Council Meeting Schedule,https://storage.googleapis.com/juniper-media-library/130/2026/06/2026-O-10 Council Meeting Schedule.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2026-O-10.pdf,no,APPROVED (4-0),2026-06-17,m15,high,number cited in council vote motion (independent PDF + motion citation)
2026-O-11,2026-06-17,2026-06-17,Ordinance 2026-O-11 Zoning Map,https://storage.googleapis.com/juniper-media-library/130/2026/06/2026-O-11 Zoning Map.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2026-O-11.pdf,yes,APPROVED (4-0),2026-06-17,m16,high,number cited in council vote motion (independent PDF + motion citation)
2026-O-12,2026-06-26,2026-06-26,Ordinance 2026-O-12 Stage 2 Fire Restrictions,https://storage.googleapis.com/juniper-media-library/130/2026/07/2026-O-12 Adopting Utah Stage 2 Fire Restrictions.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (pdftoppm PNG),raw/2026-O-12.pdf,no,,,,none,"independent adopted PDF from town ordinance list; ordinance number not cited by any council vote motion in all_votes.csv (2024-25 minutes reference ordinances by subject, not number) -- LEAD: subject-level match only"
