date,year,body,doc_status,pages,format,ocr,extraction_confidence,provenance,source_url,md_path,basename,snapshot_url,snapshot_timestamp
2015-06-09,2015,Council,approved,6,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/06-09-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-06-09_council.md,06-09-2015 Approved Council Minutes.pdf,,
2015-06-23,2015,Council,approved,21,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/06-23-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-06-23_council.md,06-23-2015 Approved Council Minutes.pdf,,
2015-07-14,2015,Council,approved,14,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/07-14-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-07-14_council.md,07-14-2015 Approved Council Minutes.pdf,,
2015-07-28,2015,Council,approved,30,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/07-28-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-07-28_council.md,07-28-2015 Approved Council Minutes.pdf,,
2015-08-11,2015,Council,approved,31,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/08-11-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-08-11_council.md,08-11-2015 Approved Council Minutes.pdf,,
2015-08-25,2015,Council,approved,25,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/08-25-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-08-25_council.md,08-25-2015 Approved Council Minutes.pdf,,
2015-09-08,2015,Council,approved,18,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/09-08-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-09-08_council.md,09-08-2015 Approved Council Minutes.pdf,,
2015-09-22,2015,Council,approved,68,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/09-22-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-09-22_council.md,09-22-2015 Approved Council Minutes.pdf,,
2015-10-13,2015,Council,approved,38,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/10-13-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-10-13_council.md,10-13-2015 Approved Council Minutes.pdf,,
2015-10-27,2015,Council,approved,16,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/10-27-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-10-27_council.md,10-27-2015 Approved Council Minutes.pdf,,
2015-11-10,2015,Council,approved,15,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/11-10-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-11-10_council.md,11-10-2015 Approved Council Minutes.pdf,,
2015-11-24,2015,Council,approved,12,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/11-24-2015 Approved Council Meeting.pdf,legislative/minutes/2015/2015-11-24_council.md,11-24-2015 Approved Council Meeting.pdf,,
2015-12-01,2015,Council,approved,43,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/12-01-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-12-01_council.md,12-01-2015 Approved Council Minutes.pdf,,
2015-12-08,2015,Council,approved,62,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2015/minutes/12-08-2015 Approved Council Minutes.pdf,legislative/minutes/2015/2015-12-08_council.md,12-08-2015 Approved Council Minutes.pdf,,
2016-01-12,2016,Council,approved,13,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/01-12-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-01-12_council.md,01-12-2016 Approved Council Minutes.pdf,,
2016-01-24,2016,Council,approved,21,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/01-24-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-01-24_council.md,01-24-2016 Approved Council Minutes.pdf,,
2016-01-26,2016,Council,approved,28,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/01-26-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-01-26_council.md,01-26-2016 Approved Council Minutes.pdf,,
2016-02-09,2016,Council,approved,13,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/02-09-2016 approved Council minutes.pdf,legislative/minutes/2016/2016-02-09_council.md,02-09-2016 approved Council minutes.pdf,,
2016-02-23,2016,Council,approved,16,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/02-23-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-02-23_council.md,02-23-2016 Approved Council Minutes.pdf,,
2016-03-08,2016,Council,approved,15,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/03-08-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-03-08_council.md,03-08-2016 Approved Council Minutes.pdf,,
2016-03-29,2016,Council,approved,13,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/03-29-2016 Approved Council minutes.pdf,legislative/minutes/2016/2016-03-29_council.md,03-29-2016 Approved Council minutes.pdf,,
2016-04-12,2016,Council,approved,30,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/04-12-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-04-12_council.md,04-12-2016 Approved Council Minutes.pdf,,
2016-04-26,2016,Council,approved,31,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/04-26-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-04-26_council.md,04-26-2016 Approved Council Minutes.pdf,,
2016-05-10,2016,Council,approved,25,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/05-10-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-05-10_council.md,05-10-2016 Approved Council Minutes.pdf,,
2016-05-24,2016,Council,approved,46,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/05-24-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-05-24_council.md,05-24-2016 Approved Council Minutes.pdf,,
2016-06-14,2016,Council,approved,14,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/06-14-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-06-14_council.md,06-14-2016 Approved Council Minutes.pdf,,
2016-06-28,2016,Council,approved,77,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/06-28-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-06-28_council.md,06-28-2016 Approved Council Minutes.pdf,,
2016-07-12,2016,Council,approved,7,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/07-12-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-07-12_council.md,07-12-2016 Approved Council Minutes.pdf,,
2016-07-26,2016,Council,approved,12,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/07-26-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-07-26_council.md,07-26-2016 Approved Council Minutes.pdf,,
2016-08-09,2016,Council,approved,25,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/08-09-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-08-09_council.md,08-09-2016 Approved Council Minutes.pdf,,
2016-08-23,2016,Council,approved,85,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/08-23-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-08-23_council.md,08-23-2016 Approved Council Minutes.pdf,,
2016-09-13,2016,Council,approved,11,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/09-13-2016 approved Council minutes.pdf,legislative/minutes/2016/2016-09-13_council.md,09-13-2016 approved Council minutes.pdf,,
2016-09-27,2016,Council,approved,13,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/09-27-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-09-27_council.md,09-27-2016 Approved Council Minutes.pdf,,
2016-10-11,2016,Council,approved,15,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/10-11-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-10-11_council.md,10-11-2016 Approved Council Minutes.pdf,,
2016-10-25,2016,Council,approved,73,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/10-25-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-10-25_council.md,10-25-2016 Approved Council Minutes.pdf,,
2016-11-08,2016,Council,approved,25,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/11-08-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-11-08_council.md,11-08-2016 Approved Council Minutes.pdf,,
2016-11-22,2016,Council,approved,52,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/11-22-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-11-22_council.md,11-22-2016 Approved Council Minutes.pdf,,
2016-12-06,2016,Council,approved,16,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2016/minutes/12-06-2016.2 Approved Council Minutes.pdf,legislative/minutes/2016/2016-12-06_council.md,12-06-2016.2 Approved Council Minutes.pdf,,
2016-12-13,2016,Council,approved,76,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/12-13-2016 Approved Council Minutes.pdf,legislative/minutes/2016/2016-12-13_council.md,12-13-2016 Approved Council Minutes.pdf,,
2017-01-10,2017,Council,approved,8,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/01-10-2017 Approved Council minutes.pdf,legislative/minutes/2017/2017-01-10_council.md,01-10-2017 Approved Council minutes.pdf,,
2017-02-14,2017,Council,approved,5,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/02-14-2017A Approved Council Minutes.pdf,legislative/minutes/2017/2017-02-14_council.md,02-14-2017A Approved Council Minutes.pdf,,
2017-02-28,2017,Council,approved,29,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/02-28-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-02-28_council.md,02-28-2017 Approved Council Minutes.pdf,,
2017-03-14,2017,Council,approved,28,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/03-14-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-03-14_council.md,03-14-2017 Approved Council Minutes.pdf,,
2017-03-28,2017,Council,approved,73,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/03-28-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-03-28_council.md,03-28-2017 Approved Council Minutes.pdf,,
2017-04-11,2017,Council,approved,59,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/04-11-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-04-11_council.md,04-11-2017 Approved Council Minutes.pdf,,
2017-04-25,2017,Council,approved,34,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/04-25-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-04-25_council.md,04-25-2017 Approved Council Minutes.pdf,,
2017-05-09,2017,Council,approved,15,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/05-09-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-05-09_council.md,05-09-2017 Approved Council Minutes.pdf,,
2017-05-23,2017,Council,approved,52,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/05-23-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-05-23_council.md,05-23-2017 Approved Council Minutes.pdf,,
2017-06-13,2017,Council,approved,34,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/06-13-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-06-13_council.md,06-13-2017 Approved Council Minutes.pdf,,
2017-06-27,2017,Council,approved,30,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/06-27-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-06-27_council.md,06-27-2017 Approved Council Minutes.pdf,,
2017-07-11,2017,Council,approved,192,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/07-11-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-07-11_council.md,07-11-2017 Approved Council Minutes.pdf,,
2017-07-25,2017,Council,approved,9,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/07-25-2017 Approved Minutes.pdf,legislative/minutes/2017/2017-07-25_council.md,07-25-2017 Approved Minutes.pdf,,
2017-08-08,2017,Council,approved,11,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/08-08-2017 Council Approved Minutes.pdf,legislative/minutes/2017/2017-08-08_council.md,08-08-2017 Council Approved Minutes.pdf,,
2017-08-22,2017,Council,approved,27,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/08-22-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-08-22_council.md,08-22-2017 Approved Council Minutes.pdf,,
2017-09-12,2017,Council,approved,36,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/09-12-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-09-12_council.md,09-12-2017 Approved Council Minutes.pdf,,
2017-09-26,2017,Council,approved,55,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/09-26-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-09-26_council.md,09-26-2017 Approved Council Minutes.pdf,,
2017-10-10,2017,Council,approved,44,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/10-10-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-10-10_council.md,10-10-2017 Approved Council Minutes.pdf,,
2017-10-24,2017,Council,approved,25,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/10-24-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-10-24_council.md,10-24-2017 Approved Council Minutes.pdf,,
2017-11-14,2017,Council,approved,22,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/11-14-2017 Approved Minutes.pdf,legislative/minutes/2017/2017-11-14_council.md,11-14-2017 Approved Minutes.pdf,,
2017-11-28,2017,Council,approved,60,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/11-28-2017 approved Council minutes.pdf,legislative/minutes/2017/2017-11-28_council.md,11-28-2017 approved Council minutes.pdf,,
2017-12-12,2017,Council,approved,51,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2017/minutes/12-12-2017 Approved Council Minutes.pdf,legislative/minutes/2017/2017-12-12_council.md,12-12-2017 Approved Council Minutes.pdf,,
2018-01-09,2018,Council,approved,37,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/01-09-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-01-09_council.md,01-09-2018 Approved Council Minutes.pdf,,
2018-01-23,2018,Council,approved,43,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/01-23-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-01-23_council.md,01-23-2018 Approved Council Minutes.pdf,,
2018-02-13,2018,Council,approved,30,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/02-13-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-02-13_council.md,02-13-2018 Approved Council Minutes.pdf,,
2018-02-27,2018,Council,approved,51,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/02-27-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-02-27_council.md,02-27-2018 Approved Council Minutes.pdf,,
2018-03-13,2018,Council,approved,17,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/03-13-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-03-13_council.md,03-13-2018 Approved Council Minutes.pdf,,
2018-03-27,2018,Council,approved,31,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/03-27-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-03-27_council.md,03-27-2018 Approved Council Minutes.pdf,,
2018-04-10,2018,Council,approved,29,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/04-10-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-04-10_council.md,04-10-2018 Approved Council Minutes.pdf,,
2018-04-17,2018,Council,approved,13,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/04-17-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-04-17_council.md,04-17-2018 Approved Council Minutes.pdf,,
2018-05-08,2018,Council,approved,35,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/05-08-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-05-08_council.md,05-08-2018 Approved Council Minutes.pdf,,
2018-05-22,2018,Council,approved,19,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/05-22-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-05-22_council.md,05-22-2018 Approved Council Minutes.pdf,,
2018-06-12,2018,Council,approved,25,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/06-12-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-06-12_council.md,06-12-2018 Approved Council Minutes.pdf,,
2018-06-26,2018,Council,approved,12,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/06-26-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-06-26_council.md,06-26-2018 Approved Council Minutes.pdf,,
2018-07-10,2018,Council,approved,32,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/07-10-2018 Approved Council minutes.pdf,legislative/minutes/2018/2018-07-10_council.md,07-10-2018 Approved Council minutes.pdf,,
2018-07-31,2018,Council,approved,32,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/07-31-2018-2 Approved Council Minutes.pdf,legislative/minutes/2018/2018-07-31_council.md,07-31-2018-2 Approved Council Minutes.pdf,,
2018-08-14,2018,Council,approved,46,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/08-14-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-08-14_council.md,08-14-2018 Approved Council Minutes.pdf,,
2018-08-28,2018,Council,approved,61,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/08-28-18 Approved Council Minutes.pdf,legislative/minutes/2018/2018-08-28_council.md,08-28-18 Approved Council Minutes.pdf,,
2018-09-11,2018,Council,approved,22,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/09-11-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-09-11_council.md,09-11-2018 Approved Council Minutes.pdf,,
2018-09-25,2018,Council,approved,22,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/09-25-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-09-25_council.md,09-25-2018 Approved Council Minutes.pdf,,
2018-10-09,2018,Council,approved,25,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/10-09-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-10-09_council.md,10-09-2018 Approved Council Minutes.pdf,,
2018-10-23,2018,Council,approved,20,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/10-23-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-10-23_council.md,10-23-2018 Approved Council Minutes.pdf,,
2018-11-13,2018,Council,approved,40,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/11-13-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-11-13_council.md,11-13-2018 Approved Council Minutes.pdf,,
2018-11-27,2018,Council,approved,38,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/11-27-2018 Approved Council Minutes.pdf,legislative/minutes/2018/2018-11-27_council.md,11-27-2018 Approved Council Minutes.pdf,,
2018-12-04,2018,Council,approved,51,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/12-04-2018 Approved Council minutes.pdf,legislative/minutes/2018/2018-12-04_council.md,12-04-2018 Approved Council minutes.pdf,,
2018-12-11,2018,Council,approved,71,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2018/minutes/12-11-2018 approved Council minutes.pdf,legislative/minutes/2018/2018-12-11_council.md,12-11-2018 approved Council minutes.pdf,,
2019-01-08,2019,Council,approved,45,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2019/minutes/01-08-2019 Approved Council Minutes.pdf,legislative/minutes/2019/2019-01-08_council.md,01-08-2019 Approved Council Minutes.pdf,,
2019-01-22,2019,Council,approved,48,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2019/minutes/01-22-2019a Approved Council Minutes.pdf,legislative/minutes/2019/2019-01-22_council.md,01-22-2019a Approved Council Minutes.pdf,,
2019-02-12,2019,Council,approved,28,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2019/minutes/02-12-2019 Approved Council Minutes.pdf,legislative/minutes/2019/2019-02-12_council.md,02-12-2019 Approved Council Minutes.pdf,,
2019-02-26,2019,Council,approved,31,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2019/minutes/02-26-2019 Approved Council Minutes.pdf,legislative/minutes/2019/2019-02-26_council.md,02-26-2019 Approved Council Minutes.pdf,,
2019-03-12,2019,Council,approved,17,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2019/minutes/03-12-2019 Approved Council Minutes.pdf,legislative/minutes/2019/2019-03-12_council.md,03-12-2019 Approved Council Minutes.pdf,,
2019-03-26,2019,Council,approved,33,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2019/minutes/03-26-2019 Approved Council Minutes.pdf,legislative/minutes/2019/2019-03-26_council.md,03-26-2019 Approved Council Minutes.pdf,,
2019-04-09,2019,Council,approved,19,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2019/minutes/04-09-2019  Approved Council Minutes.pdf,legislative/minutes/2019/2019-04-09_council.md,04-09-2019  Approved Council Minutes.pdf,,
2019-04-23,2019,Council,approved,31,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2019/minutes/04-23-2019 Approved Council Minutes.pdf,legislative/minutes/2019/2019-04-23_council.md,04-23-2019 Approved Council Minutes.pdf,,
2019-05-14,2019,Council,approved,49,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2019/minutes/05-14-2019 Approved Council Minutes.pdf,legislative/minutes/2019/2019-05-14_council.md,05-14-2019 Approved Council Minutes.pdf,,
2019-05-28,2019,Council,approved,58,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2019/minutes/05-28-2019 Approved Council Minutes.pdf,legislative/minutes/2019/2019-05-28_council.md,05-28-2019 Approved Council Minutes.pdf,,
2019-06-11,2019,Council,approved,23,ocr,true,low,citysite_ocr,https://cachecounty.gov/assets/meetings/countycouncil/2019/minutes/06-11-2019 Approved Council Minutes.pdf,legislative/minutes/2019/2019-06-11_council.md,06-11-2019 Approved Council Minutes.pdf,,
