FILING PERIOD: From __2023-01-01__ To __2023-08-29__
NAME OF CANDIDATE _____David_Edward_Garber_____
NAME OF OFFICE ________Orem_City_Councilor________
1. Total contributions of donors more than $50.00 ………$ ___3,065.00___
2. Aggregate total of contributions of $50.00 or less……$ ___111.35____

3. Total campaign expenditures …………………………….$ __2,842.33___
Date _2023-08-29_ Signed ________David_Edward_Garber________

                                      Cash Contributions
Date                                     Name of Donor                             Amount
2023-08-14         X (formerly Twitter)                  X Pro (formerly Twitter Blue)                               $8.00
2023-08-15         Amazon                                campaign sign post-driver (1)                              $42.79
2023-08-15         Amazon                                campaign patriotic tablecloth (1)                          $23.34
2023-08-15         Amazon                                campaign patriotic candy dish (1)                          $12.86
2023-08-17         Meta for Business                     campaign social-media ads                                  $75.00
2023-08-18         Meta for Business                     campaign social-media ads                                   $4.60
2023-08-21         Young Sign and Banner                 campaign sign wire-stands (100)                           $117.98
2023-08-22         Stripe                                processing fee                                              $7.20
2023-08-29         Stripe                                processing fee                                              $4.40
                                                                                           TOTAL                 $2,842.33

(If additional space is needed, use blank paper and list information using same format as above and attach to this statement)
ated Amount

