date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,source,date_precision,is_incremental,matched_election_candidate,join_confidence,sha256,duplicate_of
2019-10-01,Douglas Petersen,Council,2019,interim,Pre-general report (Oct 2019),Douglas Petersen — Cottonwood Heights campaign financial report (Oct 2019),https://municipal.utah.gov/salt%20lake/2019/Cottonwood%20Heights/Petersen%2C%20Douglas%20-%20Financial%20Reporting%20Oct%202019.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2019_state_petersen-douglas-financial-reporting-oct-2019.pdf,1,state_lg_municipal_disclosures,label_month,no,DOUGLAS PETERSEN,high,e509d1db8a3088412eef5d5d2c5eab6e93c3b17c04bec58d003412f7f985c107,
2019-11-05,Douglas Petersen,Council,2019,statement,AMENDED financial disclosure statement,Douglas Petersen — AMENDED Cottonwood Heights financial disclosure statement,https://municipal.utah.gov/salt%20lake/2019/Cottonwood%20Heights/Douglas%20Petersen%20-%20AMENDED%20Financial%20Disclosure.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2019_state_douglas-petersen-amended-financial-disclosure.pdf,1,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,DOUGLAS PETERSEN,high,93288dfc007aed8426a69665eda302bd51b55bb00d4622719e8235fa3287f461,
2019-12-05,Douglas Petersen,Council,2019,summary,Year-end report (Dec 5 2019),Douglas Petersen — Cottonwood Heights campaign financial report (Dec 5 2019),https://municipal.utah.gov/salt%20lake/2019/Cottonwood%20Heights/Douglas%20Petersen%20-%20Financial%20Reporting%20for%20Dec%205%2C%202019.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2019_state_douglas-petersen-financial-reporting-for-dec-5-2019.pdf,1,state_lg_municipal_disclosures,filename_filing_date,no,DOUGLAS PETERSEN,high,4e839a72c22166f7f8c0bd8f1935fd234eb08e3b2726c4b8cd31ce647c995ddc,
2019-10-01,Scott Bracken,Council,2019,interim,Pre-general report (Oct 2019),Scott Bracken — Cottonwood Heights campaign financial report (Oct 2019),https://municipal.utah.gov/salt%20lake/2019/Cottonwood%20Heights/Bracken%2C%20Scott%20-%20Financial%20Reporting%20Oct%202019.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2019_state_bracken-scott-financial-reporting-oct-2019.pdf,2,state_lg_municipal_disclosures,label_month,no,SCOTT BRACKEN,high,954872edd75e8ef4ce62e6c2502a7894a9db91a5201d9f4c44ac9eadd35d00c3,
2019-12-05,Scott Bracken,Council,2019,summary,Year-end report (Dec 5 2019),Scott Bracken — Cottonwood Heights campaign financial report (Dec 5 2019),https://municipal.utah.gov/salt%20lake/2019/Cottonwood%20Heights/Scott%20Bracken%20-%20Financial%20Reporting%20for%20Dec%205%2C%202019.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2019_state_scott-bracken-financial-reporting-for-dec-5-2019.pdf,2,state_lg_municipal_disclosures,filename_filing_date,no,SCOTT BRACKEN,high,ee652bf555830c46be8e857435ea3190b62b99e25743d3c32c808f73e8722fd0,
2019-10-01,Timothy E. Hallbeck,Council,2019,interim,Pre-general report (Oct 2019),Timothy E. Hallbeck — Cottonwood Heights campaign financial report (Oct 2019),https://municipal.utah.gov/salt%20lake/2019/Cottonwood%20Heights/Hallbeck%2C%20Timothy%20E%20-%20Financial%20Reporting%20Oct%202019.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2019_state_hallbeck-timothy-e-financial-reporting-oct-2019.pdf,2,state_lg_municipal_disclosures,label_month,no,TIM HALLBECK,high,08074086cd708c2b29ed5a656b2a63d2fa4175416ee23df16981db967b817c61,
2021-11-02,Edward Schwartz,Mayor,2021,interim,Pre-general financial statement,"Edward Schwartz — Cottonwood Heights candidate financial statement (2021, pre-general)",https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Edward%20Schwartz%20-%20Cottonwood%20Heights%20Candidate%20for%20Mayor.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_edward-schwartz-cottonwood-heights-candidate-for-mayor.pdf,,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,,none,70e7231c72a587b01942a856d4e38144c7815a76472d44bc1af1c1c3f2264e8e,
2021-11-02,Eric Kraan,Mayor,2021,interim,Pre-general financial statement,"Eric Kraan — Cottonwood Heights candidate financial statement (2021, pre-general)",https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Eric%20Kraan%20-%20Cottonwood%20Heights%20Candidate%20for%20Mayor.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_eric-kraan-cottonwood-heights-candidate-for-mayor.pdf,,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,ERIC KRAAN,high,f1d005902c563caac891aff0e7184d253f37f2de8081421a5d7107229289dad0,
2022-01-10,Eric Kraan,Mayor,2021,summary,Year-end final financial report,Eric Kraan — Cottonwood Heights final financial report (2021 cycle),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Eric%20Kraan%20-%20Final%20Financial%20Report.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_eric-kraan-final-financial-report.pdf,,state_lg_municipal_disclosures,statutory_year_end_deadline,no,ERIC KRAAN,high,bfcb36c7b8037ecaae09d63301f6d35dcd767847d8b3a9095b9be0403f4109c2,
2021-11-02,Maile Evans,Mayor,2021,interim,Pre-general financial statement,"Maile Evans — Cottonwood Heights candidate financial statement (2021, pre-general)",https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Maile%20Evans%20-%20Cottonwood%20Heights%20Candidate%20for%20Mayor.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_maile-evans-cottonwood-heights-candidate-for-mayor.pdf,,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,,none,dc88c72874cd76e691f99877154e13df697db6bdd207d168fe292377edfbc104,
2022-01-10,Maile Evans,Mayor,2021,summary,Year-end final financial report,Maile Evans — Cottonwood Heights final financial report (2021 cycle),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Maile%20Evans%20-%20Final%20Financial%20Report.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_maile-evans-final-financial-report.pdf,,state_lg_municipal_disclosures,statutory_year_end_deadline,no,,none,71a9fcc13ac54766dc4879576adb7c83ef48d801a69e84e3b7464eb3d8aa3d17,
2021-11-02,Mike Weichers,Mayor,2021,interim,Pre-general financial statement,"Mike Weichers — Cottonwood Heights candidate financial statement (2021, pre-general)",https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Michael%20Wiechers%20-%20Cottonwood%20Heights%20Candidate%20for%20Mayor.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_michael-wiechers-cottonwood-heights-candidate-for-mayor.pdf,,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,MIKE WEICHERS,high,1c285ce3804ce58aa3fc046899d72482de2bdf9fdf4ca158a0d9ac8b8e25e6ed,
2022-01-10,Mike Weichers,Mayor,2021,summary,Year-end final financial report,Mike Weichers — Cottonwood Heights final financial report (2021 cycle),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Mike%20Weichers%20-%20Fina%20Financial%20Report.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_mike-weichers-fina-financial-report.pdf,,state_lg_municipal_disclosures,statutory_year_end_deadline,no,MIKE WEICHERS,high,7c17fef6ef7230a8e73e45d84e6633d8a96c6993e8d0898a2be1b539b594eb3e,
2021-11-02,Timothy Hallbeck,Mayor,2021,interim,Pre-general financial statement,"Timothy Hallbeck — Cottonwood Heights candidate financial statement (2021, pre-general)",https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Timothy%20Hallbeck%20-%20Cottonwood%20Heights%20Candidate%20for%20Mayor.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_timothy-hallbeck-cottonwood-heights-candidate-for-mayor.pdf,,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,,none,6fe2c57742d46858608bf7cebf4ce03db045ebb8db4923d24844c6dd728b8567,
2022-01-10,Timothy Hallbeck,Mayor,2021,summary,Year-end final financial report,Timothy Hallbeck — Cottonwood Heights final financial report (2021 cycle),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Timothy%20Hallbeck%20-%20Final%20Financial%20Report.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2021_state_timothy-hallbeck-final-financial-report.pdf,,state_lg_municipal_disclosures,statutory_year_end_deadline,no,,none,95816c437ebaa08acea979443e08ac918b2d87987cf348e7cf487b9058366d93,
2021-11-02,David Rawlings,Council,2021,interim,Pre-general financial statement,"David Rawlings — Cottonwood Heights candidate financial statement (2021, pre-general)",https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/David%20Rawlings%20-%20Cottonwood%20Heights%20Candidate%20for%20District%203.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_david-rawlings-cottonwood-heights-candidate-for-district-3.pdf,3,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,,none,99c11f8964421d25dafb42a0e3e1fc42d95edb59761b259d7128a51c320078d0,
2021-11-02,David Rawlings,Council,2021,interim,AMENDED pre-general financial statement,David Rawlings — AMENDED Cottonwood Heights candidate financial statement (2021),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/David%20Rawlings%20-%20AMENDED%20-%20Cottonwood%20Heights%20Candidate%20for%20District%203.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2021_state_david-rawlings-amended-cottonwood-heights-candidate-for-district-3.pdf,3,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,,none,e57ffbb7ff71bffa0035f91955e34174af96df586264209aec4d479653b632d8,
2022-01-10,David Rawlings,Council,2021,summary,Year-end final financial report,David Rawlings — Cottonwood Heights final financial report (2021 cycle),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/David%20Rawlings%20-%20Final%20Financial%20Report.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_david-rawlings-final-financial-report.pdf,3,state_lg_municipal_disclosures,statutory_year_end_deadline,no,,none,d23448a5516736884ddab0687750f5440c4c8c9cec3d192ea9c881cb24d581bc,
2021-11-02,E. Samuel McShaffrey,Council,2021,interim,Pre-general financial statement,"E. Samuel McShaffrey — Cottonwood Heights candidate financial statement (2021, pre-general)",https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/E%20Samuel%20McShaffrey%20-%20Cottonwood%20Heights%20Candidate%20for%20District%203.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_e-samuel-mcshaffrey-cottonwood-heights-candidate-for-district-3.pdf,3,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,,none,aadf0baf702ca97092f638f8f963efaeec17fbe5908b0d3d8ffe398c0081bf73,
2021-11-02,Michael Hanson,Council,2021,interim,Pre-general financial statement,"Michael Hanson — Cottonwood Heights candidate financial statement (2021, pre-general)",https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Michael%20Hanson%20-%20Cottonwood%20Heights%20Candidate%20for%20District%203.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_michael-hanson-cottonwood-heights-candidate-for-district-3.pdf,3,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,MIKE HANSON,high,9281d642694815be74337467815ce8a0a766d51f6eea7630123c66bcd26a63a8,
2022-01-10,Michael Hanson,Council,2021,summary,Year-end final financial report,Michael Hanson — Cottonwood Heights final financial report (2021 cycle),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Michael%20Hanson%20-%20Final%20Financial%20Report.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_michael-hanson-final-financial-report.pdf,3,state_lg_municipal_disclosures,statutory_year_end_deadline,no,MIKE HANSON,high,85081dd141b770a01f4ce75f698e2a4e6e69992593cdc7502f6712e4d6139afc,
2021-11-02,Runar Boman,Council,2021,interim,Pre-general financial statement,"Runar Boman — Cottonwood Heights candidate financial statement (2021, pre-general)",https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Runar%20Boman%20-%20Cottonwood%20Heights%20Candidate%20for%20District%203.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2021_state_runar-boman-cottonwood-heights-candidate-for-district-3.pdf,3,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,,none,84a77f78fccf7fea67e8dd3037d09c4f644c0d9cc3f90011f06cd4fd2911287d,
2022-01-10,Runar Boman,Council,2021,summary,Year-end final financial report,Runar Boman — Cottonwood Heights final financial report (2021 cycle),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Runar%20Boman%20-%20Final%20Financial%20Report.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2021_state_runar-boman-final-financial-report.pdf,3,state_lg_municipal_disclosures,statutory_year_end_deadline,no,,none,48c66382b486487679dce3f05965031dc2dd3b40ccdc43707a2ce92a23446283,
2021-11-02,Shawn Newell,Council,2021,interim,Pre-general financial statement,"Shawn Newell — Cottonwood Heights candidate financial statement (2021, pre-general)",https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Shawn%20Newell%20-%20Cottonwood%20Heights%20Candidate%20for%20District%203.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_shawn-newell-cottonwood-heights-candidate-for-district-3.pdf,3,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,SHAWN E. NEWELL,high,c1d07bdde7c7df022b8ec5e730f4feeba98cc8295cf9685cc6f2621573eec796,
2021-11-02,Shawn Newell,Council,2021,interim,AMENDED pre-general financial statement,Shawn Newell — AMENDED Cottonwood Heights candidate financial statement (2021),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Shawn%20Newell%20-%20AMENDED%20-%20Cottonwood%20Heights%20Candidate%20for%20District%203.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_shawn-newell-amended-cottonwood-heights-candidate-for-district-3.pdf,3,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,SHAWN E. NEWELL,high,0434908ea78dc8bf58601cb6c3e3e1c05d8a8a6a8c309ddb1d3a873acf7695c4,
2022-01-10,Shawn Newell,Council,2021,summary,Year-end final financial report,Shawn Newell — Cottonwood Heights final financial report (2021 cycle),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Shawn%20Newell%20-%20Final%20Financial%20Report.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2021_state_shawn-newell-final-financial-report.pdf,3,state_lg_municipal_disclosures,statutory_year_end_deadline,no,SHAWN E. NEWELL,high,c3c2083d5779c8d05a6aa4e59fe0da8f1e5b6e1bc904b6f7d5faf6fcfc130a90,
2021-11-02,Ellen Birrell,Council,2021,interim,Pre-general financial statement,"Ellen Birrell — Cottonwood Heights candidate financial statement (2021, pre-general)",https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Ellen%20Birrell%20-%20Cottonwood%20Heights%20Candidate%20for%20District%204.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2021_state_ellen-birrell-cottonwood-heights-candidate-for-district-4.pdf,4,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,ELLEN BIRRELL,high,c62d5fde02ecfcfb205f7fc86fb711cf96d1a245a205c0d9287a435c1e6f5e4d,
2022-01-10,Ellen Birrell,Council,2021,summary,Year-end final financial report,Ellen Birrell — Cottonwood Heights final financial report (2021 cycle),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Ellen%20Birrell%20-%20Final%20Financial%20Report.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_ellen-birrell-final-financial-report.pdf,4,state_lg_municipal_disclosures,statutory_year_end_deadline,no,ELLEN BIRRELL,high,328a6bca7d8182130ed8b5a2a48f08d4670d1814813b66da18edc4914555bffe,
2021-11-02,Ernie Kim,Council,2021,interim,Pre-general financial statement,"Ernie Kim — Cottonwood Heights candidate financial statement (2021, pre-general)",https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Ernie%20Kim%20-%20Cottonwood%20Heights%20Candidate%20for%20District%204.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_ernie-kim-cottonwood-heights-candidate-for-district-4.pdf,4,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,ERNIE KIM,high,95af4498ec4eccb379020f257d077573e5b83b316995f539025ce298e7ca4b0e,
2021-11-02,Ernie Kim,Council,2021,interim,AMENDED pre-general financial statement,Ernie Kim — AMENDED Cottonwood Heights candidate financial statement (2021),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Ernie%20Kim%20-%20AMENDED%20-%20Cottonwood%20Heights%20Candidate%20for%20District%204.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_ernie-kim-amended-cottonwood-heights-candidate-for-district-4.pdf,4,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,ERNIE KIM,high,4e5e3e5c10054ac41359e9564cd8af64501dc23390c8234b482e9263f70890e2,
2022-01-10,Ernie Kim,Council,2021,summary,Year-end final financial report,Ernie Kim — Cottonwood Heights final financial report (2021 cycle),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Ernie%20Kim%20-%20Final%20Financial%20Report.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_ernie-kim-final-financial-report.pdf,4,state_lg_municipal_disclosures,statutory_year_end_deadline,no,ERNIE KIM,high,b339a4e8a60813743e478a08c660453d2ec61e1f197d6688ac6163694f7b15c8,
2021-11-02,Lee Anne Walker,Council,2021,interim,Pre-general financial statement,"Lee Anne Walker — Cottonwood Heights candidate financial statement (2021, pre-general)",https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Lee%20Anne%20Walker%20-%20Cottonwood%20Heights%20Candidate%20for%20District%204.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2021_state_lee-anne-walker-cottonwood-heights-candidate-for-district-4.pdf,4,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,,none,83c904f652517eacb213e3f0dc47df38ea829bb0f6c39cebc3df8a16763504d9,
2022-01-10,Lee Anne Walker,Council,2021,summary,Year-end final financial report,Lee Anne Walker — Cottonwood Heights final financial report (2021 cycle),https://municipal.utah.gov/salt%20lake/2021/Cottonwood%20Heights/Lee%20Anne%20Walker%20-%20Final%20Financial%20Report.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2021_state_lee-anne-walker-final-financial-report.pdf,4,state_lg_municipal_disclosures,statutory_year_end_deadline,no,,none,7288771bce98e2c41233f41a2dd3c1c168c7376b424b92fc696847a7ec41c28f,
2023-10-24,Jen Cottam,Council,2023,interim,Interim financial disclosure report (Oct 24 2023),Jen Cottam — Cottonwood Heights financial disclosure report (Oct 24 2023),https://municipal.utah.gov/salt%20lake/2023/Cottonwood%20Heights/Jen%20Cottham%20Financial%20Disclosure%20Report%2010.24.2023.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2023_state_jen-cottham-financial-disclosure-report-10-24-2023.pdf,1,state_lg_municipal_disclosures,filename_filing_date,no,JEN COTTAM,high,7491813536789fd572f9167daddf0e4eafc7307a35db04c0dc2077c9c5136d89,
2023-10-24,Jen Cottam,Council,2023,interim,Contributions/expenditures schedule (Oct 24 2023),Jen Cottam — Cottonwood Heights campaign contributions/expenditure schedule (Oct 24 2023),https://municipal.utah.gov/salt%20lake/2023/Cottonwood%20Heights/Jen%20Cottham%20Campaign%20Contributions_Expenditure%2010.24.23.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2023_state_jen-cottham-campaign-contributions-expenditure-10-24-23.pdf,1,state_lg_municipal_disclosures,filename_filing_date,no,JEN COTTAM,high,907ceb18fd6ce6dfcc355a5996536de9bf09a148123042cf3416b57502f60bc4,
2023-11-21,Jen Cottam,Council,2023,interim,Pre-general financial statement,"Jen Cottam — Cottonwood Heights candidate financial statement (2023, pre-general)",https://municipal.utah.gov/salt%20lake/2023/Cottonwood%20Heights/Jen%20Cottam.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2023_state_jen-cottam.pdf,1,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,JEN COTTAM,high,119f2c49b0f562633d857ebd6864611b4ef7b7ed4faf731d1b5aa4f86f03c1f8,
2024-01-10,Jen Cottam,Council,2023,summary,Year-end final financial report,Jen Cottam — Cottonwood Heights final financial report (2023 cycle),https://municipal.utah.gov/salt%20lake/2023/Cottonwood%20Heights/Jen%20Cottam%20Final.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2023_state_jen-cottam-final.pdf,1,state_lg_municipal_disclosures,statutory_year_end_deadline,no,JEN COTTAM,high,96fa0d41e146b6a5496eecc4a96ca42e4a3cbdfdaf8e02737dab8df93b91260c,
2023-11-21,Matt Holton,Council,2023,interim,Pre-general financial statement,"Matt Holton — Cottonwood Heights candidate financial statement (2023, pre-general)",https://municipal.utah.gov/salt%20lake/2023/Cottonwood%20Heights/Matt%20Holton.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2023_state_matt-holton.pdf,1,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,MATT HOLTON,high,fb3f8218a57a429965c91c270e6fbab8f50b2af4ac5ad20320be140223643724,
