year,election_type,office,district,winner,winner_votes,pdf,status
2016,general,Council,6,MAX BURDICK (REP),43228,2016-11-08-general-election.pdf,match
2016,general,Council,At-Large B,RICHARD SNELGROVE (REP),202884,2016-11-08-general-election.pdf,match
2016,general,Mayor,,BEN MCADAMS (DEM),238927,2016-11-08-general-election.pdf,match
2018,general,Auditor,,SCOTT TINGLEY,203612,2018-11-06-general-election-results.pdf,match
2018,general,Clerk,,SHERRIE SWENSEN,265678,2018-11-06-general-election-results.pdf,match
2018,general,Council,1,ARLYN BRADSHAW,48694,2018-11-06-general-election-results.pdf,match
2018,general,Council,3,AIMEE WINDER NEWTON,28562,2018-11-06-general-election-results.pdf,match
2018,general,Council,4,ANN GRANATO,51225,2018-11-06-general-election-results.pdf,match
2018,general,Council,5,STEVEN L. DEBRY,43593,2018-11-06-general-election-results.pdf,match
2018,general,Council,At-Large C,JIM BRADLEY,222507,2018-11-06-general-election-results.pdf,match
2018,general,District Attorney,,SIM GILL,226554,2018-11-06-general-election-results.pdf,match
2018,general,Recorder,,RASHELLE HOBBS,202930,2018-11-06-general-election-results.pdf,match
2018,general,Sheriff,,ROSIE RIVERA,240256,2018-11-06-general-election-results.pdf,match
2020,general,Assessor,,CHRIS STAVROS,254987,2020-11-03-general-election-results.pdf,match
2020,general,Council,2,DAVE ALVORD,44227,2020-11-03-general-election-results.pdf,match
2020,general,Council,4,ANN GRANATO,78756,2020-11-03-general-election-results.pdf,match
2020,general,Council,6,DEA THEODORE,52344,2020-11-03-general-election-results.pdf,match
2020,general,Council,At-Large A,LAURIE STRINGHAM,255161,2020-11-03-general-election-results.pdf,match
2020,general,Mayor,,JENNY WILSON,273746,2020-11-03-general-election-results.pdf,match
2020,general,Recorder,,RASHELLE HOBBS,254477,2020-11-03-general-election-results.pdf,match
2020,general,Surveyor,,REID DEMMAN,388784,2020-11-03-general-election-results.pdf,match
2020,general,Treasurer,,K. WAYNE CUSHING,264671,2020-11-03-general-election-results.pdf,match
2020,primary,Council,2,DAVE ALVORD,11270,2020-06-30-primary-results.pdf,match
2020,primary,Council,6,TERRI TAPP HRECHKOSY,4369,2020-06-30-primary-results.pdf,match
2020,primary,Council,6,DEA THEODORE,16926,2020-06-30-primary-results.pdf,match
2022,general,Auditor,,CHRIS HARDING (REP),190687,2022-11-08-general-election-results.pdf,match
2022,general,Clerk,,LANNIE CHAPMAN (DEM),208744,2022-11-08-general-election-results.pdf,match
2022,general,Council,1,ARLYN BRADSHAW (DEM),38981,2022-11-08-general-election-results.pdf,match
2022,general,Council,3,AIMEE WINDER NEWTON (REP),28109,2022-11-08-general-election-results.pdf,match
2022,general,Council,5,SHELDON STEWART (REP),50215,2022-11-08-general-election-results.pdf,match
2022,general,Council,At-Large B,SUZANNE HARRISON (DEM),202616,2022-11-08-general-election-results.pdf,match
2022,general,District Attorney,,SIM GILL (DEM),215015,2022-11-08-general-election-results.pdf,match
2022,general,Sheriff,,ROSIE RIVERA (DEM),229928,2022-11-08-general-election-results.pdf,match
2022,primary,Council,5,SHELDON STEWART (REP),12838,2022-06-28-primary-election-results.pdf,match
2024,general,Assessor,,CHRIS STAVROS ((REP)),241190,2024-general-election-certification.pdf,match
2024,general,Council,2,CARLOS MORENO ((REP)),39171,2024-general-election-certification.pdf,match
2024,general,Council,4,ROSS I. ROMERO ((DEM)),60709,2024-general-election-certification.pdf,match
2024,general,Council,6,DEA THEODORE ((REP)),48438,2024-general-election-certification.pdf,match
2024,general,Council,At-Large C,NATALIE PINKNEY ((DEM)),245898,2024-general-election-certification.pdf,match
2024,general,Mayor,,JENNY WILSON ((DEM)),273227,2024-general-election-certification.pdf,match
2024,general,Recorder,,RASHELLE HOBBS ((DEM)),250018,2024-general-election-certification.pdf,match
2024,general,Surveyor,,BRADLEY PARK ((REP)),241667,2024-general-election-certification.pdf,match
2024,general,Treasurer,,SHEILA SRIVASTAVA ((DEM)),244229,2024-general-election-certification.pdf,match
2024,primary,Council,2,CARLOS MORENO (REP),7068,2024-primary-summary-results.pdf,match
2024,primary,Council,At-Large C,NATALIE PINKNEY (DEM),20934,2024-primary-summary-results.pdf,match
2024,primary,Council,At-Large C,RACHELLE MORRIS (REP),58514,2024-primary-summary-results.pdf,match
2024,primary,Surveyor,,BRADLEY PARK (REP),54390,2024-primary-summary-results.pdf,match
2026,primary,Council,5,TRACI CROCKETT ((REP)),8451,combined-reports-for-website.pdf,no-contest-results
2026,primary,District Attorney,,SIM GILL ((DEM)),34080,combined-reports-for-website.pdf,no-contest-results
