year,election_date,election_type,contest,jurisdiction_slug,office,district,seats,candidate,party,votes,certified_votes,votes_basis,rank_in_contest,n_precincts,suppressed,source_file
2002,2002-11-05,general,County Treasurer,salt_lake_county,Treasurer,,,LARRY W RICHARDSON RE,RE,116508,116508,exact,1,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Treasurer,salt_lake_county,Treasurer,,,GREGG LASSEN DEM,DEM,85905,85905,exact,2,743,false,2002-11-05-general-canvass.xls
2002,2002-11-05,general,County Treasurer,salt_lake_county,Treasurer,,,HUGH A. BUTLER LIB,LIB,12729,12729,exact,3,743,false,2002-11-05-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Auditor,salt_lake_county,Auditor,,,SEAN THOMAS,,175934,175934,exact,1,743,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Auditor,salt_lake_county,Auditor,,,PETER STEVENS,,151899,151899,exact,2,743,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Auditor,salt_lake_county,Auditor,,,RICHARD D. BARNES L,L,10035,10035,exact,3,743,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,County Proposal #1,salt_lake_county,Ballot Measure,,,FOR,,227608,227608,exact,1,743,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,County Proposal #1,salt_lake_county,Ballot Measure,,,AGAINST,,91624,91624,exact,2,743,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Council District 2,salt_lake_county,Council,2,,MICHAEL H. JENSEN R,R,37624,37624,exact,1,107,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Council District 2,salt_lake_county,Council,2,,K.C. FROEHLE (SARGE) P,P,7720,7720,exact,2,107,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Council District 4,salt_lake_county,Council,4,,MARK CROCKETT R,R,38052,38052,exact,1,157,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Council District 4,salt_lake_county,Council,4,,DINA BLAES D,D,35135,35135,exact,2,157,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Council District 6,salt_lake_county,Council,6,,MARVIN L. HENDRICKSON R,R,34425,34425,exact,1,136,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Council District 6,salt_lake_county,Council,6,,J. CHRIS CAGE D,D,27744,27744,exact,2,136,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Council At-Large B,salt_lake_county,Council,At-Large B,,"JENNIFER ""JENNY"" WILSON",,177042,177042,exact,1,743,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Council At-Large B,salt_lake_county,Council,At-Large B,,STEVE HARMSEN,,163062,163062,exact,2,743,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Council At-Large B,salt_lake_county,Council,At-Large B,,JIMMY CADMAN P,P,7881,7881,exact,3,743,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Mayor,salt_lake_county,Mayor,,,PETER M. CORROON,,174580,174580,exact,1,743,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Write-In for SL County Mayor,salt_lake_county,Mayor,,,ELLIS IVORY U,U,3521,3521,exact,1,743,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Mayor,salt_lake_county,Mayor,,,ELLIS IVORY,,150015,150015,exact,2,743,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Mayor,salt_lake_county,Mayor,,,MERRILL COOK U,U,22524,22524,exact,3,743,false,2004-11-02-general-canvass.xls
2004,2004-11-02,general,Salt Lake County Mayor,salt_lake_county,Mayor,,,F. JOSEPH IRISH P,P,4020,4020,exact,4,743,false,2004-11-02-general-canvass.xls
2006,2006-06-27,primary,SALT LAKE COUNTY SHERIFF,salt_lake_county,Sheriff,,,AARON D. KENNARD,,24006,24006,exact,1,984,false,2006-06-27-primary-sovc.xls
2006,2006-06-27,primary,SALT LAKE COUNTY SHERIFF,salt_lake_county,Sheriff,,,BRENT D CARDALL,,12058,12058,exact,2,984,false,2006-06-27-primary-sovc.xls
2006,2006-11-07,general,COUNTY ASSESSOR,salt_lake_county,Assessor,,,LEE GARDNER (REP),REP,120268,120268,exact,1,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY ASSESSOR,salt_lake_county,Assessor,,,JOSIE VALDEZ (DEM),DEM,95036,95036,exact,2,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY ASSESSOR,salt_lake_county,Assessor,,,WRITE-IN,,131,131,exact,3,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY AUDITOR,salt_lake_county,Auditor,,,JEFF HATCH (DEM),DEM,107725,107725,exact,1,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY AUDITOR,salt_lake_county,Auditor,,,SEAN THOMAS (REP),REP,106490,106490,exact,2,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY AUDITOR,salt_lake_county,Auditor,,,WRITE-IN,,114,114,exact,3,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY PROP 1,salt_lake_county,Ballot Measure,,,FOR THE ISSUANCE OF,,145409,145409,exact,1,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY PROP 2,salt_lake_county,Ballot Measure,,,FOR THE ISSUANCE OF,,154649,154649,exact,1,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY PROP 3,salt_lake_county,Ballot Measure,,,FOR THE PROPOSITION,,140485,140485,exact,1,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY PROP 1,salt_lake_county,Ballot Measure,,,AGAINST THE ISSUANCE,,68852,68852,exact,2,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY PROP 2,salt_lake_county,Ballot Measure,,,AGAINST THE ISSUANCE,,62550,62550,exact,2,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY PROP 3,salt_lake_county,Ballot Measure,,,AGAINST THE PROPOSITION,,79911,79911,exact,2,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY CLERK,salt_lake_county,Clerk,,,SHERRIE SWENSEN (DEM),DEM,126786,126786,exact,1,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY CLERK,salt_lake_county,Clerk,,,CARRIE DICKSON (REP),REP,83336,83336,exact,2,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY CLERK,salt_lake_county,Clerk,,,LAWRENCE REY TOPHAM (PER),PER,4994,4994,exact,3,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY CLERK,salt_lake_county,Clerk,,,CHARLES BONSALL (LIB),LIB,4424,4424,exact,4,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY CLERK,salt_lake_county,Clerk,,,WRITE-IN,,47,47,exact,5,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY COUNCIL DIST #1,salt_lake_county,Council,1,,JOE HATCH (DEM),DEM,22800,22800,exact,1,133,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY COUNCIL DIST #1,salt_lake_county,Council,1,,BENJAMIN KENDRICK (REP),REP,8138,8138,exact,2,133,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY COUNCIL DIST #1,salt_lake_county,Council,1,,LILLI DECAIR (PER),PER,1449,1449,exact,3,133,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY COUNCIL DIST #1,salt_lake_county,Council,1,,WRITE-IN,,24,24,exact,4,133,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY COUNCIL DIST #3,salt_lake_county,Council,3,,DAVID A. WILDE (REP),REP,14319,14319,exact,1,124,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY COUNCIL DIST #3,salt_lake_county,Council,3,,DIANE TURNER (DEM),DEM,13412,13412,exact,2,124,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY COUNCIL DIST #3,salt_lake_county,Council,3,,WRITE-IN,,18,18,exact,3,124,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY COUNCIL DIST #5,salt_lake_county,Council,5,,JEFF ALLEN (REP),REP,20900,20900,exact,1,144,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY COUNCIL DIST #5,salt_lake_county,Council,5,,NATE HENDRICKS (DEM),DEM,11240,11240,exact,2,144,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY COUNCIL DIST #5,salt_lake_county,Council,5,,DEANNA L. TAYLOR (DES),DES,1370,1370,exact,3,144,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY COUNCIL DIST #5,salt_lake_county,Council,5,,WRITE-IN,,23,23,exact,4,144,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,"COUNTY CNCL AT-LARGE ""C""",salt_lake_county,Council,At-Large C,,JIM BRADLEY (DEM),DEM,111556,111556,exact,1,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,"COUNTY CNCL AT-LARGE ""C""",salt_lake_county,Council,At-Large C,,JANICE AUGER (REP),REP,96688,96688,exact,2,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,"COUNTY CNCL AT-LARGE ""C""",salt_lake_county,Council,At-Large C,,JIMMY CADMAN (PER),PER,4868,4868,exact,3,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,"COUNTY CNCL AT-LARGE ""C""",salt_lake_county,Council,At-Large C,,DON W. JOHNSTUN (LIB),LIB,3932,3932,exact,4,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,"COUNTY CNCL AT-LARGE ""C""",salt_lake_county,Council,At-Large C,,CHUCK TRIPP (DES),DES,1497,1497,exact,5,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,"COUNTY CNCL AT-LARGE ""C""",salt_lake_county,Council,At-Large C,,WRITE-IN,,126,126,exact,6,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY DISTRICT ATTORNEY,salt_lake_county,District Attorney,,,LOHRA L. MILLER (REP),REP,109579,109579,exact,1,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY DISTRICT ATTORNEY,salt_lake_county,District Attorney,,,SIM GILL (DEM),DEM,102428,102428,exact,2,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY DISTRICT ATTORNEY,salt_lake_county,District Attorney,,,ROB LATHAM (LIB),LIB,7694,7694,exact,3,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY DISTRICT ATTORNEY,salt_lake_county,District Attorney,,,WRITE-IN,,75,75,exact,4,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY RECORDER,salt_lake_county,Recorder,,,GARY OTT (REP),REP,112813,112813,exact,1,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY RECORDER,salt_lake_county,Recorder,,,LESLIE REBERG (DEM),DEM,102076,102076,exact,2,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY RECORDER,salt_lake_county,Recorder,,,WRITE-IN,,109,109,exact,3,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY SHERIFF,salt_lake_county,Sheriff,,,JIM WINDER (DEM),DEM,140825,140825,exact,1,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY SHERIFF,salt_lake_county,Sheriff,,,AARON D. KENNARD (REP),REP,79928,79928,exact,2,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY SHERIFF,salt_lake_county,Sheriff,,,WRITE-IN,,155,155,exact,3,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY SURVEYOR,salt_lake_county,Surveyor,,,REID DEMMAN (REP),REP,162158,162158,exact,1,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY SURVEYOR,salt_lake_county,Surveyor,,,WRITE-IN,,2224,2224,exact,2,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY TREASURER,salt_lake_county,Treasurer,,,LARRY W RICHARDSON (REP),REP,113438,113438,exact,1,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY TREASURER,salt_lake_county,Treasurer,,,BILLIE LARSON (DEM),DEM,93097,93097,exact,2,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY TREASURER,salt_lake_county,Treasurer,,,KELTON M. BAKER (LIB),LIB,7548,7548,exact,3,985,false,2006-11-07-general-sovc.xls
2006,2006-11-07,general,COUNTY TREASURER,salt_lake_county,Treasurer,,,WRITE-IN,,72,72,exact,4,985,false,2006-11-07-general-sovc.xls
2008,2008-11-04,general,COUNTY COUNCIL #2,salt_lake_county,Council,2,,MICHAEL H. JENSEN (REP),REP,34346,34346,exact,1,152,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY COUNCIL #2,salt_lake_county,Council,2,,PAUL PUGMIRE (DEM),DEM,24583,24583,exact,2,152,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY COUNCIL #2,salt_lake_county,Council,2,,Write-in,,43,43,exact,3,152,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY COUNCIL #4,salt_lake_county,Council,4,,JANI IWAMOTO (DEM),DEM,38800,38800,exact,1,193,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY COUNCIL #4,salt_lake_county,Council,4,,MARK CROCKETT (REP),REP,32909,32909,exact,2,193,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY COUNCIL #4,salt_lake_county,Council,4,,Write-in,,35,35,exact,3,193,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY COUNCIL #6,salt_lake_county,Council,6,,MAX BURDICK (REP),REP,31695,31695,exact,1,235,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY COUNCIL #6,salt_lake_county,Council,6,,ROGER M. HARDING (DEM),DEM,28485,28485,exact,2,235,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY COUNCIL #6,salt_lake_county,Council,6,,Write-in,,50,50,exact,3,235,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY COUNCIL #A,salt_lake_county,Council,At-Large A,,RANDY HORIUCHI (DEM),DEM,193453,193453,exact,1,989,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY COUNCIL #A,salt_lake_county,Council,At-Large A,,STEVEN L. DEBRY (REP),REP,157807,157807,exact,2,989,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY COUNCIL #A,salt_lake_county,Council,At-Large A,,Write-in,,367,367,exact,3,989,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY MAYOR,salt_lake_county,Mayor,,,PETER M. CORROON (DEM),DEM,233655,233655,exact,1,989,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY MAYOR,salt_lake_county,Mayor,,,MICHAEL RENCKERT (REP),REP,114097,114097,exact,2,989,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY MAYOR,salt_lake_county,Mayor,,,LEONARD OLDS (CON),CON,7247,7247,exact,3,989,false,2008-11-04-general-sovc.xls
2008,2008-11-04,general,COUNTY MAYOR,salt_lake_county,Mayor,,,Write-in,,203,203,exact,4,989,false,2008-11-04-general-sovc.xls
2010,2010-06-22,primary,COUNTY COUNCIL DISTRICT #1 (D),salt_lake_county,Council,1,,ARLYN BRADSHAW (DEM),DEM,4948,4948,exact,1,134,false,2010-06-22-primary-sovc.xlsx
2010,2010-06-22,primary,COUNTY COUNCIL DISTRICT #1 (D),salt_lake_county,Council,1,,CALVIN J. NOYCE (DEM),DEM,2562,2562,exact,2,134,false,2010-06-22-primary-sovc.xlsx
2010,2010-06-22,primary,COUNTY COUNCIL AT LARGE (R),salt_lake_county,Council,At-Large,,RICHARD SNELGROVE (REP),REP,35842,35842,exact,1,850,false,2010-06-22-primary-sovc.xlsx
2010,2010-06-22,primary,COUNTY COUNCIL AT LARGE (R),salt_lake_county,Council,At-Large,,WINSTON WILKINSON (REP),REP,19725,19725,exact,2,850,false,2010-06-22-primary-sovc.xlsx
2010,2010-11-02,general,ASSESSOR,salt_lake_county,Assessor,,,LEE GARDNER (REP),REP,147370,147370,exact,1,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,ASSESSOR,salt_lake_county,Assessor,,,LIZ FEHRMANN (DEM),DEM,96493,96493,exact,2,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,ASSESSOR,salt_lake_county,Assessor,,,WRITE-IN (NP),NP,160,160,exact,3,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,AUDITOR,salt_lake_county,Auditor,,,GREGORY P. HAWKINS (REP),REP,123807,123807,exact,1,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,AUDITOR,salt_lake_county,Auditor,,,JEFF HATCH (DEM),DEM,119033,119033,exact,2,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,AUDITOR,salt_lake_county,Auditor,,,WRITE-IN (NP),NP,163,163,exact,3,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,SALT LAKE COUNTY PROPOSITION #1,salt_lake_county,Ballot Measure,,,FOR (NP),NP,138576,138576,exact,1,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,SALT LAKE COUNTY PROPOSITION #1,salt_lake_county,Ballot Measure,,,AGAINST (NP),NP,105383,105383,exact,2,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,CLERK,salt_lake_county,Clerk,,,SHERRIE SWENSEN (DEM),DEM,151691,151691,exact,1,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,CLERK,salt_lake_county,Clerk,,,JEREMY VOTAW (REP),REP,96073,96073,exact,2,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,CLERK,salt_lake_county,Clerk,,,WRITE-IN (NP),NP,106,106,exact,3,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,COUNTY COUNCIL DIST #1,salt_lake_county,Council,1,,ARLYN BRADSHAW (DEM),DEM,22723,22723,exact,1,134,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,COUNTY COUNCIL DIST #1,salt_lake_county,Council,1,,STEVE HARMSEN (REP),REP,11001,11001,exact,2,134,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,COUNTY COUNCIL DIST #1,salt_lake_county,Council,1,,WRITE-IN (NP),NP,39,39,exact,3,134,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,COUNTY COUNCIL DIST #3,salt_lake_county,Council,3,,DAVID WILDE (REP),REP,17344,17344,exact,1,109,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,COUNTY COUNCIL DIST #3,salt_lake_county,Council,3,,DIANE TURNER (DEM),DEM,13140,13140,exact,2,109,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,COUNTY COUNCIL DIST #3,salt_lake_county,Council,3,,WRITE-IN (NP),NP,29,29,exact,3,109,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,COUNTY COUNCIL DIST #5,salt_lake_county,Council,5,,STEVEN L. DEBRY (REP),REP,28471,28471,exact,1,142,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,COUNTY COUNCIL DIST #5,salt_lake_county,Council,5,,TYLER A ANDRUS (DEM),DEM,12578,12578,exact,2,142,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,COUNTY COUNCIL DIST #5,salt_lake_county,Council,5,,WRITE-IN (NP),NP,41,41,exact,3,142,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,COUNTY COUNCIL AT LARGE B,salt_lake_county,Council,At-Large B,,RICHARD SNELGROVE (REP),REP,134423,134423,exact,1,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,COUNTY COUNCIL AT LARGE B,salt_lake_county,Council,At-Large B,,HOLLY MULLEN (DEM),DEM,102742,102742,exact,2,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,COUNTY COUNCIL AT LARGE B,salt_lake_county,Council,At-Large B,,WARREN T ROGERS (CON),CON,9282,9282,exact,3,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,COUNTY COUNCIL AT LARGE B,salt_lake_county,Council,At-Large B,,WRITE-IN (NP),NP,156,156,exact,4,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,DISTRICT ATTORNEY,salt_lake_county,District Attorney,,,SIM GILL (DEM),DEM,127611,127611,exact,1,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,DISTRICT ATTORNEY,salt_lake_county,District Attorney,,,LOHRA MILLER (REP),REP,111190,111190,exact,2,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,DISTRICT ATTORNEY,salt_lake_county,District Attorney,,,JONATHON W. GRIMES (LIB),LIB,10037,10037,exact,3,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,DISTRICT ATTORNEY,salt_lake_county,District Attorney,,,WRITE-IN (NP),NP,110,110,exact,4,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,RECORDER,salt_lake_county,Recorder,,,GARY W. OTT (REP),REP,144100,144100,exact,1,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,RECORDER,salt_lake_county,Recorder,,,MARIA O'BRIEN (DEM),DEM,98282,98282,exact,2,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,RECORDER,salt_lake_county,Recorder,,,WRITE-IN (NP),NP,131,131,exact,3,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,SHERIFF,salt_lake_county,Sheriff,,,"JAMES ""JIM"" WINDER (DEM)",DEM,140634,140634,exact,1,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,SHERIFF,salt_lake_county,Sheriff,,,BEAU BABKA (REP),REP,108793,108793,exact,2,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,SHERIFF,salt_lake_county,Sheriff,,,WRITE-IN (NP),NP,208,208,exact,3,850,false,2010-11-02-general-sovc.xlsx
2010,2010-11-02,general,SURVEYOR,salt_lake_county,Surveyor,,,REID J. DEMMAN (REP),REP,135301,135301,exact,1,850,false,2010-11-02-general-sovc.xlsx
