event_id,title,date,body,has_video
3121,City Council Meeting,2025-10-23,Council,yes
3185,Special Planning Commission Mtg,2025-10-28,PlanningCommission,yes
2898,Tree Committee,2025-11-06,TreeCommittee,no
3109,City Council Meeting,2025-11-06,Council,yes
3186,Local Building Authority (LBA),2025-11-06,LBA,yes
3187,Council Work Mtg - Audio only,2025-11-06,Council,yes
3161,Planning Commission Mtg - Canceled,2025-11-18,PlanningCommission,no
3188,Board of Canvassers Meeting,2025-11-18,Canvass,no
3096,City Council Meeting,2025-11-20,Council,yes
3189,RDA Board,2025-11-20,RDA,no
3060,Arts Council,2025-11-26,ArtsCouncil,no
3224,Historical Commission,2025-11-26,HistoricalCommission,no
3228,Historical Commission,2025-11-26,HistoricalCommission,no
3233,Historical Commission,2025-11-26,HistoricalCommission,no
3124,Planning Commission Meeting,2025-12-02,PlanningCommission,yes
3024,Tree Committee,2025-12-04,TreeCommittee,no
3110,City Council Meeting,2025-12-04,Council,yes
3190,City Council Meeting,2025-12-11,Council,yes
3191,RDA Board,2025-12-11,RDA,no
3013,Planning Commission Meeting,2025-12-16,PlanningCommission,yes
3195,City Council & RDA Meeting,2025-12-18,Council,yes
3225,Historical Commission,2025-12-24,HistoricalCommission,no
3229,Historical Commission,2025-12-24,HistoricalCommission,no
3234,Historical Commission,2025-12-24,HistoricalCommission,no
3209,City Council Meeting,2026-01-01,Council,no
3125,Planning Commission Meeting,2026-01-06,PlanningCommission,yes
3098,City Council Meeting,2026-01-08,Council,yes
3218,2026 Swearing in Ceremony,2026-01-08,Ceremony,yes
3219,2026 Legislative Meeting,2026-01-09,Council,no
3220,One Time Event,2026-01-14,Other,no
2900,Tree Committee,2026-01-15,TreeCommittee,no
3014,Planning Commission Meeting,2026-01-20,PlanningCommission,yes
2923,City Council Meeting,2026-01-22,Council,yes
3221,RDA Board Meeting,2026-01-22,RDA,no
3062,Arts Council,2026-01-28,ArtsCouncil,no
3126,Planning Commission Meeting - CANCELED,2026-02-03,PlanningCommission,no
3210,City Council & RDA Meeting,2026-02-05,Council,yes
3230,Council Retreat,2026-02-12,Council,no
3164,Planning Commission Meeting,2026-02-17,PlanningCommission,yes
3197,City Council Meeting,2026-02-19,Council,yes
3063,Arts Council,2026-02-25,ArtsCouncil,no
3236,Historical Commission,2026-02-25,HistoricalCommission,no
3152,Planning Commission Meeting,2026-03-03,PlanningCommission,yes
3027,Tree Committee,2026-03-05,TreeCommittee,no
3113,City Council Meeting,2026-03-05,Council,yes
3244,Notice of Potential Quorum -  City Council,2026-03-11,Council,no
3258,Planning Commission Meeting RESCHEDULED,2026-03-17,PlanningCommission,no
3198,City Council Meeting,2026-03-19,Council,no
3165,Planning Commission Meeting,2026-03-24,PlanningCommission,yes
3064,Arts Council,2026-03-25,ArtsCouncil,no
3237,Historical Commission,2026-03-25,HistoricalCommission,no
3259,Notice of Potential Quorum - City Council,2026-03-30,Council,no
3028,Tree Committee,2026-04-02,TreeCommittee,no
3101,City Council Meeting,2026-04-16,Council,yes
3260,Local Building Authority (LBA),2026-04-16,LBA,no
3178,Planning Commission Meeting,2026-04-21,PlanningCommission,yes
3065,Arts Council,2026-04-22,ArtsCouncil,no
3238,Historical Commission,2026-04-22,HistoricalCommission,no
3262,City Council,2026-04-23,Council,yes
3154,Planning Commission Meeting,2026-04-28,PlanningCommission,no
3264,Planning Commission Meeting,2026-05-05,PlanningCommission,no
3029,Tree Committee,2026-05-07,TreeCommittee,no
3213,City Council Meeting,2026-05-07,Council,yes
3274,Local Building Authority (LBA),2026-05-07,LBA,no
3275,RDA Board,2026-05-07,RDA,no
3272,City Council Work Meeting,2026-05-14,Council,no
3179,Planning Commission Meeting,2026-05-19,PlanningCommission,yes
3200,City Council Meeting,2026-05-21,Council,yes
3066,Arts Council,2026-05-27,ArtsCouncil,no
3239,Historical Commission,2026-05-27,HistoricalCommission,no
3276,Admin Hearing Officer Meeting,2026-05-29,AdminHearingOfficer,no
3130,Planning Commission Meeting,2026-06-02,PlanningCommission,yes
3279,Notice of Potential Quorum,2026-06-03,Council,no
3030,Tree Committee,2026-06-04,TreeCommittee,no
3214,City Council Meeting,2026-06-04,Council,yes
3277,RDA Board,2026-06-04,RDA,yes
3278,Local Building Authority (LBA),2026-06-04,LBA,yes
3201,City Council Meeting,2026-06-11,Council,yes
3280,Local Building Authority (LBA),2026-06-11,LBA,no
3281,RDA Board,2026-06-11,RDA,no
3168,Planning Commission Meeting,2026-06-16,PlanningCommission,yes
3067,Arts Council,2026-06-24,ArtsCouncil,no
3240,Historical Commission,2026-06-24,HistoricalCommission,no
3031,Tree Committee,2026-07-02,TreeCommittee,no
3266,Planning Commission Meeting,2026-07-07,PlanningCommission,yes
3282,Tree Committee Meeting,2026-07-09,TreeCommittee,no
3202,City Council Meeting,2026-07-16,Council,no
3181,Planning Commission Meeting,2026-07-21,PlanningCommission,no
3068,Arts Council,2026-07-22,ArtsCouncil,no
3241,Historical Commission,2026-07-22,HistoricalCommission,no
3267,Planning Commission Meeting,2026-08-04,PlanningCommission,no
3216,City Council Meeting,2026-08-06,Council,no
3170,Planning Commission Meeting,2026-08-18,PlanningCommission,no
3105,City Council Meeting,2026-08-20,Council,no
3242,Historical Commission,2026-08-26,HistoricalCommission,no
3133,Planning Commission Meeting,2026-09-01,PlanningCommission,no
