video_id,title,duration_sec,tab,is_meeting,meeting_date,body
6qGDxteck2M,Speaker Series: Doctrine of Discovery_January 23 2023,4681.0,videos,no,,
cW4OW8zmor4,Holladay Snow Video,67.0,videos,no,,
S9y_FWvs878,Speaker Series: Early 20th Century Estates in Holladay & Millcreek_November 14 2022,5008.0,videos,no,,
2FQFQdKtQZ4,Speaker Series: National Register of Historic Places_September 19 2022,5897.0,videos,no,,
600vHoeXJ4M,Holladay Stands with Ukraine: Special Panel Discussion,5180.0,videos,no,,
DQcRnGTTtPk,Speaker Series: Allen Roberts - Historic Preservation_July 18 2022,4383.0,videos,no,,
YzWmTVaHjQo,Slow Down in Your Town,46.0,videos,no,,
qtpaLbeGg0g,Holladay School Zone Safety,66.0,videos,no,,
2jva_QcprU4,Property Tax: April 15 Round Table (04/15/2021),4173.0,videos,no,,
CA7yWz8pY7g,Holladay Small Business Grant Details (04/05/2021),250.0,videos,no,,
ISEVYyY172c,Property Tax: Rebroadcast of Feb 11 Town Halls (02/11/2021),2361.0,videos,no,,
VXoyGq5V_zA,Holladay Golf Carts,106.0,videos,no,,
W_YJNzoykV8,Arts Council,4062.0,videos,yes,2021-01-20,ArtsCouncil
sVCkXRjgTK8,Council Work Meeting - Jan. 14,7559.0,videos,yes,2021-01-14,Council
E7Wv0DN692w,Planning Commission Mtg - Jan. 19,4959.0,videos,yes,2021-01-19,PlanningCommission
04qHkP60tW4,"Holladay Crossroads Zone Q & A - Jan. 12, 2021",3625.0,videos,no,,
f6aHcN1tV-c,"Holladay Crossroads Zone Q & A - Jan. 12, 2021",9.0,videos,no,,
C7fwWXFObZA,City Council Meeting,7508.0,videos,yes,2021-01-07,Council
vupqj0sgZOk,Holladay Legislative Summit,6278.0,videos,no,,
JuPHTPDs-sc,Planning Commission Mtg,3841.0,videos,yes,2021-01-05,PlanningCommission
oRp8sUqVnZI,Holladay Legislative Summit,8.0,videos,no,,
qM69rTmSnxE,"Planning Commission Mtg: Dec 15, 2020",9241.0,videos,yes,2020-12-15,PlanningCommission
fTLfyTtSvmY,Holladay Backs the Blue: Administrative Assistant Christin Staveley (01/20/2021),71.0,videos,no,,
67_qT-Fdgys,Holladay Backs the Blue: Detective Shane Laycock (01/20/2021),84.0,videos,no,,
lMqKUOiLHc0,Holladay Backs the Blue: Victim Advocate Kathy Larrabee (01/20/2021),93.0,videos,no,,
SpeBlKl2F2I,Holladay Backs the Blue: SRO Detective Jaime Cardenas (01/20/2021),191.0,videos,no,,
-oDuRs4ue5o,Holladay Backs the Blue: Memorial Broadcast (01/20/2021),950.0,videos,no,,
kdbEg7K4izI,Holladay Backs the Blue: Executive Officer Lieutenant Tyler Ackerman (01/14/2021),125.0,videos,no,,
_CdxicgjUXA,Holladay Backs the Blue: Traffic Officer Aaron Upwall (01/14/2021),163.0,videos,no,,
iLkGn9a6oZE,Officer Douglas Barney Memorial & Officer Appreciation Week (01/11/2021),234.0,videos,no,,
bGkcqAOdnAw,Property Tax: Tools To Address Needs (01/04/2021),145.0,videos,no,,
dGN148gxzMg,Property Tax: Overview (01/04/2021),125.0,videos,no,,
cU0XqamPmH8,Property Tax: Budget Challenges (01/04/2021),127.0,videos,no,,
VRwyjKnD11k,Property Tax 101 (1/04/2021),209.0,videos,no,,
6Es00eRD0YI,Property Tax: The Needs (01/04/2021),94.0,videos,no,,
37kf_bN0bXc,COMPLETE Property Tax Video Series (01/04/2021),699.0,videos,no,,
pd35oy8qhyg,Annual Holladay Tree Lighting (11/30/20),1122.0,videos,no,,
EADZH3j3zss,Facebook Live: Holladay Crossroads Zone (11/12/2020),1186.0,videos,no,,
0NDFG-vwkDE,Mayor's Message: Call to Recommit to the COVID-19 Preventive Measures (11/02/2020),127.0,videos,no,,
5znY1yWnpgk,Facebook Live: Storm Water Q&A (10/08/2020),1315.0,videos,no,,
pr-SBiYm6m8,Mayor's Message: COVID-19 Update (03/16/2020),181.0,videos,no,,
l0o5uug5sy8,Holladay City 21st Annual Interfaith Thanksgiving Live Stream,3671.0,streams,no,,
