body_label,pmn_body_id,notice_id,event_date,notice_title,file_id,ext,filename,class,content_length,size_mb
Council,5823,938261,2024-09-09,Agenda,1166751,pdf,Agenda Packet 9-9-24.pdf,PACKET,2226297,2.23
Council,5823,932569,2024-08-12,Agenda,1155953,pdf,8-12-2024 Agenda Packet.pdf,PACKET,3904780,3.9
Council,5823,925487,2024-07-08,Agenda,1146128,pdf,AgendaPacket07082024.pdf,PACKET,1655732,1.66
Council,5823,825968,2023-04-18,Agenda,966987,pdf,Kearns Council_Title18_19_StaffReport_wAttachments.pdf,STAFF_REPORT,8220739,8.22
PC,1561,1089497,2026-07-06,Kearns Planning Commission,1456249,pdf,260706_KearnsPC_Packet.pdf,PACKET,1414271,1.41
PC,1561,1089497,2026-07-06,Kearns Planning Commission,1457349,pdf,OAM2026-001636 Kearns PC Staff Report.pdf,STAFF_REPORT,2255484,2.26
PC,1561,1082791,2026-06-01,Kearns Planning Commission,1441081,pdf,260601_KearnsPC_Packet.pdf,PACKET,49000188,49.0
PC,1561,1067839,2026-04-06,Kearns Planning Commission,1414165,pdf,260406_KearnsPC_Packet.pdf,PACKET,2275981,2.28
PC,1561,1031519,2025-11-03,Kearns Planning Commission,1343659,pdf,251103_KearnsPC_Packet.pdf,PACKET,15559495,15.56
PC,1561,1025203,2025-10-06,Kearns Planning Commission,1327527,pdf,251006_KearnsPC_Packet.pdf,PACKET,5641255,5.64
PC,1561,1011385,2025-08-04,Kearns Planning Commission,1303815,pdf,250804_KearnsPC_Packet.pdf,PACKET,1976522,1.98
PC,1561,1006249,2025-07-07,Kearns Planning Commission,1294211,pdf,REZ2025-01400 Staff Report.pdf,STAFF_REPORT,2892488,2.89
PC,1561,1006249,2025-07-07,Kearns Planning Commission,1294213,pdf,CUP2025-001399_Staff_Report_Final.pdf,STAFF_REPORT,64765073,64.77
PC,1561,989951,2025-05-05,Kearns Planning Commission,1265803,pdf,250505_KearnsPC_Packet.pdf,PACKET,5063545,5.06
PC,1561,975573,2025-03-03,Kearns Planning Commission,1235709,pdf,OAM2025-001330 - P.C. packet.pdf,PACKET,440022,0.44
PC,1561,955823,2024-12-02,Kearns Planning Commission,1200787,pdf,241202_KearnsPC_Packet .pdf,PACKET,3891247,3.89
PC,1561,936765,2024-09-09,Kearns Planning Commission,1166773,pdf,240909_KearnsPC_Packet.pdf,PACKET,2136444,2.14
PC,1561,936765,2024-09-09,Kearns Planning Commission,1167053,pdf,draft 2024-09-08 Kearns 476 Compliance Amendments_PC_StaffReport (2024-09-08).pdf,STAFF_REPORT,212992,0.21
PC,1561,915921,2024-06-03,Kearns Planning Commission,1129617,pdf,Kearns PC Staff Report_OAM2024-001167_June2024wAttachments.pdf,STAFF_REPORT,748686,0.75
PC,1561,909053,2024-05-06,Kearns Planning Commission,1117777,pdf,240506_KearnsPC_Packet.pdf,PACKET,2829751,2.83
PC,1561,895087,2024-03-04,Kearns Planning Commission,1091767,pdf,240304_KearnsPC_Packet.pdf,PACKET,1657329,1.66
PC,1561,881029,2024-01-03,Kearns Planning Commission,1064057,pdf,240103_KearnsPC_Packet.pdf,PACKET,3667786,3.67
PC,1561,881029,2024-01-03,Kearns Planning Commission,1064887,pdf,OAM2023-001050_Kearns 174 Compliance Amendments_PC_StaffReport.pdf,STAFF_REPORT,1022751,1.02
PC,1561,856507,2023-09-18,Kearns Planning Commission,1021495,pdf,230918_KearnsPC_Packet.pdf,PACKET,4803966,4.8
PC,1561,843389,2023-07-10,Kearns Planning Commission,996873,pdf,230710_KearnsPC_Packet.pdf,PACKET,2810385,2.81
PC,1561,834911,2023-06-05,Kearns Planning Commission,983755,pdf,KearnsPC_StaffReport_Titles18_19_June2023wAttachments.pdf,STAFF_REPORT,6537144,6.54
PC,1561,821163,2023-04-03,Kearns Planning Commission,960103,pdf,Kearns Planning Commission Staff Report and Attachments_Titles 18 and 19_ March 28 _2023.pdf,STAFF_REPORT,5875051,5.88
PC,1561,821163,2023-04-03,Kearns Planning Commission,961019,pdf,230403_KearnsPC_Packet.pdf,PACKET,7817885,7.82
PC,1561,809045,2023-02-06,Kearns Planning Commission,939407,pdf,230206_KearnsPC_Packet.pdf,PACKET,6707757,6.71
PC,1561,802411,2023-01-09,Kearns Planning Commission,927577,pdf,230109_KearnsPC_Packet.pdf,PACKET,6700100,6.7
PC,1561,791831,2022-11-14,Kearns Planning Commission,908345,pdf,221114_KearnsPC_Packet.pdf,PACKET,2172203,2.17
PC,1561,778481,2022-09-12,Kearns Planning Commission,888941,pdf,220912_KearnsPC_Packet.pdf,PACKET,11112324,11.11
PC,1561,771623,2022-08-08,Kearns Planning Commission,877439,pdf,220808_KearnsPC_Packet.pdf,PACKET,3020352,3.02
PC,1561,745499,2022-04-11,Kearns Planning Commission,833179,pdf,220411_KearnsPC_Packet.pdf,PACKET,10861397,10.86
PC,1561,733419,2022-02-14,Kearns Planning Commission,812861,pdf,220214_KearnsPC_Packet.pdf,PACKET,4264437,4.26
PC,1561,733419,2022-02-14,Kearns Planning Commission,813279,pdf,220214_KearnsPC_PacketAmended.pdf,PACKET,4136301,4.14
PC,1561,725547,2022-01-10,Kearns Planning Commission,797971,pdf,220110_KearnsPC_Packet.pdf,PACKET,19037568,19.04
PC,1561,706105,2021-10-11,Kearns Planning Commission,767579,pdf,211011_KearnsPC_Packet.pdf,PACKET,2608663,2.61
PC,1561,700341,2021-09-13,Kearns Planning Commission,757885,pdf,210913_KearnsPC_Packet.pdf,PACKET,5656696,5.66
PC,1561,693199,2021-08-09,Kearns Planning Commission,746043,pdf,210809_KearnsPC_Packet.pdf,PACKET,1516798,1.52
PC,1561,689805,2021-07-21,Kearns Land Use Hearing Officer,738805,pdf,VAR2021-000362_Variance Packet_Guzman.pdf,PACKET,12216376,12.22
PC,1561,681655,2021-06-14,Kearns Planning Commission,728153,pdf,210614_KearnsPC_Packet.pdf,PACKET,1259795,1.26
PC,1561,672905,2021-05-10,Kearns Planning Commission,712567,pdf,210510_KearnsPC_Packet.pdf,PACKET,10226943,10.23
PC,1561,666521,2021-04-12,Kearns Planning Commission,703999,pdf,210412_KearnsPC_Packet.pdf,PACKET,3905541,3.91
PC,1561,643993,2020-12-14,Kearns Metro Township Planning Commission,666789,pdf,201214_KearnsTPC_Packet.pdf,PACKET,1902416,1.9
PC,1561,637781,2020-11-09,Kearns Metro Township Planning Commission,654747,pdf,201109_KearnsTPC_Packet.pdf,PACKET,3413751,3.41
PC,1561,631643,2020-10-12,Kearns Metro Township Planning Commission,646107,pdf,201012_KearnsTPC_Packet.pdf,PACKET,1447816,1.45
PC,1561,619829,2020-08-10,Kearns Metro Township Planning Commission,626051,pdf,200810_KearnsTPC_Packet.pdf,PACKET,26427311,26.43
PC,1561,614697,2020-07-13,Kearns Metro Township Planning Commission,617377,pdf,200713_KearnsTPC_Packet.pdf,PACKET,5787613,5.79
PC,1561,579239,2020-01-13,Kearns Metro Township Planning Commission,563553,pdf,200113_KearnsTPC_Packet.pdf,PACKET,57756562,57.76
PC,1561,567923,2019-11-18,Kearns Metro Township Planning Commission,548887,pdf,191118_KearnsTPC_Packet.pdf,PACKET,14935543,14.94
PC,1561,544591,2019-07-22,Kearns Metro Township Planning Commission,512147,pdf,190722_KearnsTPC_Packet.pdf,PACKET,6274488,6.27
PC,1561,537361,2019-06-10,KEARNS METRO TOWNSHIP PLANNING COMMISSION,499837,pdf,190610_KearnsTPC_Packet.pdf,PACKET,932364,0.93
PC,1561,525027,2019-04-08,Kearns Metro Township Planning Commission,482439,pdf,190408_KearnsTPC_Packet.pdf,PACKET,1684205,1.68
PC,1561,518861,2019-03-11,Kearns Metro Township Planning Commission,475003,pdf,190311_KearnsTPC_Packet.pdf,PACKET,1739681,1.74
PC,1561,507771,2019-01-14,Kearns Metro Township Planning Commission,457123,pdf,190114_KearnsTPC_Packet.pdf,PACKET,4400147,4.4
PC,1561,501679,2018-12-10,Kearns Metro Township Planning Commission,449451,pdf,181210_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,499721,2018-11-26,Kearns,445899,pdf,181126_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,495669,2018-11-19,Kearns Metro Township Planning Commission,443045,pdf,181119_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,484241,2018-09-10,Kearns Metro Township Planning Commission,425005,pdf,180910_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,472983,2018-07-09,Kearns Metro Township Mayor&#039;s Meeting,409303,pdf,180709_KearnsMTMayorsMtg_Packet.pdf,PACKET,,
PC,1561,472981,2018-07-09,Kearns Metro Township Council,409305,pdf,180709_KearnsMTC_Packet.pdf,PACKET,,
PC,1561,472979,2018-07-09,Kearns Metro Township Planning Commission,409311,pdf,180709_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,468277,2018-06-11,Kearns Metro Township Planning Commission,402665,pdf,180611_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,461137,2018-05-14,Kearns Metro Township Planning Commission,395293,pdf,180514_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,455189,2018-04-09,Kearns Metro Township Planning Commission,385159,pdf,180409_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,431835,2017-12-11,Kearns Metro Township Planning Commission,352547,pdf,171211_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,414957,2017-09-12,Kearns Metro Township Council,327187,pdf,170912_KearnsMetroTC_Packet.pdf,PACKET,,
PC,1561,414953,2017-09-11,Kearns Township Planning Commission,327185,pdf,170911_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,409617,2017-08-14,Kearns Metro Township Planning Commission,320277,pdf,170814_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,402001,2017-06-29,Kearns Metro Township Council Meeting,310487,pdf,170629_KearnsMetroTC_Packet.pdf,PACKET,,
PC,1561,392767,2017-05-08,Kearns Metro Township Planning Commission,297971,pdf,170508_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,387205,2017-04-10,Kearns Metro Township Planning Commission,290905,pdf,170410_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,375013,2017-02-13,Kearns Metro Township Planning Commission,277283,pdf,170213_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,358443,2016-11-14,Kearns Township Planning Commission,258583,pdf,161114_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,322641,2016-04-11,Kearns Township Planning Commission,216421,pdf,160411_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,317317,2016-03-14,Kearns Township Planning Commission,212501,pdf,160314_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,311543,2016-02-08,Kearns Township Planning Commission,204887,pdf,160208_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,306747,2016-01-11,Kearns Township Planning Commission,199679,pdf,160111_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,278381,2015-07-29,Kearns Township Planning Commission,170383,pdf,150729_KearnsTPC_Packet.pdf,PACKET,,
PC,1561,257673,2015-03-09,Kearns Township Planning Commission,145221,pdf,150309_Kearns_Packet.pdf,PACKET,,
PC,1561,251880,2015-02-23,Kearns Township Planning Commission,142617,pdf,150223_Kearns_Packet.pdf,PACKET,,
PC,1561,238093,2014-11-10,Kearns Township Planning Commission,126769,pdf,141110_Kearns_Packet.pdf,PACKET,,
PC,1561,216567,2014-06-09,Kearns Township Planning Commission,107117,pdf,140609_Kearns_Packet.pdf,PACKET,,
PC,1561,202757,2014-03-10,Kearns Township Planning Commission,93871,pdf,140310_Kearns_Final_Packet.pdf,PACKET,,
PC,1561,184663,2013-11-04,Kearns Township Planning Commission,78187,pdf,131104_Kearns_Final_Packet.pdf,PACKET,,
PC,1561,176281,2013-09-09,Kearns Township Planning Commission,71543,pdf,130909_Kearns_Packet_Final.pdf,PACKET,,
PC,1561,145105,2013-02-11,Kearns Township Planning Commission Meeting,52409,pdf,130211_Kearns_ Packet_Final.pdf,PACKET,,
PC,1561,140527,2013-01-14,Kearns Township Planning Commission Meeting - Revised,51247,pdf,130114_Kearns_ Packet_Final.pdf,PACKET,,
PC,1561,137869,2012-12-10,Kearns Township Planning Commission Meeting,50293,pdf,121210_Kearns_ Packet_Final.pdf,PACKET,,
PC,1561,133505,2012-11-05,Kearns Township Planning Commission Meeting,48955,pdf,121105_Kearns_PC_Packet_Final.pdf,PACKET,,
PC,1561,131401,2012-10-08,Kearns Township Planning Commission Meeting,47669,pdf,121008_Kearns_PC_Packet_Final.pdf,PACKET,,
PC,1561,127047,2012-09-10,Kearns Township Planning Commission Meeting,46357,pdf,120910_Kearns_PC_Packet_Final.pdf,PACKET,,
PC,1561,123993,2012-08-13,Kearns Township Planning Commission Meeting,45131,pdf,120813_Kearns_PC_Packet_Final.pdf,PACKET,,
PC,1561,100755,2012-02-13,Kearns Township Planning Commission Meeting,36495,pdf,120213_Kearns_ PC_Packet.pdf,PACKET,,
PC,1561,96569,2012-01-09,Kearns Township Planning Commission Meeting,34805,pdf,120109_KearnsPC_Packet.pdf,PACKET,,
PC,1561,87381,2011-10-10,Kearns Township Planning Commission,31301,pdf,111010 Kearns Packet.pdf,PACKET,,
