body_label,pmn_body_id,notice_id,event_date,notice_title,file_id,ext,filename,class,content_length,size_mb,relpath
PC,1561,1082791,2026-06-01,Kearns Planning Commission,1441081,pdf,260601_KearnsPC_Packet.pdf,PACKET,49000188,49.0,2026-06-01/260601_KearnsPC_Packet.pdf
PC,1561,1067839,2026-04-06,Kearns Planning Commission,1414165,pdf,260406_KearnsPC_Packet.pdf,PACKET,2275981,2.28,2026-04-06/260406_KearnsPC_Packet.pdf
PC,1561,1031519,2025-11-03,Kearns Planning Commission,1343659,pdf,251103_KearnsPC_Packet.pdf,PACKET,15559495,15.56,2025-11-03/251103_KearnsPC_Packet.pdf
PC,1561,1025203,2025-10-06,Kearns Planning Commission,1327527,pdf,251006_KearnsPC_Packet.pdf,PACKET,5641255,5.64,2025-10-06/251006_KearnsPC_Packet.pdf
PC,1561,1011385,2025-08-04,Kearns Planning Commission,1303815,pdf,250804_KearnsPC_Packet.pdf,PACKET,1976522,1.98,2025-08-04/250804_KearnsPC_Packet.pdf
PC,1561,1006249,2025-07-07,Kearns Planning Commission,1294211,pdf,REZ2025-01400 Staff Report.pdf,STAFF_REPORT,2892488,2.89,2025-07-07/REZ2025-01400_Staff_Report.pdf
PC,1561,1006249,2025-07-07,Kearns Planning Commission,1294213,pdf,CUP2025-001399_Staff_Report_Final.pdf,STAFF_REPORT,64765073,64.77,2025-07-07/CUP2025-001399_Staff_Report_Final.pdf
PC,1561,989951,2025-05-05,Kearns Planning Commission,1265803,pdf,250505_KearnsPC_Packet.pdf,PACKET,5063545,5.06,2025-05-05/250505_KearnsPC_Packet.pdf
PC,1561,975573,2025-03-03,Kearns Planning Commission,1235709,pdf,OAM2025-001330 - P.C. packet.pdf,PACKET,440022,0.44,2025-03-03/OAM2025-001330_-_P.C._packet.pdf
PC,1561,955823,2024-12-02,Kearns Planning Commission,1200787,pdf,241202_KearnsPC_Packet .pdf,PACKET,3891247,3.89,2024-12-02/241202_KearnsPC_Packet.pdf
PC,1561,936765,2024-09-09,Kearns Planning Commission,1166773,pdf,240909_KearnsPC_Packet.pdf,PACKET,2136444,2.14,2024-09-09/240909_KearnsPC_Packet.pdf
PC,1561,936765,2024-09-09,Kearns Planning Commission,1167053,pdf,draft 2024-09-08 Kearns 476 Compliance Amendments_PC_StaffReport (2024-09-08).pdf,STAFF_REPORT,212992,0.21,2024-09-09/draft_2024-09-08_Kearns_476_Compliance_Amendments_PC_StaffReport_2024-09-08.pdf
PC,1561,915921,2024-06-03,Kearns Planning Commission,1129617,pdf,Kearns PC Staff Report_OAM2024-001167_June2024wAttachments.pdf,STAFF_REPORT,748686,0.75,2024-06-03/Kearns_PC_Staff_Report_OAM2024-001167_June2024wAttachments.pdf
PC,1561,909053,2024-05-06,Kearns Planning Commission,1117777,pdf,240506_KearnsPC_Packet.pdf,PACKET,2829751,2.83,2024-05-06/240506_KearnsPC_Packet.pdf
PC,1561,895087,2024-03-04,Kearns Planning Commission,1091767,pdf,240304_KearnsPC_Packet.pdf,PACKET,1657329,1.66,2024-03-04/240304_KearnsPC_Packet.pdf
PC,1561,881029,2024-01-03,Kearns Planning Commission,1064057,pdf,240103_KearnsPC_Packet.pdf,PACKET,3667786,3.67,2024-01-03/240103_KearnsPC_Packet.pdf
PC,1561,881029,2024-01-03,Kearns Planning Commission,1064887,pdf,OAM2023-001050_Kearns 174 Compliance Amendments_PC_StaffReport.pdf,STAFF_REPORT,1022751,1.02,2024-01-03/OAM2023-001050_Kearns_174_Compliance_Amendments_PC_StaffReport.pdf
PC,1561,856507,2023-09-18,Kearns Planning Commission,1021495,pdf,230918_KearnsPC_Packet.pdf,PACKET,4803966,4.8,2023-09-18/230918_KearnsPC_Packet.pdf
PC,1561,843389,2023-07-10,Kearns Planning Commission,996873,pdf,230710_KearnsPC_Packet.pdf,PACKET,2810385,2.81,2023-07-10/230710_KearnsPC_Packet.pdf
PC,1561,834911,2023-06-05,Kearns Planning Commission,983755,pdf,KearnsPC_StaffReport_Titles18_19_June2023wAttachments.pdf,STAFF_REPORT,6537144,6.54,2023-06-05/KearnsPC_StaffReport_Titles18_19_June2023wAttachments.pdf
PC,1561,821163,2023-04-03,Kearns Planning Commission,960103,pdf,Kearns Planning Commission Staff Report and Attachments_Titles 18 and 19_ March 28 _2023.pdf,STAFF_REPORT,5875051,5.88,2023-04-03/Kearns_Planning_Commission_Staff_Report_and_Attachments_Titles_18_and_19__March_28__2023.pdf
PC,1561,821163,2023-04-03,Kearns Planning Commission,961019,pdf,230403_KearnsPC_Packet.pdf,PACKET,7817885,7.82,2023-04-03/230403_KearnsPC_Packet.pdf
PC,1561,809045,2023-02-06,Kearns Planning Commission,939407,pdf,230206_KearnsPC_Packet.pdf,PACKET,6707757,6.71,2023-02-06/230206_KearnsPC_Packet.pdf
PC,1561,802411,2023-01-09,Kearns Planning Commission,927577,pdf,230109_KearnsPC_Packet.pdf,PACKET,6700100,6.7,2023-01-09/230109_KearnsPC_Packet.pdf
PC,1561,791831,2022-11-14,Kearns Planning Commission,908345,pdf,221114_KearnsPC_Packet.pdf,PACKET,2172203,2.17,2022-11-14/221114_KearnsPC_Packet.pdf
PC,1561,778481,2022-09-12,Kearns Planning Commission,888941,pdf,220912_KearnsPC_Packet.pdf,PACKET,11112324,11.11,2022-09-12/220912_KearnsPC_Packet.pdf
PC,1561,771623,2022-08-08,Kearns Planning Commission,877439,pdf,220808_KearnsPC_Packet.pdf,PACKET,3020352,3.02,2022-08-08/220808_KearnsPC_Packet.pdf
PC,1561,745499,2022-04-11,Kearns Planning Commission,833179,pdf,220411_KearnsPC_Packet.pdf,PACKET,10861397,10.86,2022-04-11/220411_KearnsPC_Packet.pdf
PC,1561,733419,2022-02-14,Kearns Planning Commission,812861,pdf,220214_KearnsPC_Packet.pdf,PACKET,4264437,4.26,2022-02-14/220214_KearnsPC_Packet.pdf
PC,1561,733419,2022-02-14,Kearns Planning Commission,813279,pdf,220214_KearnsPC_PacketAmended.pdf,PACKET,4136301,4.14,2022-02-14/220214_KearnsPC_PacketAmended.pdf
PC,1561,725547,2022-01-10,Kearns Planning Commission,797971,pdf,220110_KearnsPC_Packet.pdf,PACKET,19037568,19.04,2022-01-10/220110_KearnsPC_Packet.pdf
PC,1561,706105,2021-10-11,Kearns Planning Commission,767579,pdf,211011_KearnsPC_Packet.pdf,PACKET,2608663,2.61,2021-10-11/211011_KearnsPC_Packet.pdf
PC,1561,700341,2021-09-13,Kearns Planning Commission,757885,pdf,210913_KearnsPC_Packet.pdf,PACKET,5656696,5.66,2021-09-13/210913_KearnsPC_Packet.pdf
PC,1561,693199,2021-08-09,Kearns Planning Commission,746043,pdf,210809_KearnsPC_Packet.pdf,PACKET,1516798,1.52,2021-08-09/210809_KearnsPC_Packet.pdf
PC,1561,689805,2021-07-21,Kearns Land Use Hearing Officer,738805,pdf,VAR2021-000362_Variance Packet_Guzman.pdf,PACKET,12216376,12.22,2021-07-21/VAR2021-000362_Variance_Packet_Guzman.pdf
PC,1561,681655,2021-06-14,Kearns Planning Commission,728153,pdf,210614_KearnsPC_Packet.pdf,PACKET,1259795,1.26,2021-06-14/210614_KearnsPC_Packet.pdf
PC,1561,672905,2021-05-10,Kearns Planning Commission,712567,pdf,210510_KearnsPC_Packet.pdf,PACKET,10226943,10.23,2021-05-10/210510_KearnsPC_Packet.pdf
PC,1561,666521,2021-04-12,Kearns Planning Commission,703999,pdf,210412_KearnsPC_Packet.pdf,PACKET,3905541,3.91,2021-04-12/210412_KearnsPC_Packet.pdf
PC,1561,643993,2020-12-14,Kearns Metro Township Planning Commission,666789,pdf,201214_KearnsTPC_Packet.pdf,PACKET,1902416,1.9,2020-12-14/201214_KearnsTPC_Packet.pdf
PC,1561,637781,2020-11-09,Kearns Metro Township Planning Commission,654747,pdf,201109_KearnsTPC_Packet.pdf,PACKET,3413751,3.41,2020-11-09/201109_KearnsTPC_Packet.pdf
PC,1561,631643,2020-10-12,Kearns Metro Township Planning Commission,646107,pdf,201012_KearnsTPC_Packet.pdf,PACKET,1447816,1.45,2020-10-12/201012_KearnsTPC_Packet.pdf
PC,1561,619829,2020-08-10,Kearns Metro Township Planning Commission,626051,pdf,200810_KearnsTPC_Packet.pdf,PACKET,26427311,26.43,2020-08-10/200810_KearnsTPC_Packet.pdf
PC,1561,614697,2020-07-13,Kearns Metro Township Planning Commission,617377,pdf,200713_KearnsTPC_Packet.pdf,PACKET,5787613,5.79,2020-07-13/200713_KearnsTPC_Packet.pdf
PC,1561,579239,2020-01-13,Kearns Metro Township Planning Commission,563553,pdf,200113_KearnsTPC_Packet.pdf,PACKET,57756562,57.76,2020-01-13/200113_KearnsTPC_Packet.pdf
PC,1561,567923,2019-11-18,Kearns Metro Township Planning Commission,548887,pdf,191118_KearnsTPC_Packet.pdf,PACKET,14935543,14.94,2019-11-18/191118_KearnsTPC_Packet.pdf
PC,1561,544591,2019-07-22,Kearns Metro Township Planning Commission,512147,pdf,190722_KearnsTPC_Packet.pdf,PACKET,6274488,6.27,2019-07-22/190722_KearnsTPC_Packet.pdf
PC,1561,537361,2019-06-10,KEARNS METRO TOWNSHIP PLANNING COMMISSION,499837,pdf,190610_KearnsTPC_Packet.pdf,PACKET,932364,0.93,2019-06-10/190610_KearnsTPC_Packet.pdf
PC,1561,525027,2019-04-08,Kearns Metro Township Planning Commission,482439,pdf,190408_KearnsTPC_Packet.pdf,PACKET,1684205,1.68,2019-04-08/190408_KearnsTPC_Packet.pdf
PC,1561,518861,2019-03-11,Kearns Metro Township Planning Commission,475003,pdf,190311_KearnsTPC_Packet.pdf,PACKET,1739681,1.74,2019-03-11/190311_KearnsTPC_Packet.pdf
PC,1561,507771,2019-01-14,Kearns Metro Township Planning Commission,457123,pdf,190114_KearnsTPC_Packet.pdf,PACKET,4400147,4.4,2019-01-14/190114_KearnsTPC_Packet.pdf
