source_file,scope,contest,parsed_sum,printed_total,match
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,ROY CITY MAYOR,,2696,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,ROY CITY COUNCIL,,5174,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,SOUTH OGDEN CITY MAYOR,,1461,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,SOUTH OGDEN CITY COUNCIL,,2632,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,UINTAH CITY MAYOR,,300,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,UINTAH CITY COUNCIL - 2 YEAR TERM,,322,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,UINTAH CITY COUNCIL - 4 YEAR TERM,,574,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,WASHINGTON TERR. CITY MAYOR,,1064,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,WASHINGTON TERR. CITY COUNCIL,,1976,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,WEST HAVEN CITY MAYOR,,1226,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,WEST HAVEN CITY COUNCIL,,2257,
7dc173_d0d4fc19d88f469191fe6355d8d95aab.pdf,Weber County,Ogden City Council Ward 4,,2276,
7dc173_d0d4fc19d88f469191fe6355d8d95aab.pdf,Weber County,Ogden City Council At Large C,,4811,
7dc173_d0d4fc19d88f469191fe6355d8d95aab.pdf,Weber County,Riverdale City Council,,2930,
7dc173_d0d4fc19d88f469191fe6355d8d95aab.pdf,Weber County,West Haven City Council,,2674,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Proposition 1,,31940,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Farr West City Council,,1914,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Harrisville City Council,,1656,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Hooper City Mayor,,1086,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Hooper City Council,,2014,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,North Ogden City Council,,8087,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Ogden City Mayor,,8336,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Ogden City Council - Municipal Ward 2,,1570,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Ogden City Council - Municipal Ward 4,,3625,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Ogden City Council - At Large Seat C,,8203,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Plain City Town Council,,3016,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Pleasant View City Council,,4067,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Riverdale City Council,,3560,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Roy City Council,,11632,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,South Ogden City Council,,6353,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,West Haven City Council,,3756,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Huntsville Town Council,,368,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,At Large Hooper Water Imp. Dist.,,1674,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Div 1 - Hooper Water Imp. Dist.,,1007,
7dc173_3ab165a3f3d5495abc59146562df7ab7.pdf,Weber County,Div 2 - Hooper Water Imp. Dist.,,100,
7e3a53_dfa082bf8ece4fa59b962d928fe93aa7.pdf,Weber County,Hooper City Council - Dist 12,,321,
7e3a53_dfa082bf8ece4fa59b962d928fe93aa7.pdf,Weber County,Ogden City Council - At Large A,,5426,
7e3a53_dfa082bf8ece4fa59b962d928fe93aa7.pdf,Weber County,Ogden City Council - At Large Seat B,,4956,
7e3a53_dfa082bf8ece4fa59b962d928fe93aa7.pdf,Weber County,Ogden City Council Municipal Ward 3,,1387,
7e3a53_dfa082bf8ece4fa59b962d928fe93aa7.pdf,Weber County,Pleasant View City Council,,2464,
7e3a53_dfa082bf8ece4fa59b962d928fe93aa7.pdf,Weber County,Roy City Mayor,,3795,
7e3a53_dfa082bf8ece4fa59b962d928fe93aa7.pdf,Weber County,Roy City Council,,7008,
7e3a53_dfa082bf8ece4fa59b962d928fe93aa7.pdf,Weber County,South Ogden Mayor,,2335,
7e3a53_dfa082bf8ece4fa59b962d928fe93aa7.pdf,Weber County,South Ogden City Council,,4255,
7e3a53_dfa082bf8ece4fa59b962d928fe93aa7.pdf,Weber County,West Haven City Council,,2136,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Harrisville City Mayor,,1076,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Harrisville City Council - 4 yr,,1913,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Harrisville City Council - 2 yr term,,1046,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Hooper City Council - Dist 12,,401,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Hooper City Council - Districts 36,,347,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Hooper City Council - Districts 45,,382,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Marriott-Slaterville City Mayor,,524,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Marriott-Slaterville City Council - East,,222,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Marriott-Slaterville City Council - West,,248,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,North Ogden City Mayor,,3249,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,North Ogden City Council,,6705,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Ogden City Council - At Large A,,8929,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Ogden City Council - At Large Seat B,,8827,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Ogden City Council - Municipal Ward 1,,942,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Ogden City Council Municipal Ward 3,,2286,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Plain City Mayor,,1778,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Plain City Council,,3083,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Pleasant View City Mayor,,2244,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Pleasant View City Council,,4070,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Riverdale City Mayor,,1315,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Riverdale City Council,,2551,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Roy City Mayor,,5191,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Roy City Council,,9435,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,South Ogden Mayor,,2986,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,South Ogden City Council,,5402,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Uintah City Mayor,,265,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Uintah City Council,,527,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,West Haven City Mayor,,1963,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,West Haven City Council,,3505,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,North View Fire - At Large,,5986,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,North View Fire - Dist 1,,945,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,North View Fire - Dist 2,,3244,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,North View Fire - Dist 3,,1845,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Weber Fire,,4236,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Taylor Water,,2410,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Ogden City School District,,8726,
7e3a53_0c64e2aa8b964f81a183bb1fdbd64a17.pdf,Weber County,Weber School District,,26528,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Weber County,Proposition 3,,41283,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Farr West City,Farr West City Council,,3490,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Harrisville City,Harrisville City Council,,2780,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Harrisville City,Harrisville City Council - Two year term,,1008,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Hooper City,Hooper City Mayor,,2026,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Hooper City,Hooper City Council - At Large Hooper City Council At-Large,,3450,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Huntsville Town,Huntsville Town Council,,420,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Marriott Slaterville City,Marriott Slaterville City Council - At Large,,461,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Marriott Slaterville City,Marriott Slaterville City Council - East,,176,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Marriott Slaterville City,Marriott Slaterville City Council - West,,215,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,North Ogden City,North Ogden City Mayor - Two year term,,5369,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,North Ogden City,North Ogden City Council,,14662,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,North Ogden City,North Ogden City Council - Two year term,,5293,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Ogden City,Ogden City Mayor,,10838,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Ogden City,Ogden City Council - At Large Seat C,,8342,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Ogden City,Ogden City Council - District 2,,1833,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Ogden City,Ogden City Council - District 4,,3421,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,City Elections,Pleasant View City Council,,5834,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,City Elections,Pleasant View City Council - Two year term,,2114,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Riverdale City,Riverdale City Council,,3837,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Roy City,Roy City Council,,14361,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,City Elections,South Ogden City Council,,7444,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Uintah City,Uintah City Mayor - Two year term,,312,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Uintah City,Uintah City Council,,552,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Uintah City,Uintah City Council - Two year term,,352,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Washington Terrace City,Washington Terrace City Council,,3723,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Washington Terrace City,West Haven City Council,,5319,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Washington Terrace City,Hooper Water Improvement District - Division 1 Hooper Water Improvement District - Div.1 1,,1183,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Washington Terrace City,Hooper Water Improvement District - Division 2 Hooper Water Improvement District - Div. 2,,1009,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Washington Terrace City,Hooper Water Improvement District - At Large,,2966,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Washington Terrace City,North View Fire District 1,,985,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Washington Terrace City,North View Fire District 2,,4723,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Washington Terrace City,North View Fire District 3,,1940,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Washington Terrace City,Uintah Highlands Improvement District,,1093,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Washington Terrace City,Weber Fire District Weber Fire District At-Large,,4502,
7e3a53_23ef3f3f90864dfa9f4ddc93a9363215.pdf,Washington Terrace City,Wolf Creek Water & Sewer Improvement District Wolf Creek Water & Sewer Improvment,,987,
7dc173_d768b44d1cba4863a7a271a2286e4944.pdf,Weber County,NORTH OGDEN CITY COUNCIL,,6462,
7dc173_d768b44d1cba4863a7a271a2286e4944.pdf,Weber County,OGDEN CITY COUNCIL - AT LARGE A,,6354,
7dc173_d768b44d1cba4863a7a271a2286e4944.pdf,Weber County,OGDEN CITY COUNCIL - DISTRICT 3,,1774,
7dc173_d768b44d1cba4863a7a271a2286e4944.pdf,Weber County,WASHINGTON TERRACE CITY COUNCIL,,2368,
7dc173_d768b44d1cba4863a7a271a2286e4944.pdf,Weber County,WEST HAVEN CITY MAYOR,,2326,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,FARR WEST CITY MAYOR,,1946,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,FARR WEST CITY COUNCIL,,3312,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,HARRISVILLE CITY MAYOR,,1164,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,HARRISVILLE CITY COUNCIL - FOUR YEAR TERM,,2065,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,HARRISVILLE CITY COUNCIL - TWO YEAR TERM,,1023,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,HOOPER CITY COUNCIL - DISTRICT 1 & 2,,680,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,HOOPER CITY COUNCIL - DISTRICT 3 & 6,,639,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,HOOPER CITY COUNCIL - DISTRICT 4 & 5,,589,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,HUNTSVILLE TOWN MAYOR,,299,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,HUNTSVILLE TOWN COUNCIL,,507,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,NORTH OGDEN CITY MAYOR,,3919,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,NORTH OGDEN CITY COUNCIL,,8516,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,OGDEN CITY COUNCIL - AT LARGE A,,8720,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,OGDEN CITY COUNCIL - AT LARGE B,,8622,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,OGDEN CITY COUNCIL - DISTRICT 1,,1170,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,OGDEN CITY COUNCIL - DISTRICT 3,,2426,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,PLAIN CITY MAYOR,,1961,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,PLAIN CITY COUNCIL,,2819,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,PLEASANT VIEW CITY MAYOR,,2074,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,PLEASANT VIEW CITY COUNCIL,,3393,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,RIVERDALE CITY MAYOR,,1362,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,RIVERDALE CITY COUNCIL,,2821,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,ROY CITY MAYOR,,4620,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,ROY CITY COUNCIL,,9313,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,SOUTH OGDEN CITY MAYOR,,2474,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,SOUTH OGDEN CITY COUNCIL - TWO YEAR TERM,,2719,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,SOUTH OGDEN CITY COUNCIL - FOUR YEAR TERM,,4564,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,UINTAH CITY MAYOR,,333,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,UINTAH CITY COUNCIL,,739,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,WASHINGTON TERRACE CITY MAYOR,,1622,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,WASHINGTON TERRACE CITY COUNCIL,,2966,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,WEST HAVEN CITY MAYOR,,3452,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,WEST HAVEN CITY COUNCIL,,5965,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,HOOPER WATER IMPROVEMENT DISTRICT - AT LARGE,,3158,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,HOOPER WATER IMPROVEMENT DISTRICT - DIVISION 3,,696,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,WEBER FIRE DISTRICT - AT LARGE,,5152,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,Weber County,Weber School District Bond,,31222,
7e3a53_3364efea7ede4fb597486bf50a6e7ee8.pdf,precinct OGD01,OGDEN CITY MAYOR,150,150,True
7e3a53_3364efea7ede4fb597486bf50a6e7ee8.pdf,precinct OGD01,OGDEN CITY COUNCIL AT-LARGE SEAT C,140,140,True
7e3a53_3364efea7ede4fb597486bf50a6e7ee8.pdf,precinct OGD02,OGDEN CITY MAYOR,239,239,True
7e3a53_3364efea7ede4fb597486bf50a6e7ee8.pdf,precinct OGD02,OGDEN CITY COUNCIL AT-LARGE SEAT C,227,227,True
7e3a53_3364efea7ede4fb597486bf50a6e7ee8.pdf,precinct OGD03,OGDEN CITY MAYOR,183,183,True
