case_key,case_type,mentions,first_seen,last_seen,bodies,enacting_ordinance,enacting_motion,vote_linkage
CUP 2024-05,Conditional Use Permit,1,2024-06-25,2024-06-25,Ogden Valley Planning Commission,,,deferred
CUP 2024-06,Conditional Use Permit,2,2024-06-25,2024-06-25,Ogden Valley Planning Commission,,,deferred
CUP 2024-07,Conditional Use Permit,1,2024-07-30,2024-07-30,Ogden Valley Planning Commission,,,deferred
CUP 2024-08,Conditional Use Permit,1,2024-08-06,2024-08-06,Ogden Valley Planning Commission,,,deferred
CUP 2024-09,Conditional Use Permit,1,2024-08-27,2024-08-27,Ogden Valley Planning Commission,,,deferred
CUP 2024-10,Conditional Use Permit,2,2024-09-24,2024-09-24,Ogden Valley Planning Commission,,,deferred
CUP 2024-12,Conditional Use Permit,2,2024-09-24,2024-09-24,Ogden Valley Planning Commission,,,deferred
CUP 2024-13,Conditional Use Permit,2,2025-06-24,2025-06-24,Ogden Valley Planning Commission,,,deferred
CUP 2024-14,Conditional Use Permit,3,2024-11-12,2024-11-12,Western Weber Planning Commission,,,deferred
CUP 2025-06,Conditional Use Permit,4,2025-05-20,2025-05-20,Ogden Valley Planning Commission,,,deferred
CUP 2025-11,Conditional Use Permit,2,2025-09-23,2025-09-23,Ogden Valley Planning Commission,,,deferred
CUP 2025-12,Conditional Use Permit,2,2025-09-23,2025-09-23,Ogden Valley Planning Commission,,,deferred
CUP 2025-13,Conditional Use Permit,3,2025-08-12,2025-08-12,Western Weber Planning Commission,,,deferred
CUP 2025-19,Conditional Use Permit,2,2025-10-28,2025-10-28,Ogden Valley Planning Commission,,,deferred
CUP 2025-20,Conditional Use Permit,2,2025-10-28,2025-10-28,Ogden Valley Planning Commission,,,deferred
CUP 2025-21,Conditional Use Permit,2,2025-10-28,2025-10-28,Ogden Valley Planning Commission,,,deferred
CUP 2025-22,Conditional Use Permit,2,2025-10-28,2025-10-28,Ogden Valley Planning Commission,,,deferred
CUP 2025-24,Conditional Use Permit,6,2025-12-09,2025-12-09,Ogden Valley Planning Commission; Weber County Planning Commission; Western Weber Planning Commission,,,deferred
CUP 2025-26,Conditional Use Permit,6,2025-12-09,2025-12-09,Ogden Valley Planning Commission; Weber County Planning Commission; Western Weber Planning Commission,,,deferred
CUP 2026-03,Conditional Use Permit,2,2026-03-03,2026-03-03,Weber County Planning Commission,,,deferred
CUP 2026-04,Conditional Use Permit,2,2026-03-03,2026-03-03,Weber County Planning Commission,,,deferred
CUP 2026-05,Conditional Use Permit,2,2026-04-07,2026-04-07,Weber County Planning Commission,,,deferred
DR 2020-07,Design Review,2,2021-04-13,2021-04-13,Western Weber Planning Commission,,,deferred
DR 2021-08,Design Review,3,2021-07-27,2021-07-27,Ogden Valley Planning Commission,,,deferred
DR 2021-12,Design Review,1,2021-10-12,2021-10-12,Western Weber Planning Commission,,,deferred
DR 2021-15,Design Review,1,2022-04-12,2022-04-12,Western Weber Planning Commission,,,deferred
DR 2022-01,Design Review,1,2022-04-06,2022-04-06,Western Weber Planning Commission,,,deferred
DR 2022-02,Design Review,1,2022-05-10,2022-05-10,Western Weber Planning Commission,,,deferred
DR 2022-03,Design Review,1,2022-11-15,2022-11-15,Western Weber Planning Commission,,,deferred
DR 2022-04,Design Review,2,2022-11-15,2022-11-15,Western Weber Planning Commission,,,deferred
DR 2022-06,Design Review,2,2022-12-13,2022-12-13,Western Weber Planning Commission,,,deferred
DR 2023-01,Design Review,3,2023-03-28,2023-03-28,Ogden Valley Planning Commission,,,deferred
DR 2023-02,Design Review,2,2023-06-13,2023-06-13,Western Weber Planning Commission,,,deferred
DR 2023-03,Design Review,1,2023-07-11,2023-07-11,Western Weber Planning Commission,,,deferred
DR 2023-04,Design Review,2,2023-07-18,2023-07-18,Ogden Valley Planning Commission,,,deferred
DR 2023-09,Design Review,1,2023-09-19,2023-09-19,Western Weber Planning Commission,,,deferred
DR 2024-04,Design Review,3,2024-08-27,2024-08-27,Ogden Valley Planning Commission,,,deferred
DR 2024-06,Design Review,2,2025-01-14,2025-01-14,Western Weber Planning Commission,,,deferred
DR 2025-03,Design Review,2,2025-05-13,2025-05-13,Western Weber Planning Commission,,,deferred
DR 2025-07,Design Review,2,2025-10-14,2025-10-14,Western Weber Planning Commission,,,deferred
DR 2025-10,Design Review,2,2025-10-28,2025-10-28,Ogden Valley Planning Commission,,,deferred
DR 2025-12,Design Review,3,2025-10-14,2025-10-14,Western Weber Planning Commission,,,deferred
DR 2025-14,Design Review,1,2025-10-28,2025-10-28,Ogden Valley Planning Commission,,,deferred
DR 2025-15,Design Review,2,2025-10-28,2025-10-28,Ogden Valley Planning Commission,,,deferred
DR 2025-16,Design Review,6,2025-12-09,2025-12-09,Ogden Valley Planning Commission; Weber County Planning Commission; Western Weber Planning Commission,,,deferred
ZMA 2020-01,Zone Map Amendment (rezone),9,2020-01-07,2022-09-13,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZMA 2021-02,Zone Map Amendment (rezone),4,2021-05-04,2021-05-04,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZMA 2021-05,Zone Map Amendment (rezone),5,2021-12-14,2022-03-01,Western Weber Planning Commission,,,deferred
ZMA 2021-07,Zone Map Amendment (rezone),1,2022-09-13,2022-09-13,Western Weber Planning Commission,,,deferred
ZMA 2021-09,Zone Map Amendment (rezone),7,2021-12-28,2022-08-23,Ogden Valley Planning Commission,,,deferred
ZMA 2021-10,Zone Map Amendment (rezone),3,2021-11-09,2022-02-08,Western Weber Planning Commission,,,deferred
ZMA 2022-01,Zone Map Amendment (rezone),10,2022-08-23,2023-01-10,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZMA 2022-02,Zone Map Amendment (rezone),3,2022-12-13,2023-01-10,Western Weber Planning Commission,,,deferred
ZMA 2022-03,Zone Map Amendment (rezone),2,2022-12-13,2022-12-13,Western Weber Planning Commission,,,deferred
ZMA 2022-04,Zone Map Amendment (rezone),2,2022-12-13,2022-12-13,Western Weber Planning Commission,,,deferred
ZMA 2022-05,Zone Map Amendment (rezone),4,2022-12-13,2023-02-21,Western Weber Planning Commission,,,deferred
ZMA 2023-01,Zone Map Amendment (rezone),1,2023-02-21,2023-02-21,Western Weber Planning Commission,,,deferred
ZMA 2023-02,Zone Map Amendment (rezone),1,2024-03-26,2024-03-26,Ogden Valley Planning Commission,,,deferred
ZMA 2023-03,Zone Map Amendment (rezone),2,2023-03-14,2023-07-11,Western Weber Planning Commission,,,deferred
ZMA 2023-04,Zone Map Amendment (rezone),5,2023-05-09,2024-02-13,Western Weber Planning Commission,,,deferred
ZMA 2023-05,Zone Map Amendment (rezone),3,2023-04-25,2023-04-25,Ogden Valley Planning Commission,,,deferred
ZMA 2023-06,Zone Map Amendment (rezone),3,2023-04-25,2023-04-25,Ogden Valley Planning Commission,,,deferred
ZMA 2023-07,Zone Map Amendment (rezone),5,2023-09-19,2023-11-07,Western Weber Planning Commission,,,deferred
ZMA 2023-08,Zone Map Amendment (rezone),6,2023-06-13,2024-03-12,Western Weber Planning Commission,,,deferred
ZMA 2023-09,Zone Map Amendment (rezone),3,2023-11-14,2023-11-14,Ogden Valley Planning Commission,,,deferred
ZMA 2023-11,Zone Map Amendment (rezone),3,2023-09-19,2023-11-07,Western Weber Planning Commission,,,deferred
ZMA 2023-12,Zone Map Amendment (rezone),5,2023-08-22,2023-10-24,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZMA 2023-13,Zone Map Amendment (rezone),4,2023-09-19,2023-11-07,Western Weber Planning Commission,,,deferred
ZMA 2023-15,Zone Map Amendment (rezone),4,2024-05-14,2024-05-14,Western Weber Planning Commission,,,deferred
ZMA 2023-16,Zone Map Amendment (rezone),2,2023-12-12,2023-12-12,Western Weber Planning Commission,,,deferred
ZMA 2023-17,Zone Map Amendment (rezone),1,2024-01-09,2024-01-09,Western Weber Planning Commission,,,deferred
ZMA 2024-01,Zone Map Amendment (rezone),3,2025-03-11,2025-03-11,Western Weber Planning Commission,,,deferred
ZMA 2024-02,Zone Map Amendment (rezone),2,2024-02-13,2024-02-13,Western Weber Planning Commission,,,deferred
ZMA 2024-03,Zone Map Amendment (rezone),1,2024-08-13,2024-08-13,Western Weber Planning Commission,,,deferred
ZMA 2024-04,Zone Map Amendment (rezone),1,2024-03-12,2024-03-12,Western Weber Planning Commission,,,deferred
ZMA 2024-05,Zone Map Amendment (rezone),6,2024-05-21,2024-06-25,Ogden Valley Planning Commission,,,deferred
ZMA 2024-07,Zone Map Amendment (rezone),2,2024-07-09,2024-07-09,Western Weber Planning Commission,,,deferred
ZMA 2024-08,Zone Map Amendment (rezone),4,2024-09-17,2026-01-06,Weber County Planning Commission; Western Weber Planning Commission,,,deferred
ZMA 2024-09,Zone Map Amendment (rezone),2,2024-08-13,2024-08-13,Western Weber Planning Commission,,,deferred
ZMA 2024-11,Zone Map Amendment (rezone),1,2025-01-28,2025-01-28,Ogden Valley Planning Commission,,,deferred
ZMA 2024-12,Zone Map Amendment (rezone),3,2025-03-11,2025-03-11,Western Weber Planning Commission,,,deferred
ZMA 2024-14,Zone Map Amendment (rezone),2,2024-12-10,2024-12-10,Western Weber Planning Commission,,,deferred
ZMA 2024-16,Zone Map Amendment (rezone),4,2025-06-10,2025-06-10,Western Weber Planning Commission,,,deferred
ZMA 2025-01,Zone Map Amendment (rezone),3,2025-03-11,2025-04-22,Western Weber Planning Commission,,,deferred
ZMA 2025-04,Zone Map Amendment (rezone),1,2025-09-23,2025-09-23,Ogden Valley Planning Commission,,,deferred
ZMA 2025-05,Zone Map Amendment (rezone),2,2025-10-14,2025-10-14,Western Weber Planning Commission,,,deferred
ZMA 2025-06,Zone Map Amendment (rezone),2,2025-12-02,2025-12-02,Ogden Valley Planning Commission,,,deferred
ZMA 2025-07,Zone Map Amendment (rezone),2,2025-12-02,2025-12-02,Ogden Valley Planning Commission,,,deferred
ZMA 2026-02,Zone Map Amendment (rezone),5,2026-03-03,2026-04-07,Weber County Planning Commission,,,deferred
ZMA 2026-09,Zone Map Amendment (rezone),1,2026-05-05,2026-05-05,Weber County Planning Commission,,,deferred
ZTA 2018-05,Zoning Text Amendment,6,2020-01-07,2020-07-28,Ogden Valley Planning Commission,,,deferred
ZTA 2019-03,Zoning Text Amendment,3,2021-10-26,2021-10-26,Ogden Valley Planning Commission,,,deferred
ZTA 2019-06,Zoning Text Amendment,3,2020-10-27,2020-11-17,Ogden Valley Planning Commission,,,deferred
ZTA 2020-01,Zoning Text Amendment,2,2020-04-28,2020-04-28,Ogden Valley Planning Commission,,,deferred
ZTA 2020-02,Zoning Text Amendment,2,2020-04-28,2020-04-28,Ogden Valley Planning Commission,,,deferred
ZTA 2020-03,Zoning Text Amendment,2,2020-09-22,2020-09-22,Ogden Valley Planning Commission,,,deferred
ZTA 2020-04,Zoning Text Amendment,5,2020-04-28,2020-05-05,Ogden Valley Planning Commission,,,deferred
ZTA 2020-05,Zoning Text Amendment,3,2020-10-27,2021-02-23,Ogden Valley Planning Commission,,,deferred
ZTA 2020-07,Zoning Text Amendment,3,2020-10-27,2020-11-17,Ogden Valley Planning Commission,,,deferred
ZTA 2020-08,Zoning Text Amendment,3,2020-10-27,2020-11-17,Ogden Valley Planning Commission,,,deferred
ZTA 2021-07,Zoning Text Amendment,6,2022-02-15,2022-04-26,Ogden Valley Planning Commission,,,deferred
ZTA 2021-08,Zoning Text Amendment,5,2021-11-09,2022-01-25,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZTA 2021-10,Zoning Text Amendment,7,2021-12-14,2022-01-25,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZTA 2021-11,Zoning Text Amendment,5,2021-12-14,2022-01-25,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZTA 2022-01,Zoning Text Amendment,1,2022-05-10,2022-05-10,Western Weber Planning Commission,,,deferred
ZTA 2022-02,Zoning Text Amendment,5,2022-10-18,2022-10-25,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZTA 2022-03,Zoning Text Amendment,3,2023-02-07,2023-02-07,Ogden Valley Planning Commission,,,deferred
ZTA 2022-04,Zoning Text Amendment,2,2022-12-13,2022-12-13,Western Weber Planning Commission,,,deferred
ZTA 2022-06,Zoning Text Amendment,4,2023-04-11,2023-04-25,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZTA 2022-07,Zoning Text Amendment,5,2023-04-11,2023-04-25,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZTA 2023-02,Zoning Text Amendment,8,2023-04-25,2023-11-14,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZTA 2023-03,Zoning Text Amendment,10,2023-04-25,2023-11-14,Ogden Valley Planning Commission,,,deferred
ZTA 2023-04,Zoning Text Amendment,9,2023-06-13,2023-07-18,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZTA 2023-05,Zoning Text Amendment,2,2023-08-08,2023-08-08,Western Weber Planning Commission,,,deferred
ZTA 2023-06,Zoning Text Amendment,5,2023-09-12,2024-01-11,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZTA 2023-11,Zoning Text Amendment,5,2023-12-12,2023-12-19,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZTA 2023-12,Zoning Text Amendment,3,2023-12-12,2023-12-19,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
ZTA 2024-03,Zoning Text Amendment,1,2024-08-13,2024-08-13,Western Weber Planning Commission,,,deferred
ZTA 2024-05,Zoning Text Amendment,2,2024-09-17,2024-09-17,Western Weber Planning Commission,,,deferred
ZTA 2024-06,Zoning Text Amendment,1,2024-08-13,2024-08-13,Western Weber Planning Commission,,,deferred
ZTA 2024-07,Zoning Text Amendment,2,2025-06-10,2025-06-10,Western Weber Planning Commission,,,deferred
ZTA 2025-02,Zoning Text Amendment,2,2025-09-23,2025-09-23,Ogden Valley Planning Commission,,,deferred
ZTA 2025-04,Zoning Text Amendment,2,2026-04-14,2026-04-14,Weber County Planning Commission,,,deferred
ZTA 2026-01,Zoning Text Amendment,2,2026-04-07,2026-04-07,Weber County Planning Commission,,,deferred
