EventItemId,EventItemEventId,_body_id,EventItemTitle,EventItemMatterId,EventItemMatterName,EventItemMatterType,EventItemMover,EventItemSeconder,EventItemPassedFlagName,EventItemActionName,EventItemAgendaSequence,EventItemMinutesSequence
27591,2901,138,"Public Hearing to Receive Public Comments Regarding the Olympia Hills Planned Development Community, including: 1) amendment of the Southwest Community general plan, 2) amendment of the Salt Lake County zoning ordinance to rezone property located at approximately 6300-8500 W. and 12400-13100 S. from A-2 (Agricultural) and M-2 (Industrial) to P-C (Planned Community), and 3) PC Zone Plan/Master Development Agreement.  Public hearings to be Held on January 14th at 6:00 P.M. 

Another Public Hearing to Receive Comments Will be on January 28th at 6:00 P.M. at ____________________________",4666,,Public Hearings and Notices,,,,,13,11
27596,2901,138,"Formal Adoption of an Ordinance Approving the Rezone of Property Located at 8700 South 700 West.  Re-zone from A-2 (Agricultural) to M-2 (Manufacturing).  The Rezone is for a 7.01 Acre-Southern Portion of the 25.51 Acre Parcel 

The Public Hearing was held on January 7,2020 - File No. 19-1478",4659,,Discussion Items,Aimee Winder Newton,Michael Jensen,Pass,open the public hearing,14,12
27597,2901,138,"Resolution Authorizing the Salt Lake County Mayor or Her Designee to Enter into an Agreement With the Utah Department of Transportation (“UDOT”) to Contribute $1,000,000 Towards a Transportation Project in Riverton City at 12600 South and Bangerter Highway.",4658,,Consent Item,,,,,30,30
27600,2901,138,District Attorney’s Request for Abatement of Taxes,4669,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,32,32
27601,2901,138,"Approval of Council Minutes for December 17, 2019",4660,,Minutes,Arlyn Bradshaw,Michael Jensen,Pass,approved,43,43
27602,2901,138,"An Ordinance Amending Chapter 3.26.020, Entitled “Apprenticeship Utilization” of the Salt Lake County Code of Ordinances, 2001, Clarifying the Definitions, Making Similar Clarifying Changes in the Ordinance, and Adding a Section Regarding Third Parties",4646,,Discussion Items,Arlyn Bradshaw,Michael Jensen,Pass,approved,16,16
27603,2901,138,"Budget Adjustment: Public Works Engineering’s Request for MSD Capital Project 2550 S 7200 W to 8000 W Road Project ($3,500,00 in Revenue and Expense)",4670,,Discussion Items,Arlyn Bradshaw,Michael Jensen,,ratified,18,18
27613,2901,138,"Appointments of Bart Higbee, Douglas Lamping, Aaron Person, Cameron Young and Casey Fisher as Salt Lake County Deputy Constables",4675,,Consent Item,,,,,25,25
27615,2901,138,Business Disclosure of Council Member Arlyn Bradshaw,4680,,Private Business Disclosures,Arlyn Bradshaw,Michael Jensen,Pass,received and filed,41,41
27617,2901,138,"2019 Budget Adjustment: Facilities Request for $40,000 Appropriation Unit Shift (Operations to Capital) to Purchase New Sweeper",4674,,Discussion Items,,,,,19,19
27672,2901,138,Tax Administration Tax Letters - No. 6,4678,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,38,38
27673,2901,138,Tax Administration Tax Letters - No. 5,4677,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,37,37
27674,2901,138,Tax Administration Tax Letters - No. 4,4676,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,36,36
27675,2901,138,Tax Administration Tax Letters - No. 3,4673,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,35,35
27676,2901,138,Tax Administration Tax Letters - No. 2,4672,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,34,34
27677,2901,138,Tax Administration Tax Letters - No. 1,4671,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,33,33
28028,2901,138,,,,,Michael Jensen,Max Burdick,Pass,closed the public hearing,,13
28029,2901,138,,,,,,,,,,14
28248,2903,138,"Upon request and with three working days’ notice, Salt Lake County will provide free auxiliary aids and services to qualified individuals (including sign language interpreters, alternative formats, etc.). For assistance, please call (385) 468-7500 – TTY 711. ",,,,,,,,1,
28249,2903,138,Members of the Council May Participate Electronically. The Public May Attend. Meetings May Be Closed For Reasons Allowed By Statute. ,,,,,,,,2,
28250,2903,138,CALL TO ORDER ,,,,,,,,3,1
28251,2903,138,"Invocation - Reading - Thought 

",,,,,,,,4,2
28252,2903,138,Pledge of Allegiance,,,,,,,,5,3
28253,2903,138,CITIZEN PUBLIC INPUT ,,,,,,,,6,4
28254,2903,138,REPORT OF ELECTED OFFICIALS: ,,,,,,,,7,5
28255,2903,138,Council Members,,,,,,,,8,6
28256,2903,138,Other Elected Officials,,,,,,,,9,7
28257,2903,138,Mayor,,,,,,,,10,8
28258,2903,138,"PROCLAMATIONS, DECLARATIONS, AND OTHER CEREMONIAL OR COMMEMORATIVE MATTERS",,,,,,,,11,9
28259,2903,138,PUBLIC HEARINGS AND NOTICES ,,,,,,,,12,10
28261,2903,138,RATIFICATION OF DISCUSSION ITEM ACTIONS IN COMMITTEE OF THE WHOLE ,,,,,,,,14,13
28262,2903,138,"An Ordinance Amending Section 3.070.060 of the Salt Lake County Code of Ordinances, 2001, Entitled “Determination of Operating Expenses”",4682,,Discussion Items,Arlyn Bradshaw,Michael Jensen,Pass,ratified,18,20
28267,2903,138,Agenda Preparation for Committee of the Whole and Council Meetings,4733,,Discussion Items,,,,,20,24
28269,2903,138,RATIFICATION OF CONSENT ITEM ACTIONS IN COMMITTEE OF THE WHOLE ,,,,Arlyn Bradshaw,Michael Jensen,Pass,ratified,21,25
28304,2903,138,Multiple donations to Animal Services,4711,,Consent Item,,,,,28,33
28307,2903,138,"A Resolution of the Salt Lake County Council approving the attached letter of understanding between Salt Lake County Regional Planning and Transportation and Salt Lake County Parks and Recreation for the use of one million seven hundred and twenty thousand dollars ($1,720,000.00) from the Regional Transportation Choice fund (4th quarter).",4725,,Consent Item,,,,,24,29
28308,2903,138,Tax Administration’s Tax Letters,4731,,Consent Item,Arlyn Bradshaw,Michael Jensen,Pass,approved,39,50
28309,2903,138,"Declaration of Donation from Liberty Senior Center Advisory Committee: $2,332.22 Check and $5,611.03 In-Kind Donation",4734,,Discussion Items,,,,,26,31
28310,2903,138,"Declaration of Donation from the Lynda Jacobsen Trust in the amount of $20,000",4736,,Consent Item,,,,,27,32
28312,2903,138,"Appointment of Monte Caldwell to the Zoo, Arts, and Parks (ZAP) Tier II Advisory Board",4740,,Consent Item,,,,,29,34
28313,2903,138,"A Resolution of the Salt Lake County council authorizing execution and delivery of a cooperative agreement between the Utah Department Of Transportation and Salt Lake County, a quit claim deed, and a temporary construction easement to the Utah Department Of Transportation affecting property located at Copperview Park (8446 South Harrison Street, Midvale, Utah)",4741,,Consent Item,Arlyn Bradshaw,Michael Jensen,,approved,23,27
28315,2903,138,Appointment of Emily Emmer to the Arts & Culture Advisory Board,4743,,Consent Item,,,,,30,35
28317,2903,138,Appointment of Megan West to the Arts & Culture Advisory Board,4746,,Consent Item,,,,,31,36
28318,2903,138,Contribute $1000 (in kind) to the Utah Chinese Association for a multicultural event for diversity and economics,4749,,Consent Item,,,,,25,30
28319,2903,138,TAX LETTERS,,,,,,,,32,37
28321,2903,138,Auditor’s Tax Letters,4710,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,33,38
28322,2903,138,Assessor Tax Letters,4714,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,36,44
28323,2903,138,Tax Administration’s Tax Letters,4728,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,37,46
28324,2903,138,Tax Administration’s Tax Letters,4730,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,38,48
28325,2903,138,Auditor’s Tax Letters,4735,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,35,42
28326,2903,138,Auditor Tax Letter,4737,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,34,40
28327,2903,138,LETTERS FROM OTHER OFFICES,,,,,,,,40,52
28328,2903,138,PRIVATE BUSINESS DISCLOSURES,,,,,,,,41,53
28329,2903,138,Business Disclosures From Treasurer’s Office,4726,,Private Business Disclosures,Arlyn Bradshaw,Michael Jensen,Pass,approved,42,54
28330,2903,138,Business Disclosures From Council’s Office,4727,,Private Business Disclosures,Arlyn Bradshaw,Michael Jensen,Pass,approved,43,56
28331,2903,138,Business Disclosure From Recorder’s Office,4732,,Private Business Disclosures,Arlyn Bradshaw,Michael Jensen,Pass,approved,44,58
28332,2903,138,Business Disclosures From Surveyor’s Office,4748,,Private Business Disclosures,Arlyn Bradshaw,Michael Jensen,Pass,approved,45,60
28333,2903,138,APPROVAL OF MINUTES,,,,,,,,46,62
28334,2903,138,"Approval of Council Minutes for:
	January 7, 2020
	January 14, 2020
	January 14, 2020 Council Public Hearing",4721,,Minutes,Arlyn Bradshaw,Michael Jensen,Pass,approved,47,63
28336,2903,138,ADJOURN,,,,,,,,48,65
28337,2903,138,"Notice of Public Hearing at 6:00 PM in the Auditorium of the Copper Mountain Middle School Located at 12106 South Anthem Park Blvd. (5600 W) in Herriman, Utah  to receive public comment regarding the Olympia Hills Planned Development Community, including: 1) amendment of the Southwest Community General Plan; 2) amendment of the Salt Lake County zoning ordinance to rezone property located at approximately 6300-8500 W. and 12400-13100 S. from A-2 (Agricultural) and M-2 (Industrial) to P-C (Planned Community); and 3) PC Zone Plan/Master Development Agreement.",4700,,Public Hearings and Notices,Arlyn Bradshaw,Michael Jensen,Pass,approved,13,11
28448,2903,138,Utah Association of Counties Board Appointment,4757,,Discussion Items,Arlyn Bradshaw,Michael Jensen,Pass,ratified,19,22
28453,2903,138,"2019 Budget Adjustment: Facilities Services Request for $200,000 Appropriation Unit Shift (Personnel to Cost of Goods Sold) to Account for 2019 Cost of Materials",4754,,Discussion Items,Arlyn Bradshaw,Michael Jensen,Pass,ratified,15,14
28454,2903,138,"Budget Adjustment: Health Department’s Request to Recognize VW Settlement Grant for 20 Electric Vehicle Charges at the Environmental Health Facility ($603,095 in Revenue and Expense)",4755,,Discussion Items,Arlyn Bradshaw,Michael Jensen,Pass,ratified,16,16
28455,2903,138,"Budget Adjustment: Youth Services Request to Simplify Accounting Between Youth Services, Behavioral Health, and Housing Connect for the Milestone Housing Program",4756,,Discussion Items,Arlyn Bradshaw,Michael Jensen,Pass,ratified,17,18
28457,2903,138,"A Resolution of the Salt Lake County Council approving the recommendation of the Salt Lake County Council of Governments and authorizing the execution of an interlocal cooperation agreement providing for the transfer of $145,000.00 of County Corridor Preservation funds to the city of West Jordan to be used by the city to acquire certain property for transportation purposes",4724,,Consent Item,,,,,22,26
28696,2903,138,,,,,,,,,,12
28697,2903,138,,,,,,,,,,15
28698,2903,138,,,,,,,,,,17
28699,2903,138,,,,,,,,,,19
28700,2903,138,,,,,,,,,,21
28701,2903,138,,,,,,,,,,23
28703,2903,138,,,,,,,,,,28
28704,2903,138,,,,,,,,,,39
28705,2903,138,,,,,,,,,,41
28706,2903,138,,,,,,,,,,43
28707,2903,138,,,,,,,,,,45
28708,2903,138,,,,,,,,,,47
28709,2903,138,,,,,,,,,,49
28710,2903,138,,,,,,,,,,51
28711,2903,138,,,,,,,,,,55
28712,2903,138,,,,,,,,,,57
28713,2903,138,,,,,,,,,,59
28714,2903,138,,,,,,,,,,61
28715,2903,138,,,,,,,,,,64
27950,2904,138,"Upon request and with three working days’ notice, Salt Lake County will provide free auxiliary aids and services to qualified individuals (including sign language interpreters, alternative formats, etc.). For assistance, please call (385) 468-7500 – TTY 711. ",,,,,,,,1,
27951,2904,138,Members of the Council May Participate Electronically. The Public May Attend. Meetings May Be Closed For Reasons Allowed By Statute. ,,,,,,,,2,
27952,2904,138,CALL TO ORDER ,,,,,,,,3,1
27961,2904,138,PUBLIC HEARINGS AND NOTICES ,,,,,,,,4,2
28021,2904,138,ADJOURN,,,,,,,,6,6
28022,2904,138,"Public Hearing to receive public comments regarding the Olympia Hills Planned Development Community, including: 1) amendment of the Southwest Community General Plan; 2) amendment of the Salt Lake County zoning ordinance to rezone property located at approximately 6300-8500 W. and 12400-13100 S. from A-2 (Agricultural) and M-2 (Industrial) to P-C (Planned Community); and 3) PC Zone Plan/Master Development Agreement.",4707,,Public Hearings and Notices,Michael Jensen,Steve DeBry,Pass,open the public hearing,5,3
28107,2904,138,,,,,Arlyn Bradshaw,Steve DeBry,Pass,closed the public hearing,,4
28108,2904,138,,,,,,,,,,5
27789,2909,138,"Upon request and with three working days’ notice, Salt Lake County will provide free auxiliary aids and services to qualified individuals (including sign language interpreters, alternative formats, etc.). For assistance, please call (385) 468-7500 – TTY 711. ",,,,,,,,1,
27790,2909,138,Members of the Council May Participate Electronically. The Public May Attend. Meetings May Be Closed For Reasons Allowed By Statute. ,,,,,,,,2,
27791,2909,138,CALL TO ORDER ,,,,,,,,3,1
27792,2909,138,"Invocation - Reading - Thought 

",,,,,,,,4,2
27793,2909,138,Pledge of Allegiance,,,,,,,,5,3
27794,2909,138,CITIZEN PUBLIC INPUT ,,,,,,,,6,5
27795,2909,138,REPORT OF ELECTED OFFICIALS: ,,,,,,,,7,6
27796,2909,138,Council Members,,,,,,,,8,7
27797,2909,138,Other Elected Officials,,,,,,,,9,9
27798,2909,138,Mayor,,,,,,,,10,10
27799,2909,138,"PROCLAMATIONS, DECLARATIONS, AND OTHER CEREMONIAL OR COMMEMORATIVE MATTERS",,,,,,,,11,12
27800,2909,138,PUBLIC HEARINGS AND NOTICES ,,,,,,,,12,14
27801,2909,138,"Notice of Cancellation of Meeting for January 21, 2020",4699,,Public Hearings and Notices,,,,,14,17
27802,2909,138,"Notice of Public Hearing at 6:00 PM in the Auditorium of the Copper Mountain Middle School Located at 12106 South Anthem Park Blvd. (5600 W) in Herriman, Utah  to receive public comment regarding the Olympia Hills Planned Development Community, including: 1) amendment of the Southwest Community General Plan; 2) amendment of the Salt Lake County zoning ordinance to rezone property located at approximately 6300-8500 W. and 12400-13100 S. from A-2 (Agricultural) and M-2 (Industrial) to P-C (Planned Community); and 3) PC Zone Plan/Master Development Agreement.",4700,,Public Hearings and Notices,,,,,13,15
27803,2909,138,RATIFICATION OF DISCUSSION ITEM ACTIONS IN COMMITTEE OF THE WHOLE ,,,,,,,,15,19
27804,2909,138,"An Ordinance Amending Section 3.070.060 of the Salt Lake County Code of Ordinances, 2001, Entitled “Determination of Operating Expenses”",4682,,Discussion Items,,,,,16,21
27805,2909,138,Tax System Strategy,4687,,Discussion Items,Arlyn Bradshaw,Michael Jensen,Pass,ratified,17,23
27808,2909,138,RATIFICATION OF CONSENT ITEM ACTIONS IN COMMITTEE OF THE WHOLE ,,,,Arlyn Bradshaw,Michael Jensen,Pass,ratified,18,25
27843,2909,138,"A Resolution of the Salt Lake County Council approving the recommendation of the Salt Lake County Council of Governments and authorizing the execution of an interlocal cooperation agreement providing for the transfer of $365,000.00 of County Corridor Preservation funds to the city of Cottonwood Heights to be used by the city to acquire certain property for transportation purposes.",4689,,Consent Item,,,,,25,33
27844,2909,138,Appointment of Mitch Park as an Alternate Representative of the Council to the Fleet Management Board,4690,,Consent Item,,,,,19,27
27845,2909,138,"Donation of 5,000 Chocolate Bars From Jan M. Olpin to Inmates of Salt Lake County Jail - Estimated Value of $2,500",4691,,Consent Item,,,,,22,30
27846,2909,138,Appointment of Travis Evans to the Salt Lake County Bicycle Advisory Board,4693,,Consent Item,,,,,20,28
27848,2909,138,Appointment of Christine Gianchetta Nguyen to the Housing Connect Board of Commissioners,4695,,Consent Item,,,,,21,29
27849,2909,138,Reappointment of Patrick Fleming to the Behavioral Health Services Advisory Council (BHSAC) for his second-term.,4696,,Consent Item,,,,,23,31
27850,2909,138,Reappointment of Daniel Braun to the Behavioral Health Services Advisory Council (BHSAC) for his second-term.,4698,,Consent Item,,,,,24,32
27851,2909,138,TAX LETTERS,,,,,,,,27,36
27853,2909,138,LETTERS FROM OTHER OFFICES,,,,,,,,29,38
27854,2909,138,PRIVATE BUSINESS DISCLOSURES,,,,,,,,30,39
27855,2909,138,Disclosure Form of Linda Duffy of Clerk’s Office,4688,,Private Business Disclosures,Arlyn Bradshaw,Michael Jensen,Pass,received and filed,31,40
27856,2909,138,APPROVAL OF MINUTES,,,,,,,,34,46
27857,2909,138,ADJOURN,,,,,,,,35,48
27890,2909,138,Tax Administration’s Tax Letters,4702,,Tax Letters,Arlyn Bradshaw,Michael Jensen,Pass,approved,28,37
27891,2909,138,"Surveyor’s Business Disclosures 
	Allycen Fransworth
	Jeremy Brodney",4703,,Private Business Disclosures,Arlyn Bradshaw,Michael Jensen,Pass,received and filed,32,42
27892,2909,138,Business Disclosure  of Anna Gallagher of Treasurer’s Office,4704,,Private Business Disclosures,Arlyn Bradshaw,Michael Jensen,Pass,received and filed,33,44
28091,2909,138,"Formal Adoption of an Ordinance Approving the Rezone of Property Located at 8700 South 700 West.  Re-zone from A-2 (Agricultural) to M-2 (Manufacturing).  The Rezone is for a 7.01 Acre-Southern Portion of the 25.51 Acre Parcel 

The Public Hearing was held on January 7,2020 - File No. 19-1478",4659,,Discussion Items,Arlyn Bradshaw,Michael Jensen,Pass,approved,26,34
28092,2909,138,,,,,,,,,,47
28093,2909,138,,,,,,,,,,41
28094,2909,138,,,,,,,,,,43
28095,2909,138,,,,,,,,,,45
28096,2909,138,,,,,,,,,,35
28097,2909,138,,,,,,,,,,26
28098,2909,138,,,,,,,,,,24
28099,2909,138,,,,,,,,,,22
28100,2909,138,,,,,,,,,,16
28101,2909,138,,,,,,,,,,18
28102,2909,138,,,,,,,,,,4
28103,2909,138,,,,,,,,,,8
28104,2909,138,,,,,,,,,,20
28105,2909,138,,,,,,,,,,11
28106,2909,138,,,,,,,,,,13
28611,2918,138,"Upon request and with three working days’ notice, Salt Lake County will provide free auxiliary aids and services to qualified individuals (including sign language interpreters, alternative formats, etc.). For assistance, please call (385) 468-7500 – TTY 711. ",,,,,,,,1,
28612,2918,138,Members of the Council May Participate Electronically. The Public May Attend. Meetings May Be Closed For Reasons Allowed By Statute. ,,,,,,,,2,
28613,2918,138,CALL TO ORDER ,,,,,,,,3,1
28614,2918,138,"Invocation - Reading - Thought 

",,,,,,,,4,2
28615,2918,138,Pledge of Allegiance,,,,,,,,5,3
28616,2918,138,CITIZEN PUBLIC INPUT ,,,,,,,,6,4
28617,2918,138,REPORT OF ELECTED OFFICIALS: ,,,,,,,,7,5
28618,2918,138,Council Members,,,,,,,,8,6
28619,2918,138,Other Elected Officials,,,,,,,,9,8
28620,2918,138,Mayor,,,,,,,,10,9
28621,2918,138,"PROCLAMATIONS, DECLARATIONS, AND OTHER CEREMONIAL OR COMMEMORATIVE MATTERS",,,,,,,,11,11
28622,2918,138,"Mayor Jenny Wilson will read and present the proclamation to Rev. France Davis. Rev. France Davis has employed his academic and spiritual scholarship, his duty to faith, his dedication to education and civil rights, and his love for others to improve and enhance the quality of life not only for his congregation, but also for residents throughout Salt Lake County and the State of Utah",4777,,"Proclamations, Declarations and Other Ceremonial or Commemorative Matters",Arlyn Bradshaw,Steve DeBry,Pass,approved,12,12
28623,2918,138,PUBLIC HEARINGS AND NOTICES ,,,,,,,,13,14
28624,2918,138,RATIFICATION OF DISCUSSION ITEM ACTIONS IN COMMITTEE OF THE WHOLE ,,,,,,,,15,17
28627,2918,138,"2019 Budget Adjustment: Treasurer’s Request for $5,000 Appropriation Unit Shift (Operations to Personnel) for 2019 Personnel Costs",4779,,Discussion Items,Arlyn Bradshaw,Steve DeBry,Pass,ratified,17,20
28628,2918,138,Budget Adjustment: TRCC’s Request to Correct Accounting Allocations for Two Contributions: Draper City Playground and Millcreek City Playground,4781,,Discussion Items,Arlyn Bradshaw,Steve DeBry,Pass,ratified,18,22
28630,2918,138,RATIFICATION OF CONSENT ITEM ACTIONS IN COMMITTEE OF THE WHOLE ,,,,Arlyn Bradshaw,Steve DeBry,Pass,approved the Consent Agenda,20,26
28671,2918,138,A Resolution of the Salt Lake County Council Approving and Authorizing the Mayor to Grant a Perpetual Easement to Magna Water District.,4780,,Consent Item,,,,,21,28
28674,2918,138,TAX LETTERS,,,,,,,,22,29
28676,2918,138,Assessor Tax Letters,4778,,Tax Letters,Arlyn Bradshaw,Steve DeBry,Pass,approved,23,30
28677,2918,138,LETTERS FROM OTHER OFFICES,,,,,,,,24,32
28678,2918,138,PRIVATE BUSINESS DISCLOSURES,,,,,,,,25,33
28679,2918,138,Business Disclosures From Surveyor’s Office,4768,,Private Business Disclosures,Arlyn Bradshaw,Steve DeBry,Pass,received and filed,26,34
28680,2918,138,"Business Disclosures From Human Resources
Alison Smith, Erika Fihaki Relative
Nilsa Carter, Larry Carter Spouse
Nilsa Carter, Robert Feliciano Relative
Stephanie Ross, Carole Knowles Relative",4771,,Private Business Disclosures,Arlyn Bradshaw,Steve DeBry,Pass,approved,27,36
28681,2918,138,Business Disclosures From Council,4785,,Private Business Disclosures,Arlyn Bradshaw,Steve DeBry,Pass,approved,28,38
28682,2918,138,APPROVAL OF MINUTES,,,,,,,,30,42
28683,2918,138,ADJOURN,,,,,,,,32,45
28686,2918,138,Agenda Preparation for Committee of the Whole and Council Meetings,4733,,Discussion Items,Arlyn Bradshaw,Steve DeBry,Pass,ratified,16,18
28688,2918,138,Legislative Update,4786,,Discussion Items,Arlyn Bradshaw,Steve DeBry,Pass,ratified,19,24
28691,2918,138,"Notice of Cancellation of February 18, 2020 Council Meeting",4788,,Consent Item,Arlyn Bradshaw,Steve DeBry,Pass,approved,14,15
28716,2918,138,"Approval of Council Public Hearing Minutes for January 28, 2020",4792,,Minutes,Arlyn Bradshaw,Steve DeBry,Pass,approved,31,43
28726,2918,138,Business Disclosures From Assessor’s Office,4793,,Private Business Disclosures,Arlyn Bradshaw,Steve DeBry,Pass,received and filed,29,40
28895,2918,138,,,,,,,,,,13
28896,2918,138,,,,,,,,,,16
28897,2918,138,,,,,,,,,,19
28898,2918,138,,,,,,,,,,21
28899,2918,138,,,,,,,,,,23
28900,2918,138,,,,,,,,,,25
28901,2918,138,,,,,,,,,,27
28902,2918,138,,,,,,,,,,31
28903,2918,138,,,,,,,,,,35
28904,2918,138,,,,,,,,,,37
28905,2918,138,,,,,,,,,,39
28906,2918,138,,,,,,,,,,41
28907,2918,138,,,,,,,,,,44
28908,2918,138,,,,,,,,,,10
28909,2918,138,,,,,,,,,,7
28806,2919,138,"Upon request and with three working days’ notice, Salt Lake County will provide free auxiliary aids and services to qualified individuals (including sign language interpreters, alternative formats, etc.). For assistance, please call (385) 468-7500 – TTY 711. ",,,,,,,,1,
28807,2919,138,Members of the Council May Participate Electronically. The Public May Attend. Meetings May Be Closed For Reasons Allowed By Statute. ,,,,,,,,2,
28808,2919,138,CALL TO ORDER ,,,,,,,,3,1
28809,2919,138,"Invocation - Reading - Thought 

",,,,,,,,4,2
28810,2919,138,Pledge of Allegiance,,,,,,,,5,3
28811,2919,138,CITIZEN PUBLIC INPUT ,,,,,,,,6,4
28812,2919,138,REPORT OF ELECTED OFFICIALS: ,,,,,,,,7,5
28813,2919,138,Council Members,,,,,,,,8,6
28814,2919,138,Other Elected Officials,,,,,,,,9,7
28815,2919,138,Mayor,,,,,,,,10,8
28816,2919,138,"PROCLAMATIONS, DECLARATIONS, AND OTHER CEREMONIAL OR COMMEMORATIVE MATTERS",,,,,,,,11,9
28817,2919,138,PUBLIC HEARINGS AND NOTICES ,,,,,,,,13,12
28818,2919,138,RATIFICATION OF DISCUSSION ITEM ACTIONS IN COMMITTEE OF THE WHOLE ,,,,,,,,16,15
28820,2919,138,"Budget Adjustment: Public Works Request’s to Increase Unincorporated Community Outreach Specialist to Full-time and Transfer to The Office of Regional Development. This Request will also True-up Unincorporated Expense by $800,000.",4796,,Discussion Items,Arlyn Bradshaw,Shireen Ghorbani,Pass,ratified,17,16
28823,2919,138,"Final Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Chapter Section 2.97.050 of the Salt Lake County Code of Ordinances, 2001, Entitled “Debt Review Committee” Redefining Principal Amount Outstanding to Include Unamortized Premium",4816,,Discussion Items,,,,,22,26
28824,2919,138,Agenda Preparation for Committee of the Whole and Council Meetings,4818,,Discussion Items,Arlyn Bradshaw,Shireen Ghorbani,Pass,ratified,18,18
28825,2919,138,RATIFICATION OF CONSENT ITEM ACTIONS IN COMMITTEE OF THE WHOLE ,,,,Arlyn Bradshaw,Shireen Ghorbani,Pass,ratified,23,27
28863,2919,138,A Resolution of the County Council of Salt Lake County Approving a Second Amendment to the Interlocal Cooperation Agreement Between Salt Lake County and the Natural History Museum of Utah,4766,,Consent Item,,,,,24,29
