stem,format,extraction_method,chars
ord1675_n1020407_f1318487,text,pdftotext -layout,867
ord1678_n1032189_f1339841,text,pdftotext -layout,862
ord1679_n1032195_f1339847,text,pdftotext -layout,860
ord1680_n1028727_f1333601,text,pdftotext -layout,735
ord1681_n1033031_f1341479,text,pdftotext -layout,678
ord1682_n1020399_f1354887,text,pdftotext -layout,723
ord1682_n1020399_f1354889,text,pdftotext -layout,723
ord1683_n1039841_f1354897,text,pdftotext -layout,872
ord1684_n1039845_f1354903,text,pdftotext -layout,845
ord1685_n1039847_f1354905,text,pdftotext -layout,843
ord1686_n1043562_f1361748,text,pdftotext -layout,926
ord1687_n1043564_f1361752,text,pdftotext -layout,841
ord1688_n1046805_f1368411,text,pdftotext -layout,758
ord1688_n1078277_f1428499,text,pdftotext -layout,844
ord1689_n1046809_f1368421,text,pdftotext -layout,754
ord1689_n1078281_f1428505,text,pdftotext -layout,840
ord1690_n1046813_f1368423,text,pdftotext -layout,756
ord1690_n1078283_f1428507,text,pdftotext -layout,841
ord1691_n1046829_f1368455,text,pdftotext -layout,752
ord1691_n1078285_f1428511,text,pdftotext -layout,838
ord1692_n1043566_f1361754,text,pdftotext -layout,699
ord1693_n1043572_f1361762,text,pdftotext -layout,737
ord1694_n1043578_f1361764,text,pdftotext -layout,661
ord1695_n1046835_f1368465,text,pdftotext -layout,665
ord1696_n1046837_f1368467,text,pdftotext -layout,760
ord1697_n1053725_f1379913,text,pdftotext -layout,825
ord1698_n1050625_f1374111,text,pdftotext -layout,748
ord1699_n1057575_f1387561,text,pdftotext -layout,1021
ord1700_n1057577_f1387565,text,pdftotext -layout,1019
ord1701_n1060929_f1394131,text,pdftotext -layout,678
ord1702_n1060931_f1394133,text,pdftotext -layout,679
ord1703_n1060933_f1394135,text,pdftotext -layout,651
ord1704_n1060935_f1394137,text,pdftotext -layout,660
ord1705_n1060937_f1394139,text,pdftotext -layout,623
ord1706_n1063717_f1399899,text,pdftotext -layout,870
ord1707_n1063721_f1399907,text,pdftotext -layout,866
ord1708_n1068687_f1410081,text,pdftotext -layout,758
ord1709_n1068689_f1410083,text,pdftotext -layout,887
ord1710_n1068693_f1410087,text,pdftotext -layout,897
ord1711_n1068695_f1410089,text,pdftotext -layout,750
ord1712_n1071495_f1415547,text,pdftotext -layout,649
ord1713_n1071531_f1415591,text,pdftotext -layout,885
ord1714_n1071533_f1415593,text,pdftotext -layout,881
ord1715_n1071497_f1415549,text,pdftotext -layout,703
ord1716_n1071499_f1415551,text,pdftotext -layout,778
ord1716_n1078289_f1428515,text,pdftotext -layout,862
ord1717_n1071505_f1415563,text,pdftotext -layout,787
ord1717_n1078293_f1428523,text,pdftotext -layout,868
ord1718_n1087971_f1446777,text,pdftotext -layout,882
ord1719_n1087977_f1446789,text,pdftotext -layout,734
ord1720_n1087981_f1446795,text,pdftotext -layout,796
ord1722_n1087983_f1446797,text,pdftotext -layout,688
ord1723_n1087987_f1446801,text,pdftotext -layout,662
ord1724_n1087993_f1446805,text,pdftotext -layout,890
ord1725_n1087997_f1446809,text,pdftotext -layout,886
ord1726_n1094459_f1459785,text,pdftotext -layout,666
