ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,code_section,adoption_date_raw,codified,linkage_note,minutes_source
2021-10,2021-06-23,2021-06-23,Civilian Review Board,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,2.70.010 — 2.70.090,6-23-2021,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2021-11,2021-07-28,2021-07-28,Tree Abatement Grant Fund,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,12.52.110,7-28-2021,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2021-12,2021-08-02,2021-08-02,Zoning map,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,8- 2-2021,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2021-13,2021-08-11,2021-08-11,General Plan (2040),https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,8-11-2021,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2021-14,2021-08-25,2021-08-25,City facilities and acceptance of sponsorships,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,2.71.010 — 2.71.090,8-25-2021,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2021-15,2021-08-25,2021-08-25,Budget,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,Not included,8-25-2021,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2021-16,2021-10-27,2021-10-27,Curbside glass recycling,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.100 F.,10-27-2021,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2021-17,2021-10-27,2021-10-27,Stormwater utility,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,13.25.010—13.25.070,10-27-2021,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2021-18,2021-12-01,2021-12-01,Zoning,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,12- 1-2021,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-01,2022-01-26,2022-01-26,Fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.060,1-26-2022,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-02,2022-02-23,2022-02-23,Civilian Review Board,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,2.70.020,2-23-2022,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-03,2022-02-23,2022-02-23,Elected officials' compensation commission,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,2.32.050,2-23-2022,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-05,2022-03-23,2022-03-23,Utilities fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.100 A.,3-23-2022,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-06,2022-03-23,2022-03-23,Salary of the mayor,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,2.04.065,3-23-2022,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-07,2022-04-13,2022-04-13,South Salt Lake Strategic Mobility Plan,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,Not codified,4-13-2022,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-08,2022-04-13,2022-04-13,Administration; designation of the floodplain administrator,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,15.04.070 A.,4-13-2022,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-09,2022-04-27,2022-04-27,"Building, planning, and zoning fees",https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,3.11.040 E.,4-27-2022,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-10,2022-04-27,2022-04-27,Election district boundaries and map,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,Not included,4-27-2022,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-11,2022-05-11,2022-05-11,Vacating an alley,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,Not included,5-11-2022,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-12,2022-05-25,2022-05-25,Tracy Aviary's Jordan River Nature Center (JRNC) District,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.01.010,5-25-2022,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-13,2022-07-14,2022-07-14,Employee hiring,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,2.60.020 C.1.,7-14-2022,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-14,2022-08-11,2022-08-11,Public safety service property tax,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,Not included,8-11-2022,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-15,2022-08-24,2022-08-24,Zoning definitions,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.01.010,8-24-2022,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-16,2022-09-14,2022-09-14,"Amending sections in chapters 17.03 — 17.07 , 17.10 and 17.11",https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.03.010,9-14-2022,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-17,2022-09-14,2022-09-14,Zoning map,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,9-14-2022,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-18,2022-10-12,2022-10-12,Zoning map,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,10-12-2022,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2022-19,2022-10-26,2022-10-26,Increasing the number of city alcoholic beverage licenses,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,5.04.180C.,10-26-2022,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2023-1,2023-02-08,2023-02-08,Zoning map,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,2- 8-2023,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2023-3,2023-02-08,2023-02-08,Zoning map,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,2- 8-2023,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2023-04,2023-02-22,2023-02-22,Backflow devices and fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,13.60.030,2-22-2023,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2023-05,2023-02-22,2023-02-22,Vacating a public right-of-way,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,2-22-2023,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2023-6,2023-04-12,2023-04-12,"Fees for building, planning, and zoning",https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,3.11.040,4-12-2023,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2023-7,2023-04-12,2023-04-12,Fees for animal services,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.010,4-12-2023,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2023-8,2023-04-12,2023-04-12,Fees for administrative enforcment,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.050,4-12-2023,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2023-9,2023-04-12,2023-04-12,Fees for recreational vehicle parking permit fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.070,4-12-2023,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2023-10,2023-04-26,2023-04-26,Fees for business licensing,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.030,4-26-2023,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2023-14,2023-06-07,2023-06-07,Fees for parks and community centers and updating names for city owned facilities,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.110,6- 7-2023,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2023-26,2023-07-12,2023-07-12,Amending duties and responsibilities of the city attorney's office,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,2.24.010,7-12-2023,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2023-28,2023-07-26,2023-07-26,Amends technical errors and township development and design standards,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.03.260,7-26-2023,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2023-27,2023-09-12,2023-09-12,"Amending general development, design standards, and subdivision platting standards",https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.06.010 — 17.06.300,9-12-2023,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2024-08,2024-07-31,2024-07-31,Amending purchasing and procurement procedures,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.12.010,7-31-2024,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2024-09,2024-07-31,2024-07-31,Adopting an amended and updated impact fee facilities plan and impact fee analysis,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,"15.01.200 , 15.01.210",7-31-2024,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2024-10,2024-07-31,2024-07-31,Fees relating to city's culinary water impact fee and calculation,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,"15.01.200 , 15.01.210",7-31-2024,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2024-11,2024-07-31,2024-07-31,Fees relating to culinary impact fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.040,7-31-2024,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2024-24,2024-08-28,2024-08-28,Amends to allow for exceptions for underground service connections for existing utilities,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.10.190,8-28-2024,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2024-25,2024-08-28,2024-08-28,Authorizing dissolution of Central Pointe Urban Renewal Project Area,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,Not included,8-28-2024,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2024-26,2024-09-25,2024-09-25,Off-premises beer sales; updating definitions,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.01.010,9-25-2024,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2024-27,2024-10-23,2024-10-23,Glass recycling fee,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.100 F.,10-23-2024,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2024-28,2024-12-11,2024-12-11,Updating definitions; FINCH facility zone; homeless shelters,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.01.010,12-11-2024,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-01,2025-01-22,2025-01-22,Public places and camping,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,"Ch. 12.54 , §§ 12.54.010 —12.54.080",1-22-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
