ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,pmn_notice_id,pmn_notice_url,pmn_event_date,adoption_date_source,linkage_note
O21-25,2021-09-21,2021-09-21,O21-25 Accessory Dwelling Units (ADU's),https://www.utah.gov/pmn/files/764963.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-25_n705897_f764963.pdf,yes,Motion passed 5-0,2021-09-21,3,medium,705897,https://www.utah.gov/pmn/sitemap/notice/705897.html,2021-09-21,pdf+calendar,
O21-26,2021-10-05,2021-10-05,O21-26 Non-Profit Utility Payment Assistance,https://www.utah.gov/pmn/files/771473.pdf,2026-07-13,text,pdftotext -layout (born-digital PDF),raw/O21-26_n709815_f771473.pdf,no,Motion passed 4-0,2021-10-05,4,medium,709815,https://www.utah.gov/pmn/sitemap/notice/709815.html,2021-10-15,pdf+calendar,
O21-27,2021-10-19,2021-10-19,"O21-27 Impact Fee for Parks, Trails, and Recreation",https://www.utah.gov/pmn/files/773953.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-27_n711289_f773953.pdf,no,,2021-10-19,,low,711289,https://www.utah.gov/pmn/sitemap/notice/711289.html,2021-10-19,pdf+calendar,
O21-28,2021-10-19,2021-10-19,O21-28 Chapter 5 Village Mixed Use and Centers Mixed Use Zones,https://www.utah.gov/pmn/files/773963.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-28_n711293_f773963.pdf,yes,Motion passed 3-2,2021-10-19,5,medium,711293,https://www.utah.gov/pmn/sitemap/notice/711293.html,2021-10-19,pdf+calendar,
O21-29,2021-10-19,2021-10-19,O21-29 Amending Ch 15.08 Relating to Building Permits,https://www.utah.gov/pmn/files/773965.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-29_n711297_f773965.pdf,no,Motion passed 5-0,2021-10-19,6,medium,711297,https://www.utah.gov/pmn/sitemap/notice/711297.html,2021-10-19,pdf+calendar,
O21-30,2021-11-16,2021-11-16,O21-30 Amend Zoning Map for 5829 and 5837 South Majestic Pine Drive (Hansen and McDonough),https://www.utah.gov/pmn/files/786851.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-30_n718733_f786851.pdf,yes,Motion passed 4-0,2021-11-16,2,medium,718733,https://www.utah.gov/pmn/sitemap/notice/718733.html,2021-11-16,pdf+calendar,
O21-31,2021-12-07,2021-12-07,O21-31 Radiopharmaceutical Manufacturing,https://www.utah.gov/pmn/files/794031.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-31_n723457_f794031.pdf,yes,,2021-12-07,,low,723457,https://www.utah.gov/pmn/sitemap/notice/723457.html,2021-12-07,pdf+calendar,
O21-32,2021-12-07,2021-12-07,O21-32 Amending Land Use (5700 S 800 W),https://www.utah.gov/pmn/files/794035.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-32_n723461_f794035.pdf,yes,Motion passed 3-2,2021-12-07,7,medium,723461,https://www.utah.gov/pmn/sitemap/notice/723461.html,2021-12-07,pdf+calendar,
O21-33,2021-12-07,2021-12-07,O21-33 Amending Land Use (871 W Tripp Lane),https://www.utah.gov/pmn/files/794037.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-33_n723463_f794037.pdf,yes,,2021-12-07,,low,723463,https://www.utah.gov/pmn/sitemap/notice/723463.html,2021-12-07,pdf+calendar,
O21-34,2021-12-07,2021-12-07,"O21-34 Amending Zoning Map (5283, 5217, 5157, 5177 South State and 151 E 5300 S))",https://www.utah.gov/pmn/files/794039.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-34_n723465_f794039.pdf,yes,,2021-12-07,,low,723465,https://www.utah.gov/pmn/sitemap/notice/723465.html,2021-12-07,pdf+calendar,
O22-01,2022-01-04,2022-01-04,O22-01 Ordinance Adjusting the Murray City Municipal Council District Boundaries,https://www.utah.gov/pmn/files/799547.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-01_n727825_f799547.pdf,no,Motion passed 4-0,2022-01-04,3,medium,727825,https://www.utah.gov/pmn/sitemap/notice/727825.html,2022-01-04,pdf+calendar,
O22-03,2022-01-18,2022-01-18,O22-03 Amending City Fiscal Year 2021-2022 Budget,https://www.utah.gov/pmn/files/805119.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-03_n730925_f805119.pdf,no,Motion passed 3-0,2022-01-18,2,medium,730925,https://www.utah.gov/pmn/sitemap/notice/730925.html,2022-01-18,pdf+calendar,
O22-04,2022-02-01,2022-02-01,O22-04 606 E Sunny Flowers Lane,https://www.utah.gov/pmn/files/811045.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-04_n734231_f811045.pdf,yes,Motion passed 4-0,2022-02-01,3,medium,734231,https://www.utah.gov/pmn/sitemap/notice/734231.html,2022-02-01,pdf+calendar,
O22-05,2022-02-01,2022-02-01,O22-05 5322 S Allendale Dr and 666 West 5300 South,https://www.utah.gov/pmn/files/811245.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-05_n734255_f811245.pdf,yes,Motion passed 4-0,2022-02-01,4,medium,734255,https://www.utah.gov/pmn/sitemap/notice/734255.html,2022-02-01,pdf+calendar,
O22-06,2022-02-15,2022-02-15,O22-06 Amending Zone at 1079 East Vine Street,https://www.utah.gov/pmn/files/816745.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-06_n737569_f816745.pdf,yes,Motion passed 5-0,2022-02-15,3,medium,737569,https://www.utah.gov/pmn/sitemap/notice/737569.html,2022-02-15,pdf+calendar,
O22-07,2022-02-15,2022-02-15,O22-07 Amend Section 17.112.020 Relating to Twin-Homes in R-2-10 Zone,https://www.utah.gov/pmn/files/816747.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-07_n737571_f816747.pdf,yes,Motion passed 5-0,2022-02-15,4,medium,737571,https://www.utah.gov/pmn/sitemap/notice/737571.html,2022-02-15,pdf+calendar,
O22-08,2022-02-15,2022-02-15,O22-08 Increase Sewer Service Charge-Central Valley Water Reclamation Fee,https://www.utah.gov/pmn/files/816749.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-08_n737573_f816749.pdf,no,Motion passed 5-0,2022-02-15,5,medium,737573,https://www.utah.gov/pmn/sitemap/notice/737573.html,2022-02-15,pdf+calendar,
O22-09,2022-03-01,2022-03-01,O22-09 Amending Section 12.28.030 and 12.28.040 (Golf Course Fees),https://www.utah.gov/pmn/files/821735.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-09_n740591_f821735.pdf,no,Motion passed 4-0,2022-03-01,4,medium,740591,https://www.utah.gov/pmn/sitemap/notice/740591.html,2022-03-01,pdf+calendar,
O22-10,2022-03-01,2022-03-01,O22-10 Amending Ch. 2.68 (MCCD Review Committee),https://www.utah.gov/pmn/files/821737.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-10_n740593_f821737.pdf,no,Motion passed 4-0,2022-03-01,7,medium,740593,https://www.utah.gov/pmn/sitemap/notice/740593.html,2022-03-01,pdf+calendar,
O22-11,2022-03-08,2022-03-08,O22-11 Amending Zoning for 6560 S 130 W,https://www.utah.gov/pmn/files/827245.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-11_n743721_f827245.pdf,yes,Motion passed 5-0,2022-03-08,2,medium,743721,https://www.utah.gov/pmn/sitemap/notice/743721.html,2022-03-08,pdf+calendar,
O22-12,2022-03-08,2022-03-08,O22-12 Vacating Alleyway 4860 S Poplar St,https://www.utah.gov/pmn/files/827247.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-12_n743723_f827247.pdf,yes,Motion passed 5-0,2022-03-08,3,medium,743723,https://www.utah.gov/pmn/sitemap/notice/743723.html,2022-03-08,pdf+calendar,
O22-13,2022-03-08,2022-03-08,O22-13 Vacating Alleyway for 4800 S,https://www.utah.gov/pmn/files/827249.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-13_n743725_f827249.pdf,yes,Motion passed 5-0,2022-03-08,4,medium,743725,https://www.utah.gov/pmn/sitemap/notice/743725.html,2022-03-08,pdf+calendar,
O22-14,2022-03-08,2022-03-08,O22-14 MCCD Repeal of 2011 Design Review Guidelines,https://www.utah.gov/pmn/files/827251.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-14_n743727_f827251.pdf,no,Motion passed 3-2,2022-03-08,5,medium,743727,https://www.utah.gov/pmn/sitemap/notice/743727.html,2022-03-08,pdf+calendar,
O22-15,2022-03-08,2022-03-08,O22-15 12.24.175 Authorizing Mayor to establish Parks and Rec Fees,https://www.utah.gov/pmn/files/827253.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-15_n743729_f827253.pdf,no,Motion passed 5-0,2022-03-08,7,medium,743729,https://www.utah.gov/pmn/sitemap/notice/743729.html,2022-03-08,pdf+calendar,
O22-16,2022-04-05,2022-04-05,O22-16 Amending City's Fiscal Year 2021-2022 Budget,https://www.utah.gov/pmn/files/836111.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-16_n748765_f836111.pdf,no,Motion passed 3-0,2022-04-05,4,medium,748765,https://www.utah.gov/pmn/sitemap/notice/748765.html,2022-04-05,pdf+calendar,
O22-17,2022-04-19,2022-04-19,O22-17 Amending Section 17.144.020 and 17.144.030 Conditional Uses in G-O Zone,https://www.utah.gov/pmn/files/841949.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-17_n752069_f841949.pdf,yes,Motion passed 5-0,2022-04-19,4,medium,752069,https://www.utah.gov/pmn/sitemap/notice/752069.html,2022-04-19,pdf+calendar,
O22-18,2022-04-19,2022-04-19,O22-18 Fees for Murray Park Outdoor Swimming Pool,https://www.utah.gov/pmn/files/841951.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-18_n752071_f841951.pdf,no,Motion passed 3-2,2022-04-19,6,medium,752071,https://www.utah.gov/pmn/sitemap/notice/752071.html,2022-04-19,pdf+calendar,
O22-19,2022-04-19,2022-04-19,O22-19 Relating to Trespass on Golf Course Property,https://www.utah.gov/pmn/files/841953.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-19_n752073_f841953.pdf,no,Motion passed 5-0,2022-04-19,7,medium,752073,https://www.utah.gov/pmn/sitemap/notice/752073.html,2022-04-19,pmn-event,
O22-20,2022-05-03,2022-05-03,O22-20 AN ORDINANCE RELATING TO EMPLOYEE HOLIDAY VACATIONS,https://www.utah.gov/pmn/files/847111.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-20_n755135_f847111.pdf,yes,Motion passed 5-0,2022-05-03,2,medium,755135,https://www.utah.gov/pmn/sitemap/notice/755135.html,2022-05-03,pdf+calendar,
O22-21,2022-06-07,2022-06-07,O22-21 Fiscal Year 2021-2022 Budget,https://www.utah.gov/pmn/files/859325.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-21_n762685_f859325.pdf,no,Motion passed 5-0,2022-06-07,2,medium,762685,https://www.utah.gov/pmn/sitemap/notice/762685.html,2022-06-07,pdf+calendar,
O22-22,2022-06-07,2022-06-07,O22-22 Transfer of monies from Enterprise funds to other city funds,https://www.utah.gov/pmn/files/859327.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-22_n762687_f859327.pdf,no,Motion passed 5-0,2022-06-07,3,medium,762687,https://www.utah.gov/pmn/sitemap/notice/762687.html,2022-06-07,pdf+calendar,
O22-23,2022-07-05,2022-07-05,O22.23 Vacating Easement at 447 W 4800 S,https://www.utah.gov/pmn/files/868623.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-23_n768343_f868623.pdf,yes,Motion passed 5-0,2022-07-05,5,medium,768343,https://www.utah.gov/pmn/sitemap/notice/768343.html,2022-07-05,pdf+calendar,
O22-24,2022-08-09,2022-08-09,O22-24 Adopting the Rate of Tax Levies for FY2022-2023,https://www.utah.gov/pmn/files/880080.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-24_n775118_f880080.pdf,no,Motion passed 5-0,2022-08-09,2,medium,775118,https://www.utah.gov/pmn/sitemap/notice/775118.html,2022-08-09,pdf+calendar,
O22-25,2022-08-09,2022-08-09,"O22-25 Adopting Final FY 2022-23 Budget for Murray City, including Library Fund",https://www.utah.gov/pmn/files/880082.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-25_n775120_f880082.pdf,no,,2022-08-09,,low,775120,https://www.utah.gov/pmn/sitemap/notice/775120.html,2022-08-09,pdf+calendar,
O22-26,2022-09-06,2022-09-06,O22-26 Vacating Easement at 4994 South Commerce Dr,https://www.utah.gov/pmn/files/888659.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-26_n780105_f888659.pdf,yes,Motion passed 5-0,2022-09-06,2,medium,780105,https://www.utah.gov/pmn/sitemap/notice/780105.html,2022-09-06,pdf+calendar,
O22-27,2022-09-20,2022-09-20,O22-27 Amending the Fireclay Transportation Master Plan for RDA Project Area,https://www.utah.gov/pmn/files/895363.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-27_n784181_f895363.pdf,yes,Motion passed 4-0,2022-09-20,3,medium,784181,https://www.utah.gov/pmn/sitemap/notice/784181.html,2022-09-27,pdf+calendar,
O22-28,2022-09-20,2022-09-20,O22-28 Amending the City's Fiscal Year 2022-2023 Budget,https://www.utah.gov/pmn/files/895365.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-28_n784185_f895365.pdf,no,Motion passed 4-0,2022-09-20,5,medium,784185,https://www.utah.gov/pmn/sitemap/notice/784185.html,2022-09-27,pdf+calendar,
O22-29,2022-09-20,2022-09-20,O22-29 General Plan Chapter 9 -Moderate Income Housing Strategies,https://www.utah.gov/pmn/files/895367.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-29_n784187_f895367.pdf,yes,,2022-09-20,,low,784187,https://www.utah.gov/pmn/sitemap/notice/784187.html,2022-09-27,pdf+calendar,
O22-31,2022-10-04,2022-10-04,O22-31 Zoning Amendment for 98 W Winchester,https://www.utah.gov/pmn/files/900989.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-31_n784189_f900989.pdf,yes,Motion passed 5-0,2022-10-04,4,medium,784189,https://www.utah.gov/pmn/sitemap/notice/784189.html,2022-10-12,pdf+calendar,
O22-32,2022-10-04,2022-10-04,O22-32 Zoning Amendment for 64 and 72 W Woodrow,https://www.utah.gov/pmn/files/900993.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-32_n787575_f900993.pdf,yes,,2022-10-04,,low,787575,https://www.utah.gov/pmn/sitemap/notice/787575.html,2022-10-12,pdf+calendar,
O22-33,2022-10-18,2022-10-18,AN ORDINANCE AMENDING CHAPTER 17 (LAND USE APPEALS AND VARIANCES),https://www.utah.gov/pmn/files/904251.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/UNNUM-789499_n789499_f904251.pdf,yes,Motion passed 4-1,2022-10-18,2,medium,789499,https://www.utah.gov/pmn/sitemap/notice/789499.html,2022-10-18,pmn-event,no number in PMN notice title; signed document prints O22-33
O22-34,2022-12-06,2022-12-06,O22-34 Ordinance relating to Land Use at 97 West Winchester Street,https://www.utah.gov/pmn/files/921483.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O22-34_n799777_f921483.pdf,yes,Motion passed 3-0,2022-12-06,2,medium,799777,https://www.utah.gov/pmn/sitemap/notice/799777.html,2022-12-06,pdf+calendar,
O23-01,2023-01-10,2023-01-10,O23-01 -  AN ORDINANCE AMENDING SECTION 3.04.050 OF THE MURRAY CITY MUNICIPAL CODE REGARDING ELECTRONIC PAYMENT FEES,https://www.utah.gov/pmn/files/930997.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-01_n805995_f930997.pdf,no,,2023-01-10,,low,805995,https://www.utah.gov/pmn/sitemap/notice/805995.html,2023-01-10,pdf+calendar,
O23-02,2023-01-17,2023-01-17,O23-02 Amending Fiscal Year 2022-2023 Budget,https://www.utah.gov/pmn/files/935073.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-02_n808289_f935073.pdf,no,Motion passed 5-0,2023-01-17,2,medium,808289,https://www.utah.gov/pmn/sitemap/notice/808289.html,2023-01-17,pdf+calendar,
O23-03,2023-02-07,2023-02-07,O23-03- AN ORDINANCE AMENDING SECTION 17.78.050 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO THE MINIMUM AREA REQUIRED FOR DETACHED ACCESSORY DWELLING UNITS.,https://www.utah.gov/pmn/files/941865.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-03_n812161_f941865.pdf,yes,Motion passed 5-0,2023-02-07,3,medium,812161,https://www.utah.gov/pmn/sitemap/notice/812161.html,2023-02-07,pdf+calendar,
O23-04,2023-03-07,2023-03-07,"O23-04 AN ORDINANCE AMENDING SECTIONS 17.170.120, 17.170.140, AND 17.170.160 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO THE MURRAY CITY CENTER DISTRICT (MCCD) ZONE (PDF)",https://www.utah.gov/pmn/files/958657.PDF,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-04_n821245_f958657.PDF,yes,Motion passes 5-0,2023-03-07,2,medium,821245,https://www.utah.gov/pmn/sitemap/notice/821245.html,2023-03-07,pdf+calendar,
O23-05,2023-04-04,2023-04-04,O23-05 AN ORDINANCE AMENDING THE CITY'S FISCAL YEAR 2022-2023 BUDGET,https://www.utah.gov/pmn/files/962617.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-05_n823599_f962617.pdf,no,Motion passed 3-0,2023-04-04,2,medium,823599,https://www.utah.gov/pmn/sitemap/notice/823599.html,2023-04-04,pdf+calendar,
O23-06,2023-04-18,2023-04-18,"O23-06 Repealing 7.04.020 and 13.48.060 relating to Operational Transfers of Solid Waste, Recycling, and Stormwater Fund",https://www.utah.gov/pmn/files/971339.PDF,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-06_n828871_f971339.PDF,no,Motion passes 4-0,2023-04-18,3,medium,828871,https://www.utah.gov/pmn/sitemap/notice/828871.html,2023-04-18,pdf+calendar,
O23-07,2023-06-06,2023-06-06,O23-07 AN ORDINANCE ADOPTING THE TRANSFER OF MONIES FROM ENTERPRISE FUNDS TO OTHER CITY FUNDS,https://www.utah.gov/pmn/files/993391.pdf,2026-07-13,text,pdftotext -layout (born-digital PDF),raw/O23-07_n842281_f993391.pdf,no,Motion passes 4-0,2023-06-06,3,medium,842281,https://www.utah.gov/pmn/sitemap/notice/842281.html,2023-06-06,pmn-event,
O23-08,2023-06-27,2023-06-27,O23-08 AN ORDINANCE AMENDING THE CITYS FISCAL YEAR 2022-2023 BUDGET,https://www.utah.gov/pmn/files/996419.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-08_n843943_f996419.pdf,no,Motion passes 5-0,2023-06-27,4,medium,843943,https://www.utah.gov/pmn/sitemap/notice/843943.html,2023-06-27,pdf+calendar,
O23-09,2023-06-27,2023-06-27,"O23-09 AN ORDINANCE AMENDING SECTION 15.20.250, OF THE MURRAY CITY MUNICIPAL CODE RELATING TO ELECTRICAL SERVICE SCHEDULE 35 FOR SOLAR RATES.",https://www.utah.gov/pmn/files/996423.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-09_n843947_f996423.pdf,no,,2023-06-27,,low,843947,https://www.utah.gov/pmn/sitemap/notice/843947.html,2023-06-27,pdf+calendar,
