notice_id,title,event,posted,desc,files
1020349,"O25-29 AN ORDINANCE AMENDING SECTIONS 17.08.020, 17.68.030, 17.68.040, AND 17.68.060 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO LANDSCAPING REQUIREMENTS.","August 26, 2025 06:30 PM","September 04, 2025 01:00 PM","AN ORDINANCE AMENDING SECTIONS 17.08.020, 17.68.030, 17.68.040, AND 17.68.060 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO LANDSCAPING REQUIREMENTS.",1318399.pdf
1020351,"O25-30 AN ORDINANCE AMENDING SECTIONS 17.92.080, 17.96.100, 17.100.100, 17.104.100, 17.108.100, 17.112.100, 17.116.070, 17.120.070, 17.124.070, AND 17.128.070 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO EXEMPTIONS INTO SETBACK AREAS FOR ALL RESIDENTIAL","August 26, 2025 06:30 PM","September 04, 2025 01:02 PM","AN ORDINANCE AMENDING SECTIONS 17.92.080, 17.96.100, 17.100.100, 17.104.100, 17.108.100, 17.112.100, 17.116.070, 17.120.070, 17.124.070, AND 17.128.070 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO EXEMPTIONS INTO SETBACK AREAS FOR ALL RESIDENTIAL ZONES.",1318403.pdf
1021195,O25-27 AN ORDINANCE AMENDING SECTION 15.20.150(E) AND SECTION 15.22.050 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO TRANSFORMER FEES FOR UPGRADED SERVICE AND PROJECT IMPROVEMENT ALLOWANCES PROVIDED BY THE CITY,"September 2, 2025 06:30 PM","September 08, 2025 01:09 PM",AN ORDINANCE AMENDING SECTION 15.20.150(E) AND SECTION 15.22.050 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO TRANSFORMER FEES FOR UPGRADED SERVICE AND PROJECT IMPROVEMENT ALLOWANCES PROVIDED BY THE CITY,1319789.pdf
1025187,"O25-28 AN ORDINANCE PERMANENTLY CLOSING AN ALLEYWAY LOCATED AT APPROXIMATELY 4822 SOUTH BETWEEN STATE STREET AND THE FORMALLY VACATED POPLAR STREET, MURRAY CITY, SALT LAKE COUNTY, STATE OF UTAH","September 16, 2025 06:30 PM","September 23, 2025 12:16 PM","AN ORDINANCE PERMANENTLY CLOSING AN ALLEYWAY LOCATED AT APPROXIMATELY 4822 SOUTH BETWEEN STATE STREET AND THE FORMALLY VACATED POPLAR STREET, MURRAY CITY, SALT LAKE COUNTY, STATE OF UTAH",1327497.pdf;1381071.pdf
1025189,"O25-31 AN ORDINANCE AMENDING SECTIONS 17.24.050, 17.96.020, 17.100.020, 17.104.020, 17.108.020, 17.112.020, 17.116.020, 17.120.020, 17.124.020, AND 17.128.020 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO THE MAXIMUM NUMBER OF CHILDRED PERMITTED AT...","September 16, 2025 06:30 PM","September 23, 2025 12:18 PM","AN ORDINANCE AMENDING SECTIONS 17.24.050, 17.96.020, 17.100.020, 17.104.020, 17.108.020, 17.112.020, 17.116.020, 17.120.020, 17.124.020, AND 17.128.020 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO THE MAXIMUM NUMBER OF CHILDRED PERMITTED AT A LICENSED IN-HOME DAY CARE.",1327501.pdf
1025191,O25-32 AN ORDINANCE AMENDING THE CITYS FISCAL YEAR 2025-2026 BUDGET,"September 16, 2025 06:30 PM","September 23, 2025 12:20 PM",AN ORDINANCE AMENDING THE CITY'S FISCAL YEAR 2025-2026 BUDGET,1327505.pdf
1044353,O25-33 Amends Zoning Map at 6446 South 900 East,"November 25, 2025 06:30 PM","December 09, 2025 12:58 PM","AN ORDINANCE RELATING TO LAND USE; AMENDS THE ZONING MAP FROM R-1-8 (SINGLE FAMILY LOW-DENSITY RESIDENTIAL) TO R-N-B (RESIDENTIAL NEIGHBORHOOD BUSINESS) FOR THE PROPERTY LOCATED AT 6446 SOUTH 900 EAST, MURRAY CITY",1363037.pdf
1044355,O25-34 Amends General Plan to Adopt and Add Murray City Water Use and Preservation Element,"November 25, 2025 06:30 PM","December 09, 2025 01:00 PM",AN ORDINANCE RELATED TO LAND USE; AMENDS THE GENERAL PLAN TO ADOPT AND ADD THE MURRAY CITY WATER USE AND PRESERVATION ELEMENT,1363039.pdf
1044359,"O25-35 Amending 3.52.060, 3.54.060, 3.56.070 RE No Fault Utility and Golf Ball Claims","November 25, 2025 06:30 PM","December 09, 2025 01:08 PM","AN ORDINANCE AMENDING SECTIONS 3.52.060, 3.54.060, AND 3.56.070  OF THE MURRAY CITY MUNICIPAL CODE RELATING TO NO FAULT UTILITY AND GOLF BALL CLAIMS.",1363041.pdf
1045441,O25-36 Fashion Place West Station Area Plan as an Element of the General Plan,"December 9, 2025 06:30 PM","December 12, 2025 12:46 PM","AN ORDINANCE RELATED TO LAND USE; AMENDS, UPDATES, AND RENAMES THE EXISTING FASHION PLACE WEST SMALL AREA PLAN TO THE FASHION PLACE WEST STATION AREA PLAN AS AN ELEMENT OF THE GENERAL PLAN",1365715.pdf
1045449,O25-37 Enacting 12.28.070 RE Collecting Fees for Outstanding Balances,"December 9, 2025 06:30 PM","December 12, 2025 12:48 PM","AN ORDINANCE ENACTING SECTION 12.28.070 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO COLLECTION FEES FOR OUTSTANDING BALANCES OWED TO THE CITY AND AMENDING SECTIONS 7.04.030, 12.30.010, 13.04.040 AND 13.48.050 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO THE SAME",1365721.pdf
1045457,O25-38 Enacting 2.11.030 regarding Code Enforcement,"December 9, 2025 06:30 PM","December 12, 2025 12:50 PM","AN ORDINANCE ENACTING SECTION 2.11.030 AND AMENDING SECTIONS 2.28.040, 17.67.060, 17.172.010 AND 17.172.020  OF THE MURRAY CITY MUNICIPAL CODE RELATING TO CODE ENFORCEMENT",1365753.pdf
1045459,O25-39 Enacting Title 11 Est Administrative Code Enforcement Program,"December 9, 2025 06:30 PM","December 12, 2025 12:51 PM",AN ORDINANCE ENACTING TITLE 11 OF THE MURRAY CITY MUNICIPAL CODE ESTABLSHING THE ADMINISTRATIVE CODE ENFORCEMENT PROGRAM,1365755.pdf
1051377,O26-01 Section 17.76.165 RE Residential Ponds,"January 6, 2026 06:30 PM","January 12, 2026 12:05 PM",An ordinance enacting section 17.76.175 of the Murray City Municipal Code relating to Residential Ponds.,1375389.pdf
1055271,O26-02 An Ordinance Amending the City's Fiscal Year 2025-2026 Budget,"January 20, 2026 06:30 PM","January 28, 2026 10:38 AM",An Ordinance Amending the City's Fiscal Year 2025-2026 Budget,1383377.pdf
1065079,O26-03 Vacating Utility Easement at 4998 S Galleria Dr and 4950 S Galleria Dr,"March 3, 2026 06:30 PM","March 10, 2026 10:03 AM",O26-03 Vacating Utility Easement at 4998 S Galleria Dr and 4950 S Galleria Dr,1402627.pdf
1073603,O26-04 Vacating Two Utility Easements at 4816 South State Street and 4837 S Poplar Street,"April 7, 2026 06:30 PM","April 16, 2026 02:15 PM","AN ORDINANCE VACATING TWO MUNICIPAL UTILITY EASEMENTS LOCATED AT APPROXIMATELY 4816 SOUTH STATE STREET AND 4837 SOUTH POPLAR STREET, MURRAY CITY, SALT LAKE COUNTY, STATE OF UTAH.",1419687.pdf;1438205.pdf
1078081,O26-05 An Ordinance Amending Section 17.48.140 and 17.48.170 of the Murray City Municipal Code Relating to Awning and Canopy Signs,"April 21, 2026 06:30 PM","May 05, 2026 12:52 PM",O26-05 An Ordinance Amending Section 17.48.140 and 17.48.170 of the Murray City Municipal Code Relating to Awning and Canopy Signs,1427929.pdf
1078085,O26-06 Dissolving Cherry Street Neighborhood Development Project Area,"April 21, 2026 06:30 PM","May 05, 2026 12:53 PM",O26-06 Dissolving Cherry Street Neighborhood Development Project Area,1427935.pdf;1431303.pdf;1445207.pdf
1078087,O26-07 Establishing a Temporary Land Use Regulation Pursuant to Utah Code Ann. Section 10-20-504 Relating to Multi-Family Development within the City,"April 21, 2026 06:30 PM","May 05, 2026 12:55 PM",O26-07 Establishing a Temporary Land Use Regulation Pursuant to Utah Code Ann. Section 10-20-504 Relating to Multi-Family Development within the City,1427941.pdf
1079697,O26-08 Amending 2.51.010 RE Appointment of Rep to Governing Board of Interlocal Entities and ULCT Legislative Policy Committee,"May 5, 2026 06:30 PM","May 11, 2026 03:05 PM",O26-08 Amending 2.51.010 RE Appointment of Rep to Governing Board of Interlocal Entities and ULCT Legislative Policy Committee,1431299.pdf
1086449,"O26-09 AN ORDINANCE AMENDING THE STANDARD LAND USE CODE (ORIGINALLY ADOPTED BY MURRAY CITY ON APRIL 7, 1987) TO CREATE AND ADD LAND USE CLASSIFICATION NUMBER 8230 FOR VETERINARY DENTISTRY","May 19, 2026 06:30 PM","June 04, 2026 04:52 PM","AN ORDINANCE AMENDING THE STANDARD LAND USE CODE (ORIGINALLY ADOPTED BY MURRAY CITY ON APRIL 7, 1987) TO CREATE AND ADD LAND USE CLASSIFICATION NUMBER 8230 FOR 'VETERINARY DENTISTRY'",1444151.pdf
1086453,O26-10 AN ORDINANCE AMENDING SECTION 12.24.175(B) AND ENACTING SECTION 12.24.185 OF THE MURRAY CITY MUNICIPAL CODE RELATED TO MURRAY ARMORY RENTAL FEES,"May 19, 2026 06:30 PM","June 04, 2026 04:53 PM",AN ORDINANCE AMENDING SECTION 12.24.175(B) AND ENACTING SECTION 12.24.185 OF THE MURRAY CITY MUNICIPAL CODE RELATED TO MURRAY ARMORY RENTAL FEES,1444155.pdf
1086455,O26-11 AN ORDINANCE AMENDING SECTION 12.24.175(B) AND ENACTING SECTION 12.24.185 OF THE MURRAY CITY MUNICIPAL CODE RELATED TO MURRAY ARMORY RENTAL FEES,"May 19, 2026 06:30 PM","June 04, 2026 04:55 PM",O26-11 AN ORDINANCE AMENDING SECTION 12.24.175(B) AND ENACTING SECTION 12.24.185 OF THE MURRAY CITY MUNICIPAL CODE RELATED TO MURRAY ARMORY RENTAL FEES,1444161.pdf
1086459,"O26-12 AN ORDINANCE RENUMBERING SECTIONS OF CHAPTER 2.32, AND AMENDING SECTIONS 2.32.020, 2.32.040, 2.32.050, AND 2.32.070 AND ENACTING SECTION 2.32.060 OF THE MURRAY CITY MUNICIPAL CODE 	RELATING TO THE PUBLIC WORKS DEPARTMENT","May 19, 2026 06:30 PM","June 04, 2026 04:56 PM","AN ORDINANCE RENUMBERING SECTIONS OF CHAPTER 2.32, AND AMENDING SECTIONS 2.32.020, 2.32.040, 2.32.050, AND 2.32.070 AND ENACTING SECTION 2.32.060 OF THE MURRAY CITY MUNICIPAL CODE 	RELATING TO THE PUBLIC WORKS DEPARTMENT",1444165.pdf
1086461,"O26-13 AN ORDINANCE AMENDING SECTIONS 2.06.010, 2.06.020, AND 2.06.030 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO CITY OFFICERS GENERALLY","May 19, 2026 06:30 PM","June 04, 2026 04:57 PM","AN ORDINANCE AMENDING SECTIONS 2.06.010, 2.06.020, AND 2.06.030 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO CITY OFFICERS GENERALLY",1444167.pdf
1088825,O26-14 Amending 16.04.020 and 16.04.040 RE the Boundary Line Adjustment and Subdivision Application Reviews,"June 2, 2026 06:30 PM","June 12, 2026 03:12 PM",O26-14 Amending 16.04.020 and 16.04.040 RE the Boundary Line Adjustment and Subdivision Application Reviews,1448511.pdf
1088829,O26-15 Amending the City's FY2025-2026 Budget,"June 2, 2026 06:30 PM","June 12, 2026 03:13 PM",O26-15 Amending the City's FY2025-2026 Budget,1448515.pdf
1088833,O26-16 Adopting the Transfer of Monies from Enterprise Funds,"June 2, 2026 06:30 PM","June 12, 2026 03:14 PM",O26-16 Adopting the Transfer of Monies from Enterprise Funds,1448519.pdf
1088841,O26-17 Adopting Compensation Increases for the Executive Municipal Officers of the City for Fiscal Year 2026-2027,"June 2, 2026 06:30 PM","June 12, 2026 03:15 PM",O26-17 Adopting Compensation Increases for the Executive Municipal Officers of the City for Fiscal Year 2026-2027,1448527.pdf
1088845,O26-18 Enacting 2.24.080 RE Theater Division of the Park and Rec,"June 2, 2026 06:30 PM","June 12, 2026 03:16 PM",O26-18 Enacting 2.24.080 RE Theater Division of the Park and Rec,1448531.pdf
1090455,O26-19 Vacating two Utility Easements at 4950 South Galleria Drive,"June 16, 2026 06:30 PM","June 18, 2026 04:48 PM","AN ORDINANCE VACATING TWO MUNICIPAL UTILITY EASEMENTS LOCATED AT APPROXIMATELY 4950 SOUTH GALLERIA DRIVE, MURRAY CITY, SALT LAKE COUNTY, STATE OF UTAH",1451849.pdf
675269,Ordinance Adoption O21-10,"May 7, 2021 01:00 AM","May 07, 2021 10:43 AM","Murray City Council hereby gives notice of the adoption of an Ordinance at the meeting held on April 20, 2021, in the City Hall Council Chambers, 5025 South State Street, Murray, Utah, as follows:",715639.pdf
675275,Ordinance Adoption - O21-11,"May 7, 2021 01:00 AM","May 07, 2021 10:45 AM","Murray City Council hereby gives notice of the adoption of an Ordinance at the meeting held on April 20, 2021, in the City Hall Council Chambers, 5025 South State Street, Murray, Utah, as follows:",715643.pdf
685799,Ordinance Adoption - O21-14,"June 15, 2021 01:00 AM","June 18, 2021 03:21 PM",O21-14,732281.pdf
685801,Ordinance Adoption - O21-15,"June 15, 2021 01:00 AM","June 18, 2021 03:22 PM",O21-15,733873.pdf
685803,Ordinance Adoption - O21-16,"June 15, 2021 01:00 AM","June 18, 2021 03:23 PM",O21-16,732285.pdf
685805,Ordinance Adoption - O21-17,"June 15, 2021 01:00 AM","June 18, 2021 03:24 PM",O21-17,732287.pdf
685807,Ordinance Adoption - O21-18,"June 15, 2021 01:00 AM","June 18, 2021 03:24 PM",O21-18,732289.pdf
685871,Ordinance Adoption - O21-12,"June 1, 2021 01:00 AM","June 18, 2021 04:32 PM",O21-12,732351.pdf
685873,Ordinance Adoption - O21-13,"June 1, 2021 01:00 AM","June 18, 2021 04:33 PM",O21-13,732353.pdf
689683,O21-19 Height of Residential Zone Accessory Structure,"July 9, 2021 01:00 AM","July 09, 2021 10:40 PM","AN ORDINANCE AMENDING SECTIONS 17.92.090, 17.96.090, 17.100.090, 17.104.090, 17.108.090, 17.112.090, 17.116.060, 17.120.060, 17.124.060, AND 17.128.060 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO THE HEIGHT OF RESIDENTIAL ZONE ACCESSORY STRUCTURES",738633.pdf
689685,O21-20,"July 9, 2021 01:00 AM","July 09, 2021 10:42 PM","AN ORDINANCE VACATING A MUNICIPAL UTILITY EASEMENT LOCATED AT APPROXIMATELY 20 EAST WINCHESTER STREET, MURRAY, UTAH, MURRAY CITY, SALT LAKE COUNTY, STATE OF UTAH.",738635.pdf
694201,O21-21 Mixed Use Zones,"July 20, 2021 01:00 AM","August 04, 2021 09:47 AM","AN ORDINANCE AMENDING CHAPTERS 17.146, 17.168, AND  17.170 OF THE MURRAY CITY MUNICIPAL CODE AND ENACTING CHAPTERS 17.162 AND 17.164 RELATED TO MIXED USE ZONES.",745525.pdf
699151,O21-22 Geothermal Wells in Recharge Areas and Protection Zones,"August 24, 2021 06:30 PM","August 27, 2021 12:35 PM","AN ORDINANCE AMENDING SECTIONS 13.30.030, 13.30.070, AND 13.30.150 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO RESTRICTING GEOTHERMAL WELLS IN RECHARGE AREAS AND PROTECTION ZONES",753667.pdf
704492,O21-23 Fiscal Year 2021-22 Budget Amendment,"September 21, 2021 01:00 AM","September 21, 2021 12:55 PM",AN ORDINANCE AMENDING THE CITY'S FISCAL YEAR 2021-2022 BUDGET,762314.pdf
705895,O21-24 Temporary Signs,"September 21, 2021 06:30 PM","September 29, 2021 05:40 PM",AN ORDINANCE AMENDING SECTION 17.48.120 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO TEMPORARY SIGNS,764961.pdf
705897,O21-25 Accessory Dwelling Units (ADU's),"September 21, 2021 06:30 PM","September 29, 2021 05:42 PM",AN ORDINANCE AMENDING CHAPTER 17.78 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO ACCESSORY DWELLING UNITS.,764963.pdf
709815,O21-26 Non-Profit Utility Payment Assistance,"October 15, 2021 04:00 PM","October 15, 2021 03:04 PM",ALL ORDINANCE ENACTING SECTION 03.04.095 OF THE MURRAY CITY MUNCIPAL CODE RELATING TO PROVISIONS ALLOWING FOR GOVERNMENT OR NONPROFIT UTILITY PAYMENT ASSISTANCE,771473.pdf
711289,"O21-27 Impact Fee for Parks, Trails, and Recreation","October 19, 2021 06:30 PM","October 22, 2021 10:53 AM","AN ORDINANCE REPEALING SECTIONS 13.08.050, 13.22.280, 13.48.055, AND 15.22.110 OF THE MURRAY CITY MUNICIPAL CODE; AND AMENDING AND RENUMBERING CHAPTER 13.06 OF THE MURRAY CITY MUNICIPAL CODE TO CHAPTER 3.14, RELATED TO IMPACT FEES AND INCLUDING THE ENACTMENT OF A PARKS, TRAILS, AND RECREATION IMPACT",773953.pdf
711293,O21-28 Chapter 5 Village Mixed Use and Centers Mixed Use Zones,"October 19, 2021 06:30 PM","October 22, 2021 10:57 AM","AN ORDINANCE RELATED TO LAND USE; AMENDS THE GENERAL PLAN, CHAPTER 5 - LAND USE AND URBAN DESIGN, TO INCLUDE 'VILLAGE MIXED USE' AND 'CENTERS MIXED' USE ZONES.",773963.pdf
711297,O21-29 Amending Ch 15.08 Relating to Building Permits,"October 19, 2021 06:30 PM","October 22, 2021 10:58 AM",AN ORDINANCE AMENDING CHAPTER 15.08 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO BUILDING PERMITS,773965.pdf
718733,O21-30 Amend Zoning Map for 5829 and 5837 South Majestic Pine Drive (Hansen and McDonough),"November 16, 2021 01:00 AM","November 24, 2021 12:07 PM","AN ORDINANCE RELATING TO THE LAND USE; AMENDS THE ZONING MAP FOR THE PROPERTIES LOCATED AT 5829 AND 5837 SOUTH MAJESTIC PINE DRIVE, MURRAY CITY, UTAH FROM R-M-10 (LOW-DENSITY MULTI-FAMILY) TO R-1-8 (LOW-DENSITY SINGLE FAMILY (ALMA AND KAREN HANSEN AND MARK MCDONOUGH)",786851.pdf
723457,O21-31 Radiopharmaceutical Manufacturing,"December 7, 2021 06:30 PM","December 16, 2021 11:47 AM",AN ORDINANCE AMENDING THE MURRAY CITY STANDARD LAND USE CODE RELATED TO ADDING A LAND-USE CATEGORY FOR RADIOPHARMACEUTICAL MANUFACTURING AND PRODUCTS; AMENDING SECTION 17.144.020 OF THE MURRAY CITY MUNICIPAL CODE IDENTIFYING RADIOPHARMACEUTICAL MANUFACTURING AND PRODUCTS AS PERMITTED USES IN GENERAL,794031.pdf
723461,O21-32 Amending Land Use (5700 S 800 W),"December 7, 2021 06:30 PM","December 16, 2021 11:48 AM","AN ORDINANCE RELATING TO LAND USE; AMENDS THE ZONING MAP FOR THE PROPERTY LOCATED AT APPROXIMATELY 5700 SOUTH 800 WEST, MURRAY CITY, UTAH FROM A-1 (AGRICULTURAL) TO THE R-1-8 (LOW-DENSITY SINGLE FAMILY) ZONING DISTRICT",794035.pdf
723463,O21-33 Amending Land Use (871 W Tripp Lane),"December 7, 2021 06:30 PM","December 16, 2021 11:49 AM","AN ORDINANCE RELATING TO LAND USE; AMENDS THE ZONING MAP FOR THE PROPERTIES LOCATED AT APPROXIMATELY 871 WEST TRIPP LANE, MURRAY CITY, UTAH FROM R-1-8 (LOW DENSITY SINGLE FAMILY) TO R-1-6 (LOW/MEDIUM DENSITY RESIDENTIAL)",794037.pdf
723465,"O21-34 Amending Zoning Map (5283, 5217, 5157, 5177 South State and 151 E 5300 S))","December 7, 2021 06:30 PM","December 16, 2021 11:50 AM","AN ORDINANCE RELATING TO LAND USE; AMENDS THE GENERAL PLAN FROM GENERAL COMMERCIAL TO VILLAGE AND CENTERS MIXED USE AND AMENDS THE ZONING MAP FROM C-N TO CMU FOR THE PROPERTIES LOCATED AT 5283, 5217, 5157 AND 5177 SOUTH STATE STREET AND 151 EAST 5300 SOUTH, MURRAY, UTAH",794039.pdf
727825,O22-01 Ordinance Adjusting the Murray City Municipal Council District Boundaries,"January 4, 2022 01:00 AM","January 10, 2022 05:28 PM",AN ORDINANCE ADJUSTING MURRAY CITY MUNICIPAL COUNCIL DISTRICT BOUNDARIES,799547.pdf
727827,O22-02 Ordinance Adjusting the Murray School Board District Boundaries,"January 4, 2022 06:30 PM","January 10, 2022 05:29 PM",AN ORDINANCE ADJUSTING MURRAY SCHOOL BOARD DISTRICT BOUNDARIES,
730925,O22-03 Amending City Fiscal Year 2021-2022 Budget,"January 18, 2022 06:30 PM","January 21, 2022 05:48 PM",AN ORDINANCE AMENDING THE CITY'S FISCAL YEAR 2021-2022 BUDGET,805119.pdf
734231,O22-04 606 E Sunny Flowers Lane,"February 1, 2022 06:30 PM","February 07, 2022 02:09 PM","AN ORDINANCE RELATING TO LAND USE; AMENDS THE ZONING MAP FOR THE PROPERTY LOCATED AT APPROXIMATELY 606 EAST SUNNY FLOWERS LANE, MURRAY CITY, UTAH FROM A-1 (AGRICULTURAL) TO THE R-1-8 (LOW-DENSITY SINGLE FAMILY) ZONING DISTRICT",811045.pdf
734255,O22-05 5322 S Allendale Dr and 666 West 5300 South,"February 1, 2022 06:30 PM","February 07, 2022 03:09 PM",AN ORDINANCE RELATING TO LAND USE; AMENDS THE GENERAL PLAN FROM NEIGHBORHOOD COMMERCIAL TO RESIDENTIAL MULTI-FAMILY MEDIUM DENSITY AND AMENDS THE ZONING MAP FROM C-N (COMMERCIAL NEIGHBORHOOD) TO R-M-15 (RESIDENTIAL MULTI-FAMILY) FOR THE PROPERTIES LOCATED AT 5322 SOUTH ALLENDALE DRIVE AND 666 WEST 5,811245.pdf
737569,O22-06 Amending Zone at 1079 East Vine Street,"February 15, 2022 06:30 AM","February 20, 2022 09:31 PM","AN ORDINANCE RELATING TO LAND USE; AMENDS THE ZONING MAP FOR THE PROPERTY LOCATED AT 1079 EAST VINE STREET, MURRAY CITY, UTAH FROM A-1 (AGRICULTURAL ZONING DISTRICT) TO R-1-8 (LOW DENSITY SINGLE FAMILY)",816745.pdf
737571,O22-07 Amend Section 17.112.020 Relating to Twin-Homes in R-2-10 Zone,"February 15, 2022 06:30 PM","February 20, 2022 09:33 PM",AN ORDINANCE AMENDING SECTION 17.112.020 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO INCLUDING TWIN-HOMES AS A PERMITTED USE IN THE R-2-10 ZONE,816747.pdf
737573,O22-08 Increase Sewer Service Charge-Central Valley Water Reclamation Fee,"February 15, 2022 06:30 PM","February 20, 2022 09:35 PM",AN ORDINANCE AMENDING SECTION 13.32.060 OF THE MURRAY CITY MUNICIPAL CODE TO INCREASE THE SEWER SERVICE CHARGE AND TO ENACT A CENTRAL VALLEY WATE+C19R RECLAMATION FEE,816749.pdf
740591,O22-09 Amending Section 12.28.030 and 12.28.040 (Golf Course Fees),"March 1, 2022 06:30 PM","March 07, 2022 04:09 PM",AN ORDINANCE AMENDING SECTIONS 12.28.030 AND 12.28.040 OF THE MURRAY CITY MUNICIPAL CODE RELATED TO GOLF COURSE FEES.,821735.pdf
740593,O22-10 Amending Ch. 2.68 (MCCD Review Committee),"March 1, 2022 06:30 PM","March 07, 2022 04:11 PM",AN ORDINANCE AMENDING CHAPTER 2.68 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO THE MCCD REVIEW COMMITTEE.,821737.pdf
