ordinance_no,adoption_date,motion_no,evidence,reason,checked_date
,2020-06-16,3,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-06-16,4,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-06-16,5,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-06-16,8,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-07-07,4,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-07-07,5,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-07-21,2,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-07-21,3,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-08-04,2,council minutes motion (Motion passed 4-0 (1 Abstention)),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-08-04,3,council minutes motion (Motion passed 4-1),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-08-04,4,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-09-01,1,council minutes motion (Motion passed 4-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-09-15,3,council minutes motion (Motion passed 4-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-10-06,2,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-10-06,3,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-10-06,4,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-10-20,3,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-11-10,5,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-11-17,1,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-12-01,3,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-12-01,4,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2021-01-19,3,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2021-01-19,5,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2021-02-02,4,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2021-02-02,5,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2021-02-02,6,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2021-02-02,7,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2021-02-16,2,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2021-02-16,3,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2021-02-16,4,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2021-03-02,1,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2021-03-02,2,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
O22-02,,,PMN number series,PMN notice 727827 exists but carries no attachment,2026-07-13
O22-30,,,PMN number series,number absent from the PMN series (adoption unverified),2026-07-13
O23-14,,,PMN number series,number absent from the PMN series (adoption unverified),2026-07-13
O26-15,,,PMN number series,adoption documented (PMN notice 1088829) but the posted attachment is byte-identical to O26-14's document — the signed O26-15 text was never published,2026-07-13
